#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hflD//ygiS//fepA//ravA//
GO_0001934_9	kbp//
GO_0002047_6	exoX//aphA//
GO_0002097_8	elfC//ulaR//galT//ushA//chbG//yeeY//cpsB//rnd//hicB//waaZ//ynfE//tdcG//clcA//cynX//mmuP//yjcS//rhmR//tbpA//nupG//
GO_0002098_9	cmtA//yjiQ//srlR//dgoA//panB//panC//nirB//nemA//arfA//murE//cmtA//btuF//ybcL//
GO_0002099_9	hyaB//yebK//
GO_0002100_9	xseB//
GO_0002101_9	galR//appC//
GO_0002128_7	mntS//brnQ//lplT//sbp//
GO_0002130_8	yeeJ//
GO_0002131_9	pnp//
GO_0002132_9	hslV//
GO_0002136_10	cobT//
GO_0002143_9	speD//nlpI//fimC//hda//rsgA//glpG//
GO_0002181_7	dsbC//tolQ//
GO_0002183_5	rplQ//
GO_0002184_8	waaF//
GO_0002188_6	yjcS//
GO_0002190_6	metL//
GO_0002192_8	mlaE//
GO_0002252_3	fur//lgoR//rlmN//motA//cyoB//araG//rpoA//ffh//arcB//waaP//
GO_0002790_6	ycbB//mog//yfcQ//cydA//glsA1//rpsH//shiA//
GO_0002937_9	livM//
GO_0002938_8	fecB//
GO_0002939_7	mdlB//
GO_0002943_8	arnB//
GO_0002949_8	degS//afuB//nrfF//ilvE//
GO_0003333_7	lgoD//yihQ//rpsE//bhsA//nagA//nfuA//yggX//pheT//ttcA//mdtN//betI//fadK//purL//tyrA//pdeK//pfkA//rrrD//yagI//lsrD//ytfT//gltS//iraP//feaR//rimJ//melB//rpsI//lhr//essD//rhlE//yeiE//hcaF//aes//nuoN//sutR//mipA//acrF//crcB//feaB//ascG//iap//hcaT//eamB//accB//yajD//yfeD//hypB//yiaM//paaZ//pinE//
GO_0005975_4	cysM//erfK//ygeV//hrsA//ihfB//ftsP//sdaB//yehZ//ttdT//zraS//rodZ//tusD//gcd//ybgQ//flhD//crr//pck//rffC//ddpX//ynbD//hns//acnB//bamA//glsA2//epmC//yhjB//setB//narQ//yneJ//artJ//msrA//edd//manZ//rsfS//mlaE//ycfH//mraY//asnS//tbpA//fryA//paaE//acrR//pgpB//tonB//yqcG//fryB//uxuA//speC//rfaQ//mdaB//yraI//atpC//fadR//yfaE//folE//ynhF//ubiF//rtcR//aaeR//yciA//ccmG//frlB//lpxL//zapD//yraN//nrdH//bglH//astB//dgcJ//dsbD//rutR//ycgV//plaP//lacY//gsiB//ycjP//garK//cas1//ybiS//ftsK//rpsK//nrdH//mqsR//waaH//prmC//yhbY//pyrB//lgoT//yddA//groL//yqiH//pbpC//potA//msrC//glrK//ppc//ybjD//phnH//xylG//ybhJ//fdhD//gadE//gadB//sgrR//ybdM//ralR//alpA//frsA//ugpB//rssB//fecA//rlmB//alsB//ygdG//mdaB//rsuA//pcnB//livM//rutA//sucA//yaaU//cysU//fliG//dnaN//rplP//yebZ//xseB//yiaU//yqiH//rplR//ygiW//hisC//yggD//nirC//arsB//gadE//ddlA//glnP//hxpB//emrB//yfdK//argC//yceD//ade//rimK//potF//rpnD//essD//puuE//zapA//zapB//btuC//cspC//tauB//baeR//flhE//panF//mtnN//ycgV//hprS//rsmE//galS//yicJ//rfe//pldB//asnC//nfo//uidR//gudP//trmB//codA//murJ//artP//ldrA//entB//hisP//trpL//csgE//yjiM//yciT//uhpC//lpxT//puuR//dhaL//trpB//yieF//yccS//ytfE//hpt//murB//yahF//caiB//kdgK//ogrK//gntT//mepA//pepQ//ggt//ptsH//yqeG//wzb//pheT//fixB//lplA//rspB//epmC//dgcZ//argC//rlmC//ftsW//fetB//mtlD//pabA//csgA//tabA//glnA//idnD//chaA//ynjA//tonB//uhpC//tgt//csgD//metK//ffh//dppA//malQ//gmk//lolE//sbmC//rpmC//casD//insA-2//mngA//eco//rcsA//ydiV//yihL//ansB//insB-4//abgA//ghxQ//coaD//gloB//ascG//intQ//yjiR//sufC//ompT//phr//tsr//aroF//yhjB//phoU//
GO_0005976_5	rimI//flhD//aroK//gudP//yfcR//panF//fabZ//allS//pntB//xapA//ldrA//aceK//rimP//rlmJ//folD//yfcQ//rppH//proW//fhuD//uof//gutM//rutC//rna//gutQ//trpC//hybD//yceK//rbsR//csgB//dinB//cmoB//hcaT//nlpD//fimF//yfgI//nrfD//elbB//tusB//fur//bcr//mhpB//atpB//panE//elaA//aspS//sfmH//gluQ//ribC//nrdE//napA//ychH//dmsB//lrhA//yghW//trg//essD//ydcT//prfB//hscC//
GO_0005977_6	gadB//ydfD//ilvB//thiD//srkA//pabB//artP//alkA//
GO_0005978_7	yihX//preA//srlE//glsA2//
GO_0005979_8	yciG//
GO_0005980_7	mdtK//agaB//tatE//
GO_0005981_7	uhpT//
GO_0005984_5	yohD//minE//panF//aqpZ//lldR//ribD//valS//ybjI//cpdA//mliC//tatC//
GO_0005985_6	tyrS//
GO_0005986_7	ghrB//
GO_0005988_6	metH//dicB//
GO_0005990_7	aroA//mnaT//
GO_0005991_6	yfcQ//trmO//paaA//etp//idnK//
GO_0005992_7	opgG//serB//
GO_0005993_7	pdxB//narP//qorA//
GO_0005994_6	uof//
GO_0005995_7	tsaD//
GO_0005996_4	aqpZ//holD//ybdN//scpB//csgE//rffM//oppA//bcp//mfd//atpD//zitB//fhuB//thrL//sgcX//suhB//ydcO//bioF//insH-6//kdpB//narV//garD//dmsC//proQ//rplT//yceO//lysO//yhbO//yidD//tauC//mltD//frlB//hypB//rhtB//aroF//potD//sseA//gudD//rsmH//ulaC//trkG//rhoL//zinT//argB//yneE//ygeV//dnaB//zapA//folM//mtn//yadM//feoB//yeaV//torS//nanK//envR//hypE//rbsR//rbbA//ybiX//ydcO//ghxQ//yqiJ//tpiA//glxK//nfi//patZ//abgA//atpC//mgtA//dkgA//asnC//mprA//pdeD//mtlD//yijO//yoeB//lgt//aroL//lamB//osmY//ihfB//gyrA//
GO_0005997_6	glpD//
GO_0005998_7	entC//
GO_0006000_6	yedL//yifB//rimL//
GO_0006001_7	argC//dnaX//
GO_0006002_5	pepQ//panZ//nanA//
GO_0006004_6	rpoS//hflD//insI-2//mrcA//cas3//rplY//
GO_0006006_6	ydhK//nepI//lgoT//yfeO//glgX//leuS//csdA//yhcD//yfdS//waaO//pflC//melB//lptE//cyaA//cysM//lsrD//recG//pspC//emrY//ydcR//glpG//udp//pbpG//
GO_0006007_7	rnc//yedP//hypA//
GO_0006011_5	pyrB//
GO_0006012_6	nuoE//wecE//rnt//glnH//alsK//ftsE//hmp//tig//agaW//
GO_0006013_6	rsmC//panF//
GO_0006014_6	rluA//ygiW//sdaB//
GO_0006015_7	yraN//glcF//
GO_0006020_5	argS//
GO_0006022_5	pfkA//cas1//purF//ade//yrbG//xapB//hybB//nuoG//xerD//zraR//ydcT//cobS//yagG//bioD1//ilvH//nanR//rlmH//murR//cysZ//waaQ//bioB//lsrR//tatE//eptA//ydjL//fis//polB//pspC//sdaB//ccmH//waaZ//alr//cfa//rtcB//gldA//fadA//yfcU//ycbV//dapA//hybE//yqiI//recA//pdeF//folP//frwD//ddpA//mgsA//gpp//aaeB//ydcT//abgR//ilvL//yjjI//hemA//cspB//sbmC//ydeI//fadH//hisA//proP//fadK//yfeD//kduI//
GO_0006023_6	gor//cynT//yjiX//araH//ulaB//polA//yhdJ//sppA//thiE//yoaA//yfcQ//ubiC//argO//kdpE//nrdD//narZ//fryB//ldrB//phnI//yjhI//rutA//degP//cvpA//tamA//arcC//oppF//insI1//acrE//ygbM//coaA//wrbA//ykfI//msbA//sbmC//ampD//yfbU//ygbI//acrE//priC//
GO_0006024_7	iscX//tbpA//rng//sspA//yfcR//arnA//bioD2//solA//lysO//puuD//dinQ//sbcD//ilvN//ybaT//focA//norW//araA//coaD//zur//ynbC//lapA//pfkA//secY//degP//cpoB//yjjX//nfo//sanA//ahr//hcaB//ydjH//gloC//trmH//yqhC//nrdG//iraM//oxc//asnA//ribF//
GO_0006026_6	rzpD//hdeD//glnB//phoP//mgrB//ccmF//xanQ//mdtI//seqA//gpt//
GO_0006027_7	hinT//murG//gnd//ccmD//narH//tgt//yoeB//yaaU//rfbD//tdh//
GO_0006040_5	yhaJ//dpiA//pykF//paoC//rpoH//gntR//carA//msrQ//yneE//dnaX//phnM//yadK//rlmD//waaH//yedA//bhsA//gatB//
GO_0006044_7	efp//proX//ihfB//hycI//yfbR//
GO_0006046_8	ygjK//yqaB//sppA//hisP//
GO_0006047_5	cusB//mdfA//ettA//ypdF//htrE//rplS//deoC//
GO_0006048_6	ynbB//wcaJ//tsaD//mioC//ymgA//frmA//
GO_0006050_6	gmk//
GO_0006051_7	dpiB//
GO_0006053_8	rraB//
GO_0006054_6	yoaB//sfmH//phnL//sbcB//glrR//rpiA//atpC//
GO_0006056_6	cyaA//
GO_0006057_7	ycaN//
GO_0006059_6	yiaF//mdoD//yebC//rplT//
GO_0006060_7	yieH//
GO_0006062_8	sgcE//
GO_0006063_5	dbpA//opgC//hemH//hrsA//sbmA//yaaA//dam//ynaE//otsB//
GO_0006064_6	rbbA//xthA//secY//flgJ//uup//nimR//
GO_0006066_4	rbsK//birA//osmC//cydD//ybbN//paaB//sapF//emrB//dgcF//oppB//pgrR//fabD//ydeT//yraK//gudD//ansB//purC//yibH//yedX//yeaK//uidC//yjhC//paaX//pyrL//ratA//dhaM//yidC//ydaC//rof//mug//cheR//ygiV//
GO_0006067_6	csiR//tig//rlmC//
GO_0006071_6	ydiK//hflK//yhjX//entS//ulaF//adhP//mtfA//
GO_0006072_6	xylE//cdh//truC//yiaM//trpGD//
GO_0006073_6	mdtM//pyrE//focA//yrfG//ispB//tusB//rsmG//dcuD//purT//pitB//yggD//crl//rcnB//speE//dgcN//ygiB//prpC//yahF//pldB//yhhT//
GO_0006081_4	prlF//zapA//lsrC//rutR//uidA//nuoG//cysG//puuC//rzoR//cmoA//frlR//tsaE//yfeD//ybjI//iraP//recQ//puuA//chbF//folE//mdtI//fdnG//yjbH//dps//prpR//yjbB//kduD//iap//acrD//rpsK//htrE//rnhA//chbC//ygjH//mdtD//dnaG//purC//lit//gloA//ybaO//fklB//pspG//nudF//hyaC//rhaS//argP//phnH//gluQ//sfmF//wcaJ//pdeH//suhB//hemH//mreB//ubiG//yhfS//kbp//menA//btuD//lolA//osmY//dnaK//dctR//rffH//rplT//tdcF//ybhP//fcl//
GO_0006082_4	dadA//xapA//araC//fecB//nrdG//yjbH//lapB//dmsA//potF//ydiF//yoaB//rnb//cbl//artP//phnK//ispH//fruK//ligB//rbsD//tyrA//motA//acpH//clpX//rhaT//cas2//ybjL//mdtK//fdoI//pdeF//tdcG//pdeK//csdE//rhaB//appB//iraM//ribE//hldE//yiaU//lnt//yhdW//argC//pncB//preA//phr//arsC//arnA//hlyE//talB//cynX//nuoM//narX//rayT//ydcO//fimH//fbp//sfsA//tsaE//dgcQ//rna//ugpB//kdpC//yajL//cpdA//epmB//yoeB//maa//garR//fetB//yqiH//moaD//flgA//paaA//leuC//hdfR//bglJ//murC//xapA//gatA//fdoH//fryC//bglB//oppC//livJ//ychO//yhgH//caiD//ppx//aroE//nanC//uof//ycfS//yfaE//phnJ//sgcA//fdhD//bioD//ftsL//lysO//ygbL//sdhB//dkgA//ung//gadB//ydhQ//cof//prlF//ppiD//hemH//insI4//yfeO//mcbA//dsdX//lptG//symE//prpB//hdeB//glnQ//hypF//yhbS//hokB//aer//prpB//map//ompA//yqeF//maa//yeeY//nusA//yadN//nadA//selA//holB//rcsF//rplA//rutF//nudF//tonB//prpC//chbC//zwf//tdcR//htrE//dmsB//yadN//tsr//mdtF//waaS//ycbX//yddL//sixA//mlc//ybiV//yehA//dhaM//ibpB//malF//kdsA//sgrT//yfcR//sgrR//cpsB//fabG//frlA//wzzB//lyxK//pyrD//phnK//cydD//araB//metB//ftsY//ygiB//thiC//fadB//degP//insI-1//ribD//mdh//bolA//waaA//recF//lpoB//pdeK//hcaR//csdA//rodZ//agaB//mlaD//rnhA//seqA//fau//rsmG//yedF//mrdB//ydcR//paaB//menA//tqsA//ldtE//cvpA//nmpC//rimO//ypdF//fpr//perR//pheP//yjfP//gspF//gltS//fryB//lexA//galT//coaA//glnA//mntH//rhaS//yehX//ssuD//ettA//fieF//fixC//dinD//cadB//lapB//hofM//srlE//otsA//yidL//relE//atoS//rpmH//menD//lptA//ycjR//uvrD//thyA//csgE//purC//ydeP//ubiH//yjhG//ftsW//norR//corA//yfjV//proS//yejF//ybiS//ghoT//yibT//ydfD//dinG//yihO//yihS//cdgI//ulaG//fliD//yagG//appA//ycdX//cbpM//rnc//yhiM//cspA//csgA//prlC//yidD//moeB//lacY//gmd//hcaB//mdtN//gadC//yehX//hisB//proQ//ubiJ//folD//yciF//phoQ//tauA//gltX//rluC//agaD//ytfQ//murJ//yegV//dnaA//mltG//ybfE//fimE//rffG//bdcR//flgH//guaA//lpxH//opgG//artP//tpiA//purD//potB//topA//ascG//rclC//hypF//ubiA//artP//ftsZ//ykfI//cirA//emrY//mglA//tag//rpsI//deaD//dmsC//tktB//rsmC//pyrG//oppA//acrR//pheA//ynfH//gcd//blc//ompA//aroK//zntR//insE-1//rutF//ybjX//phr//cra//pta//comR//yghB//gloB//trxC//yhdW//hcaR//nadD//purN//pgpA//infC//hyaB//frc//rarD//ihfA//yahN//dgoK//ydhK//rssB//rdgC//yibA//fimF//pstB//ldrA//cyoA//aroP//metR//thiL//narV//cnu//adk//norR//atpH//dusC//nagB//yafS//cysU//dps//ivy//rimL//kdpF//hcaC//selB//sgcE//phoP//btuF//oxyR//nagC//lpd//fdnI//ybhA//ligA//hyfA//proC//ffh//rffH//rlmF//manY//dgoA//ybeF//acrD//sbmA//ppk//leuO//tusC//ilvE//rluC//queA//parE//fimZ//uxaB//lsrK//kdpD//kch//mepA//pdhR//nfo//sseA//accB//mdtM//preT//rlpA//sspA//nrfA//entF//rnb//kduD//znuB//alsA//rep//plaP//yjbE//ilvL//yjbB//hcp//dcyD//glnH//ppc//dedD//cysM//gatY//gmk//speF//prfC//minC//ydeM//gatZ//rusA//kdsD//zitB//fumB//fimC//glgP//rpnD//arnB//menB//pepA//dicC//pyrB//dacA//rhtA//argO//kup//hisS//ccmH//yciE//sfsA//
GO_0006083_6	hypD//ybhD//mltA//parC//yihP//yqhD//
GO_0006084_6	dicA//entE//
GO_0006085_7	ybbN//yccS//
GO_0006086_8	crp//
GO_0006089_5	flgD//glpA//yfiR//rppH//rpsP//cysG//yoaB//iraP//serA//clpB//dcp//rpmG//rayT//sdhB//fruB//torZ//ccmH//bcr//flhA//yjcS//proS//amiA//pabB//feaB//hflX//rlmM//cusR//ygeA//fbp//
GO_0006090_8	tus//malQ//cobB//ycdY//uxuB//wzb//zinT//rhaR//glxK//mgtA//aroC//yciF//yjjQ//hldE//rpmF//fucK//yohD//astB//pspC//bamA//eutN//kdsB//yciF//dhaL//dld//mltG//dtd//ilvC//qseB//ubiC//xylA//
GO_0006091_4	yciV//yjhC//ytfR//actP//cyoD//queA//yqiI//rffM//rlmI//folC//wecE//ydiB//cadB//mdtN//ynhG//dinI//ybbW//agaS//yehW//essD//torC//yhbS//ghxP//pyrD//puuE//dnaX//gatD//cmk//acpH//fieF//ghoS//malE//hiuH//rimO//ibpA//basR//yaiW//tcdA//cyoB//rclC//preT//tdcF//mreC//yjaA//setB//rutD//mutY//treA//mngR//creC//prfC//holC//kdpF//yoaB//nagZ//rpe//dacA//trxC//yhjA//yraH//poxB//bamE//alkB//malX//sufB//ymfA//yqgF//trpS//alsK//mdtO//pgl//uvrC//cra//atpF//yneL//yraK//proV//argO//argG//tusC//yhdW//abgR//amiA//tatC//rnhA//agaW//speA//btuE//adiC//livH//aer//sgcB//ebgA//phoQ//udk//tcdA//surA//manA//yhbO//tdcC//atpE//ptsH//yegD//scpB//preT//yebC//ftsX//hisD//puuP//hypE//phnM//ycbB//
GO_0006094_7	dpiB//rcnR//rimM//cmtA//murB//ybhF//rdgC//wzzB//rpmF//patZ//
GO_0006096_6	cbtA//fdoH//cysC//yjhH//pdxH//rpsN//katE//dsdA//recE//idnD//caiE//tolB//mnmA//fliS//yjcO//yghU//yehU//serA//
GO_0006097_5	paaH//waaB//crl//cyaA//yhcN//
GO_0006098_6	potF//ydjL//basS//yqaE//elyC//
GO_0006099_4	ybcF//yhdH//priA//paaG//ydfD//dgcE//fliT//mgtA//csgF//uvrB//fruK//yagJ//abgT//yaiV//cycA//narH//mhpB//
GO_0006101_6	higA//ybiH//grcA//rusA//mutT//yfgJ//nlpE//dauA//rplW//mdtM//fliS//cyaY//evgS//trxA//yjbF//waaJ//rbsD//
GO_0006103_5	nupX//rpmJ//ykgM//
GO_0006104_6	dppB//uvrC//recT//
GO_0006105_5	cusS//pgsA//yfgI//adk//moeB//lsrC//gltI//mcrB//
GO_0006106_8	puuA//
GO_0006107_8	dnaJ//
GO_0006108_8	flgG//ais//ybaO//fadR//treR//
GO_0006109_6	lgoD//ftnA//sthA//hexR//nuoB//mqsA//hyi//waaH//mtn//
GO_0006112_5	ogt//malS//aceK//narV//ycjU//ascG//dppD//pheT//
GO_0006113_5	rseC//ygjH//uvrB//ubiG//yiaJ//yafC//yqjI//glpB//hypA//dcuR//thrS//yahI//edd//
GO_0006115_6	rcsC//
GO_0006117_5	folD//
GO_0006124_6	ftsI//
