#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ibpA//rclB//yjiR//paaZ//
GO_0000272_6	ybiY//tdcA//pheM//pstC//recC//gadW//
GO_0000302_5	btuE//yhdH//prkB//xapR//yjiA//tcyJ//hycA//fadK//ybiJ//dgcF//udk//acnB//ynbD//arnD//zupT//cpsB//rpsS//mhpB//torC//allR//dgcN//hokB//hpf//malP//hcaB//aspS//opgC//fliD//yqiI//cpdB//sbcD//
GO_0000303_6	hycA//curA//
GO_0000305_5	yebG//hisG//uof//
GO_0000372_11	rimM//
GO_0000375_9	trmJ//
GO_0000376_10	aroB//
GO_0000413_9	fabI//mtfA//nadE//afuB//pal//wcaJ//yebC//paaH//
GO_0000451_7	nrdE//scpC//sbcB//murC//rpoE//
GO_0000453_8	lysP//sdhD//cbl//menF//ldtC//
GO_0000455_9	leuC//yraK//fdoG//rfaD//hscB//rcdA//hycI//
GO_0000462_11	aidB//glpK//
GO_0000469_8	hypT//
GO_0000470_10	glpT//
GO_0000478_9	bcsQ//
GO_0000715_6	potI//
GO_0000716_7	ygiB//
GO_0000724_8	ttcA//
GO_0000725_7	plsC//clcA//glyA//galS//ftsZ//minC//
GO_0000726_7	nikB//
GO_0000731_7	tolB//pitB//ldrA//mqsR//betA//fixC//orn//
GO_0000737_7	grpE//
GO_0000738_7	waaY//yhaV//secY//
GO_0000746_4	glnB//
GO_0000820_7	tyrA//
GO_0000902_5	lpoA//
GO_0000910_4	grxD//lsrK//hybE//yafC//glyS//ykgF//yhbS//emrE//arsR//eptC//uidC//pdeD//gstB//bhsA//tehA//yigB//gspI//iraP//
GO_0000917_6	yihU//ygfX//pbpC//wzb//sbcC//
GO_0000918_6	fadB//caiE//flhA//cca//
GO_0000920_3	avtA//mscL//nemR//xseA//mak//
GO_0000921_6	ompA//
GO_0000966_8	tsgA//thrS//dapF//selB//
GO_0000967_10	tdh//hemL//frdB//
GO_0001101_4	mutL//flhA//panB//yfgI//phoR//era//tpx//ackA//eamB//diaA//yqgB//bssR//yiaN//metF//kefF//cysK//murE//mpaA//rplY//ynaE//asnS//mlc//cadC//azoR//ortT//recC//
GO_0001121_7	ridA//cobU//
GO_0001123_8	ptsH//
GO_0001124_8	rof//
GO_0001407_7	eptC//torS//rluE//priC//
GO_0001505_4	yeaG//lpxC//syd//cysG//asnA//katG//mdlB//modC//ebgR//rimL//otsA//pyrE//manA//murG//yqcG//mug//
GO_0001510_5	yjiA//topA//araE//mltG//xylF//uspF//yhaJ//rpoD//queA//dctR//hxpB//galS//ytfP//yahF//tusC//yobF//chbC//phoP//yphF//ygeW//lepA//lsrD//rne//cadC//gpt//yfdG//yqeG//tnaA//uvrA//yfcS//arcA//ilvM//yfcU//yehX//dgcM//menI//ybhP//yhaJ//fdhE//fimB//
GO_0001514_8	nirC//
GO_0001522_7	dpiB//valS//mltC//yeaD//tusA//argH//clsA//mdtN//argT//frdD//gudD//pyrL//rplE//
GO_0001539_4	phr//ade//rpmJ//ompF//yjeI//metR//ftsE//fryB//btuD//yajQ//gltK//paaJ//ssuD//tauA//yqjI//dapB//yggE//cysU//sugE//lsrA//fabB//yghW//pinR//ybcJ//ftsE//baeR//motA//fadH//mdtC//pdeR//ycbU//
GO_0001558_5	phnG//chbB//sufC//elaB//ydiV//yicJ//sgrT//hybG//
GO_0001561_6	narJ//
GO_0001666_4	mntS//
GO_0001676_6	emrY//rpsJ//yecS//
GO_0001680_11	nanE//
GO_0001682_11	rffG//
GO_0001731_7	rpmF//
GO_0001762_6	bipA//
GO_0001887_4	fucA//yddL//yfdO//
GO_0001896_5	thrS//mrdA//yqaE//tilS//
GO_0001907_5	pinE//glyS//yebQ//hyfA//
GO_0001932_8	napD//uspE//
GO_0001934_9	purN//
GO_0002047_6	scpC//phoU//
GO_0002097_8	yfdS//ynbC//relE//tsr//umpH//leuC//ppiC//yqiI//gcvT//yqcC//hxpB//nhaA//modA//ytfT//galE//cyoA//rutG//yadI//arsC//
GO_0002098_9	uvrC//xanP//cutC//moaA//xerD//lptG//livM//ccmA//ydgA//menC//rfe//ftnA//acrD//
GO_0002099_9	acrD//dmsA//
GO_0002100_9	ygfX//
GO_0002101_9	arnA//ycbB//
GO_0002128_7	dgoK//prpB//mntH//waaA//
GO_0002130_8	yhhY//
GO_0002131_9	iscX//
GO_0002132_9	eutN//
GO_0002136_10	sfmF//
GO_0002143_9	lsrA//yjjX//yahF//appB//proA//ccmG//
GO_0002181_7	fabB//serC//
GO_0002183_5	flgA//
GO_0002184_8	ybdO//
GO_0002188_6	oppF//
GO_0002190_6	secM//
GO_0002192_8	melA//
GO_0002252_3	hha//nth//cbpM//yecS//rdgB//fre//dinQ//thiG//bacA//ydiZ//
GO_0002790_6	rffC//ycbB//ung//dinI//ykfI//lsrG//ydjK//
GO_0002937_9	agaV//
GO_0002938_8	yjhB//
GO_0002939_7	cbpM//
GO_0002943_8	ccmE//
GO_0002949_8	paaZ//glrR//fixC//bglX//
GO_0003333_7	lptD//lsrC//yidK//ldcC//cusA//lldR//sucB//hisH//elaA//hcaR//gudX//ybcM//yibF//metR//rnt//tdh//hybD//mepM//gsiB//rsmF//fecD//gph//citG//yidE//pdeR//holC//yjjX//nrfF//pykF//ygjK//dcuA//pntB//speC//yifB//yjhH//trg//ridA//ybjL//deoB//dgoD//ssuC//alsK//exbB//ppiC//flhC//adhE//ymfK//rimO//lacY//
GO_0005975_4	dmlR//yqeA//ybiJ//yihT//argT//lldD//yiaL//napD//dppA//tehA//aldA//nanC//cydC//rpsS//yqiJ//ycaN//leuE//hyi//fkpB//rfaC//rcsA//pepA//ytfT//kdsD//yjiQ//lpxH//kdpC//atpD//xthA//bluF//fdhD//yqgB//tsr//hokE//brnQ//ribA//yijE//holB//asr//dnaT//thyA//mreC//frlB//mlaE//bglA//yhiM//psd//umpG//mglA//artJ//zur//mdtA//patZ//trxA//yagI//adeP//adiY//corA//pgrR//dhaL//atpC//cbrC//tusE//casC//pcnB//agaW//fdhD//dtpB//bamD//efeO//treR//yagE//ribF//ligA//paaA//selU//kbp//dcm//tolB//yiiD//dhaR//mdaB//fkpA//ybjC//ubiE//yfdR//ykfM//mprA//rplJ//yjhG//rtcR//fabG//ybaL//proC//cyoC//ycfL//ykfM//tusE//lolE//pfkB//phr//ypdI//glyS//mfd//cheA//rlmF//trpR//satP//crl//agaB//hypE//glpX//pdhR//plsX//gspE//dgcN//ttdR//zur//mdtC//dnaX//yciH//zraR//csgF//argR//yeaE//eutA//polA//galK//nac//eutR//pppA//rodZ//malS//citG//recG//ssuC//phoU//fepB//ppiD//rplE//aceB//ynaE//xdhB//ftsY//rrrQ//gltD//lptA//nrfC//xylA//thrA//ydbK//potA//yggE//yjjX//pheA//waaZ//rhtB//leuC//yjjG//fumC//hyaA//frvA//mtr//sulA//phoQ//symE//atpF//emrD//nupC//mlaD//sfmH//ccmD//lsrD//nei//yojI//dut//ydjL//ynjA//ydcR//secE//mqsR//yahK//rplI//elfA//rplP//dgcJ//ydiQ//gabD//yagF//queG//araB//proA//serS//fimF//rluD//spoT//miaA//ydeP//acpT//yqaE//atpH//dcuS//crl//yehA//pncB//hns//flgJ//uhpC//ccmG//ygdG//recQ//sdaA//hcaE//cbpM//ampD//puuA//hfq//sbcB//artQ//yeeA//opgD//fabB//purF//glpX//dnaJ//queG//gcl//gabP//argD//mntS//yhhY//thrB//crr//napD//prkB//mltA//mutT//emrY//mhpA//fre//ybdN//rplB//pntB//chpS//ygjH//yhjR//pphA//iraP//rlmB//tsgA//preT//ygfX//dgcF//fsr//
GO_0005976_5	frr//sgrR//ralR//prs//rpsM//ttdR//rfbX//dctR//spoT//lptF//garK//accA//dnaA//nrdD//ydeP//fabI//alsC//phnK//pspD//intA//metB//mdtE//ycjY//sstT//yafQ//pabC//ampH//rnc//xseB//fepB//lysO//cutA//lnt//flgI//yihX//dadA//phnM//pagP//atpE//mtnN//gppA//cfa//citC//sodC//ycdX//pgl//pbpC//ybcC//trkG//ssuA//rplC//ydaV//ypdI//fadI//fliL//rpmF//yjhP//ftsQ//paaK//
GO_0005977_6	melB//mltF//fetB//paaC//rpsO//xylH//proS//alaS//
GO_0005978_7	metN//yeaG//carA//cyoD//
GO_0005979_8	grcA//
GO_0005980_7	yhcD//rluC//waaP//
GO_0005981_7	tolB//
GO_0005984_5	psd//glsA2//ibsA//elyC//msrP//lpxP//rpiR//mutH//tdcG//entH//putP//
GO_0005985_6	cobC//
GO_0005986_7	ybjI//
GO_0005988_6	pdhR//pdxB//
GO_0005990_7	secM//mraZ//
GO_0005991_6	intZ//ldrB//rpmB//ldcC//flgG//
GO_0005992_7	csgB//dadA//
GO_0005993_7	raiA//ycjD//rfaF//
GO_0005994_6	yojI//
GO_0005995_7	glpB//
GO_0005996_4	yehC//creC//nuoF//accA//hdeA//rpmF//flgI//mdtB//hypT//coaE//sapD//dapF//yidL//yghU//rhtB//clcA//fliM//ybdO//pbpG//ribB//gloC//alaE//dgoT//yehP//rne//sspB//rpsT//yegS//ldtE//hcaC//cysD//allB//pdxA//yidH//hprR//rfaB//der//hemB//dgoA//atoC//argT//deoC//tktB//lacI//rfe//hexR//ispA//galP//betI//lptE//rplM//yabI//ybeY//agaI//dctR//fryA//rhaR//moaC//prkB//hslV//rnlB//yfaE//rnlB//rlmF//matP//appC//afuC//hyfC//mltD//yfcF//citG//sppA//fadR//cra//ymgF//yodD//kdpD//gatD//menB//yqaE//fepA//hisI//
GO_0005997_6	livF//
GO_0005998_7	sgrR//
GO_0006000_6	cbrC//tamA//phoB//
GO_0006001_7	mgtL//srmB//
GO_0006002_5	ycfL//ribD//sspA//
GO_0006004_6	mhpC//adeQ//topA//cysP//rpmF//lysS//
GO_0006006_6	hemC//nemR//ccmC//yphB//hyi//ldrA//feaB//cho//fliD//lasT//garK//thyA//dapA//dinG//yihR//motA//yihU//mtn//adk//uhpC//entA//glgB//ygjR//
GO_0006007_7	yciK//mhpA//aspA//
GO_0006011_5	yiaU//
GO_0006012_6	proP//mdtL//gpmA//dtpD//ptsP//lysP//flgE//wecB//fepE//
GO_0006013_6	wcaJ//etk//
GO_0006014_6	icd//puuA//ppsA//
GO_0006015_7	xisE//yjbG//
GO_0006020_5	yjgX//
GO_0006022_5	nadB//rihC//icd//adhP//gltX//relB//waaZ//lptE//truA//atpA//dacD//pagP//parC//pinR//der//ymgF//cptB//araC//ybbN//yihQ//endA//lpxT//mraZ//dosP//lpxC//tonB//moaD//torR//rnlB//gcvR//bssS//yeeL//zapA//ydaC//ccmH//malF//rutA//rdgC//lacZ//treA//casA//ymjB//elaD//mnaT//glvB//puuP//kdgK//treC//cusF//gcvR//cbrA//pgsA//ycjW//ybhJ//yfgJ//chpS//purU//yjhI//moaC//dsbC//aroD//arsR//ygiS//
GO_0006023_6	fdnI//agaR//alkB//nhaR//oppA//potI//gyrA//ydjH//rfaF//sodB//argA//iraP//hisF//fruA//lldD//waaC//dedD//acnA//pstC//cdgI//ynfL//yjiR//kdpF//tolQ//narX//psuG//alkA//yfaX//sfmF//sufA//orn//hybO//setB//rfaG//thiG//tcdA//rhtB//waaA//yefM//
GO_0006024_7	dnaC//iscS//flhA//ssuE//truB//ascB//gpmM//opgG//caiB//panC//xthA//plsX//yhhY//dkgA//yjhC//paaC//ykgO//opgG//dcyD//dgoT//metF//nimT//gsiD//qseB//cecR//tolC//dnaC//yeeJ//rplT//proV//yieH//tldD//kdpD//lipB//cdgI//yfdG//ybdM//yajL//betT//
GO_0006026_6	rfaQ//puuA//thiE//pdhR//ulaR//rpsM//arnE//rplJ//ttdR//yciG//
GO_0006027_7	ygeR//ubiE//cobC//tcyN//ggt//fhuC//bisC//hldE//rseP//diaA//
GO_0006040_5	tonB//pgpA//yihT//hsdR//rpsS//narX//nhaB//frdD//eutA//yfhH//gshB//gcl//entE//alpA//fepG//ygaZ//bfr//
GO_0006044_7	mdtF//yfhM//hslV//ariR//ydjH//
GO_0006046_8	mpaA//pnp//oppA//ycjP//
GO_0006047_5	tig//waaL//metB//yeeL//pyrG//hslO//ispH//
GO_0006048_6	tsaE//purU//pdeL//dicB//yjhH//aceF//
GO_0006050_6	osmY//
GO_0006051_7	prfA//
GO_0006053_8	bglB//
GO_0006054_6	rluE//rrrD//xerD//lysA//rpoA//mhpA//brnQ//
GO_0006056_6	chaA//
GO_0006057_7	dmsB//
GO_0006059_6	alsK//nuoB//ypdA//sufB//
GO_0006060_7	ycfS//
GO_0006062_8	sgcR//
GO_0006063_5	envC//wzzB//bcsQ//lapA//lapA//ansB//higB//nuoF//hisP//
GO_0006064_6	lldP//hicA//pspG//paaA//ydaV//bglA//
GO_0006066_4	yidQ//xseB//ygbM//yojI//rcdA//malY//rnb//emrY//yadM//nemA//fepB//ispH//hfq//ompA//dgcN//ybgI//argG//fabG//glgA//yacG//cspE//sufA//hisA//astC//raiA//mioC//menI//dicC//frwD//chbB//nudF//fadH//
GO_0006067_6	mqsR//yfhM//nadB//
GO_0006071_6	rfaG//yhgH//rarD//yidH//rzpR//rplA//ynfF//
GO_0006072_6	yggD//helD//hcaC//xanQ//rutE//
GO_0006073_6	ybiJ//rpsM//osmF//insI4//dps//yeeA//malZ//stpA//yibT//fadB//glnS//mutT//cmoM//appA//yjiQ//hybB//hscB//yhgH//hemH//tar//
GO_0006081_4	yfcU//scpB//fdnH//argE//yoeE//mazG//kdpE//xapA//abpB//spy//yjhP//yfaE//yaaU//narH//infB//cmk//pflC//phr//bioD//yhjC//cycA//gntU//ycjY//tadA//caiB//csgF//yccA//ytfT//fliL//rihC//fepA//ydjH//yidP//ynjA//yadC//yjjV//nirC//cdaR//artM//dhaM//secA//ycgB//pgaA//lptA//ybhJ//lysC//queF//accC//ccmG//entH//ghxP//fetB//yggE//ycfS//hisB//ybaE//paaJ//mzrA//gutQ//cytR//tktA//rlmE//ftsK//arnF//fepE//araD//ilvH//
GO_0006082_4	insK//ydcZ//ugpA//kdpF//scpC//yjaA//yidK//proC//nadE//chpB//amiA//ydgA//mutH//hypB//galM//uhpB//adhE//amiC//ugpE//dhaL//argG//nadK//zapD//greA//radA//mngB//sodC//adiC//yjhB//mscL//yifB//insB-2//dacA//holA//ogrK//cvrA//dnaX//yghB//lon//dgoD//fadB//mdtF//ulaC//relA//cysU//fklB//tus//yihV//essD//rclA//tdh//frwD//mhpT//speA//yceD//yhhY//sucA//fre//gcvP//yhjG//glpG//rhlB//mrr//ybaE//ybjI//mioC//argF//mnaT//tusA//hyfC//alkA//csdA//csiD//garD//lldP//aceB//insI4//mrdB//waaS//hslJ//fhuB//ynfK//yphF//hypB//yraH//purL//mrr//cdaR//fre//lysO//yidZ//gstA//ygeR//yhhY//gutM//pntA//rplW//narI//infC//shoB//panD//bioP//spoT//sbcB//kch//tldD//ybiJ//ecpR//waaA//eamB//tbpA//rsmD//caiB//mdtB//clcB//pyrE//mazG//hypE//rpoH//shiA//yobA//dnaG//iscX//yihX//ydcI//glpR//fabR//rutC//mtlD//feoA//fhuF//bcr//entS//ydeE//greA//metR//yjfF//fliZ//pgsA//ybiY//elfA//cysB//yjjB//ebgR//setB//cbeA//lldR//rpsM//qseB//sdhD//brnQ//yodD//feoC//leuB//mraZ//hda//uspG//ycjY//ymfA//idnT//mcbA//norV//rpsE//feaB//eptC//umuC//dgcN//relE//ybhD//ybaL//miaA//nhaR//mliC//glpB//djlC//lacZ//gatZ//coaE//grpE//argC//cobB//cueO//yphD//trpR//yqeA//mdaB//fabI//dtpC//aroG//ydiO//ybaQ//pldB//idi//fixB//pphB//yhdX//osmE//gmk//ivbL//mutT//fliZ//fic//puuR//rph//ldtD//hlyE//hscB//focB//argA//obgE//thyA//alkA//pbpG//rnt//yacG//aaeA//ybiY//trpB//rpoH//proC//proW//gltX//intF//mgsA//glgA//umpH//uxaB//rplJ//dauA//osmF//purN//exbB//ribD//pheM//ligB//mrdB//pepN//ssuC//ulaA//hfq//queA//ssuD//acrZ//ibpA//glmU//bamD//zupT//rzpR//bisC//hofP//gor//dsdA//fdoG//yidC//msrP//rpsP//dnaK//fadA//ybhI//ppiA//pykA//frvA//yfcU//dinI//yjhI//lpxH//artQ//pyrF//gatC//tomB//hsrA//pgi//hemD//clsA//hslU//cpsG//nusG//insI3//glnB//hiuH//hisF//znuA//puuD//tdcG//rmuC//udk//arnA//rutE//ndk//yigL//ymjB//yfaV//otsB//cspC//gspI//glcC//higB//yafQ//kdgR//mhpA//pcm//lsrR//hemA//hypB//yjbF//moaE//yiiD//arnA//zapE//kdpC//ybjX//tatD//rhaD//blc//thrA//ygbI//ymjB//ascG//ortT//pnp//pgi//gcl//acpS//fruA//yfiR//mqsA//hexR//eptC//rpiB//tldD//lsrA//glnD//era//moaB//ridA//ydcR//casB//ycdY//pmbA//hpt//glnA//rfaC//msrP//flgI//iscA//tilS//pgaD//prmA//ghoT//cusF//hisQ//pepN//crr//hsdM//recN//mhpA//ssuB//rsmG//osmC//rcsC//hyfC//hscB//yqcC//agaI//ycjR//preT//mltA//ynfE//rimO//nrdG//cydD//lysS//dpiA//degP//yphD//yjhB//ecpR//yebQ//ygaH//udk//ilvL//hisQ//yddA//bioP//uof//gadX//ydhQ//osmE//ilvD//cmtB//hfq//dgt//rpmE//gluQ//ribD//pheS//cheA//phnH//glsB//atpB//obgE//rlmM//hexR//aroD//sbcC//ycfS//fmt//nrfA//exbB//thiQ//dicC//glpT//msrQ//ybhJ//mdaB//hycB//sbmA//tisB//yeaG//fepA//oxc//hslR//phnK//torR//mtgA//nrdE//slt//bglA//deoC//truC//gloC//bglF//ynfK//pdeR//pgpA//xseB//hyaA//ghoT//feaB//rpmB//rpsH//ymgF//pyrG//dfp//fecB//yihX//bcsA//lptA//ccmC//frc//metF//secF//nupX//yeaV//mdtN//zitB//ydiQ//rhtC//hybE//cspE//
GO_0006083_6	gshA//waaQ//proX//ibpB//yjbE//crp//
GO_0006084_6	uxaC//speF//
GO_0006085_7	sodC//phnN//
GO_0006086_8	yoeE//
GO_0006089_5	phnM//treR//cysI//rcsC//ribC//nemA//aroK//hslR//alsA//cysD//yjbF//ybcQ//csiR//csgA//torA//mrdB//ygiB//pabC//pheA//cusC//cysU//mntS//dgcT//zipA//deaD//yjeI//caiD//fadB//hisP//
GO_0006090_8	emrB//yjhI//dgcZ//arfA//citX//gutQ//fucI//livK//rplW//gadE//chbB//leuC//yaaA//ddlA//malS//ymgC//purC//sodB//ygcW//csgF//frdB//iscS//wzzE//tcyL//yfhM//ybaT//fdnG//ftsW//purN//intF//lolC//
GO_0006091_4	aldA//ytfQ//mrp//yihU//emrB//ptsG//ileS//ais//dsdX//yegV//ydiF//ytfE//abgT//lysO//moaB//ddpA//dkgA//ybhP//hemD//yiaB//torZ//rsmA//aes//ugpC//cysN//insH-6//ftsE//tolC//yegT//rutG//ppk//tauD//sseA//rhtC//yidC//arfB//rhtC//ftsL//arfA//gsiC//kduI//ydjJ//lacY//sufS//fucK//nrfE//galR//rzpD//ilvH//putP//rpiA//mscK//lpxL//endA//hicB//hchA//fimC//waaH//yhdH//mltD//acrD//recC//slmA//trpGD//afuB//mrdA//nlpE//flhD//napD//yqhC//dinI//ydjM//hfq//macA//birA//pepA//pspG//cysC//yieE//yieH//cspD//phnK//fabH//rapZ//fliK//yphC//bglF//purD//rcsA//nuoG//rhaS//yaaU//xanQ//fhuB//hemL//kdgR//ynbC//menI//yeiE//yieF//rplB//sdhE//murI//tsaD//bioF//yfeO//lhr//nikB//ispG//sfmD//rssA//mreD//
GO_0006094_7	opgE//ybaM//betI//gabP//dps//priA//gdhA//kdgT//modB//cyoA//
GO_0006096_6	fruB//elyC//sfmD//ppiC//fixB//trmL//nrfG//pykF//sutR//appY//dinB//hybO//proX//crcB//pepD//phoR//norR//yidQ//
GO_0006097_5	hybB//dhaR//alpA//iscX//flgE//
GO_0006098_6	ybaM//rluC//argH//cydC//aroK//
GO_0006099_4	cysK//nanE//tsaC//envY//fliD//rplW//pflC//yigB//mocA//yfjV//ibsA//ybcQ//cusS//ycjQ//pflA//ybiW//pabA//
GO_0006101_6	yfeX//pheT//lsrR//nagE//entA//lolB//dld//rpsR//ydiZ//rhaA//ydhJ//iscR//rapA//thiQ//yfdO//uvrY//betA//
GO_0006103_5	sbmA//rraB//rnhB//
GO_0006104_6	fimA//yigB//treF//
GO_0006105_5	clpA//rutE//ssuA//seqA//fryC//gabT//dauA//yjbF//
GO_0006106_8	uof//
GO_0006107_8	pdxH//
GO_0006108_8	yiaU//holD//gatZ//mepH//elaA//
GO_0006109_6	tktA//ygaH//dcd//katG//yrfG//fliG//mliC//artP//rpoA//
GO_0006112_5	pepQ//pabA//yqaE//cas2//pgaA//ygcO//yjaZ//yfeO//
GO_0006113_5	waaO//adiA//baeS//waaB//queC//kdpD//serA//marR//argB//glgS//ogrK//insK//yhfS//
GO_0006115_6	ogt//
GO_0006117_5	gsiC//
GO_0006124_6	otsB//
