#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	entB//katE//ldtC//arcC//
GO_0000302_5	dgt//dhaR//plsC//nimR//rpsT//ygfZ//ybdM//ybiJ//bioD1//allC//ybjI//dicA//nanE//rsmB//araH//nudC//ugpB//ydcP//lysO//selD//lysO//narZ//crr//artI//dtpB//holD//dbpA//relE//kdsA//yjhB//yeaV//
GO_0000303_6	tdcA//znuA//
GO_0000305_5	fimZ//yfiR//rpiB//
GO_0000372_11	ynfH//
GO_0000375_9	acpS//
GO_0000376_10	murJ//
GO_0000413_9	ulaD//sufB//rimM//eutB//htpX//arcA//aer//sbp//
GO_0000451_7	degP//maoP//cpoB//ybiS//yqaA//
GO_0000453_8	kefB//ompF//pgsA//lptG//hokE//
GO_0000455_9	ygeR//tktB//ispA//nupX//ridA//ftsH//yobF//
GO_0000462_11	casA//rbfA//
GO_0000469_8	tolA//
GO_0000470_10	gspJ//
GO_0000478_9	flgA//
GO_0000715_6	pdeH//
GO_0000716_7	cspI//
GO_0000724_8	pgpC//
GO_0000725_7	znuA//yedX//sdaB//mzrA//waaF//napD//
GO_0000726_7	hdhA//
GO_0000731_7	ampH//rep//znuB//mscL//elfC//bioC//ycfJ//
GO_0000737_7	yiaO//
GO_0000738_7	ybiJ//chbB//elfD//
GO_0000746_4	ymfK//
GO_0000820_7	ybeQ//
GO_0000902_5	pabC//
GO_0000910_4	treR//hybC//dsdC//ybiS//glnS//yfgJ//mtlA//ycjP//mnmA//rclR//gyrB//fhlA//frwC//zupT//rfaC//codA//waaL//gatZ//
GO_0000917_6	ansB//mdtK//ygbM//flgB//yjgX//
GO_0000918_6	rpmB//gstB//yagE//bioF//
GO_0000920_3	hipB//uidC//aroC//pnuC//fixA//
GO_0000921_6	rhaM//
GO_0000966_8	nadE//gshA//srlE//coaA//
GO_0000967_10	alpA//cysW//etk//
GO_0001101_4	deoR//rutB//ybfA//metQ//phnM//ydcR//sfmH//deoD//matP//yqaB//rseP//elaD//bepA//narW//yoaA//gabP//lsrK//glsA//ampH//garR//araA//lgt//yedF//ycgB//menF//lipB//
GO_0001121_7	luxS//ydjE//
GO_0001123_8	yraJ//
GO_0001124_8	thrC//
GO_0001407_7	dcuS//dps//msrC//yhaO//
GO_0001505_4	fhuF//crr//ybdO//ybhR//lolC//yhjC//trpE//garP//fliM//malY//gudD//yfhM//ybcM//moaD//rlmE//chbG//
GO_0001510_5	garD//gatA//nanA//hscA//trpR//hyfA//nuoE//artM//hyfC//gshA//fryA//trkH//yqcC//uspF//coaA//barA//argD//puuR//yedF//maeA//ratA//glpD//pnuC//rsgA//ubiF//lplT//casC//glyS//yadN//yieK//yeeJ//sapC//ybbY//rnlA//kdsA//fepG//sspA//yrdA//mdtG//nimR//
GO_0001514_8	alkB//
GO_0001522_7	yehB//fis//chbB//exbD//ubiI//galU//yejF//araA//rzpD//uhpC//srlE//menE//cecR//
GO_0001539_4	intZ//glcB//cbpM//yadI//cysG//arnB//ptsP//pyrG//nagA//frlB//nudF//yadI//pdeR//feoA//yiaO//glpB//artI//hprR//rstB//nlpE//dnaB//fhuD//erpA//fdoH//yjgX//ybiV//hisC//frvR//yneJ//kdsD//yfcF//
GO_0001558_5	rfbD//yneL//alaC//carA//greB//gnsB//yfdG//mdtL//
GO_0001561_6	wzzE//
GO_0001666_4	thiI//
GO_0001676_6	thrL//ynfE//ybaO//
GO_0001680_11	lpd//
GO_0001682_11	hyaD//
GO_0001731_7	yjfF//
GO_0001762_6	murQ//
GO_0001887_4	nadB//kefF//ttdR//
GO_0001896_5	perR//tag//wbbK//msrC//
GO_0001907_5	dacB//fhuF//truC//ydcR//
GO_0001932_8	iscS//mobA//
GO_0001934_9	yahO//
GO_0002047_6	yafQ//nrdD//
GO_0002097_8	amiB//cysB//ycjP//cysN//frlC//ygcO//thrC//aidB//rfbX//galR//amiD//qseB//yjjB//insI1//yajQ//narZ//sgcB//hpf//hyfF//
GO_0002098_9	tyrS//xerC//dnaE//norR//araF//atoS//hycI//yidH//fbp//grpE//dusB//tusE//cvrA//
GO_0002099_9	ttcA//pheM//
GO_0002100_9	bamD//
GO_0002101_9	cysK//hpt//
GO_0002128_7	yahO//nudG//lpd//ilvL//
GO_0002130_8	srlB//
GO_0002131_9	thiG//
GO_0002132_9	hybG//
GO_0002136_10	cbrC//
GO_0002143_9	yqeA//srkA//narQ//ccmG//idnK//fliZ//
GO_0002181_7	fau//kbaY//
GO_0002183_5	fucI//
GO_0002184_8	gltL//
GO_0002188_6	paoC//
GO_0002190_6	glcD//
GO_0002192_8	cyoE//
GO_0002252_3	glpD//yjcO//dbpA//nrdB//ydiQ//ybgP//elfA//groS//yihQ//hofC//
GO_0002790_6	yieL//nsrR//malQ//osmC//rplK//nrfD//bisC//
GO_0002937_9	xerC//
GO_0002938_8	gadA//
GO_0002939_7	phoQ//
GO_0002943_8	ldrD//
GO_0002949_8	rsmD//ynaE//ydbK//insI4//
GO_0003333_7	cutA//prfA//uvrC//osmC//trmI//infB//malS//ypdF//murF//decR//dinD//phnO//queG//dnaG//abgA//yihI//atpG//rlmE//yqeF//yaaA//rihB//cheB//malK//yagJ//hinT//frlB//dtpB//leuE//dnaN//dhaK//amiB//tufB//mntS//satP//clpS//lysS//waaB//fdoI//hokB//emrD//pgaA//narI//kdgR//yfeR//yjfP//radA//ygjR//fadE//yejF//
GO_0005975_4	lpxT//ynaE//potF//mhpA//yeiL//phnL//cusB//kefB//rimP//apaH//yidZ//galK//glrR//rlmM//cusR//greB//yihL//bipA//gspI//feaB//mrdB//rpnB//pdxH//lpxT//polA//pheA//ccmE//ydfK//tcdA//cycA//mtlA//gadE//ppiA//dppF//yhbY//tatC//dtpD//aslB//yjbB//dpiA//yneE//zapC//hemN//zwf//ldrA//hemL//pdxY//atoC//fliG//betT//cyoC//tsx//hrsA//narX//ftnA//secB//rplJ//fhuD//yiiE//glpD//bepA//malK//qseB//yadK//potB//rpmG//potG//fryB//sfmF//rpmB//rarD//xseB//ampG//mnaT//tauD//mngB//entB//nanR//yahD//yqeA//yjhC//moaA//hscC//insI-1//gstB//entE//yohC//nei//ribC//zitB//yijE//purU//chpS//ptsI//yhaC//yeeO//cfa//arcB//purU//wzzE//gspF//mdtP//rlmN//aspA//rhaM//gcvT//aspA//mreC//cysG//yjhH//thrL//cyoB//yafE//dxs//flgF//yejF//paaF//glnL//rmuC//tsgA//higA//fliZ//yfeO//yhdH//csgF//insI1//opgD//yfeO//hemN//pyrH//yjhG//udk//ybiW//yadG//trpL//narK//yiaM//fepA//prs//waaP//mrdA//ygiN//galP//mhpA//rzoR//cysS//nirC//ybiY//ytfR//yqjA//rlmI//sgcC//lpd//ydiF//bipA//rpsQ//codB//norR//yggE//serA//ybdR//kefF//pdxK//glnH//bioF//entC//bcsA//bdcR//atoS//slmA//yhcN//aas//dgcQ//rplI//ydjL//rutE//uhpC//ydiP//mnmE//murE//pyrB//katG//ydiP//rraB//tcyN//hldE//glnQ//hlyE//gudX//feaB//frlR//ubiB//yccS//agaD//tktB//cysB//yjhG//yiaO//fliG//araC//plsC//ybhJ//uvrB//melB//uidC//ydcZ//thiH//xanP//frwD//uxuR//rlmM//azoR//glyA//chaA//yajO//atpF//glcD//phnH//mukB//sodC//casC//rpe//potG//bioD2//tdcC//glxR//paaZ//yebK//yggW//rpoA//lexA//ybdM//aaeA//lepB//ybhJ//gpmA//ulaD//fadJ//ompW//ybiX//tas//ydfD//yggP//artM//yhdW//yfdR//gfcE//nrfC//eutN//malY//ubiH//argS//ihfA//sgbE//
GO_0005976_5	plsC//rpsR//rhmD//prfC//yqhD//agaR//rsmF//nrfF//abpB//artM//ecpR//kdpB//yjbB//polB//miaA//puuD//nepI//tsr//pgaC//astC//rdgB//bglJ//bdcA//yjjX//tyrR//zur//hmp//deaD//frwC//pyrE//barA//yjiR//rpmC//gutQ//lptD//cspI//yghB//tcyL//yidC//bamC//cvpA//emrY//actP//dcuS//smpB//smpB//nuoB//hisG//ycaN//tyrS//paaE//menB//xapB//rzpD//ybcJ//hcaF//ycjU//rsmE//mhpR//
GO_0005977_6	rpsB//soxR//elfD//ilvA//cobC//uacT//mdtF//yiaL//
GO_0005978_7	gpmA//mltB//agaW//valS//
GO_0005979_8	lptG//
GO_0005980_7	yiaN//xylF//yfhM//
GO_0005981_7	ompL//
GO_0005984_5	focA//glk//dbpA//sucB//prpD//ybhP//ccmD//folE//yceD//prfA//yedP//
GO_0005985_6	insE-1//
GO_0005986_7	yhbY//
GO_0005988_6	alaE//purT//
GO_0005990_7	hsdM//miaA//
GO_0005991_6	nagC//glxR//pgsA//insE-1//matP//
GO_0005992_7	mepM//epd//
GO_0005993_7	ddpA//rfaH//frvR//
GO_0005994_6	tufA//
GO_0005995_7	uspF//
GO_0005996_4	ccmA//dgoD//aas//pdxB//nupX//yfgJ//ydiZ//ribE//pitB//zwf//agaR//recR//rph//nanS//mlaB//yagG//yehP//oxc//nikR//tag//rhsD//fryB//uidA//shiA//yhcN//yqgB//nusG//dgcT//accA//manY//glgS//epmA//ftsY//csdE//yihT//serB//xerD//thiL//pcm//torZ//rpe//dkgA//yidZ//mukB//marR//glpR//dxs//lrp//nadC//nrfF//opgG//yeeY//pgaC//fixA//gldA//mqsR//yrfG//livH//seqA//sad//gudX//csrA//panF//hha//agaV//cysH//ompT//chbC//malP//ybiH//ygiN//cdd//yidC//tnaC//gntP//flgG//hokB//ibpB//kilR//ycfS//hemF//aroE//
GO_0005997_6	ybaQ//
GO_0005998_7	ykgO//
GO_0006000_6	agaV//era//mlaC//
GO_0006001_7	tdcC//kdpA//
GO_0006002_5	narI//astC//znuC//
GO_0006004_6	mrdB//rcnB//ftsZ//accA//pcm//mdtN//
GO_0006006_6	elyC//rseB//ibsC//sgcB//nanA//rplC//yehB//speD//dacD//menA//fadI//tyrR//ymgC//plsX//aqpZ//yihP//ndh//yneJ//ybcC//ydjJ//hscB//arcB//hemN//
GO_0006007_7	mdtL//betB//uspF//
GO_0006011_5	btuB//
GO_0006012_6	mnmE//lepA//ibsB//proV//fieF//intA//kdpC//dtpB//pepT//
GO_0006013_6	lptB//rssA//
GO_0006014_6	cysI//ulaC//gltP//
GO_0006015_7	cysH//asnA//
GO_0006020_5	cusF//
GO_0006022_5	yheT//tig//codA//rpsJ//yqeG//actP//ydiV//symE//galU//fcl//purB//dsbC//ymgF//srmB//emrE//wzc//pdxH//ykfM//ppiD//wecE//leuS//yidL//menH//rsmF//aroE//pphA//rna//cpsB//trmJ//yiaT//nhaB//epmB//proQ//cytR//ybaM//pstB//argO//ycjP//murJ//pspA//alr//tsaC//dtpC//yagJ//ldtB//torZ//truA//btuD//rpnD//dacC//mgsA//nimR//ccmD//yjcO//cyoC//mprA//wzzE//amiA//azoR//htrE//holE//dinI//selU//
GO_0006023_6	gloB//yiaJ//accD//lamB//aspA//sfsB//gloB//ybhP//atpF//prfC//xanP//iaaA//alaA//dhaL//yeeL//cadB//nfuA//mhpR//yadK//arcA//fklB//accC//pfkA//dauA//glvC//dgcT//dmlR//gsiD//fabG//yigB//ybhS//rspB//modA//artI//hycH//cysG//bglB//radA//ybiW//
GO_0006024_7	betA//gloC//cas3//maoP//ulaE//atpC//mdtK//rsfS//yfcP//pgpC//uspE//hisP//rhsD//truD//insI-1//glrR//yjbE//ybeQ//insH-5//folE//barA//dnaC//yneJ//kup//gspE//fliK//ymjB//selB//frvB//mtfA//bioB//sufA//pbpG//rutC//lpoB//mltG//trpGD//fabD//lptB//
GO_0006026_6	hxpB//era//ssuD//ldrB//secY//yehP//ftsQ//accA//narV//tatC//
GO_0006027_7	yieE//zraR//lapA//torZ//thyA//yceK//treF//brnQ//gltB//uidC//
GO_0006040_5	rutF//ybiT//mppA//caiD//secD//rluD//glnS//ydfD//nadA//proV//malF//flgB//fliS//hipB//ydgA//uvrY//nagB//
GO_0006044_7	dapF//shiA//cnu//xapR//fadK//
GO_0006046_8	melA//citT//ttdT//yqeG//
GO_0006047_5	argI//cobT//pabA//sspA//ptsI//tsx//wza//
GO_0006048_6	idnO//speF//cyoD//yfaE//tauB//nuoF//
GO_0006050_6	xapR//
GO_0006051_7	yggF//
GO_0006053_8	rclB//
GO_0006054_6	ybdO//accC//ygiW//sdaC//fadA//gltS//add//
GO_0006056_6	sapF//
GO_0006057_7	yjjX//
GO_0006059_6	artM//srmB//rsmB//mutT//
GO_0006060_7	yadK//
GO_0006062_8	hisB//
GO_0006063_5	pyrB//narL//yibF//dbpA//malQ//rplB//rimI//ycdX//ompC//
GO_0006064_6	elfD//rpsL//fcl//rcdA//bioD//livM//
GO_0006066_4	csdA//ybaO//lasT//nemA//adiA//eutA//tqsA//metL//pyrC//mdtO//nrfG//rppH//npr//ccmG//cpdB//adiY//fadM//cusB//mntS//ygeA//cecR//lsrK//cusR//thrL//murB//rhtA//sufA//clpA//rfaD//agaR//lpxH//marR//
GO_0006067_6	amiD//fhuB//ssuC//
GO_0006071_6	fabD//gadA//nfsB//zapA//narL//iclR//potG//
GO_0006072_6	rpsD//zipA//alaS//argD//rodZ//
GO_0006073_6	citX//yigB//ompA//fmt//dtpB//hinT//mhpT//ynfL//ccmH//glsA2//argE//yjhP//serA//yadI//edd//sfsB//sugE//yieL//cusS//sgbU//
GO_0006081_4	serC//yfbV//gcvR//coaD//ulaA//iscU//hha//yfcA//hycH//murI//iscR//exuT//emrK//clpP//arnE//mak//ynbC//tatA//rsgA//ycaO//lsrA//ttdR//ybaT//ghoT//argR//dcuA//rpsI//tsaC//grcA//yahN//ynfE//mglC//cysN//elfD//yodD//cirA//nagD//thyA//pgsA//rmuC//hybA//murE//yhbY//hcaB//yggD//cbpM//ynhF//proX//cysW//thiG//mhpR//phr//yegV//paaZ//ydiB//mntR//fimE//tatA//pabC//ltaE//hscA//solA//ghoT//sfmC//recF//fiu//pepN//
GO_0006082_4	nusG//cysH//xanQ//mltA//alsB//dauA//rutC//rpnA//etp//fepD//hscA//hyi//yhhZ//hemF//mscM//hyaD//hofO//yjcE//tas//hycI//bioB//cydB//yajD//dppB//potH//rclB//cusR//mglB//dacB//clpB//hcaR//hicB//pcm//phnJ//rdgB//metL//tmcA//arfA//basR//priB//yfaL//ybcJ//rhsD//msrQ//lpoA//rlmD//yagU//ypdF//trmH//exbB//fbp//npr//endA//eptC//ettA//ybbY//sgcR//relB//betT//tmcA//kefF//pflA//glrK//gcl//melA//pspD//aldA//glmS//cadC//proS//yeiG//cspI//amiB//ybcQ//lpxT//mepH//symE//ugpB//uraA//znuC//cheA//abpA//lit//metI//speD//lptG//putA//argT//ybfE//gspI//rsmD//nadB//yhgH//narY//dhaL//fdx//rep//ybjG//yijE//yiaN//mak//rplK//pykA//yfcV//zapA//ygiB//gltL//caiT//nudG//moaE//deoD//atoB//prfC//rbsA//ebgA//aslB//ykfI//rpsG//chbC//fsr//ttcA//clpA//exoX//osmF//insK//yidC//prpC//metC//paaF//csgE//mutS//prpC//ytfP//glnB//dppD//hisQ//torY//yaaA//potC//infC//ybcM//acpH//degS//yraN//pgm//trpC//fadR//fimC//emrB//iaaA//thiP//ygjK//treC//lptA//glcE//bamE//yejB//dmsA//msrB//rpoA//ydbD//dmsA//ybcQ//selU//tap//cysZ//ynjD//dgcZ//feoC//lpoB//glpR//mlaB//argE//fucI//pgk//dacD//tgt//gatA//scpC//secY//ftsN//fruK//lon//waaA//bglA//hchA//yehB//hdeB//appC//ydiR//yfiE//cspE//ybaM//garD//ilvH//yhbO//talB//elfA//exuR//ykgA//ybhI//greA//phoE//mazG//rbsK//atpD//yraH//cyaY//aer//nlpD//gshA//rlmE//dtpA//csrA//blc//rapA//rnhA//ldtD//pdxY//trpGD//sstT//sgcC//trkH//csgF//ydeT//fadK//xanP//bdcA//yiaO//ldcC//ddlB//pepB//glcE//kch//ftsE//acrA//wcaJ//cdsA//ydiO//ycjY//ivy//fmt//rplD//tusE//gcvR//nagC//nikA//ldhA//hprR//bamD//ybaQ//yeaK//rpsL//tauD//yraN//sucB//opgE//folA//betA//fucK//btuR//mepM//pyrC//bamC//pgk//pdeD//ftsQ//pppA//yneE//ynfH//yehC//yrfG//prpC//gsiB//mepM//rpnB//nanR//proB//pdhR//fimE//panE//nuoF//viaA//fcl//glgB//rpiR//cysS//hybE//endA//selA//rcsB//rhlE//rcdA//livG//pstC//cyaA//lsrK//gltI//caiE//zitB//yhaC//dgkA//oppC//sgrT//codA//epmC//wecB//glpT//glmU//ygiS//cmtB//ygdG//bioD1//ybiH//etk//rlmB//adiC//tolC//leuS//sxy//alsB//ybdR//thiM//topAI//dnaN//ykgF//upp//lpxK//artQ//appY//ihfB//ariR//fadM//dgcJ//mtlA//pntA//opgC//yceK//hprR//trmA//mfd//cpoB//araH//zupT//hycH//rrrQ//yqiH//efeO//yqjI//garD//ydiQ//mdlA//flhC//tynA//yrdA//metQ//srlD//maoP//nagB//queG//ygeW//mog//yqiJ//yiaN//glcE//xylH//agaS//melA//ykfI//clpP//yidD//hmp//xylF//frdD//malQ//dxr//rzpD//cpdB//pdhR//menE//flgE//rpsB//puuE//ybbN//rplR//yajD//lipA//ccmF//leuE//fieF//ytfR//yjhH//proW//yeeO//frvB//crfC//yejA//lplA//fadI//hyaB//tsaC//yehY//tufB//tatE//motA//ygaH//ybhS//ygcO//bepA//yqaE//menC//uvrY//roxA//mlaF//ygaZ//rcnR//yjiA//rodZ//dinQ//dnaE//slt//corA//paaA//ftsW//rpsL//ibsD//yieH//rmf//ggt//nagA//yiaF//yiaU//yihQ//cyoB//serA//rhtB//araH//yjjU//ghrB//aspC//gapA//aroP//ibsE//mltC//nanC//frlC//rplO//prkB//hycH//purF//yehY//yjbF//ydcI//dsdC//ybeQ//murF//bioB//ydjL//pyrF//torR//
GO_0006083_6	cmoB//psuG//yfeW//narZ//ytfE//acrZ//
GO_0006084_6	rpiA//phoQ//
GO_0006085_7	ybiW//ascG//
GO_0006086_8	aspA//
GO_0006089_5	prpD//dnaG//yhjA//ilvI//shoB//yddG//ybcQ//ybfA//yhaM//gnd//yafQ//nagK//kdsB//opgB//kdsB//hisG//nlpD//ybaE//tktA//araF//paaH//rarD//mlc//hcaF//cbrA//cutC//pldB//cbrC//thrC//
GO_0006090_8	hscA//glmU//rpoA//ycjP//deoA//pyrF//gutM//srlR//ftp//glnP//tyrA//ygfZ//aes//mmuP//mcbR//ackA//ybhP//plsC//dkgA//fepE//agaC//ldrA//mreC//melB//pgpC//emrD//guaB//ybaT//ribE//speA//ndk//
GO_0006091_4	hyaC//phnI//yfaV//lapB//murE//tusA//yohC//dinJ//dgt//pflA//gabP//ssb//msbA//rimL//lplT//norV//tusC//ariR//murB//ulaA//proC//lpxK//yhdW//dgcN//intQ//ptsP//cpdA//mutS//mntR//yidC//aroB//yajR//yieK//prmB//aphA//metG//fliZ//dcuS//yraK//yebG//srlR//pspG//glpT//astB//cysQ//ydcS//abgA//hiuH//cysS//bssS//cysM//btuR//ygcR//grxD//acpS//pgrR//dsbA//tdk//feoB//gpt//yraH//phnC//mdtC//lolB//glvC//yjfP//glpB//uvrY//envZ//garK//ydcS//pdeH//zinT//holB//adiY//ssuD//surA//csgE//mltF//bioH//ydiO//mepA//abgR//ansB//wcaB//pstA//csdA//fruA//ghxP//raiA//ebgR//glpG//ynbC//yibH//rbsA//kdsC//eutB//recD//mtr//yafC//cmoA//mnmG//rimI//yfeD//aroA//nuoI//rluC//ptsN//sfmF//yhaC//mrdB//pflC//
GO_0006094_7	yigB//ftsA//ynjA//csrA//mlaD//sdhB//pbpC//pepQ//yggT//rcdA//
GO_0006096_6	rsmH//ndk//rsmA//rcnR//pykF//hyfF//galM//csiD//fhlA//proW//alsK//efp//norR//uhpA//cysS//accA//tusA//rlmD//
GO_0006097_5	waaH//panC//nudB//narG//bamE//
GO_0006098_6	smpB//bipA//waaS//sapA//ubiI//
GO_0006099_4	eptA//argB//ycbX//agaI//ddlB//tdcC//aroK//yehC//rpiR//clpX//motA//yggP//higA//citE//proS//ybiH//gltL//
GO_0006101_6	hsdM//relA//flgD//nagZ//agaB//cmoB//ydiO//yjcE//mhpT//lysU//msrA//ynbB//uspC//ubiX//kbp//slt//appY//
GO_0006103_5	yfcG//msrB//cytR//
GO_0006104_6	entS//eutN//fetB//
GO_0006105_5	rfbC//hemE//yfcP//deaD//ygaV//ppx//pth//ybaQ//
GO_0006106_8	feaB//
GO_0006107_8	torZ//
GO_0006108_8	yecS//ppiA//betT//rsgA//ligB//
GO_0006109_6	ydiZ//ytfP//yigB//bcsQ//rep//rpsK//sfmC//rffM//pspA//
GO_0006112_5	lacY//rplD//ydeT//ydhJ//yggN//yhfS//hyaC//trpC//
GO_0006113_5	mdlB//malF//atpA//rpoH//mgtA//nuoN//garP//xerD//ilvA//ybaQ//pabA//tyrA//yehP//
GO_0006115_6	nhaR//
GO_0006117_5	sstT//
GO_0006124_6	citC//
