#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rhaD//mdaB//dcuB//xerC//
GO_0000726_7	yidA//
GO_0000731_7	fimI//nanT//nirC//cusB//slyA//fimZ//gabT//
GO_0000737_7	tdcB//
GO_0000738_7	dxs//mntS//cspI//
GO_0000746_4	nagZ//
GO_0000820_7	envY//
GO_0000902_5	garR//
GO_0000910_4	potD//prlF//yiaA//ydcZ//trkG//gabT//yciT//nikD//folM//kbaY//talB//pgaD//rmuC//ribE//nrfA//lysP//yahN//pfkB//
GO_0000917_6	cydD//ppsR//arnE//paaX//tdcE//
GO_0000918_6	pyrF//rfaH//gloC//yehC//
GO_0000920_3	yiaU//yidP//kup//uxuR//hycI//
GO_0000921_6	gspI//
GO_0000966_8	yigB//sfmF//yphD//gltS//
GO_0000967_10	nagZ//entH//yaiV//
GO_0001101_4	ycjU//tisB//nrdE//yqiG//ubiB//yehW//glgA//pdeR//miaB//tyrB//mliC//envC//murR//acrD//dcm//rcsF//emrK//hflC//pcnB//oppA//lit//ymdB//menB//yddM//yihU//mutS//
GO_0001121_7	ascB//yidZ//
GO_0001123_8	ybhI//
GO_0001124_8	ydeM//
GO_0001407_7	amiD//hycB//otsA//deoB//
GO_0001505_4	tufB//basS//malZ//nhaB//aroG//moaC//patA//livM//csgB//sgbU//pspD//bioD1//cheY//paaG//tusE//tyrS//
GO_0001510_5	yahF//coaA//tolA//yfaX//pdxJ//rffM//sad//ftp//mutL//rnb//rnr//tolQ//ygbL//lpxM//acpS//trmI//citC//yegT//mepA//osmY//folA//gabP//chbG//dauA//yihI//zipA//glnP//ydiF//torY//dgkA//rraA//wcaC//dtpD//ytfE//galF//btuC//yajO//rbsC//gudX//glmU//
GO_0001514_8	gcvT//
GO_0001522_7	yhcN//hdhA//asnC//insH-6//flhE//insI3//sdhE//ycfJ//gltK//coaD//adeD//paaG//marR//
GO_0001539_4	yjiX//paaZ//serB//yidC//rsuA//rayT//yebQ//ygiV//yhhY//torA//nagZ//fhuF//rffH//malK//hsdM//poxB//ydfH//ykgA//metB//mfd//zapE//rbsK//mnaT//argB//mfd//dtpC//fiu//yoeB//perR//ariR//fdx//
GO_0001558_5	dam//citG//cmoB//hprS//puuA//alr//dcyD//alkB//
GO_0001561_6	gapA//
GO_0001666_4	hyaC//
GO_0001676_6	fimZ//idnO//serB//
GO_0001680_11	ybaL//
GO_0001682_11	pppA//
GO_0001731_7	rhaA//
GO_0001762_6	yfiF//
GO_0001887_4	msbA//prpC//dinJ//
GO_0001896_5	rcdA//aspC//bamC//prmB//
GO_0001907_5	entH//dcuR//torS//ftsB//
GO_0001932_8	yhgF//metL//
GO_0001934_9	ybjD//
GO_0002047_6	yciT//hisQ//
GO_0002097_8	yobA//lolD//lpp//yfcR//ahr//yaiV//tpiA//grpE//glpR//gcd//adhP//feaB//lplT//hslU//trkH//galP//mdlA//gltS//menB//
GO_0002098_9	gstB//rclB//aer//prpC//mqsA//ibsC//nuoB//mhpR//orn//matP//proC//mipA//fetA//
GO_0002099_9	yehY//mutL//
GO_0002100_9	tusB//
GO_0002101_9	fdnI//yfcQ//
GO_0002128_7	sucD//flgK//mdtB//insK//
GO_0002130_8	rsgA//
GO_0002131_9	yiaL//
GO_0002132_9	rtcB//
GO_0002136_10	tesB//
GO_0002143_9	elfA//maoP//bluR//ygiB//sstT//acpH//
GO_0002181_7	yfcU//ynfH//
GO_0002183_5	dppC//
GO_0002184_8	yfaX//
GO_0002188_6	csgF//
GO_0002190_6	ppx//
GO_0002192_8	tesB//
GO_0002252_3	ung//ulaE//valS//creB//nuoL//ftsI//yfeR//yggE//gcl//tusC//
GO_0002790_6	yghO//ygiS//ybiV//yjeH//ompA//ydjJ//thiP//
GO_0002937_9	ygbN//
GO_0002938_8	fliZ//
GO_0002939_7	purT//
GO_0002943_8	ychO//
GO_0002949_8	ydfH//pphA//yjcS//xerC//
GO_0003333_7	parC//caiE//waaG//yegD//flgM//gltP//pepB//yaaA//narP//mrp//ribF//nagD//nrdG//pnuC//gatC//mdtO//yrdA//ampE//cobB//ycjP//insI-2//sgbE//yagG//nrfD//yphD//lpxH//rpsS//ispG//azoR//ibsC//dcm//nikC//btuF//paaX//mreD//adk//appY//nusA//fumA//ybiX//aspC//menE//hexR//ybgQ//parE//yobF//yeiE//waaC//ynaI//
GO_0005975_4	rlmH//ygaZ//yiaL//intQ//opgG//luxS//alsC//qorA//glsA2//garR//groL//pspC//hdeB//rlmJ//frwB//dmsC//hofM//sgbH//hdhA//flhD//rcnA//csrA//allB//ydhC//yehT//yieK//yihS//entE//cadA//dmlA//feoA//tyrR//ubiC//lptG//gapC//yjiX//yebG//nfsB//hyaD//bdcA//gcvT//oppA//acnB//rayT//acrE//yraN//rnb//glpK//ypjD//cmoA//orn//aceA//pbpG//waaC//atpF//umuC//pgaA//icd//alaC//rihC//rpnD//bamB//rihA//rraB//ompR//csrD//ptsH//topB//entB//hrsA//ydcP//wzyE//cusR//pphB//pdeH//rplF//secY//mhpT//narX//ybaQ//mntS//serC//yceK//hcaB//lasT//ispH//lamB//sdaA//yahF//ykgO//manX//yacG//yrbG//dgcE//flgA//ibpB//kbaZ//yhbQ//yeeJ//xylG//yneE//nikD//iraM//mdtJ//idnO//pgrR//hisF//recE//ygaV//fepC//dicA//trxC//lgoR//cusA//dinQ//fliA//cadB//clsC//ydbK//mtfA//nikA//dinI//mhpD//lgoR//ftsH//frmR//murQ//eptB//yhjA//ycjQ//metL//proA//dnaC//fkpB//mntP//gstA//aaeA//fliS//yegD//lolB//entH//yggT//cusS//hslV//rtcR//pbpC//macA//acrD//norW//sucA//atoC//mltD//rzpD//atoB//nuoB//sgcA//sufB//leuD//pflB//queE//fbp//afuB//hofC//tsaB//mltF//lipB//apt//ygbL//sgcE//cdsA//kefG//ulaD//gyrB//intQ//entA//betB//fixA//entA//yacG//nanS//sfmC//npr//deoB//deoA//yedA//exbB//ytfE//brnQ//yhdX//pdxA//yebC//yfeO//chpS//malY//trkH//torY//rpsN//ycfS//ihfA//pncB//wza//dnaB//aroE//sgcR//sodB//nagK//ulaR//oppF//tktA//afuB//nadE//csgF//ygfA//ompA//insI-1//guaD//agaA//fnr//hisG//ahpC//ugpB//phnO//ispF//ubiG//cspD//insA-2//menD//araE//ybaE//gcvH//yaiW//mdtP//yjcS//yjiY//fsr//paaK//cspI//yafO//allC//nrdG//yjjQ//yajD//fnr//uraA//lysR//ydbK//entB//proB//rcnB//glxR//rimO//dicA//ybgQ//glcF//
GO_0005976_5	yfiF//rof//ycfL//rapZ//aroG//phoP//clsC//thiE//yijO//ogrK//ybiH//rapZ//yiaJ//prmA//yidP//uof//waaJ//sugE//rapA//yiaL//argP//hybA//yjfP//uxuB//fdoH//smrA//mazG//pspA//eutB//hprS//pdeK//cyoC//nrdG//gltD//emrK//rhtA//iclR//rlmN//gpp//hycB//sapD//torY//cadB//borD//qseC//yfcV//proA//cspI//trpD//aroL//aspS//malI//pepN//rsmJ//nhaB//ygjK//dcuB//glsA2//fimG//
GO_0005977_6	psuT//rutE//gatC//tyrR//yfcA//lolC//ilvN//kdgR//
GO_0005978_7	yciA//tcyL//hisM//sapC//
GO_0005979_8	nuoB//
GO_0005980_7	tig//dgcM//nupX//
GO_0005981_7	clpP//
GO_0005984_5	lgoT//ydcO//ygbL//rimJ//mglC//rclR//hflC//phoR//torD//lrp//mocA//
GO_0005985_6	thrL//
GO_0005986_7	yfdG//
GO_0005988_6	rfaE//idnK//
GO_0005990_7	rfaQ//hofO//
GO_0005991_6	hisS//pspF//cysC//gspE//kefB//
GO_0005992_7	fabA//fepD//
GO_0005993_7	yfdS//opgC//rlmG//
GO_0005994_6	stpA//
GO_0005995_7	narV//
GO_0005996_4	cspD//ampH//yrbG//mtfA//folA//yejE//proQ//pcnB//bisC//coaA//modA//gspE//nei//sgcA//dtpB//ilvI//dsbB//yiaB//garR//fmt//zraR//proV//yraJ//cdaR//mdtE//tyrR//fieF//ivy//blc//trpB//rseC//rnhA//dtpD//pldB//yqiH//psuG//purB//trpR//ypdB//pdxH//ubiJ//gldA//metF//srlR//cecR//cspI//yegV//thiM//otsB//deoB//ogt//glpX//perR//ygeR//rpoD//dmlR//fdrA//allC//hofQ//puuA//speG//yfcA//puuA//araD//spoT//fbp//truC//prfB//ydjM//norR//ldtE//torY//ilvL//cysP//sufB//erpA//dcuB//topA//aroB//kbaZ//cspA//yphD//
GO_0005997_6	tufA//
GO_0005998_7	sgcB//
GO_0006000_6	hemL//tcyL//mtnN//
GO_0006001_7	cheY//aaeA//
GO_0006002_5	cutA//rfaD//sspB//
GO_0006004_6	creB//proQ//lplT//pgi//pgrR//cadC//
GO_0006006_6	mdaB//yiaN//chbG//ruvC//kbaY//ycjY//ftsA//dgcM//roxA//arnF//ada//folM//tdcF//mhpA//bioF//yqhC//ypdI//malE//frdD//mdfA//spy//yjbG//ybcQ//
GO_0006007_7	hcaR//fepC//yfdR//
GO_0006011_5	truA//
GO_0006012_6	cusR//nfsB//ybhA//folA//rlmL//valS//putP//trpR//hemL//
GO_0006013_6	insI3//rlmD//
GO_0006014_6	tabA//pyrB//yjjG//
GO_0006015_7	ccmA//rcdA//
GO_0006020_5	pgaC//
GO_0006022_5	cof//carA//dinJ//nhaA//abgT//bioP//garD//dacC//uhpB//proW//seqA//rsmH//tisB//rhaD//hemF//yciV//csdE//yedA//udk//proB//ebgA//rutG//yahN//lpxM//hcaE//caiB//envY//mtlR//nuoL//hcaR//kch//yiaF//rarD//rplA//srlE//cheB//yiaO//tldD//hcaT//btuC//yafN//pspC//mhpA//fmt//suhB//ushA//mprA//csiD//rfaG//ada//mdtF//rhaD//arfB//moaC//nirC//sugE//mltD//cyaY//ygbI//ybhA//yebS//ompR//nupG//
GO_0006023_6	ratA//tsx//ytfE//ebgA//acrB//argA//tap//lsrG//pykF//preT//folA//cusB//ibsD//rsmC//rpsB//mocA//narI//fhuB//cdh//ycfS//acrR//rfbC//entF//flhE//pepQ//yjbH//prpB//yehT//holD//msrP//flgI//phoR//glnQ//fur//yoeE//asmA//yahB//pdeK//fimZ//
GO_0006024_7	gpmA//ykfI//mrcA//rseP//speG//feoA//fryC//yfcR//parE//dacB//mltG//nlpD//nrfG//ydjJ//ptrA//ygeW//lysC//ppc//yobA//dapB//tas//yjjX//wzzE//ispA//betA//xylG//der//rnlB//ispA//tqsA//yfbR//fucI//paaC//etk//zupT//sufB//serC//rfbB//dnaT//
GO_0006026_6	gltI//pphA//yegV//dgoA//wecE//yagG//dgcQ//tpx//gatY//srmB//
GO_0006027_7	djlC//macA//wcaB//mnmE//prmB//menC//bglA//yciK//yqhD//glsA1//
GO_0006040_5	nirC//atoC//fdnH//yggT//udk//tap//epmB//dbpA//insB-2//ynaI//napD//tolC//hcaT//sdhA//fetA//yebK//ffh//
GO_0006044_7	proA//aroK//yfdO//gfcE//artM//
GO_0006046_8	yibT//ydiR//rhtC//osmY//
GO_0006047_5	yahN//uvrY//arfB//rcsA//hyfR//nadD//flgD//
GO_0006048_6	sbmC//recA//cydA//ruvB//ybgP//dkgA//
GO_0006050_6	gapA//
GO_0006051_7	appA//
GO_0006053_8	yaaY//
GO_0006054_6	rutC//btuB//xanQ//ahr//envR//ptsI//insI3//
GO_0006056_6	agaC//
GO_0006057_7	csgA//
GO_0006059_6	bcp//sdhD//moaE//casE//
GO_0006060_7	murG//
GO_0006062_8	ccmF//
GO_0006063_5	htrE//yehP//alaS//ynfF//nuoL//upp//fdrA//dgcF//ydiV//
GO_0006064_6	pgi//insB-2//ycbU//hemB//fkpA//rfaG//
GO_0006066_4	mnmC//agaB//casB//rlmI//yddM//pitA//rutD//yjfF//gsiD//glnE//ynhF//cheZ//galS//idnT//smpB//glrR//mazF//ytfT//ybiI//birA//msrQ//dsbA//deoR//orn//mlaB//pflC//pncB//aqpZ//ybjD//mltD//kefG//panZ//
GO_0006067_6	truB//ymfA//ppc//
GO_0006071_6	dhaM//rlmI//yggW//mepS//lnt//paaZ//lapA//
GO_0006072_6	yehY//narL//mrdA//mtn//glpK//
GO_0006073_6	yiaA//deoC//nrdA//gntR//rlmF//mrdA//yaaY//pinE//yfbV//glmS//murA//flgG//msrB//acrZ//ybjD//ruvA//pdxK//citG//nepI//preT//
GO_0006081_4	aspC//yodD//sucA//cysN//phoR//tauB//hcaE//kdpE//ybiI//betB//maoP//essD//yegT//ydaV//glyS//cmtB//folX//alkB//rluD//trmJ//mdtJ//argO//ybaM//proC//cecR//agp//lapA//phnN//kdpE//fliZ//nlpD//upp//yihX//nagA//truC//ilvH//ygfI//insI1//appB//narU//lptC//oppB//sugE//arsC//fadD//sufE//yrbG//dfp//tbpA//ybjN//sucD//gltD//lldD//rplM//hcaR//umuD//pflA//gnd//ygbM//purN//tatB//mgtL//ftsK//wzzB//wzb//fucK//ssb//
GO_0006082_4	nusA//yhdH//intE//cysB//dld//astC//ygdG//sbcC//trmB//speC//hyaC//galU//lhr//rtcR//ydfD//hchA//rpmC//yjcO//ecpR//yihU//ftsX//rzpD//artJ//casD//envZ//yihR//rplF//hycI//hdeB//nrfB//fetA//ulaD//agaV//ybiY//pepB//elyC//tdk//tdcD//pheS//nfsB//ispF//rfbC//xylA//amiB//accD//hcaD//rclR//uof//ytfP//yjcS//puuE//yphF//grxD//ycjD//rplI//waaF//ybhI//pyrF//modC//fepB//eutB//trpGD//yhcD//yejF//folD//yciG//nhaR//dtpC//pgaC//kduI//hisI//ygbN//gatZ//dgoK//leuB//ycdX//dhaR//mnmE//oppB//wza//sgcC//lysU//rseB//mdaB//ttdR//kdgT//diaA//livH//gpr//dnaJ//ttdR//trpR//nlpD//yjjV//gutQ//ulaF//dsbG//yjhI//ulaC//trmH//yhbO//ndk//hisQ//yraK//narL//wzzE//ymgF//slmA//fimG//yihO//purA//hemB//fecA//katG//ruvA//yneJ//ibsB//radD//moaB//sgcA//waaO//ssuC//sfmD//yghW//glnK//ssuD//yehB//shiA//gadE//gadW//fhuD//polA//oppD//dacA//ygbI//smrA//sixA//eutD//fau//tabA//hofM//tig//aroE//rsmB//manX//ygeX//argE//agaW//acpP//alkA//yiaL//hcaF//mepH//tmcA//nuoM//aphA//paaD//glpK//cdh//folA//amiA//hicB//glgC//yafC//ssb//casC//hypE//yqaE//murD//gapA//yhbY//waaZ//casB//ebgR//yjjI//mtgA//tgt//narL//sufE//mdtB//nrdB//rfaE//rep//yfcU//dicB//umuC//mdtI//ilvH//rcnA//pstC//rsmD//oppD//kdpE//ddlA//dnaK//flgK//surE//potE//ydjH//appC//ydcR//rpsQ//emrE//ispB//grpE//ybcJ//frc//ulaB//priA//rplR//dapA//kdpA//rbsK//prpC//yfdG//yegD//yajR//asnB//hupA//pspG//cysC//idnD//pcm//proW//dppF//sfmD//cyoD//coaD//ybiW//lpxM//yhjC//idnD//gyrB//yggT//dauA//rna//ybeY//spy//priC//mcbR//nagC//agaA//aroE//pitA//btuR//mqsA//mzrA//ftnA//malY//nrdG//hemC//yjaA//phnM//yecS//cas1//uvrA//rhlE//nth//pflB//slyA//potB//glsA//manZ//mlaE//yciG//ybdR//bcsQ//yfdS//era//gloA//purC//cusF//rplA//zur//ydeP//pdeH//pabB//srmB//cyaA//efeO//yqcG//pbpC//glpX//nuoF//fhuB//nupX//patZ//atpA//dkgB//ypjD//rhmD//yfeX//yadG//higA//cptB//hda//queD//yihS//ycjP//hofC//tsaE//fabI//nrfD//argT//ydcO//groS//mqsR//gph//yebQ//hsrA//recD//prkB//mprA//yedF//rpsP//kefC//cfa//xapA//hslJ//ada//folX//paaK//rlmJ//ais//idnT//ydcP//tauA//ybhR//mdtI//msrP//cheA//xylG//tolA//rhlE//ycjQ//mraY//pgk//pck//uxaA//yagE//feoA//torR//nuoI//ybiS//map//epd//paaD//moaA//argF//alaS//rpoS//intQ//yegS//cfa//dinG//lpxL//mug//nlpA//ubiA//rcsB//yfaL//ppsR//gntU//rstB//ogt//nudG//fruB//epd//ypdB//trmD//aroD//yiaJ//uxuB//yibA//uidA//rpmB//uidC//zwf//cspD//ilvD//fryC//ygeX//lpoA//ydeM//mntH//lptB//pstS//yhfK//rhmR//ygeX//yahI//lgoR//cspI//yejA//ilvM//gshB//yphC//oppD//cadA//prlC//ubiE//yidR//ygeA//cutC//rbbA//tusC//cynX//yhhZ//rpsM//trkG//queF//ydcT//relB//fetA//leuC//gadE//amiC//rimL//mdtO//ymgC//srlB//hscC//acpT//yabI//ybaK//dnaJ//btuD//phoB//rnlA//kefF//lplA//raiA//rhoL//yehX//cusS//zntA//trmO//dinJ//nupX//mprA//ytfE//dnaT//pdxB//fhuB//rbsB//scpC//tgt//ldtC//hisD//hcaB//priB//lldR//hyfF//hdhA//murB//ldtA//amiD//rpmF//argI//ihfB//
GO_0006083_6	caiE//tpiA//ahpC//helD//pflC//fixA//
GO_0006084_6	psuG//slyA//
GO_0006085_7	dgcF//rimL//
GO_0006086_8	rdgB//
GO_0006089_5	kdpF//putA//yhjR//manA//yibT//degQ//rplD//kdpD//moeB//hisB//lgt//arnF//lptG//yfeX//mdtJ//pflB//yraK//glpD//luxS//mngA//slt//cysM//recQ//zwf//paaF//fkpA//cirA//ulaE//cheA//
GO_0006090_8	yhjR//ygjK//ddpA//ybhR//insB-2//oppD//wcaJ//hypA//exuR//dacC//mscM//menC//gpp//abgT//hisC//entE//moaC//ribE//obgE//dusC//glgS//narX//sdhE//uof//ytfP//ravA//rsgA//hprR//idnT//ybiI//flgH//
GO_0006091_4	yaiW//hcaB//ppsR//hybC//ascF//glpK//cusF//yhbQ//groL//nupX//yodD//malK//slt//yaiV//yahF//rpiA//aroA//gfcE//prs//glpG//nupG//acpS//yqgF//folX//phr//rffT//rpmA//yfeD//purA//insI3//mdtL//fhuC//sspA//bglJ//cobU//manA//galU//rzpD//ftsA//gldA//fliG//glvC//cspB//tcyJ//rhtA//xseA//nudF//rsmH//acrB//pabA//pgsA//tonB//rpsH//glgX//bolA//ldrB//nagE//nudC//hslO//rppH//ybaE//ybiW//wcaJ//htpX//rapA//pdxJ//zntA//hyaD//alsB//rsmG//rapA//sbp//carA//pphA//ypdB//osmC//agaI//rpmG//selD//metH//rpsP//kdgK//xylH//gfcE//ghoS//ampD//ycbB//preT//gltI//dtpD//elfA//dnaE//mak//rfaC//insF-1//hflC//tusB//rnlB//dcuB//adiY//yidH//mtlA//rhaT//chbR//oppC//dicA//lldP//dctA//fieF//osmC//recE//rsmF//
GO_0006094_7	ygaV//lolA//flgI//livH//wzzE//yehU//pgpA//ulaE//gsiB//pdeD//
GO_0006096_6	cpxP//secD//tolQ//grxD//iscA//rhaM//waaS//rcsC//rapA//yhbS//glpT//aphA//ilvC//serA//ribD//mrdB//ompR//envY//
GO_0006097_5	trmI//mscL//ybhR//yieK//mtn//
GO_0006098_6	cueO//ymdB//cheB//yadG//ycjQ//
GO_0006099_4	gsiA//ilvC//dusC//yfeD//pyrD//tktA//yhgH//mcbA//nirB//puuR//rhsD//fumB//gph//trkH//rhtC//evgA//narJ//
GO_0006101_6	yhaV//crl//dppA//waaF//mak//potI//cmtA//rhaS//ftnA//trmH//uxuR//sucD//phnN//rhtC//cyoC//exbB//baeS//
GO_0006103_5	rpmC//argD//mdtN//
GO_0006104_6	ynfF//ybcJ//dkgB//
GO_0006105_5	hisC//mglC//yidP//tyrB//ulaG//rpsG//rimK//pflB//
GO_0006106_8	insI3//
GO_0006107_8	rnpA//
GO_0006108_8	flgD//fecC//ynfH//ydiZ//dapB//
GO_0006109_6	pyrC//yjbF//hybC//nlpE//ytfP//nikB//ynfF//ybiT//pitA//
GO_0006112_5	cvpA//zipA//ybfA//rcnB//yqcG//uhpA//symE//yajL//
GO_0006113_5	phnO//ptsG//fkpA//leuA//fhuB//mgtL//pntA//paaA//adiY//yhhZ//nfi//prfB//gatC//
GO_0006115_6	xthA//
GO_0006117_5	csgF//
GO_0006124_6	rplY//
