#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	flhA//ppc//polA//soxS//
GO_0001505_4	arfB//clsC//aceA//lplT//ftsA//araA//malX//ackA//metN//yciV//ycaN//lptD//uidR//rplD//frc//gadB//
GO_0001510_5	queD//ugpE//glnA//ydjL//lsrG//ftsK//ftnA//lexA//rrrQ//pspC//ais//folD//purN//yehX//shoB//entD//hypB//alkB//artI//folX//yfcF//mdtQ//rtcR//ompG//tdcA//envC//ubiB//casB//rpmJ//trkA//phnP//ydcR//ddlB//prpC//xylG//btuB//acrE//ybgI//fumA//casD//
GO_0001514_8	rpsI//
GO_0001522_7	ppsA//idnT//tcdA//ybeY//mscL//potA//shiA//metR//fdnI//yghG//chpS//iscS//yhjB//
GO_0001539_4	setC//phnI//psd//eutR//menC//solA//mlaE//tusA//cheR//btuD//ldrD//phr//glnE//aceA//mlaE//paaB//ybaM//iaaA//alsK//nirD//kdpE//sbmC//birA//gsiC//hslU//cmk//pstB//rdgC//ycjR//narI//sgcA//
GO_0001558_5	sdaB//menD//aroP//cysE//yfaX//fepG//yfbU//pepT//
GO_0001561_6	trpC//
GO_0001666_4	hypF//
GO_0001676_6	bioD1//mhpB//phoR//
GO_0001680_11	rfaD//
GO_0001682_11	sdiA//
GO_0001731_7	cspD//
GO_0001762_6	ydaN//
GO_0001887_4	kdpF//mdoD//ygfX//
GO_0001896_5	rclB//fadM//lptA//valS//
GO_0001907_5	scpB//folC//lrp//arcC//
GO_0001932_8	yhjV//mscL//
GO_0001934_9	ydiO//
GO_0002047_6	tusA//murJ//
GO_0002097_8	hybO//appB//serC//epmC//lldP//gmk//yfhM//mdtL//yhjD//sgbH//queE//yafN//pdeF//mngB//tauD//ydcP//yphC//acrZ//btuD//
GO_0002098_9	osmE//sucD//phoQ//ddpX//dsbC//kch//ybiJ//ybaT//entB//ldcA//viaA//ykgF//yieE//
GO_0002099_9	rcsD//ftnA//
GO_0002100_9	rusA//
GO_0002101_9	yagJ//glyA//
GO_0002128_7	tufA//ygiW//rpmC//galK//
GO_0002130_8	sgcX//
GO_0002131_9	lptC//
GO_0002132_9	gudP//
GO_0002136_10	cca//
GO_0002143_9	codB//motA//ypdA//dtpA//ycgV//sucA//
GO_0002181_7	rplT//spoT//
GO_0002183_5	thiQ//
GO_0002184_8	hicA//
GO_0002188_6	yjhB//
GO_0002190_6	fdoI//
GO_0002192_8	fepA//
GO_0002252_3	ssuE//rpsL//hemA//moeA//lyxK//mrp//cysW//panD//cas2//yidP//
GO_0002790_6	oxc//ygiN//rbsA//ycaO//lysR//garK//acnA//
GO_0002937_9	rutB//
GO_0002938_8	smrA//
GO_0002939_7	topAI//
GO_0002943_8	srlB//
GO_0002949_8	bluR//gnd//sspA//thiM//
GO_0003333_7	yggW//bamC//aer//ibpB//dfp//narX//cydD//fliM//ybiH//rng//dctR//groS//citG//hisP//pdeR//chbF//udp//gudD//frdB//hybF//pbpG//hypA//lysO//tsaD//efeO//rhmR//plsX//ynfK//rhlB//fruB//araA//yddG//ydjJ//asnC//wrbA//yfcP//rraA//ybbY//gyrB//yihO//fixB//wza//cysK//metE//cpoB//potB//glgS//hemA//yedL//
GO_0005975_4	cspE//gltD//nikC//yghG//phoA//sgbE//citT//gltL//tyrA//dtpD//sucC//slt//fetA//panB//livK//folD//rbsC//pgsA//rsuA//yjjU//cca//waaS//amiD//ybcF//prmA//frmB//xylR//flhA//yggE//glgP//ompA//rluA//sdaA//ybhR//mntR//deoB//xylB//rplE//ybeQ//argO//afuB//fic//proS//arnB//recG//mscK//rpiA//argG//pckA//zapB//ptsG//yecS//fdnI//puuD//tar//gadX//nmpC//speC//prkB//xapR//dinJ//pppA//osmF//lptG//tolQ//phnP//bolA//rpmC//ybiI//ibpB//cysB//appY//frdD//tusE//tpiA//cysP//pmbA//fabZ//chpB//ushA//kilR//infC//mog//ccmH//yajQ//yjcO//yihI//dnaQ//rbfA//glpG//elaD//gapA//icd//rplB//pgaB//wecB//ispU//dadA//hslR//epmB//ompT//nirC//fabG//prpD//opgH//btuR//uxaA//cueO//rnhB//dinB//fliD//lolB//malX//ybiA//nemR//pncB//pphA//rffT//trpB//yqaE//kduI//mcrA//yiaU//ydcT//ymgC//flhD//fabG//ybhS//ldtA//rspB//alkA//dcuA//lysC//der//hyfC//kdgT//tolB//yfgI//dgcQ//hisD//yfbV//gltS//galF//yjiM//tusB//nikE//fepC//ygiV//ttdA//yccX//yiaB//yedA//tyrA//yehB//chaA//kgtP//panZ//rdgB//csiD//fecA//flgC//dapF//cynX//idnO//yeiG//dnaK//phr//rcsC//metH//pgaA//fliA//marR//dps//thiG//rpoE//rpsS//uidA//hsdM//cynT//potD//yraI//murR//glpB//srlD//kbaY//yfaX//wecE//yadI//thiC//gltP//ybaE//yjiA//yjhH//dnaA//dsbG//yfcF//paaJ//zur//ybaK//pth//tcyL//mutH//lpxP//uhpT//galR//sdhC//treC//ygdG//insI4//yggF//hha//phoU//rcdA//waaA//yhdW//pcm//cysH//rfaD//alaE//hypD//iscA//dnaJ//rnlA//nfuA//aceF//ssuD//cmoM//rffG//ampG//paaJ//yidP//fliA//frdA//lpcA//ghxP//exuR//cspG//dgcF//cpoB//alaS//wbbK//narW//prkB//sdhC//bsmA//rfaH//insH-5//cspI//purB//rtcR//leuC//eutN//waaU//yddL//
GO_0005976_5	ybdZ//secB//yidP//ttdT//rbsK//lolD//emrB//ybfA//yebS//gntT//acrR//yibT//bolA//tauA//ycbB//uhpB//hisC//yadG//insI-1//lgoR//narV//fhuF//rbsB//pdhR//prs//kdpC//livH//putA//pliG//xisR//thiH//yafC//sfsB//melR//pitB//yehX//sthA//malI//fadJ//cspC//nei//hemN//cpsB//umuC//yqcG//tdcR//cydB//pgl//hslR//baeR//phnN//zitB//kilR//yfeR//gloB//mlaE//ariR//nfi//atpH//
GO_0005977_6	lysC//rnb//lgoD//flgD//ygeW//flgA//rbsC//eutB//
GO_0005978_7	pepQ//torA//trkA//metN//
GO_0005979_8	gadA//
GO_0005980_7	yceD//ygeR//yjiQ//
GO_0005981_7	speC//
GO_0005984_5	yjjQ//lptF//leuB//opgG//kbaZ//sppA//ycfL//yddM//selB//gmk//ycaO//
GO_0005985_6	rpmC//
GO_0005986_7	ugpC//
GO_0005988_6	rne//sucB//
GO_0005990_7	eptB//dxr//
GO_0005991_6	ygeV//truD//yqjI//ansB//yciK//
GO_0005992_7	mrcB//ccmD//
GO_0005993_7	araA//yfeR//nfi//
GO_0005994_6	ppiD//
GO_0005995_7	mglB//
GO_0005996_4	proQ//nrdF//leuE//nuoL//dnaX//tolB//bacA//aroL//hisA//uvrD//trkG//hemN//nuoG//bamC//rnb//purB//ccmH//ycaN//cmtA//lpd//osmF//rpsS//ascF//torZ//elaB//umuD//aidB//dxs//fumC//dnaE//psuT//uidA//gshB//topA//cutA//yjbF//fhuB//rfaG//fadI//cmk//chbG//trxC//ygfZ//hisS//kefG//garK//appC//flgG//yghG//ppc//yidD//ybdR//pnuC//mntR//parC//yqcC//betB//ubiJ//yidD//pdxA//opgE//amiA//gspF//tqsA//tpx//rarA//codB//tolR//thrB//sufA//allB//degS//bioA//paaJ//rpiB//fryC//ygfX//ddpA//cysU//pdxB//ptsG//sucA//
GO_0005997_6	rhlB//
GO_0005998_7	rplB//
GO_0006000_6	bglJ//ygcO//ssuA//
GO_0006001_7	fkpB//dmlR//
GO_0006002_5	eamA//lldR//yihP//
GO_0006004_6	hisB//pmbA//yccX//ybjD//mcrB//rsmJ//
GO_0006006_6	ahpC//dcuR//uxaB//yhdH//xdhB//dsdC//yheT//rluF//asd//ftnB//deoD//glcF//kdpB//bolA//yjhP//cobS//pfkB//yeeJ//cysI//nuoH//proX//aroL//citC//
GO_0006007_7	gapA//nemA//modA//
GO_0006011_5	rplS//
GO_0006012_6	yfdS//opgG//nadD//rsmA//fliD//sucA//potE//nmpC//rimJ//
GO_0006013_6	kefG//adk//
GO_0006014_6	aroD//secB//rimJ//
GO_0006015_7	yhbX//ycdY//
GO_0006020_5	rpmA//
GO_0006022_5	waaC//grxD//yqiH//yieK//gspE//ccmE//pflA//secD//rpoE//yafE//rpoD//uspB//yjiY//rppH//yjtD//gyrB//cvrA//moeA//nrfA//pykF//yedP//mdtB//nuoM//yfcQ//ypdA//ytfQ//yigB//tusB//yehD//metL//purN//argF//gnsB//yidZ//hofM//argE//kefF//yegD//ttdR//cutC//hmp//ffh//cobB//ccmD//thiQ//yfaE//zapB//yqjH//crfC//ebgA//rffC//mlaB//udp//fur//ydcZ//menE//prc//uvrB//dnaG//fhuF//dicA//rfbC//deoD//
GO_0006023_6	alkB//rtcR//dgcE//fryA//puuD//waaL//dcyD//glcD//ubiB//clpP//ispH//bglF//elaB//yfdS//casC//pykA//cysE//cmk//adiC//fliL//pheT//ybaM//viaA//mcbA//tadA//relE//yajD//xdhB//mmuP//glrK//adeD//purU//diaA//yheT//gluQ//tehA//yahN//narL//etk//
GO_0006024_7	yjeH//agaI//hybD//bioB//ybaO//moaC//insI3//yciT//fliT//ibsB//greB//gntP//rhaT//cdd//speA//leuC//cedA//ackA//ycaN//tamB//hofC//eptB//fimB//emrB//recO//argD//rclB//yceO//mgrB//amyA//yjtD//livJ//otsB//paaK//ruvC//iscR//frvA//ycaN//yejB//
GO_0006026_6	cyoC//pdeH//hybF//mutH//argT//mdh//dmsA//ybeY//hscC//yacG//
GO_0006027_7	rplI//cspA//xylA//tolQ//ttdB//mioC//mdtB//yhjG//argB//hybF//
GO_0006040_5	yjtD//ansA//hypT//folD//secG//lepB//pncB//asnB//entE//insH-5//plsC//zapC//uxaC//tufA//rnpA//ymfA//rarD//
GO_0006044_7	tabA//menI//fabB//yahO//rlmG//
GO_0006046_8	rimL//fis//hscA//aroF//
GO_0006047_5	purF//ygbM//bioH//waaC//yidH//yceD//sufD//
GO_0006048_6	mltA//tauB//bioD2//udp//tpiA//sgbU//
GO_0006050_6	mnmA//
GO_0006051_7	katG//
GO_0006053_8	dinG//
GO_0006054_6	acnA//livF//rpmG//yahI//ykgA//yqaA//fdoI//
GO_0006056_6	rapA//
GO_0006057_7	cdsA//
GO_0006059_6	kgtP//tolR//opgG//pyrL//
GO_0006060_7	dgcJ//
GO_0006062_8	rzoD//
GO_0006063_5	chpS//malI//mlaE//dadA//iaaA//ynaE//menF//torD//wbbK//
GO_0006064_6	rsmB//yehY//garK//pepD//cadA//adhP//
GO_0006066_4	mprA//bioD//fdhF//sbcB//cmoA//phnG//gatD//mhpT//rpnB//yneJ//fadE//sbmA//yjjW//otsB//rplT//puuR//hokE//gutM//hyaA//ydjL//pgpA//yfiC//argB//ybjC//yiaA//rplC//psuT//hslR//truD//ulaG//ydjK//hypB//
GO_0006067_6	pcm//uidC//serS//
GO_0006071_6	ydeO//yjhG//ydgA//ybcQ//purA//dmsB//kdpA//
GO_0006072_6	cynT//yifB//eutK//yfbV//yehX//
GO_0006073_6	thiD//ghrB//galP//mliC//thiI//artM//idnT//rhaR//insI4//oppA//yfcA//preA//dnaN//mdtC//infB//yagI//flgG//gntP//guaA//hybE//
GO_0006081_4	lsrK//yfcS//sufC//agaS//ygjK//chbR//bioB//yqgF//kdgR//amiD//yadK//hchA//ydiO//yedX//sdhA//argS//dkgB//rlmG//hipB//eamA//yeaG//secM//intF//dmsB//ogrK//rutG//agp//mgrB//yjiM//ompN//mnmC//elyC//ypdC//osmE//nikA//lpxM//kdpF//trg//asnC//phoP//lon//aroB//ygbL//lexA//ebgA//zntR//ydfK//yneJ//intZ//ycgB//adiC//trkH//murE//yhbY//lpxH//pepD//dgcN//yhaV//yfeD//ybbY//clsC//rluA//bioH//sufC//moaC//allB//glgX//
GO_0006082_4	alsE//tadA//ycfS//ispF//uhpA//yihX//gadC//tauB//rusA//mhpR//endA//ispG//rpsJ//paaX//narH//yciA//ydhQ//ebgA//mtlR//ydfK//arnB//alr//rseB//cusC//tdk//nei//yihR//mutM//hdhA//ygbN//bacA//yciF//lsrR//ygjH//pabB//glnB//garR//lpxL//solA//mepM//tolC//torA//yggD//rpsL//dicB//nrfB//hemD//dicB//ghrB//ubiH//rho//proW//yjjU//yifB//trg//acs//yqgF//ribC//mscM//sdhA//mltD//ldcC//uvrB//yihV//oppC//rbfA//flgB//rlmM//trmO//ydcS//acrA//mdtL//oppD//yeaD//priB//yidK//perR//gntP//hflX//pth//pheM//potG//upp//rof//metF//upp//cydC//rcsB//lpd//zupT//ydaN//rsmE//fimZ//tesB//dut//ybjX//sdaA//yhaJ//hsdM//kdpA//pal//paaH//frdC//yafO//tatD//emrD//sufB//queF//ugpC//nuoH//ybaM//aphA//dapA//ybaK//mutL//murQ//ypjD//gltX//ynjA//dppD//bcp//fruB//fabR//degP//dnaQ//gloC//emrK//recA//rplD//gapC//rseC//fecD//cra//ilvN//hemL//nemR//tap//clsC//insI1//ycjU//rhaR//fepE//ampE//ybiW//nuoI//nrdE//ftnA//dctA//rfaF//malK//lamB//rutB//hdeA//oppA//mqsA//fabZ//tilS//pspC//hemB//yedA//ushA//ygfZ//dtpA//ibsA//hicA//yfcP//fryB//dinD//yadM//hypB//cynS//ybiO//puuE//glyA//fdrA//puuR//ydgA//ffh//lsrA//rpsQ//ompN//yodD//yggD//nanS//ubiX//adeQ//ccmD//pykF//nupC//hxpB//uxaA//mepS//uspG//nuoF//gatY//rssA//yadC//speD//casE//trpE//ygiB//smpB//xseA//hisH//aroF//btuB//ldrA//waaH//glgC//phoB//sdhE//zapE//htpX//nrfB//yjjI//feaR//frwD//ftsE//btuB//rrrQ//yafO//sugE//dcuB//gyrA//nanS//hokB//ettA//glsA1//csrD//yggX//fdnG//yfaV//abgT//macA//mntP//secY//yfcR//rsgA//barA//katE//dedD//metG//atpD//yqaB//potC//yodD//nrfE//atpA//dnaN//lptG//waaP//qseB//lptA//prpR//lgt//fdx//agaD//waaU//appY//rhsD//ibsC//lptD//yieE//ubiG//hicB//gsiC//priA//ugpA//fruB//nfo//tqsA//allC//cmoB//rsmB//ygcO//ydcZ//yeiL//glk//hisB//acpP//cusS//lptE//bcsA//ilvL//mscM//setB//rhaT//pgpA//upp//plsC//ydbK//pgaC//ybdO//tldD//treA//hflK//ybdG//potI//mngB//glsA2//scpC//rpnB//recC//guaD//hflC//prpD//cmoM//metI//yagF//mltF//ydhQ//metI//rffT//ubiB//thiD//cobC//glcE//rppH//thrA//radA//adiY//pheP//msrC//pyrH//asmA//dgcN//dcuB//allB//acpH//proX//mltB//rfbC//hipB//tdcC//hcaT//yjhB//yojI//mltF//hyfF//fadK//rutB//yiaM//preT//ndh//ydfK//gnsB//bioD1//nadK//poxB//ygbI//gapA//actP//rspB//yoaA//zur//fre//arnT//gpr//rsmD//aroF//symE//hisS//pgaA//nrdA//nanS//ppsR//glgC//ynfK//ubiE//slmA//ycjD//wzyE//valS//sspA//sad//zupT//mgtL//yfeX//mltB//clpP//rlmB//cca//secM//dicA//yeaG//potF//queG//mug//yigB//uspF//nanA//azoR//pmbA//pabA//rusA//yahN//acrE//moaB//rfaC//yjiQ//appA//ydhJ//ydhQ//lsrK//zipA//priC//bdcR//yeeL//ibsA//arnA//hyaC//gadC//mazF//ycjY//melR//citG//hofC//tolB//ubiX//fdnI//ygiW//nrdR//zraR//tatD//hlyE//ycgV//ybdM//cyoA//umuD//emrE//ybhJ//argE//yijE//glnP//cbrC//ybgI//mltC//dsbB//rcsB//deoC//fimC//rsmB//ymgA//corA//casD//sugE//yhiM//tolA//maoP//lptD//abpA//ydiZ//ldrB//lepA//gspE//infB//lptB//araC//tufB//era//
GO_0006083_6	nadD//holC//nikA//ybdM//copA//gsiC//
GO_0006084_6	bdcA//pdxY//
GO_0006085_7	hypA//frdC//
GO_0006086_8	lhr//
GO_0006089_5	yfgO//mdtI//mazF//ydiB//narG//dsbG//yheT//oppC//erfK//narY//rpe//secF//cobS//rcnB//tdcG//exoX//fucO//fliT//ybiV//fumB//ykgA//ariR//cca//parC//ariR//rpnB//artJ//bioF//nfi//
GO_0006090_8	nupX//frc//opgE//mqsA//kdgR//gfcE//menB//aroH//relA//mak//hcaE//tsr//rssA//ribE//cspB//glk//frdA//bioP//lldP//opgG//mnaT//dgcE//panD//pheA//deoA//nrfE//argA//cbtA//dgoD//fkpA//yiiE//
GO_0006091_4	ybhI//hcaC//artI//rpnD//yehY//hxpB//sppA//fucK//yaiW//fhuD//flgM//rbsD//queF//ddpA//yjbE//xisE//ybiA//mscM//trpS//yggN//proX//ydfD//mdtP//yihX//lpxP//parC//eutD//thiL//fecC//opgH//bamD//uhpB//flgF//dhaL//thiE//ribF//fucK//radD//lgoD//rpsL//uidC//aspS//hyi//pinR//lysO//hemC//znuB//rna//ssuB//ygiW//yfjR//yjjB//nagK//hycA//yfcS//speA//dkgA//cheY//dinD//ldcA//mcrB//kdpD//sulA//zinT//yahI//fucK//ypdC//ybiT//ssuB//sgcE//torS//mfd//cvrA//tnaA//dsbA//ygeX//ssuA//yehB//prfC//araG//iraM//recN//rpmG//yjjB//ybjN//hypD//cyoA//narW//hemE//ada//hdeA//dpiA//aceB//comR//ftsY//rlmA//yijE//lptG//tgt//ybeQ//fdrA//fixC//csgF//nemA//truB//ydaC//narP//sgbE//yphD//asmA//rpsI//trmL//
GO_0006094_7	rutD//caiF//rbfA//hdeB//dppF//hflC//tesB//add//ybhG//yfiF//
GO_0006096_6	hypA//patD//dnaC//mntR//dxr//mdtG//waaJ//crfC//flhD//fliT//glpR//secM//hscC//uxuR//pncB//kdpC//ldcA//pmbA//
GO_0006097_5	osmY//fryB//fdoI//rbbA//rmuC//
GO_0006098_6	gatD//xylH//gmd//hprR//pdhR//
GO_0006099_4	fetB//yiiD//preT//tcdA//rlmG//lsrA//murQ//narU//nupX//ansB//metH//yijE//rlmD//amiC//pinQ//aroC//sohB//
GO_0006101_6	ghxQ//malK//trpC//eutN//gcvA//narW//ynbD//ptsN//hokE//fumB//allC//pstS//ebgR//flhA//mdtN//cycA//ydcM//
GO_0006103_5	ispA//cdd//yhfS//
GO_0006104_6	rutA//truA//glcB//
GO_0006105_5	tatD//rhaT//gph//cecR//elfC//hisC//cspE//ldcC//
GO_0006106_8	yebS//
GO_0006107_8	yihL//
GO_0006108_8	lpoB//sapC//gadE//cueR//alsA//
GO_0006109_6	cmk//dgcQ//alsK//ascF//ravA//wcaC//yafN//folA//yebZ//
GO_0006112_5	yqiH//rimJ//tdcC//trmJ//ydbD//phnL//syd//dsdX//
GO_0006113_5	napC//chbG//gadX//ymfA//yjiR//aqpZ//yihO//viaA//gdhA//helD//gltX//aceA//ispH//
GO_0006115_6	kduD//
GO_0006117_5	ahpC//
GO_0006124_6	clpS//
