#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	frc//yhcH//amiB//menI//
GO_0000271_6	ghxP//yddM//secM//selB//acrZ//tauD//sdaB//yneE//rlmD//cyaA//yciE//prkB//cueR//ygjK//lysP//bepA//tsgA//rpsD//rmf//abgT//yfhH//chbF//ldrA//ftsA//phnK//npr//yjhC//rffC//agaI//tsaB//ynbB//dicA//marR//mdtP//arsB//yghW//frlR//efeO//selD//rssA//tsf//cbpM//aceK//endA//hipB//ampG//yhiM//rseP//nadK//ytfT//
GO_0000272_6	cysE//hemC//slyD//pitB//ftsL//mngB//
GO_0000302_5	idnK//ompC//ydiZ//ibpA//citE//rpsN//rcsB//phr//gltD//yggD//dhaL//yedA//rclA//galP//cusS//kdpE//nuoB//setB//lpd//dgcZ//xylH//serC//yigB//aaeR//aidB//ynjD//phoR//ihfB//rfbC//bglJ//gabT//
GO_0000303_6	yhcH//dsbA//
GO_0000305_5	macA//cspI//fixC//
GO_0000372_11	ygcR//
GO_0000375_9	tnaC//
GO_0000376_10	ytfP//
GO_0000413_9	actP//yjjI//ykfI//treA//frvR//wzyE//sseA//yebZ//
GO_0000451_7	elfD//sgrT//yhbY//ybiX//hisC//
GO_0000453_8	pgpA//waaS//sgcA//slyD//ppiA//
GO_0000455_9	lolC//ibsA//aroL//rtcB//ygbL//ycdY//hypF//
GO_0000462_11	mreB//rnc//
GO_0000469_8	flgA//
GO_0000470_10	uspG//
GO_0000478_9	ybjD//
GO_0000715_6	pgl//
GO_0000716_7	uraA//
GO_0000724_8	sfmA//
GO_0000725_7	zapE//tehA//trpD//uhpA//sfmA//rrrD//
GO_0000726_7	pspA//
GO_0000731_7	mutH//cusB//dnaX//cysG//opgG//nanR//ykfI//
GO_0000737_7	torC//
GO_0000738_7	hybC//uxuR//garL//
GO_0000746_4	queA//
GO_0000820_7	yejF//
GO_0000902_5	yhaC//
GO_0000910_4	aphA//mtfA//gltK//rcdA//fliK//lysA//ydcR//ydcZ//rpnA//yhjX//erfK//ivy//recA//rodZ//sufE//sad//lplT//manA//
GO_0000917_6	uxuB//nrdG//rzpD//yeeA//rpsR//
GO_0000918_6	ibpA//yidP//pheT//ssuE//
GO_0000920_3	fixA//tisB//ssuD//narH//abpA//
GO_0000921_6	trpS//
GO_0000966_8	thiH//yebC//flhA//bamB//
GO_0000967_10	kdpA//rcnA//mlaF//
GO_0001101_4	cheB//glnQ//scpC//yeeL//pheA//yeiE//tcdA//tadA//aceF//bcr//dgcQ//rph//plsC//tpx//selU//ygiW//mdtQ//cspD//gntR//uhpB//hprR//rsmD//nadC//insI-1//agaI//rbsB//
GO_0001121_7	sucA//yfeD//
GO_0001123_8	proW//
GO_0001124_8	fabI//
GO_0001407_7	ygeA//proB//ycbV//aceB//
GO_0001505_4	rlmB//paaD//dauA//exbD//csgG//yddG//hdfR//cysH//rpsR//rplT//yehU//oppB//xisE//deoD//yhjX//macA//
GO_0001510_5	frdB//rsmB//sixA//pepB//pgrR//mobA//mcbA//ygjH//yeaD//eutD//ridA//lplA//frvB//srlR//fliK//ttdB//yehZ//hxpA//ldhA//csiD//yagG//hscB//mcbR//ndh//ais//ubiB//fryA//insH-6//ydiB//rapA//fadK//rlmN//rnb//yjjV//pbpC//hisS//glmS//cadA//hycI//patA//
GO_0001514_8	rplI//
GO_0001522_7	gadC//yggD//ynjA//ybhG//yhjD//yhaV//mdtC//nrfE//rpnA//fucA//trmB//ydiB//yihV//
GO_0001539_4	adeP//yraN//yciG//rplI//hcaE//rpmH//bcsQ//nfsB//bioH//rclC//fdhD//ycjY//ybdR//lptG//hscC//yidL//bamA//metE//msrA//betI//ydeE//hofQ//ftnA//intQ//yobA//flgF//pspD//poxB//cusS//hisH//nirD//
GO_0001558_5	marA//solA//fixB//ibsA//coaA//rcnR//intQ//ruvC//
GO_0001561_6	zapA//
GO_0001666_4	zraS//
GO_0001676_6	pdeL//dsbA//gutQ//
GO_0001680_11	ybjC//
GO_0001682_11	fsr//
GO_0001731_7	holA//
GO_0001762_6	yggE//
GO_0001887_4	aaeB//exbB//rplC//
GO_0001896_5	yhiM//yidR//yobA//rluD//
GO_0001907_5	oppA//hofC//insH-6//sgbH//
GO_0001932_8	yneJ//msbA//
GO_0001934_9	sgbU//
GO_0002047_6	sdiA//cynT//
GO_0002097_8	glvC//hupB//puuC//sdiA//cdsA//waaB//leuS//atpF//ispA//ulaA//ybaM//rcdA//yejE//rapA//yfcG//narL//rpnA//mtn//sdhC//
GO_0002098_9	fixA//torA//fis//thiP//truB//higB//ebgA//argS//pldB//diaA//lpxM//yqaE//purD//
GO_0002099_9	appA//bipA//
GO_0002100_9	rbsB//
GO_0002101_9	kefG//paaA//
GO_0002128_7	yajO//nrfA//yggX//dsbD//
GO_0002130_8	sodB//
GO_0002131_9	lpxM//
GO_0002132_9	tsaC//
GO_0002136_10	fmt//
GO_0002143_9	pspA//cysS//nikA//napF//acrE//trpS//
GO_0002181_7	ypdF//yifB//
GO_0002183_5	nrfE//
GO_0002184_8	tsr//
GO_0002188_6	wcaB//
GO_0002190_6	rlmC//
GO_0002192_8	mhpC//
GO_0002252_3	hybG//mlc//alsE//amiD//nrfC//frlA//gntU//fimI//rlmM//gadA//
GO_0002790_6	narY//dinJ//malF//mdtG//nhaR//yccA//psuG//
GO_0002937_9	ygfX//
GO_0002938_8	msrC//
GO_0002939_7	nrfB//
GO_0002943_8	ushA//
GO_0002949_8	fkpA//entD//hdeB//ttdT//
GO_0003333_7	fumB//yggF//secD//rmf//yihW//opgB//yiaJ//evgA//murQ//tehB//tas//carB//cpxA//sspA//bglA//citE//valS//tdh//menD//macB//upp//yqiH//creC//alaC//pyrG//ivbL//pheS//fabD//rpsB//yoaA//cdsA//trmJ//paaC//seqA//degS//glpK//ybaO//acpS//intQ//gcvP//yahB//azoR//dps//guaB//yfdK//glcD//hrsA//ycjP//ilvA//
GO_0005975_4	hpt//yiaL//tufB//fcl//hisQ//adiA//katE//xanP//cusR//gspE//rimI//rzpR//yiaT//cysE//yphF//fabD//ycgV//dmsC//exbD//ymgC//sgrR//dapA//yhaC//rlpA//rnhB//aaeR//sdhD//mdtK//bcr//yqhC//serC//aroF//flgB//mdtD//uhpC//ydiK//sgcC//fadL//ivy//artI//purL//cheW//amiA//tusE//yhfS//nagZ//nrdD//ldtC//phnL//nusG//yeiG//yoeB//ilvI//yfcV//recB//ppx//degS//malP//puuE//mrcB//surE//nudF//yfdC//waaQ//hchA//idnK//pmbA//htpG//preA//yigL//hisS//cueR//sodB//paaK//cof//rpsH//obgE//atoC//nemA//yggE//ilvH//msbA//ycbX//sgbH//idnD//ydbD//fecD//uspE//nanK//tsf//yiaA//malK//rcnA//rsmG//pta//tynA//arnT//fucK//cysZ//rclR//hrsA//hisD//thrC//yjhH//yjiQ//rpiB//bioD2//mlaE//tsaB//eno//yfcP//ykgO//deaD//murP//ruvA//nupC//rodZ//eptC//nadE//yebC//rraA//bglX//yidC//rpsT//gltL//astB//chbR//creB//fdhD//yhcN//trmL//osmY//rpmC//mutL//yeiE//nhaA//yafQ//tsf//ybdM//hcaF//hyaC//sxy//torY//cspA//thiQ//gstB//fliA//rsmH//rbbA//mcbA//tolB//potE//cyaA//ampE//cyoD//sppA//yphF//acrB//ftsW//rna//pepT//gltK//lnt//agaW//ispU//leuC//bolA//fbp//ycgB//yhjB//ybiV//aphA//yahF//ggt//rcsA//bipA//rlmH//yejF//znuC//aceB//rsmH//rplP//skp//ldtE//gspI//lpoB//fucP//bipA//ydeT//dtd//fimH//uvrC//higA//ydeE//yeaG//kduD//dcuD//argS//yagF//gutQ//cutC//ynbD//rbbA//yiaL//dpiA//dnaC//murI//fucK//gltB//napF//gldA//malZ//wzyE//paaD//tcyP//ychO//rplK//alaE//ycjP//menF//intS//ubiE//dtpB//pdxJ//yohD//iraD//slyA//yggN//lpcA//arnB//ybdO//mmuM//nanT//gpmM//zraS//ypdA//glcA//acs//lolC//bolA//gutM//yhdJ//ydeT//chpS//ccmG//pdxH//yafC//leuB//ftnA//trpC//gpmA//yajQ//glvC//torS//
GO_0005976_5	gcvA//trpB//dgcT//puuC//yqjA//ykgF//chiP//ilvB//ychH//ibaG//motA//tap//msrA//lpxB//nanE//yoaA//soxR//ampG//yqhC//mglA//yciV//nanK//allC//elyC//mcbA//dcp//mutH//pepT//nfuA//hybC//ampH//yoeE//fruA//thiM//gltS//sdhB//csdE//holB//potC//pspA//amiB//mlaE//prpC//ydcS//wecC//rbsB//manY//ompT//ibpA//mdtG//casA//shoB//gatZ//degQ//rutR//sbcD//recC//narZ//pyrD//
GO_0005977_6	yfgO//yjbF//malG//yidH//grcA//ybeF//phnH//elyC//
GO_0005978_7	kdgK//bglB//elaD//fmt//
GO_0005979_8	yeiL//
GO_0005980_7	lldR//mqsA//nadE//
GO_0005981_7	alsB//
GO_0005984_5	dgcN//eamB//kdsD//pntB//malK//lptG//rtcR//suhB//hyaB//rluA//topB//
GO_0005985_6	clpS//
GO_0005986_7	insF-1//
GO_0005988_6	iscX//uidC//
GO_0005990_7	leuC//gatY//
GO_0005991_6	yajD//glyS//yjjV//gsiC//rimI//
GO_0005992_7	garR//tsf//
GO_0005993_7	rbfA//cmoM//yodD//
GO_0005994_6	mlaF//
GO_0005995_7	murI//
GO_0005996_4	manX//alaE//dsdX//cpsG//narP//yqgB//rsuA//hupA//potH//dmsC//ubiE//rnr//yhjC//cmoA//rpiB//plsB//dacB//slt//yidQ//mdfA//gatD//kdgR//etp//hemD//ygbN//yqgB//rpoA//insH-6//ftsW//gatA//mmuM//rep//rpsL//hrpA//nupC//ybdN//nuoI//kdsC//iscA//metL//cirA//ymjB//gatY//rdgB//ygeA//rimL//ybhJ//ilvC//tsf//ackA//ghrB//xylR//hcaD//ybcF//lacZ//yneJ//focA//kduI//ptrA//rplJ//ampD//dmlR//panD//narH//cysK//yfcP//yidR//ileS//prfC//appB//yadV//livH//thrS//napA//ispH//adeQ//xylE//gadW//glpR//trmO//pitA//tktB//
GO_0005997_6	sspB//
GO_0005998_7	tsaD//
GO_0006000_6	abgB//araC//dxs//
GO_0006001_7	tolQ//znuA//
GO_0006002_5	xerD//alaC//avtA//
GO_0006004_6	edd//fdnI//yhdX//hisI//ydbD//cysN//
GO_0006006_6	deoR//trg//hslJ//frvR//chpS//frmA//miaB//gsiC//xylB//glnQ//yajO//yidR//chaA//mcbR//pgaA//pgpA//ibpB//acpS//mhpR//phnK//glnK//ydiF//pepA//
GO_0006007_7	cpdB//mdtD//ascF//
GO_0006011_5	mgtL//
GO_0006012_6	sodA//ykfI//dnaA//xanP//dgt//ybaO//hsdM//treC//nrfE//
GO_0006013_6	moaA//guaA//
GO_0006014_6	murR//ompT//psd//
GO_0006015_7	purU//gntT//
GO_0006020_5	icd//
GO_0006022_5	priA//acpP//menI//rhlB//csiR//eutA//leuA//rimM//basS//cutC//adhE//yjjI//amiC//casB//mltB//cysB//araG//ssuB//flhE//insI1//nusG//paaF//tnaB//mntS//yedP//ftsZ//lepA//xisE//rpmA//yejE//yjcE//hybB//cvpA//pepN//hypE//ddlB//ftsB//rlmE//hdeA//phoU//fdrA//umpH//yidL//pbpC//leuA//lpxH//holD//ugpB//metH//tldD//fadR//amtB//afuC//cysU//gatY//panC//queC//cspC//hisD//dcyD//yphF//cas3//ompL//
GO_0006023_6	sbp//pgrR//fkpB//tus//casB//tyrR//xisR//nadB//amtB//guaB//fpr//rlpA//ydcS//rarA//proA//dgcF//ndh//bglJ//yadC//ulaE//rseC//ldtA//napF//lpxD//elfC//emrY//mreD//miaB//rpiR//thiD//ruvA//putP//nudC//asr//fliG//yqhC//ygbI//mntP//atoB//
GO_0006024_7	ybaQ//puuE//rppH//aroP//cysP//ycjR//ydiF//fepD//tcdA//dpiA//essD//betT//rpsN//queE//rlpA//atpB//yjaZ//mobA//rbsB//iaaA//mlc//rmuC//dsbC//polA//fucO//trpD//xapA//rlmJ//cspA//ypdI//epd//ygcR//uxaB//manY//yciK//truC//menE//mutH//sseA//
GO_0006026_6	trpL//lsrD//mtlD//sucB//zapB//ybiH//ycjD//yraJ//ndh//elfA//
GO_0006027_7	argD//pyrE//yihW//kch//fecA//yjfP//sufA//lapB//sodB//yehD//
GO_0006040_5	yodD//ydjJ//rppH//ybhJ//dsdX//paaF//menE//crcB//pstA//appC//preT//hexR//pagP//rpoS//syd//pdeL//yiaO//
GO_0006044_7	ruvC//bcr//ygaV//cmk//yccA//
GO_0006046_8	hybE//cusA//tbpA//trmL//
GO_0006047_5	yneE//alaS//mtr//hslU//infC//rbsK//cysG//
GO_0006048_6	paaA//mgtL//pitB//hisF//yejE//appA//
GO_0006050_6	dnaN//
GO_0006051_7	menE//
GO_0006053_8	ssuC//
GO_0006054_6	kilR//patZ//ybdH//recC//treB//yebK//metE//
GO_0006056_6	uhpT//
GO_0006057_7	ugpA//
GO_0006059_6	ccmE//chbA//glnS//norW//
GO_0006060_7	yafE//
GO_0006062_8	lacY//
GO_0006063_5	menH//ribE//fabR//gatD//nrdR//hybE//dauA//accD//lepA//
GO_0006064_6	thiH//ynfF//fadJ//nuoI//sspB//queF//
GO_0006066_4	feoB//hyfF//atpG//livK//adeQ//ftsN//zntA//eco//ybaE//sfmC//yaiV//nupG//proB//yraH//sapD//garL//yabI//rpmH//gpt//rplD//yjjU//emrK//yjiQ//hemC//focA//rph//thrS//sdhE//sapF//yhaV//rimO//recE//
GO_0006067_6	nhaR//malK//mdtB//
GO_0006071_6	envZ//ogrK//sdhD//insI1//cheZ//mlaB//yeeY//
GO_0006072_6	ytfQ//mepA//idnT//hcaE//murB//
GO_0006073_6	pcnB//chaA//accB//ftsK//ppx//manZ//rseC//carB//pykF//nrfD//dcuD//phoA//sfsB//plsX//cheW//ldhA//btuE//csgD//ydbD//arnF//
GO_0006081_4	speC//htpG//elbB//betB//ydcP//torA//yebC//rbsC//nmpC//galM//paaA//mnaT//creB//fimE//flhD//yfgJ//gatD//ttcA//rlpA//dsdX//purU//speG//ssuA//artJ//ynbD//hypE//yfiF//hisI//proP//ldtD//yihX//ygcW//mgrB//narV//argS//gudP//rpsK//tsr//yieH//ariR//cspA//ftsZ//cysB//ibaG//ldrA//yeiL//prpB//idnK//mdoD//yagU//ygaH//phoB//tktA//queF//rhmD//pheM//asnA//dapB//upp//mug//dapA//yjhC//mdoG//hicB//fecD//glsA1//araA//
GO_0006082_4	ycjR//phnC//holC//lysU//napF//atpG//fic//yidA//lpp//gatZ//gntP//cheW//cof//gltI//mepM//folE//tsaB//ttdT//yhgH//agaW//fepE//dgkA//eptB//alkB//uup//pheM//tabA//yfjR//nuoG//rnlB//rnc//tsx//rlmD//ynbB//rcsC//rnlB//ydcM//yciG//ruvC//ddpX//ygfZ//rplO//ansB//gppA//upp//acrF//ybjD//menC//cheY//araG//decR//modB//nrdR//maa//insB-2//yqhD//ybjN//fryB//rep//ypdF//fecC//mtlA//tcyL//zur//secY//kdgT//sapA//rpmC//pphB//yqaE//raiA//fnr//opgC//yjcO//fliM//soxS//aqpZ//pyrB//trpS//yiaO//mnaT//dcp//ruvC//ygfX//waaS//yahB//pflB//deoR//pgm//hycH//fimH//tauA//ftsQ//ileS//rpsG//yijO//ulaE//tktA//ydfH//casC//leuE//shiA//phoR//moaD//fau//ppsA//yfgI//ppc//rhaT//recC//rlmC//gltP//ispF//dinG//lpd//fhuF//dfp//argB//trg//truA//rnc//insB-2//adeP//gsiC//speF//ibsD//lptB//tolR//dicC//lacZ//ulaE//ypdA//ybhG//nirB//fecA//gadX//ydiF//kbaZ//pyrD//glpG//thiE//hflX//yhjC//flgF//gudX//deoA//rpmJ//uraA//phnI//dinQ//yadN//metK//gdhA//araF//sixA//ybhG//csdA//yggE//plsC//yeiG//fucK//gspF//fliT//sucD//yjhI//mdlB//mlaC//moaA//azoR//thrL//scpC//aceB//solA//yfgJ//modC//hdfR//ypjD//ytfT//pgk//kbp//emrE//mfd//cvpA//nuoL//galM//casA//narP//yibH//fdoI//ycjU//fliL//pdeK//rplI//fliD//csgD//gltP//asnS//yagF//bacA//ygbL//cspD//waaG//panD//atpG//narU//ridA//cycA//psd//glpG//aspS//dhaR//rplD//ydiR//ldtE//mntS//queC//hycH//ydiK//sufE//glrK//ynfL//nadA//rrrD//yfcF//thiE//nanE//argO//fabG//phnP//frmA//ldrD//yegT//deaD//baeS//phnL//sad//yjhB//macB//sufS//gltX//basR//gspI//ogt//rlmL//cysZ//cynX//moeB//yjiY//tldD//yjcO//dkgA//yafE//wza//tdcR//yjhB//tilS//crcB//hupA//ileS//leuC//pppA//dnaX//mepA//yghG//eamA//rbsC//bglF//lon//dinQ//flgC//yjeH//uraA//ppiA//recG//xseB//citG//ygcR//hemB//tsgA//dedD//pmbA//arnB//cysP//lysC//napB//yfcG//treA//hcaT//rplQ//yahB//glcF//yojI//creB//ygbI//prmC//thiM//gpp//ldtD//cysI//fecA//kdsB//bfr//rcdA//srmB//fhuB//yadK//rplS//rfaF//glrR//murJ//hupB//sxy//narJ//narZ//recX//menE//fumC//nagZ//arfA//mhpC//yfbS//xthA//rhaS//rlmE//kdpA//ilvB//amiA//clpP//yjjQ//ampH//treC//hofP//ypdF//rfaC//waaJ//hisC//sucD//gyrA//actP//fkpB//yihQ//hybF//dusC//yjhI//yfcS//ulaA//bioP//tdcC//ortT//asmA//pntA//iaaA//sthA//rplN//mdtJ//leuS//pepD//sgrT//treB//moaC//yjiM//fruB//rssA//yraN//cheW//dnaA//yidP//dppC//bioP//gatB//murG//yraR//lpxB//plsB//uof//atpB//manX//kdsB//artJ//dnaQ//proC//symE//rraA//yjgX//atpA//polA//nlpE//yfjR//ivy//mlaF//cadC//elfD//yfaX//ybjC//aldA//hxpA//cdaR//rssB//yidA//pdeD//prfA//ygbI//mdtC//rhsD//argA//viaA//yjfP//ydaC//tyrR//ilvI//rpmE//rne//ybaM//yehU//recN//cobU//cdd//yciV//nanE//gmhB//prpC//prfB//yhjG//nupX//potF//thrC//recG//nadC//yahF//ykgO//ispF//gltK//uxaC//atpB//ydiP//aspS//ygiW//alkA//nanE//hofM//dmsC//higA//yafE//ssuC//ydjK//ydiQ//rimP//leuA//fliM//mltC//yecS//asd//guaA//ttdT//yfcS//rstB//moeB//ftsN//polA//recX//
GO_0006083_6	gatD//chaC//pflC//pgrR//kdgT//rutC//
GO_0006084_6	murD//yajL//
GO_0006085_7	higA//glnB//
GO_0006086_8	rihC//
GO_0006089_5	ligB//ftsB//trxA//btuE//paaA//glnB//puuR//raiA//topAI//intA//ribE//nfuA//arsB//lplA//ynaE//fimC//hycB//fliM//dsbC//yqcG//lolD//rsgA//uhpB//rplQ//yiaJ//tsf//priC//yfaE//yhbO//
GO_0006090_8	xseB//fdoH//orn//bolA//deoR//topAI//cspE//speG//yibH//yfdC//hslO//thiP//betI//hda//thiP//yobF//tauB//emrK//rpmC//yieL//trg//chpB//glnD//dppF//rsmH//yneJ//ugpB//fimG//betB//lsrC//ydiR//
GO_0006091_4	purL//tcyP//pdxB//dgoA//fecC//hofN//yfeD//ygjR//eno//tmk//dppC//amiC//cusS//mnmC//nrfG//emrE//mepH//nhaA//sutR//hisS//bamB//mepH//uvrA//sbmC//yfbV//cnu//fadE//yqcG//gadC//tufB//tdcA//glnL//ompN//glgP//ariR//purL//rfaC//bhsA//sbcC//ribD//pdxB//ftsI//rpnA//dpiB//folP//acrZ//rbfA//tcdA//hemE//ykgM//yiaT//dapB//blc//pdeL//sdaB//paaF//bioD//hokB//ftsK//sseA//lrp//adeD//pstA//envR//dppF//ynaE//macA//nupC//minC//etk//ibsA//gyrA//ulaB//frlA//trmO//tus//sbp//menB//rlmD//feaB//napF//sgbE//yhbY//yqcG//nuoM//malS//ybaE//yhaV//iscX//ftsB//actP//gabD//yhjC//fiu//idnD//ibsD//pcm//nrdA//alaS//rluA//soxS//znuC//fliT//hypF//yidZ//sstT//ubiC//feaR//pfkB//htpG//galS//malK//
GO_0006094_7	yagU//nimR//yahF//gltX//yjhP//malE//ymgF//tar//narJ//clpP//
GO_0006096_6	livM//pncB//nrfG//fumB//yiaL//rluB//rzoD//dcyD//treF//arsB//evgS//astC//tmcA//cbrA//kduD//ydeO//dkgA//lysA//
GO_0006097_5	srmB//sbcB//pbpC//orn//ydbD//
GO_0006098_6	rpnA//yadI//hemD//waaU//rplT//
GO_0006099_4	cedA//rcdA//ggt//yciA//yfcR//carB//folP//eutK//tauC//ybeF//coaD//ptsI//yrbG//nth//adiA//artJ//gcd//
GO_0006101_6	flgI//sugE//pheM//dsbC//yfbR//perR//ribC//ppiD//cysE//rutG//lipB//ytfP//yehT//yfgO//bglJ//garD//acrF//
GO_0006103_5	secG//ppiA//oxyR//
GO_0006104_6	fsr//alr//appC//
GO_0006105_5	yibH//fdhE//tolR//rtcR//casD//bioF//yfbS//torC//
GO_0006106_8	yihT//
GO_0006107_8	tyrB//
GO_0006108_8	insK//leuC//mtr//ubiF//murB//
GO_0006109_6	atpA//ycaN//frlR//caiE//uidA//gloB//ydeM//betA//ccmC//
GO_0006112_5	azoR//trmB//flgF//yiaA//glmU//seqA//cysP//ihfA//
GO_0006113_5	frmB//ldrD//yejE//paaB//mdtL//selA//fruA//chbB//recT//intQ//purL//ydiV//chbG//
GO_0006115_6	cysD//
GO_0006117_5	fdhF//
GO_0006124_6	ligA//
