#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	melR//cysU//pgpB//nuoM//
GO_0000160_5	chpS//bamA//speB//hipB//asr//fieF//iscA//dcuC//hisD//msrA//tap//mnmE//srlD//purU//cstA//bcsA//rbsC//pcnB//yoaB//grpE//rhmD//yiaN//glrR//fryB//speD//frmB//mdtP//nac//xseA//yajL//basR//metL//tehB//ygeW//sufS//paaD//cysZ//yceD//chaC//rpsL//pinQ//yahN//rraB//
GO_0000162_7	sgcE//ftsW//trmI//xylH//rnhA//hycA//lldR//lptC//tsaD//
GO_0000255_5	paaD//fepB//nrdA//ebgR//rseC//
GO_0000256_6	yidH//cas2//ilvE//yaiP//yhjA//
GO_0000270_7	paaC//tcyN//mrcB//atpD//dps//pdeH//maoP//kefB//htrE//glcC//entE//putP//entS//hlyE//ybgI//hofQ//dadA//dnaJ//mltA//aaeB//gyrA//cyoB//yehP//pyrH//creC//arnA//ubiH//gcvT//essD//hypC//setC//srkA//yehY//ydiF//osmF//dusC//pyrG//rhaT//dacA//araE//mhpA//cra//rcnB//dicC//wcaJ//cheB//zraR//bhsA//nrdG//moaD//envZ//speF//fieF//iscS//ompL//casE//trmL//yhaV//yehU//aceA//dppD//oxc//mdtD//
GO_0000271_6	fruB//purB//pphA//ybeY//pfkB//hybE//yeeY//casD//guaA//sgcB//fmt//dld//ispB//afuB//yidR//yafQ//alsA//yjiR//lsrA//dgoD//mdtL//rsmF//menA//lysR//ascB//purT//nikC//idi//ymgF//tsaE//hprS//ubiH//guaB//holE//oppD//fetB//glrR//prmC//allR//prpD//decR//tusE//accD//mhpR//oppF//aldB//gppA//argF//hdhA//fdx//
GO_0000272_6	rpmA//tdcG//cueR//bioD2//ghxQ//menB//
GO_0000302_5	umuD//fabI//yagG//bssS//betB//ampD//hisF//yagF//iscU//potA//iscU//manX//gmd//greB//crcB//pta//sucA//yraI//ndh//znuC//gltX//flhE//tas//iraD//cyoE//rhaR//yjhB//yhhY//ompA//lacI//thiD//
GO_0000303_6	galU//crfC//
GO_0000305_5	ompN//yfeO//helD//
GO_0000372_11	rffT//
GO_0000375_9	hybO//
GO_0000376_10	dppF//
GO_0000413_9	tdcG//flhC//yjjQ//suhB//atpC//iraD//prmB//gntP//
GO_0000451_7	yibH//cas3//bioD2//selU//pheS//
GO_0000453_8	prfC//bolA//cpsG//flgK//hha//
GO_0000455_9	prmC//yobA//glgC//tilS//ariR//yedF//dgcQ//
GO_0000462_11	trkH//yhhT//
GO_0000469_8	gcd//
GO_0000470_10	frsA//
GO_0000478_9	gfcE//
GO_0000715_6	tatA//
GO_0000716_7	bioD1//
GO_0000724_8	elfA//
GO_0000725_7	sufB//ldcC//rcnB//hslR//oppD//rapA//
GO_0000726_7	fucI//
GO_0000731_7	xseB//cra//yheT//mdtL//rpnC//ribD//pntB//
GO_0000737_7	gltK//
GO_0000738_7	eutN//gntR//rcsB//
GO_0000746_4	ogt//
GO_0000820_7	trpL//
GO_0000902_5	gph//
GO_0000910_4	hypE//gntT//lplT//trg//ibaG//hupA//phr//mog//wecE//tdcG//waaS//deoB//nlpD//aroF//vsr//hycA//tynA//yiaL//
GO_0000917_6	glpT//hpf//yfcU//ppsA//nupC//
GO_0000918_6	malS//kgtP//gyrA//ybiW//
GO_0000920_3	hofQ//fklB//fecC//fliK//paaF//
GO_0000921_6	macA//
GO_0000966_8	rep//fhuD//ydiO//sapC//
GO_0000967_10	hisA//yjhP//aaeA//
GO_0001101_4	frdD//leuE//lptC//cytR//perR//argG//ymgA//arsB//rpmF//yceD//fimB//phoB//ydjK//plsC//abgT//agaC//ydeM//ribB//argS//araD//nlpA//rhoL//hdfR//nmpC//rpiB//ilvH//
GO_0001121_7	ybcJ//relB//
GO_0001123_8	pyrD//
GO_0001124_8	dusC//
GO_0001407_7	yebQ//ybiJ//ydjM//trmH//
GO_0001505_4	recO//lpxL//csrD//eptB//rutF//fabH//yfgJ//araD//truD//lldD//yddG//rffT//ratA//sbcB//hypE//parC//
GO_0001510_5	thrA//ubiA//abgB//uspG//dmsC//gstA//rfaC//dsbC//nikE//clsA//insA-1//bioF//nikR//hypD//ulaD//uup//ybbN//trkG//ydiR//treB//mioC//argK//yahO//ascB//dtpD//yciT//yadV//sdhE//cysW//sspA//fliA//speF//pdeD//frdC//ribC//ribE//yddA//gutQ//cusF//leuE//
GO_0001514_8	ypdB//
GO_0001522_7	ruvB//sgrT//dmlA//yejE//dgcZ//ffh//epd//phoR//ydaC//ytfP//dinB//basS//ssuE//
GO_0001539_4	rsgA//hpf//ssuD//pdxJ//sucA//torS//narK//fadR//ybhP//umpH//ibsD//nhaA//ptsN//ubiE//hdhA//ispG//alsE//ilvC//pepA//nfuA//dedD//yahI//rpsG//nemR//pdxA//yeaG//dcuR//zupT//rcnR//mdh//yabI//
GO_0001558_5	ymgF//yidD//norW//macB//yhdJ//barA//frr//sfsA//
GO_0001561_6	argO//
GO_0001666_4	htpX//
GO_0001676_6	ulaE//gapA//yegD//
GO_0001680_11	proS//
GO_0001682_11	ftsN//
GO_0001731_7	epmC//
GO_0001762_6	ygcO//
GO_0001887_4	cusA//bioA//dsdX//
GO_0001896_5	cpxP//mltF//mscL//envZ//
GO_0001907_5	hchA//gstA//waaH//miaB//
GO_0001932_8	hofM//yjiQ//
GO_0001934_9	ydbK//
GO_0002047_6	tilS//ycdY//
GO_0002097_8	frdC//udk//gatD//frdB//yidZ//aceB//rpmA//sgcB//yfdO//gltX//polB//dgcM//tsgA//lhr//hycB//lldR//yraI//cmtB//glgP//
GO_0002098_9	pheM//rnlB//cyoD//mqsA//insI1//ydjE//nudC//epd//cirA//elaA//hipA//degP//nikR//
GO_0002099_9	fepB//nuoB//
GO_0002100_9	pyrC//
GO_0002101_9	yahD//tatE//
GO_0002128_7	purA//pgpC//cra//potI//
GO_0002130_8	murI//
GO_0002131_9	yihT//
GO_0002132_9	umpH//
GO_0002136_10	ftsI//
GO_0002143_9	arcA//yobA//yahD//acpT//yhcN//yrbG//
GO_0002181_7	yehW//yfeX//
GO_0002183_5	dinQ//
GO_0002184_8	waaL//
GO_0002188_6	bcp//
GO_0002190_6	metC//
GO_0002192_8	adhP//
GO_0002252_3	sufD//ybjD//rfe//dgt//atpA//dacD//xthA//mhpT//fliL//ffh//
GO_0002790_6	rpsE//dgcF//hemD//eamA//gsiB//ydhQ//holE//
GO_0002937_9	yneJ//
GO_0002938_8	yhdW//
GO_0002939_7	speB//
GO_0002943_8	yfdO//
GO_0002949_8	yeiE//ccmD//fecA//nupG//
GO_0003333_7	kefG//rcsD//ubiG//allC//yiiE//ttdT//bioA//dcuD//macB//rnr//mdtJ//livG//cmoM//yebS//npr//wzb//rluB//murE//manX//flgF//ybjI//aldA//yidZ//prpR//rne//hybE//prpB//dcuR//tisB//yccA//ybcJ//cca//yrdA//rpoS//nemA//kdpF//ddlB//rlmM//crp//bglF//yoaB//nepI//efp//mprA//phnN//abpA//lamB//metL//amiD//
GO_0005975_4	evgS//recD//yahN//yjfF//folD//groL//dicA//yeiG//narY//pckA//mdtF//murC//elaD//gudP//lpd//ybdM//mhpR//ygeR//pdeH//tsr//hflC//cysQ//yfeO//gntR//frc//speE//atpG//rsmA//yahD//recR//rfaH//dnaE//ibsB//zntA//hipB//rraA//arnF//rplI//msrQ//mdtL//mutH//chpS//mreD//rfbB//lsrC//cho//yafQ//ybdZ//trmA//tatE//ybcM//gltX//thiL//ais//mgsA//ivy//yajR//hofP//mdtD//rep//insA-2//dedD//cof//dgcJ//nsrR//cusA//ftnB//treA//eptA//wcaC//rpoH//yehU//mdtD//hypD//kdgK//eutA//xapA//yqjA//yjiM//edd//xapR//insB-2//yibA//mlc//gatC//cadB//treF//tusD//msrC//phnG//lamB//dinD//phoQ//yidH//gppA//rsmG//alaE//menH//yfaV//dacD//valS//udk//acrD//rluA//feoB//lsrB//rpiR//rfbB//arfA//ghrB//ynbB//nadD//argG//mpaA//ygfX//ilvB//metG//arnE//rnlA//yihW//icd//yedA//intE//rmuC//nrfD//wbbK//rapA//zur//casC//emrE//yhjC//rph//yfdK//yihV//yhjB//adeP//yafE//serS//setA//atpF//mlaC//hcaB//pflC//yciK//rluD//hha//lrhA//clpP//fabI//glnD//ccmE//rarD//yrfG//yhgF//iraM//agaD//menC//otsB//ydeM//nirD//ydiR//lsrC//rplM//mukB//gyrB//yahO//gcvR//fliK//yjaZ//dgt//lyxK//pgaB//ydiQ//yahN//rhsD//galE//map//rep//allC//fliA//ulaC//mntR//rcsC//yjbB//rsmD//ydbD//mscL//holC//yeeY//endA//xanQ//yegT//csiD//ppiC//zapE//mscM//kdpD//prlC//allR//yegS//yebQ//rfbC//pgaA//garD//ada//cdgI//dxs//leuO//thyA//lgoD//aroB//potA//brnQ//tig//cheY//recJ//mcrB//livJ//arnA//dcp//yieF//ahr//gatY//oppB//ffh//fcl//hdhA//kch//artJ//nac//pdxH//rdgB//yraN//flgH//ybcC//ybhF//ihfB//maoP//qseC//panZ//yhaO//ykgM//ilvB//gltX//flhC//mepH//hofN//ybcC//cytR//cspI//prfB//hemC//dsbB//hybB//
GO_0005976_5	dicB//csdA//lysS//ybbN//entB//yqhD//ebgR//waaL//djlC//yhjV//clpS//ecpR//yeaD//cbtA//nagC//glnK//ychO//frwC//eutR//btuE//waaH//gyrA//phoA//fimE//sodC//hyaA//ydjJ//casA//tabA//nadB//suhB//matP//nrdI//cdsA//hemF//ulaR//hyfF//ydhJ//ycgB//purA//preA//ileS//lpxK//astB//hrsA//rhtC//tsaD//nanT//folC//otsA//ulaE//mrcB//rpsQ//rfaQ//xapB//yjiQ//endA//nadE//nagC//
GO_0005977_6	pheT//ymdB//lpxT//ubiF//prfA//gyrA//yraK//rrrD//
GO_0005978_7	gcl//trkG//rhoL//rutD//
GO_0005979_8	fimG//
GO_0005980_7	rsmD//yciE//murA//
GO_0005981_7	yfcU//
GO_0005984_5	nagA//deoA//yjhI//ydeM//ygiV//ybhA//ghxP//agaI//ascF//yggW//rssA//
GO_0005985_6	bluF//
GO_0005986_7	flgF//
GO_0005988_6	hofP//fimD//
GO_0005990_7	yjjU//entD//
GO_0005991_6	cheA//zapD//aspS//atpE//torA//
GO_0005992_7	yccX//lspA//
GO_0005993_7	ygiS//wecE//hrpA//
GO_0005994_6	frlC//
GO_0005995_7	aceB//
GO_0005996_4	fur//ydaV//yieL//xseA//thiE//nfo//tyrR//yehX//ynfE//rpsT//glrR//thiQ//potG//yieK//gloC//folD//adhE//ykfM//zitB//pepD//yihO//ompN//ycbU//glmM//gstB//ydjE//yihI//dsdX//entS//ibpB//ybiY//yegT//eutB//yafQ//panF//ccmA//relB//rutE//mgrB//yaiV//tusA//btuC//lepB//cysW//vsr//yqeF//lolC//yjbE//gltL//barA//yjhG//waaZ//waaF//abgB//hypB//amiA//sbcD//ybdG//cspC//avtA//pnp//ykgA//rbsC//dppC//yhbY//nadC//radA//oxyR//thiD//ygcR//panE//dcm//yadV//rplY//elaB//yhaV//phnL//bepA//fruK//ynjD//lgt//cmoA//
GO_0005997_6	atpD//
GO_0005998_7	tktA//
GO_0006000_6	dnaN//recE//phoP//
GO_0006001_7	mrr//dhaL//
GO_0006002_5	yedP//ygeR//entF//
GO_0006004_6	norR//perR//pflB//ibsB//recC//frdA//
GO_0006006_6	hybO//menB//mdtB//xseB//frdC//pinQ//rhtB//slmA//bipA//yhbX//fecC//yiiD//yeiE//ushA//sgcX//elaA//epd//hypF//tolB//casB//uspB//sfmH//fepC//
GO_0006007_7	yghW//phnI//yejE//
GO_0006011_5	paoC//
GO_0006012_6	narL//yafC//menB//ybaE//ybiJ//yciT//yjjW//dgcN//tnaA//
GO_0006013_6	emrE//yahN//
GO_0006014_6	ubiC//dapD//ykgM//
GO_0006015_7	ileS//ompC//
GO_0006020_5	fhlA//
GO_0006022_5	oppA//tgt//ompA//rplJ//waaY//dctA//atoC//yhcD//ffh//entS//caiF//rplL//ligA//cpdB//ybdH//moaC//dsbA//lldR//ilvD//proV//rarD//ycjW//hlyE//rplY//feaR//dppA//mioC//alkB//dgoT//lasT//pheS//glpR//lpoA//nuoB//aslB//uidC//sgbH//sohB//ydhJ//cydC//pspG//trpR//pepD//aroA//trkG//cydC//topB//intA//ydcT//ycaN//nadK//menH//hdeD//hisA//yfaV//cnu//nikE//bcr//agaD//hha//galF//ybjX//envC//
GO_0006023_6	arcA//nemA//ulaG//yihU//ybjN//nadA//glcB//ldrB//paaA//bacA//phoP//ygfI//treB//casA//bamB//lysR//mgtL//ybjN//dnaX//hcaR//hisH//pgk//tcyJ//rcsC//acrR//yehP//fimD//trxA//lpxB//mqsA//yheT//yadV//tusE//murI//rplW//livK//ynfF//fucP//trmO//
GO_0006024_7	yggD//pgsA//yfaX//nagK//rodZ//yhiM//mutT//rbsK//garR//dgoD//acnB//fnr//ptsN//acs//yeiG//gcvR//cysW//ssuC//fdoH//tyrR//ygiW//zapB//rpsR//aroB//cfa//ybiV//mgtA//cydA//yeeO//oppD//rhtB//mdtE//malP//yehX//fadH//dnaC//rrrQ//serS//rtcB//
GO_0006026_6	waaF//rhtB//putP//evgA//rssB//metH//yahF//nupC//xseA//tdcG//
GO_0006027_7	pitB//thiD//ribD//ycfS//dapD//ygaV//gadX//hyaA//dppB//dctA//
GO_0006040_5	zapD//malK//galM//argE//bfr//csgB//bamC//ldtB//yebQ//trpE//ibsE//glnK//ydeI//nuoM//ppiC//adhP//melR//
GO_0006044_7	lysO//yciF//fucP//yfeO//malS//
GO_0006046_8	glgC//yehB//ycfS//cecR//
GO_0006047_5	tldD//scpC//bioC//sspB//yjhP//satP//yiiE//
GO_0006048_6	yeiE//bamA//yhbX//eutD//tap//yhjD//
GO_0006050_6	menI//
GO_0006051_7	narX//
GO_0006053_8	sgcX//
GO_0006054_6	fcl//cysN//rpiB//cobT//djlC//rluE//fmt//
GO_0006056_6	leuA//
GO_0006057_7	phoB//
GO_0006059_6	nadA//rbsC//uof//moaC//
GO_0006060_7	ydjL//
GO_0006062_8	nhaB//
GO_0006063_5	manY//cedA//yccS//yiaJ//yfdK//bcsA//prmA//dsdC//yghO//
GO_0006064_6	dcm//yieE//ugd//prfA//macB//blr//
GO_0006066_4	kgtP//crp//rbsK//xseB//frlA//yafO//amtB//hyfC//tdcB//holD//adhP//hsdR//yieL//mipA//cmk//livM//fbaA//fdrA//brnQ//rimP//aceA//dcuR//yhaM//rsmA//ybiW//insA-1//yagG//hiuH//pyrG//grcA//lldR//murI//
GO_0006067_6	tgt//ydcI//paaZ//
GO_0006071_6	hrsA//rlmD//yeaK//rfaB//rpnB//atpG//yghU//
GO_0006072_6	thyA//rstB//gadB//yjiY//agaC//
GO_0006073_6	gltI//sspB//dcuB//hprR//crl//hcaB//recT//roxA//dnaA//yadM//yjjI//pitA//dapB//abpA//nrdD//lacI//rbfA//metC//essD//ackA//
GO_0006081_4	cueR//nudF//ndk//acpH//ybbN//glnA//solA//lpxP//rhtC//waaP//fes//glpG//msrQ//phnM//rlmH//ampD//priB//fliL//thrC//rhlE//ybgP//mltC//alsB//bamB//bamD//srlR//ispU//secD//metF//frvA//dcp//recE//ydeM//yagG//ileS//malZ//rplS//arnA//trkH//wzzE//lpd//narP//bamD//yciF//mlc//caiE//arnF//yddG//ndk//kefC//phnH//xapR//yhaM//fadR//mnmE//lpxM//rhaT//artI//sixA//pdxB//argG//aslB//plaP//btuF//ybcJ//ubiE//rhlE//
GO_0006082_4	ldrD//opgH//ispA//mreB//mdtP//yhcF//ampH//proP//yejB//rfaQ//ybdM//ibsE//xerC//yjiM//cpsG//lysU//frvA//prpB//metG//pagP//mepS//leuB//rraA//ydaC//hdfR//oppF//ydeI//xapR//parE//lpxC//rhaM//pdeK//gapA//trmA//yihX//lepA//ybgP//rdgC//gltS//dhaM//gpp//yobA//yddG//yqeF//rplJ//glnQ//otsB//sbmA//mutH//yohD//rfbD//nikR//rhaS//pheT//glnA//tas//pdxH//bluR//menF//galU//dnaT//yhjV//dxs//wzc//gspJ//eutD//hemA//lolD//dtpC//tag//ibsD//malY//hsrA//gltK//creC//mreB//argO//gntP//yhaC//narW//dxr//accC//waaO//tdcF//skp//manY//srkA//zapD//yijE//paaC//ypdB//epd//msrB//yjiR//murF//gadE//malK//rhlB//yahO//tatD//proQ//ilvN//rnd//satP//aceA//yciE//dsdC//ubiG//gpt//chpS//cusS//pntB//phoP//obgE//efeO//sfmC//hcaC//waaU//rlmA//fdx//bamA//hscC//pykA//hfq//eamA//rpsD//pepA//tktB//patZ//sstT//uvrY//hypD//yfdO//gapC//insI1//gltB//yfdK//nfsB//mraY//rpmH//rnhB//yhcD//ybdH//dctR//nirD//treR//yjbH//yfhM//gppA//uxaA//tnaB//fadJ//fimC//wcaC//rplB//yieH//proB//lrp//nuoH//talB//eutD//rhtA//xapA//glcC//aroC//nrfA//argK//nanA//yfdO//rhaS//dcp//ygeX//nlpD//metB//ilvH//metB//lpoA//flgD//ldtD//nrdI//yjeH//tyrS//glgC//ybaT//hycH//pyrC//hyaC//dnaG//pepA//panE//aroC//glmM//hyaB//appY//nupG//pgm//cspI//sgcR//ssuD//npr//nikD//frwD//cusF//prpC//flgA//lldP//rzpR//cysE//nudF//yadC//cynX//yqjI//rbsA//ygeA//ygfA//ypdB//gldA//ackA//rimK//lacZ//kefF//treB//csrD//idnT//accB//nupX//rcnR//uidR//tusE//dsbC//nimR//ascG//insB-2//ppiD//ileS//yhjA//yjiX//mrp//hypC//tdk//kdpF//entH//rffM//yiaO//leuC//waaU//katG//wzzB//yidQ//ptrA//fre//hdeD//sgrT//hipA//dhaR//iraP//wzb//ridA//accB//yaiV//lolE//hpt//acrZ//caiB//pfkB//tabA//amiA//pykA//mdtB//yjjG//decR//acrD//cusB//kdpA//pstB//bamC//folE//panZ//intZ//ykgF//glpB//sufS//eno//ilvI//bglA//setB//yfiC//rimI//tyrB//bssS//surE//trkH//galF//yjbH//sspB//fimG//flgH//ubiB//betT//dmsA//waaL//rpmJ//yoaB//dgt//betA//paaB//yeiG//rplK//rhaT//yfgI//hrsA//eutB//hypE//malG//asnS//fhuF//hemD//gpt//metH//ykgM//araE//dinB//hlyE//cspE//acpP//dxr//arfB//prlC//pflC//tusC//rutR//rnt//torS//rhaS//rppH//frdD//xylR//leuO//ilvD//mscK//moaA//cysW//carA//frmR//rcsC//rplA//insI3//uvrB//rsuA//ung//tdcR//yjjV//narY//lpd//sbmC//rpsB//gadX//argC//tolC//citT//hyaB//rfbB//sfmF//codA//pdeR//hybG//mglB//mglB//oppB//ldrD//gstA//hdfR//zapD//basR//acrE//torR//recO//ygbI//pyrB//acrE//secD//dnaN//ynbC//ssuE//ridA//ybdH//fadD//trpC//katE//queD//yqiJ//yqiJ//gltK//lpp//metL//panE//arfA//glcF//ptsP//xanQ//ybdH//yeaG//dgcN//ldhA//argT//cheZ//pckA//parE//kgtP//dsbC//tcyJ//ruvB//glrK//xylF//ndh//yceD//yajQ//cheR//pta//ampG//insH-6//agaR//rhaR//hycB//cptB//hdeD//hrpA//rnhB//nusA//zapC//mnmA//yihW//ptsH//gldA//leuO//paaE//glvC//opgE//atpF//crl//udp//hofM//cheB//nac//bglH//mraZ//ruvB//tdcB//ymfA//nadC//ybhD//zupT//yfcS//phnK//yhiM//yohC//dgcT//cpoB//srmB//flgJ//
GO_0006083_6	mqsR//puuR//pepT//pfkA//ycaN//cof//
GO_0006084_6	crcB//norW//
GO_0006085_7	ndh//rsmJ//
GO_0006086_8	ydiR//
GO_0006089_5	nuoL//clpB//prpD//ttdR//focB//frvA//rfbX//hipA//nrfC//sulA//tdk//glcA//paoC//flgG//pyrL//nanS//yehA//gadE//nrfC//yigB//ibsC//bioD//folM//chaA//nupG//dxs//ycaN//acrR//rsmH//
GO_0006090_8	artQ//ftsP//lpxB//ispH//ribF//acs//fepB//rodZ//dicB//ppc//motA//acrD//eamA//feoA//uup//bioD//yhhZ//rseB//phr//fau//deoA//waaA//ygbL//hofN//mdtE//rbsD//udp//csgD//mscL//ccmF//upp//
GO_0006091_4	hicB//gldA//acrA//dtpB//fucI//tcyL//yjjG//ybeF//rlmA//gsiD//hycI//cyoA//uhpB//rluF//nfuA//pdxY//mhpR//recJ//fdnH//mglA//hyfA//dgt//mrcB//yehP//rpsN//cdgI//otsA//moeA//rluE//narQ//narK//rapA//abgR//csrA//malX//plsB//gatB//kdgT//htpX//potA//bacA//ampG//pitA//trkH//fur//rusA//bglF//malQ//frlB//nrdB//yaaJ//leuD//tolR//rsmI//amiB//ybdM//rpmE//phoP//tnaB//uidA//rho//elfA//endA//zntA//argP//csgE//zapA//frdA//yraK//yhiM//rsmE//epmB//gatB//ubiB//rlmN//ibsD//rfaQ//lolC//thiC//rfaG//ygaV//rmf//kdsC//flhA//fadL//garD//cfa//yijO//asd//insB-2//zupT//rnb//gatC//fimH//ldrA//chiP//fadB//yahK//glpK//puuA//dfp//evgS//iclR//yjeH//cheR//hemE//artJ//rpsD//napA//idi//yhbQ//ykgM//
GO_0006094_7	rbsC//yehW//gmk//mak//yoeB//greA//ygcW//proW//lplT//ibsC//
GO_0006096_6	yfgO//mglA//ydeM//prs//mltF//xylR//menI//yhjR//rpoA//pheM//ypjD//gspJ//mraZ//hycB//zipA//ycgB//pyrE//gcvR//
GO_0006097_5	pphA//xylG//panE//bglA//cysE//
GO_0006098_6	rhoL//tadA//yaaU//citG//groS//
GO_0006099_4	paaJ//paaA//prkB//ycjD//trpGD//frmR//corA//creC//argG//yeiG//hupB//ulaE//pepT//ytfQ//ybfA//rfbD//panC//
GO_0006101_6	pnuC//sufB//cysN//yagF//cdd//cysD//mcrA//atpD//mdtN//gshA//rcsC//fucK//yhhY//tauB//yiaJ//bfr//thrA//
GO_0006103_5	pspA//ychO//hypC//
GO_0006104_6	uxaB//hybB//ompF//
GO_0006105_5	prc//viaA//yegD//puuB//fucA//lexA//gltP//hsdR//
GO_0006106_8	emrY//
GO_0006107_8	ruvB//
GO_0006108_8	ispG//apt//nikA//uacT//cheZ//
GO_0006109_6	rplC//aroD//tap//mlc//ydfK//acs//nanK//kdsC//rhlB//
GO_0006112_5	pspA//cadB//rimM//pheS//yadI//hypB//bcsA//kdpC//
GO_0006113_5	insB-4//ibaG//viaA//hemC//yihV//hycA//tadA//acpS//yadK//accB//zntA//ydiO//frdB//
GO_0006115_6	ynbB//
GO_0006117_5	yahB//
GO_0006124_6	cstA//
