#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	wzc//intF//eutK//tamB//
GO_0000255_5	manX//bssR//ghoS//hscB//acnA//
GO_0000256_6	glpK//flgF//ugpE//yidL//thrB//
GO_0000270_7	cysK//gltB//alsA//uspC//rpsI//yceD//btuD//hokE//emrB//intZ//mepH//ulaE//arcA//slt//atpD//yecS//bcr//dacD//ydcS//rsmJ//gadE//dpiB//ompN//hslR//proQ//wecB//mtnN//dicA//fliD//nanE//pabB//hypD//yhcN//aceK//selA//moaC//xanQ//ugpB//waaL//yacG//iaaA//zntA//csgA//fixA//casD//ade//glpB//rpoH//ackA//ligA//appC//ybjC//yqiJ//raiA//mtlA//paoC//gltS//degS//ulaF//flgC//bglH//wzc//tdcR//
GO_0000271_6	oppA//topB//yddA//rpsD//hypF//gyrA//hybG//yfaU//ompT//cspD//bdm//murP//etk//speD//rcdA//cysU//ndk//gpmM//ygaH//ibpB//mdtF//tyrR//ada//rnhA//ybcM//appA//ompN//mntR//fepD//tdcR//yphC//srlR//dcuD//deoD//malE//yjiR//mdtI//yceK//aceF//adk//ribD//ydjM//fryA//waaH//thiH//yggP//hokE//lipB//narJ//rpiR//
GO_0000272_6	fryB//chaC//degQ//lacZ//prkB//yjbF//
GO_0000302_5	bhsA//yfaX//ppiC//valS//lsrD//hofC//ycfL//pepQ//ynbD//wecA//aaeA//lpcA//trpGD//ydbD//ptsP//smpB//kduI//yneE//ybjC//glnS//yhaV//opgB//csgF//yfeX//malK//glnL//purD//scpC//alsA//glyS//folA//
GO_0000303_6	nikC//nadD//
GO_0000305_5	yidC//malK//asr//
GO_0000372_11	nrfC//
GO_0000375_9	pinQ//
GO_0000376_10	amiD//
GO_0000413_9	crr//pfkA//lldD//glgB//sdaB//ompT//opgB//betA//
GO_0000451_7	ynbD//seqA//aldA//pitA//cdaR//
GO_0000453_8	coaD//mhpA//ybaE//deoB//cydB//
GO_0000455_9	gabT//norW//ybaQ//recN//queG//osmE//hybE//
GO_0000462_11	tcyL//yggP//
GO_0000469_8	rng//
GO_0000470_10	trxC//
GO_0000478_9	insH-5//
GO_0000715_6	yggW//
GO_0000716_7	agaS//
GO_0000724_8	queE//
GO_0000725_7	frvR//alpA//ybaE//fabB//hyi//bglX//
GO_0000726_7	phnG//
GO_0000731_7	kdsD//ttdA//ydiK//hisB//pgrR//ybiT//dgoD//
GO_0000737_7	purN//
GO_0000738_7	mltA//tcyN//gshB//
GO_0000746_4	rsmB//
GO_0000820_7	bglF//
GO_0000902_5	fadI//
GO_0000910_4	ybeQ//appA//gltK//ybhD//napA//sugE//blc//trmI//cutA//wzb//nupG//adk//ompF//scpB//dppB//gspI//mgtA//gudX//
GO_0000917_6	yidR//rsmC//uxuA//pheA//yidH//
GO_0000918_6	rpnD//yeiL//rzpD//leuA//
GO_0000920_3	pphB//dinQ//yfcS//higB//hxpA//
GO_0000921_6	clpB//
GO_0000966_8	rnhB//hexR//yhdH//atoS//
GO_0000967_10	xerC//thrC//ulaD//
GO_0001101_4	tnaB//cheW//trmL//ackA//tas//afuC//kdgR//yneE//rhaS//sfmD//rep//rssB//argR//brnQ//ybhI//glnK//nrdF//ydgA//minD//dgt//codA//leuE//norW//arcA//yfeR//rna//
GO_0001121_7	ychF//frmB//
GO_0001123_8	rpsK//
GO_0001124_8	glgB//
GO_0001407_7	pdeK//uidC//yejF//glvB//
GO_0001505_4	ydbK//yfcP//yhdW//yjbG//ycgV//ampG//yheT//tyrB//pitB//ldrB//ascB//queC//cra//csgB//patA//cpxA//
GO_0001510_5	ycaO//ydcR//alsK//hisD//sseA//gluQ//asd//rplT//glyS//nrdF//glmM//yddM//dapD//nrfE//galU//hinT//ubiI//ugd//yadG//nth//ydbK//ygcO//yjfP//rluB//mcrA//tdcB//dapF//puuB//yjjU//cra//narJ//allS//rplD//gyrB//dam//rsgA//mdlB//ghxP//ppsA//ppiD//
GO_0001514_8	gnd//
GO_0001522_7	osmY//lldR//sbp//ddlB//fliZ//panD//tatD//ubiE//yqhC//yqiI//ribA//yadV//setA//
GO_0001539_4	phoR//argF//sbcC//yihR//glpF//ugpA//ynbD//clcB//gspI//oppB//sucC//glsA1//mdfA//trpL//ilvC//frmR//mfd//rzpR//hisM//rplX//dacB//rpsJ//yjcO//queF//tyrA//clpP//thrL//mog//hcaT//phnL//phnN//
GO_0001558_5	rluC//glyS//kilR//emrE//rhsD//plsB//rmuC//hipA//
GO_0001561_6	yodD//
GO_0001666_4	dacB//
GO_0001676_6	sgbH//ftsZ//ssuD//
GO_0001680_11	sufS//
GO_0001682_11	yfjR//
GO_0001731_7	leuE//
GO_0001762_6	yghB//
GO_0001887_4	rplJ//tyrR//yafS//
GO_0001896_5	yhjX//pgl//mdlA//hpt//
GO_0001907_5	ydcZ//elaB//folA//rhtC//
GO_0001932_8	ybjI//sgcA//
GO_0001934_9	yfcR//
GO_0002047_6	acrB//ilvE//
GO_0002097_8	trxC//mocA//dps//malF//rlmG//waaP//ompG//nrfA//csgF//yaaJ//cirA//yfcA//pheM//hcaR//araD//pcnB//yihQ//tmk//cutA//
GO_0002098_9	uxaB//clpS//paaC//kdsC//pstC//ihfA//dnaG//sgbU//acrR//ybeQ//ppiD//mutS//menB//
GO_0002099_9	gstA//yhaC//
GO_0002100_9	ada//
GO_0002101_9	bioB//speE//
GO_0002128_7	cusC//gmd//tolR//kdpB//
GO_0002130_8	flhC//
GO_0002131_9	yidD//
GO_0002132_9	dcuB//
GO_0002136_10	yihX//
GO_0002143_9	ybcM//cyoC//dcm//yqgF//aceK//rluD//
GO_0002181_7	fur//narK//
GO_0002183_5	cpxA//
GO_0002184_8	ydfK//
GO_0002188_6	ung//
GO_0002190_6	malK//
GO_0002192_8	tpiA//
GO_0002252_3	priB//gudX//yqjI//fnr//rpsB//ompG//yceD//bisC//soxS//alr//
GO_0002790_6	hofM//ccmA//frdA//gapC//hycB//lysA//potA//
GO_0002937_9	aroP//
GO_0002938_8	flgH//
GO_0002939_7	clpB//
GO_0002943_8	yheT//
GO_0002949_8	rpsO//lgoD//ispU//alkB//
GO_0003333_7	ydcO//nagE//rpmC//malK//asnA//def//moaE//zapA//xylB//yfcP//ldrB//yafS//pepB//mscL//menB//phnI//pabB//clpX//rcsA//metB//yaiP//glmS//tdcR//recC//gudX//sodA//rtcR//yeiE//topAI//ycdX//dinD//yceK//phnN//wecC//decR//ytfT//ibpA//dld//pdhR//bisC//rihC//rsmD//ydgA//hxpB//kdpA//pepB//fucP//yjbF//recN//
GO_0005975_4	hycI//ycjW//astC//malQ//glxK//ygcO//dcuA//ptsP//alaC//yhjD//tehA//copA//gmk//ybaE//nuoB//ileS//yagJ//nepI//hofP//murR//arcC//yciT//glgC//sspB//aroG//pbpG//sohB//pheT//osmF//rpsE//lptD//gspJ//sxy//speG//yhjR//glnQ//nimR//yhhY//ydjK//pflA//rpsR//dgoD//cptB//fucI//mgtL//secE//ldhA//murA//ymfK//rnhA//umuD//feaB//sapC//tsaE//citX//xisE//cytR//yibT//hybD//clsA//zraR//fiu//yqhD//fabI//sufB//pdeK//rspB//yceK//codB//luxS//fic//arnE//thrB//frc//smpB//dhaR//moeA//cpxP//glpD//yobA//moaB//lysO//iclR//nemA//fumA//prlC//yfaL//nrdR//panZ//abpA//yhaM//ybiV//sufD//glyS//lpxP//rnlA//dtpA//mtgA//nrdA//npr//uvrC//rhaB//dcd//fes//mdtC//speG//ydeP//aroD//yebQ//dppF//rhaT//dcuA//ilvL//aroF//lpxT//yqiI//setB//cysA//glpX//fadL//ogrK//potA//insH-5//arnB//murG//mdtO//dcuC//sdhE//intQ//cobS//ampH//yafC//upp//yhgH//fepE//adeD//yedF//secE//ydjJ//yfdK//ybeQ//prmB//bisC//bsmA//pgm//udk//fabI//yiiM//lysA//frdD//insB-2//ribE//ydbK//rihA//ybaM//narG//puuR//alr//cdd//lipA//hofN//secM//mlaC//ydcP//hybB//plsB//xapA//gatZ//yfhM//ghrB//idnO//flgD//yefM//elyC//hflK//yihS//hisD//waaY//yfdR//metL//yfbS//dnaJ//frvA//uvrY//yraK//fepE//emrY//lsrG//acrF//uraA//yfeW//ppc//kdpC//ihfA//entC//lacY//pyrC//putA//ydcS//cysP//ttdB//tsr//ftsY//arsR//yfeW//flgJ//rbsA//ygbI//nupX//lysS//npr//yraN//bioD1//rimI//selB//galT//bamA//yqjI//flhE//hslU//mfd//entH//hisD//caiB//pgaC//cedA//rhaA//ridA//ndh//bssS//metL//galT//comR//rluD//gpmA//yedL//rpsQ//dinQ//rph//msrB//rpmA//grxD//deoR//purT//uspF//epmA//dinB//yehT//znuC//yidR//fadK//yqcG//citG//galU//
GO_0005976_5	ybiW//narG//ndk//ygbM//hdeA//ibsD//zitB//mlaE//yodD//pgpC//ccmC//thiP//rclA//rlmG//recB//coaE//cmoB//menD//argR//kup//yjhH//ymdB//ccmF//uxaA//dcuC//trpC//envY//trpA//eamB//rph//uidR//ccmF//yqeA//hemF//atpE//fic//ldtB//waaH//glcA//degS//tnaA//pck//fklB//bepA//yeeA//aroA//gdhA//ddlB//fimA//lapB//glnE//mdaB//murE//hinT//fixB//gapA//mobA//cdsA//hycI//
GO_0005977_6	yieL//bcsQ//rplS//era//feoB//ychF//ydbD//nuoI//
GO_0005978_7	idnT//aaeA//trpS//cyoC//
GO_0005979_8	yqhD//
GO_0005980_7	betA//sutR//gpsA//
GO_0005981_7	fimG//
GO_0005984_5	dctA//clcB//elfD//gdhA//ydiZ//adhE//adeQ//narJ//cysC//metE//flgD//
GO_0005985_6	nuoE//
GO_0005986_7	yhjC//
GO_0005988_6	ydjL//yjiX//
GO_0005990_7	hmp//cmk//
GO_0005991_6	glpR//amiD//ung//rnr//rluD//
GO_0005992_7	ydcZ//opgD//
GO_0005993_7	ynhF//pdeR//atpB//
GO_0005994_6	gcd//
GO_0005995_7	nanR//
GO_0005996_4	tgt//fimF//yraR//moaB//ibaG//ybhG//mdaB//acnB//ygiS//nuoM//frvR//rne//aroF//ybcF//asnB//sbcC//atpA//galR//glpC//ackA//prs//fumB//yaaY//ybfA//tauD//macB//wecA//ftsK//rne//yjhG//asnA//malI//acnB//bipA//ftsP//yggE//lolD//grpE//yedX//gmhB//infC//rplD//cmtB//fryA//leuC//yddA//pinR//pgpB//yihW//thiM//accA//rarD//umuD//setB//guaC//yjbB//yjbF//umpG//holB//yqeG//nudF//argI//mocA//yegV//bioD//cysI//glcC//yiaA//hybB//tusC//yfaV//cheB//rplT//yadV//gsiC//mhpC//lysO//gspI//ccmH//yebQ//bglH//yqeG//
GO_0005997_6	lapA//
GO_0005998_7	yggW//
GO_0006000_6	mqsR//waaZ//focA//
GO_0006001_7	cysP//yhcF//
GO_0006002_5	sgrT//trmB//serS//
GO_0006004_6	rph//rlmJ//fryC//iaaA//nrfE//fmt//
GO_0006006_6	nikE//serC//fis//dsdX//menC//yeeL//elyC//waaB//cysK//paoC//hyfF//fhuB//ubiD//tsf//metC//acrB//zapC//hyaA//ypdC//dhaR//trpA//ybiY//etk//
GO_0006007_7	lptG//mhpT//lpxH//
GO_0006011_5	topB//
GO_0006012_6	tnaB//argF//hyaB//hybF//recQ//glvC//ygaV//yjjQ//rpsQ//
GO_0006013_6	prmA//kefC//
GO_0006014_6	glnP//yraJ//ygbM//
GO_0006015_7	moeB//bcsA//
GO_0006020_5	mazF//
GO_0006022_5	pgaB//ascG//pnp//treF//yagE//pdeL//hscA//nadK//malY//appY//radA//fimI//rplF//rfaF//gabT//ispU//wzyE//nac//rplT//emrK//nrdE//hslU//yehC//dedD//deoD//hypB//yajQ//lgoR//ugd//yehP//ompG//glcE//lptG//ispB//tatD//lrhA//yahK//mlaD//rssA//fabB//gcvT//argI//hyaA//bglF//flgD//yedL//ybcL//ulaE//nagB//tsaD//mdtA//atpD//gpmM//fes//degS//dacA//csgF//mntS//lsrB//yjfP//fimF//ybjN//narU//
GO_0006023_6	yjhP//dhaL//yhaJ//rpsK//satP//lamB//rpmE//adeD//btuD//pdxK//glpT//mntH//opgE//yoeE//thiL//ybcJ//fabI//citX//galS//dcuR//ompF//yraR//atoS//nikE//yghU//degQ//mreC//gltI//truA//plaP//alaE//entB//mobA//lysP//rfaC//pdxH//lolA//ibsD//arcB//
GO_0006024_7	sgbU//uup//amiD//dnaT//puuB//murR//araA//glmS//fdnI//ydgA//nuoI//thiP//iraM//glgP//mdtQ//dtpD//hsrA//yahB//psuT//fliD//glnA//nagE//ompG//priC//agaB//insI3//chaA//ssuD//malY//yiaA//yhaM//clpA//ulaF//ptrA//rpoD//csiR//yafO//yeiE//chpB//
GO_0006026_6	yafN//adiC//fucK//hexR//purB//rpmA//otsB//yebC//elfA//paaK//
GO_0006027_7	selB//fabZ//ampG//sapB//rtcB//hemB//livG//yidL//waaP//ypdI//
GO_0006040_5	atoC//narI//kbaY//ldrB//ytfT//ribA//ynbC//rhtA//nupC//yqjI//ydfG//yfbR//menB//potD//ccmH//dcuC//actP//
GO_0006044_7	sulA//dinB//ftp//fdoH//fhuB//
GO_0006046_8	ypjD//yqeF//mcrB//asd//
GO_0006047_5	yggN//prfB//icd//ybhD//fdx//nimR//hypF//
GO_0006048_6	ibpA//iraM//ymgC//fixA//lamB//intF//
GO_0006050_6	rimJ//
GO_0006051_7	katE//
GO_0006053_8	pyrC//
GO_0006054_6	tolC//rbsC//yceD//wzb//tauA//trmA//gltD//
GO_0006056_6	yacG//
GO_0006057_7	sad//
GO_0006059_6	yedF//dps//hokB//ttdT//
GO_0006060_7	ydiB//
GO_0006062_8	recB//
GO_0006063_5	rzpD//frwD//rraB//lysC//atoB//yfaE//motA//melR//epmA//
GO_0006064_6	feoB//ldrA//rplE//hfq//dicC//fimB//
GO_0006066_4	bioF//mtlD//rcsD//nirC//argK//ompR//prpB//ttcA//yegS//ydcP//ybhF//yhhY//hyfA//ilvN//potC//ydiQ//frdD//tamA//waaL//fucO//yciF//dxr//mscS//galK//lptC//rhlB//yehP//maeA//nirD//ycjP//hha//mazG//
GO_0006067_6	glgP//yjiM//yraI//
GO_0006071_6	wzzB//hflK//tamB//yraI//yfjR//zapE//djlC//
GO_0006072_6	rplI//ycdY//thiQ//nfuA//recA//
GO_0006073_6	yfcR//mntH//pdeD//nudG//ppiA//lpxP//cyaY//potE//cobC//nrdH//rcdA//paaZ//hha//iaaA//fdrA//rhaT//trxA//opgG//ykgM//ydaV//
GO_0006081_4	ydhC//rodZ//yadC//prlC//frdA//iclR//msrC//nlpI//pflA//fabD//csgD//tdcR//aroB//yeeO//fabI//sfsA//yhcD//dcyD//rho//ftsN//glcE//hemN//mdoG//xapR//cspG//livJ//tomB//abpB//ispA//patD//yafQ//ynhF//cbtA//ilvN//gcvH//selB//brnQ//fucO//nanK//ppiC//rplN//fryB//ansA//ycgR//rpnA//ssb//shiA//nanK//hypD//ygbN//hicB//casE//ynjA//rlmI//gstB//abgB//hisC//fdhD//adhE//yafE//yraR//ygeA//ybcF//rplM//sbcD//ycjU//mntS//
GO_0006082_4	ygaH//alaC//bioA//wzb//araF//recQ//cobU//yajD//ydiZ//lamB//fdhF//ubiC//yedF//dppD//napA//lysP//dmlA//ubiG//ybbW//yghU//otsB//tauC//mraZ//ppsA//cbrC//yhaM//rpsB//nudG//parC//mraZ//epmA//ftp//ribE//yihR//bamB//cydD//waaH//mliC//gltK//ybiA//ilvN//rbn//zntA//recF//yfaL//lepA//argA//sdhB//fliZ//gsiA//cynX//nrdG//flhA//lpxT//lipA//mnaT//nikE//folC//ydeP//ridA//ssuA//yhfS//envY//ydiZ//ygbN//yebS//raiA//caiT//malX//ydcR//yidP//paaH//yajO//degS//dinG//comR//yjjX//ykgM//aroG//djlC//trpB//ybdH//fecC//fucA//kdsA//yedL//ccmE//rng//yjhI//rcsD//hypF//flgF//rdgC//yggP//insA-1//ydaV//rraB//sufC//ynfE//ycjU//nagZ//allS//uxaA//ynjD//cusR//ydhK//fruB//bssR//bglA//yqgF//glvC//dtpA//kdsB//appB//ybjI//marR//glrK//cbeA//dxs//xapR//ytfR//dsbG//aer//dbpA//tag//polB//flgM//rpsA//opgC//frdD//flhA//fliT//yoeE//rpsL//mdtK//icd//yjgX//rfaD//ygaV//yddM//recT//ulaA//aphA//waaZ//casD//yfjR//appY//lgoR//dgcQ//lit//wzzE//yagF//prs//tus//mhpR//glcE//macA//cpoB//ispG//plsB//yciE//waaA//hisA//lplT//tauC//hns//cdaR//mgrB//ibaG//ptsI//folD//kefB//yhdZ//nfsB//paaX//yqeA//ghoT//helD//arnA//phnO//pyrH//serC//yfgO//yjhG//yigL//ftsQ//yedL//pntA//yiiM//proP//lysU//ybiX//creC//lysO//ugd//ivbL//yejF//corA//pyrL//crfC//guaB//phnC//cspC//fecB//prfC//mngR//glpG//tap//rplO//ibpB//rtcB//zupT//dxs//sanA//rpmJ//rplY//ydiV//gldA//ypdC//yaaY//bluR//thrB//srlA//yhaV//rmuC//maa//dapD//ychH//dctR//dicA//ftsW//mdtI//cueR//ndk//rutE//crcB//insH-5//casC//caiF//yeaV//zapB//wcaJ//coaD//uxuA//asmA//tsf//purR//hcaD//yehW//znuA//arsB//rnhA//lldD//slmA//malE//aroC//waaL//dgcT//yaaU//surE//mscK//nuoB//yebK//rlmF//tyrS//ahpC//acrF//panC//maoP//lsrK//yjaZ//infB//tufA//pck//smrA//ldtC//phnC//panC//phoA//epd//bglJ//xseB//ymdB//yahI//narL//ghrB//recG//recA//wecE//fliS//sucA//yehW//ydeT//sfsB//ulaE//atpD//cbpM//nrfC//prpC//ynfF//pspF//aroP//pbpG//rluA//ymfK//yfcS//rpoE//ybaQ//ydcI//ydjJ//mqsA//ibsD//mdtM//ldtD//ompF//ravA//melA//ydiO//argP//hdhA//yhbO//flgA//yjbB//eutN//tdh//intS//yehA//ycjQ//yehX//dtpB//elfA//wcaB//fre//nrfC//hybA//ydfK//gppA//ftsI//ydiQ//hcaB//ycjQ//panD//lpxT//yfaL//ispB//yiaN//sbcB//rssA//ldcA//mmuP//clpA//ftsP//gltS//dctA//ymgF//scpB//glsA2//menF//yrdA//caiF//csiR//bioH//djlC//iscU//frdB//aroA//bcsQ//mrr//dcuC//pflB//rimK//hcaD//ykgM//hdfR//yhgH//cysK//wzyE//yeeJ//uidC//yfcQ//ycbX//endA//prlF//fecD//ddpA//ilvM//ycdY//rfaG//purF//rpe//rpsH//nikR//pgpC//frlR//prc//artI//xerC//ldhA//srlA//nagC//lsrD//exbB//bamA//dsbC//pitA//ais//hdhA//leuA//yadI//uspG//zapE//nudB//tauD//mhpT//murF//cydB//atpE//puuP//yciG//clsA//yfcP//pmbA//ycjQ//aroA//hokE//yiaN//pliG//rplC//greA//ydjJ//ulaF//agaC//atpE//bioD2//pcm//elfG//lipB//yjhB//uvrD//nusA//crfC//wzzB//hybE//dmsC//nudF//csgG//pagP//thiC//yghW//pinQ//dcuC//nemR//ymfK//pitB//menE//sfmA//rutB//cheZ//purL//cspC//
GO_0006083_6	tadA//blc//mepA//acpS//ttdR//cho//
GO_0006084_6	yfeW//mnaT//
GO_0006085_7	cstA//lysP//
GO_0006086_8	panC//
GO_0006089_5	murR//hypB//flgG//fdoH//sfmC//yfcA//yfdR//tusE//polB//bisC//ybaL//hflD//srlD//qseC//bglH//symE//coaD//amiD//opgG//livG//mazG//rimO//pdxB//torR//yjbF//mutM//rof//nudG//tonB//
GO_0006090_8	gadW//yjhP//mlaC//psuG//ahpC//mdtD//maeA//miaB//proA//ydcZ//envC//rpmE//ftsI//argR//rrrQ//ydgA//yahI//tehB//tag//dgoT//iscR//elfD//rarA//ynbD//puuR//cof//fdnH//pspF//nrdF//zipA//yebK//
GO_0006091_4	ada//tnaA//puuD//yihO//ychH//betB//lolB//yjjG//ybhD//cueR//casD//proC//rhaM//mltB//entH//zntA//betA//ldtC//ydcI//ygfI//yqiG//ynaE//barA//prpC//yahN//uraA//pspF//ptsN//arcC//ygfZ//csgF//allC//yraN//pdhR//ubiF//setB//uup//yjjV//pstA//elfA//flgH//apaH//rsfS//ftsY//bfr//dicA//rhaS//rhlE//speA//ygiV//murB//rhaT//yigL//kdpC//rsmF//nsrR//yciF//rhtB//ybhF//pdeR//glnP//rfaE//appC//paaH//ebgR//endA//insH-6//cirA//rbsK//gutM//pheA//zipA//pyrG//yhjA//dppC//deoC//psd//argK//folE//yaaY//xisE//malY//lasT//moaE//hscB//gcd//znuC//bglB//yobF//tauA//hdeD//ffh//macA//mltG//lacY//mobA//yehC//ybhF//ybjX//rarA//ybdR//murF//nirB//argH//rplD//trmO//yiaU//waaB//mhpC//agaB//mcbR//rcsB//
GO_0006094_7	bioD1//preA//mdtK//rhaD//insI3//glmU//etp//alaE//yqiJ//sufA//
GO_0006096_6	sucA//acpS//prpC//mngB//yedP//eutD//waaG//pncB//ybiO//caiF//lldR//artQ//zraR//elyC//dtpC//purB//tnaB//sapB//
GO_0006097_5	ppsA//nuoM//ydjE//insH-6//maa//
GO_0006098_6	yobA//lptD//yciV//phnH//fadI//
GO_0006099_4	insH-5//torI//ppsR//ydhJ//ratA//lpxT//insH-6//ais//dcuB//aroC//ortT//aroD//ushA//bioD//hofO//opgB//macB//
GO_0006101_6	hicB//pyrD//rplI//mdtQ//sdhC//hdfR//flgE//fdhF//rhlB//phr//fsr//chbR//nuoN//dacD//cpxA//yidC//panZ//
GO_0006103_5	ubiJ//smpB//nikD//
GO_0006104_6	zntA//yidH//pabA//
GO_0006105_5	zapE//lspA//yafE//phoR//mcrB//xanQ//umuD//flgB//
GO_0006106_8	recA//
GO_0006107_8	lsrG//
GO_0006108_8	yadK//hslJ//ccmG//pgi//pgaC//
GO_0006109_6	cobC//grcA//pheM//waaY//arsB//rihA//ispH//osmF//truC//
GO_0006112_5	ycaO//endA//sdhE//yegV//ycdY//umpG//topB//mngB//
GO_0006113_5	rpsB//guaA//pinE//rsmD//eco//rfbC//lolE//ppx//trg//trpR//pppA//znuA//waaO//
GO_0006115_6	yihI//
GO_0006117_5	rraA//
GO_0006124_6	rmf//
