#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	fdoH//ispU//flgM//ibaG//
GO_0000270_7	bglA//narJ//melR//fieF//rfbX//cysE//cheB//arsB//yagJ//carB//yehB//ybjD//ybcM//narK//ompN//cydD//wzyE//relB//allB//yegS//paaD//dcuR//yfcA//ybcM//yceD//rplK//sohB//mglC//acs//yfaV//basR//ahpC//curA//sfmD//paaK//yghB//ugpA//cbtA//yjhI//zitB//thiI//glk//btuD//dinJ//rsmD//lacZ//msrQ//intA//gntT//lpxC//alsK//hscC//allB//hemG//zntR//yidR//ybiY//rarD//purB//yqaB//yeaE//ispH//yiaO//
GO_0000271_6	glnE//ccmH//tauD//yaiV//iaaA//sodA//tatA//tcyL//kdgK//gltX//melR//cstA//mraZ//ftsH//wzb//fabI//polA//ycfS//maoP//tomB//ychH//rpmA//hemD//alsC//frr//yaaU//ybhD//yajQ//ybiH//ebgR//fau//yjjX//phoA//fucP//bipA//fdoI//recT//ydcZ//hisD//yghU//kgtP//sgcB//ydiB//hcaC//phoP//fdhD//rutB//ydiV//oppD//dsdA//
GO_0000272_6	fimF//rpsA//garR//yhjB//ghrB//mdtK//
GO_0000302_5	osmE//agaD//lptG//nemA//waaL//yciE//gltB//gshB//fadJ//recF//slt//lpxB//rpmF//mqsA//tyrB//tbpA//uvrD//ackA//cynT//citX//acpS//recO//cirA//ulaD//ibpA//nemA//ypdA//lsrD//yphF//ibsD//tag//
GO_0000303_6	fepD//crfC//
GO_0000305_5	kdpD//yhaV//mhpA//
GO_0000372_11	erpA//
GO_0000375_9	znuA//
GO_0000376_10	recJ//
GO_0000413_9	hemL//mraY//ygiV//betT//puuA//flgI//thiD//tdcB//
GO_0000451_7	cas3//sfmA//pitA//fliL//ygiW//
GO_0000453_8	srmB//oxc//clpP//cysP//yhhZ//
GO_0000455_9	tyrA//malK//sthA//ydjE//kilR//wcaC//yfgI//
GO_0000462_11	hda//pmbA//
GO_0000469_8	iraP//
GO_0000470_10	uhpA//
GO_0000478_9	mepM//
GO_0000715_6	rnhB//
GO_0000716_7	mutH//
GO_0000724_8	csrA//
GO_0000725_7	ybiS//glpK//paaK//umuD//pyrB//fdoG//
GO_0000726_7	cpsB//
GO_0000731_7	mrdA//zur//lepB//yehA//dctR//yfiF//cmoA//
GO_0000737_7	glsA2//
GO_0000738_7	ftsI//tdcA//ompN//
GO_0000746_4	cobT//
GO_0000820_7	recG//
GO_0000902_5	purL//
GO_0000910_4	nfi//rppH//yqcG//dcuB//yebQ//ycgV//uspG//ptsP//dhaR//yeaK//ycfH//rpsM//ascB//xapA//uvrC//gatY//dacD//fliA//
GO_0000917_6	ypjD//allR//lpd//bioA//ppx//
GO_0000918_6	rbsD//ldtD//tsx//ycgB//
GO_0000920_3	cdsA//tolC//pgsA//zapE//glsA1//
GO_0000921_6	gpmM//
GO_0000966_8	rnlA//sutR//ndh//yiaL//
GO_0000967_10	yjjW//birA//apaH//
GO_0001101_4	ybhA//cutA//sfmC//rpmC//zntR//cedA//fimI//hisM//fabA//mreC//selU//evgS//feaB//dgcJ//proX//trmO//vsr//pspF//sufC//rimO//hypT//epmA//melA//aroP//ydcO//ccmA//
GO_0001121_7	lipA//gcvH//
GO_0001123_8	codB//
GO_0001124_8	ygeW//
GO_0001407_7	sfmA//hslR//purN//coaE//
GO_0001505_4	yeiL//acpP//tatD//truB//ldrD//brnQ//glrK//mscM//betB//gyrA//nrfF//cspI//clcA//dmlA//bioD//nadC//
GO_0001510_5	arnB//yhhY//ydeM//sapB//yieH//kdpB//rimO//hybA//higA//rho//clpP//yfdO//argH//aaeA//gldA//citG//leuB//fieF//prlC//fetB//yhdX//ecpR//psuG//gadX//yjjB//ldcA//leuE//ispB//yjiY//pykA//waaO//thiI//yadK//mglB//bamB//ybiX//ydcM//dnaX//lgoT//kefB//
GO_0001514_8	alpA//
GO_0001522_7	yihO//codB//yfaX//stpA//yeaD//insI-1//metR//ybbW//gadC//abpB//pyrC//yphC//araA//
GO_0001539_4	dinD//leuS//thiQ//yqcC//acrB//araG//sspB//mrdA//fabH//pppA//gsiA//ushA//fucP//fliT//ydfG//yegT//ydaV//hslR//yiaL//rpe//ychF//cysG//yiaL//hyaB//gsiD//ycfL//xylH//nadA//wzzB//rhtB//yjcO//
GO_0001558_5	aspC//pdeK//aceB//yodD//cueR//yajQ//fetA//paaF//
GO_0001561_6	ybiI//
GO_0001666_4	ynjD//
GO_0001676_6	hybO//prfA//rpnB//
GO_0001680_11	xanP//
GO_0001682_11	atpB//
GO_0001731_7	lysR//
GO_0001762_6	nupG//
GO_0001887_4	ddlA//ynfE//yiaB//
GO_0001896_5	alaC//ybhF//trxC//yidQ//
GO_0001907_5	rhaR//arsB//yggW//ravA//
GO_0001932_8	frwC//sapF//
GO_0001934_9	fepC//
GO_0002047_6	elaA//rpmC//
GO_0002097_8	ribA//ychH//mrdB//kdpA//arnE//ompC//mtnN//insK//fadH//priA//melB//fhlA//gntR//treR//recA//arcB//yegS//phnL//kdpE//
GO_0002098_9	pgpC//allD//btuE//cheZ//lacI//hofP//yfeD//accB//ygfA//mscK//ybiI//gntK//phoB//
GO_0002099_9	yfgO//narV//
GO_0002100_9	nanE//
GO_0002101_9	ydiF//glpC//
GO_0002128_7	artP//mdtQ//allC//kch//
GO_0002130_8	curA//
GO_0002131_9	nsrR//
GO_0002132_9	lacI//
GO_0002136_10	rlmN//
GO_0002143_9	proA//yqaE//yehP//marA//ppc//yidD//
GO_0002181_7	dhaL//glcD//
GO_0002183_5	fimH//
GO_0002184_8	lptC//
GO_0002188_6	thiE//
GO_0002190_6	yfcQ//
GO_0002192_8	mtfA//
GO_0002252_3	ung//cynS//mutM//yfhM//rhtC//ffh//ftsX//nrfD//ymdB//ompN//
GO_0002790_6	cca//deoR//yphB//sufA//wecC//treR//ydeP//
GO_0002937_9	glsB//
GO_0002938_8	ytfR//
GO_0002939_7	rplO//
GO_0002943_8	dusB//
GO_0002949_8	ybaO//yciA//ymfA//yraJ//
GO_0003333_7	efeO//fecB//opgC//aroB//maa//menB//yehB//etp//ygbM//dnaJ//feoB//trmJ//ydbK//ydeP//nrdE//sgbU//ybcF//gshB//hyaA//skp//murC//rzoR//acpP//alsK//rpsQ//etp//hslU//xapR//cspD//serA//fucP//metR//betB//mnmC//yceD//yhbX//dinJ//sufA//ubiD//ogt//purD//mrr//tufB//fklB//yidP//ascB//amiA//tdcC//hsdM//
GO_0005975_4	rimL//fucK//nrdR//rpmA//mepM//fabZ//ydcI//glvB//murQ//hyaB//cadB//dsdC//pepQ//ispG//lapB//ibpB//epmA//mutH//dcuR//actP//pflC//acpT//paaK//rlmB//acrZ//rfaE//grcA//rplC//blc//hybG//dgcZ//lsrA//rzoD//ydfH//ftsP//ymdB//rfaG//yhjR//macB//hyfC//cusC//norR//ilvH//rbsD//dsdA//aidB//yciE//rsmH//fadH//efeO//serC//ybaL//ydcO//ydcZ//ygbM//kdpD//ybiX//gltX//copA//ybfA//mdtD//cspG//gltS//mntR//prfA//topB//cusS//rhaD//hemL//mrp//yfeD//hofQ//basS//flgM//nlpA//pspC//cpxR//tmk//yhjX//recG//insI3//frlR//fis//cyoC//prpD//dapF//galE//abgR//secF//prpD//tehA//yobF//yggE//yagU//thiM//rspB//lptC//folM//fucK//narJ//yeeA//focB//gudD//aldB//recO//uhpC//hcaT//elyC//paaD//zapD//speG//livG//fimA//ykgA//fimF//moaD//ybhP//garL//nuoL//clcB//speG//ybhG//mglB//ydcS//coaA//entH//iap//umuD//fpr//purC//ybiV//norW//fumC//ydiR//bluF//rnhB//torI//bamD//bioF//sodC//paaA//ygeV//bioD//bsmA//ydeP//yfeO//acpP//waaY//yciT//psuT//mutS//hupA//ghxQ//cra//nanR//ascB//ybaT//moaD//malQ//ydjM//araH//phr//ybbN//dgcM//glpA//htpX//agaW//hns//mtr//atpH//cysS//alsA//ppsR//lpxM//mak//rfaQ//nusA//tyrB//srlA//yghO//cpdA//glcC//pinR//gapC//rdgC//recC//cedA//dtpC//yceK//aldA//menD//ribB//paaH//rhaT//dfp//ydcZ//bssS//yhaM//pdxH//yghW//ariR//yidC//atpB//rplC//sapD//sdaB//mntS//puuE//icd//phnN//ydhK//tamA//yggT//dsdX//idnO//yiaF//ldrB//clcA//yidC//btuF//ileS//tas//pepA//iclR//kefB//cysW//waaJ//ygiV//cysI//lspA//yaiV//wbbK//fhlA//dinQ//rnt//cvrA//nhaB//ygeW//fmt//etk//insA-1//ortT//yfgI//cdaR//mepM//thiQ//casA//nemA//degP//yqiJ//avtA//rsmE//sohB//rlmF//
GO_0005976_5	paaA//mtnN//paaJ//metQ//eutB//ibsB//intQ//ybjC//mutM//dgoK//rpmJ//glrR//proC//acrE//rpsR//tsaD//lepB//ycgR//bluR//rplN//dnaE//ibsA//aroF//argS//yghW//truC//mazF//ftsA//rsuA//oxc//sppA//malS//edd//agaA//dhaM//yejA//adeP//hypA//napD//bioB//mntH//ynbC//torD//lplA//gltP//kdpB//ivy//thiM//ybdR//pyrE//aroF//elyC//fucI//glgP//hybE//rcsC//flhA//ascB//yejA//
GO_0005977_6	nrfE//prmC//diaA//gadA//menC//lptF//dmsC//gnd//
GO_0005978_7	ymjB//appA//frlC//eptA//
GO_0005979_8	rhaB//
GO_0005980_7	opgD//lpxM//grxD//
GO_0005981_7	paaX//
GO_0005984_5	higA//opgH//mdfA//ybhA//argA//ynbB//yqaA//yihV//rcsB//fryC//puuD//
GO_0005985_6	lgt//
GO_0005986_7	cspE//
GO_0005988_6	mltG//yggN//
GO_0005990_7	scpB//csiR//
GO_0005991_6	hypT//ubiA//ygiN//gsiD//tauC//
GO_0005992_7	gppA//gstA//
GO_0005993_7	mlaC//rluA//thiE//
GO_0005994_6	ybhG//
GO_0005995_7	yfdK//
GO_0005996_4	yjjV//trg//acrB//nikC//glcF//ygbI//kdpC//speF//entC//lptA//ydeT//mrp//arnT//cmk//rlpA//pykF//rpsA//tesB//ycjQ//xseB//lptF//csgF//mdfA//yafS//topA//pgl//fre//mltD//bcr//yphB//gyrB//pheM//wzzB//hslR//citG//menB//bcsQ//ssb//gmk//yidL//pnp//ydcP//sufE//alsE//dsbA//copA//rne//katG//yebS//gspF//ynbC//ddlB//znuC//entE//dicB//yhjD//valS//yfeW//thrL//mdaB//yfcV//mlaC//copA//lsrK//gstA//hyaA//mprA//araA//ycfJ//dcuB//tamB//ydjK//recC//ybcL//aaeB//rpsH//ugd//modA//adiC//dusC//yoeE//yibF//
GO_0005997_6	fabI//
GO_0005998_7	entH//
GO_0006000_6	yphB//basS//minC//
GO_0006001_7	lgoD//phnO//
GO_0006002_5	waaP//fdx//dgoA//
GO_0006004_6	ydbK//yidE//gshA//exuR//rpnC//fimG//
GO_0006006_6	lysS//gntP//bdm//mrcA//hypC//rrrD//lpoA//gcl//arsR//chpS//borD//elbB//ygiS//uspE//ispB//phnG//flgM//malE//purN//dppF//nudC//rpmG//alpA//
GO_0006007_7	rhaD//yccX//dcyD//
GO_0006011_5	recQ//
GO_0006012_6	sgrR//yciA//glcF//nuoE//araA//uspB//speA//rplB//ydbD//
GO_0006013_6	cnu//leuB//
GO_0006014_6	yfbU//dtpB//leuC//
GO_0006015_7	iraD//tamB//
GO_0006020_5	mlaF//
GO_0006022_5	nudF//hisM//arcA//ydhJ//nuoE//mazF//cpxP//yafQ//amiA//uvrA//maa//rarD//rpiB//ybjG//rplK//fixC//ampH//rcsD//waaS//yneJ//ftsA//epd//amyA//priB//ydiO//rplI//yhaO//yihX//thiL//rplE//carA//edd//dgoA//holB//abgT//ubiH//fetB//sapD//gatD//potB//citC//fhuB//gltD//tatB//yfdG//mak//flgE//metR//dinI//ravA//chbB//prpB//yafC//hycA//map//mlaB//murQ//rbfA//xylG//agaI//arnD//sad//maeA//
GO_0006023_6	hcaF//rpsM//fabD//kdpE//phoQ//bioA//dppC//paaH//ygeX//nrfD//rep//satP//osmF//paaF//tqsA//raiA//gstB//pyrB//yafN//casD//rplW//tsf//gshB//yehU//insK//dcyD//uxuB//sgcC//entS//rihA//yagI//nrfA//nrfB//ynhG//fimE//yihW//dgcN//yqgF//aroE//
GO_0006024_7	rstB//holE//ftp//secF//yjiQ//mepH//hprS//cpxR//hcaF//insH-6//rnpA//exuT//rpsI//elfD//helD//ugpB//cysU//paaA//yddL//wzzE//insB-4//queG//nrdR//yehC//ompW//flgH//cheA//allD//murG//yphF//hisA//tatA//tolR//era//zapC//ygbN//znuB//thrB//metI//
GO_0006026_6	ibsB//minE//yeaV//kup//perR//bioC//hflC//rsmB//mdaB//cspB//
GO_0006027_7	uspC//ampG//glnL//eutR//yedF//hcaR//adeQ//yiaB//srlB//minE//
GO_0006040_5	ydiQ//ybcJ//ppiA//cas2//rsmI//yebZ//gltL//blc//yhhY//acpH//rpoS//acpT//ompN//yhjA//hcaB//tbpA//frlR//
GO_0006044_7	yafQ//recE//recT//ttdB//menF//
GO_0006046_8	ydeI//ade//umpG//ynjD//
GO_0006047_5	astC//galP//ltaE//acrB//uidC//thrL//uspB//
GO_0006048_6	rpoE//hslJ//rpnC//elfG//ihfB//yjhH//
GO_0006050_6	mnmG//
GO_0006051_7	cydC//
GO_0006053_8	helD//
GO_0006054_6	sdaB//ydbK//lolE//dosP//flgK//ynbD//alkB//
GO_0006056_6	cobB//
GO_0006057_7	puuE//
GO_0006059_6	hiuH//ampG//glpD//hdeB//
GO_0006060_7	fdnH//
GO_0006062_8	potG//
GO_0006063_5	wrbA//xylA//yqiG//ynbB//eutR//rtcR//glvC//napC//mgtL//
GO_0006064_6	narY//frvA//yhfK//mglB//yfiE//uvrY//
GO_0006066_4	gatA//aer//wecA//ndk//tar//hemD//thyA//oppC//csgG//tauB//frmR//acrB//cysS//yedX//sufD//fruK//trpD//avtA//arnD//nrfG//fadA//lptA//accB//menC//gfcE//ftsP//rlmF//iscU//topB//ulaG//pcm//tldD//
GO_0006067_6	ygeA//cvrA//napC//
GO_0006071_6	rho//nanA//mhpT//azoR//ddlA//ltaE//ygbI//
GO_0006072_6	frdA//secD//lldD//ldtE//uidC//
GO_0006073_6	rfaE//comR//secD//dhaL//tap//ypdI//miaA//ydjE//arsB//cdsA//moaB//ycbB//lexA//uspE//sbcC//rraB//bioF//nhaA//pdxY//rhmD//
GO_0006081_4	citE//xanP//znuC//eptA//ymfA//gadC//dacB//yciF//napF//cspC//ampG//ybhJ//metR//thrL//mdh//yhaC//ydiV//gsiD//yjiQ//gspE//ypdB//rcnA//lsrD//asnB//uspE//sstT//wecC//adiC//glsA1//trmJ//fre//marR//kilR//phnL//fklB//fixC//glpK//atpH//yphC//murG//ptsP//galR//insI-2//recJ//rffH//ompC//rplO//dcp//ulaD//btuE//ampD//yhgF//aroB//phnL//hscA//aaeA//rnr//yjjU//rplT//mfd//pabB//azoR//sad//actP//kdpC//mtfA//recN//
GO_0006082_4	nemA//frdB//csgA//ypdB//dctR//sppA//ycjQ//dgcF//malE//ppsR//ybaQ//lptA//gntT//ybiJ//murF//purD//tldD//yggW//gutM//eamB//pgpA//mhpC//map//gshB//torA//epmB//yehD//rclR//ugd//oppD//sucC//yddG//fdrA//ybcC//aphA//lsrD//msrA//mltD//potC//amiC//potF//tolR//aroF//yhaC//treC//gcvT//hemG//psuG//ymfA//frvB//paaX//yedP//dnaB//cysW//yjaZ//cmoB//glpG//tusE//nth//fryA//yjiR//holB//rfbC//fadD//yghU//dapD//mlaD//argD//yaiW//ybeQ//glpK//chbR//insA-2//leuA//insB-4//chpS//gapC//lipB//acrZ//arnD//creB//cydC//ynbB//pdeL//deoA//fixA//truB//tnaB//lplA//rpnA//bioA//ruvA//lsrB//roxA//ygeA//dhaK//araF//lptC//helD//gudP//gatD//rfbX//elfG//hycB//tolB//creC//mglA//hfq//pitB//ruvB//yajO//ydiQ//ygeX//tyrS//thrC//patD//hcaR//corA//ydbD//rlmA//tisB//glgB//rlmD//ompW//lldP//eco//yifB//yabI//yjhG//cydC//hemD//yphD//purN//trmA//ttdA//fixC//mtlA//yeaE//yqjA//mazG//ubiX//adk//rpe//gpp//plsB//fadR//ftsI//btuR//gntR//yajQ//rarA//ulaD//dbpA//hicA//ybgQ//ydjK//murC//paaJ//sdhE//rsmA//glcB//ldtB//nanK//hemN//wzyE//epmA//dedD//patD//hisB//prpB//dcp//lgoD//bipA//yihT//yqaE//lipA//fdoH//iraM//napD//dam//casC//elfD//ycjW//paaA//basR//yadK//wecA//ssuA//infB//fecD//cyaA//nirD//yqjH//prkB//adiC//putA//cyaY//pepT//patA//csiR//glgP//menC//btuR//acpS//atoC//thrL//pdxJ//nanA//tsgA//mog//yqhD//fdnI//accD//cyoE//uacT//cadC//lolD//zntA//yoeE//acs//rplD//kefB//insI3//katE//amyA//aaeA//sucA//acnB//sugE//ygbN//mutM//rlpA//yihT//fecB//focA//lpxT//mdaB//dnaQ//uidC//hrsA//ynhG//yihU//paaG//ibpA//galU//hisF//ribA//fau//cyoD//nhaR//lptG//rlmI//wcaB//ada//ydeT//pgaB//mlaC//ykgM//sbcD//mfd//rpsP//cyaA//yhdZ//argA//yneJ//rimP//ghoT//syd//mprA//fhuD//rpsK//rutR//hscB//bcp//fkpA//emrD//dpiB//fucO//ygiB//yobF//fetA//malE//insA-1//glxK//ymjB//copA//cadA//rcnR//hofQ//aspA//astB//oppA//rpoS//dcuD//yiaN//ivy//surE//rffH//lplT//ybgI//pdxA//rplP//flgE//yciH//sbcB//menF//pphA//hisC//sgrT//glnQ//yjjW//arcB//dgcE//fadH//rfaD//fic//ddpA//tbpA//waaA//yfdC//ccmC//mnmA//intZ//agaI//rseP//ypdA//sgbE//trpL//fis//nusG//yjhB//ygiV//ccmC//hicB//yahK//insI1//nikC//yafS//agaB//ycgV//mepS//flhA//iscU//dmsA//groS//appY//nagK//marA//nuoI//yagU//evgS//elbB//proQ//ypjD//ahr//hemN//hypD//asr//emrB//amiA//queF//casB//pitA//ispB//hflD//asnC//manY//uxuB//artP//ypdB//ulaR//insH-6//hyfR//pitB//gadA//prs//appA//yjbG//sucB//narZ//cueO//allC//ybiS//yheT//yggX//ulaG//lolA//glnS//thiG//iscS//menE//lgoR//sfsB//aldB//kdpC//chpS//pepB//pspG//fadE//yjcO//elaA//thiL//cbtA//mdlB//eutD//fimA//ybgP//rnhA//recO//ybiA//emrB//ydiR//malQ//xapA//yphC//ttdT//blr//ygfI//glgS//nrfG//ybiO//ldrB//btuE//fumB//mtlA//birA//mreC//ogt//hchA//arcA//rbsC//rutA//glcE//yegV//coaE//frlR//insB-4//gsiD//mdtG//yjiM//pgi//ftsK//eco//yphB//yahN//fdoI//potG//ompT//spy//fre//rppH//yrbG//xylH//azoR//mscM//aroP//rraA//djlC//kefG//amiA//
GO_0006083_6	yjjX//coaD//glsA2//opgD//dcuA//atpG//
GO_0006084_6	rraA//yicJ//
GO_0006085_7	sapA//murC//
GO_0006086_8	frdC//
GO_0006089_5	cheR//lpxD//ldtC//ydjE//agaS//moaB//rhtB//ppiA//yfbR//alkA//yhdX//hsrA//tbpA//mdtK//ydiR//rffG//ybcF//hcaE//preT//tgt//ggt//metN//ytfR//nikB//yfbU//cysN//rlpA//prpC//yfbV//
GO_0006090_8	cca//lptD//abgR//cadA//tktB//cyaA//recF//mrcB//hybO//metE//kefF//ldtB//uspC//yhdJ//ycfH//tabA//hpt//wecB//uof//tabA//nikD//gntU//cspE//uxaC//sufE//crp//nimT//nth//ytfQ//folA//xapA//
GO_0006091_4	kilR//yegS//flgG//hemD//lsrA//dppA//prc//thyA//metF//dxr//casB//rlmI//sucC//gntU//galF//cpxR//tdcF//frmA//tsaD//phoU//gadB//gabP//ybiI//yghW//ugpB//luxS//torC//idnK//prs//yihU//glgS//cbl//rpoA//galR//rpsM//cpdA//yedF//serB//mocA//alsK//ypdI//acrB//fic//guaA//nikD//purF//ppc//ppsA//yiiE//frlR//ynbC//lsrD//rsmF//ptsI//chaA//proB//chaC//yhjD//yqaA//selU//dcp//pinE//gph//agaS//metN//appA//mngA//rpsQ//exuT//potE//mglC//gltI//waaB//ispU//waaG//envZ//tig//torR//phnN//nagB//ftsN//yqiJ//borD//dsbG//nuoB//bssR//qseB//nac//hybE//mdtD//yfdR//ubiE//yhdJ//acrE//yjhI//gmhB//recA//ccmD//feaR//fepE//cirA//pheT//acrA//arnB//rhaS//puuC//paaG//fumA//ygjR//yajO//ybdZ//cbrC//
GO_0006094_7	sanA//ybaO//alaA//dacB//gldA//map//truD//ttdB//trkG//pfkB//
GO_0006096_6	pgaA//ghxQ//deaD//dapF//yacG//sulA//dnaX//lysR//rbbA//dnaC//rhsD//gudX//dinQ//ppiC//aaeR//cysP//tatD//zapD//
GO_0006097_5	polB//ascB//aroF//fliA//gdhA//
GO_0006098_6	mprA//gspE//glmM//rpnA//rclB//
GO_0006099_4	qorA//hypB//mdtJ//mutT//secE//sfmC//xisE//agaW//rmf//thiI//rng//entE//ymjB//ycdY//caiF//rimP//ybjI//
GO_0006101_6	envR//pgrR//patZ//hdeD//kdpC//galM//bglH//clcB//mobA//dgcE//priB//rnpA//dhaK//mukB//cspD//hybG//rutR//
GO_0006103_5	rplD//ruvC//rhaR//
GO_0006104_6	glpA//cspD//lpxH//
GO_0006105_5	ybiJ//sufE//ralR//betA//msrQ//lyxK//ispH//fdoG//
GO_0006106_8	pphB//
GO_0006107_8	yfdR//
GO_0006108_8	aroA//atpC//eamA//rcsA//glgC//
GO_0006109_6	mhpT//ydcP//glvC//fhuB//asr//pgaC//ycjP//fliG//opgB//
GO_0006112_5	rfaB//satP//ygiS//alkB//cusR//glnE//narW//phnK//
GO_0006113_5	fhuD//ydhK//glpG//ydiR//entS//hofQ//nagC//hisQ//livM//mntS//yciT//yafS//yggF//
GO_0006115_6	agaA//
GO_0006117_5	feaB//
GO_0006124_6	yciA//
