#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	entB//dmsB//hyfA//fepD//
GO_0000271_6	hisG//lasT//caiD//envR//csdA//fixA//qseB//betA//rhaB//nrdI//hisM//prs//ygcW//leuO//gcvP//rpsE//dhaR//kefB//yjjX//intA//ydaC//ydeP//idi//yhjR//roxA//rhaT//nlpD//psuG//alaS//rpiB//ymgC//ltaE//hflX//ygeX//glpA//phr//nrdH//gltD//crp//murC//intQ//yfbU//sxy//metL//uspF//rzoR//ybhR//sgbU//ybaM//gcvA//
GO_0000272_6	tatB//hslO//idi//dtpA//eutB//uacT//
GO_0000302_5	ydfG//yedP//fabA//chbF//yhgH//fumB//torA//folX//caiB//deoD//pntB//rcnB//cysB//etk//yghU//ebgR//xylB//poxB//dnaA//yehD//pstC//corA//fepC//rfbC//ycjY//dcp//arcC//rlmE//fumC//rlmC//hfq//
GO_0000303_6	pinR//sixA//
GO_0000305_5	recA//kduI//galR//
GO_0000372_11	hscC//
GO_0000375_9	ygiN//
GO_0000376_10	yfcU//
GO_0000413_9	def//fliL//gpmM//livG//napA//rsmG//mdoD//cfa//
GO_0000451_7	mntR//flgH//rpoD//feoA//mfd//
GO_0000453_8	metF//fes//bioB//proA//alaC//
GO_0000455_9	cyaA//rplT//waaZ//appB//lrhA//asnA//ptrA//
GO_0000462_11	pinR//wecA//
GO_0000469_8	accD//
GO_0000470_10	kdsC//
GO_0000478_9	ynhG//
GO_0000715_6	murD//
GO_0000716_7	infC//
GO_0000724_8	yfiR//
GO_0000725_7	mraZ//dedD//ascB//arcC//yebC//yfaX//
GO_0000726_7	ygeA//
GO_0000731_7	cdgI//potF//yfjR//livJ//minC//uxaC//ubiX//
GO_0000737_7	xapA//
GO_0000738_7	ydcP//dadA//mngR//
GO_0000746_4	recB//
GO_0000820_7	tusB//
GO_0000902_5	ybiS//
GO_0000910_4	fabR//fepB//cysA//lysO//cheZ//zitB//rhaS//copA//ykgO//gapA//adk//nikA//ycjQ//nagK//phnC//yebQ//rutD//gatZ//
GO_0000917_6	fiu//hmp//recJ//yahK//fsr//
GO_0000918_6	pgm//osmF//sbmC//ygaH//
GO_0000920_3	uxaC//flhC//cmoM//appB//trkG//
GO_0000921_6	cvpA//
GO_0000966_8	pstA//mioC//aroG//yiaJ//
GO_0000967_10	rlmN//purN//kilR//
GO_0001101_4	narJ//oxyR//ghxP//mutH//galK//ftsH//sapD//recA//pyrF//entB//menA//hemB//rhtC//leuB//pstS//malQ//ybaL//yfiE//katE//eamA//dfp//tap//gatB//pcnB//prc//yejF//
GO_0001121_7	glgB//dusC//
GO_0001123_8	queE//
GO_0001124_8	glyA//
GO_0001407_7	yfgJ//zapE//tauB//mnmE//
GO_0001505_4	ugpB//ebgA//purT//fadE//ygjH//bcsQ//panC//infB//pepQ//ycjY//cbpM//gutQ//hypA//narW//dxr//uup//
GO_0001510_5	aas//ulaC//yhbO//rhoL//minD//suhB//mhpD//yojI//nadD//rzoR//sdiA//argO//rplT//napD//rhaR//dcm//fdnG//sdhE//srlE//deoA//rho//coaD//rcnR//adeP//ygeR//yieH//yghG//cynS//argK//arcC//nikC//wzc//yjeH//glmU//surE//leuS//alsA//selD//znuB//pykA//
GO_0001514_8	cbtA//
GO_0001522_7	ycaO//frmR//hemB//yaaJ//proW//accC//tcyN//livM//htpG//ubiE//ydeM//yebC//kbaY//
GO_0001539_4	nrdH//mlaE//ydjJ//yibH//proC//yhjA//ansB//gudX//guaC//prpD//cpdB//secM//putA//ftsQ//dcp//yijO//ilvA//avtA//sspA//gltB//galT//malF//yhaJ//crfC//rpiB//ygjH//potH//dut//yiiM//prfB//ymgF//
GO_0001558_5	fliS//dkgA//rbsR//rutR//yjeH//yfeX//hcaB//mutL//
GO_0001561_6	surA//
GO_0001666_4	menH//
GO_0001676_6	hslR//bioA//elaB//
GO_0001680_11	cheA//
GO_0001682_11	aphA//
GO_0001731_7	gmd//
GO_0001762_6	nikB//
GO_0001887_4	cyaY//amiD//syd//
GO_0001896_5	idnD//tmcA//zapC//yneL//
GO_0001907_5	tyrA//zapE//ydfH//tpx//
GO_0001932_8	yneE//ytfQ//
GO_0001934_9	hcaF//
GO_0002047_6	aspA//murD//
GO_0002097_8	skp//insI4//yghW//glnS//ygfZ//rpiA//ycbX//ymgC//ycaN//hemB//yeaG//entE//hemE//ssuD//mltC//dmlR//rbfA//lpxB//hyaA//
GO_0002098_9	pdeF//uidR//pflA//purR//ogt//oppA//uhpB//glrK//glsA1//cysB//cysH//yqeA//rluE//
GO_0002099_9	hyfR//zupT//
GO_0002100_9	lnt//
GO_0002101_9	ypdI//yjjB//
GO_0002128_7	yodD//ubiB//serB//gcvA//
GO_0002130_8	hisP//
GO_0002131_9	galT//
GO_0002132_9	fadB//
GO_0002136_10	srlR//
GO_0002143_9	ynfL//frwB//gapA//acnB//lapA//roxA//
GO_0002181_7	wecA//tsr//
GO_0002183_5	hofN//
GO_0002184_8	yggX//
GO_0002188_6	sgbH//
GO_0002190_6	tomB//
GO_0002192_8	argF//
GO_0002252_3	cvpA//dicA//ppsR//ebgA//ycaO//yjjV//malY//dhaL//ptsP//yejA//
GO_0002790_6	yafE//ruvB//csgF//yfaE//flgG//metK//pyrF//
GO_0002937_9	gyrA//
GO_0002938_8	btuF//
GO_0002939_7	kdpF//
GO_0002943_8	cdgI//
GO_0002949_8	rimP//rph//rcdA//dsbD//
GO_0003333_7	pntB//ydcM//tadA//yahO//idi//hflC//adhE//ibsC//aceF//yagJ//mdtO//pntB//abgR//mglB//ibpA//rseC//lpd//trxA//smpB//mog//dtpB//rcdA//ascF//thrS//yehA//alsA//ydjL//acrR//glcA//ruvB//kdgT//sbcB//ymdB//aidB//pfkA//yheT//viaA//cysK//nikB//pepB//ibaG//yhhT//era//dsbC//ubiJ//pyrL//emrD//tufA//ibpB//
GO_0005975_4	frlC//hcaT//ybcF//adeQ//pspF//ravA//setA//malI//ompL//melR//mngB//aer//groL//gudX//paoC//rlpA//yehZ//setB//nlpA//rluC//gpmM//rffM//tatD//ftsE//gpt//waaO//dmlA//pcm//lsrK//truB//tag//ygcW//puuD//flgD//yjeH//pspG//mdh//kdsD//mtgA//kdpD//asr//fdhF//agaV//fepE//lpxP//asnA//metC//yahN//potB//lipB//ibpB//ampH//cheW//mntH//rpsQ//rihA//intE//rplM//trpE//yjhI//lrp//aroE//fecC//ldrD//hycI//folX//ilvD//baeS//sgcC//eutN//pykA//ydaV//yfeR//pgpA//ybdG//cobS//ptsH//gadC//nagZ//trmD//cmoB//galR//pabA//ribB//torA//deoA//fliG//ibsE//waaH//lolB//ynbC//mppA//mgsA//fixB//hscC//fis//hsrA//yehX//gutQ//cvrA//poxB//ilvA//phoQ//rfbB//gdhA//ubiE//yfdS//ybhP//ibsC//rbsR//proB//hisB//priC//hcaR//argI//yidA//argK//puuE//sspB//ybbW//basR//uxuB//rbbA//sseA//mdtD//zipA//mlaE//yfgI//uhpA//yiaU//dkgA//rsmF//glvB//lsrD//nrdH//ispU//wzb//betT//fimZ//frvR//dgcJ//rhtB//nagB//dgcQ//mug//glcE//rnb//fecD//ymfA//elfD//dhaR//acrE//cyoB//cysC//ilvD//ubiE//ydiR//scpB//lapA//chaA//pdhR//ampE//fhuF//gapC//rpoD//kdgK//ybaL//yfdC//macB//minD//rnc//dgcE//pstB//acrE//ade//trpGD//ampG//thiP//yadN//yddL//ligB//cmk//rpmF//sspA//gltX//dcuR//hslJ//yjaZ//fadB//yiaJ//folX//wzyE//rplP//hipA//tas//sad//pdeH//mgrB//cpsB//mdtM//ribB//artJ//argI//treA//parE//ppiD//dedD//nagE//rpsP//fadH//murI//bglJ//bipA//mazG//ftnB//guaA//hisG//pbpC//ybiA//dsdC//ynbB//narU//ybcC//evgA//rclR//minD//tig//paaD//casB//yhdW//ansA//argA//kdpE//gadA//ptsI//rfbX//ubiF//yjbE//dxr//rpsS//pflA//yfbV//agaC//mliC//pmbA//lnt//coaE//puuP//yajQ//nei//nhaR//lnt//yfbU//yiiD//
GO_0005976_5	nac//prmA//prmC//yqiJ//yafO//alkB//cydA//iscA//hisD//murR//lplA//ydiB//gltK//dnaK//yihW//hinT//mrdA//oppB//sapC//talB//tolR//ydfK//ibsE//asnC//lptB//mmuM//purC//dgcF//amyA//yghB//ibsD//talB//fabA//phoB//insA-2//hybF//dgoR//yacG//bfr//fepG//glsB//secF//nikR//tolR//narP//bamC//bglF//narJ//glcE//csrD//mcbR//dcuA//yfjV//acpT//clpA//ybiA//narH//ackA//rtcB//
GO_0005977_6	ybiH//yciT//panD//chaC//mrcA//fdoG//perR//ldtB//
GO_0005978_7	nupG//pgrR//evgA//elaA//
GO_0005979_8	dsbC//
GO_0005980_7	lptC//yidC//bepA//
GO_0005981_7	fre//
GO_0005984_5	ftsB//ycfL//trpL//fhuD//gudX//yjjG//rbsR//iraP//dnaT//fadH//nirD//
GO_0005985_6	yigB//
GO_0005986_7	parE//
GO_0005988_6	ftsK//fur//
GO_0005990_7	sgcC//mgrB//
GO_0005991_6	ybiV//phnJ//ydiB//casC//dnaE//
GO_0005992_7	gabD//fimF//
GO_0005993_7	rpoH//thiD//hybG//
GO_0005994_6	yfcR//
GO_0005995_7	nrdG//
GO_0005996_4	yajD//mdtB//nuoI//tsaC//tgt//cobU//ulaB//yedX//glvB//mltA//ispG//dcuR//iap//gluQ//serA//ycjQ//purB//nanE//coaA//queG//betT//cueR//dicB//yjhP//serS//sulA//entE//yhjV//lpxT//puuA//entF//gltL//yeeO//cyoA//lpxH//ompN//glcC//ybiH//nudG//nanT//alkA//ibsE//rnhB//hpt//yggP//argB//moaC//ldtC//torC//yidD//cysC//ybhI//dadA//dapD//narG//yejE//sgcE//gadW//entH//envR//rfbB//mutL//metR//btuR//tynA//artM//entH//rfbB//torZ//ttcA//torY//secB//ydfD//recG//emrE//hflC//pagP//ldtD//spoT//tcyP//lpcA//ftsQ//
GO_0005997_6	hrpA//
GO_0005998_7	yfgO//
GO_0006000_6	metK//acrZ//trpL//
GO_0006001_7	exuT//dnaG//
GO_0006002_5	ppsA//oppD//cmoB//
GO_0006004_6	alkB//yhjA//sulA//folM//ompR//dmsC//
GO_0006006_6	ldrD//ackA//trpA//cysH//ybcC//kbp//intQ//asr//ydfK//ygaZ//hisI//norW//ybcQ//insE-1//hdfR//ldtA//csgF//ldtC//lgt//ulaA//tsr//aroL//rbfA//
GO_0006007_7	rpoH//apt//yaiP//
GO_0006011_5	metR//
GO_0006012_6	dpiA//htpX//ymjB//prfB//yebC//hcp//yqeA//lhr//hyfF//
GO_0006013_6	kefC//tynA//
GO_0006014_6	mliC//recT//gatZ//
GO_0006015_7	ruvC//acpP//
GO_0006020_5	cpxA//
GO_0006022_5	viaA//ydiR//gloC//mrcA//ymgC//deoD//rnd//cheY//uraA//aroB//hyfC//gpr//kdpB//hypD//glvB//ssuD//dctA//yggT//pspD//roxA//rnlB//sufB//fimD//uxaA//atoC//bluR//dtpA//yaaY//fadJ//nth//gabD//ycaN//metQ//gltP//ftsA//rplW//atpB//bioB//fimF//nadE//nanA//yijO//acrR//rpmG//lysR//nudG//cysE//gldA//ldtD//wbbK//zur//purF//sfsB//sixA//rcsD//bioD2//slmA//gabP//ubiF//mepS//gutQ//frdD//pgaD//
GO_0006023_6	rnhA//amtB//mdtI//ytfR//trpD//fadH//tamB//cpoB//cobB//argO//rpsR//solA//thiL//hdhA//gph//rtcR//abpB//ycfS//dnaK//dhaK//citG//sapB//glgA//yiiE//pbpC//caiD//minC//pgaD//rihA//tus//rhmR//yafQ//sdaC//hchA//yeiE//yebZ//leuD//rpnA//xylE//
GO_0006024_7	aroH//ydhQ//yegD//nanS//sgcC//frdD//insB-4//mazG//oppB//aroC//znuC//ybdH//dsdX//sdaB//rhaS//cheR//dinQ//phnK//allS//nrfA//pyrL//gnsB//frdD//dcm//bssR//casB//tdcF//mdoG//fimF//galF//glmS//dapF//insK//truD//yebZ//marR//idnK//aroL//tus//
GO_0006026_6	secF//rnc//yeaV//rbsR//arnF//rclR//nrdD//asr//rpsN//ybiT//
GO_0006027_7	hisD//trkH//yeiE//dgcE//rhaM//yeeA//glnE//yafS//sfmA//fabD//
GO_0006040_5	gltD//idi//topA//mgsA//trxA//ycfL//gadW//opgE//sufA//aldA//trkH//fruB//nac//yjbH//glpD//zraR//tdcE//
GO_0006044_7	eutA//ykgM//bamB//allS//ttcA//
GO_0006046_8	prfC//metC//ymfK//narL//
GO_0006047_5	mfd//nlpE//ldtC//yaaA//hisS//abgT//perR//
GO_0006048_6	fsr//umpH//chbA//rcnB//tamA//yifB//
GO_0006050_6	ypdA//
GO_0006051_7	iscS//
GO_0006053_8	rbbA//
GO_0006054_6	deaD//caiB//sufC//dedD//rbsA//yaiV//dinG//
GO_0006056_6	nadD//
GO_0006057_7	modA//
GO_0006059_6	nanT//plsX//yibT//hipB//
GO_0006060_7	wzyE//
GO_0006062_8	guaD//
GO_0006063_5	minC//yajR//pabC//yhbQ//zupT//flgJ//lpxB//potD//ssuA//
GO_0006064_6	ppiD//trpR//patZ//yiaA//glpD//lpxT//
GO_0006066_4	dnaJ//setB//hcaC//yieE//ppc//argD//pspG//birA//norW//chpS//bdcR//xylB//rzoD//lapB//yhfK//gspF//iscA//atpH//katG//gapA//mdlB//insF-1//fur//fis//hupB//barA//yciG//tyrB//cedA//yidA//gloC//cysI//
GO_0006067_6	ghrB//dcuC//galK//
GO_0006071_6	murP//glcD//pdxA//slyD//wcaB//xylA//mdoD//
GO_0006072_6	rbsC//mreD//rplR//metF//yhaM//
GO_0006073_6	yihU//allC//paaK//nuoL//lplT//gloA//cpoB//yraK//rpsJ//bhsA//tsr//rfaG//napD//torI//hycB//pgm//rutF//argD//atoS//cobB//
GO_0006081_4	tsf//glnA//yiaL//rffT//rplP//pdeF//zntR//lacZ//fadL//crcB//prkB//yafQ//yfaU//bsmA//rnt//aroG//fruA//ariR//entD//degP//phr//lpoA//allS//fecA//sbcD//dsbG//dadA//yggN//secY//ydiK//fic//cdd//yfhH//fimF//murB//ybiT//cheA//betT//thiE//atpG//tqsA//yciE//crfC//dinI//hyaC//uidC//fumB//mdoD//yajO//shoB//ymfA//gapC//acpH//nrdF//ypdF//aceB//galS//frdC//flgD//acrR//rlmF//relA//ybdZ//rplW//bisC//rpsD//ygbN//
GO_0006082_4	argC//mraY//dpiA//mliC//modB//rfaG//lgoD//betI//uhpT//prfB//yraN//bhsA//galT//prs//iscA//pgrR//adeD//mutY//nrdB//lsrC//betB//hemB//argB//yhiM//sdiA//bepA//ychF//lolA//rho//ushA//ygbL//ttdR//barA//opgG//cmtB//yghO//ldtB//hofQ//miaA//idnT//umpG//cho//tatC//rpsP//sufD//elfA//elbB//rlmL//ybdH//ligA//yqiH//yqaA//nrdG//uvrY//ybiY//gyrB//yhhY//ubiA//tdcA//lepB//insI-2//pspD//ybiT//afuC//hchA//dhaL//sufE//hlyE//truC//pgsA//ybjN//glcD//purL//hcaB//lptE//rluB//yajD//aroF//bcp//apt//phoQ//dxr//ygaH//yagE//bioF//fepC//malI//yehP//nrfB//phoQ//kdpA//deoB//ymgF//ybgI//mutH//cysS//potE//ompR//idnK//dppD//ypdA//serC//cho//recR//ppc//lplT//ssuD//ratA//proS//cyaA//purU//ygcW//mdaB//waaL//rseB//fucP//selA//yiaU//lapA//ompR//apt//rplQ//pspD//kefG//potH//pflA//mhpC//tdcR//abpB//uspG//panD//mazF//caiE//adeQ//arcB//asmA//paaD//nrfD//yheT//ybaK//glcD//crcB//mraZ//pyrE//araE//zapD//rdgC//cspA//zapD//murC//arnF//bioH//ada//gdhA//ycjR//pliG//yfgJ//ybcL//rlmA//evgS//yiaM//flgK//cusB//pyrF//recQ//cbrA//glvC//mltG//fliG//rzoD//cirA//fis//clpS//tolQ//zitB//groL//potG//yhaM//ftsI//pdxY//mntR//cyoE//fhuC//ybaE//kdpD//moaA//mioC//creC//ubiJ//ddpX//marR//gltS//aspA//der//uup//rpnC//pyrG//dnaE//rnhB//sufB//thrS//aslB//waaJ//artQ//proC//nrdH//cadA//rcnB//ompL//lplA//frdB//nikE//hsrA//hemN//abgR//btuB//torD//patZ//melR//clpX//pcm//rimL//ampE//glxK//rpnC//alaS//oppF//ppiA//hns//glcE//nagA//bamC//grcA//asnS//mglA//lptF//argI//ulaB//ygeV//alsA//lldD//mmuM//nepI//patD//ttdB//rplC//glnE//parE//yeaK//epd//carB//rlmC//katE//rpmJ//trpGD//bdm//yphD//cobT//abpB//dkgB//opgE//pal//sodA//purT//osmC//dgoD//ycjR//fabA//fieF//ilvE//ygaH//rzoD//ydeE//ibsA//livG//waaQ//lgoT//yjbH//ycjR//hybE//yfaL//ulaE//cysP//araD//ampE//ais//tbpA//yqjH//rnhB//yggF//cmk//yghW//mntS//paaA//cas1//argG//nuoB//rclA//ybdM//ydbK//ulaA//wecA//cpdB//fadD//rutD//gatA//cysQ//ssb//codB//ynaI//tusB//rsmG//lamB//gstB//acpP//bdm//xthA//paaB//hcp//bioD1//mdtN//glsB//ycfL//cspC//nuoL//gnsB//narU//recF//tsaC//trmI//sapF//yfjV//ycjP//wrbA//ftsE//kdsA//allC//ygbN//sfmD//cyoB//nadK//ispG//glrR//ydcO//fabD//prlF//ydcZ//pgi//tbpA//bluF//fucI//opgG//valS//yqaA//ansA//yjjI//ygcR//mdtB//abgT//nrfA//orn//ybjG//dsbB//ubiI//sufE//menH//rarD//fdoH//betA//csiR//lipB//iraM//ybjD//tonB//recF//katG//yagG//mcrB//rpsL//cueO//ampE//evgA//yneL//pgaB//yfcR//mtgA//cho//ubiA//xapA//pstS//rrrQ//gppA//caiT//yghU//cusF//gudD//selB//leuE//ubiH//pstC//rzoD//cysQ//opgC//zipA//rplK//zntA//accD//wzzE//pgpA//arnT//bsmA//mntS//ydcI//macA//rclC//glvC//apaH//creC//ynjA//fdnI//cspG//aaeR//nrdR//aaeB//narL//idi//pdxB//yfcV//sutR//eutN//yfgI//setB//yceO//pgaD//nmpC//yceD//potA//rmf//fabZ//ribF//insA-1//ftsY//fucA//adeD//hrsA//mog//proP//csgF//acrD//ymfK//curA//ahpC//elaA//phoQ//fpr//xthA//fimE//lrp//pliG//rsmA//
GO_0006083_6	ynbC//yraH//cdh//ytfQ//yafO//ada//
GO_0006084_6	ampE//rlmD//
GO_0006085_7	metB//frlB//
GO_0006086_8	bepA//
GO_0006089_5	truD//rutD//puuR//opgC//panF//rimJ//ubiX//mdtQ//dnaJ//mgsA//aceA//fdrA//fadA//flgC//nirD//erfK//ftp//insI4//ilvB//ptsI//bglB//dnaB//cspB//ygbM//rdgC//hscA//yddL//zapD//rpoE//
GO_0006090_8	ldtD//nanS//ybcC//yghB//waaS//fimE//hrpA//metR//dacB//ldtB//ushA//ilvC//gcvR//ubiI//rlmM//codB//cobU//cpdA//hipB//mdtI//rpsD//speB//rpmE//mug//rhmD//yhdX//recQ//vsr//dnaA//hyfF//yqcG//
GO_0006091_4	deoB//glnA//murI//fabD//mgsA//pheM//rplO//mltA//prkB//ompC//ybcJ//hemL//scpB//hisP//mqsA//emrB//nupG//ykgM//yneJ//sufC//manZ//melA//sufE//rof//mgtA//livK//hycI//cmk//flgM//motA//dpiB//yaaJ//ispG//ybjX//sufC//uvrC//etk//glsB//yebQ//tyrA//cspG//nikD//hemH//fetB//fadL//cspA//rplI//lolC//yfaL//wbbK//ybfE//amiC//setC//hcaE//djlC//yajR//ybiV//yibA//dnaN//tmcA//cyoE//yfbV//fadH//cof//nrdB//cmoB//mgrB//cpxR//bglX//pntB//mdtO//dacA//yfcF//speF//ybgI//dsbG//nupG//gltX//ndk//focA//yqhC//pfkB//rnhA//mnmG//potI//rffT//rpsP//fabB//topA//narV//dtpC//ruvA//modA//dhaK//msrQ//rdgB//xisR//prmC//ulaC//bioB//rutR//dhaK//mrdA//phoP//alaS//fimI//pckA//sapA//ybhF//rutF//allC//macB//
GO_0006094_7	entA//rplD//mtlA//agaA//rplM//uxuR//gspF//alkB//pgl//fau//
GO_0006096_6	hyaD//pal//fecC//mdtO//ulaE//surA//gatZ//mntR//fliG//ttdR//lldP//hpt//hprS//uxuR//ymdB//gpt//ettA//cobU//
GO_0006097_5	ompN//hflD//mpaA//rpmA//mscK//
GO_0006098_6	yqjI//nirC//mukB//ycbV//yjjW//
GO_0006099_4	cpoB//fruB//amiC//hinT//bamC//asnA//citX//marR//dnaE//truB//artJ//wzzE//ispH//livH//hypB//sgcR//mdh//
GO_0006101_6	fepD//ftsX//dinQ//cheR//ugpC//nusG//citG//iscA//dcuC//cysE//iraP//cyoA//nuoI//murE//adiA//uof//wcaJ//
GO_0006103_5	phnH//rspB//nrdH//
GO_0006104_6	ibsC//plsC//amiC//
GO_0006105_5	yggT//tyrB//narW//csrA//glnB//tcdA//lysU//malY//
GO_0006106_8	ybaM//
GO_0006107_8	fruK//
GO_0006108_8	bcr//caiT//bioC//creB//allR//
GO_0006109_6	patA//pstB//alkA//alaC//dosP//yddM//hscC//yggD//nrfA//
GO_0006112_5	fabZ//hrsA//oppB//kgtP//citX//yqjA//cydD//mhpC//
GO_0006113_5	sucB//arnA//mscS//torR//potA//mscM//lysU//yafO//glgS//nrdR//ascB//mepS//ilvI//
GO_0006115_6	hscA//
GO_0006117_5	hflX//
GO_0006124_6	cueO//
