#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	msrC//potD//hyaD//truB//
GO_0000270_7	ribD//yfbV//ytfR//insA-2//ldcA//mtlR//nagK//frlA//moeB//yejF//iscS//barA//tufB//ydcT//cysN//trpB//bluF//ariR//yqeF//gatC//thiM//serB//fryB//nirC//fliA//cmk//gpt//dhaR//yghG//secF//yeaV//nimR//yjjB//ulaR//guaD//ispB//iscU//argH//serA//cmoB//gfcE//fumC//aroL//cobC//fimZ//yihX//hexR//cysS//hupA//cydD//lysA//degQ//oppC//xylB//ycgR//flhE//yciV//prs//ydeI//oppA//proP//ccmD//secD//
GO_0000271_6	rsmD//dauA//cyoD//yibA//pspA//ycbB//nrdH//yihT//ascB//ychF//mntH//ytfE//ytfR//arnB//ogrK//flgK//argA//waaH//zapA//cadB//ybhA//argS//yadK//lsrR//murR//zwf//rpnA//sgrT//insA-2//ynbD//ibpA//murJ//fdoG//rcnA//srlE//folP//degQ//caiT//hns//pspF//nrfD//rcnA//ratA//abpA//dapD//fiu//adiC//trmJ//mreB//pyrE//
GO_0000272_6	rhaA//fimE//rnhA//hupA//frvA//yedA//
GO_0000302_5	malI//yhdW//uraA//yhjA//fpr//rfbB//ldtA//galS//ampH//dnaC//ompG//rplA//nikE//pyrD//agp//srlE//rstB//hypA//yghG//nfuA//cynS//ydjL//rimL//yegT//arnD//yfaX//ubiX//acpH//trxC//dtpA//fimZ//
GO_0000303_6	yedX//nanT//
GO_0000305_5	yjbH//leuS//malS//
GO_0000372_11	insH-6//
GO_0000375_9	waaJ//
GO_0000376_10	hypE//
GO_0000413_9	yqhD//srlA//yfgJ//yadV//iclR//ogt//prc//dcuC//
GO_0000451_7	rplK//sgbH//ascB//thiL//adiA//
GO_0000453_8	metE//kefF//yoeB//ibpA//tyrS//
GO_0000455_9	yehX//glpR//yhdZ//lacI//entH//ghxP//mlaC//
GO_0000462_11	miaA//waaB//
GO_0000469_8	argB//
GO_0000470_10	mutS//
GO_0000478_9	yciT//
GO_0000715_6	yhbQ//
GO_0000716_7	trkG//
GO_0000724_8	rnr//
GO_0000725_7	yceK//hisM//hemH//agaV//galM//fimE//
GO_0000726_7	frmB//
GO_0000731_7	rhaS//bsmA//rutR//dcuA//speC//aceA//yegV//
GO_0000737_7	epd//
GO_0000738_7	btuF//citE//cynX//
GO_0000746_4	ghoT//
GO_0000820_7	kbaY//
GO_0000902_5	artI//
GO_0000910_4	dicA//malF//yjiY//insI-1//yhaC//cmtB//iaaA//hofC//phnI//holD//dmsA//yihQ//prfB//hscA//yneL//rlmD//cyoA//yidK//
GO_0000917_6	yjaZ//lpoB//rpmB//oppF//cobT//
GO_0000918_6	ybhF//treC//ynfH//ydiR//
GO_0000920_3	hybG//nfi//putA//bssS//cbl//
GO_0000921_6	msrQ//
GO_0000966_8	cyoB//sfmF//add//btuB//
GO_0000967_10	xylH//pal//gmhB//
GO_0001101_4	fadJ//gshB//rimK//ykgM//betI//zipA//lysA//mukB//cynT//thrC//sspB//ldtB//znuC//nlpD//murG//garD//rsmJ//dtpB//mdh//ddlB//hisQ//mltC//kbaZ//nirD//malZ//flgB//
GO_0001121_7	plsX//ydeE//
GO_0001123_8	rnr//
GO_0001124_8	murJ//
GO_0001407_7	pncB//yicJ//arnA//yhaV//
GO_0001505_4	ynfK//rlmB//creB//ruvC//entD//napB//thiD//envY//glgP//rcsF//mug//idnT//msrP//yidL//ydeO//rutB//
GO_0001510_5	ghrB//cof//citC//yqaE//fdrA//gldA//ampH//rbsK//yaiV//ccmE//fliK//evgS//yjgX//rpsA//epmB//mgrB//pheT//acpS//murQ//hemC//eamB//mglA//pepD//fdhE//ycfJ//argR//yejB//tatD//lpxC//yhiM//pyrD//glpX//guaB//rpsI//ykgM//cusF//ulaE//kilR//yebZ//iraD//
GO_0001514_8	argK//
GO_0001522_7	mdtA//scpC//udp//yphF//frwC//add//yfdG//tamB//fixC//yceK//pyrB//ydhQ//yhaJ//
GO_0001539_4	coaA//lpxT//frwC//adeD//add//ibsB//agaV//bacA//phnJ//puuB//dnaB//chbF//ygcO//ydjL//trpGD//hypC//yfdC//umpH//ptrA//mhpA//coaA//rplR//yidK//dnaT//yfaU//glnS//gatC//yegS//tufA//fecB//xanQ//
GO_0001558_5	thrS//obgE//frvR//osmY//lacY//pheS//putA//rlmN//
GO_0001561_6	abgT//
GO_0001666_4	yciT//
GO_0001676_6	tktB//mqsA//malZ//
GO_0001680_11	tqsA//
GO_0001682_11	dmlR//
GO_0001731_7	garD//
GO_0001762_6	rssA//
GO_0001887_4	nlpE//sucB//moaE//
GO_0001896_5	galT//apaH//dtd//dgoA//
GO_0001907_5	greA//ydcR//yfaV//ydjH//
GO_0001932_8	secY//arnT//
GO_0001934_9	narW//
GO_0002047_6	frmA//emrE//
GO_0002097_8	gyrA//phnM//gpt//murB//ybiW//mtlD//kdpA//zapC//napA//yjiR//srlD//yciH//nrdD//yfaE//rlmH//cheZ//nac//yieE//yejE//
GO_0002098_9	ibsD//osmF//gnd//recX//torD//coaD//phnH//mhpT//ycfS//ycbB//bdcA//yaaY//elfD//
GO_0002099_9	recD//mreB//
GO_0002100_9	mcbA//
GO_0002101_9	hybD//ispH//
GO_0002128_7	sapD//creC//atpC//proA//
GO_0002130_8	ulaR//
GO_0002131_9	miaA//
GO_0002132_9	ppiA//
GO_0002136_10	aroC//
GO_0002143_9	proP//tpx//ydhJ//mraZ//perR//frmB//
GO_0002181_7	nanT//mtnN//
GO_0002183_5	dapD//
GO_0002184_8	rutE//
GO_0002188_6	xylG//
GO_0002190_6	phnM//
GO_0002192_8	msrC//
GO_0002252_3	argA//kgtP//tdcE//tnaB//rplB//cdsA//ycbV//gldA//rluD//rpsG//
GO_0002790_6	topB//yieF//ybiI//yjjQ//nhaR//caiB//mliC//
GO_0002937_9	ampG//
GO_0002938_8	srkA//
GO_0002939_7	ydeT//
GO_0002943_8	intS//
GO_0002949_8	murI//hyfC//aceB//ftsA//
GO_0003333_7	sgcC//htrE//yfcU//ruvC//torY//thrA//alsB//ycgB//dnaX//gnd//ydhK//ycaO//btuC//yiaF//lysC//yphD//yeaG//lpxC//panZ//dgcN//mtgA//torA//chbR//ypdA//yfbU//ddlA//arnA//yhbY//nrfB//gatA//dgcZ//yihP//lgoR//ruvC//zntA//fepC//tmk//trpD//yhbO//fimE//plaP//ygaZ//roxA//mdtK//cspB//dnaX//barA//rne//cusB//
GO_0005975_4	ibsE//yahI//pinR//rplM//ybaL//yahI//nrdB//nhaB//yfaE//sufS//ubiI//yfeO//fkpA//hcaC//flgF//yghG//hypA//fadR//bglJ//trpS//pgpA//arnB//cysU//fumC//ydhJ//dusC//proW//yjiY//yfaX//rutR//sbmA//htpG//ugpC//nirC//lacY//fimC//phoB//ybbN//bamA//fucO//adeP//ygbM//tnaC//uhpA//nanT//recA//btuR//araB//ycfJ//yeiL//opgC//metG//ldtB//lgt//caiE//mzrA//asnC//lpp//dnaE//uvrA//mntR//potA//pdxB//yiaL//bamD//yfcR//yagI//torC//rcsC//hisQ//paaB//etp//ydiF//galR//avtA//yjtD//yqjH//murR//cycA//pinR//appA//trpA//yeeY//yraR//wzzB//focA//rlpA//alsE//recF//mscL//fdnH//hemC//spy//speE//xylG//ebgA//proC//ppc//bolA//tas//fadA//yegV//cdsA//matP//pheA//yehD//ykfI//lyxK//msrQ//paaD//yihU//murP//lamB//frvR//ssuE//tufB//lacI//nagK//yfhM//patD//rcnB//cfa//ssuA//insK//yedA//ykfM//flgH//cspD//yjfF//osmF//trpS//thiI//lamB//hdfR//queC//rplK//recO//pflC//slmA//rpsA//elaD//rffG//fabI//putA//murI//sucA//sfsA//hybD//tomB//galT//evgS//lgt//xapR//ubiI//uvrA//dicC//yieH//yqiI//yjjU//astC//yabI//pflA//ygeV//pinR//malI//arsC//yhdZ//argB//mhpT//ydcI//ybhA//trmJ//serS//gstA//dnaQ//tabA//ydfH//gltB//fecD//tatC//mnmG//yfeD//glgC//yfgO//pflA//ibsC//lpxT//ubiC//secB//mukB//bglA//yeaV//gatZ//dcuS//lgoT//dgcJ//cra//cspA//dadA//fdhE//fau//fimF//ydjM//waaL//rpmB//basS//dmsA//astB//ygfA//pliG//fhlA//arnA//mglB//atoS//osmE//allD//rhmR//ilvE//leuC//trpE//yjbH//feoB//rfaD//hinT//ydiV//cpdA//ldhA//hdhA//mltA//rsmB//argP//murA//chbG//mfd//bamE//aroL//borD//rpsB//uspF//cysA//eutD//pepD//yidZ//cynT//argK//yeaD//frmR//wrbA//rlmI//ychF//ybbN//yqiG//yeaD//fmt//
GO_0005976_5	ygeW//aldB//alkB//tsaC//lptC//fiu//wzyE//ydhC//rzpD//gntT//ghrB//rihA//waaU//glsB//frdB//ruvB//torR//speE//speG//helD//nirB//yfeD//msrA//coaD//yjbB//rpmC//msbA//obgE//yqcG//pgaA//phnL//rplR//rpnA//intE//pdeR//gyrA//argB//rraB//atoS//yehU//ortT//yehB//fmt//cysS//cysK//xanQ//nac//ydiB//hisQ//napD//acpP//sugE//cas1//thrB//bepA//gpmM//cysN//puuC//mtlA//
GO_0005977_6	metC//stpA//rutR//ghxP//rhsD//ypdA//ruvA//lpxT//
GO_0005978_7	cspI//sdhE//ytfT//amtB//
GO_0005979_8	rpsQ//
GO_0005980_7	nagK//phnM//glmM//
GO_0005981_7	setC//
GO_0005984_5	fdoG//epmC//csiR//cobU//yhbO//mipA//bamC//yraR//yneE//lpxP//sgcR//
GO_0005985_6	idi//
GO_0005986_7	narP//
GO_0005988_6	paaJ//yfgI//
GO_0005990_7	dnaE//yhjA//
GO_0005991_6	nrdG//yejA//ade//eutN//yqeA//
GO_0005992_7	cysI//yhbQ//
GO_0005993_7	hycA//rplA//rmuC//
GO_0005994_6	waaG//
GO_0005995_7	tyrR//
GO_0005996_4	thrL//lplT//gsiC//rapZ//ybiI//marA//ychO//hybO//bioC//ghoS//yobA//fimG//recX//cysM//glmM//gltD//ulaF//ddpA//ydfG//dpiA//rplC//eptC//yjbE//eco//waaA//entC//dapB//aceK//yqjH//rseB//cutA//kbaZ//intA//speC//tusC//tpx//rfaH//yrfG//gudD//gpmA//hemA//ynaI//sad//rplY//brnQ//dsdX//sgbH//creB//lhr//uspE//dtpC//iscS//ydiV//astC//deoC//aas//pcnB//ydcS//narV//ycfL//moeB//bamC//phoP//atpF//phnJ//nimR//chbR//xapB//flgD//plaP//cysU//flhC//speF//rsmA//alr//torD//fdnI//hsdM//osmF//mdoG//moaD//ycgV//
GO_0005997_6	fdoH//
GO_0005998_7	tsf//
GO_0006000_6	intE//thiC//pdeK//
GO_0006001_7	psuG//yghW//
GO_0006002_5	mutT//luxS//fetA//
GO_0006004_6	chbC//rsmG//prpB//cpdA//tar//frmR//
GO_0006006_6	dsdC//pyrB//yqjH//zraR//ribE//cyoD//hyaC//mtnN//ybaL//gpsA//paaC//pepQ//holB//purU//dgcT//metK//hisF//gltK//insF-1//evgS//ftsQ//rcnR//etp//
GO_0006007_7	ydeO//dsbA//yfiE//
GO_0006011_5	yhdJ//
GO_0006012_6	dsbD//menH//gapA//glyS//xthA//tamB//mazF//rfbD//prlF//
GO_0006013_6	menD//ftsE//
GO_0006014_6	yefM//appB//ynfF//
GO_0006015_7	dsbC//baeR//
GO_0006020_5	uup//
GO_0006022_5	selA//yfdR//purB//yohC//bdcA//ycjD//cusC//rpnD//ybhD//yfaL//fliG//symE//plsC//ydhQ//yiaA//hyaB//ftsI//fecD//nirB//msbA//pinQ//fhuD//rplA//entD//ibsE//rcsA//yqeA//qseB//hcaF//ilvN//azoR//mdtN//miaB//hycB//btuR//cysS//glnQ//feoA//nhaB//lpxP//yebS//trmI//mtfA//cmoA//uxuR//pcm//rhaB//yneE//ydcS//dgcZ//purL//yghB//acpH//amiB//truA//ftsW//asnA//dnaK//ybjG//hycI//hdeB//yicJ//ebgA//
GO_0006023_6	alsB//fixA//recE//asd//malF//truC//ebgR//nanK//gspE//lnt//yidP//mreB//ogrK//glsA2//galT//ispF//malX//iaaA//cdd//yadC//rpnA//fkpB//glgX//argC//yjfF//helD//moeB//mtlR//nth//dmsC//aphA//yebC//epd//ribA//guaD//rfaF//rhaM//serB//glcB//
GO_0006024_7	pckA//idnO//mgtA//ppiA//guaB//rclR//yafO//corA//tcyP//xisR//waaF//epmC//yhjB//cmoM//puuP//ampE//tynA//ynjA//nirD//ydiO//glnP//yfcA//cspB//yddG//lipA//yicJ//sxy//ftnA//rsmE//yadI//pcnB//mreC//malE//rutC//cysN//metF//rseC//ybhP//cysU//
GO_0006026_6	sdhC//oxc//ybcM//pliG//gcd//sppA//cas3//araC//hyfR//yqaE//
GO_0006027_7	dcd//yjgX//nrdB//hsdM//tolC//tolC//acrE//bglX//malP//recC//
GO_0006040_5	parC//ygiB//rlmF//mscS//secB//ynjA//fucA//rhoL//ybiV//manY//sbcB//nsrR//gcvR//entB//dsdC//ygjK//rbsK//
GO_0006044_7	nrdG//tmk//relB//bglF//tatB//
GO_0006046_8	nfi//ribB//ygiB//glpX//
GO_0006047_5	lrhA//dnaC//ubiB//caiF//rihA//ybiX//chbG//
GO_0006048_6	aceA//msrP//ubiX//aes//intS//tmcA//
GO_0006050_6	modB//
GO_0006051_7	dacC//
GO_0006053_8	rapZ//
GO_0006054_6	arnA//atpB//frmA//pppA//mug//rnpA//surE//
GO_0006056_6	rutC//
GO_0006057_7	phnO//
GO_0006059_6	ypdF//yfcS//panB//cysE//
GO_0006060_7	dgoK//
GO_0006062_8	pstS//
GO_0006063_5	crp//astC//dppA//ydcO//dpiB//yihO//gyrB//kup//hemA//
GO_0006064_6	lapA//yfjR//sufD//sufS//serA//dmlA//
GO_0006066_4	trpB//yggE//tsaC//opgG//ddlB//mlaC//hflC//tolA//rzoD//hybF//tatC//queG//wza//ilvC//ubiE//xisR//yhdH//orn//sodA//plsX//frc//menE//greB//yobF//sixA//gatA//rnhB//queF//msrC//feoB//prmB//yphF//
GO_0006067_6	rpe//accA//rpmB//
GO_0006071_6	parC//carA//cstA//hisP//cyoB//ppk//yrfG//
GO_0006072_6	yhdX//nadC//yphD//osmY//paaC//
GO_0006073_6	ybdN//lptA//agaR//fecC//yeiL//adiY//csgE//hslV//proW//nupX//yehT//ybjX//acpP//psuG//lexA//zitB//arnD//carB//torI//rsgA//
GO_0006081_4	ulaG//ygiN//rhtC//psuT//yfgO//yghW//ymgC//rfbC//holA//bolA//fadD//trmH//pinR//ampD//menD//mlaC//rimI//cadA//cspC//pgk//pppA//tolA//pgpA//yafE//rcdA//yddM//yiaL//glpD//tolA//mog//menD//lysO//ydhC//ygiV//ynjD//yfhH//agaA//mrcB//syd//hcaR//bioH//arcB//erpA//ybdR//yhcF//cpxP//potD//ydbK//ydeP//modC//tcyN//roxA//qseC//avtA//thiE//pfkA//eco//yjfP//rlmF//ybiW//sgcC//selD//kefB//aldB//orn//gstA//gudX//
GO_0006082_4	preA//ogt//hslU//yehU//yiaF//dam//yeiL//msrC//msrA//btuB//nrfC//ybdO//rpsD//feoC//recX//hybC//ubiG//waaA//chbA//appB//flgM//dacB//moaA//hisQ//pflA//gspI//tnaB//codA//yibF//cynT//gph//yehW//rcsF//yfaE//nrdE//yqgF//ydjH//menI//essD//osmY//exoX//rutB//uspG//tufA//yiiM//argR//aphA//elyC//yfiR//rpsD//sugE//melR//ybaM//ybjI//hypF//hisS//yjhG//frlB//ychO//ybhF//glsB//ytfP//tusE//rzoR//yhcN//mdtQ//panF//kup//rep//rihC//ftp//ykfM//frvA//gabD//yhbQ//pdhR//aaeB//gyrA//minE//ais//glgX//fes//yfjR//yiaT//mnmG//rluC//dgoD//epmB//uvrC//acnA//hdeD//recF//cysZ//rihC//manZ//fiu//intS//fbp//csiD//sbcB//hda//csdE//ygfX//glgB//paaA//mraZ//norR//lsrD//sufB//yddG//yehA//zapA//yfaE//tonB//aceK//ybiO//hisD//ebgA//atoC//mazG//yahI//mdaB//alsB//uhpA//macA//yfbS//rzpD//btuF//opgG//rutD//ssuC//ydaN//lasT//yceD//ybjL//rnc//moaD//fhuC//folD//fabR//speD//clsA//zraS//gor//dkgA//kdpE//yjjV//ulaB//dcuA//degP//hdeD//ilvN//gadX//arnA//eptA//lsrK//cydA//atpH//hisC//ptsI//arcC//ddlB//chaA//hycH//rlpA//rlmI//hisQ//rutF//lpp//glpG//tatC//garK//yieH//trkA//msrQ//yjjB//acrF//fumB//yhgH//kdpC//yghO//elfA//fryC//purA//sdaC//radD//patZ//yjjQ//rhaB//srlB//ybdR//kilR//hmp//ldcA//hdfR//dmlA//cynX//waaS//deoB//rfaQ//livG//mscK//lldR//infC//yeiE//ybaL//sgrT//mtgA//sgrT//srlR//yfcU//cbl//blr//glmU//ligA//sdhA//rhlE//guaD//appA//lsrB//tolQ//argA//dtpD//acpP//yehA//kbaZ//ybhS//ybcF//rpiA//fcl//dgcN//fepG//mgsA//yohC//gadW//cutA//rayT//mgrB//ydfH//cspE//asd//rfaG//ffh//yfbV//arfA//yehY//yicJ//deaD//pinR//pepA//bcsA//ydfH//fepD//cbpM//ycgB//ybfA//rdgB//argB//ybjX//waaY//mltC//cyoA//ecpR//phr//yoeB//kdpC//dtpD//bioF//yrfG//potG//yidD//ftp//appB//bioD//ymdB//speA//sthA//yjjU//artJ//puuP//dapB//paaF//mraY//narX//ttdT//rsuA//ychO//aroK//yphB//modC//flgB//purD//topAI//putP//gadB//ydcM//argR//flgG//accB//recA//tktB//hyfF//yhdJ//yjiY//folM//rutB//moaE//glmM//pal//sapD//flgC//ycgB//yedL//idnT//ribB//clpB//lon//yfdO//lsrA//yagE//yibH//lnt//lptC//caiE//mutH//livF//rbbA//mhpA//ecpR//frsA//rplR//ldtB//yggX//yfaL//allC//agaD//yfdS//yhgF//fumC//fieF//yjhH//dbpA//nusA//mdtM//erpA//nrfE//yojI//efp//paoC//accA//mltB//curA//cspG//dinD//nrfE//hda//flgM//yegT//soxR//nuoM//queE//cobT//feaB//phnG//xthA//yghW//acpH//rbsB//kefC//lpcA//rhaS//ykgO//ackA//mtn//ldtA//yeeA//fsr//bssS//bamA//mrcB//nagA//nrdA//sgbE//ybjN//ibpA//aceK//yfiE//dcd//ushA//pppA//frlC//bioD2//ycgV//xerD//plsX//rlmL//ascB//degS//mukB//nlpI//nadB//mutY//hemF//dcuB//lysR//insI1//thiC//fdrA//cpxA//galU//galK//yjeI//asnA//msrP//ggt//ybiJ//hisM//chpB//dapF//yfcQ//ompR//artQ//greA//yohD//mdtJ//ydeP//glnS//hcp//uxuA//macA//rbsD//uvrD//hemH//malG//insB-2//srlA//rlmA//yhaC//lspA//lldP//pstC//dcuD//rpsL//fliM//cmtB//kdpC//yqeG//ybeY//wecC//oppD//hisF//pmbA//mdtC//leuS//uvrD//flgF//yehT//fdhE//waaG//essD//
GO_0006083_6	trpA//mgtL//gph//opgE//ybhR//fhlA//
GO_0006084_6	smrA//priB//
GO_0006085_7	casB//ybeQ//
GO_0006086_8	wecC//
GO_0006089_5	tamA//acs//sad//lptA//kdpD//yahD//kefB//chbF//zntA//cysK//tolC//fucO//nanS//yjaZ//trg//ycjY//rimP//yijO//menD//yebS//dkgA//phnK//ydcZ//flgK//entB//xseA//serB//pdhR//alkB//
GO_0006090_8	ynfK//stpA//psd//frmR//gyrA//nudF//proS//glgX//gltS//argS//gsiD//agaB//wcaB//yahO//garP//mltF//opgE//dpiB//eno//ygiW//waaJ//yrbG//prmB//yadC//ybaM//rbsA//lgoR//creB//yggX//lysP//elfG//
GO_0006091_4	sdhB//cyoC//dgoR//mltA//yebK//bioC//obgE//flgH//cspG//lepB//lysA//dcuS//rffT//hybA//ygiS//cyaA//speF//relA//trpB//hslV//pflA//yraK//dapA//ivy//yiaL//rpsJ//tynA//ppc//chbA//yobF//ubiF//rsmI//ybaO//kdgT//accD//yhdX//mreB//ynfF//abgR//mobA//bssR//yajD//abpB//fadE//rpoS//yaaJ//intF//ccmE//rplW//narJ//ligB//sfsB//lpoA//yfaL//zapA//otsA//hldE//rpsB//ffh//uhpT//crfC//yiaM//zipA//cydD//dam//rpoH//hicB//msbA//rapA//casE//tldD//queG//yfcA//hcaT//ratA//lpxB//rplY//rppH//cynT//ilvB//bcp//yodD//uraA//nimR//ulaG//potH//mcbA//mipA//cspB//fepB//iap//metC//rzoD//queA//livF//yibA//tktB//ushA//rfbB//dgoD//ybhI//tufB//metE//ompC//abpA//cadA//cusC//asnB//ycbX//gppA//plaP//narY//
GO_0006094_7	secD//uvrY//gpmA//pitA//glcA//frdC//cueR//acrZ//priC//rutR//
GO_0006096_6	cusB//nfi//glyA//argT//narQ//fkpB//pinQ//lolA//pth//pitB//cbl//elaB//ubiB//yciH//curA//csiD//rpnA//kup//
GO_0006097_5	hypC//aceF//mppA//mtlA//tusA//
GO_0006098_6	sseA//nanE//rsmI//yibF//proW//
GO_0006099_4	csgD//cobU//fic//hemH//ybjC//rhaR//cadC//dinB//yagF//proW//moaA//marR//ydhK//nlpA//ihfA//asnA//ldcC//
GO_0006101_6	dcuS//xapR//yejF//arnE//mnmE//lptF//rutG//hupB//hofM//paaD//codB//ycdX//pcm//norR//dicA//rbsD//narJ//
GO_0006103_5	cytR//hcaE//ygcO//
GO_0006104_6	citE//yggF//maa//
GO_0006105_5	ybeF//leuO//yddL//fhuB//dacC//rfe//fimZ//mtlD//
GO_0006106_8	malF//
GO_0006107_8	artM//
GO_0006108_8	dnaE//hrsA//poxB//dld//bioD1//
GO_0006109_6	nrdG//rplS//amyA//ybbN//yiaF//yagI//rsuA//msbA//deoB//
GO_0006112_5	hsrA//elfD//rpsR//sucA//glnP//asd//yjaA//rfaD//
GO_0006113_5	rhsD//yegS//sspB//bcsQ//nudG//araB//iraD//rayT//uxaA//gloB//uvrY//yjiR//cobS//
GO_0006115_6	yhgF//
GO_0006117_5	yhjA//
GO_0006124_6	bioH//
