#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yahI//yfbU//chbA//mug//
GO_0000453_8	galF//yfdO//iscS//patA//fixB//
GO_0000455_9	dpiB//frdC//fcl//yejE//ybiH//dnaK//macB//
GO_0000462_11	clpB//groS//
GO_0000469_8	ybfE//
GO_0000470_10	cas1//
GO_0000478_9	mutY//
GO_0000715_6	sucC//
GO_0000716_7	selB//
GO_0000724_8	fic//
GO_0000725_7	hycA//cysD//tauB//dpiB//paaC//hprR//
GO_0000726_7	glpX//
GO_0000731_7	araD//btuD//mcbR//purT//speA//proA//yidL//
GO_0000737_7	sucA//
GO_0000738_7	rbsK//cynS//yhbX//
GO_0000746_4	tdcF//
GO_0000820_7	atpG//
GO_0000902_5	gstB//
GO_0000910_4	xerD//frmA//yjaZ//nusA//chbC//mhpB//pspD//ynhG//ypdA//argB//msrB//narW//serA//yiaJ//gspI//dxr//rpsQ//ligB//
GO_0000917_6	mdlB//ppc//yfjR//nadK//msrC//
GO_0000918_6	tolQ//trpC//proW//dppF//
GO_0000920_3	mreC//dinJ//yjhC//phoR//yodD//
GO_0000921_6	pflB//
GO_0000966_8	cmoA//csgA//tdcD//agaB//
GO_0000967_10	cirA//nadC//hemA//
GO_0001101_4	acrA//ugpE//miaA//ecpR//tomB//phoA//nadB//fdhD//chbR//infB//argB//uxuA//ybgP//aroE//yihV//efp//yihP//sfmA//queA//sad//wecB//tus//cobT//ftsZ//ybiJ//lapA//
GO_0001121_7	yiaL//soxS//
GO_0001123_8	yahK//
GO_0001124_8	mgrB//
GO_0001407_7	ivy//rstB//katG//marA//
GO_0001505_4	rplN//dinQ//cyoE//bcsA//lptG//argK//argH//tabA//trpGD//cpdA//pyrE//rpe//nanK//zapA//gcd//yjhH//
GO_0001510_5	acnA//recB//gntP//baeR//fhuB//afuC//hslO//uidR//rpsM//ftsB//yeeA//rluE//prpD//insK//satP//uhpC//pdxJ//adiA//kbaY//arsC//zraR//appB//yeaV//yddA//yghB//nadK//puuD//sgcB//rhaB//yceD//rpmJ//moeA//yegV//lysO//narQ//yggE//fau//rutG//mdoG//aceF//
GO_0001514_8	yjbH//
GO_0001522_7	hupA//cheY//ybbW//hrpA//tatD//hemD//xseB//cbtA//phnH//oxc//fdnI//dfp//cobC//
GO_0001539_4	citC//argF//ycbU//yejB//ybiA//ascF//ydjL//cbrC//clpA//arsR//perR//abpA//rpnA//torC//ssuD//ihfB//acs//murP//astB//nlpE//mnmC//ygeX//rnc//rph//nei//lpxH//xerC//hypC//sodB//yggW//mnmE//
GO_0001558_5	ynaI//mcbR//narU//ycfJ//slyD//rlmG//priC//ygcO//
GO_0001561_6	narI//
GO_0001666_4	trpA//
GO_0001676_6	murI//ptsH//intQ//
GO_0001680_11	rpnA//
GO_0001682_11	rhaD//
GO_0001731_7	xapA//
GO_0001762_6	yoeE//
GO_0001887_4	parC//nuoG//pinQ//
GO_0001896_5	dsdX//ymgC//cbtA//yqaE//
GO_0001907_5	ebgR//hycB//moaE//srlA//
GO_0001932_8	fhuB//pdeD//
GO_0001934_9	bdm//
GO_0002047_6	uvrB//yjjW//
GO_0002097_8	holA//purT//sucD//hemD//parC//tpiA//lptF//cho//lysP//exbB//tynA//ariR//ydhK//polB//tauD//ftsE//metR//cheY//ygiB//
GO_0002098_9	mdh//bluR//rpoH//lpp//ydiF//purL//dgt//galS//borD//ybaO//yahK//hycI//gluQ//
GO_0002099_9	codA//ubiC//
GO_0002100_9	abgT//
GO_0002101_9	yeiE//dtpB//
GO_0002128_7	ydhC//galK//hemB//speA//
GO_0002130_8	rplA//
GO_0002131_9	ycfJ//
GO_0002132_9	trpA//
GO_0002136_10	djlC//
GO_0002143_9	hxpA//sfsB//paaB//ycjY//yeiG//betT//
GO_0002181_7	dctR//bglB//
GO_0002183_5	gph//
GO_0002184_8	lptD//
GO_0002188_6	metH//
GO_0002190_6	tus//
GO_0002192_8	treB//
GO_0002252_3	mrcB//puuC//znuA//epmA//gltP//rapA//malI//intQ//norW//ibaG//
GO_0002790_6	cusA//nuoN//uxaB//aroP//mnmG//patD//acrF//
GO_0002937_9	ybfE//
GO_0002938_8	ygjK//
GO_0002939_7	hflC//
GO_0002943_8	sanA//
GO_0002949_8	gpmA//rfbC//pepT//pflA//
GO_0003333_7	bioC//alsB//deaD//gspE//yphC//proX//ycdX//fecB//ydeM//bioD2//puuR//ccmE//rpmE//yagI//ompF//helD//agaA//ybgI//waaF//torY//kbaY//rcdA//hisQ//yibH//mutT//astC//cysK//secE//csgF//miaB//ybdM//frmR//motA//dmsB//yhdZ//xthA//hycB//pgrR//glvB//recC//ttcA//talB//tldD//ydfD//alaS//yqjA//ynfK//rpoD//cobU//
GO_0005975_4	dgcF//ygeR//mepM//rsmC//glnK//lepA//ahr//lsrG//cytR//tilS//nrdF//fadE//entC//pflA//ogt//trmD//hcaT//deoC//rfaC//zur//tmcA//gatA//kdpE//yfgO//hslJ//srmB//garD//glnK//ptsG//fadI//tsr//yoeE//upp//ypdF//cysA//fiu//lhr//mepM//acpS//yfeR//fau//hemG//dkgB//ydiQ//gmd//ynfH//ccmD//arsB//yedX//mdtL//mscM//arnA//moaB//torD//mrr//yebQ//gcvA//minC//yagG//moaB//ydeP//nrfA//eco//prpR//cho//ybiY//sufS//accB//ldtD//menF//ubiI//ygaZ//hyaA//sucA//rimI//kefC//norW//hemG//gatD//yggP//cbrA//ydeI//yciT//idnT//allC//rfaC//glgS//raiA//cheB//tusD//hypC//yfdR//rutR//mdtG//mscK//ydcT//mliC//ypdA//ydfD//yfeO//aceA//glyS//yebS//purU//ybcQ//yjcO//paaZ//ybhP//elaA//gadX//fhuB//bcr//waaU//cecR//cnu//nagA//mnmA//rbn//envY//relE//dedD//wecC//panF//yehY//yfcV//artI//stpA//purN//holC//cydC//yebS//rplO//rhaD//wecC//leuC//puuP//yfaX//elbB//tpx//elfG//lptC//sodC//rluE//eutD//yjaA//infB//pspG//tatB//curA//nagB//ispF//narQ//djlC//mdtG//acpP//hisM//prpD//livH//yahB//rho//yjjW//yhdH//intE//mltG//yjfF//metI//prfA//mmuP//rpsQ//aroC//mak//kduD//narH//phnK//rseB//folX//arcC//lptD//gadX//waaO//gsiD//cydC//ivy//ribA//lpxK//sgrT//ydjK//yojI//minD//yadK//chbF//rpnA//nuoE//clsB//acs//ydhK//fabI//sdhC//thyA//rcnB//rutB//hscA//dacB//rpmA//rfe//ybiT//yaaJ//umpG//minD//cyoA//gatZ//aceF//kdsC//narH//trmH//pdxH//osmF//casC//truA//tsaE//nuoG//fumC//ftsI//livG//yggT//cmoB//napA//atoS//malY//frwD//citT//pldB//rlmE//garP//ybaT//waaY//bcp//atoS//gutM//gloC//lspA//hxpA//slyD//yeaE//ftsL//cusF//xseA//putP//fklB//purD//yqjI//artJ//tolC//mutM//
GO_0005976_5	abgR//mocA//ebgA//yjhG//uvrB//gpsA//waaA//ydiO//rluC//elaD//arsC//gapA//puuC//afuB//ygiW//lolE//glnS//ybdM//ggt//hypD//treF//ydiB//ispU//ynaI//ycjD//rzoR//tcyL//yihS//vsr//lsrA//ygfA//dcuC//yajO//nemR//rlmC//ascB//rplC//yqiG//xanQ//glcF//selB//appB//yrfG//malK//cpsB//rihC//cca//yjjB//gldA//yhbO//rluE//mutL//nadC//nagE//xisE//flgM//putP//artQ//stpA//
GO_0005977_6	uxuR//ilvL//serS//narI//rfbX//gpr//rfaE//hybE//
GO_0005978_7	ptsN//fkpA//trkG//nrdR//
GO_0005979_8	clpS//
GO_0005980_7	modC//cobS//cbtA//
GO_0005981_7	ybhA//
GO_0005984_5	arsB//lon//ggt//rutG//rsuA//waaJ//ybjI//queA//galR//sbmA//yafN//
GO_0005985_6	yccA//
GO_0005986_7	agaA//
GO_0005988_6	fruB//ybiY//
GO_0005990_7	sfmA//yfdS//
GO_0005991_6	dinB//ybhG//glcA//lit//puuB//
GO_0005992_7	narV//rutB//
GO_0005993_7	rbsK//hmp//sppA//
GO_0005994_6	acrZ//
GO_0005995_7	yjcO//
GO_0005996_4	rcsF//yciA//glnQ//intS//rep//aspC//yiaN//zipA//ibpB//cmoA//sspA//ybhJ//pspG//ychO//yibH//solA//cmk//ftsB//yeaK//nanT//rluB//dgoD//sapD//hchA//guaC//dmsA//torZ//hslV//fucP//entD//narZ//rlmA//rfbD//psuG//ftsX//aroK//sgcE//gloB//hyfC//yieE//aceK//scpC//recG//alsK//mmuM//malI//casB//yfdG//gatB//rlmB//mntP//yeiG//gntR//ytfT//hisB//bioD2//livG//waaZ//pspC//sufE//nupC//glcC//csgA//yafO//yqeG//umpH//fbaA//flgC//nmpC//araC//rpsM//hrsA//mgrB//yneJ//envC//waaS//opgC//cpxA//csiD//ygfI//puuC//nanK//
GO_0005997_6	mdtK//
GO_0005998_7	gpmM//
GO_0006000_6	vsr//gspJ//lysU//
GO_0006001_7	gshA//elfG//
GO_0006002_5	feaB//fucK//frwD//
GO_0006004_6	thiE//frvA//tsr//bioC//ruvC//ade//
GO_0006006_6	hisM//polB//ybbN//yhcD//melA//pdeR//dgoA//yggF//pdxB//mdtN//uhpC//ptrA//paaK//pykA//yjhC//cca//rpoS//trmA//rlmN//ybdN//gloA//cynT//pdeD//
GO_0006007_7	aroB//yiaN//essD//
GO_0006011_5	dauA//
GO_0006012_6	argO//ugd//flhE//bioB//rpmA//ybaM//pdeF//malG//ahr//
GO_0006013_6	mraZ//ghoS//
GO_0006014_6	yihS//tolB//nhaR//
GO_0006015_7	bglX//yahD//
GO_0006020_5	uof//
GO_0006022_5	ilvC//uvrY//proW//nupC//rhaB//arcA//citC//ubiX//torZ//pliG//ibsC//opgB//infC//tcyN//ymdB//elfC//phnH//lpxT//tauA//smrA//yehP//cpoB//ubiG//rapZ//dam//tisB//ilvH//cbrA//topB//recD//cusB//hslV//intQ//nikC//cspG//ccmA//ccmG//dcuR//frmB//atpE//ybhR//oppA//ssuC//uspE//ydcR//ftsY//hisB//ydfG//cueR//gnd//glgS//nikB//cyoE//yneL//rbbA//ykgF//marA//ldtD//cusC//napF//eptC//fepD//phnH//
GO_0006023_6	rho//setA//yiiD//ybeF//cpsB//nfo//yfdG//rnr//ggt//ydaC//murI//aas//ompW//ybiS//nac//msrP//yidQ//ydbK//ttdT//higA//argR//flgK//cra//fepB//mlaE//ygcR//frsA//mutM//kdgR//dld//hisI//yfdK//yoaB//csiR//wecA//pgk//sdhA//aroE//ydaC//
GO_0006024_7	yfcF//fdoI//yhdX//yfhM//fdrA//accA//ggt//yaaU//mntH//rsuA//ulaR//degS//trpC//ygjK//rfaD//bamA//secD//frlR//macA//abgB//bamA//ibsB//infC//arsC//clpX//nanK//glnL//ypdC//lpxT//ugpE//caiB//ybcQ//uvrB//gloC//zinT//lptC//rutB//pheM//ddpA//
GO_0006026_6	glnK//zitB//metE//rsmC//ptsN//manA//rplO//lolB//luxS//rdgB//
GO_0006027_7	ivbL//yciG//yiaL//fepA//astB//lptF//glpR//lepB//sucA//yeaD//
GO_0006040_5	cusF//nrdH//cbrA//sspA//atpC//dnaT//secG//alsC//yjhC//lamB//tar//fabG//secB//sucA//rlmH//hofM//lapA//
GO_0006044_7	nth//tauD//pfkB//hcp//mltA//
GO_0006046_8	adhP//pflC//sutR//dld//
GO_0006047_5	dnaX//entH//tamA//ycfJ//rsmJ//gntU//yhcH//
GO_0006048_6	ttcA//hcaC//melA//livF//sfsB//yibA//
GO_0006050_6	yhaO//
GO_0006051_7	vsr//
GO_0006053_8	yodD//
GO_0006054_6	ansA//yphB//tatE//tktA//nanS//dmsA//ansA//
GO_0006056_6	mrr//
GO_0006057_7	potF//
GO_0006059_6	rlmC//ymdB//fimE//cmk//
GO_0006060_7	lldD//
GO_0006062_8	yobF//
GO_0006063_5	arnA//narL//mngR//ftsQ//moaC//focA//aroC//crfC//uxaB//
GO_0006064_6	ptsH//iraM//cstA//glyA//fdnI//ybbN//
GO_0006066_4	xerD//ghoT//glgB//fcl//arcA//ansA//glcD//ypdF//uspE//nanE//thrB//yjbE//srlR//epmB//rhaT//treC//dmlA//yhjB//mrcB//uidR//purB//yqgF//ykfI//narZ//yfeO//ydhC//rnr//murB//ascF//cpdA//envC//cstA//
GO_0006067_6	nrdA//gsiB//viaA//
GO_0006071_6	proC//xisR//yeeY//paaK//ybaM//fimF//yggX//
GO_0006072_6	treB//ybhG//acrD//oxyR//aroP//
GO_0006073_6	waaF//holD//pyrG//bluR//tyrA//gshA//ampG//mmuP//ynfL//ycjU//fdrA//dppB//ydjE//yhfK//yiaA//rtcB//rutB//argT//adeD//rrrD//
GO_0006081_4	yeeA//pepN//gutQ//dsbB//lgoD//sanA//hybE//nagB//yccA//leuS//setB//focA//rhaD//malQ//mog//kdsD//xseB//raiA//dsbD//yidP//trmD//spy//ubiD//nrdR//ralR//ibpA//flgI//ariR//tyrA//nrdG//yjhP//ggt//oppB//ydeE//yfcV//gluQ//tisB//mdaB//murD//cspI//priA//ubiF//yfdC//fadL//murE//intZ//tktA//sad//rhlE//ybaE//abpA//fhlA//recX//narK//selB//elfC//yhdJ//fnr//arnA//hofP//dcuB//ydjK//sdaB//yqjI//gspE//greB//dapF//
GO_0006082_4	modA//alsC//alaS//rimL//fdoI//kdgT//leuB//cynX//rplO//hyfF//bcsQ//modA//ycbV//iraP//yrbG//hyaC//rplE//edd//iscU//hyfA//yfaV//cobB//cpdA//pnuC//yehA//menD//mcbA//topA//macB//gcvH//hemL//nhaB//rplD//zinT//raiA//yigB//gatB//yhbS//ptsN//bssS//cueR//acs//ppiA//glnK//agaS//otsA//fabR//ybiV//tdcD//efeO//tcyJ//lysP//allR//aaeB//aroC//zwf//yiiE//sppA//yqjA//hslR//lsrR//glpA//ybhD//ydcI//manY//dusB//sbcB//nikA//putA//yfcQ//cydA//ybhS//ulaC//zitB//ygaV//torR//araB//thiI//ssuC//slyD//kefF//pflB//panD//kdgR//ydeP//yjjQ//alsC//mngR//carB//glsB//mutM//sbmA//ftsZ//rspB//dcuA//mreB//ynfF//yhbY//rutE//eamB//fmt//aes//ynbD//pepT//yfgJ//ribC//ydeM//ccmE//aaeB//dsdX//plsX//iaaA//suhB//mepM//ndk//cheA//adhE//hcaR//cbtA//ompA//galR//ilvD//msrB//yicJ//rihC//cas1//nac//baeR//panF//yedP//ravA//pnp//wrbA//ydcP//araA//paaK//tsaE//citG//yhbY//ispF//yphB//mglB//mlaD//ilvA//cas3//ybiO//kefB//hybD//pgrR//pliG//sfmC//alaA//alaA//recO//ttdT//lolC//kdpE//insA-1//purD//bioD1//emrK//mcrA//cra//menF//fimE//proC//yfbU//guaD//dcuS//yebS//cspI//ldtB//yidD//lacI//pgaA//guaC//mdoD//tdcA//lpxH//rplP//fecD//cyoD//ade//yahB//rho//yfiF//puuC//agaB//insI1//ychF//yajL//bepA//clcA//eptC//yihL//zwf//trpE//rfaB//dicA//gltL//rpsB//ndh//pyrL//iscU//pta//holE//thyA//napC//raiA//kdpC//csgG//nadC//ygbL//cvrA//trpR//paaB//prkB//hisH//fdnI//wrbA//mdtK//potA//hisF//brnQ//yhgH//ratA//nrdI//bcr//rhaA//selB//dcuA//mazG//aaeB//shiA//helD//phr//gudD//mtnN//ddpX//prc//nfsB//ybgI//yejA//yhiM//oxyR//ytfP//ubiH//fepC//prc//glgP//minC//dapB//ydjE//ampE//ugpB//mepM//tyrA//hslJ//yihR//fucA//livG//srlB//waaG//tqsA//yegV//torC//kdpD//tatE//yhgF//ibsA//tehB//yqcG//yeaV//solA//cusB//hybD//lpxP//ugpA//nusG//ykgA//yhhT//qseB//ydiK//yqiI//pgpB//fes//nudG//guaC//pgl//lsrK//topAI//btuE//manX//ubiG//tyrA//yhdH//yghW//nrfA//rhtA//phr//yahO//tbpA//mreC//nfsB//argE//ybiA//selA//eamB//metC//lgt//rzoR//yegD//trg//napD//fdhE//oppB//ydfH//rplO//pheM//prlF//guaB//cusR//metL//yfdK//lsrG//rpoE//yphD//bdm//torC//serB//ytfE//fiu//sapF//speG//yjiA//hcaF//exoX//slt//cyoE//panF//hyfA//metF//roxA//yqgB//dcuS//yggX//lysC//zinT//hyfR//hemH//roxA//xapR//pepB//yhhT//dnaQ//eptB//yfjV//amtB//alr//fecA//yagE//elfG//modA//ftsZ//zraR//selA//cspC//hrpA//djlC//hyaA//yhbS//dgkA//aroD//kdgT//ilvN//cpxR//ybiT//dsbB//cbpM//mtlR//csiR//rpsS//dnaJ//dcyD//gadX//rimK//thrC//ompA//pdeD//tdcF//frwC//metC//selB//caiD//lsrC//dppC//cfa//cmoB//yhaM//rplW//hisA//secG//fdx//ymgF//mcrA//mdtG//dacB//ydbK//tktB//cysK//sgrT//yehZ//yeaG//infB//metE//ycgR//rplQ//mdtD//msbA//tdcD//cpxA//glsB//ugpA//arsC//cadB//rfaC//manZ//sbmA//fliS//abgR//waaJ//cpdA//eptC//clpP//kdgT//ariR//chbG//rpnD//tsx//orn//yjtD//elfA//ydiZ//allB//puuB//pykA//rffH//feoA//sanA//sapA//cydC//xisR//yciF//rplP//mntR//degS//phnL//agaB//rpmH//thrA//
GO_0006083_6	thiC//puuR//dcyD//dgcZ//btuF//oppF//
GO_0006084_6	dnaN//nagZ//
GO_0006085_7	dicB//syd//
GO_0006086_8	ybeF//
GO_0006089_5	proV//dgoK//recQ//oppC//ubiX//guaA//acrF//ydfG//ompR//erfK//slt//hfq//srlE//nanC//hda//ghoT//yfiR//pgpC//dgoR//queD//yqiJ//tnaB//csgF//sanA//rcnB//argE//evgA//narL//ssuB//
GO_0006090_8	ykgF//cspA//nimT//araA//yjhG//sixA//lyxK//mtfA//xisE//ycaN//putP//ydeI//nrfD//yhhT//yfhH//ptsI//atpC//plaP//xerC//ybdM//yiaL//cysU//adk//mcbR//ybcM//xylE//cfa//hyaA//phoU//ydeM//aroH//
GO_0006091_4	hofN//fdhF//sodA//kdpC//wecA//yqaA//rpnC//zapD//bamB//lpxP//exbB//envZ//cheY//mltD//carB//ykfI//accD//ftsI//ycgV//iscA//argB//tdcA//ycaO//yaaY//icd//ydiB//argE//ybcL//cobU//arnF//pdhR//yraJ//mhpT//mdtB//frwB//ydiB//murI//rpsO//fetB//aroP//ruvA//insA-2//tauC//asd//nagZ//ygfZ//kgtP//phnH//puuE//yhbO//metC//kbaZ//psd//thiM//waaC//tauA//birA//plsB//amiC//tesB//rhtA//yhbO//borD//yiaM//arsR//ymgC//cbpM//nanA//hemB//recG//entE//ivy//codA//rffM//rbsC//nuoL//cbrC//umuD//lolA//atoC//rlmI//wzb//ecpR//proS//ydjJ//garK//fpr//ribA//mgsA//fepB//sgcR//cysK//fliA//aceB//dppC//ydcZ//lptE//greB//cueR//fadE//yehW//atoC//rsmI//ybiY//rapA//adiA//narQ//thrB//yhhT//hha//hybB//cbeA//
GO_0006094_7	leuE//yedX//ybiI//osmY//gshB//crp//efp//aphA//curA//cdh//
GO_0006096_6	yccX//rfbC//tatA//purB//yagU//pldB//rutD//prpB//priC//fnr//arnA//dcuR//rcsC//pdxA//tauC//sfmD//elfA//puuD//
GO_0006097_5	pdxY//zur//pflA//fliA//yahF//
GO_0006098_6	rplB//cpxA//asnS//plsB//ansA//
GO_0006099_4	flgG//hiuH//fadD//dhaM//fryA//bioD1//ppk//pspC//ydfD//yhjB//tktB//greA//fabD//yeeY//yhaV//fbp//hypB//
GO_0006101_6	nrdE//ycgV//ykgA//lsrA//lhr//atoS//yjiA//frlB//dgoK//gabP//tehA//ldtA//hcaE//yfdK//insE-1//yciE//metL//
GO_0006103_5	rffC//tatD//rep//
GO_0006104_6	emrB//gstA//dicC//
GO_0006105_5	lptB//wzc//ogrK//accA//dnaC//moeB//ybdO//rihB//
GO_0006106_8	tufB//
GO_0006107_8	ptsH//
GO_0006108_8	thiH//ubiB//ybhJ//uidC//bioB//
GO_0006109_6	yfcF//cusS//pyrE//rplO//dusC//fliT//phnC//prs//waaB//
GO_0006112_5	gltD//ydcI//yhbO//yajO//mtlR//dgkA//ettA//rlmF//
GO_0006113_5	yeeO//araG//ubiA//elaD//clpS//ygfX//sixA//mscS//nirD//moaB//ftsQ//eutK//dcd//
GO_0006115_6	prmB//
GO_0006117_5	clcB//
GO_0006124_6	yaiP//
