#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cspB//kilR//rfaQ//rplQ//
GO_0000271_6	dinJ//cueO//menH//ackA//secB//ftsI//ispH//ydhK//cysA//rpoS//gsiB//queA//cysC//rcnA//ybdG//uraA//basS//clpX//pykA//epmB//livG//manX//casC//aaeB//ldtD//gstB//argC//ebgA//lapA//rbn//rhaD//pgpB//acpH//xylE//sufC//tsx//pgpA//appB//deoB//ampH//nuoB//ackA//hicB//yejB//hypC//entB//ribD//lysO//cysG//fsr//
GO_0000272_6	cmoM//hldE//gloB//nagC//nagD//sfmF//
GO_0000302_5	yhbX//murJ//yhhT//mazF//cedA//tolR//murR//queG//insH-6//mdlB//csgE//hipB//guaC//fsr//hemD//tolB//hdfR//pykA//rdgC//metN//rbbA//yiaO//hemG//yjhC//greB//uidR//dhaK//mutY//lolE//ypdI//mcrA//
GO_0000303_6	cysC//uhpA//
GO_0000305_5	gatD//dmlA//fabG//
GO_0000372_11	elyC//
GO_0000375_9	murG//
GO_0000376_10	recC//
GO_0000413_9	pinE//ygiS//trg//hlyE//hflX//zitB//bioP//yciG//
GO_0000451_7	mfd//cytR//sdhD//trkG//lptG//
GO_0000453_8	pphA//pnp//yphC//yfcP//pepB//
GO_0000455_9	chpB//oppC//ydcP//livK//degS//rhaA//nanA//
GO_0000462_11	lpoA//ecpR//
GO_0000469_8	fecD//
GO_0000470_10	hokB//
GO_0000478_9	rlmE//
GO_0000715_6	pbpC//
GO_0000716_7	yihO//
GO_0000724_8	sstT//
GO_0000725_7	ispA//rspB//alsA//frvB//curA//tyrR//
GO_0000726_7	mrdA//
GO_0000731_7	cheA//ptsI//amiB//yedX//ynfK//ybgQ//trxA//
GO_0000737_7	glpT//
GO_0000738_7	lrp//secF//yhaC//
GO_0000746_4	mscK//
GO_0000820_7	ycbU//
GO_0000902_5	adeD//
GO_0000910_4	potF//rna//aas//mrp//chiP//narQ//yfiE//fecA//yfgI//idnK//sgcR//fimC//wcaB//hha//entC//syd//trpL//cydA//
GO_0000917_6	purC//cysH//ydhC//yahF//yghG//
GO_0000918_6	abgA//uvrA//hofP//yehX//
GO_0000920_3	ulaF//eptC//yhfK//feoB//mreC//
GO_0000921_6	dacD//
GO_0000966_8	rstB//agp//nikC//pdeD//
GO_0000967_10	leuE//rplD//ykfI//
GO_0001101_4	hisD//ychO//nfo//glmM//pepA//degS//yggP//tdcA//fiu//yjbH//fabD//ulaG//higB//trmJ//ybjG//entF//metE//mepA//agaD//elaD//hisC//cusR//ydiR//lsrR//miaB//frmA//
GO_0001121_7	phnC//baeS//
GO_0001123_8	holE//
GO_0001124_8	msrB//
GO_0001407_7	atoB//nrdH//malS//araD//
GO_0001505_4	relB//rayT//lpxL//parE//ridA//yjjW//uhpT//trmI//frvA//emrB//yeaG//ompN//hdhA//pdeR//narG//lptB//
GO_0001510_5	prlF//intQ//hofC//caiT//ydiB//aaeA//der//kdgT//gsiA//wzb//ubiE//yefM//rhmD//glk//chbR//pdxB//aldB//kdgT//yrbG//entA//cysB//dinI//fhlA//ais//glk//livF//yggP//kefG//mltB//iraP//gnd//bisC//mdtC//erfK//recO//degQ//yidD//yeeO//dnaQ//csdE//
GO_0001514_8	fepA//
GO_0001522_7	appY//basS//hcaB//eamA//aas//hfq//fliA//nei//narP//zraS//yphC//thiC//pyrC//
GO_0001539_4	ibsD//htrE//rpmG//exbD//fepD//ugpB//yabI//sseA//dgcJ//cnu//sodC//galP//wrbA//nikR//rfaD//purB//cobT//mazG//hisI//dcuS//fecA//glpC//gstB//yjgX//yejB//gadC//zitB//sgcB//icd//prfC//rpnA//
GO_0001558_5	fecD//acrF//yadI//feoB//tdcD//znuC//sdiA//dbpA//
GO_0001561_6	narI//
GO_0001666_4	mltG//
GO_0001676_6	cca//phnG//chaC//
GO_0001680_11	arsB//
GO_0001682_11	dinQ//
GO_0001731_7	exbD//
GO_0001762_6	mdtG//
GO_0001887_4	mepM//yahN//ppiA//
GO_0001896_5	zinT//cobU//cobB//bamC//
GO_0001907_5	cysQ//garL//opgG//msrP//
GO_0001932_8	ybcF//hns//
GO_0001934_9	dgcQ//
GO_0002047_6	torD//btuE//
GO_0002097_8	ghxQ//ralR//ybjN//waaU//yiaN//yeeA//pflB//gdhA//abgT//ptsI//gspI//rsmF//marA//yjiQ//ybcM//nirD//nuoG//uhpT//recG//
GO_0002098_9	adhP//yhjR//hupA//glcF//murQ//slyA//nudF//yibT//yedA//paaJ//chaA//yraJ//metB//
GO_0002099_9	coaE//trpR//
GO_0002100_9	yijO//
GO_0002101_9	alsC//hemD//
GO_0002128_7	hrsA//secM//modA//pgrR//
GO_0002130_8	flgM//
GO_0002131_9	ybiI//
GO_0002132_9	mnmA//
GO_0002136_10	cysB//
GO_0002143_9	dmlA//mnmG//ycbU//ycfJ//aroD//entF//
GO_0002181_7	mcbA//rfaD//
GO_0002183_5	yafS//
GO_0002184_8	cmoA//
GO_0002188_6	yojI//
GO_0002190_6	metQ//
GO_0002192_8	matP//
GO_0002252_3	accC//fixA//mqsR//rfbB//pykF//mioC//phnP//eamB//eptA//afuB//
GO_0002790_6	secE//prfC//cspA//tyrA//rutF//yjhG//menI//
GO_0002937_9	priB//
GO_0002938_8	serA//
GO_0002939_7	cedA//
GO_0002943_8	yobA//
GO_0002949_8	mcbA//nepI//dgkA//ahpC//
GO_0003333_7	insH-5//yagI//rluF//ftnB//pyrC//ynfL//birA//chbR//hofQ//glpR//hycI//sxy//dacD//cydB//srmB//aas//dgcM//abpB//zinT//upp//lasT//pabB//narJ//bacA//nrdE//yhdX//dcuA//melA//slyA//glgS//ftsQ//recD//yccA//hyi//lpxC//nagD//fimB//fumB//nrdR//ybgP//ydhJ//cspI//rpmB//flgK//fabG//dcuB//fimD//ybhI//recQ//
GO_0005975_4	recO//dacA//yqeG//mlaD//narW//ssuC//aidB//tonB//menH//degP//cheW//flgA//glpB//guaB//mlaD//ymjB//ltaE//panF//glxR//ycaN//recO//ycjU//pagP//ygjK//pntA//pdxJ//dmsA//chaC//adeQ//acrB//casE//iscX//ilvL//ymfA//argG//flgH//puuA//rplY//dcuB//cysP//yfdO//lapB//curA//dld//uidR//rpsP//waaP//cynT//pdxK//bcr//ssuC//yhiM//ybaQ//yraN//garK//ulaB//deoD//ychF//dapA//gatB//nhaR//nudF//yegD//ppk//trpA//rfbD//yhgF//acrE//abgB//cpsB//rluB//cdh//dmsC//insF-1//corA//pdeK//ltaE//yghW//nuoL//codB//kduI//moaE//tusD//sseA//sgrR//hokE//csgB//nfuA//sodC//yigB//lepB//mgtA//moeA//tdcA//ccmH//higB//gspJ//ruvC//dppB//dsbD//zraS//flgD//topB//lptF//nuoN//ftsE//flgA//insF-1//secE//gloC//kduD//queF//yejE//mnmA//yaaJ//lptC//ulaA//tatE//rcdA//mdtC//idnO//hisQ//dbpA//panC//yggX//rimM//sucB//cspA//yheT//gstB//ydeO//rapZ//rcdA//ppk//cheA//yebK//ssuA//cheA//chaC//ulaA//frc//ydcI//hofQ//wcaB//glgX//astB//bluF//yhdH//tatC//sgbH//zraR//ompF//gspE//ymgF//folC//eno//sgrR//proC//narK//macA//tisB//maoP//bioD1//envR//tdcR//lpxT//holE//nrdI//preA//mfd//gldA//manY//oxyR//sufB//hsrA//cfa//hemD//nepI//cysE//yebQ//lysS//ompL//wzc//tyrA//rpsN//purU//bfr//mug//yhbS//mtlA//clpX//rsmE//csdA//fucP//yohC//frsA//pcnB//rplD//ppiA//casE//tpiA//fabD//ppk//torA//rsmD//queE//focA//sodB//yjcS//rpmH//bdm//hisD//chbC//chbG//clcA//lipB//hemN//argC//paaZ//yajQ//insA-2//cas3//yeaG//lgoR//yafS//evgS//aroB//ibsB//nagZ//ynbD//ptsG//hscA//hisS//insK//amyA//nlpI//bfr//yfeO//yfhM//lpxP//fklB//ybcF//modB//clpA//ung//lptA//glpG//marR//higA//atpB//puuA//flgC//ptsN//talB//
GO_0005976_5	astC//panB//yfjV//xdhB//tqsA//ompA//mdlA//rnr//afuC//rsuA//glcC//speG//galF//glnE//uup//fkpB//ispG//fbaA//psuT//yqeA//mnmA//pgi//ribA//kbp//gadC//malE//rssB//metF//rcnA//cpxP//deoC//asnC//hcaF//dgoT//htrE//uvrA//galU//ddlB//prmC//leuE//arfB//hisD//mhpC//higA//ndh//ybdZ//glpB//dnaK//ybcM//mglC//fabH//ulaF//flgI//pdxK//exoX//ydfD//lpxP//cydB//rhaD//
GO_0005977_6	rfbX//yhbX//dppF//ykgA//uspE//panC//prmA//dapD//
GO_0005978_7	yghO//smrA//argP//murR//
GO_0005979_8	ypdB//
GO_0005980_7	fadD//yhhT//trxA//
GO_0005981_7	yegT//
GO_0005984_5	yccA//yajL//pgaA//gppA//holD//ydiR//chpS//argK//mdtC//ybjD//menE//
GO_0005985_6	serC//
GO_0005986_7	elaA//
GO_0005988_6	cspA//plsB//
GO_0005990_7	rnlA//crfC//
GO_0005991_6	lptC//rpsP//zapA//add//adk//
GO_0005992_7	ycjR//mazG//
GO_0005993_7	bioD//narK//cobB//
GO_0005994_6	nirD//
GO_0005995_7	kdpE//
GO_0005996_4	fadL//aroK//cusF//fecA//tsaB//slyA//yidL//ais//nagE//xerD//skp//rplR//acnB//prlC//dinJ//ilvB//yfbV//yqeA//nlpE//yneE//mdaB//yihP//yjcS//tsr//preA//grcA//insK//rhtB//selA//focA//melR//yeeL//fryC//ibsE//yqeF//yaaY//ycfH//lpxC//rihC//nuoI//bioF//yiiD//ddpX//yaiW//mltF//yggD//dinG//uhpC//atoS//vsr//rluB//nusG//rfbC//yhiM//yhbS//uspB//gudX//tag//glpG//ldcC//yggX//lamB//nrfC//hemF//flgJ//yaiV//dnaJ//manZ//hemH//yieH//fnr//ydeT//yjhB//yobF//stpA//murC//gpmA//zapE//cho//malG//yojI//hyaB//
GO_0005997_6	coaD//
GO_0005998_7	citC//
GO_0006000_6	atoB//kdgT//znuA//
GO_0006001_7	yfcG//yhaJ//
GO_0006002_5	ttdT//gabP//yfcG//
GO_0006004_6	cobS//rsmH//cynT//npr//cycA//ridA//
GO_0006006_6	atpE//pbpC//bglX//hypA//recG//appY//dam//pgm//ubiH//ymjB//gcvA//minC//ynbB//plsB//yajL//mhpR//glvB//ftsQ//cysH//hxpB//rihB//dtpA//ycjY//
GO_0006007_7	yjbG//cadB//insI1//
GO_0006011_5	msrQ//
GO_0006012_6	pyrF//topAI//lolA//cheB//cysA//xisR//rraB//ndk//fimI//
GO_0006013_6	cdsA//nikB//
GO_0006014_6	fdhF//tmk//ycfH//
GO_0006015_7	ldrB//coaE//
GO_0006020_5	fis//
GO_0006022_5	acrD//glxR//hemA//ypdA//yehB//fruB//minD//ygfA//fadM//waaH//ymfK//fhuB//fdnG//aroA//cpxA//fliL//menC//ygaZ//curA//asnS//aphA//galT//yidK//gsiB//insH-6//sohB//yhcN//topAI//osmY//lysC//preT//trpR//torZ//hrpA//xanP//adeD//symE//nusG//baeS//rluF//fabR//mqsA//ribF//livJ//yfiE//ychO//tdcA//fre//ribC//insK//allD//tldD//iscU//yhjD//csrD//idnO//scpB//cheW//sspB//glnS//metG//ydeM//dgoT//
GO_0006023_6	topA//ptsG//dcuB//zipA//fliS//yiaA//gldA//ispA//pheS//birA//serC//satP//csgE//argD//dgoK//ldtD//marA//ftsH//rlmI//phnL//cbtA//pstC//yebS//yidL//lptB//ynjD//phnN//trpA//rlmI//slyA//napA//hscC//mnmE//rplN//sucB//yadM//yfiE//dbpA//frdD//
GO_0006024_7	potE//lhr//cheY//moaB//gshB//ybiS//yjfP//marA//acpP//pstB//basS//pgk//ssuE//ccmF//trmH//ilvA//yehW//trmH//dcuB//ilvC//yiaL//fadD//idnD//rhtB//rlpA//ptsN//pncB//mdtE//acrA//mrp//holB//paaF//ddpX//hslR//lapA//rplQ//gcvT//htrE//chbG//
GO_0006026_6	moaD//serS//fes//pgpA//intS//umuD//topB//hicA//yciT//galT//
GO_0006027_7	sdiA//chaA//thrL//emrE//alsB//tauA//lacZ//ascB//ddlA//entA//
GO_0006040_5	fimH//pphA//emrE//crcB//phnK//slyA//thiD//manA//preA//ydhQ//manX//ydjH//sbp//apaH//yafC//flgD//ldrB//
GO_0006044_7	hflK//mutT//mdtB//rplO//arcB//
GO_0006046_8	ydiZ//ushA//entC//gyrB//
GO_0006047_5	phoB//yeeY//pinR//ibsE//hdeB//mltB//elyC//
GO_0006048_6	uvrD//rbsR//uxuR//glyA//rhaB//ggt//
GO_0006050_6	insI-2//
GO_0006051_7	mdh//
GO_0006053_8	stpA//
GO_0006054_6	ybbN//gltI//appA//rnr//atpE//rimI//yieE//
GO_0006056_6	ugpA//
GO_0006057_7	mepA//
GO_0006059_6	yddL//tap//dnaG//rplK//
GO_0006060_7	araC//
GO_0006062_8	arcC//
GO_0006063_5	yjiY//exbB//yihU//caiT//ybbN//stpA//dsbB//menA//apaH//
GO_0006064_6	amyA//hyfR//rna//yaiV//rpmA//uidR//
GO_0006066_4	yojI//yhfK//cbrA//tbpA//raiA//waaG//ygeV//ymgA//tcyJ//zinT//glpK//cmtB//ygaZ//tusA//gltL//adhE//ynaI//allC//hemB//yqhD//sufD//yihQ//yfcQ//nanC//aas//coaE//rlmN//pdxB//ddlA//hisA//kduI//ubiE//
GO_0006067_6	mnmA//yidK//arnA//
GO_0006071_6	paaK//rsmD//oppB//deoA//rpmA//flgG//glnA//
GO_0006072_6	mglB//ybiV//mgtA//cas3//fryC//
GO_0006073_6	yjiA//rsmJ//uidR//fecB//minC//focB//pheM//dcuR//arcC//ynhG//nrdH//sdaA//tktA//dcuA//argF//yceK//glpF//secY//iap//mutS//
GO_0006081_4	cheR//ydeO//argH//panC//dppB//ydeT//ptsG//nrdB//rimI//actP//codB//garR//lnt//pspA//poxB//ybgQ//rsmF//ydgA//bisC//wza//yadI//phnN//fkpB//xanQ//atpE//ybjG//yqaB//trmH//lysC//ybdG//hcp//glnL//ycfS//sixA//slt//ygaV//recO//rpsE//sucB//dkgA//ggt//sucD//dnaE//yahK//rpoD//xisE//yejB//yjgX//norV//rluE//yhhT//aaeA//dgoK//yqaE//galU//glnS//potH//glyA//leuO//yhfK//fcl//araB//cfa//nadA//add//hsdM//ansA//
GO_0006082_4	fdoH//acpH//aroD//pabC//kdpB//yhcH//amiB//kup//btuF//ygeX//yfhM//ydbD//hypD//rutB//ansA//rpsH//rpsR//cutC//cpsB//sbmA//puuC//ivy//focB//fliK//pyrD//ybiS//torD//sppA//fliK//appB//rsuA//glpR//minC//csdA//rlmM//rlmH//ebgR//frdA//udk//ygiB//mnmA//yaaY//ibsC//metE//hyi//astB//ydiP//flgB//ivbL//rpoH//ychH//fixB//secD//yeaK//yigL//sppA//rpmA//lipB//focB//yciV//nuoB//nagC//ugpC//chbG//cmoB//yjhB//ppk//hscB//der//dedD//envZ//selB//paaF//cusS//sgrR//rpmA//hdfR//sxy//uvrA//rlpA//yjcO//ftnB//livG//plsX//znuB//gcvT//orn//hyaA//insK//mutY//tehA//bssS//efeO//phr//lpoB//gpsA//codB//xapA//argO//pabB//gsiD//sbcB//pdxK//nadA//murB//yhaV//yegS//entE//htrE//yhfS//lysU//cobC//speF//rbn//truB//nusA//chpB//nlpE//rhlE//mdtA//allD//lptA//rplS//secD//yjhP//yfiE//hybA//lipB//yqcC//hypE//waaA//nhaR//cbpM//gsiA//frwD//pal//glnS//uacT//ghoS//rplW//rffG//thrA//curA//cas3//rutF//fpr//yfcA//glnA//dut//frmB//hisF//tusD//allD//idnD//trpGD//crfC//crcB//rpsH//efp//rdgC//parC//yaiP//mgtA//uspF//glpR//appY//folD//truA//rlmF//yhdZ//dgoT//hisM//rhmR//tauD//ybcC//selU//proP//csiD//yfiF//frmR//kch//tamA//rne//nuoM//ybgI//glcF//rodZ//sbcB//galS//cpxP//accC//yahB//uspF//roxA//yagU//hemA//oppD//recA//yehB//gspI//speD//dsdC//fdhD//zraR//sdiA//yfaL//elfG//cysG//fmt//pgpB//tas//yaiW//bglX//gltK//eutR//allS//dedD//yhaJ//mtnN//adhE//yjfP//xseA//minE//ypdC//sdaB//iraM//amiC//mgrB//zapA//frdD//rof//tcyJ//yejB//uspG//setC//sodC//ybjG//yfaE//fdhF//yaaJ//ilvD//nrfD//dcp//yjcE//selU//ykgO//glnE//yidD//yeiG//xanP//abpB//otsB//lldP//fliT//mraY//hofP//adeQ//ispA//amiD//waaQ//sodA//yagG//hchA//yehT//narW//sugE//marR//tnaC//dinG//ompR//frlC//rzpD//allR//clsA//yhjB//fepC//tnaB//proS//nadD//phnH//pdeK//tcyJ//zraR//hybE//mtr//rne//cspG//aqpZ//phnO//ftsY//deoA//moaB//glpR//metH//ybhA//ybaT//uhpC//ompG//phnN//cdgI//hycA//queD//purC//yggX//hslR//hemL//rph//sgrT//insH-6//gcvT//rpsN//nupX//cheZ//yciH//fumA//sfmD//yibH//livF//corA//insH-6//lsrC//emrE//dmlA//ypdC//rpmG//ibpA//ychF//ccmE//nei//sppA//gor//melA//cysI//trmB//greA//yihO//gadA//mdtA//rplJ//rhaD//yjbE//ybeY//yggW//opgD//blc//mscS//rnd//pheT//yiiE//rclR//yiaN//insI1//ybhF//arnD//livG//yejB//mrdA//xapB//cueO//lolA//yjhI//tdcE//yfjV//kefF//yhjD//amtB//gadB//pheS//recC//idnO//mhpC//tusA//gutQ//mdfA//mtn//sgbU//rsmJ//prkB//hmp//tsx//otsB//metI//fdhF//yghU//xerD//hicB//pdhR//ugpB//zapC//opgE//sutR//miaA//fucO//ydcM//ftsE//cstA//yfaE//cedA//gapA//tyrA//lptC//fbaA//potF//ybiV//fabG//pphA//glnA//arfA//exbD//secM//gudD//hflX//tnaC//xylB//bssS//cysN//dkgB//rlmA//yhhY//tdcA//uspE//adiC//napD//rsmA//dsbD//gadB//aldB//puuA//mutS//iscA//ptsI//yheT//tcyL//rfaH//pphB//arnE//pgpB//hlyE//ackA//era//cvrA//adeP//yijE//rplE//yhdJ//tnaB//pykA//kilR//agaV//accC//cmk//dinB//obgE//fadL//tktB//hchA//yjiY//dgcN//yojI//yihL//
GO_0006083_6	rpmB//nanS//dicA//cycA//dppB//dsbC//
GO_0006084_6	cmtA//cspE//
GO_0006085_7	flgJ//apt//
GO_0006086_8	asnA//
GO_0006089_5	recT//nrfG//rbsA//clsA//ykgO//rutB//dgt//yfeD//sulA//ybeQ//wzzB//mcbA//ybhD//frwD//rpsK//glpX//der//csgB//rsmG//yfbV//allS//mtlA//bssS//clpS//ybhD//frwC//serB//cspD//guaC//
GO_0006090_8	gloB//trg//ydeO//argB//idnO//yjjG//araA//yjgX//mppA//hslV//menE//yafE//galS//folA//kduD//hyfR//yraR//wzc//ymgF//pphA//yfcP//topB//accB//cyoB//rplQ//ribD//exuR//dsdX//cpdB//arnD//ydjL//
GO_0006091_4	nuoG//trpL//aes//yciH//ftsA//ybaK//atpA//yeiG//hybE//ftsK//cyoA//nfsB//phnJ//fhlA//frdA//ydjE//adhE//mepA//epd//hns//hinT//pyrB//clcA//cirA//eco//cdaR//deoA//rutF//mscK//trpS//pinR//ybjG//recD//rlmI//hybA//paaG//yraJ//murC//rpsO//kdsC//ybdZ//nanT//yqjI//mrcA//ilvE//gadB//ushA//nikD//ralR//asmA//yeaG//hisG//higB//lpcA//ygbI//fklB//moeA//ompA//yhaV//yjhC//panF//murF//aroB//dauA//yigB//atoC//trpD//fliT//nudC//hybA//betB//rsmF//cmoM//pdeK//rcsD//yjbE//paaJ//hybB//intS//narX//nrfG//moeA//tolQ//mgrB//oxc//cspC//rsmA//clsC//glcF//yobF//topB//yfiC//yihS//mnaT//soxR//mgtA//tolB//rsuA//carB//tsgA//kilR//rplE//gldA//hisD//sxy//sdaA//fecB//patD//rplQ//phr//pyrC//mutS//
GO_0006094_7	metG//aldA//yefM//elfD//ybjC//tyrB//yggP//mdtL//phoP//hofM//
GO_0006096_6	dnaT//psuG//nagD//asd//pnuC//cspG//rdgC//ycjY//mutL//yfcF//lpcA//mnaT//fabD//rapZ//aroE//hyaA//gyrB//fdnG//
GO_0006097_5	ompF//aroK//diaA//pgk//rimJ//
GO_0006098_6	yibT//hcp//exbB//yhfS//allB//
GO_0006099_4	phr//acrE//grcA//glsA2//yfaX//zitB//lolD//xylA//xerD//pphB//cdsA//sdhC//yiiM//citT//galU//flgE//nhaB//
GO_0006101_6	prpR//dnaB//puuP//mepA//pheM//lsrA//trpR//minE//rsmC//yebQ//insI3//cobB//ldtC//ubiA//actP//cysD//fabI//
GO_0006103_5	hrsA//gadA//yhcF//
GO_0006104_6	ygbN//rimM//yeiL//
GO_0006105_5	phnI//nuoL//nlpA//rfaC//htrE//mltG//kefC//cydB//
GO_0006106_8	grcA//
GO_0006107_8	nrfD//
GO_0006108_8	srlD//yihU//amiB//ldcC//lysR//
GO_0006109_6	glvC//cydC//glnE//suhB//fabD//sdaC//ycgR//mlaB//yhjA//
GO_0006112_5	higA//cysS//psuG//pdeD//yaiW//fhuD//fdhD//clpB//
GO_0006113_5	fliK//yceO//priB//fliG//frlR//rbsD//yfcA//ilvN//rhmR//yfeR//nirD//aspS//ldtC//
GO_0006115_6	atoB//
GO_0006117_5	moeB//
GO_0006124_6	puuA//
