#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	murR//ulaD//fumA//hemN//
GO_0000160_5	alaS//hokE//ynfF//ynhG//bglB//ftsB//yihX//hslJ//allB//lrp//uvrA//rpsT//rpsM//yfdR//cusF//aroA//hokE//waaS//nlpA//ghrB//dnaX//ndh//rplA//fecC//kdgK//hisH//lptE//nuoE//qseB//trpS//hybE//cusS//trpGD//znuA//nsrR//fepE//melB//hypE//yehA//tcdA//amiA//udk//allR//
GO_0000162_7	bamB//birA//ghxQ//ubiJ//csgD//pstB//sgbE//ppx//ibsA//
GO_0000255_5	ybiI//yieE//yoeB//rzoD//caiT//
GO_0000256_6	ribA//ubiC//sgrT//ypdC//rpsT//
GO_0000270_7	insB-2//fimF//mdtL//glpK//ligA//tatE//trmB//treB//ynaI//waaH//livH//dsdC//nrdR//queF//xseB//brnQ//pstC//lolC//ruvA//yhgF//hdeB//soxR//panE//csrA//lit//rpmE//arfA//napF//sad//eptA//pphB//rluB//ftnA//trmH//rraA//nagD//guaA//rsmC//ubiB//lpd//recT//btuB//uxuA//yfbR//insE-1//yehW//yhaC//ftsE//yebQ//thiC//insA-1//fadD//lysR//entF//evgA//obgE//ydhK//hyaC//mraZ//ybdO//fklB//gudD//gyrA//
GO_0000271_6	ubiG//ymjB//cdsA//prfA//topA//symE//yneL//asd//ulaR//azoR//plsX//manX//grcA//pdhR//ybhR//trmD//yahF//prfC//oppC//ghxQ//dicB//abgR//rlmI//hemF//rlmN//truC//glpR//yecS//mtfA//ypdF//uvrD//yhaM//mlaC//era//mutS//ppiD//cheY//sdhA//tgt//ybjN//ibsC//arnF//yihL//tmk//ydjE//ygcW//glnK//dfp//zraS//miaB//
GO_0000272_6	mutL//gcvH//pykA//ugd//citC//dnaT//
GO_0000302_5	nhaR//frvR//paaG//kdsA//aspA//glgC//alr//arcA//trmJ//yfdG//sufA//eutR//bcsA//hyfA//pyrC//yieL//rssA//sgbE//yhaO//ycjQ//ravA//yfcS//ycjY//bioD//atpB//yhdX//rpmF//tusA//mdtF//arfA//dtpA//
GO_0000303_6	minE//ymdB//
GO_0000305_5	ycbB//yfdK//ygjK//
GO_0000372_11	yoeE//
GO_0000375_9	ibsE//
GO_0000376_10	ariR//
GO_0000413_9	kdpB//kgtP//tufA//ulaC//oxc//yidL//yqcC//rnhA//
GO_0000451_7	ygbL//codB//leuD//upp//ybaK//
GO_0000453_8	adiC//wecA//trmJ//nanT//fetB//
GO_0000455_9	bioA//recG//wza//ytfT//stpA//dnaK//pgpC//
GO_0000462_11	yihT//rnc//
GO_0000469_8	yccS//
GO_0000470_10	argD//
GO_0000478_9	glnP//
GO_0000715_6	secY//
GO_0000716_7	pepB//
GO_0000724_8	ulaB//
GO_0000725_7	ldrD//dauA//arsB//yfeR//ygdG//nhaA//
GO_0000726_7	opgH//
GO_0000731_7	argA//yqgB//ccmC//narZ//yeeA//yebK//rpiA//
GO_0000737_7	gntR//
GO_0000738_7	hisD//trmO//narW//
GO_0000746_4	torZ//
GO_0000820_7	kdsD//
GO_0000902_5	tar//
GO_0000910_4	yiaM//afuB//atoS//nirB//tsaE//kdsA//ahpC//corA//otsB//wecA//hns//tufA//pheT//iraM//pinQ//yggT//proQ//sfmA//
GO_0000917_6	ybiT//hslO//frdC//yhaM//nagE//
GO_0000918_6	ynbC//essD//sspA//fadE//
GO_0000920_3	ychF//tcyL//prpC//citE//lolC//
GO_0000921_6	rpsK//
GO_0000966_8	hybG//tatE//hns//hslJ//
GO_0000967_10	cof//rlmG//tamB//
GO_0001101_4	rsgA//yggD//ybhP//malF//ybhJ//intZ//gltX//yhbY//infB//soxR//fucK//ychO//yrfG//emrY//yfdO//yeaV//zapB//glpK//mobA//sufE//nusA//yaaA//queE//pyrB//ydjK//frdC//
GO_0001121_7	yidL//mhpD//
GO_0001123_8	wzc//
GO_0001124_8	secF//
GO_0001407_7	glrK//frvB//ygeV//wcaC//
GO_0001505_4	entE//ydiK//ulaF//yieK//sodB//qseC//aes//glgA//murG//hybA//araB//frmB//gluQ//hisM//gldA//glsA//
GO_0001510_5	ilvB//rpsD//yijO//asd//ugd//nrdF//hofM//fucO//insI1//murB//sgcX//mutS//csgD//tag//ssuD//ugpA//rpe//sdiA//chbB//gadX//waaC//speE//arnA//sstT//rpmA//uxaC//frdD//alsE//yeeL//fepG//pstS//ydjH//yiiE//gspI//phnG//prmB//rclR//yhcH//rhtC//betT//
GO_0001514_8	cysQ//
GO_0001522_7	atpH//yafO//dpiA//cysB//prpB//djlC//nadE//yqaB//atpE//yiaF//codB//gntT//mdtP//
GO_0001539_4	htpG//fumC//ompC//asd//rluC//ftsY//pinE//yibA//ortT//envR//dedD//mug//idnO//clpP//hmp//rhtA//leuA//evgS//trpS//yjjU//yqcC//borD//tnaC//ppiD//ycjW//plsC//rng//ymdB//coaD//phr//rplS//
GO_0001558_5	yejA//gmd//ydjE//menE//cysH//ymdB//dmsA//rcnR//
GO_0001561_6	trxA//
GO_0001666_4	yiaL//
GO_0001676_6	rfaE//ycaO//hdeA//
GO_0001680_11	pdxH//
GO_0001682_11	uxuB//
GO_0001731_7	hemB//
GO_0001762_6	treC//
GO_0001887_4	ruvC//clsB//appB//
GO_0001896_5	yfeO//atpF//fmt//ypdI//
GO_0001907_5	dinJ//tauC//rarD//ansA//
GO_0001932_8	rna//sugE//
GO_0001934_9	cbrA//
GO_0002047_6	sgbH//treR//
GO_0002097_8	gatA//accA//ynbD//rihC//yfcG//gadC//garK//ibsA//tdcE//ubiI//ygjK//ydcR//aroG//diaA//mlc//ydiV//queG//fimB//hipB//
GO_0002098_9	rclC//rodZ//eamA//deoD//mrcA//nadA//fabH//proX//ybiO//paaH//ackA//gpt//queC//
GO_0002099_9	guaB//yafQ//
GO_0002100_9	secY//
GO_0002101_9	dacC//leuB//
GO_0002128_7	asd//ydaN//ilvA//hrsA//
GO_0002130_8	leuA//
GO_0002131_9	mioC//
GO_0002132_9	murE//
GO_0002136_10	tnaC//
GO_0002143_9	uspB//norR//dauA//acpT//ynfF//ydjM//
GO_0002181_7	sdaC//crcB//
GO_0002183_5	insK//
GO_0002184_8	cusC//
GO_0002188_6	dcuR//
GO_0002190_6	phnG//
GO_0002192_8	acrD//
GO_0002252_3	dppB//rpsM//dapF//mtn//wcaJ//panE//artQ//blr//cra//borD//
GO_0002790_6	lptF//patZ//brnQ//htpX//uxuB//yegT//abgA//
GO_0002937_9	narG//
GO_0002938_8	glpG//
GO_0002939_7	yhjR//
GO_0002943_8	clcB//
GO_0002949_8	yegD//lolB//cysZ//yjhP//
GO_0003333_7	aldA//yjiR//aes//ybdZ//yfdR//elfC//ilvH//kefF//truD//waaA//ygfX//frvR//speG//ygaH//pphA//rcsD//ibsE//yfiE//eptA//nagC//dnaJ//metK//ycbB//prs//waaP//mrcA//sufD//yadM//atpE//mscK//pdxK//qseC//csgG//rlmC//thiH//hupA//pagP//minD//ampE//moaA//raiA//exuT//caiF//yggF//lacY//lysU//rluA//kduI//yiaL//
GO_0005975_4	epmC//yadV//pstC//betT//yceD//iscA//ppx//yeaK//mlaB//hemB//chbA//ibsA//nfsB//tdcA//rffC//dicA//mhpT//hcaT//yiiE//atpH//narL//rplX//caiD//ygiS//ybjN//rfbD//ydhC//nadA//yfdG//btuR//queA//relA//menA//ansB//thrS//lsrA//secY//yoaA//tdk//asnS//fliG//hyi//mngB//rpsN//gatD//ssuA//yfjR//rrrD//fruA//ycgV//phoA//sapD//zur//hisI//luxS//ackA//ftsP//artQ//ade//fdhD//creC//hprS//dctA//tamA//ftsN//rpoA//ompC//agaA//csgA//rusA//frsA//topAI//fryA//ppx//nrdF//fadE//sdhD//yeaE//talB//csiD//lptA//recB//mdtM//nuoI//lgoT//yejB//yhdZ//vsr//yiaF//paaE//corA//ushA//pdxA//csgG//uspC//manA//ptsI//gudX//fre//ybhD//glcA//sufE//sthA//ybaM//gspF//menD//hslV//csgF//artQ//hha//mdoG//dkgA//adiY//pth//yhfS//codB//treA//yidZ//flhD//ribA//ribA//pabA//ilvH//dosP//queD//eutN//cbrC//fhlA//purF//glpB//dppC//rlmB//nhaR//purB//hemF//ypdB//yigB//glcA//yihL//mrdA//fumA//ompF//yfaE//ybcM//wrbA//uxuA//fepC//entD//phr//oppC//emrY//ydiR//gltS//ubiB//leuA//yehY//mtlR//gluQ//rstB//mog//rffG//rppH//ynjD//uhpB//elfA//rsmJ//zapB//thyA//narG//plaP//rutB//yiaT//aaeB//yieH//dfp//intZ//folP//hcaD//yadM//yafC//rssB//elfC//ftnB//ychF//adeP//ygaV//htrE//envC//hybC//aaeA//flgJ//yjhH//pdxY//upp//ispF//gcvR//rimM//gcvP//fliA//sucC//zntA//hemG//acrF//fimI//hisH//malS//trmH//prpC//glpD//waaA//yfaV//tufA//proV//gudP//tar//sgbE//znuA//rfaC//glvB//pyrD//phoA//mngB//purT//uspG//fadH//paaG//csgD//ibpA//pphB//aroF//kdpE//ugd//yibF//hflX//rplM//rbbA//mukB//mrr//bdcR//yhbX//bepA//mutY//ldcC//ldtB//secE//rplY//murC//dmsC//sgrR//rnlB//sapC//ycbV//yahD//hybO//
GO_0005976_5	opgH//arcC//ligB//fdhF//thiH//rihB//deoR//bioD//yacG//osmE//lpoA//trmH//msrP//agaV//tcdA//fumC//sgcE//yidC//trmB//sgrR//nrdH//argI//glgS//rimI//cspG//cspE//ygaZ//hisH//dcm//nadA//cydA//ydcI//bamD//nuoE//glnL//cpxR//rbfA//uvrB//yqaE//proX//ung//mdtM//ampE//srlD//hokB//yidE//flgI//putA//rzpD//nadK//tqsA//wzyE//betI//ftsL//ilvE//rlmM//yhaJ//ycfJ//pdxK//
GO_0005977_6	rplQ//phoU//mscL//trpD//phnP//bglB//galE//aroL//
GO_0005978_7	rnlA//leuS//fadB//gpmA//
GO_0005979_8	ubiD//
GO_0005980_7	pppA//sbcB//yiaB//
GO_0005981_7	msrB//
GO_0005984_5	murC//znuC//fixA//nfuA//ydbK//gmhB//fimE//flgE//erpA//fepE//ynhG//
GO_0005985_6	yqgB//
GO_0005986_7	mdtE//
GO_0005988_6	nrfD//parE//
GO_0005990_7	ccmD//kgtP//
GO_0005991_6	ydaC//recO//ybcC//slt//yjhP//
GO_0005992_7	rutG//glcF//
GO_0005993_7	sdhD//bioF//tisB//
GO_0005994_6	speG//
GO_0005995_7	ompW//
GO_0005996_4	abgR//yafS//yagG//tsaC//ynbD//evgS//nrdF//deaD//trpA//yeeY//cheZ//galK//ftnA//pheP//bluF//kdpA//chbR//ybhS//hflD//frvR//ygeV//ravA//rcnA//tamB//clsA//sgcA//dgkA//mdtC//mdtK//rimK//surA//bssS//yqiJ//yqgF//mtfA//garR//fmt//ygjH//dnaJ//yegV//rsmI//fieF//nanA//sufA//ybiI//ompC//psuG//dnaQ//tilS//secY//ftsK//dinG//trpGD//sdaA//ansB//agaA//rhmR//ycjD//motA//soxR//ileS//yggD//cdsA//rodZ//cpxA//rpnC//hyaD//rbfA//lysA//hyfR//yidH//yfdR//ttcA//fruA//argC//kdpB//wcaJ//ybdN//cvrA//dusC//cydD//rimL//
GO_0005997_6	ybiY//
GO_0005998_7	pspC//
GO_0006000_6	narK//gor//sfmA//
GO_0006001_7	bfr//lysP//
GO_0006002_5	nepI//rlmN//kdpE//
GO_0006004_6	puuB//yeiE//serC//allS//cho//ldcC//
GO_0006006_6	yhgH//artM//nrfF//yqcG//flhD//rpsR//ebgR//chbG//pcm//rhtA//hslV//setA//otsB//lldR//yhaC//ybhG//fkpA//yieL//rpmJ//galS//ynbD//yidK//mraY//
GO_0006007_7	prkB//nikB//gadX//
GO_0006011_5	ilvE//
GO_0006012_6	arsB//ubiB//hcaD//cecR//mrdA//livF//lpcA//aceF//clcB//
GO_0006013_6	ybaQ//yebS//
GO_0006014_6	yeiL//ybdO//cyaY//
GO_0006015_7	degP//yfiE//
GO_0006020_5	slyA//
GO_0006022_5	alr//phnN//glk//rpoH//lplA//ygfZ//paaD//msrB//relB//yacG//mnaT//ibaG//abgT//uidC//afuB//aroK//yfeR//insA-2//ynbB//tolB//entH//astB//nanR//yjgX//arcA//tcdA//fmt//ftsP//pflC//clcB//ydiR//bcsQ//ulaE//sgbE//chbB//tas//mdtI//gltS//sspA//fadK//yceK//pyrC//emrE//ydiR//rnpA//fepG//tauD//ygfZ//yhaC//metQ//csgG//purD//rplR//yeaV//rsmF//paaF//bsmA//dusB//bioP//intA//ydiB//araE//ispH//
GO_0006023_6	rlmD//phnN//yceK//lolA//dmsB//dpiB//lacI//atpA//ddpA//allR//kdpD//ettA//ycjY//malX//thiH//cysK//fumB//rutG//kch//phr//znuB//rplQ//map//fucK//ymgC//rclB//rpoS//insI-1//aes//cdh//thyA//radA//tqsA//skp//smrA//ugpC//dnaQ//ychH//atpF//
GO_0006024_7	hemA//livM//opgD//ygfX//ybcC//roxA//lysC//rarD//gudP//pgaB//rclC//argH//ycdX//bacA//rpmB//miaB//ynhF//acpH//rraA//yraN//pheP//fliT//ldtA//cheZ//rffC//dcp//menB//nlpA//insI-2//yhdW//fucA//trpR//mazF//yjjX//glcF//rrrD//yfjV//rhsD//uhpT//
GO_0006026_6	lldR//ytfE//dgkA//abpA//yagE//trmJ//opgB//sdhE//gspJ//fadI//
GO_0006027_7	dinD//citC//idnO//lpd//leuE//rclA//dinD//groL//araA//ldrA//
GO_0006040_5	yegS//hisG//cheW//yqaB//yrbG//ydjH//lsrK//comR//sseA//gpt//cnu//rpmF//iscX//puuR//argP//agp//araG//
GO_0006044_7	dinQ//rpnA//rnr//yiaJ//galE//
GO_0006046_8	glpG//trpA//waaG//bglX//
GO_0006047_5	glyS//aspC//yfaE//idnD//yqjA//rseC//ralR//
GO_0006048_6	oppB//lptD//ubiA//yqeF//mzrA//cysP//
GO_0006050_6	asnS//
GO_0006051_7	menF//
GO_0006053_8	hxpA//
GO_0006054_6	uup//rhlB//dnaT//yjaZ//pgaA//panF//rpmF//
GO_0006056_6	lpxH//
GO_0006057_7	clcA//
GO_0006059_6	ribE//oppA//ygbM//lon//
GO_0006060_7	yabI//
GO_0006062_8	tauC//
GO_0006063_5	cmoB//adiA//yhfK//napA//ydiF//insI1//recA//yieK//gsiB//
GO_0006064_6	mglA//rof//mtlA//pck//rlmM//cysM//
GO_0006066_4	xdhB//topA//ivy//holE//speA//rplN//frvA//modB//fadB//dedD//pyrC//mdtQ//hemL//yrdA//cadA//pgpB//cptB//kgtP//waaG//envY//livH//yccS//glpB//fnr//rimP//alaS//rpiA//mmuP//mepH//nrfA//caiT//eutN//
GO_0006067_6	argR//dbpA//ppsA//
GO_0006071_6	osmY//appB//rcsB//deoA//thrL//yccX//patZ//
GO_0006072_6	serB//lgoD//ygjK//gnd//sgcE//
GO_0006073_6	uspB//bepA//yjiX//yafE//cpxR//araD//livF//hda//mraY//mlaF//tonB//rffC//ykgF//flhA//wcaJ//osmC//purA//rpmA//solA//pcnB//
GO_0006081_4	ygiN//iraM//pyrB//ptsI//fepA//pntA//yibT//tar//yihR//bhsA//yqiG//gpmA//gnsB//def//cusR//yqcG//folD//parE//ldtC//sfsA//waaH//yijE//pinQ//tauB//ppsR//rutD//wrbA//narH//yihO//yfaL//amiB//garP//insA-2//adiA//uidA//panE//metL//epmC//fimE//yfiE//ycjR//trxA//pinQ//ygbI//fucK//ascB//eco//cmoB//ralR//lolD//cca//bdm//gudX//dnaN//hcaD//rcdA//fucO//xapR//nupX//acpH//mntH//dnaK//rfaF//frlA//hisS//nagE//trmD//
GO_0006082_4	ugpB//elaA//otsA//yeeJ//waaP//slmA//agaB//rep//argE//ybcJ//yddA//elbB//sucA//ykfM//sbcC//yebQ//der//yfdG//ygfZ//roxA//cnu//mngA//glvC//fepG//napB//yggW//ydeM//ppk//tauB//ulaG//kgtP//msrP//yhbO//nrdG//lpd//metN//gudD//yqiI//tdcD//lipB//acpS//ttdR//ybdG//fruA//yjfF//rsmE//yejB//metG//paoC//rcnR//metB//ftsX//dicB//rpsP//ubiI//garR//yhjV//sdhE//fimI//yjeH//proQ//yafE//dcd//ybiI//fryC//yjjW//cheR//livG//sufA//fimF//dtd//ssuC//ygdG//yadG//ygbN//yebG//yhjX//surA//rsmG//maa//mtnN//fabI//glgS//purC//idnK//hyaC//uof//asnC//cpxA//cysE//cspG//argP//malQ//fbaA//yhaC//sohB//rdgB//dppC//rimO//ydaN//hfq//ydeT//lacI//ftsI//yfbV//entH//tar//menC//dcuB//bglF//zapE//bglH//dinJ//yehP//bamE//ycdX//pgpC//elfA//mog//lsrC//hda//yfiE//fliA//rseB//ycbU//ynaI//yhaV//fhuF//pnuC//paaZ//mltG//ansA//fnr//lsrC//fepE//rssB//uspC//zntR//dtpB//yciE//envR//puuE//tgt//shoB//rarD//greB//yhfS//bamB//yajD//artQ//degQ//mocA//araE//leuE//folM//yceD//yhcN//yeiL//narP//cysP//pnuC//hemE//folP//ybaT//gadW//mzrA//yeaV//rpiR//yhaJ//fkpA//hxpA//cof//citT//paaX//htpX//yjfF//cyoA//endA//pldB//hokB//yibF//secA//yhjX//frdC//kefB//ybdH//dcm//paaZ//yehB//dosP//dut//sanA//accB//ccmA//bglH//ybgP//yidK//aroD//atoC//murG//plaP//xylH//yehW//argF//mngA//dcyD//rplX//gudX//insF-1//puuB//ymgC//fimI//kefF//ynfE//hisG//xapR//rplS//ldtA//yfeX//ycjR//bioD//bdcA//yfeW//leuD//rhaT//cysB//ygaV//rlmB//pgrR//araH//rlmF//cfa//uhpC//glxR//cydD//aroE//pspA//dgcT//uacT//ubiI//evgA//cdh//elaB//rpmJ//tolA//rlpA//rpnB//yihL//fhuD//yijO//rfaE//yiaF//gsiA//rpsH//rho//ybjG//hcaR//tufA//yfaU//putA//betA//yqiH//ygbM//nuoG//mqsR//yccX//hemN//tolB//recT//truD//csgG//yabI//norW//bcp//moaA//rep//yddA//yidE//sufD//pdeH//arnA//adhE//hcaC//wecA//srlA//trpD//rlmB//ttcA//argB//cycA//frdC//ppk//dmsA//malF//bioC//hypB//rsmB//ttdA//tsaB//rfbD//gcd//mlaE//hsrA//yqcC//kefG//cytR//flgI//waaO//rfaQ//pyrD//yjhI//afuB//mocA//mlaE//acs//deoA//sgcC//recD//kefF//glk//pppA//mhpB//appA//pflB//selB//ydiF//zntA//yfdC//lpxB//pdeR//iraM//fadB//ftp//polA//rsfS//proW//glrR//cysI//nudG//ymjB//insE-1//arnA//ytfT//bacA//gmk//mlaE//atoC//fruB//arnA//fdnG//rpsK//yfcP//rssA//yneJ//recA//tolQ//rimI//kch//zapD//mcbR//dinJ//umuD//fbp//yceK//gntR//hdeB//sdhD//kefB//cusA//narW//panE//rimI//ycjR//rpsM//guaB//nrdH//nupG//panZ//gfcE//gntT//dgoR//rlmL//puuD//dusB//dppC//plaP//pagP//phoA//queC//rpsG//rfaG//nrdB//wrbA//ycgB//metG//rplI//fixA//hyaC//ldhA//yagF//qseB//rhoL//csdA//nrdE//apaH//yeaE//mqsA//selB//yhjX//cydD//arsR//astC//adiC//moeB//alaE//msrA//mraY//fadM//recC//rplJ//mhpT//xseB//rfaH//ydeP//xseB//rtcR//yghG//fabH//ribE//acrA//scpC//recX//ilvD//pheP//nanE//eutB//yaiW//zapC//rfbX//casC//lepB//rpsQ//rhaM//hldE//lacY//lsrK//galE//envZ//trpD//nadC//nemA//ulaC//iraM//yjiR//pgaB//yhdW//ygdG//frlB//phoR//oppA//
GO_0006083_6	rbsC//yfaU//bioH//sthA//metR//gluQ//
GO_0006084_6	selA//glpR//
GO_0006085_7	sseA//yghO//
GO_0006086_8	asnC//
GO_0006089_5	hybO//proB//kbaY//ydaC//pgaD//malX//tesB//tdcB//rpnB//ypdB//yagU//nei//manZ//yggP//lyxK//topB//rapZ//selA//ydcI//yafE//prpB//yddG//frwC//cnu//yidD//arcC//atpA//ydfK//ydcS//
GO_0006090_8	rhlB//cdgI//fdnH//frdA//mprA//yccX//ompF//yqjI//bglH//evgA//csgF//ompC//ytfE//mlaF//rffH//ycbX//lacZ//mutY//pntB//glcD//elfA//yqjI//tsf//gltI//yegV//asnB//hofM//ecpR//cysH//actP//aidB//
GO_0006091_4	maa//ampD//hipA//hslV//aroG//rfbB//raiA//insH-5//tig//tisB//argE//smrA//ycbX//kduD//ybfA//acrD//sbmA//dusB//yegD//ldrD//yfdR//mnmE//yqeA//patA//sufB//ycfL//csgE//sapA//rhaS//nimR//speD//araH//glpR//upp//xisR//rpsL//dsbA//pabC//chbF//hokB//gntT//degS//atpC//sbmC//sgbU//ycjY//wza//rcsB//ymgC//opgH//chbC//frlR//plaP//pinQ//pgaD//yddM//ulaR//ribD//glcB//ispG//ygiS//coaA//mdfA//glnA//arsR//pepA//rpsD//fbaA//sbcD//ascF//yjhC//gspI//pyrC//topAI//mocA//pspC//paaC//sxy//kefC//yggT//araB//eutR//iscU//dsbG//yfdC//lgoR//yraN//malI//alaE//osmY//hemN//rzoD//rplK//nrdR//fliA//ravA//cas2//xylR//yhaJ//recJ//yihX//rnpA//hypA//dnaT//dusC//panD//yrbG//ynbB//tas//idnT//metE//panD//
GO_0006094_7	yieE//dppB//metK//argK//recR//priA//pyrE//tusB//ydiB//feaB//
GO_0006096_6	thiM//livG//sstT//zupT//pstC//yciG//dctR//fur//fbp//glnS//rutR//pgaD//plaP//cpxP//lgt//dmlR//yneJ//ugpE//
GO_0006097_5	puuB//tas//ibsD//tsaD//ybhI//
GO_0006098_6	dsbG//sdhC//dsdC//queD//yebZ//
GO_0006099_4	argO//atpC//baeS//rffG//thiD//tusA//ldhA//menC//mutM//phoR//bdcR//rzoD//bcsA//ibsB//ybjG//rnc//yggF//
GO_0006101_6	ahpC//glsA//yijE//ymfA//arnB//yhaM//pal//argI//lrp//trmO//cysA//pabA//speB//rplL//insI-1//argB//rhoL//
GO_0006103_5	hisD//waaA//hemL//
GO_0006104_6	mutT//cas3//hypA//
GO_0006105_5	sseA//rlpA//tusE//mug//rsmC//rpmJ//add//lldP//
GO_0006106_8	ybcJ//
GO_0006107_8	srlR//
GO_0006108_8	sspA//nlpA//ivy//murD//lptA//
GO_0006109_6	yagG//tcyL//ivy//gudD//holB//ygaH//fhuF//abgB//ybiH//
GO_0006112_5	ynbD//yehP//lysC//bcsA//yceO//glsA//tdcR//argB//
GO_0006113_5	dgcT//yciE//ribC//feoA//nuoL//mrp//cutA//wzzE//cspB//ilvD//idnT//glrK//eutA//
GO_0006115_6	trpE//
GO_0006117_5	dicB//
GO_0006124_6	artI//
