#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	aroK//tusE//hybF//yebQ//
GO_0001522_7	ypdI//cbtA//btuB//alsA//ruvB//yddA//yjiR//rpsK//rsmJ//ydfH//msrB//ymgC//uhpA//
GO_0001539_4	rimP//kdgR//tas//purF//trmB//gph//rhaD//chbB//clsC//ybjN//dfp//rffC//tomB//yehC//dusB//yccS//ynaI//pyrL//rho//iclR//agp//pyrC//livF//paaJ//secY//mngA//dtd//ycbV//mutT//abpB//ytfT//
GO_0001558_5	yoaA//yghU//rpmC//mhpT//arfB//pfkB//tesB//mdh//
GO_0001561_6	gltD//
GO_0001666_4	yeiL//
GO_0001676_6	fdhF//prpD//glgC//
GO_0001680_11	moeB//
GO_0001682_11	cmoM//
GO_0001731_7	phnP//
GO_0001762_6	tehB//
GO_0001887_4	sufA//tsx//accC//
GO_0001896_5	rpmE//hiuH//ybhD//purC//
GO_0001907_5	tatB//pitA//ydfG//melB//
GO_0001932_8	dctA//fixA//
GO_0001934_9	hsdM//
GO_0002047_6	ydjM//rhmR//
GO_0002097_8	nimR//lamB//intS//gltL//pepT//hypF//hybO//bioF//eutN//zntA//hprS//paaD//lysU//hipA//csdE//yebC//lolB//sthA//yedL//
GO_0002098_9	rpmB//rnr//setA//puuA//tolC//rimK//mepH//vsr//mnmG//trkA//yidD//narI//ydfD//
GO_0002099_9	dgcF//nrdI//
GO_0002100_9	phoR//
GO_0002101_9	queG//nrdI//
GO_0002128_7	yggN//yahD//ribB//cbrC//
GO_0002130_8	pnp//
GO_0002131_9	fumC//
GO_0002132_9	rplL//
GO_0002136_10	hybC//
GO_0002143_9	mscM//nanT//ybiW//tus//tpx//yfaU//
GO_0002181_7	ulaE//tolC//
GO_0002183_5	nuoH//
GO_0002184_8	rimL//
GO_0002188_6	uxuR//
GO_0002190_6	nrfD//
GO_0002192_8	ribF//
GO_0002252_3	tadA//eutB//nrdB//flgB//lldD//ybhG//ldtD//acpP//fbaA//iraD//
GO_0002790_6	diaA//gnsB//ubiB//gph//rbn//mltF//nhaA//
GO_0002937_9	symE//
GO_0002938_8	fecD//
GO_0002939_7	oppD//
GO_0002943_8	ymjB//
GO_0002949_8	yihO//greB//arcC//ansA//
GO_0003333_7	bioC//dapA//lplA//fdoH//rlmB//yadK//yiaT//hypC//yihO//atoC//mioC//afuC//cbpM//hisS//ynfE//hdeD//sgrT//patD//yfcS//prfC//mppA//ybhG//msrQ//phnH//cobC//leuS//seqA//ynjA//yadC//paaF//hyaB//glsB//mdtK//nrdI//metN//clsA//murJ//rfaB//mutH//rpe//proP//ddpX//yciA//opgE//queE//dgt//dacB//sufA//yhbS//
GO_0005975_4	folD//csiR//atpE//gpmA//rpnB//rhlB//phnI//ubiC//syd//ykfI//ybeY//puuE//nrdA//ycjP//ycjW//relB//kdpF//galF//nusG//smpB//yhcN//yfdK//hypB//tcyN//rdgB//phoP//dgcF//ypdC//ilvE//mntP//csiD//yiaJ//agaB//yieH//yhaO//acnA//dsdC//putP//xisE//ydfG//minE//insB-2//rluD//kdsD//aes//ybjI//groS//atpA//nirC//uidC//tauB//cysZ//ycjD//nagC//lepA//degP//pncB//rpsD//dppA//gldA//flgF//ynhF//speD//queE//nanT//cydD//mdlB//speC//ynfK//ykgA//ppiA//upp//yhjV//gntT//yjhC//endA//pyrG//aroE//rfaB//yahF//thiH//ubiG//nanS//tdcB//gntT//nikE//bioA//yeiG//fucP//mraZ//gatZ//mog//gstB//chbC//proQ//yggE//ybhF//torC//araF//fimD//hinT//katG//ygaH//clpA//hofC//nrdD//mltA//bhsA//caiE//ldcC//acpH//caiE//mscL//lolC//cobU//rnlB//lrp//leuB//hdeA//yhaV//ispB//rppH//yieH//ddlA//arcB//glpB//yjjI//ygfA//gutQ//citT//ybfA//nepI//mdtC//prlF//lolD//hofN//dsdX//ygfA//rsmI//dctR//allS//rsmF//sixA//yebG//yfiR//nanT//ydeM//yhhZ//yehU//ygjK//erpA//bioD2//ycgR//thiE//iraP//mreB//glcB//yddL//yieE//malS//tusD//ompA//truC//yeaG//rnr//serS//nagK//insI1//glcD//cadB//kdgT//rpsR//uup//umuD//hxpB//pagP//livK//btuC//malY//xylA//uidC//mqsR//ybaQ//citC//greA//yhfK//yjbG//dcd//arnD//fimF//nusG//xerC//sdhB//kdpB//hyfF//ygfA//cnu//pphA//pcm//queD//mlaB//fabZ//nirC//atpG//tqsA//cytR//yidQ//gsiB//arfB//tdh//fryB//fucK//fepE//clpB//yphC//arfA//dtpD//yjbB//hemD//fumA//pncB//yagF//ybaM//yhhZ//yejB//ybiH//decR//cheW//hisQ//secY//galK//mgtL//ybcM//cspI//csrA//yidH//yhjX//nudF//plsC//feoC//hipA//artQ//frlA//dinG//sbmA//idnO//yggX//ykgF//yqeF//ybiY//secB//ccmH//ecpR//glvC//
GO_0005976_5	murI//ydhJ//hslV//bcr//trpGD//ygeR//panE//ubiB//ybjL//aspS//citX//uhpB//lolA//gor//yihL//hypF//yhjC//coaE//tmcA//nhaR//sbp//tdcB//sodC//yqaB//setC//glpX//flhA//glnK//selD//rfaE//skp//elfA//gmd//ybdN//mdtJ//uxuA//hdfR//alaS//tqsA//hxpB//truD//ispF//sbcC//ddpX//rpsD//mutL//malS//prpD//intF//fhlA//gltL//insH-5//yceK//selD//argS//insB-4//rusA//cmoA//wecC//
GO_0005977_6	ygbI//rof//fkpA//ygaH//frvR//mepA//ydcM//ulaG//
GO_0005978_7	btuF//ralR//atpB//mhpB//
GO_0005979_8	kdpE//
GO_0005980_7	yeaK//hyaB//mdtF//
GO_0005981_7	yihW//
GO_0005984_5	edd//rpoS//bdcA//rluE//orn//cysC//ybcM//hipB//ghxP//deoD//lpoB//
GO_0005985_6	rdgB//
GO_0005986_7	purR//
GO_0005988_6	wcaJ//hemB//
GO_0005990_7	mutH//ygaV//
GO_0005991_6	ybiO//dgcN//hisB//degQ//hscC//
GO_0005992_7	pgaC//lsrC//
GO_0005993_7	ygeX//yceO//trmO//
GO_0005994_6	fadA//
GO_0005995_7	ulaG//
GO_0005996_4	tamA//uxaC//yphB//waaH//ytfR//shiA//rffT//ilvI//rpoE//livF//asnA//rplY//insI1//xapR//panB//yccA//add//csgE//mutY//ilvD//zipA//nagB//menB//gapA//garK//nanS//fetB//ynfF//yhjV//menA//ilvI//rplW//yddG//araA//bluF//rnhA//tdcF//ypdI//fdhD//yjhC//flgJ//ybhR//ldtE//gltX//hdfR//ydjK//dnaC//ygeX//tdcB//ldtA//ppc//hofP//truD//yjhP//yhgH//amyA//yfgI//ulaB//tusE//ycfL//waaO//rpoH//trmL//sbmC//pepQ//yciA//ygfX//lacI//katE//pgpB//phoE//abgT//cydB//manZ//sapC//exuT//entF//lacI//tauD//chaA//ybiA//narZ//
GO_0005997_6	gloA//
GO_0005998_7	iraP//
GO_0006000_6	evgS//lysO//srlE//
GO_0006001_7	feoB//malI//
GO_0006002_5	yfeO//yagG//ydfD//
GO_0006004_6	prfB//yihU//rpmE//sdhB//mraZ//xapA//
GO_0006006_6	cadC//rlmL//yoaA//fabG//bcsA//nuoE//nimR//glk//fixB//pepB//glsA//pdxA//ygaV//tdcB//lysA//proC//fecA//prfA//ftsN//purC//yjbG//yqaB//chiP//
GO_0006007_7	yajL//dppD//yeiE//
GO_0006011_5	araB//
GO_0006012_6	yrfG//nudB//hpf//narW//dapF//hemG//glk//hokB//arnB//
GO_0006013_6	yhdW//gmk//
GO_0006014_6	ibsE//ydjK//puuA//
GO_0006015_7	sfsB//moeB//
GO_0006020_5	cysD//
GO_0006022_5	sad//yihL//birA//rmf//hflX//artI//glsB//nikC//rssA//fruK//bamC//ftsE//bamD//uvrC//ydcP//mngR//insB-2//bcr//eutD//curA//hprR//nmpC//hiuH//entA//astB//frdD//clpX//gshB//ychO//dsdX//torY//gmk//mdtN//epmB//hflD//nadA//exuT//yceO//leuA//yhaM//dppA//yadI//frvR//potA//fkpA//eutR//rhsD//gpmM//galM//ybiI//nirD//yihO//hprS//bacA//rzpR//tig//hupA//pppA//deoD//rsfS//narH//gfcE//bioF//
GO_0006023_6	dcm//mltC//mqsR//iclR//argI//proA//trmH//yehB//agp//ilvE//cueO//mdfA//mdtE//ibsA//glsA1//comR//pdeF//pheT//proA//caiB//ygeX//dbpA//mnmC//cysZ//znuA//xylF//greA//cspG//wecA//tauC//roxA//yjiR//mepS//narP//wrbA//menI//fruK//dcd//glsA2//
GO_0006024_7	holA//eptC//mdfA//torS//pepB//proP//ygbI//yqeF//elaD//cdaR//rplS//syd//lgoR//aroD//rnc//uspF//hipA//metB//ybiS//htpG//yiaL//ycjU//ydeI//yciA//rplF//wza//ibpA//rodZ//dinI//casE//ygeR//yfbU//sulA//idi//yeeL//fliZ//recN//rpmG//tyrS//
GO_0006026_6	rutR//hypA//dnaE//pheA//phnK//fic//malP//fdnI//nmpC//yqhD//
GO_0006027_7	minE//secA//otsA//kgtP//hemE//opgB//hyaC//nudF//acpS//nuoE//
GO_0006040_5	feaR//nlpE//lpxK//sapA//hypT//yidC//mlaE//cysU//pykA//hyaB//iraM//tldD//paaC//wecB//cra//gpmM//yjhC//
GO_0006044_7	bioD//prpC//glnD//nrdG//dgcQ//
GO_0006046_8	cusC//tnaB//ynfH//nrfB//
GO_0006047_5	idnO//nanE//fdx//rutF//bcsQ//yidR//uvrB//
GO_0006048_6	ihfB//fepC//ddlA//exbB//tatA//ydeI//
GO_0006050_6	alpA//
GO_0006051_7	torZ//
GO_0006053_8	folP//
GO_0006054_6	cysZ//livG//cysD//scpB//yafC//ldrA//opgG//
GO_0006056_6	ycdX//
GO_0006057_7	sdhD//
GO_0006059_6	ybcJ//intQ//tnaB//purA//
GO_0006060_7	treB//
GO_0006062_8	xanP//
GO_0006063_5	dgcN//uhpC//gatA//ybiT//mmuP//rhaM//glpF//alsC//waaZ//
GO_0006064_6	gcvH//rbsC//ydiF//paaH//trxC//frwD//
GO_0006066_4	nupC//macB//rof//rfaD//ftsZ//tamB//lipB//csgD//modB//wcaB//flgI//appB//yddL//yjbE//yajL//groS//panE//norV//rpsS//yidC//ftsH//pgpA//murD//ybiI//pppA//sdiA//yehY//atpC//galP//yaiV//sgbH//thrC//
GO_0006067_6	moeB//uhpA//flhC//
GO_0006071_6	sufS//mdfA//acpS//rlmL//gluQ//cobC//gatY//
GO_0006072_6	alsE//nfuA//thiH//ariR//paaF//
GO_0006073_6	cydA//mdtC//argF//rutF//narJ//agaS//mazF//evgS//rseB//rcsC//abgB//rhlB//pth//secA//ydhK//sapF//waaQ//ytfP//ygfA//frmA//
GO_0006081_4	oppC//dgcQ//kdgT//bsmA//allS//lexA//lptE//ybgI//cydC//arfA//folM//fixC//comR//tsr//ftnB//pgpB//hisA//cas1//hofQ//yciE//mscL//sbp//rutC//waaS//frvB//parE//rpsP//lpd//ycbV//ugpE//ccmH//sspA//cysS//hprR//ycdX//yagJ//ptrA//murA//yqaE//dacC//pphA//fes//moeB//tus//leuD//holD//kilR//tyrA//arcC//rpmB//baeR//fixB//fsr//gnsB//frmA//ugpE//proB//uspB//alaC//ydeT//acrZ//bglX//ypjD//udp//sgcR//hemH//waaA//
GO_0006082_4	mngB//envC//mngB//iclR//rpsB//recF//rimP//sgbU//dgoA//rcsC//ynjA//acrD//bglH//hldE//mnaT//acpS//paaJ//queC//yhcH//dkgA//ybgP//rfbX//lldD//maeA//yijE//parE//yaaU//hybA//cbrA//mnmA//insA-1//phoA//evgA//shiA//ygfZ//yijE//paaC//tdcF//cysA//mdoD//rdgC//nrdI//sugE//hldE//potI//prpR//cysC//speF//yhjC//ligB//bamE//puuE//frlB//pbpC//yajQ//yfiC//dmsA//dhaM//treF//potD//glnP//ybiW//hypC//metN//mlaE//gph//uxaC//gcvA//ratA//rcsD//menB//cas1//pgi//yraN//aroD//rutA//kbp//hypF//ulaC//potE//acrE//rpsM//tdcD//dctR//rssB//hscC//flgJ//sdhB//ykgF//gltB//msrC//entD//yqcG//lon//oppB//arsB//rzpD//yidZ//yibF//flgF//kdpE//fliZ//ygeW//rhmD//dcuC//hicA//rpsL//ptrA//macB//truA//sulA//tsx//dcuB//ydfH//yggD//cmoB//argB//alsK//rutG//selD//sdhE//mepM//secY//eptB//dgoT//lepA//hslR//hyaB//yceK//accD//sodA//pyrD//hybB//degS//pheS//sbp//exoX//ybjI//trxC//yfaL//lpxL//ygeW//envY//hupA//kdgK//ppx//fadH//betI//pepB//fabR//yjhB//accB//tig//guaC//lsrB//hyfR//gadW//arsB//speD//sspB//ydcP//eamA//yjeI//mug//moaA//uhpB//cutC//yjiA//lsrB//yqaE//fsr//hybC//nimR//rsmA//dsbC//maoP//metB//crl//hinT//mmuM//insI-1//lpxB//agaD//frr//ydfG//gspF//rhtB//pepA//mutL//acnA//metG//ydcO//yidQ//rhaM//ydeI//yhaC//yphD//rfbC//rpsG//yghU//xylR//cas3//mtgA//xisE//elfG//queC//cyaY//setB//bepA//mdtN//glsA//parC//dnaA//proW//ilvD//creB//cobU//dacA//yihU//glpK//rne//dinG//garD//artM//prfC//uxuR//cysB//pgaB//rfbB//mutT//priA//glpG//cheR//hslO//dctA//rlmM//sucB//rhmR//apaH//tdcC//lpoA//fdnH//agaS//ycgB//gspJ//yphF//wrbA//rfbC//phnG//purA//ygaV//xseB//nrfE//yehW//rusA//pdxB//mreB//glsA//yqiJ//ydaV//oppB//nimR//opgE//exbB//hybC//pckA//gcvH//alr//mntP//pdxJ//pdeK//ykgO//malK//dgcM//ldrA//yeaK//insA-1//hisP//fliS//trpS//araA//yqiJ//ydfG//dtpC//eptB//gppA//galE//ybhS//rnhA//rlmB//ompC//paaD//dtpD//mntS//rplX//hemE//trmA//lepA//rclB//eamA//casA//yqaB//pdxH//casE//sucC//pgaB//lplT//carA//bioB//guaD//ybiS//hcaB//kefF//ghoS//ydjM//menF//deoC//thrA//yojI//ribD//narQ//yoaA//queC//erfK//essD//fimI//uhpC//smrA//trkA//insB-2//epmC//uvrD//ppiA//lacY//pnp//tusD//cyaY//wbbK//nuoM//kdsB//crcB//katE//lit//pphB//ykgM//atoB//ftsZ//pyrD//melR//yebK//gltP//sapD//dkgA//ydgA//cusR//hdeD//yhhZ//cobB//pitA//iraD//artM//nanE//rfbB//rpsH//ygaV//yfjR//yfbS//yadM//rplQ//agaB//frmB//fecD//yobF//dnaE//ogrK//murE//hmp//acs//yadG//fryC//rutA//hemE//aldB//dsbB//hflX//mdtA//rplA//cpdB//relB//yihW//mazF//secY//degP//yejF//yjiA//cspC//pphB//fadH//ynfK//ychO//cysP//yegD//uspE//rsgA//higA//blc//gcl//yhjA//narV//ybjD//ybcC//opgC//yodD//basS//kdsC//cspD//mhpT//gmhB//atoB//trpGD//gspE//ydcI//ybjD//yhjG//fcl//yebS//dcuC//ptsG//ynjA//rimP//rsmC//dapB//frdA//sgcE//allB//tusD//ydhC//emrY//insB-2//ppiA//ccmF//trmL//rpsI//ykgM//fhuB//nanA//dnaG//ulaE//garD//xisR//yhfS//rimP//ybdM//zipA//hemD//ybbN//rtcR//tamB//ybiW//cydA//
GO_0006083_6	lacI//frwC//phnJ//pldB//rplB//rimM//
GO_0006084_6	murG//mug//
GO_0006085_7	hemD//queF//
GO_0006086_8	cysP//
GO_0006089_5	hemH//ggt//nrfD//dmsC//trmH//opgB//yjbG//yjbG//yjcE//eptB//rpsR//apt//hisI//mlaF//rpoS//glgA//leuO//poxB//dhaK//ndk//dnaC//srlA//yeaV//gapC//rlmA//paaB//tolC//dtd//wecE//
GO_0006090_8	cysI//thrS//yddM//blc//yecS//tolC//mdtB//murF//proS//rdgC//kdpA//ligA//fabZ//yhgF//ydaV//mdtM//yehT//csdA//malI//gph//paaF//ybdO//vsr//hisD//yqgB//pphA//rpmF//proV//tcdA//mrcA//hcp//
GO_0006091_4	oxyR//etp//priA//yfcS//bcr//waaQ//dacC//yciV//pspA//gspJ//abpB//mhpT//leuE//cedA//eutK//hisM//nudG//gatY//avtA//ptsG//add//ybjN//cynS//sufC//secF//aes//yaaU//ibsC//rarD//lapB//macA//mepM//asnS//gltK//frwD//dusB//wecC//yidQ//cysB//yiaJ//galS//yqeA//mnmE//mdtI//xanP//rssB//leuB//tsgA//ompW//ybaM//lysO//fepG//ycaN//atpG//viaA//narW//pinR//prkB//arnB//hyaD//actP//rpiR//cusF//lsrB//ybbN//yqaE//phoA//fhlA//astC//rraB//yfcR//dnaN//rof//nikA//ybjI//kbaZ//pflA//mscS//rsmD//yfgI//yfcF//ttdR//rcnR//gloB//rfaE//yddG//yeiL//tatE//menC//queF//xylF//lexA//ghoS//yeiE//cheA//purC//ushA//rna//hemH//fdrA//nei//ruvB//rhaR//insF-1//rutA//yqjI//nrdE//ibpA//queC//ynjD//ribF//yagU//
GO_0006094_7	sfsB//dppB//ynbC//rfbC//kduD//fepG//plsC//secY//putA//nrfA//
GO_0006096_6	glnD//ftsZ//pnuC//chpS//mscS//fadI//envC//alaE//hflK//yebK//rpoD//dgcZ//uxaA//alaA//pcm//abgR//ampE//gadA//
GO_0006097_5	mrr//cspA//erpA//ybjC//bdcR//
GO_0006098_6	appA//allB//fixA//degS//dtpB//
GO_0006099_4	acpH//tehB//rnlA//bioD//garD//msrQ//aidB//ydiQ//proQ//ilvB//lsrG//nagC//dppF//aroA//potC//proS//surE//
GO_0006101_6	ilvM//tar//cydC//yfdS//frc//bamC//ftsH//pck//prpC//flgF//yahF//uxaA//rluB//cpsB//wcaJ//potG//mdtA//
GO_0006103_5	dppD//wzyE//ydaV//
GO_0006104_6	glnA//glvB//slyD//
GO_0006105_5	priC//rsmF//ytfT//pgrR//fepB//yfcU//ydcM//panZ//
GO_0006106_8	tsr//
GO_0006107_8	ybcL//
GO_0006108_8	amiA//yfjR//carA//arfA//tehB//
GO_0006109_6	gshA//yddL//sucC//rhlE//nlpE//rutB//nanR//secG//nupC//
GO_0006112_5	hipB//rsmC//tolA//rbsA//nanC//yifB//yphF//emrY//
GO_0006113_5	nikD//ybjX//ubiC//ftsB//yneJ//tusB//cbrA//tsaD//cpxR//sdhE//mfd//cydD//zwf//
GO_0006115_6	dgcN//
GO_0006117_5	ydgA//
GO_0006124_6	insH-5//
