#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lolD//fumB//chbC//sgcX//
GO_0000910_4	pgl//manY//yidC//arnT//cmoA//fdhF//rpmJ//yhcH//ubiE//qseC//yhcD//hisI//fiu//chpB//ytfR//tyrR//proB//ubiB//
GO_0000917_6	ybaK//amyA//ygiS//rihC//oppC//
GO_0000918_6	nlpI//hcp//yihS//srlA//
GO_0000920_3	cmtA//mnmG//wzc//sufS//fadD//
GO_0000921_6	mepS//
GO_0000966_8	pmbA//narG//fmt//pspA//
GO_0000967_10	ychF//rhaR//hcaT//
GO_0001101_4	cheR//artM//yaiV//nupG//mtlA//dacA//insI-1//mntP//xylE//dpiA//cca//pyrH//hypC//emrY//iraM//yihO//lepA//ileS//uidC//waaO//pyrD//rpiB//adeP//sfmC//ynaE//mutH//
GO_0001121_7	glcB//mrdB//
GO_0001123_8	mdoG//
GO_0001124_8	cysH//
GO_0001407_7	glnH//cysH//bioC//dgoK//
GO_0001505_4	lpcA//fdx//mngR//yidL//yihS//menC//gudP//murP//folA//aroE//uxaB//yraN//tauB//yeeJ//lit//aroG//
GO_0001510_5	nrfD//trmI//moaB//agaD//pckA//atpF//gpp//cyoB//ybiT//lpoB//ahpC//tolB//nrdD//insI3//rsmH//appA//ppiD//cysK//rutR//phoR//patA//pal//entA//tauC//yoeE//degS//trmB//ada//thiM//guaB//mraY//roxA//qseC//ftp//ydeE//recA//mdtK//hybF//tnaC//rfaC//
GO_0001514_8	casD//
GO_0001522_7	pnuC//ytfP//nrdD//ratA//envZ//paaX//lpoB//sgrR//mntR//leuA//tnaB//tnaB//pldB//
GO_0001539_4	insB-4//lolB//yjjW//edd//mcbA//hycH//elaA//ydcR//yidE//tesB//dapB//ytfP//cdgI//glmM//amiB//lldR//putA//uvrC//lsrK//bhsA//mhpC//groL//scpB//wecA//ybcQ//aidB//def//glyS//yfgI//holA//oppD//
GO_0001558_5	gsiB//cdh//cusR//ruvC//glxK//ydiZ//pphB//sbmC//
GO_0001561_6	bdcA//
GO_0001666_4	rcnA//
GO_0001676_6	ldhA//higB//dcuA//
GO_0001680_11	ydbD//
GO_0001682_11	nadE//
GO_0001731_7	ybiT//
GO_0001762_6	nikA//
GO_0001887_4	gltX//bssS//ynhG//
GO_0001896_5	ugpA//wecA//lapA//rlmB//
GO_0001907_5	elbB//yjjU//edd//topAI//
GO_0001932_8	deaD//murJ//
GO_0001934_9	holC//
GO_0002047_6	murI//pta//
GO_0002097_8	queD//yjgX//sstT//fimB//fucP//yedL//dsdC//flgD//yijE//lysO//ytfR//rlmG//dapF//hybF//yahD//yobF//manX//adeP//ghoS//
GO_0002098_9	yjiR//frvA//yiiE//tufB//metQ//rpnC//sdaC//rffM//pstA//yrdA//fimH//hcaT//ybhA//
GO_0002099_9	fimA//hisC//
GO_0002100_9	glsA1//
GO_0002101_9	mcbR//yciA//
GO_0002128_7	ptsP//flgC//rpsI//aspA//
GO_0002130_8	agaS//
GO_0002131_9	zraS//
GO_0002132_9	rpmJ//
GO_0002136_10	pgi//
GO_0002143_9	fadE//malQ//tsaD//cspG//mdtN//tdcG//
GO_0002181_7	copA//yehP//
GO_0002183_5	entF//
GO_0002184_8	pppA//
GO_0002188_6	obgE//
GO_0002190_6	hdeA//
GO_0002192_8	dxs//
GO_0002252_3	yjjQ//dsdX//xapB//ydfD//ndk//potF//setA//dtpC//yjgX//entF//
GO_0002790_6	yoaB//prpR//nikE//tyrS//flgM//dcuS//folA//
GO_0002937_9	rseC//
GO_0002938_8	cyoA//
GO_0002939_7	rplE//
GO_0002943_8	ebgR//
GO_0002949_8	phoR//frmA//narV//orn//
GO_0003333_7	prs//bamD//metQ//hyaD//wcaB//ulaE//selD//waaO//yfdR//yfgJ//ompN//lolA//mmuM//yhdZ//yahD//sbp//tesB//dmlR//paaJ//fepG//pepN//yieE//gnd//nanK//agaI//rcnR//yfeW//tdcE//murC//yajL//pdeF//nadB//efeO//elfD//dgcZ//arnD//garD//mlaB//clsB//dinD//fadR//ppiD//nusG//mscK//hicB//eutD//dsbA//intQ//ybbY//
GO_0005975_4	hyfR//ibsD//yafC//ygeW//hyfA//ihfA//ivbL//hycB//rplD//lsrR//ilvA//menH//artJ//artI//rho//cspG//arcA//ptsH//yjbG//yhhY//yohC//baeS//ygdG//argO//yobF//pyrB//cysA//crl//fucK//glnE//rlmH//ispB//yfcV//rpsK//dinG//bioD//fimG//tap//alaE//tcyJ//lpxM//alsA//ydfK//dppD//nfuA//glcA//cadA//ybbY//sbmC//rluE//ldtD//emrD//rlmG//paaF//nfi//hybC//greB//clpX//entE//glpA//lptE//zapB//appC//phoU//yahI//gsiC//cynS//ssuB//csgF//ddpX//proX//nusA//gcvH//minC//dgt//caiB//xthA//gcd//nikC//zntR//gsiB//arfB//gutQ//wecB//ygiB//rfaG//ybcC//yihV//sthA//trpA//yjhI//erpA//ttdB//glnD//yhjD//pcm//gcl//dtd//yafC//hycI//dcuC//phoQ//eno//ompT//uraA//ribF//serC//matP//recF//yhcN//zupT//dgcZ//fliG//edd//putP//pdeF//ygfA//rsmG//sdhC//yqaB//yaaA//dcuS//menC//crp//mglC//ghxQ//nupG//rpiA//bepA//ypjD//accA//decR//nhaA//hisS//yagF//ygfA//copA//yagG//dmsC//fadE//clcA//yqeF//rhaR//yhcN//mutH//hns//yqaE//ygfZ//ydcZ//amiD//bluF//kbp//arfB//glxR//ldrB//proW//ispU//bamB//allC//queD//icd//ubiX//ybcF//yfhH//flgC//yhcF//ccmD//yiiM//ttdB//arsC//scpB//mdoG//dcuR//blr//fadB//citG//cecR//yfiF//insF-1//trg//era//yjjU//truD//fliL//betT//mutT//manY//nfuA//sspA//srlB//mutM//lacY//entE//rnhA//hisQ//yqaA//hypB//ybiJ//potC//hyaD//phr//glnP//nimR//insH-5//rna//hmp//groS//msrC//aes//yjjI//cspC//yphC//fimA//araA//ybiS//csdE//exoX//groL//chbB//dsbG//menA//def//ilvH//atpB//orn//ffh//ispF//srmB//dsbA//intS//rlmA//aer//lptD//pdxH//hcaR//ygaZ//rpnD//valS//hslV//pykF//yjeH//yhaJ//tomB//secB//rhlB//ybjI//nuoE//phnI//manZ//kdgK//ugpE//yqaB//atpA//nrdH//
GO_0005976_5	entH//pykF//rcsB//ulaA//yehU//sufS//hypC//tdcF//tolB//hdhA//cyoD//ubiE//fliD//pyrL//fsr//moaE//yqaB//cspD//yggN//rclC//rsmI//lsrG//tatA//pheT//ssb//rpsP//pinQ//zwf//potE//uhpB//tatB//sapF//map//rpsG//ydjJ//ydhK//rdgC//ompR//narU//bioA//relA//kefF//rpsS//phoU//mdtG//ygeW//ghxP//yqhC//arnD//dsdX//flgE//leuO//yidD//pepN//gnsB//degS//cycA//rrrQ//glcE//
GO_0005977_6	ybdG//ccmG//deaD//thrC//hisH//elaD//bioC//melR//
GO_0005978_7	yiaJ//cyoB//nagK//bamC//
GO_0005979_8	panZ//
GO_0005980_7	fadL//rutD//tpx//
GO_0005981_7	mdtI//
GO_0005984_5	yjjQ//sapD//srkA//artQ//tehA//yfhH//ygiS//sufE//csgG//crcB//srlD//
GO_0005985_6	puuR//
GO_0005986_7	fimI//
GO_0005988_6	ssuC//frr//
GO_0005990_7	rsmD//nanR//
GO_0005991_6	mscS//prfC//sbcC//yabI//pinE//
GO_0005992_7	yidA//bioH//
GO_0005993_7	flgJ//ftsL//yagE//
GO_0005994_6	arnE//
GO_0005995_7	garP//
GO_0005996_4	tehB//acrZ//dedD//ybcC//eptC//rcsD//recF//cdaR//ybcL//ybgI//yieL//ydiF//ansB//thiC//ascF//hfq//bcsQ//bglX//evgA//rpmG//bioD1//rihC//fruK//umpG//etp//cbtA//deoD//borD//rimJ//rpsN//glsB//iscR//hinT//gloB//yjiQ//hisS//metG//fadA//dbpA//yedP//murE//hokB//rplK//mreC//dapB//zapC//yehU//dgt//modC//znuC//hokE//truB//ubiJ//hisC//mglB//mioC//ffh//paaE//dcm//gntK//rcsC//marA//ymdB//rpoH//yhaJ//malQ//tufA//kdpE//accB//proQ//yebG//folA//hdfR//yfcG//ydhC//dcyD//rutC//yhgF//lptC//phnK//ade//ydaV//
GO_0005997_6	rpsH//
GO_0005998_7	ade//
GO_0006000_6	argP//insH-6//dacD//
GO_0006001_7	cpsB//yebG//
GO_0006002_5	fucK//mdtQ//miaB//
GO_0006004_6	ytfT//sapF//waaA//pheM//tdcE//fdnI//
GO_0006006_6	fur//gppA//phoQ//recB//accB//wzzE//phnC//rhmD//yijO//yafS//fucI//abgR//yaiV//yraN//btuE//sfsB//rep//rpe//arsC//sdaB//rffG//fimI//insI1//
GO_0006007_7	rpnD//udk//yraK//
GO_0006011_5	topA//
GO_0006012_6	coaA//rcsB//yraR//yjjI//cyoC//narG//yjjQ//yiaJ//cysI//
GO_0006013_6	ccmG//dsbB//
GO_0006014_6	lysS//frmB//polB//
GO_0006015_7	yedP//puuE//
GO_0006020_5	ilvE//
GO_0006022_5	sgbU//dcuC//galP//gudD//ftnB//frvR//hflC//psd//yciA//pgaA//rfe//citT//ybaO//yeiE//hcaC//speD//casB//ibsE//melA//mglB//mreC//ldtE//kbaY//ynfH//ccmH//rbn//mipA//nupG//yiaT//prpR//suhB//leuB//ydcM//mutH//psuG//dinB//paaH//malQ//lpxM//rzpR//manZ//tonB//pdxA//yjfP//csgF//dgcZ//narP//putP//mioC//tsf//mlaE//feoB//speB//npr//ilvH//ybdH//bolA//frvB//ahr//yafN//rcnR//ubiI//ymgA//
GO_0006023_6	fimD//yiaL//ttdB//rusA//mhpB//gltD//mntS//zinT//rlmC//yadK//uxaB//paaC//truA//lldD//alkA//comR//ibpA//mdtC//prfA//katG//efp//phoA//yoeB//ydeI//ribE//csgF//ydeT//yhgH//cptB//narQ//rrrD//garD//asnS//cpsB//accA//acrD//nuoG//murB//ybiW//
GO_0006024_7	yfaL//ydiF//cmtB//nrdI//mmuM//ackA//yjhH//acrD//hemD//rnhA//moaD//fdnG//yejF//glnH//purD//yaiV//gutM//proV//prfC//dtpC//frvA//menA//csiD//ampG//yfbV//era//xdhB//putP//ybcC//dicB//cdgI//acpH//glpG//gloA//fecD//trmI//hpf//dapD//ompG//
GO_0006026_6	shiA//sbcB//malZ//folE//speD//cspG//priA//alaS//yedL//nhaB//
GO_0006027_7	acrZ//ade//xisE//rimL//narX//rng//rnr//yciA//greA//insA-2//
GO_0006040_5	cydB//tatD//ycbX//srlE//dinI//glpB//rpoS//mutY//adk//yobA//mcrA//dicA//paaD//kdpE//rbsD//hdeA//psuT//
GO_0006044_7	phnI//potH//ftnB//xerD//ompL//
GO_0006046_8	yohC//csrA//puuC//yedX//
GO_0006047_5	bglA//acrE//glnA//narL//cspC//trmD//acnB//
GO_0006048_6	argF//ybeQ//dmsB//rpmC//gsiB//gatZ//
GO_0006050_6	murJ//
GO_0006051_7	asd//
GO_0006053_8	bglA//
GO_0006054_6	ecpR//rplR//yehB//ydeE//casC//entS//cpoB//
GO_0006056_6	dapF//
GO_0006057_7	gltX//
GO_0006059_6	tehB//fecD//dgoT//ldhA//
GO_0006060_7	glnQ//
GO_0006062_8	rcnR//
GO_0006063_5	ytfR//brnQ//yiaM//gltB//ibsD//coaD//mtr//recA//tbpA//
GO_0006064_6	mscM//dtpC//clpB//lepA//acrF//yhfS//
GO_0006066_4	rlmI//prfB//proP//yqeA//aaeB//yehC//rmuC//casD//recQ//queE//ydcM//betT//ybeY//dtpA//arnF//hycH//emrD//pdxY//csiD//oppF//xylG//tyrB//cysK//dhaM//wzzE//yjhC//ldrD//frdD//aspA//astC//ttdT//yegT//
GO_0006067_6	yhbY//mltB//hprR//
GO_0006071_6	mltC//araD//agaD//leuC//yebC//bglA//yfcQ//
GO_0006072_6	elaA//aroD//uvrB//erpA//csgD//
GO_0006073_6	bamA//pgaC//rnlA//ykfI//mtnN//gmd//brnQ//ybaQ//dtpB//trpA//mqsR//ugpE//ldtD//thiH//frwD//mdtM//nadE//rsmD//ypdA//alsE//
GO_0006081_4	ftsN//yneJ//tdcB//mrr//aqpZ//pphA//rpsD//ampH//ygfX//ygaH//betI//lpp//pheM//treF//dgoR//osmF//hsrA//sdhA//narX//tauD//lpoA//csgA//yehP//slyA//lptE//hypF//ygeR//yiiD//rutF//hcp//yhaJ//lptF//ybgQ//narH//feoA//araE//argO//trmL//rluF//yedA//csiD//csgG//ihfA//puuP//iraD//entA//cpdB//rpsL//ydiK//yjaZ//ffh//ansA//malK//puuP//frdD//mdtE//fhlA//dsbC//fruB//fdx//ynfK//malF//tufB//ydcI//trmL//hypA//rbsB//
GO_0006082_4	npr//cca//mscL//dppD//yeiG//mdtO//yebZ//bglA//speD//torY//btuF//rnlB//epmB//hemF//aroH//entH//rutE//rpsK//nikD//ydiR//lipA//dapF//rlmA//iscU//alpA//wecE//osmE//rppH//elfC//lolE//uidC//yghW//dacC//paaZ//ddlB//acrB//kup//ytfT//narV//cobU//yehP//manZ//yfdK//fruK//lacI//rimI//nmpC//yohC//yidC//dicA//sgbH//degQ//ydiB//thiM//yfeO//torA//mutH//ytfP//iraP//yfbS//metH//yggT//nudG//slyA//puuP//slmA//elfD//clsC//sbcB//rfaE//ypdB//galE//sad//tusD//ilvL//yaiW//nrdH//metE//agaB//glgA//ispA//serB//lldD//perR//ytfE//dacD//wzzE//holE//gpt//cpdB//araD//acpP//ppk//ilvL//mdtB//hisF//ybhI//cbrC//tyrR//matP//proX//solA//osmE//tadA//lolA//rffC//clpA//grcA//nikE//ygeA//zapE//pyrC//rusA//gadE//pgi//ydgA//mdtI//yhaO//ompG//modB//cysH//ltaE//bioH//gmk//ebgR//dapB//ilvA//yadV//arfB//ycbB//thiD//glvB//rplK//argO//proV//mgsA//torS//intQ//btuD//mrcA//yfhM//copA//betT//djlC//malS//hupB//yhdX//mrcA//kdsA//iscS//yrdA//gcd//ispU//nirD//dgoA//frlC//trg//leuA//sstT//cadC//yhcN//efp//cvrA//ybiT//kdsC//astC//ldcC//yqiI//ypdB//sgcX//hyfA//umpH//tpx//allC//hmp//cobS//ykgM//narU//yfcG//dsdX//dkgA//nirC//frmB//yebQ//idnT//murB//rplS//yfbR//arsC//yggD//rnr//metF//ldcC//baeR//yebC//ycjW//bioD2//yfcV//rsfS//yejE//treR//frdC//ytfQ//nuoB//ulaD//rpiR//yoaA//slmA//ldhA//trpE//ccmH//iraP//waaO//frdC//rplF//ykgO//holD//insI-1//etk//lepB//holE//sapA//yieE//pyrG//hslO//hemG//hycI//frc//ilvD//crl//ssuA//kdpF//garK//bioA//mltB//tmcA//cdgI//macB//ybgI//glgB//yfdG//yihX//tdh//deoC//dam//leuA//kilR//lsrC//dgoK//ycaO//pnuC//msrC//dsbG//rfaF//ydcS//eptB//kefG//ycjQ//chbA//ydeP//mlaF//rpe//rsmG//ygfX//prs//rzoD//yedA//ydcO//lptB//cysC//mliC//rimO//prmB//araH//rcnB//hflK//hrpA//ubiJ//gntR//ppc//cpdB//xapB//carA//leuA//fabA//aspA//pdeH//spoT//puuR//sufD//yceK//rpsQ//hipA//dgkA//rnhA//mdoD//narK//lpoB//yeeA//fepD//glnP//glpD//rbn//endA//hofM//sfmC//mliC//ybaK//ydiK//yccA//iscA//asnA//fliM//glrK//rhaD//yggW//bamC//yoaB//zur//tusA//aphA//hcaF//treA//proW//btuB//cspI//uidA//argA//rfaB//cheB//rayT//minD//yhjD//menA//pspA//ispH//abpB//adeD//garP//ygiS//tdcF//yjiA//casE//dgcM//bglX//holC//appY//cycA//dnaB//rpsJ//thrB//arcC//gdhA//rlmI//yfcA//gudX//atpB//kbaZ//murD//thiC//asnS//ypdI//panC//hofN//livF//rutD//rpsH//hcaB//cyoD//envR//yggX//thiE//clpP//mhpT//rpmE//rimL//nupG//glpX//tdcG//yegV//ydcT//rlmM//rpsO//zapE//proW//ugd//arfB//tusD//tyrB//yqiG//cydD//ycjR//mdoG//ygfZ//hybF//nikB//tesB//gltI//mscM//hofO//yfiE//cvrA//cdh//yeiL//deoC//hisS//manX//trg//hmp//epmC//recD//gnd//phnL//bglA//mnmC//ribA//cspI//yfhM//garR//recX//pppA//serA//hybD//ldcA//gcvH//yceO//glgA//dtd//ftsN//ypdC//yhfS//ybdM//rfaC//phr//ilvE//bioB//rbfA//garK//yhbQ//gntP//proV//cynX//pspG//mglC//fliT//yajO//ychO//mnmE//thiH//prkB//ispH//hcaT//coaA//xylR//yhjX//tdcB//pspA//ynaI//nuoF//ydcZ//
GO_0006083_6	speE//ybiO//feaR//yebQ//nanA//atpC//
GO_0006084_6	ansB//ccmD//
GO_0006085_7	yghW//frdC//
GO_0006086_8	yaaJ//
GO_0006089_5	yihP//ttdA//tauC//msrB//ycgB//aceB//yebS//srlD//yccA//pepT//metH//fabH//purF//rluA//ygiB//ompC//ydiZ//secE//ispB//dsbC//ycbX//modB//fiu//cspI//envC//xapR//yhbS//glxR//plsC//
GO_0006090_8	yojI//fimI//ilvM//glmS//pfkB//gudP//thiQ//rpsI//dapD//flgF//rsmB//insK//phnN//ftsA//purC//ygeV//lpxH//bglH//ugpA//mtnN//yqiG//rne//rhmD//flhE//mdtM//yahN//yfaL//frdD//nadB//clcB//mrp//
GO_0006091_4	soxS//fepG//pykA//argB//clsA//waaJ//deaD//paaF//mukB//gatB//yebQ//hinT//hflX//glxR//yggP//pdeH//yccX//yfbV//cutC//uxuB//ybiI//rhmD//rsmG//purD//mog//gyrA//aroL//hdeB//topAI//gpmA//sgcR//rof//pal//kch//ackA//rluD//rep//ymgC//fabG//bipA//nikR//ydiR//cynT//yjgX//fepC//potA//abpA//yghW//ybcQ//yqiG//abgR//hisG//yggN//lspA//yggX//serB//mtgA//ttdA//topAI//feoA//hyfR//yiaL//soxS//murA//narV//eutK//yjiX//cusA//pyrD//yciK//ssuA//ivy//yfiE//pgm//rph//ptsP//zapB//abgR//yaaA//bcp//ttcA//torI//yfbU//rpnD//fdhD//infB//ssuC//zitB//nuoE//rsmC//srlD//bioA//tsaC//wecE//yaiW//cysC//hflK//fruB//pgpC//nanA//rbbA//fetA//zraR//mpaA//lpxM//envY//bepA//cydB//ynfE//nrfG//hcp//rseB//
GO_0006094_7	yihO//eutR//sugE//cyaY//nsrR//yegT//pfkB//infC//npr//fryC//
GO_0006096_6	focB//lsrK//dicA//insI3//yfdG//yagI//yjiM//tdcC//rsmD//wza//dtpB//ygiS//prs//otsA//kduD//mntS//truA//yqeG//
GO_0006097_5	fdoH//copA//aceK//sfmH//glcB//
GO_0006098_6	pdeR//nadA//tmk//bacA//napF//
GO_0006099_4	glmU//yagE//trxA//ada//dsbA//prs//cvpA//ompG//yfdO//rplB//abgT//fadI//gcvR//dapB//mraZ//ybdH//mlaC//
GO_0006101_6	kbp//rplD//ymfK//ypdB//metL//tadA//entD//kdsB//truC//ldcC//rffC//garD//fpr//aqpZ//amiD//agaV//nuoG//
GO_0006103_5	exoX//pinQ//tatA//
GO_0006104_6	yhaO//rimI//leuE//
GO_0006105_5	sdhC//ruvA//pdxK//amiD//trmA//xylA//purU//tag//
GO_0006106_8	mltA//
GO_0006107_8	rpmE//
GO_0006108_8	ubiB//yjbG//lysU//cca//lyxK//
GO_0006109_6	rbn//yhiM//malE//pspF//ygbI//argC//lgoT//lptE//waaH//
GO_0006112_5	yoaA//ycjD//pgpA//atoS//yfaX//fkpA//napC//glgC//
GO_0006113_5	lpoB//mhpT//kilR//ybjI//ycbV//nupX//ibsE//rplF//yidL//folE//narP//glgP//pepN//
GO_0006115_6	cheB//
GO_0006117_5	appB//
GO_0006124_6	dcuA//
