#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tesB//yoaA//iscA//mgrB//
GO_0000270_7	yfaE//epmC//lptC//feaR//dacA//fimE//tauB//modA//tabA//lpxT//dam//cpxP//trmA//mgtA//bamA//csdE//maoP//fumB//pgk//htpX//menC//glsB//betA//hcaB//yecS//lptD//apt//hpf//xerD//yefM//rfaC//arfB//dgcZ//flgC//rutA//mutS//insI-1//tesB//alkB//hslR//aroG//mhpR//ybaK//zntR//cusR//gadW//glvB//phnK//rdgC//dnaN//envR//dnaT//eutA//ompW//ycbB//nrdB//lysC//pgaB//fbp//gadA//ftsW//alaE//yabI//
GO_0000271_6	rof//yiiE//ade//lysA//evgS//hofQ//mhpA//flgJ//ybaT//pcnB//ydhC//yfdS//yghU//ybeF//csiD//trpC//smrA//znuA//murE//higA//alaS//rluD//ulaR//rfaH//holE//atpH//napC//dcuA//ycbV//nrfD//ybhD//bepA//dnaB//nanA//ybbN//mobA//kbaZ//sgcX//alr//csgA//rnlB//araF//recD//cbl//afuC//mpaA//intF//allR//trmO//nagZ//
GO_0000272_6	livK//syd//trpC//mtgA//malY//chpS//
GO_0000302_5	lgt//grpE//yqhC//ycjY//rlmM//yihW//hemD//sufS//glxK//atpB//ptrA//gsiC//nepI//hsdM//dld//wzc//yddA//tmcA//ydjM//yraH//yfdO//cysK//yahD//phoP//lptC//yibF//plaP//yhjA//lexA//yfgJ//rplF//
GO_0000303_6	yehB//rsfS//
GO_0000305_5	waaQ//holB//malS//
GO_0000372_11	fimF//
GO_0000375_9	nfi//
GO_0000376_10	mngR//
GO_0000413_9	allB//ybaE//infB//erfK//xapA//lacZ//rarA//relB//
GO_0000451_7	glpG//mlaC//mnmC//ftp//dapB//
GO_0000453_8	dtpA//allR//uvrY//yjbF//menH//
GO_0000455_9	rlmC//nudB//rffH//livH//phoE//rsmD//rusA//
GO_0000462_11	pck//dsbA//
GO_0000469_8	ybfA//
GO_0000470_10	dppB//
GO_0000478_9	fmt//
GO_0000715_6	phnO//
GO_0000716_7	prmC//
GO_0000724_8	grpE//
GO_0000725_7	fadL//ispG//yfbV//rplB//ygeX//astC//
GO_0000726_7	ybhP//
GO_0000731_7	purB//udp//yeaD//ftsK//mpaA//clpP//ytfP//
GO_0000737_7	intQ//
GO_0000738_7	bglA//ynfL//artM//
GO_0000746_4	tamB//
GO_0000820_7	cmoM//
GO_0000902_5	yejA//
GO_0000910_4	menD//tamA//malP//trpL//bglF//chbB//fepB//hcaR//yfcA//csgF//yhaV//ulaE//abgB//dppB//copA//pfkA//aroE//cynX//
GO_0000917_6	pepD//sbcD//tdcA//rsmB//agaR//
GO_0000918_6	yfcA//ralR//lsrG//nanK//
GO_0000920_3	rcsB//rbsB//chiP//mdtN//lptD//
GO_0000921_6	ugpA//
GO_0000966_8	galR//yacG//tilS//yraR//
GO_0000967_10	kdpD//yoeB//mrr//
GO_0001101_4	aaeA//ybiI//flgE//alsK//aroK//fadI//gltB//tmk//srlR//opgD//adiC//torY//csgG//rnr//ybcC//artI//cdd//murA//rplS//rclR//yrfG//malF//rpnB//rsmB//eutA//brnQ//
GO_0001121_7	yfhH//dacD//
GO_0001123_8	intE//
GO_0001124_8	rplM//
GO_0001407_7	ydcI//rfbC//livF//rnpA//
GO_0001505_4	artJ//chbF//trkG//sohB//nlpE//lldD//hslU//mdtI//chpB//sdhB//frdD//sfmH//sgbU//ptsH//insB-4//yrfG//
GO_0001510_5	aceF//elfC//ynjD//mhpC//rusA//rfbD//osmE//hslU//gabP//mscM//rsuA//ppx//glpD//kdsA//ydbD//wcaB//flgM//gyrB//gltL//argF//yidL//dppD//fmt//pflB//envZ//ynbB//tufB//acrE//osmE//elfC//rlmH//ssuA//ybjD//glvB//aceB//insF-1//apaH//proB//rplO//cbrC//
GO_0001514_8	yidZ//
GO_0001522_7	aer//tsgA//gluQ//murB//hyi//gapC//maoP//mltB//yjgX//ydiZ//yajO//rpiA//yfhH//
GO_0001539_4	cnu//ybhF//lon//rfaQ//gudX//mliC//yagE//prpD//glsA2//aslB//ugpC//glsA1//ygaZ//nudC//chaC//mioC//accC//yhhZ//epd//leuO//lldD//zitB//lpp//dnaK//sapA//yahB//ynfF//pabC//frmR//lpoA//rpsS//
GO_0001558_5	argO//pspG//panZ//pstA//nrfF//insI1//rpmH//rpsT//
GO_0001561_6	zapD//
GO_0001666_4	lptF//
GO_0001676_6	csgB//glgP//rnc//
GO_0001680_11	ygiN//
GO_0001682_11	mmuP//
GO_0001731_7	ycjW//
GO_0001762_6	marR//
GO_0001887_4	uidA//folX//rzoD//
GO_0001896_5	ydiQ//tatC//prpD//dsbG//
GO_0001907_5	malE//argO//ariR//betB//
GO_0001932_8	sbcC//ybgQ//
GO_0001934_9	yfdR//
GO_0002047_6	wcaJ//insI4//
GO_0002097_8	kdpB//rimJ//tdcD//hcaR//yahO//insH-5//rhaA//pabB//yacG//dsbD//ybeQ//cysN//priB//minD//nadD//hycI//greB//aldA//mdtP//
GO_0002098_9	yeiG//fadL//lacI//cysB//truC//zraS//yaaA//chaA//murQ//fruA//cmoB//yeaD//basR//
GO_0002099_9	yebG//hycH//
GO_0002100_9	fabA//
GO_0002101_9	fis//hofP//
GO_0002128_7	dsdX//purR//tusA//murR//
GO_0002130_8	uxuA//
GO_0002131_9	luxS//
GO_0002132_9	argK//
GO_0002136_10	talB//
GO_0002143_9	exbB//yafO//cobC//ydiO//sfmH//truD//
GO_0002181_7	speE//yidR//
GO_0002183_5	flhE//
GO_0002184_8	ydcM//
GO_0002188_6	guaA//
GO_0002190_6	hemA//
GO_0002192_8	cynX//
GO_0002252_3	ssb//cysS//gntU//narX//nagA//puuC//cyoB//aspS//cbl//yafE//
GO_0002790_6	thiH//eutB//accB//fliD//insI4//pgaA//rhsD//
GO_0002937_9	endA//
GO_0002938_8	tehB//
GO_0002939_7	bolA//
GO_0002943_8	rutD//
GO_0002949_8	slmA//rfbC//mrr//yidZ//
GO_0003333_7	yihQ//alsK//pstC//fadL//ldrB//rzoR//yidD//yeeA//dmlR//lldD//lysO//fucA//uspF//lysP//gor//livF//ybiI//yjhH//rmuC//atpH//glpR//potG//rseP//paoC//hrpA//topA//yfcQ//rzpD//gmhB//treA//flgH//prpB//motA//minE//ybdR//nanR//ybdO//xylB//cmtA//mraZ//dcuS//nikB//mrp//cheW//sucD//nlpE//yjjG//hslJ//ldcC//
GO_0005975_4	ssuC//dgoR//dmsC//pgpC//pldB//yibA//rbsA//ybiH//ibsD//mgrB//insI4//mdtK//pepT//rffM//uacT//flgG//potE//cvpA//glnS//alsA//cyoD//hisB//bioB//rcsF//flgF//atoB//ygiB//btuR//yacG//metN//ibsE//ybiO//bfr//wecE//sfmA//trmD//argP//ycbV//ybiT//umuD//sulA//cueO//barA//xerC//alsK//idi//alpA//mcrB//fadH//sodC//bglH//ydhJ//gntT//thrB//pgpA//cpxA//iclR//garD//avtA//ndk//nrdD//hemF//tqsA//nth//mrdB//ydcP//ftnB//cspC//purB//cyoA//surE//mioC//rpsJ//hdfR//mhpC//potA//bioP//rdgC//rpsI//yidK//glpG//yceO//ydjL//kdpB//selD//idi//rclA//leuS//pepB//fis//sfmA//hinT//nadB//hslO//dbpA//ybhD//srmB//trpD//ribC//mnmA//hofQ//ybiO//yjhP//garD//yfgO//symE//thiE//cyoB//acnA//argH//thiD//rfbD//dmsC//yibA//hofQ//uhpB//acrE//preT//glyS//ydcR//acrE//holA//kdpD//cca//asnC//phoQ//thrA//ynbB//argS//insA-1//rcdA//metE//rseC//ortT//hscC//citG//garD//fau//appC//phnL//cvrA//argK//lgoD//nirB//dnaT//nagE//nagA//yneE//fbaA//phnO//mltC//ompL//mutS//apt//pstC//glpD//manA//chiP//yhfS//pepN//rluF//bdcR//cbtA//fadE//malP//gudP//asnB//lapA//hycA//lsrD//dcuD//pheA//gshB//gspF//paaX//xisE//ygiB//bioB//clsA//ddpX//mrcA//nikD//yaaA//yfgO//nadE//dacB//ycjY//cho//flhD//fadR//rbbA//dmsB//ydiF//shoB//malF//potC//rffG//pppA//hflC//rbsR//lepA//mglB//tatD//pitA//ychH//xylH//yijE//ycdY//pth//nanR//rhaM//yciA//tolC//caiF//ftsL//idnK//rep//yieF//exbB//rna//mltA//rfaE//acrD//appC//ubiA//surA//guaD//yehA//yiaF//gspJ//dam//yidD//araC//uvrB//yqiG//arcB//eptB//yiiD//cysB//yahN//agaD//fadE//rcsC//yfcS//uxaB//eptA//hybG//lpp//fdoI//mnmC//nuoB//garD//entH//fic//
GO_0005976_5	yadN//rpsB//cvrA//melB//hslV//yoeB//frlC//yqiG//aer//bfr//aceF//ybcF//yjhG//eutA//gltS//ttdB//yeiG//rseB//hpt//yqeA//murE//dld//rna//vsr//ihfB//decR//fabR//hyaB//acpH//lsrC//hybC//cadA//livK//iaaA//ynbC//rcnR//rplC//rpsM//hiuH//pal//hisQ//hemC//soxR//nadA//dsdC//plaP//opgG//tdh//abgR//slyD//yfgI//ghoS//fadL//mog//nadB//phoE//argS//cycA//phoU//
GO_0005977_6	ybbY//dinJ//yjaZ//fliG//rspB//kdpC//idnT//lgoR//
GO_0005978_7	copA//ldtB//pdxH//ygeV//
GO_0005979_8	clsB//
GO_0005980_7	tusD//epmC//nadK//
GO_0005981_7	asr//
GO_0005984_5	fadH//glgB//yieF//hemG//rbsK//yadN//lptA//tdcF//rho//ykfM//fic//
GO_0005985_6	hypT//
GO_0005986_7	murI//
GO_0005988_6	fabI//ybiT//
GO_0005990_7	emrE//ybjG//
GO_0005991_6	truA//gcvH//mrr//nanS//sgcX//
GO_0005992_7	dcuA//argO//
GO_0005993_7	dapB//iscA//rpsK//
GO_0005994_6	ulaE//
GO_0005995_7	dhaR//
GO_0005996_4	phnG//lptF//sapF//rbsC//tolA//mntS//ridA//mcrB//ytfP//sbp//ompN//rsmF//sodC//yihR//yhcF//yebQ//ygbM//lasT//sxy//kdpB//potF//fcl//fryC//prs//csrD//dtpA//tadA//pdeH//ftsB//acrZ//yheT//pitA//aceA//moaA//tufB//polB//glcA//mreC//npr//decR//ampH//rdgB//yhgF//focB//wecA//lpd//cdgI//rhaS//cmk//yfiF//ydhC//gntR//menA//rlmE//fepC//gadA//kefG//thrB//ebgA//opgG//lepB//envZ//nei//aroB//rlmN//htpG//dppD//dpiA//wzzE//fliD//eutB//yadG//ygbM//fucP//bacA//ynhG//fes//ftsW//pyrL//hyaA//lysO//setC//
GO_0005997_6	uvrC//
GO_0005998_7	nagC//
GO_0006000_6	trkG//chbF//msrC//
GO_0006001_7	dctR//dusB//
GO_0006002_5	pabC//eutB//menD//
GO_0006004_6	mdtJ//mtgA//yejA//kdsC//uof//prmB//
GO_0006006_6	eutN//galM//hypD//murI//fruK//pgk//tyrS//cynX//fetB//nadD//fes//tig//ynhG//oppD//mtnN//eutN//glnQ//insI3//afuC//sapF//mhpB//ygaZ//upp//
GO_0006007_7	trkA//thrB//gspJ//
GO_0006011_5	cadC//
GO_0006012_6	leuB//hdeA//dcd//ldcA//xanQ//rpmE//sohB//nth//araB//
GO_0006013_6	rpsP//hexR//
GO_0006014_6	sugE//yigL//xseB//
GO_0006015_7	maa//thiH//
GO_0006020_5	nrdE//
GO_0006022_5	glvC//glnA//dsbD//yphF//topB//yfaU//valS//kefF//dnaC//ydbD//yjjG//rlmN//cas3//yfiE//trmD//nrfF//hisQ//rplM//dsbB//potG//ynbC//ftsN//modA//yebK//ggt//mrdB//potE//ogt//yqiG//ygiW//yagG//yebQ//pyrF//ymgC//ydcZ//yghO//parE//prlC//idnK//fepB//nadB//insI1//leuB//btuR//mlaE//phr//idnD//ybdG//pyrB//yqiG//emrK//vsr//gntU//dinB//ulaF//cysQ//nlpI//yjaA//nrfC//tadA//thiC//cutC//rtcB//
GO_0006023_6	kduI//cobU//znuA//eutK//livF//frc//rlmG//holE//satP//nrfC//tyrS//rlmD//fucI//hscC//bglH//bamB//nlpE//lsrD//ybcF//ycgR//mgtL//sppA//fdhE//pdeD//ytfR//gapA//purN//yahN//entC//sanA//manY//dgcZ//tpx//agaR//yijE//ybjX//fumA//hyfF//gspE//
GO_0006024_7	yfaV//cdgI//hslV//kbaY//intF//eptA//arcB//acpH//emrD//kbaZ//ycjR//nemA//sbcC//ydiV//malS//nrfA//narY//ldcC//gltK//yqgB//pbpC//topAI//yfdG//rsfS//ascB//flgB//rmuC//tufA//mdtQ//murD//fabD//slt//rpe//relE//sufD//dtpB//gapC//hyfF//fdoI//
GO_0006026_6	fabZ//yccS//hemG//udp//dhaL//roxA//mnmC//secB//sohB//yejF//
GO_0006027_7	gntR//aaeB//eno//waaF//ldhA//ribE//uxaA//lysA//pdxA//iaaA//
GO_0006040_5	relB//adeQ//dnaT//ligA//yraJ//gspF//rutC//nuoH//betB//torA//mcbR//rarD//mdtG//proQ//hyfF//lpp//rsmF//
GO_0006044_7	tufB//tisB//ynfF//cydB//gntP//
GO_0006046_8	ydjH//mgrB//bglH//yjtD//
GO_0006047_5	tdcB//lasT//hybA//bluR//trpD//dcuA//insH-6//
GO_0006048_6	tcyN//purF//napA//hisF//hlyE//agaS//
GO_0006050_6	parC//
GO_0006051_7	sufB//
GO_0006053_8	uvrY//
GO_0006054_6	cas1//opgD//yggX//rssA//gloA//basR//yghB//
GO_0006056_6	mrr//
GO_0006057_7	pgpC//
GO_0006059_6	ydbD//tdcR//galP//tonB//
GO_0006060_7	ygjR//
GO_0006062_8	hycB//
GO_0006063_5	ispG//rpe//paaJ//ygeR//mltA//yieK//abgR//yjcE//rssA//
GO_0006064_6	murP//hcaD//gutM//waaU//uidA//gcl//
GO_0006066_4	fhuC//leuO//ftsW//napA//manX//yqaE//trkA//mdh//aroK//ldtC//rimL//atoB//yraI//cynS//tdcF//ydcI//clsA//hybE//phr//bglF//sodA//dnaJ//katG//yobA//mngA//rutR//yciT//ghxP//uspE//ybdG//hyaB//ratA//
GO_0006067_6	cysM//yhbQ//yedP//
GO_0006071_6	rhaR//aroB//rsgA//mutS//rsgA//msrA//wcaB//
GO_0006072_6	map//glsB//eutK//nagB//ssuB//
GO_0006073_6	ldtB//ssb//hexR//mnmG//yojI//ydaC//yjiM//folE//ssuE//cysG//waaF//sbcB//glnE//hypA//ydjJ//tmcA//dhaM//glxR//gutM//rpoA//
GO_0006081_4	dauA//yedP//cspI//murD//ycgV//ycaN//uidA//nrfD//hybA//ypdF//cspC//glpT//ydjJ//yhaO//glsA2//yidH//xylB//menE//dcp//kdgT//flhD//lptD//copA//yghO//aspC//yihO//yafE//rffH//macA//fiu//fucP//macA//proC//uup//mcbA//adhE//fabZ//yciA//rimO//cadB//yejB//dgkA//frlR//ydjK//moeB//minE//parC//pdxH//parC//narQ//menE//envC//aroG//alsE//ftsN//fre//torA//sbp//narP//fdhD//fliT//topAI//frwC//lpxM//mntR//yjjW//satP//
GO_0006082_4	leuO//frdA//yjjU//crfC//yefM//mngA//rssA//fdnG//ydjK//ompC//priA//cmoA//tolB//ftsE//lgt//tus//uxaB//intF//ispU//pflA//phnC//flgD//tusC//rpnB//murF//frdD//moaB//lysC//serS//csgE//bamD//rpmB//hyfA//tyrR//hslV//kdgR//yedL//sbcD//napD//ybcQ//emrB//fliG//modA//hycB//glpA//nemA//asr//insI4//ldhA//ydjE//phnK//ynjD//yhaM//dnaQ//psuT//rnd//lptF//oppA//pflA//prfC//pdeL//plsC//yidZ//hslR//dgcE//nirB//minD//rna//waaG//yqjH//hyaA//rfbX//thiC//fadA//yhbY//ymjB//purU//greB//ppiD//ydcO//ynfF//yjjU//fimD//cutC//acrB//wrbA//iraD//ribB//tauB//yadV//rffC//tsgA//oppB//fhuF//lgt//rnhA//dcuS//dnaA//uvrD//nadD//hmp//frlR//tsx//allB//ivy//setA//arnA//sgcX//zapC//ycgV//dsbA//ulaE//aroG//xanQ//wzb//ynjD//yfcQ//fes//yoaA//rraA//aphA//modA//phoQ//speG//metB//betA//aroA//trmA//murB//flgJ//frdD//rhtA//nanA//mdtD//carA//nuoF//gltS//rimP//ptsG//alsE//entE//flhD//mltC//opgH//pepQ//acnB//yibH//cysS//menF//fliM//yeiE//araE//parC//purB//cspA//yfhH//dcyD//argC//cdd//iscX//etp//fdhD//cysN//ubiF//yfjR//xseB//cysK//dnaE//rhoL//dppB//mreB//cmoM//soxR//ypdA//narU//aceA//casA//atpH//yafO//ampD//epmB//ydcR//yjfF//manY//ydeO//rimI//aroB//yfdC//yajO//dinJ//yfiC//feoC//higA//ybbY//rhlE//rplM//yfeD//flgI//puuA//acs//ypdA//yhbX//ykgO//wecE//metE//sucB//oppA//hybO//ghoS//fucA//ftsA//amiD//tar//marA//gapA//panZ//pphB//flgJ//modA//ptsG//amiA//dgoA//yfcR//phnH//aspS//tolB//bcsQ//rutR//relA//trmL//symE//nudF//rluD//mdtA//intS//ompR//hypT//yqjH//narX//lpxP//mutM//yahB//eutR//argH//hyfR//csgF//gmhB//aqpZ//efp//alr//glnK//hemH//emrE//nhaB//arfB//recQ//guaC//ccmC//yjbH//pbpC//yjjG//pstB//nth//ihfA//btuF//yodD//cysH//feoC//dusB//aaeR//ispB//ribA//yagF//rlmA//flgH//maoP//secE//trg//sucD//eamB//kefG//deoR//manA//hscA//ycfL//flhE//yagI//ykgF//csgB//paaF//hscB//truD//yqcC//panD//alaA//nudC//yibT//yobF//etp//zapE//xdhB//sbmC//yhdX//queF//pagP//astB//metC//rep//dcuD//ymjB//ydjK//hscB//ydhJ//mraY//tdcD//gadB//hisG//hofO//metC//yqaB//rfaD//rplO//kduI//ulaE//nepI//guaC//ybiJ//ybiV//murR//serA//rsfS//yifB//sspA//yiiD//yciE//hybB//sohB//ppk//kch//prs//frsA//iap//fliM//tdcC//rna//exoX//acrZ//sfmH//mnmG//xseA//ycdY//ynfK//nikD//hypD//htrE//phnM//rffH//kdgR//yeeJ//bdcA//glpK//ulaR//pgm//rbsB//ygcW//fucA//chaC//ldtB//pepD//yeaE//rfbD//pfkA//epmC//rpiR//menB//lolC//csdA//kdsD//rbsA//gshB//rfaH//yraK//tatE//ytfT//mltF//mdtG//nrfE//frlR//ybhA//gspE//opgB//tsx//kduD//pgl//acnA//dosP//menH//panF//tatB//mreC//hsdM//ydeE//rpmB//rstB//fepB//hybG//dcm//trpS//patD//trpD//xylR//citX//pgpC//zapA//pgm//ldcA//rpsR//rtcB//rpsI//fdnG//yidD//cydD//yqeG//ttdA//flgE//ykgO//rseB//ibsD//yggN//lsrD//ybdH//ydjK//cobC//wzzE//bdm//kdpE//flgB//guaB//tusC//yjjI//acpP//lpxH//waaQ//lnt//secB//gcvA//acrA//gntK//bepA//nrdB//cspG//gyrB//uvrB//hycB//nirC//nth//hemC//ybbW//dinB//ycaO//
GO_0006083_6	yraR//rrrQ//hofM//lpxT//yfaX//pgpC//
GO_0006084_6	murP//smrA//
GO_0006085_7	rapA//tpx//
GO_0006086_8	ygiV//
GO_0006089_5	dinB//uhpT//caiT//ulaE//rpsT//yejE//rnr//trg//yajQ//norR//uvrB//manZ//flgJ//ybdG//apaH//truC//poxB//waaG//sgcB//dbpA//lacI//yejE//btuF//hypF//hybD//pdeH//uvrD//fimF//crfC//
GO_0006090_8	raiA//aroA//osmF//murR//zapD//aroH//rbsD//bioP//trpD//norW//ybdO//frvR//gltI//dacC//metL//ykfI//spy//ybdG//cytR//argA//insE-1//agaD//pepB//abgB//yhbQ//entH//yieF//sucB//hupB//cas3//sfmH//
GO_0006091_4	yraI//ybiV//glmS//zapC//djlC//glgA//hmp//cobB//lacZ//dsbC//nagZ//torY//sfsA//livJ//ssuD//obgE//ygfX//yebK//secY//ugpB//yidD//cytR//nrfE//ubiJ//yraI//fdnI//citG//ydaC//chbR//feoC//gatA//oppC//cheR//mdtF//aroF//ydiF//rpe//tdcE//holE//dgoR//argA//frvA//flgD//htrE//norW//thiH//gspF//pheA//acrZ//frlR//waaZ//manY//mlaD//aceB//hisP//fryB//murD//fdnG//pdeF//sohB//fliT//dsbG//paaH//holA//leuO//nrfD//endA//rpsB//sufB//prpD//napA//yajD//ygjK//pinE//napB//rhaT//rcsF//dtpA//phoA//ybaO//idnT//yebC//prlC//sdaB//mdlA//sodB//rpmB//ybaK//opgH//udk//ytfQ//fixC//yceO//ygcO//nmpC//trxA//atoS//tsgA//sbmC//ravA//hdeD//cobB//sgbE//ybhI//yiiD//mutY//psuT//fliS//soxR//mhpB//cpxP//gfcE//
GO_0006094_7	argP//ydeT//modA//lysU//fhuC//fdhF//dnaT//lpxK//nuoL//gspF//
GO_0006096_6	torZ//phnP//ygeA//ebgR//yebG//fabI//cpsB//trpB//mnmG//crfC//ydcP//ispB//yciA//exuT//araE//ycjW//gspF//argH//
GO_0006097_5	fruK//exbB//rutD//yhjV//yeaV//
GO_0006098_6	rclA//yhdJ//metR//chpB//hrpA//
GO_0006099_4	curA//purB//hisF//htpX//scpC//pflA//xylA//csrD//nuoE//rplL//nrdI//atpA//secA//skp//dppC//rayT//pdeF//
GO_0006101_6	folX//yiaO//fecA//rsgA//ompL//lpxB//pstB//gsiA//rplX//yaaJ//rrrQ//rluA//dcuS//fucK//rcsC//yccA//queF//
GO_0006103_5	yfdC//glvB//ispG//
GO_0006104_6	mraY//fliS//torC//
GO_0006105_5	yghG//hypA//yehZ//rspB//dcuB//epd//nadD//pdeK//
GO_0006106_8	slyA//
GO_0006107_8	yjiX//
GO_0006108_8	pyrG//hyaD//malE//hiuH//nhaB//
GO_0006109_6	infC//btuF//ycjU//sad//marA//rpnC//dnaE//yggF//lptD//
GO_0006112_5	yqhD//lacI//yhbO//ycbB//purT//yjiY//lpd//gsiB//
GO_0006113_5	pnuC//gcvH//yojI//ccmG//rcsF//phnL//orn//ycgV//cas1//bdm//yidR//crfC//rsmF//
GO_0006115_6	epd//
GO_0006117_5	fecA//
GO_0006124_6	mdtE//
