#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tusA//rsmJ//fixC//lptE//
GO_0005975_4	malE//yoeB//ynjA//livJ//narW//queC//ygjR//ilvN//potF//potI//glxK//ynfE//crp//cmk//yghO//hpf//pnuC//yqjI//pldB//sbcB//ydeT//fdoG//gpmM//insI1//yobF//lapA//ygfZ//nikA//yhfS//fimE//yibH//hycA//ispF//lyxK//yfcV//dps//alaE//garK//uvrA//cvrA//livH//allC//rppH//trpB//purN//cobC//rpsS//sufB//trmO//iscA//guaC//glmS//paaG//dauA//nanK//hyfC//lrhA//ushA//nuoN//yidD//yehP//tnaA//napF//prpB//dinD//cspI//rplL//yggW//lpoB//yraH//ndk//rpnA//narJ//yihV//sgrR//ompL//rfbC//metH//crl//phr//murB//prpB//perR//insA-2//hcaE//kdpC//hybA//yehA//yagF//mgsA//rluE//allC//sppA//mltA//aes//trmL//secM//yqgB//fadJ//araB//intZ//ygcO//phnL//murD//epmB//yegS//alsC//rsmD//yraJ//rep//lpoA//yfeW//minE//dtpA//hicA//potI//sdhE//rpoS//yqgF//ugd//nikR//fau//fdoI//dhaL//hupB//fadA//yfcF//glnE//dinB//pdxJ//bcr//phnG//torZ//trpD//aer//ilvB//pepB//dmlR//pdhR//uvrB//dgcJ//aceF//ppc//cueO//metE//cspE//pgsA//fdnI//lpxL//glyS//yfhM//creB//mgtL//yeeJ//ybjI//rluC//hrsA//opgB//nadA//atpD//sapD//tyrR//fecA//norV//mioC//hisA//rutF//purD//bsmA//add//rpoH//phoU//tar//hscA//yqhD//arnE//yjhG//asr//intF//pspD//ycgB//idnD//mntS//sxy//uvrD//yihI//uspE//rnr//leuC//nuoN//mntR//ghoS//rtcR//lpxL//nrdH//emrY//gltI//ygbL//codA//gatC//ybjI//yhfS//ykgA//tnaC//tsf//agp//hslV//metR//pinR//ihfA//xerC//dhaL//atpA//malZ//diaA//hdeA//kch//psuG//glgS//galK//insA-2//dld//metG//proC//ghoS//rhtC//ydiZ//mdtI//dps//nagA//hemF//ssuC//rzoR//rraA//glsA2//frvR//wzyE//napD//rdgB//glcE//selA//yecS//rep//pcm//yidA//fpr//rhaR//macA//ulaE//ybhS//rimP//menF//rpmG//mhpB//
GO_0005976_5	mocA//yciE//ynfK//fimF//hybB//nuoH//yjiA//yfeD//lldP//pdeH//pyrD//fliT//ompC//pepQ//gloA//sseA//qorA//nsrR//recJ//fruK//yjjV//ppiC//psd//gudD//hcaB//flhC//dgoT//fdoG//kduD//msbA//rpnA//mdtN//cpoB//ygcR//srlB//ispA//srmB//gudD//sspB//bioD1//argT//ydfG//yiaM//fiu//yfbV//radD//ulaA//intA//lepB//cheY//hldE//ychO//glvB//yphB//fes//ppx//rsmG//yhhY//sdhD//
GO_0005977_6	secB//ytfE//yqeF//yhjA//pheS//galS//mepM//rhtB//
GO_0005978_7	proA//setB//ybdN//creC//
GO_0005979_8	sspB//
GO_0005980_7	fpr//rbsR//uvrC//
GO_0005981_7	ccmH//
GO_0005984_5	ypdB//lsrA//nimT//atpG//waaG//cusS//yobF//cas2//intA//yphB//rrrQ//
GO_0005985_6	yheT//
GO_0005986_7	yqiG//
GO_0005988_6	deaD//mhpA//
GO_0005990_7	dinG//dcuB//
GO_0005991_6	mpaA//ygaV//gspJ//atoB//higA//
GO_0005992_7	nfo//cpxR//
GO_0005993_7	cysU//rhoL//ynfH//
GO_0005994_6	umpG//
GO_0005995_7	nth//
GO_0005996_4	paaB//araE//hemA//narX//yghU//yddL//dnaC//mukB//tpx//ycjD//argP//mog//lolA//patZ//dnaQ//ydbK//lpxD//xapB//purC//torS//gatA//dsbD//narV//yfhM//ydgA//glcD//gstA//xseA//xthA//fryA//setA//yihS//glpT//cysB//fadM//yhaM//wecE//yjhH//fes//minE//zntA//ycfJ//dkgB//rne//srlE//trmL//kdpB//yneE//agaI//queG//hokE//yggF//cpsG//csgF//gyrA//glcA//ynbD//torZ//manZ//envZ//rclA//yraH//glvC//glcB//yeaV//sufD//symE//recR//borD//valS//dinI//sbcB//sdaC//xapR//fabH//narX//pta//yhaM//epd//fryA//torA//iraD//
GO_0005997_6	lolC//
GO_0005998_7	ompF//
GO_0006000_6	bluF//treB//yiaO//
GO_0006001_7	fadA//selD//
GO_0006002_5	yfiE//malE//pdeL//
GO_0006004_6	mdtG//murF//rfaH//dcuA//ompW//rhtC//
GO_0006006_6	csrA//fkpB//hemF//gstB//marA//thyA//relA//thiI//flgK//rplB//bamA//intQ//kdsB//yfcG//dmsA//atoS//uraA//cysE//prlF//relB//melB//otsA//ldrD//
GO_0006007_7	gabT//fliG//gloB//
GO_0006011_5	potH//
GO_0006012_6	mdh//yadC//hflX//menA//tyrB//ilvH//cysD//ttcA//tusC//
GO_0006013_6	ynaI//insF-1//
GO_0006014_6	cobB//csgE//rsmC//
GO_0006015_7	panE//yeiE//
GO_0006020_5	tus//
GO_0006022_5	sulA//kdpA//torR//yagF//glnP//intQ//yjjX//pspG//proQ//gsiD//ushA//dsdA//mazG//atpB//sbmA//fau//fadM//yfbR//yqjA//ibsB//rhoL//mog//ybaT//ycaO//cmtA//patA//cobB//yhjR//ansB//fnr//mdtP//pldB//tolA//scpB//ybgI//yraH//frsA//tdcF//paaX//nhaB//gmk//tcyP//fepB//elfA//ygjR//dmlR//pdxA//yihW//dppD//ydfD//pldB//livM//yagF//mlc//fucP//relB//hdeA//yihU//hyfF//dsbG//yidQ//yeaK//hybE//
GO_0006023_6	lptE//msrP//nrfC//yjiA//yehB//cas2//dfp//mepS//talB//cheY//accC//ybjI//ung//rhlE//yggP//cheW//pheP//ytfT//yeeJ//rpoE//gspJ//yrdA//frmB//entA//lipA//mntS//bioB//aldB//ydaC//fepA//gntU//rimK//rpnD//rplD//bglX//sgcB//tus//yadN//fliT//
GO_0006024_7	dicB//pta//lhr//copA//ompF//rpoD//nupX//ybhA//allS//lepA//comR//sdiA//ilvC//lpxT//nupC//trpGD//mdtQ//nikA//ghxP//thiH//moaD//oppA//dcyD//glnP//aspC//phnH//lsrG//arfB//hha//hyi//bcsA//mzrA//moaD//iscA//lgoT//gpmM//kdgR//alr//yahD//
GO_0006026_6	waaC//lysA//yieL//hisP//envY//glpA//ycfH//potF//dcm//guaC//
GO_0006027_7	truD//tyrS//htpX//efeO//yeeY//feaR//carA//yfgI//prpD//qseC//
GO_0006040_5	sdhD//gluQ//dsdC//ftsZ//trpGD//yihV//npr//cyoB//sbcC//rsmI//ccmC//nhaB//yjbE//nikR//yqcG//hyaC//pbpC//
GO_0006044_7	amiB//flgM//pspG//aceB//ftsW//
GO_0006046_8	cas1//fhlA//yqeA//dmlA//
GO_0006047_5	fabD//mlaB//hupA//basS//folM//dusB//yfcQ//
GO_0006048_6	gadX//sspA//arnF//ybcL//mnmE//ssuE//
GO_0006050_6	yphD//
GO_0006051_7	torS//
GO_0006053_8	tesB//
GO_0006054_6	rfaB//mdtD//dppD//paaD//rplX//eno//accB//
GO_0006056_6	livF//
GO_0006057_7	speG//
GO_0006059_6	dgcE//adiA//aceK//glsA2//
GO_0006060_7	oppB//
GO_0006062_8	preA//
GO_0006063_5	crcB//tdh//bioD1//ulaC//mhpR//tolC//cysG//dpiB//rnhB//
GO_0006064_6	pdxA//ytfE//napF//ypdF//nfo//nrdF//
GO_0006066_4	ygiS//ftnA//yoaB//ubiJ//panB//pyrG//mltC//fixA//mdh//ymdB//rplS//pgm//mntH//abpA//basR//nikE//dcuC//zinT//scpC//glxK//glpG//setB//bipA//cstA//nudG//uxaB//creC//yfiR//nadC//ccmF//ttdA//eco//
GO_0006067_6	hfq//priA//cyaA//
GO_0006071_6	mug//ulaF//pnuC//hsdR//hyaD//cnu//tdcD//
GO_0006072_6	ybdG//yhaO//mipA//caiB//yehC//
GO_0006073_6	gldA//priA//dcyD//dctA//hisB//pheS//cusC//djlC//grxD//ltaE//xanQ//secA//pflC//pyrH//rluC//nrdB//nlpE//nuoN//pstA//yagF//
GO_0006081_4	nimR//araH//eptC//fau//ariR//phoA//ybdH//mazF//slyD//rdgC//hisM//speA//abgR//yebZ//fabB//map//eutB//ddlB//envY//ybiT//bioB//ibpB//ccmC//yddM//yoaB//erpA//cho//yeaG//speG//hchA//yijE//ribF//dld//deaD//ybaT//rpmC//cdaR//basR//fryC//ycaN//yagF//aes//ynfH//topAI//fixC//icd//iscR//rplA//nuoM//eutN//yjbF//ycjU//aaeB//yaaA//cusR//srmB//grxD//ubiH//yfcQ//ebgA//ybdR//trxA//nrdI//mnmE//glgX//torS//leuB//
GO_0006082_4	gapC//tehA//ghxQ//mrcA//allC//bolA//gadC//nupC//yiiM//rplX//xylA//frc//hicA//ftsP//arnD//asnA//ydiR//secD//nadB//sspB//xylH//dkgA//malS//rhaA//bglJ//tatE//hpf//ynfK//dmlA//sgrT//paaK//yigB//yidE//cysG//hcaR//wcaC//hybO//frc//ydaN//fis//cdaR//msbA//ftsE//nfi//ykgA//mdlA//nuoB//lptB//dgoK//ugpE//yihL//frsA//yiaU//zipA//nemA//rbsD//patD//hfq//fimC//pgaA//chbC//ispG//yfcF//dctA//ynaI//yfiR//mngR//gatC//ygjR//guaB//mobA//uvrD//yidP//paaA//lsrK//frc//yohC//kduI//lolB//speA//mzrA//cysA//cspI//fcl//rpsI//gadX//dicB//dhaR//dsdC//nudG//chbR//oppF//recJ//yfhH//yfeX//uspC//yfbR//ispG//dps//ung//adeQ//rpoA//adiA//ytfP//yjcO//ynhF//tdcC//hisI//lldD//hchA//ydbK//ssb//nrfF//ygfZ//fecA//yraH//dtd//frwC//moeB//phnH//tomB//tyrA//ansB//lsrK//yfaE//yidR//tsgA//ugd//rutD//yciG//argB//yggP//potI//purL//mioC//prfB//coaD//gltD//ftsE//malS//gfcE//cas1//dnaG//nfo//nanC//ydjM//ggt//entF//rhlB//gapC//hcaD//livK//yejB//csgF//citE//pppA//yggT//lldR//hisF//rbn//ariR//frlR//ybfE//ftsK//aroB//pppA//surA//yciK//ftsB//ygeA//rdgC//atoB//sapC//hsdM//lacZ//yraH//allD//amiC//ycgB//ygiV//yhhY//mnmA//ppx//yjiX//fixB//metR//torC//yqiG//orn//ydjH//rnpA//ftsW//ubiG//fixA//proC//dcd//msrB//speE//hflC//eutN//yjfF//glpA//ivbL//ruvC//speD//yiaU//rlmG//uhpC//stpA//pdeD//fliL//mlc//gadE//phnK//cmtB//yiaJ//rnr//nrdB//ykfI//hybF//livJ//uspC//ygbM//pcnB//folM//opgC//ubiE//rpsL//zntR//guaB//hslU//yigL//nagC//tsaC//tsx//atpA//ygjK//hypF//glnD//dgt//mscK//nhaR//hisI//fhlA//dapF//rplF//rpsB//crcB//rdgC//dgcF//ibsE//sapD//paaJ//yraK//dxr//rplN//ubiA//lsrA//hypT//tatA//ygbN//gsiA//argO//yfaU//ccmE//malP//yihP//aroD//copA//malX//ompT//yagG//hns//frlR//mntH//mreC//astC//ugd//hypB//carA//gmhB//yiiE//kdgK//uxaC//tolQ//cobS//lptF//sodC//sdaB//ydbD//yibH//nagA//ygiB//lon//ybiO//yfbV//ileS//araH//rluF//ftsX//ptsG//rutD//ispF//symE//kdsD//cspA//selA//bglJ//purN//yiaB//hslR//glmM//lepB//fdx//cmk//hyaC//lplA//frvA//bglJ//pgpC//tusE//ygfI//purB//yqgB//potD//rcnR//tsgA//pth//kdsC//entE//ycgB//gadW//hflX//nirC//argG//scpB//pppA//yibT//ygiS//ompW//mltB//alpA//dld//radD//ygfZ//uhpC//epd//livJ//glnE//dgcZ//ulaA//mazG//yjiR//ung//entA//agaS//recD//guaC//torY//efeO//sufS//cspG//hdeB//clpA//rfaF//ybjD//ybhD//rplX//mdtN//sgbU//sgcE//deoB//fes//ldrB//treC//dsbG//gatC//mak//uhpC//avtA//wzzB//mltB//add//ycjW//bglA//tcyJ//pheS//speF//cbpM//waaF//plaP//panB//rdgB//yohC//ygfZ//ygfZ//rpmH//purL//garP//ytfR//hcaD//copA//rplE//ugpB//afuC//mazG//fimG//fecA//envR//aaeR//aceA//rplM//cheB//phnL//livK//lpxB//thrB//metI//lsrG//cspA//rplC//phoR//agp//secB//yqiI//rnc//rplW//lptB//guaB//rlmD//recR//yfdR//oxyR//trpS//dhaK//rfaD//alsK//argE//ulaC//pykF//nikR//iscX//garD//dam//fepE//lhr//ssuD//mnmE//mliC//cbl//ade//sthA//selA//nlpD//metR//znuA//rpnD//ais//yicJ//eutR//
GO_0006083_6	recQ//pykF//tolR//rffM//yiaM//cvpA//
GO_0006084_6	dmlA//alpA//
GO_0006085_7	purB//dicA//
GO_0006086_8	murJ//
GO_0006089_5	recD//ybbN//dtpC//leuO//cstA//fadA//insK//tnaB//gpsA//rihB//gltI//adk//casB//yehT//yhhZ//tcyN//yaaA//blr//rluF//oxyR//yacG//tag//hyfC//yfgJ//guaC//gatB//rpmH//soxS//cyaY//
GO_0006090_8	fadI//gstB//cusC//rof//ccmC//ycjP//ymdB//mcrA//yhhZ//dacD//selD//ahr//ahr//rfbB//cheR//abgB//metN//argR//ftsX//ygbM//pck//livF//adiY//ycgV//caiE//ybjL//ppiD//lptG//ispA//fiu//fucP//
GO_0006091_4	rfaG//sodC//aphA//osmF//pgm//osmE//sulA//rffM//pphB//rfaG//argI//glpR//gpp//leuE//rcsA//rrrQ//fryC//rfbB//abgT//ftsZ//hdeA//eamA//arnF//clsA//purT//rpmG//ybjC//ilvM//hda//ettA//glgA//frdD//ybjG//aslB//yfcS//aspS//yaaU//dgcQ//yggP//ypdI//ygiV//spy//chaA//eutK//acnA//ansB//trpR//yejB//pyrB//iscU//sdaB//aslB//ihfA//cbpM//dinB//rusA//rimM//zipA//ulaG//hycB//glcF//ade//fumA//dtpD//yjjB//creC//nikD//ppiD//lrp//fabH//rraB//symE//glgP//amtB//rpiR//add//yieL//fadR//ppiA//araF//dusB//cysW//yehY//hokE//preA//waaL//fadA//crl//hyfF//dcuR//trpE//yidD//glcB//napB//dinD//yfbS//rpnC//insF-1//puuR//recE//yeiL//yciA//pinQ//prc//tag//tolB//tolQ//fecB//iap//frsA//ybdH//ftsI//
GO_0006094_7	moeB//nudF//ykgF//proQ//entS//parE//yejE//rimJ//btuR//yieF//
GO_0006096_6	ptsG//mdlB//eco//ddpA//yfgO//agaB//thiG//dctR//aceB//pinQ//tcdA//uraA//oppA//trpL//apaH//bdm//entF//rsmF//
GO_0006097_5	rhmD//mdaB//ychF//cheY//nrfE//
GO_0006098_6	phnL//ypdF//rhaA//menD//cysN//
GO_0006099_4	apaH//aroD//rsmJ//mazG//aroD//dinQ//mntP//wzzB//crl//clpP//rlmE//araE//metH//gltI//rbsR//abgA//cydD//
GO_0006101_6	atpH//yjgX//nrfG//thyA//glpA//thiP//pheP//mpaA//waaG//tilS//opgE//prfA//malK//yraH//icd//yceD//ulaD//
GO_0006103_5	yehX//ogt//glxK//
GO_0006104_6	frr//xerD//metQ//
GO_0006105_5	fhuD//yieH//acnA//potH//spoT//fucO//abgT//holB//
GO_0006106_8	hrsA//
GO_0006107_8	hyfC//
GO_0006108_8	ydiO//ybhR//yneJ//trpC//amtB//
GO_0006109_6	ygfA//insB-4//ftsI//frvR//appB//ppk//yiaU//hpt//dcuC//
GO_0006112_5	mtlA//ddlA//pitB//atpH//bacA//rhlB//yraN//phr//
GO_0006113_5	exoX//yahD//hha//yqeA//nagZ//cecR//obgE//epmA//kgtP//carB//fdnG//bcr//ihfB//
GO_0006115_6	glgC//
GO_0006117_5	agaI//
GO_0006124_6	lpxM//
