#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lpxL//coaA//bioD1//fdnG//
GO_0000270_7	ybiH//csgB//selA//cas3//yjfP//csgB//fdhE//ftsQ//rbsR//mreD//bcr//ompL//nuoL//ypdF//fepC//glpA//gltX//yhgH//htpG//yidH//rpoA//slyD//gltD//ompT//trmA//lacI//yghU//rpsG//yphF//truB//priB//yraR//paaF//yieL//rpsG//uspB//uidC//baeR//umpH//dgoA//purC//hprR//mdtA//mcbR//gsiB//tyrA//frc//mdtK//ygaH//tktB//gloA//coaE//holB//tmk//degS//glsA//yqaB//alkA//dedD//maeA//cpoB//clsB//rpsR//
GO_0000271_6	ompR//basR//dacD//yqiH//sapB//metI//ribF//glvB//fiu//gfcE//fhuD//mreB//dgcF//narW//rpsP//pepB//yccX//lexA//garK//actP//eutK//rsfS//uhpB//sfmH//carA//nagA//folP//diaA//glcC//rssB//iscX//srmB//tilS//adeQ//arcB//yfiF//ompN//frdD//topA//lipA//yhiM//yceD//yfaV//yphC//arnE//ytfP//ccmC//tolC//tehB//lpxC//
GO_0000272_6	purL//sgrR//ugd//cheW//trg//kefF//
GO_0000302_5	envZ//kdpD//gntT//cdh//gpsA//pncB//crcB//fimZ//nuoE//ibsA//aidB//gatA//gpt//gntP//fimI//yjjX//yaiV//dcuD//yidR//srmB//glsB//bluF//recD//xisE//nrdR//gloA//insH-6//rhaB//dgcE//trg//csgA//
GO_0000303_6	cusR//alaE//
GO_0000305_5	trg//btuC//ompN//
GO_0000372_11	galU//
GO_0000375_9	glgP//
GO_0000376_10	ybdZ//
GO_0000413_9	yfjV//btuR//yhiM//ygjR//ispB//ycdY//yidK//yjhP//
GO_0000451_7	patD//fadK//kdsA//yghO//yecS//
GO_0000453_8	osmF//ybbW//ybcF//mtnN//cof//
GO_0000455_9	ytfE//slt//rof//mak//cdsA//opgE//lepB//
GO_0000462_11	sucA//tgt//
GO_0000469_8	fdhF//
GO_0000470_10	pdeL//
GO_0000478_9	ibsE//
GO_0000715_6	sodB//
GO_0000716_7	cdaR//
GO_0000724_8	dtpA//
GO_0000725_7	mutH//macB//hokE//marR//ygfI//sspA//
GO_0000726_7	panF//
GO_0000731_7	rhaS//bioB//yqgB//cheZ//fixA//yjcS//ygdG//
GO_0000737_7	rpoD//
GO_0000738_7	msrQ//opgD//yceK//
GO_0000746_4	clpB//
GO_0000820_7	murF//
GO_0000902_5	tktA//
GO_0000910_4	kdpE//moeA//cdh//recO//waaS//narW//mipA//gadX//yoaA//clsC//rluF//paaG//eno//rsmB//torA//entD//hemF//gudP//
GO_0000917_6	hokE//rffC//cysD//rhtC//mcbA//
GO_0000918_6	ygbN//elaA//menE//ymfK//
GO_0000920_3	erpA//infB//fryB//rppH//ydcM//
GO_0000921_6	cpxR//
GO_0000966_8	rpsQ//prpB//arnD//tcyL//
GO_0000967_10	sfmF//cirA//ycaN//
GO_0001101_4	cspG//bcr//rsmH//ybcF//uspB//paoC//mutL//menB//pgl//sucA//cycA//decR//yodD//yajD//xylF//rhtA//napD//ycaN//pstB//cutC//gcvH//dgcJ//gutQ//dcuA//tdcE//ispU//
GO_0001121_7	hcaC//gntU//
GO_0001123_8	dgcE//
GO_0001124_8	phoE//
GO_0001407_7	deaD//glpB//tauB//treF//
GO_0001505_4	moeB//glmU//lsrD//patA//paaZ//rzoD//ypdI//feoB//mdtF//trg//aaeR//dadA//ybbY//grpE//cbl//ldrB//
GO_0001510_5	pcnB//narY//yqeA//cyoB//mmuM//cmtA//elbB//ybgI//mtn//ftsW//narQ//yebQ//nuoH//pspG//ompA//tauB//sfmC//ascF//ugpE//lyxK//kilR//yahN//yidC//aaeR//rnt//ugpB//yraR//yfcV//marR//pepA//murB//arnE//glcF//ykgA//helD//casC//ileS//potB//brnQ//yhhT//
GO_0001514_8	rimK//
GO_0001522_7	pstA//folM//glnD//potI//puuR//rlmH//murJ//yhcF//prpR//ubiE//lexA//yciH//yeaD//
GO_0001539_4	dxr//eptA//ascF//tatE//dppF//dnaX//cas1//yihX//tmcA//yifB//dhaK//rcsA//rnt//thrB//fliT//rpsE//ybhP//elfC//kduI//cheR//glpD//chaA//hipB//cysG//fes//mscS//nrdR//ygaZ//eutD//ybdR//ltaE//
GO_0001558_5	hybA//phnK//mrcB//cmtB//cspE//waaB//sodA//yqiJ//
GO_0001561_6	cyoD//
GO_0001666_4	mqsR//
GO_0001676_6	dgkA//hybC//tamB//
GO_0001680_11	rep//
GO_0001682_11	yaiW//
GO_0001731_7	lipB//
GO_0001762_6	cusB//
GO_0001887_4	caiE//fieF//cas1//
GO_0001896_5	frdC//aceA//fimA//potC//
GO_0001907_5	apaH//purD//cysP//nlpD//
GO_0001932_8	panC//yibA//
GO_0001934_9	fliM//
GO_0002047_6	gcvP//ygeW//
GO_0002097_8	rsmC//livG//paaF//tmcA//tatE//yjfP//mgrB//rfaF//yebZ//dgcT//alkA//metB//fklB//adiC//hipA//yhiM//sodB//tmk//ymgA//
GO_0002098_9	yidP//ompG//ybeY//casC//pspC//hcaF//syd//csdA//lptE//dsbB//waaQ//ushA//yibA//
GO_0002099_9	cysM//essD//
GO_0002100_9	ubiH//
GO_0002101_9	zapE//panF//
GO_0002128_7	emrY//rtcB//elaB//rbfA//
GO_0002130_8	hns//
GO_0002131_9	arnB//
GO_0002132_9	chbG//
GO_0002136_10	yciF//
GO_0002143_9	era//ybaL//bioF//cobT//xerC//ompF//
GO_0002181_7	dusB//luxS//
GO_0002183_5	ybjN//
GO_0002184_8	hmp//
GO_0002188_6	ddlA//
GO_0002190_6	gatY//
GO_0002192_8	dctA//
GO_0002252_3	entF//yihV//zapE//phnM//rpsB//ftnB//hycI//bacA//torA//lptG//
GO_0002790_6	thiE//rffM//uacT//rfaQ//citG//adhE//hypB//
GO_0002937_9	rbsR//
GO_0002938_8	ravA//
GO_0002939_7	ligB//
GO_0002943_8	acrZ//
GO_0002949_8	hyaB//hslU//flgK//dinQ//
GO_0003333_7	dinG//mreD//sufE//yijO//pcnB//exuR//oxc//glsA2//minD//nrdD//dinQ//eptB//ompC//focA//arfA//dppC//ybaE//zntA//speD//cmtB//proS//dapF//basR//amiD//frc//pgpB//yjeI//speC//phnM//frvB//fruB//ybdZ//ispU//ecpR//cdsA//pflC//murE//pyrG//hypE//rplI//mobA//ssuA//xylE//mhpD//srlE//pgaC//selB//mmuP//pagP//
GO_0005975_4	csgG//kbaZ//ykgF//narG//hemB//etk//dcd//fepB//fliS//lacI//rplA//gltD//recR//envC//paaE//pfkB//pgk//amiD//yjiA//dgkA//tatE//cysC//rmf//paaF//glgC//folM//lldP//afuC//yphD//uxaB//kbaZ//ypdI//zraS//paaF//cyaY//yhaO//speE//ihfB//ccmH//mepA//degP//lgoR//kdgT//macB//udk//eutN//fruK//sfmD//fimB//alaC//pykA//bdm//ilvL//ybdG//tmcA//chbB//ddpX//hicB//cysU//galP//ldtB//fimH//chpS//dicA//yfhM//torC//ais//lsrR//panB//xylF//htpG//yiiM//arnA//yfeX//nsrR//entF//hinT//prfA//cbeA//groS//fbp//yoaB//ycjP//ais//menB//ssb//rutA//abgA//dpiB//puuA//idnT//yihL//rutD//yfdG//srlR//argS//psuG//prc//gapC//modA//murQ//galR//fklB//treR//ompT//pgsA//yjfF//pepD//hda//pinE//smrA//yfaL//csgE//kdgR//atpG//nuoE//uxuA//edd//malX//dgoT//araG//mtlA//yeiE//ulaG//wzzE//rlmL//chpS//phnM//aldB//clcA//bolA//paaB//mdlB//accA//ugd//ftsW//waaP//oppB//mnmG//selA//gmk//tamB//glpA//potG//kdpB//tktB//xerC//hslO//hsdM//thiH//rcsA//lrhA//hokB//bhsA//rpsS//ddpX//uvrD//ybaM//ftnA//yneJ//abgR//rffT//guaC//entE//ybiX//yraR//msrB//waaH//ydeP//zntA//lnt//dbpA//dgcJ//aslB//cysG//srmB//adeD//queC//pflA//acpH//nudB//murA//puuR//araH//envR//atoB//roxA//groL//guaA//rplQ//tatC//otsB//cnu//ecpR//ydhC//rplM//ybcC//nirD//macA//mliC//ychH//ftsQ//mlc//pgrR//mtr//yggP//sseA//lgoT//wzb//marR//fucI//sgcE//dacB//ycjD//puuR//pspG//holE//exoX//arcC//nrdR//holB//mutL//yfdK//mrp//bcp//paaG//entC//dcuR//mdtP//rplP//rclC//ibsC//ttdA//lgoD//mqsA//ymfA//hemN//ybaT//leuA//tmk//rfaQ//ulaF//yjbE//aroP//zipA//argA//ulaF//sapA//acrE//rpoD//chbR//flgH//thiE//rlmG//
GO_0005976_5	miaB//mntP//dld//ampH//dppC//yehY//yidL//fdnG//mrp//accC//casE//alsB//aaeR//mukB//rplM//alsK//purB//frwD//mdlA//aldB//relB//caiT//decR//opgB//yjjW//rplI//dnaG//metF//rraB//ldtC//yhjX//insI-2//folP//mlaE//mgrB//yciG//plsB//sapB//ydbK//agaD//yhdW//rsmH//bamA//dsbB//cdh//fsr//kbaZ//recE//livM//yfiE//setC//hpt//flgG//maoP//mdtO//fryC//dtpD//etp//dppB//
GO_0005977_6	bluF//fimI//tag//ykfI//yidD//rplW//fruB//fliZ//
GO_0005978_7	nuoL//envZ//yqjI//def//
GO_0005979_8	yqaE//
GO_0005980_7	yjjW//ygeR//feaB//
GO_0005981_7	sdhB//
GO_0005984_5	cysA//puuB//sapA//phoB//serC//arnA//yddA//hypF//metR//ydeI//relA//
GO_0005985_6	araB//
GO_0005986_7	katE//
GO_0005988_6	mcrA//tehB//
GO_0005990_7	acrD//nikR//
GO_0005991_6	ackA//flgD//rhaR//napF//dhaR//
GO_0005992_7	fur//ybgI//
GO_0005993_7	rcdA//pagP//nuoE//
GO_0005994_6	argI//
GO_0005995_7	matP//
GO_0005996_4	dcuD//trpL//phnH//fliK//glsA2//tdh//purA//basR//lolB//yeeA//sapB//pdxY//rbsK//rcdA//rcsB//cobT//atoS//nuoM//ldtC//proC//yqjI//cyaA//cptB//sfmD//chbA//cbl//flgE//yjeH//yraH//trpS//chbB//nagB//gdhA//sixA//ybhA//tilS//nrfC//acrF//mobA//pdxH//accD//rplK//xapA//ydhK//yeiG//cysS//mglC//dmsC//perR//ftsK//rplX//glsA2//lapB//eutA//purL//fre//ydcO//rraA//mqsA//yedP//mug//chbF//aspS//setB//yieE//nrfC//ribE//gcvA//tcyN//nirC//rpsM//pfkA//zapE//fruA//ribD//rpsS//ibsD//relB//tdcC//ygjR//adiA//yggF//
GO_0005997_6	ykfI//
GO_0005998_7	kdgK//
GO_0006000_6	prpC//recF//phnG//
GO_0006001_7	abgT//astC//
GO_0006002_5	yhcN//holA//yagE//
GO_0006004_6	purD//yceK//livJ//ymgC//ftsK//hypD//
GO_0006006_6	mdtO//rpmF//ybjN//fecA//srlR//cysQ//deoC//tag//kbp//mqsR//glsA2//dauA//cmoA//ccmF//yhcF//sdhB//rpnC//hisB//nudC//gmhB//bcr//pal//metE//
GO_0006007_7	arcC//dmsA//maa//
GO_0006011_5	recN//
GO_0006012_6	folM//thiH//rcdA//nupC//dppD//bluR//ldrD//hypC//hybC//
GO_0006013_6	treB//viaA//
GO_0006014_6	yggE//pstS//glgB//
GO_0006015_7	ygcR//cspE//
GO_0006020_5	rpoD//
GO_0006022_5	marA//ghoT//speF//wcaJ//groS//metC//kdsA//parE//rimM//sfmD//yajD//cstA//lldR//mfd//thrL//insI3//lsrC//yidA//mdtN//hcaF//tauB//chiP//tmcA//rarD//ygjR//ycjQ//polA//yceO//priC//lysO//mtr//sufE//cof//rplO//lasT//yraK//secF//hofP//edd//yehT//hflD//adeP//asnA//mcrA//soxR//mdtF//deoR//fadH//uhpA//narW//argD//ynjD//phoB//mdtM//dicC//arsR//ybiV//fmt//galE//recC//zitB//glsB//decR//
GO_0006023_6	rtcR//yfcG//flgA//cpsG//mepM//wzyE//livF//pheP//fes//cedA//cysH//aroB//fruB//rrrD//hcaF//menI//mrp//alsB//glpR//idnT//yihR//focA//metI//ibaG//yqiJ//rof//yhjB//nirB//ribF//insB-2//lysO//acrZ//ubiF//parC//nuoF//dtpB//menB//aphA//yfaL//
GO_0006024_7	ascG//yafS//nuoH//garD//gatA//fsr//suhB//znuC//secG//rpsS//ttdA//guaD//sapB//yjiM//hybO//mdtM//rfaF//phnL//ydcT//ampE//ppiA//rlmJ//mdtC//pyrG//bioD2//yiaA//yaiW//rutE//trmJ//nuoN//uof//ribE//tcyL//sdhB//uidA//znuB//dinB//glnD//ppiD//
GO_0006026_6	lysP//uraA//selA//serB//ebgA//ghoT//gcl//parE//dsbG//cutA//
GO_0006027_7	glvC//hemC//panB//pspA//yraH//avtA//ycfJ//prpR//rutC//rsmI//
GO_0006040_5	yhfS//trmO//holD//nirB//pyrH//talB//araG//dtpB//rbsR//ulaB//ygeW//dgoD//shiA//yfdS//xanQ//erpA//nrfG//
GO_0006044_7	rpnA//coaD//pdeL//tatA//murP//
GO_0006046_8	sufB//ttdB//flgM//yafO//
GO_0006047_5	yraN//intS//gudP//alsC//bioB//rcsC//nrfB//
GO_0006048_6	trmI//uspE//oppB//sdhE//aroD//cra//
GO_0006050_6	ftsH//
GO_0006051_7	rutA//
GO_0006053_8	sgbU//
GO_0006054_6	cysM//menC//ycbU//cpxA//frlA//ibsA//hflD//
GO_0006056_6	tag//
GO_0006057_7	opgH//
GO_0006059_6	priB//glgP//clpP//ulaG//
GO_0006060_7	ycfH//
GO_0006062_8	rseC//
GO_0006063_5	agaI//basS//amiD//gudP//higB//yceO//pyrF//garP//menD//
GO_0006064_6	atpA//ruvB//amiD//xerD//glgC//yjbE//
GO_0006066_4	kdsC//putA//rsmI//sfmH//selD//fepA//rph//rihC//aslB//era//kup//yghB//ddlB//abpB//pabB//rplK//yjbG//obgE//yigL//pdxK//ygfI//ybdZ//glpB//ycjU//malP//rstB//tolQ//yicJ//tcyN//yghO//agaW//rpsL//
GO_0006067_6	hsdR//yebS//frvR//
GO_0006071_6	lgoT//nadE//acnB//zapA//ulaR//ybiH//elbB//
GO_0006072_6	hybF//yahI//speA//glnK//ccmC//
GO_0006073_6	metB//rusA//sodB//yihT//cheY//tsaC//modB//pabA//yihP//chbF//dkgB//lolC//fhuF//manZ//dtpB//ygeA//yqgB//qseC//dppF//spy//
GO_0006081_4	dgoD//livH//aspS//yaiV//kilR//ppiC//pheT//feoC//fepE//yfaL//ccmG//hlyE//flgD//hypE//yjbB//recN//lrhA//phoR//speD//lpp//pphB//entC//relA//nuoF//torD//dcd//clpA//yajR//hflX//lolB//fryC//ftsX//ulaE//dcuD//umuD//nimT//parC//csgG//napF//gabP//pgsA//rhaA//ampE//gdhA//hlyE//yebC//ftsA//flgF//ppx//panD//sucC//amtB//casC//phnM//moaE//rcsC//gph//pabB//nrfE//torI//tadA//deoB//nanC//rarA//paaD//rpmB//zapB//
GO_0006082_4	nagK//ytfT//bfr//tus//accC//lpxT//rhoL//groS//bluR//fadK//eno//phnJ//recQ//smrA//yehT//torA//sstT//ypdI//dcuR//torY//tyrS//treA//carA//yfcP//fepC//wza//gntP//prmB//gpsA//aaeA//ydcR//sgbU//polA//hybA//macA//yraJ//glpD//nuoI//dinG//hofQ//efp//aceK//sfmC//kdgR//trmA//yghG//cecR//corA//matP//rpmC//argH//mepA//agaR//ligB//speE//fimB//dnaB//torR//trkH//crcB//glmM//lpoA//rpmE//ymdB//tauB//dpiA//ligA//ebgA//exbD//nsrR//yfiC//wzzE//pphB//ybeY//ynbD//hisH//lysC//yfgJ//csgD//cvrA//lexA//yfcA//ykgM//ybdN//cutA//bdcR//araF//frwB//oppD//ugd//cmtA//pgk//birA//ygaV//yidA//crfC//gltD//dicA//ygdG//fbp//brnQ//dmlR//tus//glgC//glgS//tynA//nirB//rplD//oxyR//pyrE//arnB//htpG//tyrS//abgR//ybcF//rpe//prmB//ispB//cysW//uxaC//speC//rihB//thiH//tabA//narX//mutL//accB//rpsA//paaC//ubiA//bepA//zur//priA//yidK//nanK//fdhF//rplF//atpD//ygiB//dcp//nrfE//nusA//bdm//hiuH//yraH//yaaY//yebG//yhcH//cstA//yafE//araD//evgA//yghW//lacY//rpmA//livF//yohC//metQ//cmtA//fepD//guaB//birA//paaA//yfhH//mcrB//puuB//ygiV//sbcC//ppiD//ompT//mdtB//glcE//uxuB//fadH//sdhD//minC//nrdF//hycI//betI//ybdM//gph//oppA//zitB//lysS//wcaC//dppA//chbC//leuB//rimO//hinT//bamA//ulaG//pgpC//ihfB//yehT//mhpT//pgpA//znuB//exoX//ybdM//prpC//yciV//cptB//pabA//rsuA//nlpE//rapA//nrdA//yobF//ybdZ//rsmB//fecC//secA//tpx//insI-1//fur//tcyJ//yjtD//ykfM//nikB//dhaM//yfhH//epmA//rpsR//envY//manA//agaV//polA//fucK//pheT//ldtD//yggP//rhtC//abgB//mepM//rsmH//hflX//xthA//gltP//mngR//rpe//rbsK//thiE//yihQ//melR//btuR//dcp//osmF//glcD//rhaD//rnlA//thrB//murB//sixA//queG//gadC//trmJ//pdeK//fetA//lysR//yjjG//ynhG//secA//ybfA//ydfH//pntB//dapF//thrA//frdB//preT//zur//kbp//nrfC//mazF//dapB//yjjV//sufB//entF//gpp//ilvC//murP//lptG//mnaT//ydfH//sbmC//hybB//yrdA//lspA//metB//yciE//ilvC//yibF//secM//plsB//ycjQ//erpA//serC//hdeB//pdeD//kgtP//rlpA//dxr//ftsQ//cysP//kdsD//ulaF//pabA//nrfE//yfaE//mdtK//aas//glmU//baeS//ycbX//rpsH//yiaN//yhiM//ftsL//dld//moeA//tadA//rlmJ//ldtC//potH//dps//trpC//yihI//ygfI//uidR//queD//hflC//ansB//psuT//frvR//purT//tqsA//sapC//tusD//rluF//yeeY//csgE//trmA//ade//gltX//gpr//lgoT//relA//yiaF//treB//rnpA//surA//ygaZ//dbpA//dhaR//rpsD//galM//cysM//proW//rlmH//entE//hybB//frmB//rlmL//nagK//sthA//rimK//grxD//mltC//pheA//ccmH//sxy//insA-1//idnK//baeR//cysE//hybF//metC//leuB//flgM//gltL//rsmJ//selU//bfr//rplM//rlmC//cedA//panC//yggW//lptB//envY//fmt//zapE//lptE//cpsG//fkpA//yfiR//fumB//kdpB//truD//pgrR//xseA//yjjB//dinG//yfcS//cedA//hslR//cadB//lrp//fimE//tusA//pfkA//yhdZ//ybhF//agaA//yebS//rna//selU//yccA//hslU//pnuC//dsbC//nagA//afuC//rlmN//frvA//cspD//serC//mprA//kdsD//feaB//dhaM//agaW//hdeA//argC//sgcC//rhaD//yghW//rfaB//ybcF//yqeF//xdhB//napF//hscC//aaeB//mntH//yiiE//pdxB//ymfK//nrdG//ytfT//dgoA//hisB//waaU//argB//ushA//ygaV//rnlA//ispU//yjiY//hyaC//
GO_0006083_6	yqgB//pta//ybbY//nrdD//yjiY//yeaE//
GO_0006084_6	gpr//yibF//
GO_0006085_7	rpsL//luxS//
GO_0006086_8	yidD//
GO_0006089_5	yhdH//rraA//cyaA//hybB//pcm//gstA//focA//sucC//wzc//fimF//narU//rpoE//ybhS//yhjV//ydcP//yehB//dnaA//otsB//rsmC//ubiB//srlR//ychH//rplN//zraR//hybF//hfq//oxyR//feoA//sodA//
GO_0006090_8	sufD//gadA//tusB//sgbH//ugpA//livM//adeP//ybbW//yfdG//rlmI//ansA//hybB//idi//znuC//cpdB//wcaC//mhpB//nuoM//sxy//hcaB//yfiE//btuE//iscA//malQ//yajD//napF//hyfF//srmB//yebS//sxy//thiI//
GO_0006091_4	nrdE//ymfK//ydbD//ubiD//yjjB//tdcR//rpsJ//tsaC//ridA//dsbB//hycA//ibsA//lpxD//bioF//yfaV//lsrC//fdoI//puuB//selB//mdh//yidK//ppsR//yjjX//gsiB//ftsE//ydeI//yciK//sdhE//malE//nanE//shoB//menH//rluF//deoC//dapF//emrY//paaH//secE//fucI//yieK//gltP//fumC//glnH//agaI//yrdA//ade//ompL//ampG//srlB//perR//frlR//pdxA//rutA//hemH//yibA//ttdA//rimO//fur//xerD//hypE//greB//trkH//rluD//umuC//thrL//marR//cyaY//yqiG//yeaG//nlpI//gutM//leuC//gltS//fryA//yiaF//trpD//purC//rihB//kdgT//hofC//dnaJ//yidH//mutL//fkpB//fpr//clsC//cmtB//tnaA//yhaM//nlpE//tar//yjfF//prs//thiG//eamB//feaR//tatB//fliG//cydA//ftsA//ybaK//shiA//rsmB//nadE//nrdG//cpdB//tufA//aroK//cbrA//nuoG//sanA//folA//
GO_0006094_7	dmsC//yqgB//queE//ygiV//sodA//gor//fau//rfaB//zntR//dsbG//
GO_0006096_6	copA//sxy//bcr//rplA//barA//metK//lpxL//iscS//zapE//arnT//torC//glpA//yciT//bdcR//aspA//tdk//rffH//mnmG//
GO_0006097_5	yciA//nagD//frdB//thiL//caiD//
GO_0006098_6	cas3//gcd//ispF//phr//fimH//
GO_0006099_4	trpR//dacA//rluE//smrA//rpsM//rffG//yieH//mdoD//cysZ//uspG//pepT//pdxA//ybjD//yhjB//psd//hybF//sufC//
GO_0006101_6	trmH//rpmE//yqaB//ybhS//rnr//cmk//carB//yfdC//valS//exuT//efp//ypdF//yfhM//kdsC//ssuA//yfbS//setB//
GO_0006103_5	yhjR//rpsM//ygjK//
GO_0006104_6	cheR//ydbD//yahK//
GO_0006105_5	trpR//yjiY//secE//fdoG//ftsY//manY//tsf//ydfD//
GO_0006106_8	glk//
GO_0006107_8	cecR//
GO_0006108_8	rng//puuD//hemH//ddpA//fliG//
GO_0006109_6	pphA//fbaA//fbp//hemC//lpxH//lpxH//intZ//ndh//mdtK//
GO_0006112_5	nuoL//ccmA//cbpM//ttdT//dut//yihO//kch//citG//
GO_0006113_5	dgkA//yqiH//yjcE//fucI//rraB//wecB//rlmB//cecR//wzc//essD//ybiW//idnD//nrdD//
GO_0006115_6	puuP//
GO_0006117_5	yciT//
GO_0006124_6	ghoS//
