#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	aldB//asnA//glpA//lacY//
GO_0006066_4	agaA//rssA//glpF//uspC//fdoH//argF//prc//ycjD//yciG//ygeX//ubiB//rarA//fucO//rfaQ//appA//rne//xerD//fimG//ymfA//cmtB//rlmM//ghrB//entE//sdaC//purR//gatC//lldR//diaA//garP//yeiL//tcyP//nagZ//
GO_0006067_6	dtpA//fryA//nagE//
GO_0006071_6	lspA//tdcA//mnmA//fdnI//tauC//narX//skp//
GO_0006072_6	gluQ//glpG//ilvH//ydcI//sdhE//
GO_0006073_6	aldA//ypdA//yadM//yciA//argR//yhjB//mdtD//mhpT//fimH//fruK//ybiW//csgB//pinE//rpsI//cusB//aes//yraN//yjjB//glxR//yqcG//
GO_0006081_4	cysU//cheA//tauC//yjhC//purA//nagA//yejA//tamB//greA//rcsA//fadH//etp//cobU//menI//tyrB//ygeR//clcB//ridA//glcD//folP//oppF//dcm//selB//ygfA//ybdR//lptF//sulA//rsmC//zinT//msrQ//fklB//carA//hemB//pepB//glcA//nhaA//rlmA//abpB//rfaF//ccmG//cysB//etp//nrdF//ycaO//puuC//ibsE//cysM//srkA//yfaE//fdhF//tsaD//kilR//lolD//rplD//ynfF//tktA//tpiA//mscS//pdeL//aaeA//sufD//yejF//apt//relB//gudD//hofC//rsmJ//
GO_0006082_4	ygiV//lipA//ygfA//ybjI//cdh//ttdB//potE//cysB//rpsQ//rssA//endA//coaE//deoC//elaB//thiP//ydgA//fadL//insI1//nagA//paoC//malI//ybhP//pbpG//ihfB//murA//ptsG//ynfF//mdfA//gsiB//yjhC//purT//puuA//ygeW//rimP//flgD//melR//ompF//yfhH//ftsA//yphC//ynfK//purA//gapA//adiA//rpoS//ycjW//glnB//mtgA//cysA//rhaB//casE//torC//mdtF//arsR//ychO//citG//ygcO//phoR//yhcF//helD//yggF//phoB//narJ//atoB//hybF//minC//ybiA//ompT//yhjV//mnmA//dacA//rpiR//rapA//insK//aslB//csdE//yjeH//pgl//ompN//purB//ada//thiC//rimM//ompC//ycfH//cyoA//dsdC//truB//cyaA//dgcQ//aceA//cas1//ilvH//tpiA//yiiM//cysQ//pyrB//queE//hprS//ftsZ//umuD//lolA//fkpA//hcaF//metG//rpmC//bioD2//trpGD//ybiW//lolD//ycgR//yhjG//ydjL//glcB//aspC//ribA//aroD//fhlA//mdtI//murQ//wcaB//rne//ybaQ//napC//yqhD//hisG//artM//hcaT//hpt//argR//uxaA//pspA//trmB//thyA//ygfZ//fdoG//yihO//yjfF//rcsA//bepA//rarD//wzb//rutC//epmB//hcaB//feoC//yfaV//cbl//phr//msrC//accD//ybiV//pflA//cynX//nagK//ulaE//ettA//panD//dnaG//purA//fadD//sfmD//opgH//comR//hemF//nagE//pdeH//argB//rcsD//yghW//hisA//queD//fadE//ibsE//ghoS//paaC//nrdI//allD//uspF//ulaF//cbl//cpxA//rdgB//sapC//ratA//pykA//dnaA//dhaR//nanA//ttcA//ymjB//dsdA//chpS//iscS//ccmF//nrfE//nadE//bcsA//ppiC//yjjX//mhpD//ompA//fdrA//narZ//dgcZ//yebG//yfgO//secM//hemL//hsdM//setC//hscA//hybE//rpsO//luxS//cysB//efeO//prs//kdsB//hybB//fdhF//mhpT//cusR//fepE//mltD//sfmD//rmf//cbeA//mreC//ftsP//yggP//mazF//queD//nac//rplK//dmlR//gltS//xylF//aroL//fdhD//yhjR//rpmG//asd//mdoG//lpxT//yidA//asnA//yfeW//yahI//cpdA//tehB//yhaV//fliD//gspI//yhiM//appA//deoA//aes//ybeF//rutC//dsbA//rpsL//ribD//coaD//purT//lpxT//mdtE//hycB//rsmD//ynbB//ligB//sucA//yacG//amiB//ralR//nagA//accC//yjfP//ybcC//allB//tusA//cysK//yphD//fecA//dnaE//metN//rplP//glcB//ybhD//yqaB//ydfG//phnM//trmI//mdlB//afuC//tqsA//tusD//bcsA//sulA//yhbQ//cspA//murD//yaaY//sgcA//cysA//pppA//osmY//glmS//aldA//kilR//ulaD//yjjB//rodZ//pitB//tus//miaB//ygbL//yhjD//yejB//acrB//galT//lptF//cpdB//bglB//csrA//ftsW//sstT//ruvB//csgF//fdx//folC//yhgH//ynaI//fimH//ulaD//stpA//mdoG//manX//dppA//hyaD//mmuM//ykfM//ydiQ//gpmA//hfq//yjcS//hofO//relE//adeQ//apaH//murR//fadK//rsmE//kdpD//tsaD//yfeW//amiD//secA//ulaR//ibsD//chaC//yojI//comR//narI//ftsK//narW//atpE//frdC//ygiV//tcyP//mnmC//dinJ//sdaB//fiu//yfcR//betT//dgkA//xapB//der//mnmE//gph//elfA//rsmC//bioA//argD//fdhD//nirB//infC//potE//mmuP//prfA//ybiO//tmk//trpE//cpdA//dmsA//proX//rffT//glpF//torS//rpmJ//recT//frmB//leuD//znuA//mntR//phnM//bglX//acrZ//pdeF//adhE//yfcV//arcB//mngR//hscA//cmtA//ybjN//rffH//potF//sbcC//csdE//panE//yaiP//rsmA//hxpB//rbsB//yehZ//hofO//sapD//katE//hslV//sdaA//lysC//hybG//fumB//yeaV//ilvA//priB//ampH//arfA//hypD//thiG//dacB//narH//mdtD//nlpE//ybcC//ydhC//betA//polB//gstB//fetB//cmoA//degQ//dld//qorA//rffG//rsmA//dgcQ//fumB//
GO_0006083_6	nrdA//yrbG//yaiP//hsrA//msrA//yajO//
GO_0006084_6	chpS//queG//
GO_0006085_7	yfdS//ykfI//
GO_0006086_8	yhaO//
GO_0006089_5	dctA//rplP//hicA//xylA//ycdX//cyoB//bioD2//zinT//aroK//glpA//ybaM//dxs//cadB//ypdA//yefM//mlaD//setA//yidL//glpB//ybiV//yciK//ampD//queD//endA//ynfH//envR//mcbA//yddG//yiaJ//
GO_0006090_8	sgcA//xapR//pfkA//lpxB//mak//mntR//ptsI//cysW//sgcX//arnE//kdsA//rnb//gpt//waaA//aroC//yrfG//pykA//truA//yfdS//yobF//sgbU//ghoS//tas//ybjD//degS//lpxH//fieF//qseB//crr//yfcP//sdhB//
GO_0006091_4	fadR//trxA//fepE//mrdA//fadR//hsdM//rhaS//udp//yehP//ptsG//lit//sufE//cirA//proB//bglX//cmoB//eutK//ykgF//greB//ldrD//mrdB//narL//marR//yfbU//tsx//ssuB//hemD//nlpI//alkA//rnpA//yefM//nrfD//ccmF//malF//yphC//rplL//trpC//aqpZ//cadB//wzb//melR//ycaO//bglB//ybdR//trmH//fecA//mdtC//rplN//bsmA//yjhI//cbrC//narQ//mgsA//hyfF//pabC//fadJ//truA//ccmG//treC//yidR//rnhA//thiP//yebG//afuB//yigL//ackA//gph//ygjR//ttdB//fadL//ytfP//fadR//rbsK//cmoA//hscA//dppD//yqeG//leuO//bepA//ruvB//ymfK//sgrR//hypF//trmB//flgI//yfcQ//orn//cheA//yggX//xylB//tcyN//ubiI//pbpC//ftp//yhaM//thiI//adiA//yqjH//corA//metE//dosP//menC//dgcF//ygiB//ygfZ//ydeT//xylB//rpoS//pepD//modC//nikA//mgtL//
GO_0006094_7	livF//nudB//ghxP//msrA//rhtB//bcp//ybiO//yehX//csrA//ybeF//
GO_0006096_6	uvrD//prlF//argH//lsrA//nanS//pyrC//hcp//edd//ldtA//miaB//mraY//cra//ftsL//cdaR//araB//yagJ//yafQ//frdC//
GO_0006097_5	zraS//casD//codB//bfr//nfi//
GO_0006098_6	selD//wzyE//hcaE//citT//glmM//
GO_0006099_4	glpK//aroE//ynaE//citE//rnlB//tauC//aaeR//yagF//edd//yciV//curA//atoC//cmk//gadA//zraR//yhdH//lysP//
GO_0006101_6	lpxD//polB//yfhM//ybeY//glnS//tatE//gltL//tdh//arnD//def//torD//ompG//cutA//waaJ//dnaN//artQ//nrfF//
GO_0006103_5	fecD//rpmH//paaJ//
GO_0006104_6	pgsA//dfp//gntR//
GO_0006105_5	mmuP//hemC//ymfA//cysP//ispG//bcsA//yebQ//zipA//
GO_0006106_8	adeD//
GO_0006107_8	csgA//
GO_0006108_8	yghW//msrQ//yafS//pal//psuT//
GO_0006109_6	ykfI//sugE//nudC//queF//dsdC//oppC//ybjD//csgD//sbcD//
GO_0006112_5	eutN//fpr//oxyR//rpmC//mutY//setA//flgH//bioD1//
GO_0006113_5	mrr//cyaY//paaE//pflA//topB//cbl//narH//ycfJ//mdlA//rbsB//dppC//adiC//cutC//
GO_0006115_6	ydeE//
GO_0006117_5	yefM//
GO_0006124_6	fliS//
