#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ftsK//napA//nfsB//nrfF//
GO_0000271_6	murD//insH-5//nuoN//surA//glcC//puuA//trmD//yfgJ//xapB//fdhD//ulaF//puuD//ssuB//yiaT//ppsR//atoB//mltC//yneL//dgt//infB//lacI//rpsE//surA//lolA//yjbB//hisA//yedL//seqA//nei//asmA//aphA//hflC//bolA//tdcD//ribF//ydhJ//ldtB//uhpC//aes//ygeX//yagU//rplR//fur//dgcZ//hfq//narQ//kduI//rnlA//rpnC//mngB//
GO_0000272_6	gatY//mipA//lldR//rppH//rhtA//rcsA//
GO_0000302_5	tyrS//uspE//clsC//alkB//gltP//ampG//ibaG//yqcG//frdD//pstS//dnaG//fepD//umpG//yhcN//aes//potA//patD//acpS//rfaH//yddG//norR//kdpF//gltD//betB//etk//hxpA//rlmJ//yagU//cspA//acpS//mutT//
GO_0000303_6	rseP//xylA//
GO_0000305_5	yhjC//crcB//yadK//
GO_0000372_11	yidR//
GO_0000375_9	ymjB//
GO_0000376_10	satP//
GO_0000413_9	rlmM//yjjX//napF//rsmC//ybiH//eamB//amtB//yihT//
GO_0000451_7	asnA//leuS//yaaA//ffh//pyrG//
GO_0000453_8	ybbW//degS//flhD//yieE//cpdA//
GO_0000455_9	sgbU//artJ//mlc//kdsD//ydeP//hisD//fdhE//
GO_0000462_11	yciT//ynbD//
GO_0000469_8	nlpD//
GO_0000470_10	csgF//
GO_0000478_9	pepT//
GO_0000715_6	ebgR//
GO_0000716_7	ftsK//
GO_0000724_8	ybgI//
GO_0000725_7	msbA//pstC//dcuC//bamD//rcsF//accC//
GO_0000726_7	dinI//
GO_0000731_7	nemA//intZ//nadD//rclA//mhpR//alpA//waaU//
GO_0000737_7	hipA//
GO_0000738_7	yghG//insE-1//corA//
GO_0000746_4	narV//
GO_0000820_7	lepB//
GO_0000902_5	tdcE//
GO_0000910_4	ubiB//cysB//allR//kdpA//pgm//yqeF//holE//cho//gntT//atoS//yieH//yajO//entA//hofM//yeeO//hflD//ppiD//xisE//
GO_0000917_6	matP//sgbU//yieF//fhuD//phnM//
GO_0000918_6	pepD//metB//ilvD//dosP//
GO_0000920_3	tdcB//phoP//mcrB//araD//ybjI//
GO_0000921_6	cdd//
GO_0000966_8	dsdC//psd//ssuD//yobF//
GO_0000967_10	ymfK//proA//casC//
GO_0001101_4	upp//wecA//rnpA//adk//ettA//cheB//yafO//emrD//glpR//phnH//yebK//argT//tsaC//ybaQ//yfjV//appY//yjeH//ymgA//secA//mngA//moeB//topB//alsB//nei//xylF//cysD//
GO_0001121_7	marA//lpxB//
GO_0001123_8	mscS//
GO_0001124_8	atpG//
GO_0001407_7	rimM//garK//elbB//kdpD//
GO_0001505_4	rplB//ybfE//rseC//mscM//kduI//prfA//ygjR//rfbB//dppD//yaaU//hsrA//oppA//pta//feoB//ypdB//dbpA//
GO_0001510_5	uxuR//insH-6//paaZ//mtlR//hrpA//mzrA//rsgA//moaB//trmL//manA//kdgT//hprR//tyrB//rnlA//mltD//yfeR//dxs//rbsD//ybdR//hemH//rayT//ydfK//frlR//gatD//arcC//rnlA//bioA//ydjJ//feoB//tnaC//maoP//btuR//pdhR//codA//yciF//truD//yahN//ycgV//mnaT//ybgP//
GO_0001514_8	mdlB//
GO_0001522_7	rluF//nikC//pck//arnT//umpH//yfgJ//fadH//mdfA//ybjI//nikD//ppiD//rbsR//radA//
GO_0001539_4	pyrB//adiA//deoC//ygiV//nudG//ydiV//wzzE//fecB//exoX//lptB//ptrA//recN//gspI//aceF//prlF//frlB//proS//map//fimG//frdB//argC//rpsH//nusA//napC//rfaD//dinD//tehB//qseC//prfB//ytfQ//mtlD//
GO_0001558_5	rpsN//frdA//yedA//dnaT//cmtA//acrA//gluQ//wcaB//
GO_0001561_6	crfC//
GO_0001666_4	arsC//
GO_0001676_6	rseC//glnK//yedA//
GO_0001680_11	bioD//
GO_0001682_11	metI//
GO_0001731_7	prfB//
GO_0001762_6	rplS//
GO_0001887_4	ldtD//nagA//frlA//
GO_0001896_5	dgoK//ftsP//tyrA//lptG//
GO_0001907_5	gadE//mscM//pgl//rpsL//
GO_0001932_8	hokE//wecB//
GO_0001934_9	pth//
GO_0002047_6	mrcB//idi//
GO_0002097_8	ubiJ//yhjA//phoB//csdE//vsr//ybgQ//yqaE//menA//waaL//yaaY//matP//yehA//cusS//lepA//yecS//frr//zapB//hcaE//fbp//
GO_0002098_9	acrF//cpxP//araC//ampE//pykA//cmk//pinQ//cysH//flgJ//dcp//yeaV//rdgB//phnI//
GO_0002099_9	hflC//mlaE//
GO_0002100_9	kefG//
GO_0002101_9	rnb//mepH//
GO_0002128_7	cmoM//mutH//narL//acrB//
GO_0002130_8	fecA//
GO_0002131_9	yfdO//
GO_0002132_9	miaB//
GO_0002136_10	glpD//
GO_0002143_9	creB//dauA//setC//mltA//flgC//decR//
GO_0002181_7	hdhA//nuoH//
GO_0002183_5	nadC//
GO_0002184_8	sodB//
GO_0002188_6	yjiR//
GO_0002190_6	metR//
GO_0002192_8	ivy//
GO_0002252_3	actP//yfdR//yahD//phoQ//glsA//rsmA//rutD//uxaB//fsr//miaA//
GO_0002790_6	rpsI//rpmE//uvrB//nuoB//hlyE//ygiW//wecE//
GO_0002937_9	rihA//
GO_0002938_8	ybiT//
GO_0002939_7	rclB//
GO_0002943_8	ddpA//
GO_0002949_8	ygbN//luxS//rrrD//yhjA//
GO_0003333_7	mnaT//fklB//dedD//ytfE//tufB//mrp//yahK//gstB//rzoD//rfaQ//slyD//puuB//secF//mdtA//cynX//yecS//chaA//rffH//trmI//pliG//ccmD//paaJ//codA//dtpC//hycI//yjhG//mdtA//atpH//dctR//yahN//yadC//rplQ//ackA//mtlD//ldcC//tap//puuP//clcB//ygaZ//sbcC//lpxL//ydeO//hypD//truB//hmp//potB//hpt//hybB//eptC//
GO_0005975_4	ykgO//atpD//pspC//tcyN//glvB//gpsA//hrpA//panF//rcsF//rplL//argO//aroA//yehC//csiD//ydeT//cbpM//polA//ynhF//rihC//acpS//ydjH//glpR//potC//sufC//yidD//eutN//yedX//cusC//gadE//envZ//agaW//bglJ//napA//glpX//panC//rph//priA//nagK//ubiF//pal//pspG//mglB//acpH//dcuC//arsB//nupX//citX//yfbU//fetA//hda//frdD//pabA//proQ//hldE//ascF//rfaE//sseA//fre//opgC//der//gatY//yqjA//sutR//rpmF//abgA//napC//ogrK//endA//ldtB//yjbH//torR//panD//sbcB//yobF//ygeR//rof//yobF//dgcT//rihA//ftsN//baeS//fucP//dsbB//mtlR//ghxQ//pstB//rfaC//betA//pflB//phr//nlpI//rnd//allS//yfaX//nrdB//narZ//torY//sthA//rplB//baeR//srmB//yhaC//pepB//tyrA//ulaB//rfaE//ydcM//pntB//fhuB//sgrR//ybbN//appY//yjaA//yeeY//yqiH//cyaY//speA//focB//entH//glpT//etp//lon//ybhI//tdcR//yaiP//cysA//rutD//frmA//agaD//nfuA//minE//ybjX//ypdI//phnG//ychO//clsB//eptB//cusF//xisE//fadA//cdd//mliC//artQ//gcl//ecpR//zapE//yhjA//srlB//fimE//ftsH//ompG//dnaX//nrfB//fetA//ansA//flgM//yedA//yedL//waaO//eutN//gmk//lpxM//bssS//rluC//flgF//radD//uacT//nadB//lepA//mglA//tnaB//yfbU//efeO//serS//yddA//purT//malZ//atpD//lptC//leuS//paaJ//sapA//secB//sgrT//dxs//yhdZ//yphF//araA//yciK//tatC//dpiA//yfaU//deaD//groL//mhpR//arnA//ybiI//eptA//yggW//ycjU//wcaC//thiD//cdaR//lon//lsrR//entF//nusA//cpxP//betA//yibF//dmlA//fkpA//ccmF//yhcH//ydjJ//ynjD//bamE//yibT//tyrR//chbC//panF//nimR//rnb//rimI//tufA//caiT//araD//chbG//hypF//nrfE//basR//emrK//hypC//hmp//yrfG//mhpA//pepD//rfaG//ppsR//ydfK//nikR//ssb//ftnA//fdnH//mrcA//yjhB//pflA//oppD//dsbD//pgi//ybiV//speD//idnD//yidQ//
GO_0005976_5	cheA//leuA//fabG//dicB//tonB//sodC//galR//bcp//cptB//metE//chpB//murD//ydgA//oxyR//fepD//rarA//eutA//glnK//ftsA//yjhP//gcvR//cusC//ortT//gppA//ycfL//fadH//srlE//eptA//atoS//yfdO//apaH//bluF//xylG//nac//ivbL//mnmA//tktB//ybgQ//uspC//ibpA//lacY//malI//trpE//narL//pspG//holB//narG//rbsB//ydfD//rimL//ynjA//etp//ubiH//yhgH//ftsE//rrrD//ebgR//mrdB//rimI//
GO_0005977_6	ftsX//menE//mtgA//ycjD//rbsC//udp//cysN//hcaC//
GO_0005978_7	tsaD//ydhK//fumC//rbn//
GO_0005979_8	rpsT//
GO_0005980_7	cysG//rfbD//rnpA//
GO_0005981_7	ortT//
GO_0005984_5	moaC//opgD//sapB//csgD//yqaB//fur//yedX//nupC//cedA//degQ//aas//
GO_0005985_6	yqcC//
GO_0005986_7	lpxH//
GO_0005988_6	rzpR//dppF//
GO_0005990_7	yiaN//ykfM//
GO_0005991_6	fdhD//emrK//emrE//yciV//yebK//
GO_0005992_7	livH//codA//
GO_0005993_7	ybiX//hypD//pitB//
GO_0005994_6	gpr//
GO_0005995_7	ybcQ//
GO_0005996_4	ansA//argD//speA//treB//degS//argG//prlF//ahr//clcB//dctA//sgcX//rpsN//pcnB//bdcA//dsbC//umpH//dcd//narP//tnaA//idnT//fliZ//ybdR//orn//ybjX//lepB//rutA//rsmH//abpB//prpC//yfcR//yneL//epmB//rplY//rsmJ//agp//amyA//allD//rdgB//msrB//waaJ//sdaB//rhaB//tnaC//nrfA//tktA//nagZ//secD//yiaL//artQ//mraY//ralR//htpG//hupB//pckA//mscK//kdsA//yjcS//ydeP//yhaM//fecD//nuoG//yphD//rhaR//hicA//mltA//nikA//rna//ghoT//ybdM//queE//ynbC//intZ//phnM//yfiR//modB//yhcN//flhD//lexA//ybcL//ybjL//ampH//pheM//
GO_0005997_6	selD//
GO_0005998_7	recQ//
GO_0006000_6	nfsB//gyrA//insH-5//
GO_0006001_7	rpnD//cutC//
GO_0006002_5	casD//trpE//pgaD//
GO_0006004_6	paaK//ubiI//cusA//fixB//recF//qorA//
GO_0006006_6	elfA//aroD//frvB//hlyE//mukB//srlA//ubiJ//rcsA//wzzE//melA//yjhI//ilvC//mepS//cheZ//fruA//cysA//plsC//leuA//emrK//yggP//ydcO//hdfR//ortT//
GO_0006007_7	yjbG//rlpA//metG//
GO_0006011_5	ycfH//
GO_0006012_6	yagJ//rssB//rpiB//ssuA//yeeL//modC//yjiM//intS//atpG//
GO_0006013_6	ycaO//ogt//
GO_0006014_6	ulaF//yegV//abgR//
GO_0006015_7	speA//relB//
GO_0006020_5	cnu//
GO_0006022_5	gltK//sdhC//rne//acpT//pgi//rzoR//tdcB//pppA//dcm//dcyD//hrsA//pyrF//ykgF//ybiS//phnJ//upp//sfmA//cbrA//elbB//osmY//hcaR//tehA//mntS//dppD//rhmD//nimR//queE//casA//tktB//guaC//yhdX//ghxP//yjhH//actP//ydgA//opgH//ftsL//gsiA//hofO//gmk//ykfM//smrA//ycbU//leuO//wza//dnaT//yeeL//brnQ//sgcX//hcaB//nagB//hycI//fadM//livK//yeaD//focA//hypE//cca//dtpD//pphA//ygbI//roxA//napD//
GO_0006023_6	rpnB//dcuR//ubiD//diaA//rsmI//rpmF//sufC//rpsN//asnS//sdaA//dgcE//ypdI//yfaE//bioB//bacA//lrp//dtpD//mrcB//ispA//rutD//narH//yedX//folA//bglF//tdcG//holE//dld//cfa//fucP//ptsP//yjhG//erpA//coaA//mraZ//trpL//tsx//fdx//sgrT//glmS//
GO_0006024_7	qseC//ribD//yqhD//dnaB//trmO//gshA//speD//mnmC//yeaK//ynfK//ynjD//garD//htpG//folE//sgrR//lpxB//kbp//artM//clpS//thyA//murE//yraK//agaA//ydhJ//ettA//iscX//yojI//hflC//iscU//lit//csgB//purF//metI//lrp//guaB//tauA//rpsH//waaL//copA//
GO_0006026_6	sodA//mltF//recC//fliM//ybjI//fadL//rplI//trg//fumB//cecR//
GO_0006027_7	mmuM//ispF//panD//kefB//pgi//ahpC//phoP//codB//feoA//pal//
GO_0006040_5	recR//osmC//tatD//paaA//maeA//rpoH//elfD//gyrB//nrdA//ycjR//yfcF//tesB//mepA//ybdR//ypdF//nimT//etk//
GO_0006044_7	yfdK//tgt//paaG//yahI//moeA//
GO_0006046_8	puuR//rpsK//ssuE//rpiB//
GO_0006047_5	ygeX//bdcR//norV//ftsY//srlD//ubiB//pgaB//
GO_0006048_6	nudG//hybF//aldB//marA//rutD//zraS//
GO_0006050_6	torY//
GO_0006051_7	hscA//
GO_0006053_8	artJ//
GO_0006054_6	appC//galK//rlmB//rclC//topA//tcdA//gfcE//
GO_0006056_6	yjcS//
GO_0006057_7	ybcF//
GO_0006059_6	fes//relB//nirB//argR//
GO_0006060_7	rcsF//
GO_0006062_8	rhtB//
GO_0006063_5	folD//alsC//glgX//mlaB//galF//glrR//ldrA//sad//rffM//
GO_0006064_6	ilvM//nagC//fadH//moaD//atpD//mlaE//
GO_0006066_4	frdB//cspB//galT//trpR//rffM//yiiD//xylG//dhaK//hcaD//ydjH//ycfS//tolR//hyfR//ibsC//yqiJ//pdeF//pspA//zapD//yaaY//ftsH//dnaB//yqjI//ompA//insE-1//phnG//hisB//gmk//yhgH//dnaN//fimA//adeD//mdtA//
GO_0006067_6	ompN//gpmM//frc//
GO_0006071_6	yeaK//yiaM//ilvA//fucI//ddlA//yedP//tusD//
GO_0006072_6	gatZ//trpL//phoP//entD//glrR//
GO_0006073_6	cdh//fhlA//ynaE//waaP//rpnB//flgH//uidC//umpH//cydD//tolA//htpX//fabA//gyrA//nuoG//ybdM//oxyR//aer//lrhA//pgk//msbA//
GO_0006081_4	metB//focB//fadJ//glgX//puuP//waaL//fliM//ppsR//cbtA//ispG//adhP//pheM//sbmA//flgA//nirC//ubiF//yedP//hcaT//dcuA//rppH//patA//copA//mdtE//pgpA//etp//gcvA//nuoB//malK//ligA//citX//pyrH//feoC//rplX//gudP//fis//idnO//nikB//lysU//rnpA//ygaH//cysB//glgS//pheA//citX//fdnG//rpsI//waaU//yadN//fadH//zapC//aceB//clpS//lrp//gltK//yejF//wzzB//yjjB//fixA//queE//glcF//caiE//phoQ//murR//ftsQ//sbcD//ycjQ//creB//
GO_0006082_4	cdd//glvB//bolA//ytfP//yehP//nuoL//torC//gfcE//arnD//dgoT//dcyD//acpS//hsdR//ybdM//puuD//ychO//truA//codA//torR//atpA//rhaM//gapA//yhgH//valS//sdhA//cysK//asnS//mepH//rimJ//fabB//proP//dgcM//xylA//hybA//yeeY//fabH//entF//ugpE//gmhB//ycbU//metF//metL//truB//mnmA//ybhP//exoX//dppD//panD//xylR//dicA//entF//moaE//insH-6//allD//rhoL//feaR//citG//mscL//tmcA//dgcF//dkgA//ynhF//mglB//nrfD//fliM//cbtA//fabH//putA//ydeE//rlmH//cdd//purL//accC//pck//umuC//rhaB//mrdB//gph//hybO//yaaA//atoS//fadE//menF//guaA//glyS//torZ//aslB//yehD//lgoR//thrL//ypdB//nupX//yjbH//manX//araH//wecC//yiaF//wecE//ascG//dhaR//ade//fdnG//nagZ//rplT//yaaJ//ulaD//ymdB//frlC//yagE//ydeT//yobA//yoaA//yihW//gntR//tauA//ykgM//yafE//mhpT//yadV//pldB//caiB//hypF//rnt//sbcC//ldhA//dnaQ//ompF//ptsI//flgI//yqaA//orn//glvB//plaP//uidA//dgoR//proS//ydiF//yiaA//aroE//treR//dgcJ//ahr//yqiJ//gapA//cpxA//hyaA//luxS//potH//acnB//fimG//leuO//hfq//yjjI//lrhA//ygfX//fdhE//idnD//alpA//cas2//rplA//yjfF//alsB//nupG//gadX//yahK//kch//thiC//puuP//ndk//puuB//melR//yihU//ybaL//sufC//lolD//fabR//qorA//sgcE//nadE//crp//tdk//ade//astB//mtgA//yjhB//cysW//yjjV//allB//ssb//uxuR//hycB//adiY//recQ//hprS//yahK//argC//yegT//hsdM//cydD//yacG//yjiM//ldcA//acrD//glnQ//tqsA//yghG//deoC//pyrL//sfmC//nlpE//speC//bamE//rnlA//ibsB//hexR//yeaD//malG//opgD//nuoL//kdgK//ychH//yhcH//kbp//fabZ//menD//ybfE//aroD//sbcC//htpX//fliK//manA//rluA//ybhD//ppk//hdhA//phoP//yjfP//pdxK//yhjR//dtpC//feoA//fhuC//entA//panE//ybfA//ggt//actP//glcF//ackA//nuoE//pgrR//ulaA//caiD//wzyE//mlaB//yadI//yfiC//lplT//pflA//glgX//putP//hemG//tauA//rpmG//adiA//entE//ampG//hybG//glpC//ilvH//prpD//ugpB//yoaA//sapC//ygjK//nikE//queA//ybiA//sfmF//rfbX//fabG//adeQ//nudG//guaD//metG//clsA//ydfK//evgA//lysP//cheY//dicC//rsmI//gsiD//yahN//gcl//frdD//rcsF//tcdA//dsbA//rdgB//ycaO//ampH//ybiY//glpT//glrR//katG//yfhM//acs//yohD//glxK//tolR//sucD//cbeA//flgD//ampH//yhfK//tolQ//ompT//lacY//mutH//ybhR//sohB//hisF//mug//adiA//satP//topAI//rho//wzyE//yidE//hdeD//serB//secD//amiB//trkG//gdhA//torA//yddA//dicA//rplW//yfgI//uhpT//radD//fimH//ydhC//truC//mdtL//ribA//malF//appC//yfbS//nimR//tomB//yjiM//rmf//msrB//yaaJ//hybO//melA//trpA//rnt//ttdB//kilR//yjjB//tktB//fucA//ldcC//holC//cysQ//macA//yadM//rayT//yaiP//garK//osmF//argK//relE//tadA//tehA//yfeR//hdhA//ymgC//rlmE//bioP//ydaN//maa//murP//nuoE//rdgB//yeaG//wzzB//azoR//rpsL//sbmC//ltaE//mscK//malY//cysQ//dnaJ//uspB//ynhF//rbsK//purL//yjtD//ybhR//puuP//purL//rclB//hofQ//appY//elyC//nagK//yidZ//lhr//lysA//hdeD//mioC//aslB//gspJ//livJ//tusD//hiuH//garL//shoB//tnaB//tktA//secE//yecS//yihU//sdhB//arnE//hns//uacT//pspG//gppA//cpxR//paaZ//csgA//dtpD//nusA//ynbB//puuR//dhaK//bioH//torA//fadJ//idnK//poxB//rho//cydD//mliC//fimH//cbtA//cycA//cysU//mngR//leuD//metG//metR//cysS//
GO_0006083_6	cpsB//yciV//sapA//ftsB//mdtF//secD//
GO_0006084_6	deoD//deaD//
GO_0006085_7	argC//ybbW//
GO_0006086_8	hofN//
GO_0006089_5	iclR//murR//uhpA//gspF//rpoH//rplY//maa//ulaE//melB//yiiM//rzoR//bioA//ybiS//prmA//rseP//sfsA//aroB//agaS//hcaE//hyfR//dinI//hprR//puuE//yhbX//rarA//ydeP//ygaZ//gor//lacI//
GO_0006090_8	setC//intE//ushA//pdeH//yieE//flgA//mtn//fhuD//fliM//dcuS//argI//yrfG//rffC//ydeO//rsmE//cydD//ybjL//dhaK//manY//bglF//btuC//ybiY//gmk//yfcP//cho//elbB//ilvB//nei//hipB//ykfI//ycbU//
GO_0006091_4	yagI//mglC//hcp//efp//eptC//nadE//frvR//recE//tatE//glnP//uxaC//yfeD//appB//pheA//ycaN//aspC//nth//surA//etp//yibF//queC//artM//rfaH//ubiA//gppA//sbcD//sgcE//acs//ribB//sbmA//speA//yahN//ydhK//purD//ybjX//pdxB//rlmB//menH//mhpD//rnt//yieF//ymfK//ybfE//ygeV//yqiG//rcsB//yciG//gntK//sufB//yjcE//gor//atoB//yeeL//yciE//rplI//hisF//chaC//iraM//mipA//fadL//sgcR//bglJ//yhbY//cysI//yqhC//prfB//treB//solA//ypjD//narJ//rclA//emrB//ybjG//yhaO//yeaD//ydfG//bglX//waaB//yihX//zraR//srkA//cedA//ycgB//lacY//nrdG//hdfR//paaJ//hemG//brnQ//dmsC//nlpD//yieH//yejF//kdpB//aldB//lysA//glnA//yghU//sucD//yfhM//entD//galM//cpsB//nrdG//lrp//emrE//mepM//plaP//ycgV//dctR//ymfA//ydeM//
GO_0006094_7	yehB//ccmH//tehA//tauA//sbcC//acrR//alaC//alkB//rihB//yohD//
GO_0006096_6	fimE//phnL//pyrC//mepA//nuoH//ycgR//hybA//yfcG//asnB//ybaO//acrB//metF//ampE//nhaA//citX//araE//yjiY//narQ//
GO_0006097_5	livM//mprA//insK//recD//yfcR//
GO_0006098_6	araF//yfcP//ldcA//menE//queD//
GO_0006099_4	glrK//ynaI//uvrY//ybfA//norV//pepN//yaaJ//yajL//uvrB//modB//pdxJ//alpA//nuoE//pepQ//mdh//rcnB//qorA//
GO_0006101_6	trxC//fruB//yqjI//dgoA//bipA//mnaT//fepA//cydB//ydhQ//rluF//glpX//mutM//pepD//yiaA//mdtP//ymgF//hemA//
GO_0006103_5	ybfE//rsmI//sufC//
GO_0006104_6	yiiM//metR//ypdF//
GO_0006105_5	tatD//yphD//yghW//adiY//alaS//afuB//secD//prfA//
GO_0006106_8	mreC//
GO_0006107_8	nagZ//
GO_0006108_8	ldcC//hcaD//uidA//ybiY//yraN//
GO_0006109_6	pnp//pabA//nusG//glpD//map//yjeH//yajQ//hisH//truC//
GO_0006112_5	mgtL//tcyN//nlpI//cra//endA//erpA//purU//patA//
GO_0006113_5	cutA//hypE//ulaA//thrB//tas//caiB//abgR//nadK//aldB//araE//trmI//ytfT//yfaL//
GO_0006115_6	nrdE//
GO_0006117_5	srlA//
GO_0006124_6	rluA//
