#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rpsH//ynfH//yfaV//dnaC//
GO_0000271_6	yjjI//lit//yhfK//gnsB//lacZ//gadA//yegT//rsuA//yfeX//surE//ybiH//aes//menD//sgcC//artQ//surA//ycjW//thiH//lptB//fliG//yciT//mepA//srlE//lysS//fepE//hdeA//nth//rffC//yegT//lsrA//aroC//ttdA//yqaE//yggT//chaC//hokE//ada//fiu//ghxP//yjjQ//proB//btuF//stpA//tabA//yobA//ycdY//ytfE//trmJ//mngR//artM//
GO_0000272_6	sdhC//aspA//xylF//ilvM//hofQ//yeiE//
GO_0000302_5	hyfR//tgt//yodD//decR//scpB//ybhF//tsr//ispF//rplJ//yiaO//lpxK//yajL//pgaD//azoR//serS//kdpC//dicA//selU//casE//rlmH//livF//frvR//gdhA//glgP//lpcA//efeO//paaD//lolA//yciG//sucB//citG//
GO_0000303_6	hipA//rplN//
GO_0000305_5	paaK//cynT//phoQ//
GO_0000372_11	hycH//
GO_0000375_9	hprS//
GO_0000376_10	fdhF//
GO_0000413_9	ulaE//ccmC//baeR//gatC//tcyN//chbG//selA//fumC//
GO_0000451_7	entD//mutH//recC//kbaZ//ampH//
GO_0000453_8	uup//ulaR//dcd//marR//kdpE//
GO_0000455_9	ileS//setB//ilvC//chbR//maeA//feaB//glyS//
GO_0000462_11	ycaN//rapZ//
GO_0000469_8	bhsA//
GO_0000470_10	cas3//
GO_0000478_9	cynS//
GO_0000715_6	insE-1//
GO_0000716_7	xylG//
GO_0000724_8	chpS//
GO_0000725_7	ssb//glcD//atpB//osmY//nudF//afuC//
GO_0000726_7	fmt//
GO_0000731_7	yghW//appA//adeD//frvA//mdtD//ftsQ//yfgI//
GO_0000737_7	csrA//
GO_0000738_7	recO//feoA//potI//
GO_0000746_4	narP//
GO_0000820_7	alkA//
GO_0000902_5	fabB//
GO_0000910_4	ydgA//flhA//tdcB//yfaE//acpT//trpE//envY//envZ//pldB//yphC//comR//insK//focA//yhfK//marR//recJ//cvpA//fecC//
GO_0000917_6	nupC//ydiB//mntR//purU//pyrE//
GO_0000918_6	pbpC//sthA//gmk//sohB//
GO_0000920_3	pdxJ//ykgF//argD//yibF//araC//
GO_0000921_6	rpmG//
GO_0000966_8	ulaD//yfjV//oxyR//phnG//
GO_0000967_10	yciG//nimR//nmpC//
GO_0001101_4	ybdO//lrhA//yqcC//pldB//rraA//ykgM//yajL//kefG//hypC//roxA//phnH//yraH//tusD//artM//asr//insK//yhdJ//yhdH//ycgV//insE-1//baeS//rfaQ//napA//ygbM//glyS//pinE//
GO_0001121_7	yjjQ//pyrF//
GO_0001123_8	minC//
GO_0001124_8	ybjL//
GO_0001407_7	trpB//selD//frvR//araF//
GO_0001505_4	crcB//tcyN//mdtG//dacD//uxaB//yejA//yojI//recJ//trmL//ydbK//hslJ//rpe//mepH//paaB//mprA//htpX//
GO_0001510_5	fabI//insF-1//gpt//mlaC//sdaB//chiP//fryB//kdgR//araE//fliM//yfhM//yfhH//iscA//ydcZ//rihB//yjbB//fdoG//yaaJ//menB//tatA//csgD//pepB//ftnB//ubiC//bamD//rraB//ftnA//fdoH//nikR//rplT//degP//ygjK//yfcP//cydA//ileS//rlmH//xseB//lptD//yiaB//zntR//
GO_0001514_8	opgE//
GO_0001522_7	grxD//lysU//pgk//mmuM//bluR//hycH//rbfA//napA//mdtO//yfdK//amiD//ydcR//oppC//
GO_0001539_4	yahI//sgcB//rhaR//selD//selA//yraJ//wcaC//phoQ//flgJ//bamA//ttdB//recF//dgcF//nikE//mltF//rzpR//rihC//cytR//csgE//ridA//xylB//abpB//dmsA//pgpC//garR//speC//ebgA//cusB//sodC//opgE//shoB//
GO_0001558_5	cobU//fimG//ruvA//ldrB//groL//gpt//nepI//gcd//
GO_0001561_6	rimK//
GO_0001666_4	alsB//
GO_0001676_6	mltB//sspB//ybaQ//
GO_0001680_11	ldtE//
GO_0001682_11	lolB//
GO_0001731_7	adeD//
GO_0001762_6	waaQ//
GO_0001887_4	pppA//citE//groL//
GO_0001896_5	ghoT//tsx//ogrK//rraA//
GO_0001907_5	aroL//torR//arnE//thrS//
GO_0001932_8	tdcE//dkgA//
GO_0001934_9	greA//
GO_0002047_6	yiaT//ygfI//
GO_0002097_8	smpB//yegS//adk//iscX//ccmA//setB//rlmG//aspS//yqiI//gsiD//ynhG//dsbC//tynA//mug//fepE//atpA//cdsA//glnK//sapC//
GO_0002098_9	lpxK//ygfA//malZ//ubiA//rpmJ//rhaD//hflC//pheA//bioD//ivbL//azoR//elfG//rsmA//
GO_0002099_9	rutC//gatD//
GO_0002100_9	torR//
GO_0002101_9	priA//yebZ//
GO_0002128_7	mnmE//arnT//upp//ftsW//
GO_0002130_8	thiL//
GO_0002131_9	proV//
GO_0002132_9	tatE//
GO_0002136_10	mepA//
GO_0002143_9	yehT//apaH//malK//atoB//rffM//degP//
GO_0002181_7	cusC//nmpC//
GO_0002183_5	ruvB//
GO_0002184_8	dsdC//
GO_0002188_6	oppA//
GO_0002190_6	gcvR//
GO_0002192_8	uxaC//
GO_0002252_3	ahr//yeiG//ybhF//uxuA//yjiQ//rplY//flgH//ydhK//purU//pyrF//
GO_0002790_6	shiA//mnmG//yiaU//kefG//avtA//alaC//rpnA//
GO_0002937_9	bdm//
GO_0002938_8	ytfQ//
GO_0002939_7	ldrB//
GO_0002943_8	glpA//
GO_0002949_8	wzzB//ygiV//pepN//ariR//
GO_0003333_7	rtcB//ttcA//moaA//murJ//tauA//mmuM//waaG//sfmC//yneE//paaX//yeiE//ycjW//ycjR//queE//mazG//cspI//pdeK//betT//cutA//uvrD//araH//ybeY//aidB//yohC//narH//envR//rsmI//satP//frdB//yfeR//alaA//osmF//secA//nhaA//rhaR//manA//lpxD//astB//ugd//ompN//rpsJ//pdeF//ftsQ//ariR//cspG//thiM//ptsG//thrL//ppiC//
GO_0005975_4	hexR//rfbD//yhjB//gltD//ogt//yjtD//rho//insH-5//rstB//insI-1//exuR//aphA//dcd//lsrK//trmH//rdgC//casA//ycjW//xylB//prfB//ulaB//topB//argB//rsmF//ychF//dgoR//yahO//mtfA//znuC//intF//envC//slmA//yhhT//casA//glnQ//insI-1//clpB//csgG//uof//tdcC//hcaD//dgoT//mocA//galF//gppA//birA//leuC//prpC//dgoD//yqiH//ygaZ//ulaE//casD//proQ//mdtL//gltK//ung//sucD//dnaT//torI//norV//ybhJ//helD//panF//tcdA//chbC//galU//yjjV//ruvA//hofQ//xylB//waaY//fimH//yiaL//ariR//tusC//ftsE//ptsH//gltK//gltS//ygaH//ybjX//glnA//dicC//ybiY//rdgB//selA//ftsZ//intE//ybdR//cra//ribC//yciH//ydcM//gpsA//yjjI//lsrA//maa//lacI//asr//torC//garL//sgcC//yiaL//yiaN//cdd//aas//nirC//fnr//speA//hcaF//ttdT//yihV//mrp//fixC//xseA//artM//argR//yihV//trkH//astC//dgoR//pppA//rpsP//dgoR//bglX//wzb//miaB//rnd//clcA//lysC//mutM//pyrB//yihP//rpsO//glpK//dhaM//ompN//rplF//adeQ//alaS//crl//ymjB//ulaR//yagI//aaeB//ybjX//rimP//rutG//nagE//kbaZ//pheA//ydhJ//ybiS//trpD//mtr//hokE//ompA//ispG//wcaJ//uvrC//prfC//dnaE//pflA//gppA//plsB//yiaO//ybaT//yhjR//carA//ygcO//uhpA//eco//rihB//pgpC//yjjU//ampD//otsB//ulaA//cspI//rclR//glgP//hisS//yqjI//casC//rutC//cdd//rpsN//araD//cyoD//rfaD//nfsB//aspC//ydhC//ybaQ//mdtG//bluF//lptF//ttdR//yjjB//yfbS//zapA//alsA//gsiD//yfcQ//sucC//dmlR//thiM//cueO//ybcF//ugpE//yfhH//rhaM//lexA//yraH//sucD//yjeH//yceD//alaA//nfuA//dgcN//rpsK//cydC//curA//lpcA//tolQ//kduI//hypD//ybhP//abgR//insA-1//cysW//rssB//yqiI//ttcA//truB//allS//cobT//aas//fhuB//rplC//dinJ//fhuD//yfjV//yhbY//argS//tnaA//tsaC//pdhR//polA//ubiA//mltB//eutB//speA//
GO_0005976_5	sapA//oxyR//yfaX//cpdA//dacA//degP//yahK//fadE//rpoA//murC//thiQ//mdtL//lpxL//agaS//motA//dcp//mukB//rbsB//dadA//yjbF//mhpT//oppD//uxuR//yfaX//gltI//pgpB//yieE//lptB//lsrG//menC//mmuM//cadA//panZ//dgcZ//lpp//yejA//gcvT//dsbD//dtpD//lldD//waaC//yjiY//manX//ribF//rpsH//brnQ//dsbB//gmhB//ftsP//metB//hypT//nikA//cvpA//hybE//gstB//iraD//thyA//ydiO//rhaS//
GO_0005977_6	wzzE//rzpR//topA//sodA//ydfD//mdtK//ybiH//araA//
GO_0005978_7	secE//relB//lgt//fpr//
GO_0005979_8	bssS//
GO_0005980_7	thrA//secF//pldB//
GO_0005981_7	appY//
GO_0005984_5	fkpB//sufE//rlmL//allB//lldR//iap//phnM//sppA//yqeA//pflC//psuG//
GO_0005985_6	ridA//
GO_0005986_7	modA//
GO_0005988_6	intZ//glpG//
GO_0005990_7	menD//holE//
GO_0005991_6	yqeF//mntR//kefG//yhcF//kduD//
GO_0005992_7	tas//uof//
GO_0005993_7	napA//alsA//leuO//
GO_0005994_6	rimL//
GO_0005995_7	uxuA//
GO_0005996_4	hprS//queE//fimE//pheP//intQ//truC//ftsY//tcdA//hyi//rffH//kdgK//paaX//accC//hdeD//epmC//ydiK//ibpA//pstA//fdnG//lsrG//ymgA//xerD//znuA//ybhJ//ompG//mscL//pheS//ybgI//yihL//cobB//mtnN//dosP//ybbY//rbsD//citX//uxaC//casA//priA//rpsQ//iscX//lacI//mglC//kdgR//lacI//yhjA//proW//ydfK//bipA//malQ//rbfA//mepM//intF//ubiF//rsfS//dadA//yaaY//ycbX//ybaQ//mliC//recB//cueR//yggF//galK//fdx//macB//rpmG//ydfH//dinI//mtgA//yqaB//gyrB//ydiB//mepM//rmf//lysS//rssB//guaA//ftsB//sspA//era//leuD//dsbB//
GO_0005997_6	pdxY//
GO_0005998_7	arnB//
GO_0006000_6	aceK//hscC//barA//
GO_0006001_7	focA//rcnB//
GO_0006002_5	potI//ribF//ileS//
GO_0006004_6	tldD//gntR//dnaT//msrP//ychO//arnD//
GO_0006006_6	hcaT//pflB//dauA//yggN//selB//glgX//infB//metC//dgcM//ybcQ//ilvL//yiiM//proC//hemC//gmk//katG//gloB//mepS//rsmI//udk//ssuD//gltS//yaaU//
GO_0006007_7	mdtG//rcsF//helD//
GO_0006011_5	lpxP//
GO_0006012_6	rdgB//glgP//glpG//yeaD//fmt//aroK//tig//casA//eamB//
GO_0006013_6	lpxD//rsfS//
GO_0006014_6	bssR//sdaA//yihS//
GO_0006015_7	glpF//mnmE//
GO_0006020_5	qseC//
GO_0006022_5	guaB//setC//mdh//perR//fimF//trpR//ldrA//lspA//narG//yqiG//arfA//chbC//yeaG//ahpC//uspE//serC//yhjX//guaB//opgH//bolA//tas//cysA//iraM//mltA//dtpC//cheW//rcnB//paaE//mglA//upp//mglB//cusC//rfaC//yidA//amiD//caiF//xdhB//trmH//lpxP//yjiX//sgrR//lldP//lpxM//melR//exuT//prmA//yidQ//ariR//mreD//emrD//thiE//yieH//ilvN//melA//polB//frmR//glnL//zwf//dnaB//gcvR//agaS//cyoE//mraY//
GO_0006023_6	yegV//mazF//ssuC//modB//gcvT//rluF//queD//lgoD//recN//nikC//cspC//dgcM//ybcL//ftp//trg//rffC//yfcV//dgcN//rpsN//cobC//cyaA//murB//nadK//tatC//kdgR//glpA//endA//queG//ghxQ//dsdA//lpxD//intS//fryA//ybhG//galM//arnT//mtlR//cusF//nhaB//
GO_0006024_7	pldB//dcuA//treF//tsaD//dinB//actP//rsmF//yojI//aroP//proC//fepD//trmO//glpX//bamB//mrcA//vsr//yihQ//trmI//tcyP//ycbB//mzrA//dicC//ppiA//pepB//nagD//ascF//intA//xthA//gldA//mdfA//ydiV//yjeI//ydeO//ypdC//focA//yfgO//birA//glgP//cysD//
GO_0006026_6	hybB//yraI//potE//ftsX//nagB//ycdX//ptsI//hipB//paaC//ispA//
GO_0006027_7	entF//rplR//hyi//ndh//ybhF//rhlB//rraA//rsmD//ydjM//hipB//
GO_0006040_5	betA//yjeH//nhaA//lpcA//atpC//gltB//wcaC//fadI//zraR//deoC//rfbC//yfeW//tsaC//norR//citT//cydA//oppC//
GO_0006044_7	cydB//uraA//hycB//hypB//frvA//
GO_0006046_8	rusA//ybhP//avtA//dcuB//
GO_0006047_5	elfA//glcC//kbp//sxy//yraR//rutF//ygiW//
GO_0006048_6	bioA//sgrT//hypA//appY//acrR//dgcF//
GO_0006050_6	aroF//
GO_0006051_7	bcp//
GO_0006053_8	kbaZ//
GO_0006054_6	nikD//rhaR//hxpA//nmpC//perR//zipA//miaB//
GO_0006056_6	patD//
GO_0006057_7	ppsR//
GO_0006059_6	yfcG//argT//narX//yjeH//
GO_0006060_7	malF//
GO_0006062_8	psd//
GO_0006063_5	acrE//ugpB//emrK//ppc//fdhF//murC//ymfA//glsA//yhgF//
GO_0006064_6	insI3//uvrY//yhjC//aroK//ravA//spy//
GO_0006066_4	gadA//cheW//xylR//fpr//eutB//rlmC//waaZ//pntB//yhjB//eamA//fepG//ygfA//flgH//bisC//kdgK//spoT//yadC//hycA//motA//pspG//fecA//dgt//cysW//mtlR//dauA//argB//yfeD//pdhR//arnB//ynhF//allS//uvrY//
GO_0006067_6	glpB//ybjC//mdtP//
GO_0006071_6	ygfI//creB//yagU//cas2//galF//pyrH//pepA//
GO_0006072_6	waaG//intQ//yifB//entD//ariR//
GO_0006073_6	gudX//yjfF//ydjE//allD//fdnG//yhaO//atoB//yaiP//casC//chpB//soxS//cpxA//gspF//allC//kdpE//fimE//mazF//basR//yahB//acpT//
GO_0006081_4	rhaA//rimO//nudF//hicA//gpmA//shiA//lpxT//metH//livJ//dinI//nuoB//fdoH//rutD//murD//rpsS//patZ//agaD//uidA//paaF//kdgT//fecC//waaG//asd//ydfK//yqeG//ybhJ//dcuD//nanA//atpE//chpB//fumC//gltB//evgS//ybiW//serS//fdx//ribB//zinT//pepB//rlmE//dbpA//rpmB//pdeR//cbtA//nupC//bcsA//ygaZ//yihL//ygaH//yceO//entB//tcyL//galM//ybcJ//aroL//acrF//rplM//phnH//zur//gadX//dut//livK//deoA//fbp//argB//accD//sapC//
GO_0006082_4	frdC//rplF//rhsD//ftsZ//ygiS//bamD//rlmJ//gntP//atpC//mntS//yadG//pitB//glsA//sucB//selU//dsdX//mak//paaE//dxs//luxS//exbB//entF//cynX//ftsX//murJ//ugpB//rsmJ//hflX//folD//chpS//nanE//fliD//udp//btuC//rpoH//rplW//pepB//priB//yjaA//pgpA//yadC//eutA//dkgB//yjaA//ttdB//fetA//dinG//accD//bglF//nanS//prpB//cdd//frlA//asd//pstB//yqeA//mscK//rbsR//ydjL//rpsN//ribE//yhcD//rhaM//aroB//yeeO//xseB//yraJ//yidK//arcA//metK//pgpC//wzyE//sapA//ygaV//ygiN//tsf//murE//yciG//scpC//zapD//yhgF//gntP//napC//ligA//mnmG//yraJ//chpB//tig//queA//yccA//cyoD//cyoB//rclC//rbsC//brnQ//yfcA//hdeB//pepQ//ydeP//nadA//epmB//aphA//tabA//fepG//fdoG//gcvH//fdnH//yjtD//chaA//ilvD//cheB//cnu//rsmE//cbl//lptB//rlmC//xanP//ybaL//cmtA//bamA//hisP//hemG//ihfB//dacA//cysW//cdd//dgcJ//rcnR//rimJ//hxpA//lldR//ytfE//ftsQ//gpt//ycjU//hcaD//elaD//frlR//bdm//xisR//dinB//yfgJ//tadA//dicA//aceF//tamB//uraA//manZ//clpA//pdxA//nagK//bsmA//rpsT//yqeA//wrbA//ftsK//greB//ydjJ//yifB//gcvP//slyA//gutQ//yieE//lpxB//phnJ//xapR//pgaD//modC//pstC//nrdA//lapB//cysU//abpA//tomB//ydfH//artJ//phnH//kdsB//elyC//nudC//napA//rplR//truD//speA//gutM//phoQ//ralR//cpxP//glnK//srlE//sthA//ulaF//tsgA//nlpE//fic//potE//trpC//yagE//dgoT//trpL//ybjL//glgC//glnS//codB//mhpC//hokE//hsdR//eutN//sbmA//hyaA//yihU//narJ//clcA//malG//hypF//wecC//artP//norR//gspE//uidR//iscX//xylA//lpxP//epmB//degP//mhpD//mntR//rimI//treB//recA//sapC//tbpA//sapC//dsbC//uacT//rbsK//tktB//appA//ydiZ//hybG//cysN//aldB//frdC//tauB//treA//ybgQ//chaA//htpG//lpxH//ugpB//narU//yehU//rnc//ycfS//asd//mscL//dicA//uxaA//nuoN//arcB//clpA//yobA//hisP//dut//fixB//decR//metH//rimO//yeeY//queF//dppD//cyoA//eco//ilvE//clpA//nlpE//ybbW//sdhE//rplJ//thiI//frwD//glvB//lamB//yhgH//fliT//rpsS//ssb//nrfB//dppD//bfr//treA//aphA//purF//abgR//cusB//rplW//kdsB//gabP//phr//xanQ//lipB//fadM//dgcE//yfjV//fumA//rseC//rpsE//yobF//mdlB//torR//sbcD//ratA//csgG//ghoS//hsdM//ddlB//hycI//rseP//yfjV//codB//sutR//dgcE//casB//waaG//ydhC//fecC//fecC//speE//ggt//pbpC//btuR//yjjV//higA//yrdA//tus//leuC//tsaC//hypB//cbrA//trpA//ftsE//phnC//aroD//preA//acnB//rfbX//acrF//zapB//ybaK//tus//csrD//tsaD//rpsN//livM//sgrR//dcm//yehW//sgrR//yjeI//metK//nfsB//fbaA//epd//trkH//ynfH//rpsD//ydeI//recR//treF//ampG//elfD//yjiR//ldtB//glcC//tyrR//nuoF//phnG//galP//yqeA//yegD//rpsB//cydB//ulaE//uvrA//yfjR//msrP//ackA//nimR//tabA//hypT//opgE//fieF//intZ//lolA//symE//adiC//ypdC//yejB//alsC//preT//yhjR//artJ//dinB//mltF//bglH//ltaE//malP//mrdA//dapB//deoC//cysA//feaB//ycjW//waaP//rpmC//hiuH//livM//ybcM//rayT//hdhA//yidL//rlmJ//ppiD//corA//nimT//uspB//rsmG//helD//dhaM//mutL//yfcG//nhaA//yfaV//truB//rhaM//leuC//cydD//mobA//folA//ygfX//murP//ydaN//trxC//lysA//sad//ccmF//patD//nikE//tyrA//thiD//cvrA//sfsB//parE//tsaE//rfbC//tusC//dedD//nlpD//cynX//aldB//
GO_0006083_6	rsmC//yebK//ybbN//hycB//dtpD//gadB//
GO_0006084_6	yehZ//acs//
GO_0006085_7	ccmH//brnQ//
GO_0006086_8	rpmG//
GO_0006089_5	phoB//mtnN//ymjB//folA//hybA//ybhD//motA//aaeR//ackA//mdtO//creC//malS//rfaF//tnaC//dosP//norR//nei//ydhC//cysN//ycjY//puuC//ung//acpS//kbp//ilvM//fiu//elfC//trmH//flgG//
GO_0006090_8	ycbX//dxs//ispH//ydiP//ydeT//tadA//ilvA//arnE//yacG//nuoE//gph//yqiI//sgcA//fabH//gadC//bglH//dnaX//purF//azoR//miaA//mglA//hyfA//mraZ//cheR//ftsA//atoS//nuoF//yqeG//ygaZ//tmk//kefG//
GO_0006091_4	rpmF//sad//higB//rlpA//ycjD//msrA//yfcS//pstA//mutS//patZ//fic//fhuC//soxR//clpB//agaI//dinB//trpC//idnK//lsrA//yqaB//gltP//yafS//leuO//rssA//yiaU//gabP//ybjG//srlA//prkB//yihR//aaeB//waaF//aspC//cpsB//gppA//pagP//mepA//mltG//ulaR//yohC//garK//ugpE//yggF//bacA//ddpA//dsbD//ydcR//thrC//sufB//yejF//garD//rimP//tusC//trkH//lolC//treR//fadA//hypD//mak//hemL//ilvM//fbp//vsr//shoB//mntH//slt//ralR//rsmA//yfaU//ynjA//rplY//cusS//nhaA//basR//dfp//sgrR//yqgB//hcp//mepM//baeS//yggW//idnO//fiu//secE//yjjX//recG//dgcF//ycbX//glnS//yqjH//galF//amiD//sugE//fliM//cpxR//dkgA//ydiK//fliZ//sgrR//ltaE//fimD//fdnH//hslU//cvrA//gutQ//allB//metR//yifB//uspE//gsiB//trpGD//yigB//
GO_0006094_7	nimT//tcyJ//phoP//tatD//nrdB//moeA//dapD//yciH//gspE//moeB//
GO_0006096_6	msrP//sdhD//ompA//fadJ//tilS//csgE//yihT//ccmA//mlaB//yidR//ydfH//pyrG//intA//hrsA//pdeK//yacG//waaF//argO//
GO_0006097_5	yafE//narI//rffG//mlc//rsgA//
GO_0006098_6	bcsQ//lpxM//rfaG//ihfA//idnO//
GO_0006099_4	rutC//accB//torR//wecC//kduI//nupX//rffG//ydfK//menE//cynX//yigB//fhuC//fabA//yebZ//fimI//tatA//gloC//
GO_0006101_6	ynfK//zntR//add//rplJ//hscC//opgH//tdk//hemC//mgsA//moeA//nrfB//ydcZ//holB//patD//feoB//yggX//yghO//
GO_0006103_5	ybgQ//rpsJ//yhjR//
GO_0006104_6	perR//yqgB//pspD//
GO_0006105_5	entA//ftsZ//torI//hemC//glpC//narV//argA//rihA//
GO_0006106_8	mhpB//
GO_0006107_8	decR//
GO_0006108_8	rzpR//yfcV//frvB//cusR//nirB//
GO_0006109_6	dauA//ynaI//yfcA//rimI//yacG//fucK//hcaT//ilvL//nagZ//
GO_0006112_5	cbl//panC//fliT//hyi//ssuD//oppB//serA//ftsZ//
GO_0006113_5	gudX//ydfD//lpd//mdtK//nfsB//arnB//frmA//dcuD//glxR//phoR//rbn//rnc//malS//
GO_0006115_6	recQ//
GO_0006117_5	trpE//
GO_0006124_6	nanK//
