#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	focB//tsgA//agaD//ybdM//
GO_0001907_5	yghO//opgC//arfB//clsA//
GO_0001932_8	wzzE//srlD//
GO_0001934_9	yggW//
GO_0002047_6	ihfB//citX//
GO_0002097_8	glyS//psuG//yidK//prpC//zapD//rhmR//gmhB//hemA//dctR//feoB//frvB//yfgI//gabP//glcF//envR//rseB//ptsI//bioB//rbsC//
GO_0002098_9	potF//ldrB//yeeL//lacI//sstT//alaE//degP//plsX//pdeR//proW//lpxM//paaG//csgD//
GO_0002099_9	ydcM//raiA//
GO_0002100_9	yiiE//
GO_0002101_9	yedX//aaeA//
GO_0002128_7	bglB//gadE//hemA//metF//
GO_0002130_8	iscA//
GO_0002131_9	pyrL//
GO_0002132_9	dmsC//
GO_0002136_10	fsr//
GO_0002143_9	yidD//asmA//waaJ//hisC//dtd//eutA//
GO_0002181_7	prmB//ybiI//
GO_0002183_5	malY//
GO_0002184_8	tufB//
GO_0002188_6	tdh//
GO_0002190_6	dinI//
GO_0002192_8	gcl//
GO_0002252_3	ynbC//dsbD//chaC//ygeX//fimD//potB//sgbE//rplN//panZ//plsX//
GO_0002790_6	phnJ//gpmM//eptC//lpxL//rnhB//fre//astB//
GO_0002937_9	ygbM//
GO_0002938_8	ompW//
GO_0002939_7	flgM//
GO_0002943_8	gatZ//
GO_0002949_8	aceA//dinD//sseA//pdeL//
GO_0003333_7	rpsG//narI//yeiE//cof//fis//opgH//hdhA//ymgF//nikB//clsB//rcsA//melA//mlaB//trpD//cysS//guaB//cydD//dcyD//nadC//rcsA//rpmC//fklB//fabH//ybiX//borD//ftsZ//nimR//ygiS//btuR//mngA//hscA//fic//ftsA//ssuE//phr//hisH//cusA//iscR//yggP//deoR//bamE//hyaA//hybC//bglB//livF//zinT//sgbH//cusC//aroK//
GO_0005975_4	rplL//yijO//bamB//malG//ftsE//rihC//rsmJ//ymjB//infB//ugpA//mnmG//xisR//ydeI//potB//xylE//emrD//trpC//cysB//murI//yafN//ulaA//rraB//yibH//deoR//hipA//pstA//gabT//yadI//pldB//hypC//recJ//yjeI//uvrD//mazF//sgcC//pepA//hemN//dnaE//shiA//srlD//wecE//nikD//rpsK//prfB//aslB//paaH//purT//sgcB//yfjV//yddM//thrB//hokB//gstB//ybhJ//yeaD//dpiB//truB//mocA//fdoH//yidQ//yajO//hofP//purT//insA-2//pdeR//amiB//fecD//nadD//xapB//ascB//nudF//ytfP//cbrC//melA//pdhR//fnr//patD//gapC//kduD//btuD//barA//oppD//yacG//rfaB//aes//ftnA//ompF//rpoE//nanR//yjeI//ydhC//hisI//fre//ispA//ygaV//sgrT//insH-5//hflC//ilvM//thiH//accD//yidL//ubiH//cmtB//dcuR//eco//rcnB//lsrG//ispG//cobB//ggt//manX//hchA//mipA//yeiL//wecB//potH//rsmD//dosP//fruK//rffM//yhbO//yhaC//galM//uxuA//alpA//rzoD//chpB//ybaM//yqiI//aroL//menA//ltaE//aer//yaaJ//fiu//ycfS//atoC//ydaC//bioD2//yihW//nmpC//pspD//entD//rpsL//atpD//def//deoD//modC//argG//ydfK//pgk//yddL//gntU//rpmF//mglC//ptsP//hdeD//pdxH//frr//dnaJ//tsaE//yehD//yeaE//glpR//rpmH//mdtG//kefB//argB//cdd//pyrF//pgrR//gpsA//glmM//sspA//mhpR//hokB//cmtB//eamA//flgJ//rplK//mlaB//brnQ//ycgB//ydiQ//chaC//dnaA//mutS//selD//bamE//ymgC//glnQ//argK//ldtD//abgA//dsdX//pstA//osmY//intS//rph//ariR//nanS//rph//adeP//metI//hipB//folP//epmB//fabI//iclR//nrdH//ccmF//narW//yihI//ptsG//sgbU//maeA//rep//rffM//galU//fkpA//ycjW//yobF//deoD//cobT//recA//rpsS//dtpA//rpsO//hemH//dinJ//yagJ//ykgM//sohB//hicA//ygdG//yeiL//ruvB//arnE//mdlB//yqcC//fimA//yaaJ//mepM//nusG//fabH//lldR//sapD//ptsP//ispU//pepA//hofQ//surA//ycdX//
GO_0005976_5	rpnA//kbaY//gadB//waaA//hxpA//rfaD//argG//glpT//rhsD//waaC//yfaL//priA//rlmF//opgE//uvrD//atpB//dcyD//gatZ//bioD//malZ//trpC//syd//pdxB//waaA//ltaE//gatB//nimR//yiaM//arnF//uxuB//tcyP//ugpA//ampH//arsC//dosP//rhaS//nei//ynhF//ascB//ygiB//mtnN//gltL//mcbA//yoeE//kdpC//yciV//mog//xanP//ribD//sohB//erpA//mnmG//glgX//araH//oppC//ilvE//queC//yibT//rplI//
GO_0005977_6	tsr//kefF//tolC//prfB//agaB//sgbU//gltL//tolB//
GO_0005978_7	yhdJ//glpB//cynT//hexR//
GO_0005979_8	mltD//
GO_0005980_7	yigL//thrL//potE//
GO_0005981_7	gabP//
GO_0005984_5	xdhB//mnmE//adiA//proW//lysO//glsA1//ybaL//hicB//csgF//cynT//fhuB//
GO_0005985_6	thiC//
GO_0005986_7	rsmD//
GO_0005988_6	dmsA//zur//
GO_0005990_7	trmO//moaD//
GO_0005991_6	arnD//flhC//yjiR//rarA//crr//
GO_0005992_7	rplE//zraR//
GO_0005993_7	agaS//yehC//waaZ//
GO_0005994_6	pflB//
GO_0005995_7	fucI//
GO_0005996_4	rluF//argG//cheA//fixC//glpX//ftnB//gatC//proQ//gntP//fabZ//wecB//glpK//aroC//rclC//bamD//rpmG//exuR//uvrD//afuB//gfcE//ycfJ//folD//fecC//tsgA//ycjW//ypdC//pepQ//dtpC//pyrL//ariR//ldrA//metQ//tdk//xseB//clcB//ypdF//sad//nupC//yefM//elfC//yafS//trmL//pcm//ybjG//rluE//pstS//uidC//hipA//fimG//zapC//pbpG//rfaE//pdxB//acrA//proP//arnT//pyrH//eptA//pstS//ydaV//umuC//dgcJ//yihU//creB//yjjW//narQ//trg//yqcC//hcaR//adiY//manX//yhaJ//dcuC//kdsC//yebS//fliA//fepG//rbsA//sbmC//nagC//uof//curA//
GO_0005997_6	pgm//
GO_0005998_7	tag//
GO_0006000_6	bdcR//yiiD//clpS//
GO_0006001_7	tatD//sbmA//
GO_0006002_5	gltS//ybcQ//glgP//
GO_0006004_6	tatC//rplR//caiE//adiY//ykgF//opgD//
GO_0006006_6	yhbO//phoR//proX//rutF//iraP//ahr//serB//malQ//tnaB//xapB//uup//ydfH//rpe//amyA//ompT//mraY//nadE//fiu//waaP//malZ//recJ//exuT//btuE//
GO_0006007_7	puuC//yjcE//pdeR//
GO_0006011_5	pykA//
GO_0006012_6	proP//hprR//ampD//groL//rusA//yahF//mrp//hflC//yhdX//
GO_0006013_6	fimD//rplI//
GO_0006014_6	tar//yaaJ//hofN//
GO_0006015_7	aspA//msrQ//
GO_0006020_5	clcA//
GO_0006022_5	gadA//livM//nrfD//flgJ//rpsT//idnD//yfdC//uvrA//yccA//ihfB//efp//aroG//aldB//trmO//epmC//ftsX//mcbR//yccX//mhpT//lgt//allD//leuD//ybdH//ugpC//dinB//xapA//evgS//ubiE//hemA//fis//gmk//trpS//ubiH//ais//ydeO//frdD//rplL//dsbC//yfdG//arnE//mrcB//ydiO//tynA//gspI//ypdI//cas1//fliA//spy//argH//hdeA//norW//cysI//metI//nudB//sfmC//gadW//pheT//ynfE//ybhJ//dacD//gsiD//yihR//tsr//
GO_0006023_6	ttdR//wzc//lpxC//ykgM//idnT//glsB//lpp//xthA//udk//rbsC//baeR//fecA//curA//mltG//dmsB//dmsB//ybgQ//lrp//yhbQ//qseB//argF//nagK//abgR//caiT//metK//potH//patD//rpsB//trpB//ydbD//potC//pinQ//caiF//lrhA//dcyD//uup//yjbB//wecA//zraR//
GO_0006024_7	ulaR//hycI//trmB//asmA//yfjV//tktB//narW//hemG//talB//rsmH//rpsQ//sseA//arfA//alkB//tolC//ycfL//cysU//ulaB//araC//cvpA//ydjM//csdA//ptsP//ybbN//proX//rnlA//fliS//iraP//envC//sbmA//pdeD//yidH//narV//galM//rlmI//diaA//ubiB//uxaC//ydiP//
GO_0006026_6	feoA//degP//talB//mutL//ycfH//bcp//ydiB//pppA//fadA//tyrR//
GO_0006027_7	ydfG//frlB//xylR//fre//iscR//cpsB//patD//hsdR//yabI//ydfK//
GO_0006040_5	fes//hemD//hslV//serS//frvA//kefC//glnB//cysU//leuD//msrP//cbtA//fbaA//purN//gadB//yciT//umuC//gltS//
GO_0006044_7	rluE//iscR//arsR//hisP//yihL//
GO_0006046_8	rcsC//rraA//gcvR//dgt//
GO_0006047_5	rlpA//yjbG//panD//yfgI//fbaA//msrQ//poxB//
GO_0006048_6	rayT//dsbG//manZ//ldrB//mdtI//nagE//
GO_0006050_6	gudX//
GO_0006051_7	yafS//
GO_0006053_8	htpG//
GO_0006054_6	ydjL//csgB//insH-5//rfaH//yjjI//yqhC//fruA//
GO_0006056_6	hrpA//
GO_0006057_7	tdcC//
GO_0006059_6	msrQ//ompL//alsK//yiaM//
GO_0006060_7	yphD//
GO_0006062_8	rfaG//
GO_0006063_5	patA//pepB//yehP//yeeY//yggN//abgA//glcB//thrL//chbF//
GO_0006064_6	rlmB//macB//dnaB//ftsA//shiA//rimJ//
GO_0006066_4	yiaJ//pinE//dacD//hycB//wzyE//yojI//amiC//rplD//eamB//speC//nuoM//menD//pflC//arsR//citG//yjbH//rpmF//rclA//waaH//xylE//ygaV//mscM//kdpA//yebK//nirB//yiaM//pnuC//sanA//aroC//yfaV//rpsP//dtd//
GO_0006067_6	hofP//sdhD//ybhG//
GO_0006071_6	kdpE//eutN//yegT//rffT//yraI//eutK//fecD//
GO_0006072_6	katG//adk//ycbV//gluQ//radA//
GO_0006073_6	yhdX//ilvN//atpB//rep//pdxA//rluD//xerD//glnA//ispA//ybfE//glgB//pth//ampG//sgrR//malI//pdeH//mrcB//adiA//tnaB//agaV//
GO_0006081_4	ychF//cvpA//yjiR//ycjR//ypdB//rsmB//yciV//cadB//nhaR//hisM//fucO//tdh//ubiJ//focB//adhP//gloC//pheP//rrrD//ybcQ//yqaA//hda//putA//tap//ypdF//kefC//rfaC//ybjC//insB-4//pliG//phr//secE//treF//rcsC//ybeQ//gatD//bamE//betA//ydbK//yidP//essD//hisB//gspI//rdgC//nhaA//fhuF//lplA//kdpC//artM//speC//iscU//patZ//hybE//sspA//pabC//mdlA//thrL//yecS//elaD//ompC//topB//rclB//gspF//msrC//yqaE//ynjA//lptE//cysP//
GO_0006082_4	hcaE//tolQ//sapB//zapB//cynS//rplL//waaL//deoC//bdcA//insB-4//ada//mdtI//blc//queE//truC//glpG//yidZ//lpxL//rplS//wcaB//spoT//syd//yieF//pdhR//clpP//fruK//malI//ycjR//yihS//phnI//yahN//gltB//arfA//cdgI//yiiE//ebgA//yegS//chbB//bcp//agaC//bdcA//aroG//rssA//dkgB//ddpX//ycgV//mltA//mntR//hexR//yqcC//phnH//yadN//allB//paoC//rpsN//ssuC//hisM//recJ//yjjU//ydbD//flgD//galK//mngR//pdeK//edd//ycgR//wzc//fliT//malQ//qorA//yagF//narI//chbG//tisB//deaD//yiaJ//trmA//rffT//yajR//atpE//ytfT//rfaF//yhcH//apt//nemR//gltX//ais//tsf//hdfR//malK//mgtA//sixA//uvrD//tcyN//ribC//ygiN//rarA//dsbB//bioF//yqaE//gatZ//ralR//hofO//menA//ydiV//hemG//ghxP//menF//xylB//dnaJ//cyoE//alkB//chbG//pbpC//yagJ//rzpR//moaB//slmA//yadK//ybhG//sdhC//paaH//malE//nrdA//kdsB//gpsA//hyaA//rffG//dgcT//nagC//gntU//panC//apt//cptB//gsiA//pstC//xanQ//corA//insI-1//ugpE//rplJ//yhdX//bdm//yeaD//rpmF//xisE//astC//endA//glcD//hypD//cytR//mreC//uhpC//thiC//frsA//cpsB//rseC//yegS//barA//fepB//yhaM//ydfK//mioC//tehA//sgcX//aaeR//acrZ//yedF//nanE//dbpA//mug//dctA//glnL//nanC//insH-5//rpsN//ppx//iscR//frlA//nupG//purB//nmpC//mlaC//tatE//lpxM//cusS//arfB//puuE//narP//cdaR//yidP//lon//alsA//yicJ//paaK//trmI//dppF//allB//narK//ybhD//malK//lpxB//phnK//ltaE//rutB//phnH//msbA//ygjH//helD//yafE//sapB//nupC//rpmG//rtcB//paaD//glnS//ygaH//yoaA//nrdB//flgB//zapA//ykgO//ybjN//ibsB//frvB//ogt//abgT//alpA//tonB//thiP//dfp//pagP//bacA//recX//ynbB//yphF//malY//lepB//ybcC//fkpB//lgoD//pdxJ//hslU//setC//rzpD//ibsD//nrdH//ybgQ//aes//yebZ//acpS//dnaA//puuR//prfC//dcuC//icd//rplX//higB//sgcR//psuG//ibpB//glgB//gsiB//nanC//yhjV//bluR//epd//shiA//bdm//ydcO//nikE//yhfS//yhhT//upp//yjhH//grxD//adk//ycfL//acrR//bsmA//yejB//cra//exuR//tap//yagE//phnI//rraA//dgoR//cusS//xthA//ydeT//yddA//fis//rpiB//yfgO//glk//hycI//yghG//bioH//clsB//yfaU//rhmR//dadA//gshA//rpsK//srlA//mhpB//paaH//ccmH//tdcR//intE//hyfA//rimL//prmC//mhpR//cheW//rpiB//ycfS//dicB//trpB//sfmH//nanK//preT//cheY//tolB//mraY//malP//crl//lysC//rzoD//rimL//dps//tsr//secF//flgM//obgE//envY//dxr//pdeD//chbF//insA-1//pflB//sthA//tnaB//kdgR//dicA//ybiJ//yihP//yqjI//sgcX//lpxK//kdpD//ldcA//yibA//yehY//yjjB//iraD//mnmE//mzrA//ispH//cpxR//lsrA//rutB//hofM//gntU//ttcA//ynfK//ileS//ymfK//poxB//yobA//gltS//tisB//asd//cysK//yggP//flhE//mnmC//chbC//gapC//erpA//yedA//nlpD//gntU//thiI//ulaA//phnL//rplJ//comR//nfuA//rbbA//nrfF//yjcS//ispB//pyrC//aceF//rluF//cdsA//rpoH//ybiA//mdtM//yceK//uidA//gltP//cvpA//dapD//fabG//hyaA//fetA//yjhC//sfsA//topA//dsbC//mltF//hscB//nuoB//ycbV//purN//pphA//ycaO//bacA//yegS//yneE//yfeW//bcr//argH//polA//pepQ//polB//narQ//grxD//casB//yfdO//tsf//menB//frwB//pheA//yggD//yfgO//flgA//mutS//pyrE//rsmF//yadG//sgbE//secA//mdlB//fucA//yhfK//mngA//nlpE//sbcD//ybhD//xylB//decR//galP//uvrB//rlmG//msrA//yabI//
GO_0006083_6	yceD//dcuR//trmL//yeeY//hdeA//dppF//
GO_0006084_6	csdA//gnsB//
GO_0006085_7	tatA//gapC//
GO_0006086_8	hscC//
GO_0006089_5	cheR//dsbA//araH//dtpC//thiL//gntT//aroH//ghxQ//ycjD//tqsA//yiaF//lpxD//sodB//rplF//entD//dedD//kdpA//yqhD//lplA//hisP//oxyR//yhaJ//tpx//putP//hyaD//thrC//yagU//rimM//nuoL//
GO_0006090_8	aaeR//ybbN//msrC//pyrE//pbpC//murE//rbsD//dnaG//hofM//lpxD//glnD//macA//pyrE//lapB//ndh//ubiC//frmR//ybaM//ubiC//gntU//ybdG//amiB//argA//sgbH//secD//znuC//flgC//nagD//bcp//mdtP//cusS//
GO_0006091_4	feoA//ytfR//yfgO//ydiP//ynaE//insI1//lptA//frr//galR//xseB//phoP//speC//paaX//yraK//yeiL//kilR//tufB//cutA//ssuD//idi//yjbB//iraP//insI4//ldtA//envC//yajL//waaG//cho//rlmH//tcyP//flgF//kbaY//cspD//rutE//ygdG//arcC//pth//trmH//infB//dcuR//eutR//opgG//ccmF//metC//sucB//rplX//ygiS//pdeH//atpE//plsX//pntB//appB//frwB//ygbM//insI4//yohD//sbcC//chbB//yagE//epmB//hycB//tamB//ulaF//rsmB//tamA//yiaT//glk//ybjG//glgS//dtpD//betA//bcr//ascF//acrE//mlaB//dnaN//rarA//rraA//glnL//narU//lpoA//dbpA//gcvP//ygfI//zitB//ilvA//ihfB//mutS//hrsA//hrpA//rstB//ribE//yebK//dgcE//pheS//yiiD//tyrB//fryC//pstB//ybgQ//nuoF//hypB//metQ//yehZ//tcdA//ybdG//sfmD//yjiX//rhaS//mdlB//waaQ//emrD//
GO_0006094_7	yadN//yihI//yfiR//pyrB//qseB//pykA//znuB//rbsK//ybjX//yeeJ//
GO_0006096_6	rplT//tufA//emrK//yaiV//yafE//secY//lysU//dcyD//dapB//ycgR//secD//dgt//mngR//proX//ydhJ//potI//iscR//yieL//
GO_0006097_5	nadK//alkA//tig//ybjN//lysR//
GO_0006098_6	nanT//metF//yjbG//btuD//ybeF//
GO_0006099_4	ybcC//zapC//trmI//nimR//mraZ//xthA//gapC//pspA//nrdH//ldtD//adeD//prpR//slmA//moeB//xapB//yghG//ygfZ//
GO_0006101_6	ybgP//rbsR//wzc//citG//dppF//insI-1//ydiB//yjiM//setB//prfA//dcuC//ybiI//citE//pheT//galT//dgoA//ygeA//
GO_0006103_5	cvrA//htpX//modC//
GO_0006104_6	narK//kch//ppiD//
GO_0006105_5	secG//guaB//yceD//kdpF//ldrD//livJ//lpxK//yjiY//
GO_0006106_8	prfA//
GO_0006107_8	dnaA//
GO_0006108_8	hyaD//glcC//hisS//fabH//rhmR//
GO_0006109_6	torI//rluF//mmuP//waaL//mlc//yfgI//flgF//yraH//wecE//
GO_0006112_5	smrA//bamB//msrP//paaF//umuD//hns//nemA//hofP//
GO_0006113_5	ygjH//yphC//yjgX//pykA//hdeA//elaD//ldrB//ydfH//prpB//melA//umpG//deoD//trpGD//
GO_0006115_6	caiE//
GO_0006117_5	corA//
GO_0006124_6	rnb//
