#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	fecD//bhsA//ycdX//zapC//
GO_0001539_4	ybhD//chaA//insB-2//glk//add//ribF//recB//cbpM//cusC//ruvB//grxD//sgcX//sppA//dgcF//nikE//rffC//yicJ//deoD//ycjQ//wcaC//ybiV//trmB//lepA//shiA//lpxB//ugpA//yebZ//dnaX//purR//shoB//dam//
GO_0001558_5	cysP//lpcA//phnC//relA//rplR//glgP//paaA//yphD//
GO_0001561_6	cytR//
GO_0001666_4	rffC//
GO_0001676_6	dnaC//scpB//ydbD//
GO_0001680_11	sfsA//
GO_0001682_11	yqeF//
GO_0001731_7	flgH//
GO_0001762_6	pyrD//
GO_0001887_4	tar//cspA//rbsD//
GO_0001896_5	nei//mdfA//ybhP//surE//
GO_0001907_5	kefG//rzpR//rhoL//umuC//
GO_0001932_8	glsA1//ydbD//
GO_0001934_9	yjiA//
GO_0002047_6	fnr//bioD1//
GO_0002097_8	dnaG//agaV//lysU//dgoA//argO//napB//glnK//alsK//rplD//spoT//fdoH//yciT//ygbN//queC//hscB//erfK//ibpA//sxy//glgC//
GO_0002098_9	pitA//mtr//luxS//sdhB//rnpA//opgG//gsiB//ahr//dgcT//nadC//hsrA//clsA//alkA//
GO_0002099_9	iscS//rcdA//
GO_0002100_9	waaF//
GO_0002101_9	selD//gpsA//
GO_0002128_7	folX//symE//uspE//ybdH//
GO_0002130_8	ycdX//
GO_0002131_9	glnB//
GO_0002132_9	cspI//
GO_0002136_10	mlaF//
GO_0002143_9	malX//glgA//fdx//tcyN//fruB//glmM//
GO_0002181_7	nimR//yadI//
GO_0002183_5	ybhF//
GO_0002184_8	sppA//
GO_0002188_6	oppD//
GO_0002190_6	rfbX//
GO_0002192_8	folM//
GO_0002252_3	insF-1//leuB//rfe//yfdR//ansB//cas3//xseB//rfe//manZ//dapA//
GO_0002790_6	lysA//cof//rsmE//zraS//cysE//ldcA//btuD//
GO_0002937_9	cdsA//
GO_0002938_8	araG//
GO_0002939_7	dgoA//
GO_0002943_8	tnaC//
GO_0002949_8	ddpX//ygfI//yieH//fiu//
GO_0003333_7	cysS//btuR//menB//pyrL//insI-2//fdnG//ycjQ//preA//nagZ//ugpE//sapC//pgrR//gmd//mhpC//csgG//dhaK//hcaF//kefB//satP//ydhC//pgi//alaA//cysW//umpG//ydiZ//gadC//yjiQ//setC//cheW//yhhY//lysP//spoT//mdtL//yqiH//citC//zntR//rlmA//ascB//ybcF//yiaF//msrA//hupB//rhmR//cfa//tolQ//mhpB//casE//yeaV//fdrA//
GO_0005975_4	ansB//yjbG//yjhP//yebK//yhjV//tatD//nadE//ygjH//bglJ//galP//copA//aer//umpH//tauC//aroB//rplB//cbeA//tap//crr//malY//nirD//cysG//pspA//nuoB//rpsO//lysR//asnA//yiaT//fcl//minE//nagC//xseA//yibF//ftsW//lpxT//hypA//frlB//lgoR//ompA//rplN//gpp//mmuP//pitB//ulaC//rplX//rplS//fdoG//kefC//fadB//narG//bglX//cadA//yjiY//cycA//yjiA//ldcA//wecC//speB//greA//waaS//btuB//alpA//entE//pncB//tnaC//aceF//tadA//lpxL//fmt//decR//ycjR//tpx//yjiX//bglB//pinQ//yihQ//yqcG//rpoA//cynS//fryC//ynjA//yfhM//ydfH//frdA//yadM//feaB//narX//glgP//rne//msbA//glk//ampH//paaH//aroF//yhdX//ubiI//rbsD//prmC//vsr//atoC//holB//cydA//ompR//rsfS//ulaA//hybD//ydfK//insF-1//kch//argA//evgS//lepA//asmA//malE//glgC//accC//allS//yjhI//insH-6//tcyP//rpmB//ynfH//ptsN//ygfZ//cydD//yehD//moaC//ybdO//gadE//sapC//gloB//preT//yfeX//rnlB//cdd//rseC//prlC//proV//arnT//arnD//uhpA//brnQ//ompC//tolA//glyA//napD//eutD//rplJ//radA//yebK//ybhF//yhgH//ybjC//csgD//hcaT//yaaY//ftsN//gdhA//sucB//yaaY//dsbG//rsmD//rpsT//gadC//fhuB//dcuR//infC//yjcO//speF//yddM//yibT//yiaJ//hflC//bglF//yejE//queF//nagZ//clcA//livJ//yehX//treF//ftnA//dctA//lepB//fimC//frr//flgC//ybcM//dctA//rhaB//ftsZ//dps//kefG//purN//ybiT//sdhC//ruvC//glnE//sgcB//queG//murQ//roxA//yehW//xisR//ompL//yidL//recB//pstC//ychH//panC//mlaE//diaA//dbpA//mdtN//dacD//waaO//dppB//fdoI//yohC//erpA//insF-1//ldrB//fimE//glgP//yehC//kefG//rsfS//entC//rbsD//waaL//lhr//rzpD//copA//cbtA//queG//narK//pgl//yhaV//gmhB//rutR//alsA//nei//yceO//deoB//frr//parE//yihQ//pgaC//nanT//nusG//tauD//dicB//grpE//tusD//
GO_0005976_5	mdoD//hyaB//aldA//malQ//sdhB//pabB//insI4//leuO//yacG//sstT//menE//ygbL//fimC//lolC//waaH//idnD//rpoE//tsaB//elaD//matP//aaeB//nfi//yiaA//puuR//rpe//flgB//fryB//ldcA//asmA//lpxD//msrQ//yafQ//ychH//ycbX//nrfA//ssuC//rpoS//pepT//glpD//mscS//cadA//narI//panF//oppF//yciE//fimI//sodC//lgoT//yahO//sfsB//fepA//ppx//fumA//mtlA//sad//ynfK//glsB//agaB//insK//
GO_0005977_6	coaD//ubiE//atpA//lsrK//hisI//fimB//ptsG//iclR//
GO_0005978_7	cycA//umuC//cyoE//tehA//
GO_0005979_8	gluQ//
GO_0005980_7	mrcB//efp//nemR//
GO_0005981_7	rplR//
GO_0005984_5	rhtB//dusB//pykF//purC//adhE//yiaA//yfdS//uof//greB//yehT//phoA//
GO_0005985_6	mglB//
GO_0005986_7	agaS//
GO_0005988_6	ribF//yqaB//
GO_0005990_7	dcyD//higA//
GO_0005991_6	yjiR//recQ//phnI//nagA//xapR//
GO_0005992_7	tsaC//aqpZ//
GO_0005993_7	gatY//lrp//yehU//
GO_0005994_6	nemA//
GO_0005995_7	prmA//
GO_0005996_4	frdA//ssuD//selU//dgcN//pflA//cysQ//folM//patZ//yafE//ompW//malF//fimE//lrhA//relB//pgaD//mlaD//mdtQ//ynhG//hycA//aceB//ftsA//zur//tauD//proV//rnd//ibsE//yjiY//waaG//tig//gatZ//spy//fbp//rfbD//hxpA//treR//narP//nei//glnS//yfiR//yhdW//nanA//thrB//fimB//rutR//argT//cheY//ahpC//tmk//tabA//yeeJ//tehB//mhpA//fdhD//yihL//rppH//tamA//bioD//yeeA//yaaY//nfi//ybcL//rhaA//sppA//rng//yadC//yfdS//menE//gsiA//gudD//tap//tufA//lrp//potC//glgX//nanK//yaaY//tisB//recX//yibF//rimM//tbpA//ade//
GO_0005997_6	nhaB//
GO_0005998_7	purD//
GO_0006000_6	pphA//ampE//ccmG//
GO_0006001_7	ybeF//xerC//
GO_0006002_5	trg//srlE//fabA//
GO_0006004_6	recF//glpF//lysR//wecC//poxB//tpiA//
GO_0006006_6	ubiF//metB//thiP//rrrQ//lpxL//dgcE//melB//patA//cheW//yggP//rtcB//crp//glpA//hslO//pgl//priB//rlmH//tatB//yraN//yddM//ybaE//zur//sodA//
GO_0006007_7	umpH//lysA//rlmM//
GO_0006011_5	fepA//
GO_0006012_6	kbp//fecA//mdtP//amiC//sodB//aspS//arcB//mltA//pal//
GO_0006013_6	shoB//gltP//
GO_0006014_6	mnaT//hycB//greA//
GO_0006015_7	betI//ubiX//
GO_0006020_5	murC//
GO_0006022_5	curA//cmtB//malP//rpmJ//rplF//emrE//dsbD//fadA//trmH//prlF//yehD//rhaA//yejB//yhaC//rpsQ//ytfP//cmoB//potH//ybdN//proX//mdtA//nth//galF//kefG//hisS//macA//elfC//selB//pykF//torD//smrA//waaS//mdtD//ansB//nuoH//ruvB//kilR//ycaN//dcd//dacD//ymdB//yehW//ulaD//aroC//pgrR//yjhG//opgG//ibsD//dsbB//rpsE//cynT//lysP//cysK//ldtE//cdaR//nanK//elfD//aroC//dtpD//iap//rlmL//dgoD//alr//
GO_0006023_6	dgcT//rimO//csgE//bcp//deoA//narZ//tolQ//dppB//napA//yfeO//envR//ttcA//treF//plsX//dgcE//ybbW//hyfC//tusE//tdk//recB//ybdR//ydcI//ligB//moaA//pfkB//treA//cnu//ybbY//glyS//recA//atoB//lpcA//fic//yddM//rnd//yhjR//serS//guaB//ribA//
GO_0006024_7	ynbC//prmB//napA//ybcL//hflX//rnhB//dgoA//perR//ynjA//dgcN//xylF//xthA//fes//dhaK//amiA//bioP//artI//ugpE//rplR//recC//menE//clpB//mrr//npr//sugE//clpX//fadB//tesB//acpH//prmC//galU//tatB//pgk//gadB//priB//cusB//dppA//phnO//exuR//
GO_0006026_6	argC//paaK//alkA//artI//ybiJ//rhtC//hycH//ybiS//copA//mdtM//
GO_0006027_7	mepM//rpsK//ptsI//yjbB//tauD//pntB//ydhJ//ppx//yicJ//glpG//
GO_0006040_5	fadE//plaP//waaB//cutA//atoC//mutL//torR//aceK//lolA//rbsA//paaZ//osmY//yhbX//pflA//ybcM//ygiS//kdgK//
GO_0006044_7	icd//yagU//ttdA//melR//intQ//
GO_0006046_8	mscM//ydhK//emrK//ahpC//
GO_0006047_5	citE//pdxB//mdtM//yjjQ//sapF//rimI//gstA//
GO_0006048_6	bioD1//aas//metL//fimF//frlR//focB//
GO_0006050_6	glnE//
GO_0006051_7	pitA//
GO_0006053_8	ybaQ//
GO_0006054_6	phnJ//pgk//phnM//pepQ//dsbG//aidB//yhdJ//
GO_0006056_6	mnaT//
GO_0006057_7	yhdX//
GO_0006059_6	ytfE//sucC//mrp//sdhB//
GO_0006060_7	gatA//
GO_0006062_8	rlmL//
GO_0006063_5	ligB//cyoD//cysS//ygjK//ompN//hypF//glmM//lon//lysU//
GO_0006064_6	kefF//ptsG//gltI//ribF//cheB//sdhE//
GO_0006066_4	ydaN//ispH//fecD//entC//hprR//nuoF//yidR//yehD//dacD//rpe//rnb//sdaB//potG//hisM//ygeW//yedP//yiaN//yhcD//manY//btuF//rfbC//rplS//aaeB//yhhY//kduI//ydcP//degP//hslJ//nhaB//hcaD//dgoR//rimK//
GO_0006067_6	def//yaaY//fimF//
GO_0006071_6	phnH//cobU//hypF//pal//otsA//rcdA//hybD//
GO_0006072_6	recT//argC//nagB//srlE//lysP//
GO_0006073_6	asnA//yihR//htpX//yfeW//ybbY//gatY//elaD//ftsX//ygcO//pcnB//rpsR//yabI//atpH//ompA//ilvE//dam//ispG//sbcB//rlmE//aroF//
GO_0006081_4	yhgH//trmD//tehA//mak//ralR//yehD//lysO//appA//yehW//dctA//hemL//mazG//yhfS//rpmJ//hxpA//ybaL//speB//fliA//mtfA//glpT//mepS//deoR//gatA//gpmM//yfcP//nadE//bcp//lysR//syd//metF//rsmE//kdsA//yciV//ldrB//pflB//rutD//agaS//modB//chbA//dadA//yfiE//yfbR//oxc//pspA//nrdB//mltD//glcA//aldB//pphA//gcvH//frlC//nirD//zntR//kdpF//appC//rep//yfiC//pyrC//mscM//sapB//lexA//hslJ//rffH//otsA//bglH//rppH//mdlB//
GO_0006082_4	ygbM//yrfG//clpX//hyaA//ydgA//gsiA//ansA//csiD//gudP//bipA//fliL//speB//mazG//hemE//appB//rhaS//alkA//qseB//kdpD//glnA//argD//nagE//uhpT//aroK//sucA//yeeJ//malF//nrdG//narG//yfcV//yjfP//yidD//folE//cpoB//yeaK//rstB//rsmA//gcl//fhuD//pdeL//arsB//cusA//yfiC//fecB//tbpA//pagP//ybeQ//amiD//ygbL//xylG//rssA//eptC//ygaZ//mscS//degP//gltL//flgD//torC//rffM//menF//alaA//murE//yfcV//gpp//tomB//napD//rpmJ//osmE//yjhB//glgS//dhaL//pphA//yneE//yahN//rarA//hslU//yehU//waaH//cysC//aqpZ//asnB//ascF//xylA//yrdA//ibaG//hsrA//yjaA//creB//radD//lpxM//ybaK//ulaG//prmC//amiC//ffh//xerC//lpxD//djlC//luxS//yidA//mngB//gadA//menB//eptA//sodC//gcvP//asr//cadA//yihR//ybfA//evgS//murR//yhiM//nepI//mltG//yihW//mngR//yebQ//ldcC//gcvT//hypA//tauD//accC//yfjV//rplE//tsr//acpT//yiiM//nrfE//hybG//cysU//degS//afuB//fadA//fliZ//flgD//rpmB//dtpB//pstS//cycA//yhjB//fsr//yieL//hyi//rplE//dapA//yihR//fdnG//yjeH//wecB//thiQ//pncB//ygfI//tsx//ygjK//tolC//ackA//yidZ//rzoR//rayT//emrD//htpG//trmO//bglJ//dtpB//bssR//leuC//lgoR//slyA//deoC//ompT//hyfA//ynfH//fliZ//uspC//pyrE//maa//ftnB//yebC//nuoI//srlA//rpsG//fdhE//csgB//trmJ//ydiQ//glsA1//thiP//yjbH//yghB//yrfG//yfiF//rdgB//ftsN//fabZ//ung//sppA//sgcA//pdxA//flgE//wecC//fdhF//csgG//fumC//lptB//malY//yadM//fabH//yfgI//yraI//ynfL//tusB//yjhB//yiiD//yodD//radA//fdnG//cecR//truC//afuC//yfaL//yghG//scpC//argE//hpf//hcp//ugpB//rimM//ybdZ//tufB//vsr//dgcE//yidD//torS//mobA//hiuH//yjhH//gatC//fsr//fepA//metE//aqpZ//arfA//ybhP//purB//fdnI//moaD//lsrB//kefG//ppiA//entE//pinE//sufS//udp//gadA//mdtN//hchA//macB//ynfK//fdnH//cheW//orn//rihA//epd//mglA//miaA//flgG//paaJ//feaB//otsB//phnL//fepA//rsmH//rdgB//ybiY//nsrR//hupA//argO//gudX//yfiE//ygfA//nupG//trpB//obgE//mrcB//rluE//rnt//opgE//garD//iscR//nusA//otsA//ibsB//yieE//csgG//sodC//tolC//hofM//phnL//cadC//chbA//uacT//symE//rhtA//pdhR//ttdT//minC//cueO//hcaF//hscB//lsrG//ompG//lpoA//yraN//atpG//ttdB//pinQ//ftsP//ccmA//nadA//tabA//ftsY//pheM//rapZ//hemD//tatD//fnr//ilvM//cysN//ribA//cpxA//yfhH//phnN//araD//mepM//fklB//yieH//yegS//orn//allB//fdnG//holC//tsaE//araC//ampG//yqaA//csiR//rihC//ybcC//appA//thyA//dtpA//rlmI//pnuC//poxB//nei//xdhB//kdpB//ycjU//ygdG//phnJ//hslV//garK//treR//ampE//pgpC//hipA//hmp//glcF//pflB//srlB//ybaL//otsA//ygiV//accB//dgcZ//galT//moaC//hemG//yadG//ddpA//hfq//asnB//frmB//ygaV//oppA//leuC//fimI//rpmC//gntK//gpt//insK//rpsP//ydaN//rpiA//recR//secB//truA//entC//lpxK//yjhC//fliK//insH-5//pykF//emrB//fadD//ybiI//bdcA//nth//mntH//ypjD//yihU//ibsC//acrA//tatC//katE//mmuM//gyrA//paoC//rffG//yhjB//aroB//frlR//truB//patD//priC//nuoL//ratA//ispA//fimI//lsrK//yceO//nrdF//acrF//csrD//djlC//fkpB//rplW//opgG//dctR//fbp//rhoL//kdpB//wrbA//clcB//opgC//basS//yraJ//kefG//cynX//lgoT//lipA//ynaE//fmt//ykgO//ansB//yadC//yhcH//rutC//cyaY//
GO_0006083_6	allB//nudG//tilS//ydjJ//cyoC//feaB//
GO_0006084_6	rzoD//yneJ//
GO_0006085_7	fdrA//ubiC//
GO_0006086_8	yraK//
GO_0006089_5	prpB//selD//eutN//yeaK//eutB//glnP//aspA//glcF//rzoD//nuoL//rpmJ//gloC//csgA//phr//tap//moaA//amyA//sucD//mhpT//ridA//dppA//ynfF//pflA//cusS//paaA//malF//ubiF//trpB//pyrB//
GO_0006090_8	mnmA//uacT//radA//fabD//acnA//icd//rimL//fepB//yciV//yjjX//potC//mltC//narI//rsmC//pdeR//rrrQ//glxR//rssB//adeP//glpR//rfe//ogt//hyaC//acpP//mtn//malZ//lysC//bcp//epmC//tabA//glsA1//
GO_0006091_4	etk//hslR//frmB//rbn//cysK//rplE//argD//ydeI//tus//ybiX//cobT//dnaJ//crcB//thiM//atoC//nrfE//csrD//fliZ//opgE//ribC//cspE//torA//sucD//waaU//trpS//satP//cmoA//yqiJ//pepD//frmB//tisB//ahr//yfcA//ydfH//argD//yjaZ//malG//ycaO//ydiB//rpmJ//bioF//hflD//hybC//narY//dnaC//rutB//hemE//asnB//ydeM//allD//yebZ//wzzB//yjaZ//ssuE//fimE//hybF//yjiA//erfK//glxR//insA-2//holA//osmF//ebgR//ldrB//chbG//hybA//cysG//umuC//yfbS//katE//ldtA//rfbC//yhgH//lolE//abgB//yfaX//iscR//cusA//ilvN//sdaC//gcd//clpB//prfA//tig//rpsE//ykfM//rseC//hscB//sucA//hcaT//mdtP//nrdI//tsx//yfcG//gadB//murR//galS//yphD//yhjC//rraA//gpsA//ugpE//ybaK//oppD//caiD//dinJ//idnD//tsr//lit//envR//lapB//yieF//
GO_0006094_7	rep//cobT//sixA//garP//dosP//nmpC//mdlB//treR//wecC//radD//
GO_0006096_6	rph//kdpB//bioH//degQ//yhdH//btuB//ybbW//uhpT//fhuC//yaaY//ygeW//flgJ//udp//cyoA//thiI//hprS//ttcA//fdx//
GO_0006097_5	yhaV//cspA//yiaU//ibaG//iraP//
GO_0006098_6	mltA//potH//hyi//bdm//sad//
GO_0006099_4	insH-6//mtfA//ftsZ//uvrC//hybC//ypdF//malI//sapF//csdE//sfmC//secY//rlmN//xseA//yeeO//frlC//hupB//fecA//
GO_0006101_6	tauC//casA//rbbA//selB//yfdC//citC//ubiG//hisG//npr//hslU//lsrA//yadC//cydD//pykA//nagD//djlC//yqgF//
GO_0006103_5	ygeX//rzoD//pheT//
GO_0006104_6	fucA//mmuP//dsbB//
GO_0006105_5	cspA//elfA//pntB//gntK//hisC//mipA//fklB//fdoI//
GO_0006106_8	ackA//
GO_0006107_8	atoC//
GO_0006108_8	bamA//aroD//yghO//alkA//ybaO//
GO_0006109_6	zipA//yajR//fadA//clpX//slyA//ghoS//sdiA//wcaB//araA//
GO_0006112_5	sppA//shiA//ibaG//ispB//yehA//rnhB//mdoG//borD//
GO_0006113_5	prpD//narY//envZ//udk//narG//rbsC//rlmH//lolD//glcE//rpsA//cvrA//rhoL//sdhE//
GO_0006115_6	rppH//
GO_0006117_5	garR//
GO_0006124_6	fryA//
