#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rpmB//ypdA//xylR//gltD//
GO_0000453_8	cpxA//fadH//ybdG//yigB//gshA//
GO_0000455_9	ascF//ypjD//ypdF//intS//treF//rpsN//yiaF//
GO_0000462_11	insA-1//yidK//
GO_0000469_8	dtpC//
GO_0000470_10	lpxT//
GO_0000478_9	bhsA//
GO_0000715_6	mtnN//
GO_0000716_7	ftsH//
GO_0000724_8	ulaE//
GO_0000725_7	umpH//dmsB//ygcR//dinB//hcaC//mraZ//
GO_0000726_7	gsiA//
GO_0000731_7	ydiB//preA//truA//recN//ptrA//codA//glvB//
GO_0000737_7	insK//
GO_0000738_7	fliS//rluE//yqcG//
GO_0000746_4	metF//
GO_0000820_7	bioA//
GO_0000902_5	sufE//
GO_0000910_4	dgcQ//rclB//yieF//kdsB//mepH//nanR//wzzE//yieE//chbG//yihO//wecA//ybiJ//fabI//hisC//waaO//pyrB//potB//lepA//
GO_0000917_6	trkH//trpL//solA//xylE//phnJ//
GO_0000918_6	yfcF//ompC//folM//ycbX//
GO_0000920_3	gcl//argO//tsf//purB//kdgT//
GO_0000921_6	rnb//
GO_0000966_8	setA//mhpR//rcnB//frr//
GO_0000967_10	flgG//pheT//nrdF//
GO_0001101_4	kdsD//rlmA//nagB//ycfL//nanS//glpB//rfaH//osmC//cysB//rplR//yegD//purD//deoD//gloA//stpA//pgk//hyfR//cas2//iraP//hupA//ptsN//ybcM//nanK//hisF//uup//yfgO//
GO_0001121_7	yraR//cheB//
GO_0001123_8	zur//
GO_0001124_8	yieH//
GO_0001407_7	serC//nrfF//thiC//sufC//
GO_0001505_4	flhE//yhaC//glgX//ygiW//lsrB//codB//citG//livG//xylR//dinJ//yaaU//yjiY//agaW//fiu//ghoT//bglX//
GO_0001510_5	fucA//tolB//soxS//glnL//dhaK//insA-1//prlF//bacA//pflC//maeA//hyaB//uidA//hscB//tsr//hcaR//csdE//rplI//caiB//ygaZ//mrp//hycB//entB//potI//yiaN//gcvH//coaA//rluF//rnhA//obgE//gmhB//ygfA//ppiC//rpsJ//ppc//secD//elyC//ybaT//ubiH//yfdC//pstC//
GO_0001514_8	rlmH//
GO_0001522_7	rcsC//rhoL//gloB//ygjK//fliZ//sodA//ogrK//yfgJ//aes//rnpA//ftsH//pyrD//hyaB//
GO_0001539_4	opgG//pheP//paaZ//nadK//evgS//leuE//tusD//aslB//csgE//sstT//queE//cspE//cysP//aldB//rpsG//folP//livG//yiaT//vsr//aspC//pgpC//glgS//nudG//xylR//gadC//cutA//cvrA//lpp//sanA//mlaC//ftsZ//
GO_0001558_5	nagA//ccmH//tomB//purT//exuR//gph//zwf//umpH//
GO_0001561_6	nadC//
GO_0001666_4	mgrB//
GO_0001676_6	dcuD//bglX//yjhI//
GO_0001680_11	gntR//
GO_0001682_11	rlmF//
GO_0001731_7	elbB//
GO_0001762_6	lipA//
GO_0001887_4	torZ//cas2//hemL//
GO_0001896_5	agaS//gadE//trmH//metE//
GO_0001907_5	ydhK//insI3//ddlB//ybhS//
GO_0001932_8	oxyR//wrbA//
GO_0001934_9	mnmG//
GO_0002047_6	insB-4//recG//
GO_0002097_8	fimF//hemL//gatA//bioD//yejF//acpP//ihfB//greB//ydeO//nei//dnaQ//serB//cobB//rfaF//secM//yidR//lptG//ubiG//yehX//
GO_0002098_9	ybiS//manA//ybjI//cadB//yeaE//ribE//gloC//frmA//yehU//thiD//puuC//tolA//nfi//
GO_0002099_9	focB//mmuP//
GO_0002100_9	znuC//
GO_0002101_9	entH//rseB//
GO_0002128_7	ygiS//yjiY//menF//rplB//
GO_0002130_8	yhaV//
GO_0002131_9	tdcD//
GO_0002132_9	ansB//
GO_0002136_10	mnmE//
GO_0002143_9	asmA//blr//fur//ytfR//envR//yggD//
GO_0002181_7	fic//fdx//
GO_0002183_5	pdxA//
GO_0002184_8	yagG//
GO_0002188_6	rppH//
GO_0002190_6	yadI//
GO_0002192_8	ppx//
GO_0002252_3	rplP//frwC//hemC//secE//xylE//ygiW//msrB//thiM//grxD//ybcF//
GO_0002790_6	sspA//narH//yhfS//narK//rffC//bglX//sgcE//
GO_0002937_9	proC//
GO_0002938_8	speB//
GO_0002939_7	mntP//
GO_0002943_8	cusC//
GO_0002949_8	syd//galF//gltL//baeS//
GO_0003333_7	glrR//ybjL//ybiY//speG//ptsP//symE//prpC//rpsM//rhoL//bolA//flgB//oppF//fkpB//pflA//yiaJ//mutL//gnsB//maeA//galT//folA//uxaA//deoD//torD//umuD//putP//ppsR//yfcS//lpcA//arsB//hinT//radD//rfaF//ymgC//norW//nadE//paaB//metR//yihO//adhP//mtlA//hybD//hemA//rluB//ycdX//ykfI//gspE//allC//chbF//uvrB//
GO_0005975_4	zipA//relE//lpxH//yiaO//ldrA//opgG//ddpA//yrfG//tgt//thyA//flgE//pgk//yhbO//rplB//udk//rhlE//sseA//gyrB//rsmB//tsr//prlF//rnpA//rlmA//dnaT//cbl//rlmI//yjcE//uhpB//crcB//dut//nadD//cmoM//gor//pepT//emrK//yciH//pstA//ompN//fabB//secE//fixA//cyoD//djlC//ligB//ynaE//aroH//ldtD//zinT//elfG//secB//yghB//ahpC//narH//ldtC//artM//alaS//speE//ftsN//dgcQ//sugE//ilvE//mltD//yfcQ//chpB//osmY//paaG//lsrK//dsbD//hemB//fabD//bcr//yfaV//rnt//manX//dsbD//frwB//menC//yihU//nagZ//sixA//fadL//dnaG//pepB//rbsA//glmM//rplC//rutB//uspB//rhaR//yoaB//lacI//lptA//yeaK//ybdN//rffH//sucA//ibaG//rhoL//plsC//torS//mmuM//ydbD//amyA//dsdX//galR//dppC//menI//emrB//frr//rffT//sbp//zapA//ubiC//lon//kdpF//ushA//fre//yeiG//gltB//dkgA//napB//creC//yihU//cusA//mdoG//aes//tyrS//folD//yehT//hcaD//mcbA//flgC//rsuA//mdoG//glrK//evgA//shoB//cusR//npr//ubiX//sppA//btuC//yeaG//yhcH//fnr//secG//rpnA//lpxK//rfbB//feoB//waaH//fkpA//fadB//fhuD//yedF//yidA//yijO//narH//norV//epd//yqgF//tmcA//katE//flgM//sdaA//ynbB//mscK//yggD//mutL//fabG//degS//ftnB//sapC//nagE//astB//yagJ//ycjD//flgD//yghU//frvR//gpmM//rbfA//cadA//hdeA//thiL//folD//dppB//kdpD//udp//ilvD//lptA//osmC//lpxB//hisI//treR//aer//fepC//uhpA//nikR//sucD//ydfH//lldR//ybhA//cbpM//yagJ//murP//lldP//yiaU//mnmG//aroE//pphA//yfcR//potG//ilvA//cpsG//yphF//puuR//ispA//rplD//ade//mtn//iaaA//rlmN//hemL//paaZ//clpP//def//ynbC//ybiO//oppB//msrP//parC//rplA//tatE//gsiB//alaC//ynhG//sbmA//glvC//chiP//sdaB//nagA//otsB//mutY//rfaF//nepI//nagK//potG//yccA//araC//smrA//yfeW//appA//xerD//
GO_0005976_5	appC//fimG//ftsK//yhhZ//citG//cydA//melB//hmp//fimZ//mscL//fimH//pspG//glgP//yehT//tig//nadK//ribA//yajL//yjiY//rluF//tsaD//tdcA//ariR//nrdB//nuoE//speC//tqsA//chaC//yfgJ//relA//rihA//nagC//thrC//phnG//livJ//ispG//yehX//yidL//ybeF//gatZ//pfkB//hdeD//msrB//ytfQ//fadJ//putA//potD//treC//fdrA//ccmC//cycA//azoR//nadK//mazG//bioA//rutF//argS//qorA//yrfG//
GO_0005977_6	folM//phnM//narI//entH//ccmD//rep//yihU//chbC//
GO_0005978_7	rlmL//cho//rraB//kdpA//
GO_0005979_8	waaC//
GO_0005980_7	yoaB//atpG//epmC//
GO_0005981_7	hdeB//
GO_0005984_5	accD//yajO//yfdK//cpoB//waaC//map//leuS//elaA//cas3//yhjV//ycgB//
GO_0005985_6	rutF//
GO_0005986_7	cutA//
GO_0005988_6	yphB//speE//
GO_0005990_7	aslB//deoD//
GO_0005991_6	ompG//nemA//lplA//secD//cpdB//
GO_0005992_7	glnP//frvA//
GO_0005993_7	fdoH//hyaC//rhlE//
GO_0005994_6	argO//
GO_0005995_7	slt//
GO_0005996_4	elfG//recC//frdA//iap//ftsX//ompN//yfjV//yaaY//marR//mgrB//aidB//dtd//ccmC//lptF//ydcZ//fdnI//dmlA//artQ//dsbA//hslV//pyrE//ynfF//wzzE//rhtA//murF//phnJ//entC//glnS//yjbB//ygbI//apt//kdgR//rhaS//phnO//metL//ilvM//paaD//cecR//hofM//tusD//yddL//katG//hcaR//dgoA//yihQ//fixC//htpX//lysC//frr//ybcF//ymdB//ydfD//uxuB//pgl//pheM//gntP//ubiJ//murJ//pyrD//appY//oxyR//wzb//ascB//serB//yihU//rffH//fabZ//rlmN//lysA//hcaB//ybiJ//emrE//ybiJ//ulaD//mzrA//ynaE//ydjJ//panF//gltL//appY//pldB//yiaA//
GO_0005997_6	potA//
GO_0005998_7	yjfF//
GO_0006000_6	hybA//yeeA//garL//
GO_0006001_7	mutL//trpR//
GO_0006002_5	paaC//tolA//trkA//
GO_0006004_6	nuoM//dppF//rnlB//ybdG//gyrA//patZ//
GO_0006006_6	ulaG//hemA//accD//yafQ//fdnI//yciF//nth//rpoA//yjbG//gcvR//rpmJ//tauC//nagC//recF//waaH//lpd//atpA//potC//psuG//yihO//qseC//bioA//kdpF//
GO_0006007_7	menF//frlB//fdhF//
GO_0006011_5	sdhA//
GO_0006012_6	rssB//proW//bcsQ//fabZ//glsA2//rsmB//ompC//gadE//plaP//
GO_0006013_6	citX//mcbA//
GO_0006014_6	grxD//caiD//hslV//
GO_0006015_7	ybdG//phnJ//
GO_0006020_5	patD//
GO_0006022_5	mraZ//hokE//ynhG//trpC//ycbX//yiaF//btuB//narZ//recR//yfgJ//araB//ogt//ydjJ//lsrK//moeB//kch//speG//yjbH//bssS//dusC//nirC//fdhD//ybjX//ynfL//tap//abpB//frvB//dgkA//folE//aqpZ//asd//rpsJ//rseC//tyrR//ydhK//minE//ydiO//lsrG//idnO//yhcH//yigL//livH//folM//ynhG//speB//rpsA//thiD//prpD//secB//folA//yeeJ//amiD//wzzE//gudX//hybC//proV//yphD//gsiC//mdtE//fdx//thiL//thiD//tauD//
GO_0006023_6	nikB//rplW//acpP//arnD//mtgA//hdhA//ftsP//argB//yjjU//sapA//kefB//kch//lhr//narG//yfdC//feaR//rpsI//lit//eutN//exoX//cca//lsrK//fklB//pgk//mtlR//infB//dppA//pepQ//cysW//sodB//waaA//yfiR//eno//ybhR//potB//eutK//hldE//rpsB//glnB//
GO_0006024_7	msbA//astC//yihS//glvC//iraP//dxs//narU//cobS//folX//ugpC//yjaA//thiL//ralR//tcyN//upp//fbp//kduD//ortT//kduI//plsX//recE//yciA//glxR//ccmD//slyA//rcsF//allC//yrdA//ybjC//insF-1//puuE//zapB//lysR//fumB//yhbQ//tmk//amiB//insI1//frlC//
GO_0006026_6	satP//mepS//oppD//prs//glpR//pgpA//rfbB//yjcO//mltG//amiB//
GO_0006027_7	astB//polB//dgoR//dnaN//proS//ydjE//tsr//nuoE//ahpC//nadA//
GO_0006040_5	ascG//tsaC//cadA//qorA//hslJ//priC//deaD//gltB//rplO//osmF//hiuH//fdrA//ubiC//osmF//rpmC//kdpE//ydiK//
GO_0006044_7	yfdO//ypdF//yhhZ//narL//ydhK//
GO_0006046_8	leuA//holD//nfsB//yegV//
GO_0006047_5	nlpE//acnB//hflX//pdxY//tktA//cspD//frlB//
GO_0006048_6	folC//hipA//narU//ssuB//ascG//fimF//
GO_0006050_6	pepD//
GO_0006051_7	glpF//
GO_0006053_8	phoU//
GO_0006054_6	yggF//acpS//flgC//acnB//idnT//yciE//cbrA//
GO_0006056_6	crl//
GO_0006057_7	putA//
GO_0006059_6	cdaR//fucK//gldA//nikA//
GO_0006060_7	ydiV//
GO_0006062_8	rffC//
GO_0006063_5	mlaC//yehC//fucA//lptA//ychO//endA//yqaE//sapD//cbl//
GO_0006064_6	trmO//lldD//cobS//hybE//fadL//ybdH//
GO_0006066_4	metL//potD//panF//betA//ulaR//lsrK//appY//iscR//hybC//aas//fabB//yiiE//zur//ugpC//paaF//uvrD//nrfA//ydcR//trmD//fliA//yejE//udk//cedA//rimJ//rpsE//mukB//holA//nimR//rlmC//ubiX//sfmF//cytR//
GO_0006067_6	truA//trpGD//abgT//
GO_0006071_6	rutD//lipB//nrfC//rnr//pepB//smrA//araF//
GO_0006072_6	cpdB//hypC//uvrD//hscA//purU//
GO_0006073_6	hisC//ribA//ugpE//yihL//mreC//ydjE//ydcZ//yfeR//dgcE//yjiR//waaQ//pdeL//fdnH//clpX//etk//ybjI//bdm//yfiE//mtn//fkpB//
GO_0006081_4	nusG//hchA//mntH//clpS//dauA//pyrC//menI//ubiA//narJ//lsrA//pyrG//iscA//mzrA//yphD//dapB//eutB//gltL//tsr//rbsK//srlA//mqsA//lhr//garP//ompC//rhlE//phr//rutF//cheW//bamB//emrY//acpP//gloB//pntA//trmB//narL//rlmL//cusR//kdgR//uxaC//pdxA//kilR//rzoR//ybdH//yphF//ybiT//add//ndh//nirB//ugpB//elfG//cho//kbp//yggP//glgA//xisE//ybhD//rdgC//yadK//hisG//mntR//rsmE//dapA//wecB//csiR//cspI//polB//amtB//
GO_0006082_4	pyrC//fryB//gfcE//nrdI//shiA//amiC//xdhB//degQ//yciH//emrY//wcaJ//mdlB//rlmE//fadR//ybiY//aroP//lepA//accB//ybhI//frc//rzoR//ybaE//deoB//oxc//ligB//ibsC//lgoT//emrY//sfmD//pdeH//malY//yhdH//menE//cvrA//afuC//hmp//hslV//bssR//yajQ//ydcI//etp//manX//lrp//grcA//metK//tsf//panC//rsmA//fbp//ymgC//nepI//glnH//btuF//idi//yiaN//glsB//cheR//mug//yidQ//lyxK//moeA//glnQ//glk//yfcQ//yhjR//fliA//ftp//serA//setA//trpGD//purB//ibsB//exuR//opgD//slyD//rng//yqjI//ndk//rutR//pspF//pntA//ung//dcuA//glvC//ybhG//yeaE//priA//ibsA//yfbS//arsB//lpxD//atpH//yeiL//ispF//ubiI//pykA//glrR//dhaR//cmk//napB//mhpB//yfcU//mazF//bioD2//yjcS//dgoR//glnA//yieK//katG//rffC//torS//nudG//narG//ttdT//tyrS//yhaM//sad//metG//arsR//dnaK//dinQ//yedA//fhlA//mutY//sapC//bcsA//nuoB//gudD//yjbB//gapA//clpX//yqgB//ldcC//potE//thiC//trmA//mzrA//kduD//fabB//ybcC//mlc//tesB//ybeF//hemA//xseA//osmY//actP//fimI//ydjH//marA//yjbG//ygeW//galS//ybhG//rseP//galE//nhaB//caiT//lspA//mnaT//astB//dps//yeaV//hdeB//rsfS//ilvC//ymgA//rfaH//macB//dcd//rbsA//ispA//yhjD//mdtN//narU//bcp//oxyR//moeB//azoR//aroD//deoA//ygbI//glcC//chbB//rpiA//rutR//dctR//holE//phnJ//folP//pdeL//thiQ//rhaD//glpG//ompC//yajR//flgB//ydjL//rzpR//sugE//pgl//menF//sodB//yahF//flgA//eutK//nlpI//paaD//aaeA//artQ//tyrA//ycgV//asnA//ftsQ//gatA//yqgF//fdhD//rluF//pta//mdoD//yfaL//valS//glmS//livH//phoE//narG//garR//mltG//ybjN//pyrG//hypF//yjfP//sdiA//btuB//dsbG//yohC//dgoR//tusE//gapC//flgD//mprA//pflC//cytR//potB//puuC//insB-2//yhcN//yedL//pcnB//gppA//paaH//rhaS//allR//pldB//efp//nadC//mdtC//pdeR//rffT//greB//recT//arnT//ribE//yebQ//ybhA//dmsC//hrpA//seqA//ycbU//nanS//yebS//lpxH//ldrD//entE//tpiA//yhjX//rffH//treC//asnB//gudD//ileS//phnO//cdgI//nhaR//pyrL//gltS//ydcS//rimP//manA//mntR//malP//agaD//ydjJ//ispG//fadB//eutK//ybfA//nrdF//fecB//ygcO//aroF//sucC//frlR//pepT//yabI//rluE//ompN//abgT//rsmE//xerC//alkB//cpxR//ssuA//ftsB//tynA//gdhA//fpr//yjiA//rfaD//xerC//tcyJ//ydiP//ycgR//waaA//mrcA//yggN//sgbU//aas//aaeB//gntT//elbB//rbsR//sdaB//carB//yhaM//chaC//nemA//hpf//rcdA//maa//nudF//mnmG//phnK//mraY//rplR//ompG//ybbN//yafN//uxuB//lsrC//ydfK//nrdF//epmA//thrS//hybA//bcr//alr//mrdB//ppiA//dnaB//rplI//clpB//ydhQ//hokB//ribE//xylH//clsC//ycgR//osmF//frlB//frr//ftsI//ispF//frc//frlC//purT//rsmA//hisD//yqiI//yidD//pgaB//rrrQ//sixA//ftsL//kdpA//soxR//glcA//roxA//rhaT//hisQ//ispA//yegV//ppsR//ybiT//ansB//puuE//tisB//yraJ//lysA//hokE//dnaJ//sdaC//folD//sfmA//hyfR//ybaQ//potE//yahI//serA//sfmC//fepG//hyi//glpB//yceK//fryB//pgpB//zinT//adeP//fieF//tusC//ibsC//yeeY//yhjG//ilvI//yahF//yhaV//ybaO//decR//ilvN//wzc//ppiC//ppk//glxK//proW//gltD//holB//crfC//asd//artQ//nuoN//tatA//pepT//cyoD//ygbN//yfhM//yidZ//rpmF//rffC//mngR//trpD//aroH//yjtD//hypA//rbsR//ftsI//malI//yedA//rplO//dbpA//yejF//
GO_0006083_6	eptB//cspC//chaC//puuA//yqcC//edd//
GO_0006084_6	paaA//wrbA//
GO_0006085_7	paaC//yqaB//
GO_0006086_8	yphB//
GO_0006089_5	paaE//rfaG//frwC//maoP//rihB//sgcX//sseA//secY//tsf//yfaE//tonB//yadC//glmM//ycfH//yddL//nuoI//ulaF//hyaC//fliD//artQ//crcB//rclR//dgkA//yjiX//creC//alsK//bioP//gmd//cynT//
GO_0006090_8	rdgC//rihA//nuoN//yfhM//ybhJ//betB//argS//yjiR//aceB//cbl//sdhE//tamA//menC//nudB//livJ//tauA//lacI//hflX//cmtA//ompG//rpmJ//proX//ynfK//yjjI//arcA//pppA//srlA//dgcT//argB//yafQ//gshB//
GO_0006091_4	ycgR//norV//thiC//flgC//ddpA//eamA//torR//yeiE//rcdA//mlaB//ybgP//gcd//yhaM//yehW//puuP//marA//ilvD//gntK//edd//moaB//potG//yiaL//bipA//nanC//cas1//cra//idnK//yfjR//mcrB//glmM//yodD//trmA//frmR//insB-2//tar//mcrB//csiD//essD//puuA//kilR//yjbE//rpoS//yehZ//yibT//hybB//sfmF//trmO//rhlE//iap//yneJ//pinQ//adeQ//ssuA//yjhI//ppc//hypE//frlB//ydiQ//ppiA//yfgJ//aroP//grcA//csiD//cusC//aceA//poxB//ykgF//yadI//mgtA//phoB//ynfL//hslR//ampE//dnaT//idnD//mlc//tmcA//ycbV//flgA//hyfF//copA//intQ//pgk//sseA//arcA//ynjA//nrfA//yebQ//narI//arfB//mtnN//etp//elfG//sspB//evgA//rfaQ//ydeI//corA//yfcU//hyaB//ompC//adiY//rcsB//gltI//yihX//trxA//mdlB//srlB//rhtC//tatA//ypdC//ycjU//
GO_0006094_7	lysP//yefM//dppA//dusB//mntR//yedA//nadA//tnaA//wza//sohB//
GO_0006096_6	viaA//ubiD//ybhS//mgsA//eamA//trmH//insF-1//pdeK//sfmC//hybF//hcaC//preT//rfaC//rhsD//dgcF//ftsP//yiaT//sugE//
GO_0006097_5	manA//talB//murG//mltG//mppA//
GO_0006098_6	uhpT//hfq//lgoD//artQ//hisF//
GO_0006099_4	caiD//fliS//citX//cysH//acrF//nadC//cspA//ytfT//lrhA//rpsS//ppsR//carA//xerD//yjiM//emrE//lldP//rpsE//
GO_0006101_6	tamA//fliT//dcuC//gshB//efeO//mmuP//yciF//ybiV//exuR//aslB//paaC//cysC//pdxY//ybdH//rihC//sufA//waaP//
GO_0006103_5	dhaM//fdhD//rnlB//
GO_0006104_6	lpoA//dppB//gldA//
GO_0006105_5	lpoA//asnB//dgcQ//sbcD//yjjW//tusB//yahO//ilvI//
GO_0006106_8	ybhJ//
GO_0006107_8	narK//
GO_0006108_8	ymfA//hisQ//mscM//ghxQ//acrD//
GO_0006109_6	fic//paaK//pdxB//phr//yfgI//dppD//alaA//tolA//ghoS//
GO_0006112_5	napB//ybjL//glgC//hybB//yfaE//ftsY//uup//ykfM//
GO_0006113_5	aroB//tolC//pmbA//yghU//ruvA//lacZ//mtlR//clpA//yihV//exoX//ydfG//hflK//pmbA//
GO_0006115_6	glgA//
GO_0006117_5	priB//
GO_0006124_6	entC//
