#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sdaB//cpoB//srlR//xylF//
GO_0000731_7	rplI//metK//fliT//ruvB//rhtB//yedA//rpoA//
GO_0000737_7	yhbO//
GO_0000738_7	fbp//smpB//lptB//
GO_0000746_4	ychH//
GO_0000820_7	hda//
GO_0000902_5	ybaK//
GO_0000910_4	cyaY//frc//waaP//potH//cmoM//murR//flgB//csgD//yajO//glgC//folP//rraB//gshA//otsB//gltP//pepA//menI//tsaE//
GO_0000917_6	crp//sstT//pnp//gph//rssB//
GO_0000918_6	glcB//purR//yggT//gloC//
GO_0000920_3	bcsA//mdtE//ydcR//yfcP//lgt//
GO_0000921_6	rsmE//
GO_0000966_8	phoR//aslB//rtcR//hisC//
GO_0000967_10	potB//prkB//mntR//
GO_0001101_4	hypC//btuD//kduD//sfmF//ftsZ//sgrT//hlyE//purN//ilvN//ygiW//epmA//cvrA//argI//recX//metQ//gatD//dppD//pyrD//ugd//ykgF//umuC//rcnA//frvB//hemA//lysO//napD//
GO_0001121_7	rapZ//aroE//
GO_0001123_8	ymgC//
GO_0001124_8	mlaF//
GO_0001407_7	nagE//rbn//ssuB//clpS//
GO_0001505_4	allR//yiaT//tsaE//uvrC//yjaA//slyA//tatD//mtlD//clpS//yjiM//manY//ybhG//recD//malP//hisH//chiP//
GO_0001510_5	pth//yhdH//gloB//lolC//sapD//ftnA//rssB//slmA//mdtE//cbpM//yadN//sgcE//yggT//yphB//clcA//ftsQ//rcnB//glrK//cspA//ydjH//hipA//insE-1//yaaA//flgC//secG//waaH//frsA//bioF//trmB//dut//cysG//xanP//yjcO//rpsM//yebS//malK//sdhE//fabZ//intE//yidQ//
GO_0001514_8	ilvL//
GO_0001522_7	gutQ//panF//gudD//yfcS//idnT//tusE//zapB//abpB//aaeB//serS//zntR//miaB//osmY//
GO_0001539_4	tcyP//ccmH//yggX//idnO//arfA//glrR//nudB//sad//sdhA//hisQ//yphF//pyrH//rlmD//srmB//nlpD//mcbA//rffM//spoT//map//dtpB//tdh//cutC//ndh//wcaJ//dacC//ccmG//araH//glpA//yahO//frvR//ilvD//
GO_0001558_5	paaB//aroA//manA//ascB//tas//ybcJ//cpdB//ydcI//
GO_0001561_6	lapB//
GO_0001666_4	mfd//
GO_0001676_6	secB//atpA//ycbU//
GO_0001680_11	yraK//
GO_0001682_11	folX//
GO_0001731_7	hipA//
GO_0001762_6	cadA//
GO_0001887_4	feaR//arnB//treB//
GO_0001896_5	agaR//mhpC//nuoF//rplB//
GO_0001907_5	ansB//yceK//yjiR//ydaV//
GO_0001932_8	iscU//alsB//
GO_0001934_9	etp//
GO_0002047_6	iscU//agaS//
GO_0002097_8	fdoI//uspC//prmB//paaF//asnS//acrB//yagU//rfe//yiaF//malF//accB//sapC//eutD//cyoD//ynjD//pheP//waaA//eptC//phnC//
GO_0002098_9	fadH//thiL//nadE//plsC//sfmC//gntT//malE//torD//holA//ybcJ//scpC//garK//tap//
GO_0002099_9	waaA//ydfK//
GO_0002100_9	glgC//
GO_0002101_9	yhbX//yhdJ//
GO_0002128_7	sdaC//aroA//gntT//sstT//
GO_0002130_8	waaU//
GO_0002131_9	malE//
GO_0002132_9	thrB//
GO_0002136_10	gabP//
GO_0002143_9	alaS//araH//lacY//ilvL//secE//xylA//
GO_0002181_7	hyfF//waaU//
GO_0002183_5	pepB//
GO_0002184_8	fdoH//
GO_0002188_6	nuoI//
GO_0002190_6	tehA//
GO_0002192_8	clcA//
GO_0002252_3	rpsL//eamA//csgD//yrdA//phoE//fumC//ykgM//ymgA//hdeA//ypjD//
GO_0002790_6	ybjC//dkgA//viaA//sgrR//rihA//yagI//rpsG//
GO_0002937_9	argT//
GO_0002938_8	hybF//
GO_0002939_7	kdgK//
GO_0002943_8	valS//
GO_0002949_8	yobA//pdeL//chiP//fdnI//
GO_0003333_7	mltB//livH//pheT//glcE//pcnB//uvrY//uvrA//tktB//ugpB//aroP//ypdC//tig//idnK//yqiG//yhbX//yigL//fhlA//hslJ//rraB//rfbC//recJ//yaiW//rbsC//sugE//gcvR//ddlB//argP//insH-5//sdhB//nrfB//yjjB//recO//ldhA//tatD//hemD//hemB//ycfH//yoaA//nupX//dsbA//yjeH//xerD//cobS//rsmD//yhdX//lpcA//glrK//blr//hisC//
GO_0005975_4	srlD//yahO//glsA2//yqaB//btuF//nanK//dmsC//thiP//caiE//tolB//norR//emrD//clpB//menB//torZ//lysS//ykgF//yjjI//frlA//fadD//rnc//ybhG//acrA//yciH//thiQ//araE//speA//mhpC//ubiA//speG//fre//agaD//fklB//yddA//rpsI//yefM//gspI//rpnA//crl//yqhC//alsC//moaB//hchA//lrp//ybhF//betA//ydaV//ypdF//dapD//sfmF//arnA//iraP//gspJ//sufB//hlyE//ycjQ//rep//glpD//leuE//cheZ//yehD//ccmA//pabC//ydeP//waaU//ybgI//ftsB//hybA//cutA//qorA//guaA//rclB//bhsA//ybfA//iscX//yafN//ldrD//gadE//rnd//pphB//pal//ispU//rplM//sspB//dsbD//aroB//ygeX//gcd//yigB//queE//ybcF//ushA//mtlD//nrdD//melA//argD//flgA//narK//dcuA//pgpC//rcsA//rep//rbsA//caiT//sapA//garL//ydcM//alsK//dmlR//recE//hisD//shiA//yiiD//ivy//potA//aroK//pstA//otsA//frvR//ydeO//gpp//aer//rlmB//rhtA//leuO//gatC//fixB//ydiF//paaF//ybjL//hexR//hpf//treR//lepA//yhjV//recC//bglH//mdtA//rfe//tatD//tauD//araA//gmk//pdxK//tdcF//garR//thiQ//dicB//umpG//dusC//ldcC//mdtN//mraZ//fabA//frdB//purT//yejF//tmk//rpmH//sapC//insI-1//tatC//groS//pdeF//kdsC//ilvE//htrE//envZ//rtcB//nupC//nrfB//dxr//hyfR//mnmA//yfeO//insK//rhoL//ihfA//frr//uraA//nanS//hcaB//alaS//malS//rutG//infC//rseB//fdhD//tolA//rplP//tatC//fumA//gabP//speE//yhcD//arnA//fimB//ycjQ//fadJ//dapB//paaZ//cysZ//prfC//ftsZ//nadE//dut//opgD//nanT//bglF//yobA//decR//ubiJ//pgl//sufA//entE//hyi//lpxH//tig//ygjH//glgB//nrfG//puuD//gntP//clsB//malZ//ssb//lpxB//dicB//ftsP//dinI//uxaB//hslO//ydcI//fadH//ddlA//napF//rimO//chbR//sbmA//nudG//yfeW//bglF//cnu//yggD//fhuF//cas1//pdxK//ybgQ//ompF//nfuA//add//rplT//minC//xerC//
GO_0005976_5	yrfG//creC//cbl//gshB//ybhA//elaA//yfeD//yhdH//mtgA//ybgQ//carA//dgcM//rcnA//eutA//aroA//fkpA//yfjR//mtlD//dcd//gnsB//rnhA//entS//yjhC//tadA//rpiB//ygbL//nrfA//yggF//srlR//yqhD//artQ//alsB//pntA//idnK//yjjW//garD//ychF//bglB//yahO//narP//yhcH//ygjK//sapC//kbp//allD//rsgA//dmlR//sufB//ybiS//znuC//wzyE//abgA//csgF//yggD//gcl//ubiX//mog//gntK//thiH//
GO_0005977_6	yehA//yiaN//ycdX//ybhD//cysZ//cbpM//syd//norR//
GO_0005978_7	ybiV//recN//gadW//yhfS//
GO_0005979_8	hisF//
GO_0005980_7	bdm//yghU//yeiE//
GO_0005981_7	yghG//
GO_0005984_5	hprR//torI//djlC//rsmI//ilvE//dgcF//pnuC//pdeF//ilvC//tcyP//dgcJ//
GO_0005985_6	agaS//
GO_0005986_7	truD//
GO_0005988_6	nagC//mfd//
GO_0005990_7	gudD//hofM//
GO_0005991_6	yneJ//frvA//ydjL//yiaN//rsmE//
GO_0005992_7	uidC//ydeE//
GO_0005993_7	rmuC//mtlR//yqaE//
GO_0005994_6	yqjH//
GO_0005995_7	ade//
GO_0005996_4	fepA//fnr//glcE//garL//nuoF//tsaE//glnE//yceO//waaC//recD//oppF//rutC//cpxA//dppF//cvrA//yraH//yfaX//dedD//gshB//soxR//hyfR//araH//waaH//zapC//gsiB//hxpB//dctR//ynjA//gatA//dinG//glyS//yfaV//opgG//yafC//yehU//obgE//livM//murJ//pinE//trkA//nagZ//ppx//pspA//ftsE//murP//yidK//tsx//baeR//ydiK//yehP//yaiV//sucA//dtpA//yiaF//amtB//mdfA//mdtN//glyA//uof//proX//mdtL//gsiC//yidD//frdC//ybdZ//rlmC//fbaA//ascF//yccS//yohC//dgcE//yciH//thiG//ygaV//tdh//ppsA//alr//nudC//glpB//ompT//casE//yadV//
GO_0005997_6	ndh//
GO_0005998_7	mutL//
GO_0006000_6	trpA//metN//nrfG//
GO_0006001_7	ycdX//roxA//
GO_0006002_5	mukB//malP//allR//
GO_0006004_6	bisC//acpH//fucK//ypdF//yeaK//sucC//
GO_0006006_6	potB//gabD//frmB//clsC//mqsR//yhaC//lldD//ettA//hprS//acnB//mltB//hisI//ygaZ//argC//nrfC//cyoE//ygeR//ypdA//yajR//moaB//kdpF//xapA//yneJ//
GO_0006007_7	bsmA//galF//murE//
GO_0006011_5	nhaR//
GO_0006012_6	torI//kdsC//pflA//galM//ilvI//hybD//minE//panB//pliG//
GO_0006013_6	sapC//yagJ//
GO_0006014_6	tsr//lgoD//pphA//
GO_0006015_7	rhaD//fkpA//
GO_0006020_5	abgR//
GO_0006022_5	perR//nuoE//atpF//yciA//trpGD//yjgX//hcaF//yfjR//ulaR//glpF//ulaR//satP//dicB//oppF//zntA//pphA//rnhA//glpA//pykF//torD//yfcU//pyrC//maeA//yphB//dxs//yfiR//rnlB//secM//ygcW//gyrB//ulaF//alaC//speB//metL//yfgJ//uvrY//yghB//uhpC//ccmA//yieE//mrdA//yfcG//msrP//opgH//chbC//cas3//clcB//hxpA//pinE//pgm//yoeE//rimI//glnS//mrdA//aslB//zntR//yfdO//fetA//yegV//yadK//yfiC//tdcC//hns//
GO_0006023_6	narK//abgR//xseA//rpsE//ilvL//ydiZ//alaC//melA//oxyR//ariR//btuB//puuP//rssB//iscR//soxS//kgtP//dnaX//trxC//rppH//thiM//grcA//intF//yqaB//tauB//yggP//sapD//trpA//trxA//tpiA//otsB//psuG//cspI//ptsN//insI4//hypE//ftsE//ybiI//pgaB//yhjA//
GO_0006024_7	menA//sbcC//rrrD//lptB//murI//erpA//hsrA//ldcC//ynfH//pyrB//pyrG//malZ//epmA//yihW//trpR//yjcE//rclR//oxc//rsmE//fadE//smrA//maeA//kdpB//apaH//ydjK//casA//recJ//ettA//pcm//cysW//yhjG//yjhG//cyoA//flgA//clsB//asnS//ybaM//gyrB//thiQ//
GO_0006026_6	cysN//hybO//pckA//ybiY//asr//rutR//nimR//yqjH//mlaB//gutQ//
GO_0006027_7	frwC//recC//allD//oxc//malE//lit//menC//pflA//feoB//ycgV//
GO_0006040_5	parE//abgB//tatA//livF//narI//hha//yjgX//adiY//tisB//yagG//allD//fepG//rhaT//kbaY//pheP//truC//pntA//
GO_0006044_7	tufA//guaD//rutD//gstB//tas//
GO_0006046_8	gltD//fliL//garL//iscX//
GO_0006047_5	yghO//mutH//nudG//npr//fdhF//fhlA//sspB//
GO_0006048_6	cas1//rffH//mntP//proA//puuR//adhP//
GO_0006050_6	lpxP//
GO_0006051_7	yejA//
GO_0006053_8	rssB//
GO_0006054_6	nanA//xapR//yibT//pgaD//hisQ//oppB//ybhA//
GO_0006056_6	dtpB//
GO_0006057_7	ybaO//
GO_0006059_6	aceB//yejB//dapB//yagE//
GO_0006060_7	yjcE//
GO_0006062_8	ydcI//
GO_0006063_5	ssuE//hemH//acrD//tesB//glnE//hflC//ulaR//fliG//glyS//
GO_0006064_6	adk//yebZ//glcD//gpmA//pgrR//yjiQ//
GO_0006066_4	bsmA//gadA//mdoD//pgpA//arcA//sseA//ydiB//ilvA//sugE//yhdJ//ytfE//hyaC//panC//otsB//efp//tamA//yacG//rsgA//hisA//ttcA//mprA//dtpC//gpmA//tauA//asmA//abpB//yqgF//narG//exbB//alsA//lgoR//ribF//
GO_0006067_6	skp//paaB//tolC//
GO_0006071_6	rimL//yghU//cysW//cytR//psd//mdtI//secF//
GO_0006072_6	insK//murR//mmuP//rpoE//dgcF//
GO_0006073_6	etp//aroG//torS//pphB//fnr//malF//waaU//ybbY//atoB//yihL//dosP//lapA//ptsG//secD//yadV//paaZ//hisQ//ynfL//cbrA//rfbX//
GO_0006081_4	yieK//proS//clpX//fruA//ldtC//gcl//idnD//yggD//acpS//hrsA//pflC//tsaE//lacI//lexA//glk//ghoT//topA//leuD//purB//tsx//yaaY//ynbD//hrpA//nanR//glsA2//tolR//hybE//mcbR//msbA//agaV//rrrD//rseC//tilS//iap//ypdA//ydiO//ssuB//ttcA//aldA//rpsI//entC//fecB//treR//ubiF//ytfR//secE//yeiG//tap//glmU//ubiA//pdxY//rplY//mreC//yciV//ugpA//ydeO//lsrG//ydaN//tsaD//lolD//dinJ//rmf//ynbB//acrE//yojI//glmM//fruK//
GO_0006082_4	yraJ//fucA//dnaT//yihU//livK//yqiG//ytfP//ubiE//livG//lptA//mrr//yjjB//yihV//fixC//serC//yggP//rpsS//yhjR//ydiO//aceB//leuO//zntR//rfbX//phnH//rhlB//ybfE//mdtG//ompW//gatY//rffH//lgt//mtlD//pncB//cyoE//frdC//parE//yehT//hisB//cas2//ygjK//infC//dtd//ydiV//yjjX//yceD//livM//fiu//cysQ//trkG//aphA//rplP//flhC//moeB//abgR//yafS//emrK//cmtB//frc//kup//add//plsB//copA//pdxB//elaD//erfK//nac//yqcG//ydaN//yojI//rhoL//sucC//crp//ycjP//yihO//gluQ//nrfA//arsB//kduD//yccS//yahF//phr//uspB//garK//exuT//rnlB//selU//emrD//rbbA//nagB//pbpC//barA//tag//alkA//gltD//rpmA//manA//cmoM//arnT//cspE//hyaC//cdd//nudC//rseP//mrcA//rcsF//opgC//livM//fabA//csrD//fimF//prpB//acnA//cas1//nupX//zapB//betB//ftsZ//srlE//higB//ygfX//valS//upp//ybjL//phnJ//cho//artQ//ddlB//paaG//ycaN//rbsK//argF//norV//yafQ//kbaY//artQ//ynfK//dinD//prpC//mutH//tolQ//lysR//gloB//tyrS//yeaV//mscK//ybcQ//wzb//agaC//cas2//ygiV//trkA//fkpB//greB//cobT//napD//btuB//lldR//prfA//sstT//mdaB//araH//sdiA//ivy//cyoE//leuD//bssS//glpA//yehA//deaD//ybcC//rutF//kch//yfeD//secB//yeeL//arnD//udk//mraY//yhjX//glpF//recR//lptG//kdpA//allC//znuA//fmt//tufB//feoC//selU//rlmC//ygcR//ftsA//focB//ybiX//fdoI//priB//yfcR//shiA//rzpD//artP//rbsD//alaS//yjhH//frsA//treR//chbR//emrY//avtA//lepB//osmC//hisF//soxS//hslR//yhcD//yahB//adhE//htpG//abgB//nanC//appB//ileS//yjcO//fepE//patZ//trpE//dnaB//murA//rsuA//dtpA//dnaN//dapB//feoC//yajL//phnG//alsC//ygfI//yajL//pflC//glvB//nadA//rzoR//citE//yfiE//phoQ//ygiB//rrrQ//hsdM//efp//mtlR//ghoS//borD//recR//mutM//ihfA//ttdA//livG//surA//yqaE//ascB//sdhD//srlD//dnaX//yeeA//nagK//tatC//paaJ//recG//lhr//glpB//fixB//holD//rhaS//rplB//tolB//eutB//arnF//cyoE//sodA//cca//ydaN//shiA//ybiY//lgoD//efeO//deoR//cytR//adiA//relA//yfdK//hprS//wecC//tesB//thiG//gadX//hypT//cedA//csgF//glnP//mog//cpdA//nikA//soxR//yhbY//ybhJ//ycgR//moaA//rplI//ralR//rlmG//fabR//amiC//glpF//lldD//yafO//sufA//fcl//rpoE//gudX//gcvT//nrfB//yihL//wzb//npr//glpA//ftnB//sufD//nadC//ubiI//phoU//zinT//aroA//gmd//dkgA//clpA//rlmM//yeiL//ybcL//yghU//pldB//speF//oxc//ynhF//dmsC//nikE//recE//hda//tsx//hofN//rusA//recQ//phoB//phnK//torC//ycaN//hcaR//ydiO//hemF//hybB//sutR//kbp//holC//gadW//ypdF//ubiB//gudP//yrdA//ulaA//rnhB//truB//yfiR//oppF//kbaZ//yrbG//plaP//ispF//ybcF//higA//ddlA//dhaK//yhaC//hypB//mazG//sucD//lnt//glcD//lipB//rpsI//ybcF//elaD//yeiL//proP//aroK//uraA//recG//yjjQ//kdgT//ynfE//zapB//tabA//baeR//bacA//ackA//hexR//rzpD//ypjD//hybE//alaS//yidA//tauA//hchA//pbpG//fdhF//eutB//kdpF//cmtB//fetB//fadB//mntS//leuS//ldcC//lon//murF//asr//ybfE//panF//npr//fadL//rplR//csrA//basR//ykgO//bamD//ftsN//afuC//ydiQ//rplW//ydcO//mpaA//phnH//glvB//rplR//fecA//ilvD//pspF//nfuA//nrfF//nrfF//yfaE//nanT//dacD//tolQ//rhlB//waaC//kdsC//lacY//panE//fhlA//yjjU//dacB//sufB//
GO_0006083_6	patD//xanQ//ibsB//glk//nadK//cbeA//
GO_0006084_6	hypT//narW//
GO_0006085_7	yjcE//udp//
GO_0006086_8	ytfE//
GO_0006089_5	dicA//ybiH//insB-2//mug//dicB//secF//lhr//citG//gspE//cobS//kdgT//rpmE//cobU//potA//yhjG//ygaZ//hupA//sbcB//xylB//ydhJ//folM//sbcB//rfbD//kdsD//yhdX//mdtN//ascG//phnH//waaB//
GO_0006090_8	dcd//exbD//ybdN//ydeT//pagP//rof//mdh//parC//rihC//umuD//ftsH//kbp//ygfZ//truA//eptC//sixA//hdeA//erpA//garL//tcyP//pykA//topB//yiaA//marR//bhsA//ugd//cpxP//alaC//ycjU//hisS//yehZ//
GO_0006091_4	gcvA//murC//alr//murF//tusD//ygaH//parE//ymfA//ygaV//flgF//aroH//mukB//yqaE//phnJ//elbB//rplO//ycgV//hxpB//rhmD//osmC//rcnR//envY//yjiY//gsiB//uhpT//pinE//ybaL//bcsA//melA//ydcI//serC//fbp//patA//malI//fumA//yehA//insF-1//satP//yiaF//fecC//hcaC//pabA//valS//ybhA//yidL//pstB//ccmG//rhsD//argP//rutG//ynfF//xapB//kbp//maa//cysD//ubiH//dcm//srlD//waaF//yhfS//agaC//paaH//moaD//ybhF//yfcG//rlmE//yadG//nudC//yihL//ftsQ//dhaL//ibsD//slt//yneL//waaJ//srkA//hflK//purB//livF//yqhD//leuB//yciG//yneJ//yfcV//yidE//ibpB//sdaA//sspA//yiaM//narQ//hofQ//hldE//hisA//hofP//gsiB//rpsE//cyaY//tatE//folA//yagE//ygcR//hha//exuT//relB//lysA//yhaJ//tadA//iscA//dctR//rsmH//gstB//dsbG//
GO_0006094_7	cynS//eutN//rlmM//yjjQ//puuE//napC//mgsA//ilvC//ybaK//ygbI//
GO_0006096_6	rpsR//mscK//apt//rsmH//thiP//paaE//yhaJ//sapC//slmA//ftsE//iscS//edd//yqeG//rpsQ//hyfA//mglC//yagJ//folP//
GO_0006097_5	yfiR//rof//yiaO//folP//dhaK//
GO_0006098_6	yidH//cspG//nlpE//arcB//tolC//
GO_0006099_4	citC//cdh//sucA//mltA//glcB//recG//ycaO//putP//yfeR//fklB//yieK//rseC//aceF//aaeB//leuD//arcA//ansA//
GO_0006101_6	ibsD//nanR//fklB//zitB//yfiR//yahN//rfaG//menI//hisD//waaY//recF//nagC//paoC//frdB//pheT//fecB//hybF//
GO_0006103_5	ispB//speE//cirA//
GO_0006104_6	ugpE//dgoD//sanA//
GO_0006105_5	puuD//rutF//osmE//fhuF//yebK//gcvA//tcdA//fimF//
GO_0006106_8	purT//
GO_0006107_8	yifB//
GO_0006108_8	ralR//yehY//hflX//aqpZ//bglX//
GO_0006109_6	mdfA//sdhA//atpA//wcaC//yqiJ//yehP//potB//fimI//yihV//
GO_0006112_5	ytfE//guaD//ydaV//ydiQ//bamE//xseB//afuC//hipA//
GO_0006113_5	nlpD//nrdI//pmbA//iaaA//uof//yhaV//higB//rpsH//nikB//yraJ//shoB//rstB//yiaN//
GO_0006115_6	tatD//
GO_0006117_5	zapC//
GO_0006124_6	pstS//
