#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yqgB//csiR//trmL//sohB//
GO_0005975_4	mug//sucA//yqhD//sfmA//rhlB//treA//hokE//lpxL//frmA//rhaT//yahI//yjfP//cydA//gudD//gloC//yhhY//acs//speA//ypdC//macA//ppx//frlB//mrdB//rcsA//hupA//ilvC//hipB//yeeL//yagU//mdtM//yfiE//potC//codA//pagP//glpX//rpsT//aroK//flgF//nrdD//insF-1//wcaC//ydcO//clpB//rho//cysM//wzzE//tldD//hcaT//rsmH//insI-1//tmcA//yagI//yeaV//aspC//cusC//pth//nadE//yfiC//rpe//gltB//nrfF//sutR//thrB//envR//fkpA//rsmD//pflA//surA//aes//ansA//ynaE//hdeB//acnA//recB//nadE//etk//uxuB//pyrE//bamA//gluQ//ybgQ//mtnN//mngR//fabB//dtpB//nanA//iaaA//nrdE//yhhT//ptsN//zapB//qseC//kdpE//nadC//ade//atpG//sodB//eutR//hldE//rhtB//yhaM//xdhB//tas//yfgO//gloB//abgR//dacC//arsB//fmt//adk//dppF//flgH//yohC//ansA//syd//chaC//hofC//yehC//rfbD//rclB//yfaX//garD//lhr//fimC//ddpX//sufE//yiaN//wzzB//phnP//accD//yhbO//mgsA//dinD//crp//cadB//xapA//menF//gspI//cysG//rpmG//thiM//mngB//lldP//rhaA//entE//hyaC//kdsB//bcp//csgB//rbsA//purC//aroD//queD//sugE//oxc//ilvI//sgcE//flgE//hlyE//yihQ//bcsA//bolA//mfd//ybjL//znuA//tyrA//rutR//sodB//araD//selU//pspG//purC//nanE//kefC//putA//yfhM//yebK//yafC//ftsQ//ycjU//mdtI//gppA//uhpT//eamB//topAI//crl//ribD//treF//satP//ydcS//ykgO//sanA//yedX//dxs//hlyE//ruvC//hscC//yajL//ampG//rnt//argT//hrsA//argP//ykfM//gyrB//yjgX//phnC//zntR//ilvI//ybgP//lysS//treF//ycaO//ulaA//fbp//recB//glnE//exbD//nagB//tolQ//napD//psd//tufA//fnr//alaE//mltF//rph//macA//cysB//cvpA//nikB//tauD//pdxY//ycjD//fabH//gdhA//clpA//rbsR//ycjD//modB//tauC//msbA//yfiR//hisF//trmJ//potC//ampD//fumB//djlC//cusA//yiaL//yehA//nsrR//rhtB//
GO_0005976_5	dppC//speC//yfcF//frvA//mngA//rimJ//rcsB//mtr//chaC//lptA//folX//ygfI//narJ//chpB//ompC//ggt//yghB//phoQ//flgI//lysS//sdiA//yrdA//rhaM//idnD//uidC//cysD//bamB//rplQ//yhjR//ydcT//ypdA//mepH//glcA//lysU//cheR//ldrA//bioD1//yagG//iaaA//clsB//hpf//malP//ynhG//dld//yeiE//dxr//yfdG//sucA//relE//yadI//yiaB//ycbX//hcaT//yegT//emrB//rlpA//edd//degQ//xapA//
GO_0005977_6	yneL//fucO//amiB//rbsR//srlA//pyrL//mltB//potI//
GO_0005978_7	codB//dacA//mntP//malZ//
GO_0005979_8	artI//
GO_0005980_7	dsdX//astC//yedF//
GO_0005981_7	srlR//
GO_0005984_5	tamA//xthA//artJ//fes//murB//cbrA//tusC//mhpC//mscM//oxyR//parC//
GO_0005985_6	astB//
GO_0005986_7	ygiB//
GO_0005988_6	dauA//dadA//
GO_0005990_7	cheA//ubiE//
GO_0005991_6	osmC//fliS//astC//mazG//yqgF//
GO_0005992_7	dsbA//eptA//
GO_0005993_7	mioC//bglJ//hda//
GO_0005994_6	cnu//
GO_0005995_7	fecC//
GO_0005996_4	iscX//hypD//mcbA//xseB//rpmC//ptsH//ppiD//murA//secF//metB//livK//napF//exbB//proW//xylG//nrdI//lptF//paaE//ftnB//alsE//mtn//soxS//iscU//rluB//opgB//ndh//frdA//ilvD//rmuC//fes//betI//nfo//hdeA//pliG//yedA//idi//hdeB//rsmG//ptsG//sfmA//ribD//rimO//casD//glxK//mrdA//dsbG//shiA//avtA//accD//rpmF//feaB//yfdS//secB//tauC//ydcR//sthA//pgi//fabR//gltK//rlpA//thrC//cydD//rpsM//yciA//appY//kefF//panD//frvA//cynS//paaK//mppA//glsA2//treC//uraA//zapE//pepA//rcnR//panD//acpP//phnO//mrcA//ynfK//
GO_0005997_6	yibH//
GO_0005998_7	rsmJ//
GO_0006000_6	ftsL//yeeJ//msrC//
GO_0006001_7	allD//nrfA//
GO_0006002_5	pgaA//rihB//ygeV//
GO_0006004_6	pckA//yhjA//livM//dgoA//allC//tauA//
GO_0006006_6	gsiB//ybaT//tynA//kbaZ//ybdH//ydbK//pgpC//hokE//prmA//mtn//yjeH//yddL//nudF//yqjH//metF//sucC//ybiY//yciH//clsA//wbbK//yadN//frmB//ghoT//
GO_0006007_7	rplN//ogrK//ydhQ//
GO_0006011_5	murR//
GO_0006012_6	argC//bdcA//ybaL//ybhP//yehW//dapF//lpp//yehY//torD//
GO_0006013_6	elfD//murB//
GO_0006014_6	ihfA//appB//grcA//
GO_0006015_7	rlmM//rpsB//
GO_0006020_5	erpA//
GO_0006022_5	sbcB//rzpR//btuR//ybaT//yafN//frmA//rodZ//mtlA//yneJ//ypdA//ybgI//tmk//kdpC//dnaB//rseB//livJ//sstT//gntR//trkA//rfaE//rsmB//sad//mhpT//yafO//tamB//thiM//rpsJ//ansB//rhaM//rplW//lpoB//hsrA//ybjC//phnM//hupA//ftsN//sufS//thiE//mdtJ//gcd//prc//speE//sixA//pheT//argR//ascG//secD//sfmA//nuoL//ybbY//ybjI//yfbR//ydeP//rplF//cbl//mltD//dgcQ//narQ//epmC//ydeI//tldD//rpnB//ruvA//
GO_0006023_6	sucA//tusC//uidC//metL//yciA//rsuA//pnuC//rpsH//plsB//oppF//yhbY//yihR//prfC//edd//rne//frmA//waaQ//recB//mltD//hybF//alaS//flgG//dgcT//torS//iscR//proA//mnmC//rpsI//caiT//mliC//mcrB//tufB//gppA//rplC//yoeE//pflA//btuR//mtn//gcvR//
GO_0006024_7	narQ//tsf//yhhZ//garP//atpF//ribF//adhP//ybeY//mgtA//menA//hxpA//ulaR//ybhJ//bioF//panB//ycfH//rihC//cysS//adiY//hemH//glcA//mltG//ddpX//yjhH//iap//ynhF//yjiY//yifB//lpxP//mdaB//iap//yggW//higB//perR//fadM//speA//relA//preT//ymjB//
GO_0006026_6	lspA//dhaL//flgA//treB//cmtB//pitA//hofP//sapA//murC//cdd//
GO_0006027_7	ytfQ//ydjM//emrE//cyoC//hisG//umpH//ydeI//ybjX//ynfL//lsrR//
GO_0006040_5	moaA//ydeT//leuO//cysI//yajR//torD//degQ//yohD//yedL//bdcA//rsmH//ygbN//scpB//mtnN//fimZ//torD//cas3//
GO_0006044_7	lepB//scpB//ispH//hflC//gutM//
GO_0006046_8	hcaT//essD//rlpA//cysI//
GO_0006047_5	trmH//dpiA//der//rhtA//yihQ//glxR//dppA//
GO_0006048_6	rtcB//ompL//metN//nrdR//sapD//rsmF//
GO_0006050_6	cbrC//
GO_0006051_7	mdtC//
GO_0006053_8	cobU//
GO_0006054_6	ynfH//ychO//lgoD//chiP//napF//mtlD//sixA//
GO_0006056_6	gnsB//
GO_0006057_7	rlmN//
GO_0006059_6	trpGD//mliC//ftsE//dppD//
GO_0006060_7	yjeH//
GO_0006062_8	araG//
GO_0006063_5	cas1//yfcF//acrB//yhbX//lpxM//katG//msbA//dtpC//ribA//
GO_0006064_6	insI-1//mqsA//rpnC//kdgR//ycbX//zitB//
GO_0006066_4	mlaE//yccS//glgA//cobS//atpB//yiaB//smrA//ybeF//cvpA//yhaM//uxaA//yihL//miaA//yohC//nupG//torR//dsdX//emrK//yaaU//yhhY//yehB//hha//ybhD//ydjE//ubiC//insB-4//ydjJ//ybjG//glsA2//argF//gloA//topB//
GO_0006067_6	gspI//upp//valS//
GO_0006071_6	serC//yfiF//accB//fryC//yhcD//tyrR//ugd//
GO_0006072_6	zapB//pspC//sdaA//lgoT//ispU//
GO_0006073_6	sodA//ycgR//insI-2//hemG//rpsM//eutR//ilvI//nrfD//lacY//artM//actP//rzpD//lrhA//lldR//pinE//patZ//artP//motA//torD//secF//
GO_0006081_4	gapA//hdeD//fecD//pepD//exuR//mdaB//pepT//yiaB//ibsB//galS//fadJ//yceD//endA//agaC//xanP//ynaE//yjjW//nirC//purL//pgrR//rpoS//bioP//nfo//ssuC//guaC//arnD//rpmC//focB//gcl//yqiH//bacA//glmM//pppA//hisI//mdlB//lsrD//focA//trg//rplJ//yraR//bglA//yfbV//nadD//folC//pldB//mrp//trpB//selB//xylG//ompT//elfC//acrZ//agaD//bdm//panD//pfkA//afuB//yddM//yihR//yfjV//mscM//yahI//amiD//lptD//pliG//psuT//ynhG//
GO_0006082_4	csrA//yodD//nrdH//mscS//topB//tusA//rhsD//mqsA//sgcX//dgcF//fadE//luxS//adhE//xdhB//secD//yihW//exuT//hupB//srlB//yfaU//yieF//ydiP//ybeY//wcaB//hyfR//mdtF//ravA//elaA//ycjU//potE//bamB//sapD//menI//tsgA//glrK//yrfG//ruvB//arnE//gyrA//frmR//metG//nadA//ligA//galF//folP//fepA//mhpT//cysK//serC//tnaA//yibT//fucA//menF//bglA//cspD//tonB//nepI//gadX//surE//carB//yebK//basR//cheZ//lptF//rhaM//diaA//ispG//recN//lamB//yggW//ybaL//groS//zitB//nikD//uhpT//secG//ynfF//ispB//glcC//ydjE//narW//glgC//pepA//tadA//sppA//aroF//amiA//thiQ//mdtE//insI3//pgi//tdcC//gspF//citE//pliG//frwD//htrE//glpF//cobB//wzzE//tehA//setB//zraS//dusB//rpoE//polA//yadK//folD//cspI//glnP//tolA//epd//rfaH//nlpI//ydjL//ldtC//yhaM//prmC//hisQ//elfG//fadB//treC//xisR//agaR//ygdG//mtlD//fruA//yqiG//fdoI//ypjD//norV//cysC//hofO//cadB//tdk//rnr//phnC//csrA//mrr//emrE//pitB//murC//pyrL//opgC//lepA//mngA//rlmI//lnt//yceK//rrrQ//yeiG//cysP//gpmM//dsdX//etp//kgtP//sdhB//dsbB//agaI//mgsA//hyaC//mgsA//yggW//epmB//yfcF//arsC//yjiM//mhpA//secY//blc//hokB//glmU//gatD//pdxA//mngR//ubiE//copA//yejE//pcm//yebS//nuoM//rlmN//vsr//nikD//deaD//truB//oppA//tsgA//rlmF//dbpA//mtgA//ffh//maoP//opgG//soxS//frmR//fimF//ybbY//umpG//rplF//amiA//ykfI//rhaS//phnO//proV//nsrR//hyfA//gatC//ydcO//yagG//clsB//mipA//adhE//rplS//zwf//selB//rhtC//ygaH//rclR//perR//nuoE//der//ppiA//trkA//metQ//menF//ortT//dhaL//rluA//rsmG//ssuB//cobB//recX//insA-1//entF//tus//rsmE//lysP//mltF//marR//dppA//rpsE//yfgJ//amyA//ybaT//rbsC//lpd//ydbK//rutR//puuE//ygcW//yeaD//adiC//gapC//caiB//xisE//manX//sgbU//sufD//yraR//fryB//metN//insK//artJ//lplT//yifB//fnr//chiP//glgC//baeR//rsmE//fliA//greA//nrdG//ettA//yjbB//rpmE//ygjK//ydcO//arsB//caiF//dcuR//lptB//abpB//cnu//cysU//dgcF//mdoG//dinD//ais//yibH//cyoD//umpH//smpB//narH//atoB//ppk//arfA//ynhF//rodZ//srlE//lptG//ppc//frlA//iraP//rpsE//truD//pgk//lpxC//azoR//ptsH//yaiW//nudF//yafC//cspE//pdxB//recF//asd//gpt//tdh//ibsD//menB//nrfA//yagI//wcaJ//nuoG//mdtJ//phnL//rnlB//frwC//pgk//tcdA//ppsA//cbeA//rpmE//dnaJ//arfA//fimH//nemR//yieE//tdcE//rlmB//appB//baeR//alsE//priA//rlmL//yafN//umpG//yhaJ//ghrB//mgsA//rutF//higA//ybaT//fimE//entF//srmB//surE//acs//dld//relA//pckA//ompN//nikC//fadA//dmlA//zapA//bamA//ybcM//pspC//bglJ//rplS//glsB//cysQ//nrdG//yifB//uspE//coaA//agaD//rhmR//yidH//envC//kgtP//zntA//dapA//alsC//rffG//argE//gntK//oxyR//narP//yqaE//yraJ//adhP//pyrD//yebZ//nrdI//prlF//rpsR//fhuB//yfcA//ynfK//uacT//garL//rclB//yccS//yfcQ//emrB//pykF//birA//bluF//kduI//matP//scpB//fepA//aroL//yajR//pinQ//manA//frsA//yqhC//bglX//aqpZ//yqhD//yaiW//sfmD//holD//insI-1//hflK//rluE//nmpC//argO//murQ//ycjR//sodC//yciH//pnp//ygdG//groS//napD//lhr//aaeA//yfcF//nudF//polB//livF//ihfA//fucA//ftsL//rlmH//abpB//waaC//agaV//dkgA//ypdC//hmp//pepA//afuC//yggF//
GO_0006083_6	uxaC//surE//ynbB//sapD//metG//ydiP//
GO_0006084_6	rsmH//tatD//
GO_0006085_7	fhlA//narZ//
GO_0006086_8	rfaF//
GO_0006089_5	sfmF//ydfH//hprS//yegV//hisC//gcvP//rcsB//elaB//tehA//iscS//yajR//narJ//rpsH//intE//ddlB//paaZ//dacB//yedX//yagJ//radD//insH-5//cyaY//rplP//slmA//fliG//fryC//dnaB//gapA//coaE//
GO_0006090_8	ybjN//rlmI//nagK//dicA//nlpE//accC//cusS//wzb//lptE//ydcS//hisG//rpoE//mhpT//rpmC//argE//pheT//moaA//cycA//rluD//deaD//pepD//ilvC//mgtL//araE//ptsH//tktA//ycfL//phnG//rpmB//groL//aroF//
GO_0006091_4	upp//flgD//seqA//yadK//waaQ//rlmM//nikC//thyA//waaH//nmpC//elfD//ulaC//dcd//rpsM//yfaX//kilR//mug//glcA//rplP//narI//ftsI//dcyD//elfD//nusG//moaB//nikE//rsmI//mscL//cobS//ybhG//yaiP//luxS//aroK//ycbU//recA//yehD//kefC//arnT//atpE//yehD//waaG//btuB//moaD//mltF//glnK//kduD//clpX//cysW//fadI//secF//lpp//alsE//ileS//rpe//rmf//nlpI//cpxA//bglB//tolC//yagU//dnaX//yehX//maoP//ycjY//dapF//lptD//ugpE//aroA//yhcH//ycgV//pepA//cpsB//mdoD//yijO//dpiB//yhbO//fucI//adeQ//agaR//ybdG//uvrC//uspC//nrdA//mnmG//uspF//hscC//ynfK//ydfH//pcnB//ynhF//ynfE//gutQ//fepG//cspG//recD//glpR//kgtP//cspG//yehT//yagE//pdhR//panE//gltP//hemH//mobA//nrdR//ftsZ//rlmE//rfaE//bipA//fcl//sspA//
GO_0006094_7	ddlB//rcnA//serA//yfcF//yccX//arnF//tnaB//yqjH//rihC//slyA//
GO_0006096_6	afuC//phoB//djlC//torA//ymgA//azoR//fepC//intZ//metG//tadA//rluE//yrdA//hofQ//rpsA//narU//hxpA//mppA//eutN//
GO_0006097_5	dctA//rarA//queA//pbpC//holB//
GO_0006098_6	phr//aroK//xisR//hslU//gstB//
GO_0006099_4	ynbD//ycjY//allR//yibH//torI//ybaE//yagI//dnaQ//phr//hokE//mraZ//pdeH//xdhB//hybF//paaZ//ftnA//fadI//
GO_0006101_6	zwf//rbbA//gltI//mgrB//torZ//dsbA//yhdX//ygiV//yieF//elfC//fimZ//fepG//dcuD//yjhI//fimA//yegD//pitB//
GO_0006103_5	dacB//gspI//cspD//
GO_0006104_6	frvR//rimM//ygfA//
GO_0006105_5	ldcA//nuoB//dgoR//fliT//patD//menB//paaE//hisP//
GO_0006106_8	ttdB//
GO_0006107_8	ompR//
GO_0006108_8	yceO//yhcD//ccmH//yejA//ygcW//
GO_0006109_6	yghG//mhpD//fimD//nagD//glsA1//aldA//nudG//uspG//tsf//
GO_0006112_5	chbB//citT//citT//rarA//tonB//sgcX//yeaG//yeaV//
GO_0006113_5	yafQ//yqjA//zapD//menF//tisB//crcB//yqcC//flgB//fimF//rsmH//insK//torI//trpE//
GO_0006115_6	nagB//
GO_0006117_5	yahF//
GO_0006124_6	lptF//
