#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	feoB//hybA//dtpC//ubiB//
GO_0003333_7	ydeT//dnaX//hslO//cedA//rhaB//cadB//elfD//ygfX//mscL//glxR//yehU//sucC//modA//ugpA//napC//ybbW//phnI//insK//malQ//infB//lpp//btuB//flgF//treR//citT//ybaE//tabA//eutR//prkB//pspA//panC//agaI//bioD2//ccmG//cspD//ppiD//uxaB//yeaG//aas//speE//betT//feaR//rhmR//nuoB//rutR//eamA//metR//ratA//argF//
GO_0005975_4	acs//envR//ybeQ//wzzE//fadL//exoX//rraB//lysU//mdtM//ycbB//minD//ynaI//rplA//dpiB//nupX//fliT//metI//ydcO//rapZ//afuB//cutC//mlc//thiD//ypdC//yebK//yebG//hemB//yphD//ariR//rffT//yibH//casC//emrB//prpD//ypdB//sutR//waaZ//eco//gsiC//yddM//garD//rlmE//deoD//sapA//copA//ygfI//pckA//yahN//rhaR//rpiR//bioD//sbmC//yjiM//yihQ//yhhT//cusS//yraJ//recD//ybjG//glxR//idi//umuD//mhpR//mntR//osmE//yihP//dapB//asnA//btuF//codA//hisF//tnaB//yhjX//glgA//recT//rfaE//iclR//iclR//napD//fabD//fimE//ssuE//uspC//trpGD//fre//yhjD//gmhB//rhlE//qseB//thiH//mscS//ykgO//dcd//yggF//ruvA//allC//ndh//dgcF//kdgR//dcm//metF//yfjR//thiG//mscS//fimZ//pspG//ybeF//yhjA//rihA//rsmH//yoeE//ygbL//nupX//tbpA//rutE//glcF//trg//sgcA//mhpB//bglF//rbfA//creB//rihB//csgD//ydjM//ppiD//ymjB//malY//birA//panD//rfaB//argP//hyfF//dpiB//ydhC//def//pspD//wecB//narI//zraR//ymfA//rcsB//baeR//mukB//yeiG//puuA//stpA//smrA//fecA//araB//osmE//uvrB//lgoR//mhpB//fic//radA//btuD//mhpD//hyaC//cca//focA//csdA//ftsH//mmuM//mak//ynbC//yraI//ycjW//hypA//ftsL//yqjA//cadC//rnb//yddL//cydB//murB//blc//epd//phnJ//wecB//ldtB//yijE//cmoA//eco//dinD//dppF//sspA//eutB//trg//ghxP//ybiT//yahD//rsuA//yeiG//cecR//adiC//rhtA//holD//glrR//sppA//tynA//nudB//metQ//yjbB//lgt//yjgX//ftsE//lysA//tatD//exoX//lptD//ybaQ//glpK//rfaE//hrpA//yhdJ//ftp//ycjW//glcC//frc//sufA//ynjA//aaeB//csgE//xylB//nanA//hipA//murJ//livJ//mnmC//iclR//rpsK//mscK//hybF//rplA//yeiG//yhaO//dsbG//rclB//mdlA//yfdK//norV//wecB//mltG//trmJ//hsdR//adiY//dgoK//rplR//srkA//murD//marA//pyrE//marA//
GO_0005976_5	tyrA//hofM//gatC//gadB//cmoB//fabZ//ulaA//wzc//garP//bglJ//fabH//rimP//manX//yiiM//bamD//allC//serS//cysB//rpiR//sapD//acrZ//ispU//kilR//kdsB//sad//cdgI//ugpB//sgcX//yqjA//frvB//fklB//yihP//ykgO//yfiC//wza//wrbA//ycjU//hybD//cmoB//pinE//ynjA//flgD//ispH//tgt//ftsP//yjhB//mdtO//hycH//yhjX//ibsA//dnaB//ilvC//yraK//fumC//sufC//rpoS//tauD//purB//yjiA//
GO_0005977_6	ubiD//codB//phnH//guaA//cydA//yhjX//mgsA//ybgQ//
GO_0005978_7	fepE//yahD//fimA//tsx//
GO_0005979_8	hicA//
GO_0005980_7	viaA//fepA//tsaE//
GO_0005981_7	yabI//
GO_0005984_5	qorA//feaR//rppH//plsC//cbl//fdoI//trxC//murI//btuE//murI//flgC//
GO_0005985_6	rimO//
GO_0005986_7	pspD//
GO_0005988_6	flgI//ldtC//
GO_0005990_7	mdlA//yiaJ//
GO_0005991_6	yidK//yhjG//rpsN//tcyN//rpsB//
GO_0005992_7	waaS//agaC//
GO_0005993_7	cadA//mliC//prpC//
GO_0005994_6	nrdH//
GO_0005995_7	malQ//
GO_0005996_4	yhcF//galE//rihC//idnT//mrp//hybB//garP//yebZ//garD//sthA//lpxL//ldtE//yfdO//entS//yeaD//recC//yhcF//nepI//rsuA//ppk//narL//ubiI//secE//fliZ//trkA//syd//lpoA//thiH//cbrC//fkpB//mdtK//hofC//phnI//hisF//exbD//pliG//recD//groS//prpR//rlmH//hcaC//mdtM//cysW//nudB//opgE//ynfH//ssb//ibsD//yadN//waaL//dgcQ//dnaQ//higB//adiC//livJ//yfiC//udp//rffH//chbB//nei//yhgH//oppB//hokE//uidC//dtpC//ycjP//tdcD//mtfA//rfaB//uspC//gpt//ddpX//tauD//mepM//nrfB//eptA//tktA//dsdA//mnmG//melR//sufD//gshA//
GO_0005997_6	mukB//
GO_0005998_7	aceF//
GO_0006000_6	ydeE//xylB//ubiX//
GO_0006001_7	yejA//arfB//
GO_0006002_5	prpD//yrfG//bglB//
GO_0006004_6	fdx//nikC//folM//ymgA//selD//yefM//
GO_0006006_6	dkgA//yidC//xylA//kilR//dcuB//yeaK//lpxP//appY//recC//opgE//pheA//tusC//tusA//fimF//pdxK//malE//atpF//fucP//napF//atoS//argK//clpB//ycjQ//
GO_0006007_7	yebK//thrC//ghoT//
GO_0006011_5	kefG//
GO_0006012_6	metC//fur//frvA//cirA//dtpC//umpG//gspF//preT//cyaA//
GO_0006013_6	alaC//emrK//
GO_0006014_6	dmsC//ulaG//hybG//
GO_0006015_7	garK//ygiB//
GO_0006020_5	ycjD//
GO_0006022_5	nemA//dnaB//hflK//tdcD//chaA//mmuP//fepB//otsB//gatB//cyoA//lolE//rimP//ppx//dbpA//ghxP//yfcU//glsA2//ampE//ribA//rmuC//speC//frmR//xylB//entE//dedD//deoD//ybbY//ydhK//yadG//bfr//fdx//rppH//kdgR//hyaD//emrD//ydjL//sdhA//glcC//cdgI//emrB//zntR//gntT//ruvA//xylA//yahI//tcyP//fbp//hcaR//ompT//yahB//srlD//phnP//tktB//rayT//prpD//napC//relB//cusR//paaE//yjeH//pdxK//ycjY//ruvB//
GO_0006023_6	hrpA//malS//pstB//tdcR//spy//ytfR//fkpA//ybjD//nagZ//rpsT//dinQ//dps//yggW//hypB//rnc//ycjQ//galM//ybgP//frdA//ftsB//ppiD//gatC//zapA//tolR//yajD//thiP//relA//speA//bioD1//proB//ogt//malI//tcyL//cmtB//fepE//nanC//kdsB//mnmE//gapA//
GO_0006024_7	tdcD//mdtN//pepN//htpG//ygiW//skp//cysU//gdhA//pspC//truD//cpxA//mdtF//fkpA//dhaL//rlmB//argD//alsA//hslU//deaD//epmC//ybiI//mrdB//rsmF//ydhJ//rfaH//pyrG//acpT//insA-1//fecB//kbaZ//dnaT//emrB//frmA//chpB//osmE//allS//treB//panD//ydjJ//
GO_0006026_6	waaY//insI4//ydeE//gadE//potI//hofO//yjiQ//tas//clcB//xisR//
GO_0006027_7	recO//lpxP//hslU//yodD//dnaA//hcaD//mrcA//glgP//yiaB//mutH//
GO_0006040_5	bdm//hemN//plsX//acrA//tesB//nuoH//yfiR//stpA//torI//fruB//ppk//lepA//aes//idnO//hemH//rcnR//ileS//
GO_0006044_7	spy//yceD//rlmM//rpsH//aslB//
GO_0006046_8	lsrB//deoA//cspB//yebS//
GO_0006047_5	thiM//fabR//yihP//flgB//gadB//waaZ//adhE//
GO_0006048_6	hypE//ascG//yhbQ//yhjD//phnM//ydiB//
GO_0006050_6	cytR//
GO_0006051_7	rpsJ//
GO_0006053_8	dppC//
GO_0006054_6	frvA//prc//dsbD//rimJ//sppA//rplO//argA//
GO_0006056_6	tatA//
GO_0006057_7	pdeH//
GO_0006059_6	hofC//rzpR//dinQ//ynfK//
GO_0006060_7	fabB//
GO_0006062_8	bcsQ//
GO_0006063_5	fadL//potH//fdrA//recG//nanR//ydaN//yedX//ydfK//narU//
GO_0006064_6	rpmC//radA//arsC//ndh//fadK//acpS//
GO_0006066_4	lsrR//dinI//nlpI//dnaK//eutB//idnT//ygbL//entF//alaA//yafQ//yfiC//uacT//iap//artM//gmd//dinG//wecC//fecD//rsmF//ubiA//galM//dcuS//pyrF//argC//secE//fecB//yafQ//rpmA//selD//sfmD//yfeD//ridA//
GO_0006067_6	rfaC//yafQ//yfeO//
GO_0006071_6	gltI//eutB//dapB//fixB//setB//sseA//pldB//
GO_0006072_6	nikC//chpB//yjjU//xylF//fdoG//
GO_0006073_6	uhpB//csdE//cutA//ynaI//crfC//fumC//ybjI//yeeJ//guaB//lysA//rffC//nanK//asnS//dinB//ycjR//treR//yehB//dppA//cysZ//mltA//
GO_0006081_4	codB//dcuC//acpS//gntU//nagD//dmsA//trkA//mdaB//fadD//arcB//yhcH//ilvD//xylE//argS//ycgV//hflD//entD//gspE//yehC//yjiY//appY//ybhJ//ftsQ//nrdI//secY//bssS//thrS//uxaB//nrdB//yddL//gfcE//grxD//citC//nrdR//bolA//ybiO//cdh//dapB//btuB//nanE//der//wcaJ//ppsR//yhhZ//flgE//lpoA//pspC//hpt//tag//sufD//ccmC//dam//yhjX//panE//pspA//dppB//phoA//rnlA//aes//evgS//htpG//ybbN//fabH//nrfE//yfhH//hcaR//rlmA//
GO_0006082_4	degQ//lsrR//bluF//yidQ//cspD//ftnB//yhbQ//dgcZ//hisQ//yeeO//yiaF//recA//ynaE//yjiX//uvrY//dsbC//gapA//waaC//ybgP//rpsS//zapC//ybjD//ycjU//tolQ//rcnR//yfiE//recC//ilvE//flgJ//livG//galT//tcyP//bfr//hemN//yceK//araD//yadK//yjfP//rplL//waaP//rpmE//rpmE//clpP//hsdM//insK//yejF//ycgR//evgA//potF//ybcJ//clsC//rfe//mngB//dicC//rhtB//pgaB//trmH//yaaJ//murG//livJ//cysG//rpnA//nimT//dnaE//slmA//znuB//der//tar//mltG//gpp//gatC//lplT//yihP//ygbI//flgG//mntH//yjjV//phoB//uvrC//glpG//yajD//amiA//moaC//udk//rcdA//rpmE//pgaA//fnr//rpsG//hdhA//glmM//argC//cysA//shoB//murJ//mliC//appC//deaD//hofC//yieF//nirC//dinB//ssuE//intS//mtlA//tag//mtfA//pepT//rapA//hypC//ftsY//ycjD//manX//mtn//pdxK//xanP//asnS//cpdA//recX//dinJ//ubiA//rfaE//zntA//cyoE//yehX//fbp//mrdB//cysS//fadJ//etp//prmC//lpd//ascB//groS//dppA//ydbD//insH-6//soxS//mltF//pgaD//fdnG//yebC//yciF//tdcR//yiaB//torI//pstB//sfmH//mrdA//mhpC//sxy//aas//sgcX//dacA//rlmB//manY//wzb//folA//ynbB//evgS//gntR//fhuD//yjiX//yfhH//exbB//yajL//ampD//rna//nrdB//cspB//glxK//rhaT//ssuE//rplB//yigB//hypE//sfmF//exuT//folA//nanE//aceF//potH//waaG//yagE//yihL//ttdA//galS//fabD//ybiI//afuB//waaP//sbcB//phnP//entF//ybiW//clcB//yqcC//ligB//pdeR//rclR//iscX//ampH//ydfK//uhpT//lpxC//cueO//entS//uspG//yhgH//insI-2//yfjR//mnmE//glnA//waaA//yigL//araE//yihI//ptsP//ahpC//yihQ//rlmM//emrY//lrp//ampE//dnaB//ftsQ//gltL//csiD//yihO//mgtL//pyrD//slyA//livM//tdcG//uspG//acrD//carB//wcaJ//ycjR//chbA//rimJ//rhlB//ybhD//kefB//mprA//hycA//ubiF//mobA//ssuD//atoC//leuS//rbsB//yegS//ftsE//gpr//yiaF//bcsA//chpS//narZ//ortT//atoC//lsrK//pliG//yjjU//cirA//cdgI//lsrD//nmpC//ycbV//yahK//topAI//appA//sucB//gcl//btuC//rimO//fepB//potI//nadD//aidB//yggN//paaX//fimB//fucO//ribC//ompR//smrA//menD//napA//lacZ//ybiY//lysS//nhaA//nusA//ycfH//kefG//moaD//kdpD//osmE//alkA//ydfK//fdoG//asnC//kdgR//recE//pyrD//gntT//frr//yhbX//yrbG//cheY//hsdM//citX//dnaE//fic//uvrB//flgH//clpS//ihfA//intF//ligA//yihR//recF//csiD//glpX//yfaL//gnsB//lepB//hemD//lpxM//dsbB//yadC//msrQ//rpmA//rimP//zapC//nfsB//nudB//thrC//secM//rpsO//glnP//pgaD//yegD//tbpA//mgsA//yadK//ybhR//cmtA//fetA//thiG//cas3//pheP//menF//recN//hiuH//aldB//secG//cynT//nrdF//btuD//leuO//rdgC//rplQ//tyrS//yieL//waaF//pepQ//trmA//cpdB//csiR//metB//galF//suhB//yccX//amiA//rnlB//proC//dppA//yohD//rdgB//nrdD//tgt//sgcC//mreD//cyoC//hprS//epmA//frlC//rpsK//dcuB//metH//yqaE//ulaA//mhpR//tmcA//kilR//dcuD//rlmG//srlB//spoT//gadX//qorA//rlmE//sgrR//pinR//proS//sstT//ubiD//fadM//yfeR//wzc//feaR//yhdJ//sapC//dgcT//feaB//modA//degQ//rpmE//ydbD//glpR//frvB//hcaC//fucI//uxaB//insI-1//atpE//yciE//mutL//hypF//yhcH//edd//cpsB//uspB//ibsD//sspB//ydcM//murQ//rffT//mltA//ydjK//rho//radA//gltX//ybaO//rutD//hybD//acrE//ycjY//atpH//ldrB//atpA//dnaB//pstS//rimL//yejE//mtnN//hokB//ybiV//
GO_0006083_6	intZ//trpGD//ydeO//mgtA//uspE//nadE//
GO_0006084_6	lptC//yiaN//
GO_0006085_7	uspF//mdh//
GO_0006086_8	arfA//
GO_0006089_5	nrfF//rpsT//pyrB//clpX//yjhH//metK//recQ//slt//ihfB//hcaE//sufA//ydiV//yciH//ydfH//yfbV//lipB//waaQ//cysI//appA//rplO//nadC//clcB//pgaC//elbB//ddlB//degQ//allR//bioB//csgD//
GO_0006090_8	era//ygbL//nagD//recC//ulaF//lptA//purF//rpsR//queG//rimP//ymdB//intS//nfo//yieL//pdeL//yhjG//tynA//frdD//sspB//nth//pheA//sfmD//srlR//exoX//garL//ybfA//bsmA//frvA//tap//flgD//tatC//
GO_0006091_4	yrdA//opgD//fimE//cysU//ampG//rcdA//pgsA//mgsA//alpA//allB//holB//rtcB//dmsA//yqeF//rimJ//eamB//rlmL//creB//raiA//cptB//thiI//intQ//mdtA//ariR//yjtD//sfmA//yfgJ//hyfF//nadE//insH-6//cmoA//mak//elaA//mrr//polA//bsmA//frvA//atpB//kefC//yeiE//yqeF//ackA//ydhJ//ibpB//zapC//yfdK//nhaB//ybaL//glpG//thrB//amiA//ycgB//rihC//chbB//nagZ//adeQ//feoA//grpE//ybaL//frdA//fimI//hdeB//agaS//trpB//dgoK//narZ//sfmH//mutM//dhaL//ldcC//galE//nirC//garK//lepB//paaJ//yhjV//ruvB//rssB//pdxH//recE//metE//pyrD//sulA//paaB//yhjR//apaH//purL//yjeH//suhB//plsB//rpsD//crcB//cusA//hlyE//pbpG//purC//yehP//kdsD//xylE//hisD//wzzB//lgoT//acpS//fadR//yhbX//ruvB//pal//acrR//yhbS//rbbA//torY//yhjB//
GO_0006094_7	yehX//pliG//topAI//hlyE//mtlR//lgoR//dpiA//cobB//slyD//nuoI//
GO_0006096_6	rlmE//cstA//efeO//zapB//eutA//mutH//ygcR//ghoT//yfjV//glxR//ybjD//yagE//btuB//ydeM//yneL//satP//murF//ynhG//
GO_0006097_5	yjhP//dmlA//ispU//yceO//yccS//
GO_0006098_6	speD//ftsB//trkG//yjtD//iaaA//
GO_0006099_4	hemG//chbA//alsA//ycjW//greA//yfcA//rhsD//cspC//sgcR//xerC//frdC//lldP//moeB//gltX//avtA//rapA//ompR//
GO_0006101_6	ybjL//paaA//rplL//mtlD//gcvT//focB//rpmE//hisQ//bioA//yieE//mngA//dnaA//gloA//nanR//pal//glpK//dnaC//
GO_0006103_5	glnB//ulaE//araD//
GO_0006104_6	artI//mliC//msrQ//
GO_0006105_5	dgcE//gstB//otsA//rppH//rffG//pmbA//dapB//trmD//
GO_0006106_8	plsB//
GO_0006107_8	dacB//
GO_0006108_8	pgi//frdA//glpK//setA//apt//
GO_0006109_6	rhlE//yfhM//emrB//rfaG//sdiA//mdtK//ybhD//blc//deoA//
GO_0006112_5	mrcA//ompC//aceK//ybeQ//bioA//malS//argG//astC//
GO_0006113_5	envZ//yihO//talB//ppc//ycgR//yddA//modB//srlB//dgcE//rep//ydjK//ycfH//kefF//
GO_0006115_6	sgcA//
GO_0006117_5	dsbB//
GO_0006124_6	ygiS//
