#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hxpA//rzpR//cysS//recR//
GO_0000270_7	caiE//yjjW//rstB//sohB//ssuB//barA//perR//yqiG//yciE//eco//pspA//hofN//fliL//yaaY//iap//cysI//nrfG//hemC//ypdA//rutD//ftp//dcm//rffT//topB//ldrB//frsA//malI//fabI//hns//tusA//pldB//ybaK//clcA//nsrR//iscS//dsbD//galU//suhB//kdpB//pal//fecC//rep//malQ//atpG//yjjB//chpB//cdd//yphD//pgaA//lpoA//cheR//hycI//ycfH//gatB//nadA//yfhM//hokE//lolA//hicB//adhE//rsfS//acrR//ydcR//
GO_0000271_6	gspE//cynS//yedF//zapE//dxr//ybhS//nsrR//bipA//hypA//plaP//ilvD//ybcC//kdsB//rhoL//uof//skp//rihB//cusB//gltD//ilvH//aroG//nuoM//tamA//fliT//yaiW//gudD//clpS//mgtL//aslB//aroK//mutM//insB-2//rhaB//mrcA//yfiR//iaaA//cbrC//wzyE//astB//yfaU//menC//gcvR//ansB//clpB//waaB//bepA//yfbU//ftsZ//rapA//iscA//
GO_0000272_6	ynfF//flhD//ybaL//yebQ//ybdG//rcnA//
GO_0000302_5	proA//yggT//kdgK//cydB//mrr//tdcD//cydB//dgoD//ldcC//yehC//ribA//uvrD//pphB//kch//mlaD//hybB//yiaT//entF//rpiB//panZ//ompF//rsmH//mhpB//ftsE//yjfF//umuC//rpiB//yhiM//srlB//sbp//lpxL//
GO_0000303_6	yjbF//fadK//
GO_0000305_5	fadM//ypdB//glpK//
GO_0000372_11	ybdR//
GO_0000375_9	pheP//
GO_0000376_10	lexA//
GO_0000413_9	ybcL//mtlA//rsmH//rffC//menA//pheM//panD//betA//
GO_0000451_7	artJ//tpx//dicC//insK//yajL//
GO_0000453_8	nrdB//fimZ//yehU//psuT//lldP//
GO_0000455_9	rdgC//fucO//ttdB//gadW//htpG//paaF//atpC//
GO_0000462_11	rlmD//rplO//
GO_0000469_8	frdB//
GO_0000470_10	ygfI//
GO_0000478_9	rcnB//
GO_0000715_6	yaaA//
GO_0000716_7	pspA//
GO_0000724_8	rclB//
GO_0000725_7	yneE//fucO//waaF//tpiA//setC//glcB//
GO_0000726_7	araB//
GO_0000731_7	nuoF//yaiW//lysR//yihQ//gsiC//ydjK//rihC//
GO_0000737_7	ftsI//
GO_0000738_7	cpoB//ccmF//ydjH//
GO_0000746_4	yjfF//
GO_0000820_7	yfbU//
GO_0000902_5	menC//
GO_0000910_4	nac//ompT//fhuB//zitB//nrdH//bipA//mug//pyrD//mdtQ//yhcF//mak//fabD//uxaB//dgoA//yccX//thiP//ydcR//greA//
GO_0000917_6	rpsL//ychO//dinI//baeR//glsA1//
GO_0000918_6	ygiS//yjbH//xylG//ydaC//
GO_0000920_3	scpB//recD//nupC//flgH//yqjH//
GO_0000921_6	fadR//
GO_0000966_8	rplM//yeeL//arnF//slmA//
GO_0000967_10	nrdA//sohB//dgcJ//
GO_0001101_4	ppiA//epmC//treB//der//ettA//lpxP//rplE//menI//ybfA//truD//panE//nuoM//edd//tus//hpt//caiB//thrC//mnmC//yhdX//fdoG//cmoA//pyrF//ybhD//mglB//gntT//cfa//
GO_0001121_7	bioD1//yjcS//
GO_0001123_8	coaE//
GO_0001124_8	sgcR//
GO_0001407_7	pppA//oppB//ygeW//yihI//
GO_0001505_4	rpsN//ybiO//lipB//dtpA//smpB//ybaQ//ytfR//phoU//dgcJ//fadM//ampE//yfeO//fdnH//gspE//rsmH//ycjW//
GO_0001510_5	fimF//ybiY//yqiG//elfC//ygcW//deoB//ilvC//folC//puuR//tmk//abpB//yfdG//yidD//eamB//katG//rraA//fucK//yjgX//selB//rffM//yfaV//prs//tehB//tsaE//hslV//ndh//epd//eutN//tdcB//yidR//yfeX//yihU//yibF//hsdM//sthA//upp//ampD//rpsT//yccX//hemL//
GO_0001514_8	dgoA//
GO_0001522_7	glcE//grpE//bipA//opgG//rarD//fabD//acrR//frdC//rfbC//ybjI//fdrA//fabB//patA//
GO_0001539_4	proP//ubiC//ybhD//recO//lolA//abgB//yfiC//yjeH//yneJ//cysD//epmC//fimB//prpC//yejE//phnG//exoX//moaE//yobA//hcaT//dmsB//ubiC//yghB//fbp//yfcR//metI//tsf//nupG//ppx//leuA//ulaC//frlC//
GO_0001558_5	speE//ycfS//mdh//nirD//sgcA//topB//metH//sixA//
GO_0001561_6	yaaU//
GO_0001666_4	uvrC//
GO_0001676_6	gyrA//phoB//yadG//
GO_0001680_11	lldR//
GO_0001682_11	yafE//
GO_0001731_7	fliA//
GO_0001762_6	lptF//
GO_0001887_4	adiA//lapA//znuB//
GO_0001896_5	ycjP//fucI//ydhK//accD//
GO_0001907_5	ppsA//narP//elaA//ubiC//
GO_0001932_8	proQ//dicA//
GO_0001934_9	appY//
GO_0002047_6	cysD//folA//
GO_0002097_8	cyoC//priC//frvR//argO//fiu//yqiH//iap//fimD//ynbB//sgrR//rutG//citE//caiB//allD//nrdD//yafC//nhaR//dgt//surE//
GO_0002098_9	tsf//yrdA//csrD//fmt//lpcA//ynjA//iraD//rpsB//yraR//ppc//yhfK//ybaE//ygcO//
GO_0002099_9	folC//yqcG//
GO_0002100_9	phnJ//
GO_0002101_9	rpoE//uspG//
GO_0002128_7	fumA//hyfF//spoT//zraR//
GO_0002130_8	hha//
GO_0002131_9	gpr//
GO_0002132_9	cydA//
GO_0002136_10	yciH//
GO_0002143_9	ariR//dicB//fis//napA//iraD//rsmB//
GO_0002181_7	elfG//ybhJ//
GO_0002183_5	zapB//
GO_0002184_8	xapR//
GO_0002188_6	tatC//
GO_0002190_6	yidH//
GO_0002192_8	ybjI//
GO_0002252_3	deoB//apaH//ecpR//thiL//oppC//hybE//ygbM//lplA//yqeA//ruvA//
GO_0002790_6	acrR//fumB//ychF//torA//dgoA//dgt//osmY//
GO_0002937_9	tdk//
GO_0002938_8	ftsA//
GO_0002939_7	glpX//
GO_0002943_8	yidE//
GO_0002949_8	insH-5//pabA//rplS//emrD//
GO_0003333_7	nrfD//tolB//uxaB//artP//thrS//rbsA//fecC//yhbX//rutB//endA//kup//yehC//yihW//suhB//bioC//mltF//ygeA//hslJ//ytfR//degQ//lldR//tyrB//flgJ//suhB//mepM//blr//puuD//rutD//uidA//mngR//xisE//recE//fdoH//opgE//dauA//rpsT//sodA//betA//rimI//sgbE//tusB//osmC//thiL//phoQ//acpS//ribB//yibH//fecB//ratA//
GO_0005975_4	uhpC//xapB//ttcA//pabA//yhfS//puuB//higA//yhaV//waaG//mcrB//ydiF//cadA//queD//malF//norW//mutH//hscC//gltD//yhhZ//rhaD//galU//cpxA//queA//moaC//chbB//frr//dcuD//mutL//ynhF//rpsB//sthA//yiiE//sfsB//tufB//coaA//lipA//sbmA//yiiD//lysO//pyrB//frdA//dmlA//metB//ydaC//uspB//xanQ//clpB//cedA//ygeR//rffT//tsf//yfhH//glk//rlmI//recC//cfa//uspG//cobB//tdcE//dppB//mdtB//csgD//yieF//nhaA//sixA//rph//livK//cptB//rffC//aroB//menA//bcsA//arsB//rnlA//yagI//aroD//xylF//nanC//hrpA//leuO//nfuA//yajQ//hybD//truB//dhaM//treC//rpiR//caiE//rpoE//dnaQ//agaA//pspC//ulaC//rnhA//hyaB//tar//yiaU//fliD//pta//purA//dapB//ydcR//sugE//elbB//entA//udk//fur//gsiD//ampH//scpC//yidZ//blc//pnp//recN//mcbA//torY//ruvB//eptC//frmA//pdeF//nanA//fimH//kdsB//sfmC//yjiM//hsdM//srlE//bcr//ghoT//lolA//flhD//dsdX//yfcA//rplD//priC//xylB//nikR//yjaZ//hisQ//idnD//cheB//agaD//hexR//nrdR//pgaB//lpoB//yhcD//rpoE//sdaC//oxyR//hcaF//fucP//nuoM//purA//purL//der//marA//ttdR//ynjA//glnA//ugpE//sdhB//thiG//yegT//ymfK//leuA//yafQ//ydjE//glsA2//setA//rhmR//btuC//csiD//recA//cbeA//osmE//tadA//yfgJ//rtcR//ygaZ//bamA//ihfB//rbsC//atoS//lldP//cas1//guaB//amiA//lacI//hiuH//aspA//ugpE//glnQ//thiE//hemL//rsuA//wbbK//asd//tsaD//nlpE//ibsE//murP//yeaG//ppsR//rlmI//zapA//grcA//ygcW//glpF//rppH//parC//xylH//ypdB//phnL//yhbO//lon//tig//pyrB//pdeR//thrA//hemC//yjiX//minC//hisI//dinQ//lamB//yaaU//aldB//rbsK//yfhM//emrD//hokB//ilvN//sbp//ulaD//pspF//prmC//rplW//nrdB//ybiY//yciA//folP//rbbA//yagI//ybiO//ftsA//citG//yhdH//rutR//ruvC//sfmD//ycbB//rsmB//acnB//
GO_0005976_5	mzrA//chaC//cedA//exbB//udk//lplT//uidR//mlc//prpD//yjjQ//rstB//wzzE//rplW//yqiG//yegT//lplA//nemA//yajL//ydeP//ypdI//tsaC//yehY//yfaX//thyA//murC//wza//fsr//ugd//nagZ//rmf//brnQ//lpxL//bioD2//insB-2//sdiA//bioD1//rlmD//trpGD//treA//ibpA//diaA//yggW//yagF//tolC//tdcG//livK//araD//lamB//pyrL//ansA//dedD//insH-5//srlE//rbsD//hupA//rutC//yihW//gcl//lon//
GO_0005977_6	rhsD//cueO//rimI//rplL//glvB//murQ//fixB//allS//
GO_0005978_7	yhbQ//oppF//mlc//ydjE//
GO_0005979_8	lpxH//
GO_0005980_7	dnaJ//dapA//alkA//
GO_0005981_7	appA//
GO_0005984_5	hicB//xylE//ppsR//pyrF//bamA//cpsB//lpxM//pdxK//mdoD//dnaN//alsB//
GO_0005985_6	bdcR//
GO_0005986_7	tar//
GO_0005988_6	metR//holE//
GO_0005990_7	uvrD//fimA//
GO_0005991_6	nirB//dgt//ybaM//aroD//mukB//
GO_0005992_7	sstT//glsA1//
GO_0005993_7	hycB//sgcA//rplA//
GO_0005994_6	malX//
GO_0005995_7	ftsH//
GO_0005996_4	clpP//ilvN//yjhC//yehP//acs//yabI//yqhD//insF-1//fliT//yhcD//fixB//frdA//argC//aroH//ftsY//srlD//sucB//yciH//tdcR//mhpC//tesB//gmhB//mnmC//ykfI//msrC//ycbB//atoC//yajO//yjhB//ypdC//yfcA//waaB//cyaY//glpT//trpC//xdhB//prs//ispU//ribC//eutD//der//gltP//lapA//gpmA//yfdG//lpxL//emrB//uof//envY//higA//murR//mtn//gspE//yhfS//gpsA//kdpF//recC//gadE//yhaJ//mdtE//fucA//rihB//cueR//cdh//rng//yggW//nuoF//ansA//dgcQ//emrB//prpR//caiE//gabT//frdB//dcd//cdaR//rsmF//yafO//ybdN//rutF//aroA//atoB//
GO_0005997_6	dfp//
GO_0005998_7	ccmA//
GO_0006000_6	ligB//hybB//pheS//
GO_0006001_7	trg//bdm//
GO_0006002_5	rna//htpG//ssuD//
GO_0006004_6	yjtD//wzzB//mnmA//yccA//fadI//hyaA//
GO_0006006_6	fliG//glxK//ychO//yfbV//narW//xerD//ybcJ//yfgO//ymdB//kdpF//maoP//satP//amiC//hupB//mcrB//fbp//lipA//fdnG//ybdZ//ravA//pgsA//pyrB//yciG//
GO_0006007_7	xapA//mngA//tusA//
GO_0006011_5	pspA//
GO_0006012_6	yoaB//napD//fdnH//yiaM//znuA//frc//phnH//dnaA//panB//
GO_0006013_6	sfsB//feoC//
GO_0006014_6	lptD//ptsI//sohB//
GO_0006015_7	fliA//yjbH//
GO_0006020_5	hisH//
GO_0006022_5	yghB//nusA//rplT//ydiB//pspG//acrZ//rplX//mdtN//htpX//udk//mltA//hokB//yfcA//topB//recC//yafS//flgC//wbbK//bepA//rihA//lspA//dxs//asd//dinG//ribE//lyxK//yfaU//dinJ//dnaJ//nhaR//ldrA//ssb//yhjC//gatB//uspG//insI4//yggE//frvA//infC//glnQ//ribA//afuC//mutH//kilR//folX//tag//ydiF//sfmA//npr//cdsA//yjbG//valS//yddA//rimM//cpxP//atpE//galU//sohB//mak//ybeQ//pgpC//yghO//agaR//
GO_0006023_6	zraS//astC//argR//mntP//cspD//dcm//idnO//trpR//envY//cdh//fadJ//bglF//yfjR//qseB//putA//yccA//bcsA//lit//xdhB//amiA//yebK//mltC//wcaJ//mtn//tufB//srkA//plaP//fepA//tomB//rbfA//yehY//sspB//puuC//ccmG//gudX//etp//rnr//pitB//ydcZ//
GO_0006024_7	priA//degS//yjbE//yfhH//tolA//entE//dsdC//waaY//dinD//rutG//fmt//folX//phnK//lit//dcd//yfcF//thiD//ycaO//frlB//eamA//recR//mntP//citE//malI//ybfA//ycjU//rpmH//pspC//cstA//mcrB//ravA//speG//yddL//macB//ydhQ//dsbC//yfcR//yidD//uraA//
GO_0006026_6	miaB//recD//yihX//ynfH//dicB//dgcT//sufB//soxS//asnS//caiD//
GO_0006027_7	fumC//treB//cysC//ampE//tufB//grxD//deoD//asnS//yeaV//lsrD//
GO_0006040_5	pdeD//cmoB//srlR//fdoI//glpA//asnB//yccA//nudC//yiaA//yhcN//yeiL//sdaB//hofC//appY//rrrD//mdtF//pepB//
GO_0006044_7	lyxK//rlmH//sohB//ycbB//yafO//
GO_0006046_8	uhpC//cobC//lptC//nimT//
GO_0006047_5	hybA//ydjM//cbl//cheZ//ycdY//pgpB//yehZ//
GO_0006048_6	lysA//yjaA//cysB//glpD//fadR//zipA//
GO_0006050_6	wza//
GO_0006051_7	allS//
GO_0006053_8	paaX//
GO_0006054_6	yihR//cueR//uvrD//lpp//yaiV//murG//sfmD//
GO_0006056_6	mntS//
GO_0006057_7	scpB//
GO_0006059_6	aspS//queF//adeP//cnu//
GO_0006060_7	epmC//
GO_0006062_8	ybeF//
GO_0006063_5	tcyN//insH-5//wbbK//ypdF//ptsI//hokE//fliZ//potC//mhpT//
GO_0006064_6	tyrS//speE//iaaA//ibsD//ydcI//yeaG//
GO_0006066_4	yhcF//ychO//hisD//rluC//ygeX//ibsA//hisP//yidC//proC//umpG//prmA//artM//rffT//elfD//fucK//dcuC//fadI//mliC//ybcL//rplN//mscM//nth//sbcC//recN//codB//ilvI//mnmA//glpB//zitB//frdD//mlc//ruvA//
GO_0006067_6	holC//cptB//pgm//
GO_0006071_6	ppiD//dgcQ//hybD//uidR//gpp//trmI//dcuA//
GO_0006072_6	queD//yqjH//rutC//sgcB//yihR//
GO_0006073_6	hybF//nlpD//speD//speD//yjiA//gyrB//udp//eco//sdhA//rplE//ompL//mtn//cytR//zapE//yqgB//glgP//coaE//ldrA//lamB//nsrR//
GO_0006081_4	yqcC//yfiF//kefB//cysK//lpoB//yddG//flhE//mlaC//yfjV//uxuB//asnC//setA//yjfP//fepC//tehB//yiaL//mak//yejB//melR//mdtI//znuB//uspG//norW//lsrK//nadE//raiA//ycaO//livJ//yaiW//metQ//preT//yidZ//etp//yhjA//fieF//betB//rsuA//sfmF//agp//proB//nrfC//hiuH//sbcC//trpGD//evgA//dgcT//arcA//fabG//aroA//chbG//fdoI//cysW//lolB//yegS//ldtD//yceO//rpsO//panD//acrF//cadB//mngB//mdlB//casA//lysP//dctA//fadH//murQ//
GO_0006082_4	yidK//codB//entE//pdxY//cadB//tpx//fryB//ybaL//rnhB//secA//borD//ygaH//chaA//yjcO//ydhC//uvrA//ecpR//yiiE//hycA//tamB//yggX//satP//gadC//torA//msrQ//fimA//yhfK//asmA//fpr//chbB//bcsQ//ydiQ//mutT//hofO//lapA//cysU//ansB//add//mdtA//dapD//hybD//hemF//cheY//hyfR//recN//rplF//clpX//hisA//glpT//acpH//paoC//ubiF//kdpF//clsA//pyrE//rodZ//kdgT//ynfL//citT//gatC//elfA//melA//cysI//fadA//pgaD//yjiY//guaD//rcnB//mtlD//cheZ//exoX//ung//rihA//hicA//xisR//ftsI//nuoB//thrB//pbpC//alsB//torI//dgkA//menF//mdtG//fucA//hofM//ybhR//mdtM//valS//djlC//yagE//mzrA//lgoT//nanK//cca//patZ//yfcS//acrR//prlF//yqiH//livJ//abpA//tamB//ybdZ//yqcG//fabD//cobT//ydiF//sohB//purB//rsmC//garP//gltD//lgoD//thiC//ybhP//acrF//glnL//dgcQ//amyA//yidK//xthA//yhjG//umpG//rhtB//focA//tusD//folX//ychO//guaD//pheM//artJ//scpC//arsB//djlC//feaR//bepA//frdA//rplR//ispB//yiaN//rlmH//add//tas//ushA//dgcZ//bluF//ampG//cof//thrC//spy//ybgI//yagF//iaaA//treC//ybiJ//fimF//pepB//cysK//ddlB//cysI//sbmC//gph//cheY//fdnI//glpG//gshB//yagJ//ribD//thiC//yraR//waaJ//ccmA//rbsC//hisC//aceF//ppsR//elaB//hda//rfaG//edd//yqcC//gabT//hicA//cobT//tyrS//yjjV//insI3//ybcF//livM//sbcC//thiD//yciF//ygbM//adiC//lptF//lolD//pepB//eutB//pepA//ybiJ//fryA//lolB//yiaL//chaC//ogt//puuP//ulaB//rpsD//bglH//parE//araG//pal//lldR//hicB//gldA//miaB//bamA//kefF//rlpA//uhpT//yafE//frdD//rpsD//luxS//rtcR//fimB//rseC//spy//ligB//yjiA//cdd//dcm//prfB//gmhB//nrfF//hokE//cysC//emrE//ydeE//ebgA//yafE//ykfM//degQ//hfq//pdeD//ompT//accB//nrfC//purC//cmtA//yejA//ydeM//pinE//ubiJ//kdgK//lacZ//ubiG//minE//acpS//lpxH//ydiB//prkB//sfsA//gloB//glnH//cysK//trpA//rluE//nudG//rsmC//feoC//glnA//araA//rcsA//ptsN//rpsS//glxK//hycA//glgA//queG//pflC//arnD//rnlA//oppD//scpC//treR//glnP//leuB//agaW//yggW//sdaA//yqjI//glpT//wzzB//cpxR//fadJ//dppA//casA//fnr//secM//glpK//insF-1//puuB//yqeA//mraY//focB//ada//atpH//tufB//tdh//rplT//ygfX//hofC//yejE//ldtA//rbsR//cirA//rspB//feoA//gloC//yhdJ//osmF//secE//agaB//ydhK//ogrK//otsB//yfgI//mhpT//yefM//tsgA//yjiQ//hprS//dhaK//prmA//nusG//exbB//ycjQ//rnlA//nagZ//rppH//ilvN//allD//entD//wecB//thrC//yedX//purD//torS//btuD//ubiC//aer//sdhD//appY//zraR//ycbB//ampD//chbR//fdoH//ibsB//galU//aroP//ulaA//yebC//rpmF//kgtP//ycbB//cysB//yejF//frwB//sseA//abgR//rpsN//cdh//flgM//nikD//cysN//clpS//mnmE//tufA//yadM//ribD//murP//cbrC//atpG//dsdC//secF//dgcM//yfhM//kdpC//cobB//nrdG//yadM//deoR//cycA//ftsQ//ubiB//pppA//ydiV//xylG//ribC//prfC//yehU//adiY//envR//lpoA//srlR//yiaA//rlmH//citT//lipA//yiaU//rpsE//iraM//sucB//sdaB//hexR//aaeR//qorA//iscS//fadH//hemH//yejE//galK//ebgR//yggP//lptG//hycH//cirA//uhpB//dinI//pspF//ymjB//clsC//ihfA//adiC//zapD//yehY//ynbB//yfdO//lpxC//nanE//crr//lacY//zur//yojI//cspE//mhpR//rsmC//fdoI//ompC//thiQ//yacG//metG//sdaC//pdxK//yaaJ//rffC//dpiA//
GO_0006083_6	rutC//minD//glrK//pgaC//polB//potI//
GO_0006084_6	cdh//leuC//
GO_0006085_7	tauC//sucC//
GO_0006086_8	artJ//
GO_0006089_5	bglB//purR//folP//gsiD//grcA//ispA//uxuR//asmA//yphD//seqA//rfaC//fimZ//rpnB//ascB//ulaF//tsaE//uspE//tomB//ghoS//rstB//pgaD//dhaM//malZ//setC//rpmF//pgrR//adhP//mlaE//sxy//
GO_0006090_8	bcp//deoC//essD//agaW//rsgA//fryA//rbsR//yfcV//yqcG//puuD//fruB//yfeR//yraH//amyA//leuC//yhaC//dtpB//yqaB//tcyL//folX//yoaA//ftsK//yqaB//cytR//recD//feaR//pdeR//glnH//araD//dgcZ//npr//
GO_0006091_4	narQ//glsA1//gyrB//thrL//metB//gspI//glnE//yadI//hrpA//ubiE//ligA//yeaV//glvB//sspA//clpA//ydbD//xapR//mltG//rpsS//dcuA//panC//folM//cpxP//torZ//rmf//ynhG//ycbX//rplB//cspD//mepS//hsrA//dkgB//truC//sfmA//rhlE//rpsR//menI//aroD//ydhJ//serC//gltD//hns//tatA//rpsJ//flgG//ompR//alaC//ycfH//aroB//prkB//nadB//glsA//gmd//prlC//dfp//hemG//nrfD//miaA//cycA//idi//glpT//hycI//arcB//ybjI//ymfA//yidK//queD//rpsR//kup//yjiA//rmf//rfaQ//dnaQ//pmbA//fruK//potE//panE//gloA//frwD//mepM//yajQ//ydgA//dnaC//adk//nuoE//fimB//rihA//lpxB//tyrS//ybiS//bsmA//ybaM//nikB//appY//yifB//ileS//yedP//blc//actP//cysA//rhtA//atpC//melA//flgC//yjjX//uidC//gltP//pgaC//yidP//gmhB//ompT//ftsA//
GO_0006094_7	dgcE//bglB//dacC//rpsP//glpT//nhaA//fixC//ydfD//yhjR//creB//
GO_0006096_6	ghxQ//yhaV//upp//tgt//prc//lptA//yiaF//waaG//ycjP//oppD//glxK//ispG//nei//cysQ//moaA//moeB//cho//cmtA//
GO_0006097_5	yeeJ//yiiM//casE//tufB//mscS//
GO_0006098_6	yehW//mcrB//dapB//rfaE//torZ//
GO_0006099_4	proP//cspD//ptsP//eptA//flgH//ldtC//sixA//ycjD//fadL//flgC//rhmD//ytfE//mngR//gcvH//hybF//rpsO//potI//
GO_0006101_6	mdtB//yabI//mepM//rnhA//mdtK//yggF//alaA//ydfH//fryA//dcuS//lptD//gudD//ybjL//ushA//lepB//ftsH//rfbC//
GO_0006103_5	yafO//yceK//ybgQ//
GO_0006104_6	lacY//dcuA//mliC//
GO_0006105_5	mtlR//waaH//ybdM//leuO//lpxL//rfaE//speG//dnaC//
GO_0006106_8	bcp//
GO_0006107_8	pepB//
GO_0006108_8	cysA//yoeB//ugpA//yqiI//prkB//
GO_0006109_6	mltB//wcaC//yhbQ//mdoG//nagC//rutE//fixA//ssuD//nrdG//
GO_0006112_5	rpnC//dcp//narZ//betB//hisS//mhpD//sucC//yejE//
GO_0006113_5	nagB//lysU//uhpB//fhuC//acrA//hokB//rplX//hns//recT//mhpC//ccmA//panF//blc//
GO_0006115_6	ccmC//
GO_0006117_5	ydcZ//
GO_0006124_6	uvrD//
