#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	arfA//lsrK//deoC//pepA//
GO_0000413_9	rcnR//speD//arfB//ydjM//ychH//yicJ//artI//fdnG//
GO_0000451_7	ilvA//dusB//acrE//adeD//ftsA//
GO_0000453_8	yadN//mocA//apt//ytfR//rlmG//
GO_0000455_9	astC//rfaF//truD//trpA//tusD//hmp//ygcR//
GO_0000462_11	malG//elaD//
GO_0000469_8	hemH//
GO_0000470_10	setA//
GO_0000478_9	yiaM//
GO_0000715_6	rseC//
GO_0000716_7	glgP//
GO_0000724_8	yhjB//
GO_0000725_7	tag//waaF//mdtF//citC//abgA//exbD//
GO_0000726_7	bepA//
GO_0000731_7	xisE//rpsB//hybC//ldrD//clpA//mmuM//ybgI//
GO_0000737_7	paaA//
GO_0000738_7	ghrB//lrp//yedP//
GO_0000746_4	dnaC//
GO_0000820_7	sgcR//
GO_0000902_5	hofO//
GO_0000910_4	mqsA//gstA//psd//hdeB//yjcS//ddpA//pgm//ubiD//hyfF//rpsS//yagJ//zupT//intE//speF//dsbC//ftsN//wzc//ycjP//
GO_0000917_6	yijE//aaeA//rraA//araH//btuE//
GO_0000918_6	wzyE//fixA//rtcR//wcaJ//
GO_0000920_3	rpmJ//rfe//frdC//grpE//tonB//
GO_0000921_6	gltS//
GO_0000966_8	rspB//pyrD//tufA//pabB//
GO_0000967_10	galE//pliG//sdhD//
GO_0001101_4	ruvC//yijO//entD//yagI//insB-4//ybgP//ydcO//rhaA//bcsA//sohB//dtpC//csrD//yadV//clcA//fdnG//rusA//bamA//leuD//dsdX//feoC//fieF//yhjV//amtB//tadA//ettA//yadN//
GO_0001121_7	ybhJ//speE//
GO_0001123_8	ypdF//
GO_0001124_8	aslB//
GO_0001407_7	era//rlpA//yceO//pyrH//
GO_0001505_4	glpR//hofN//rtcB//pyrG//yggD//yjjV//hofP//nudB//ldrB//citC//clpB//yidA//pldB//rpnB//ydaC//curA//
GO_0001510_5	rsuA//yhaC//caiB//hipA//fruK//leuD//epmC//rng//pepA//fsr//rpnC//yodD//citX//sstT//cynS//deoD//yfjV//tpx//fdx//mnaT//yphD//ndh//yhdW//corA//metE//mhpT//kbp//ispU//accC//dgcQ//fadE//hypC//mutL//rfe//mscL//bcr//rimJ//hsdM//napD//sodB//
GO_0001514_8	eptB//
GO_0001522_7	truA//dtpC//otsA//rluD//ftsA//potE//acrZ//menE//xerD//lysC//ldtC//ybaL//bioF//
GO_0001539_4	ppk//yijE//flgB//asd//tcyN//gspF//argE//lon//agaC//acnB//yjjI//potI//ihfA//lysO//serA//oppD//bcp//dctA//hypE//nrdH//talB//nirC//ubiC//lon//atpH//dnaC//alaS//nupG//mutH//hcaE//ybhF//
GO_0001558_5	dhaM//fadD//hyi//ydhC//dhaK//tnaA//nikE//rutE//
GO_0001561_6	rsmG//
GO_0001666_4	corA//
GO_0001676_6	ushA//gspF//frlA//
GO_0001680_11	fadH//
GO_0001682_11	rpiB//
GO_0001731_7	malK//
GO_0001762_6	kduD//
GO_0001887_4	frlA//gatB//uspE//
GO_0001896_5	yhbX//yebZ//hofP//lyxK//
GO_0001907_5	dsbD//cobT//dgcN//yadI//
GO_0001932_8	clpS//ygiB//
GO_0001934_9	fepE//
GO_0002047_6	potC//dtpB//
GO_0002097_8	ydiB//sgcC//galP//insI-2//rlmD//nuoN//cdgI//yaaY//hyfF//dcm//gudD//yihV//tcyJ//hybB//uspB//ytfT//tatA//napB//ilvH//
GO_0002098_9	afuC//hyfF//aphA//atpF//yqjH//arcB//clpX//yfcQ//mdtE//gudX//nanR//cusB//araD//
GO_0002099_9	pgpB//rhaA//
GO_0002100_9	yciE//
GO_0002101_9	ynhG//acpT//
GO_0002128_7	higA//rsmD//ftsQ//djlC//
GO_0002130_8	hyfA//
GO_0002131_9	murI//
GO_0002132_9	yehX//
GO_0002136_10	qorA//
GO_0002143_9	chpB//dinQ//yqhC//ppc//nuoE//napF//
GO_0002181_7	yeeY//ydjK//
GO_0002183_5	acpS//
GO_0002184_8	bcr//
GO_0002188_6	tolR//
GO_0002190_6	psuG//
GO_0002192_8	cspI//
GO_0002252_3	yadV//helD//yidD//tas//ycfL//tufB//glnE//gfcE//aldA//fiu//
GO_0002790_6	dgcN//tcdA//ypdI//nfi//cusR//rpsE//yqaA//
GO_0002937_9	ydeO//
GO_0002938_8	ccmA//
GO_0002939_7	gmd//
GO_0002943_8	iraP//
GO_0002949_8	tsr//cbpM//fimD//rnr//
GO_0003333_7	panC//ompA//pckA//ftsK//rsfS//astB//ygfI//kgtP//tauC//rhtC//agaB//gatD//envC//putA//flgI//fkpA//yafE//rsmF//rpiR//pepT//yfgJ//yjbF//pepB//potB//hchA//ccmG//ompF//hypF//dsbC//fruK//sxy//yiaB//yiiM//pstS//ytfE//relE//fadK//trkA//rna//mgrB//ruvA//insI-1//kdgT//yeaD//gstA//dsbG//betA//nagC//nudG//
GO_0005975_4	tsaE//gpr//fadI//yhcN//yjcE//bglX//speG//ycgB//cca//idnK//mhpC//mreC//yraN//msbA//oxyR//hprR//gatA//prpC//mngA//hisA//fdhD//rlmB//yahN//rraB//yagJ//ascB//allC//cysN//yhaC//ubiF//umpG//bssR//accC//bamE//yohC//yagF//yfdG//pppA//kdsA//gcvA//ycdX//ygcR//cvpA//aspS//dacA//yfaL//fumB//lapA//sgbH//agaC//symE//nrfB//mrdA//ygiN//eutK//mscL//dsbA//yahB//yjjI//ykgO//purF//sixA//eutN//zraS//ydhK//pdxY//cspB//selD//yadI//hemF//hiuH//uvrD//sufS//ivbL//adhE//gldA//lysA//lldP//xanQ//arcB//fimZ//mukB//ascF//tdcD//yggN//yfcS//clcB//ompN//roxA//secM//atpH//yfbS//cpxP//murD//ppiD//yidA//arsC//degQ//nuoM//bioP//rutG//ybjD//znuA//pbpG//cbrA//ibsE//lpcA//gspF//mrcB//accA//fbaA//kdpA//plaP//queG//skp//hcaD//gntT//ftsN//fimA//alaC//lit//moeB//ssuD//frdD//nhaA//mutH//poxB//narI//pnp//sbcB//entS//rbsK//yecS//fdnI//ycfJ//dinQ//mnmA//phoA//kdpA//serA//kdpA//wcaB//rutG//putA//phnM//lgt//mlaB//pcnB//frr//yagJ//tolR//yihL//accA//pnp//bamE//fimD//yqaA//cmoM//sapD//glpB//uvrB//ybdZ//tcyP//yafS//fepB//mdtQ//uvrB//dicC//yqgB//minC//creC//yhdX//yfcF//fadE//emrE//yciV//livF//menD//yciG//ycbX//torI//lptB//ribD//fadE//acrA//ydhK//pheP//shiA//rtcB//nanS//coaE//yafE//ndk//yfcF//norV//lptA//tas//yijE//nagA//fliD//fklB//entA//rpsK//dgcQ//yiaU//rfaH//yfbR//moaE//gph//uxaA//cvpA//matP//nac//maeA//uidA//degS//intZ//yieH//vsr//insI-1//hyaB//cydD//ubiX//guaC//rpoH//yihR//ydcR//pgrR//sdhE//cysZ//sanA//nupX//uxuR//dhaL//rplT//dgcQ//galM//cca//acpH//rlmA//grpE//endA//preA//yjjB//rseB//asnC//kdpE//ycbV//agaC//mltD//cheR//ubiH//sgcB//rcdA//
GO_0005976_5	frdD//nuoB//cobC//lptB//rhlB//fabD//crfC//ribA//yjbG//yccA//yjiM//sufA//ampE//cpoB//agaR//flhA//uup//intA//mtnN//hisF//rhmR//kgtP//narL//ndk//hsdR//ubiJ//yjjQ//abgA//thiP//fes//sppA//ugpA//rsmI//xerC//ascG//argF//hyfR//flgG//yjbF//surE//coaE//hcaB//cbl//cydB//serC//rbbA//narZ//holE//mglC//pntB//gcl//rclB//menB//tufB//aspC//yeeJ//maeA//mltF//dhaL//
GO_0005977_6	tig//gpmA//deoC//glxR//rraA//araH//ldhA//lgoR//
GO_0005978_7	acrB//dnaC//flhC//yjaA//
GO_0005979_8	ubiG//
GO_0005980_7	xylF//rplT//gluQ//
GO_0005981_7	glmU//
GO_0005984_5	sfsB//glcA//tsaB//rpsB//hyfR//rcnR//paaA//mgsA//nei//frlB//ubiC//
GO_0005985_6	menI//
GO_0005986_7	leuO//
GO_0005988_6	narK//adiA//
GO_0005990_7	uxaC//mscM//
GO_0005991_6	ascB//bluR//sucD//nrfE//waaO//
GO_0005992_7	ybhF//chbG//
GO_0005993_7	metF//oppB//fadJ//
GO_0005994_6	rlmL//
GO_0005995_7	cheA//
GO_0005996_4	eco//ompN//casB//afuC//citT//pntA//mak//ydcT//dld//era//yeiG//osmC//murB//malI//fadI//wzzE//cspG//oppB//intE//yhaM//intE//rbsK//tyrB//hemD//yggN//murP//epmA//fryB//pheM//mepA//tdcR//ratA//yohD//truC//yhdZ//rsgA//mazF//mhpC//glcA//mpaA//serS//mltB//greA//fsr//moaB//nhaR//ihfA//araC//tdcB//purL//dacA//nepI//insB-4//hscC//rpmH//fadH//sodC//amiA//borD//ygiN//ygfZ//plsX//blc//aroF//trkA//glsA2//nrdA//thiP//hscB//narY//bdm//patA//araA//moaA//murJ//sgcX//chpB//ubiX//thrA//lptD//folX//pldB//
GO_0005997_6	fre//
GO_0005998_7	abgR//
GO_0006000_6	clpX//gshA//yjhH//
GO_0006001_7	mlaD//hemE//
GO_0006002_5	yneE//rpsS//tolR//
GO_0006004_6	leuC//rof//uvrA//yihT//yidE//alsA//
GO_0006006_6	moaA//yihO//yneL//lpxC//ccmH//glsA1//ubiB//eamA//uhpT//argF//yejA//purR//insI-2//zraR//nudF//nagD//chbR//rplP//fepG//abpB//frr//ruvA//hicA//
GO_0006007_7	prs//yjeH//yhjR//
GO_0006011_5	cpdA//
GO_0006012_6	ybhS//tnaA//ygeV//ydjK//argK//fabA//yhbQ//purU//casE//
GO_0006013_6	ydcZ//tmk//
GO_0006014_6	tldD//aroP//selD//
GO_0006015_7	serS//mgrB//
GO_0006020_5	ptrA//
GO_0006022_5	pyrF//dgcQ//livG//rhlE//yeiL//cmtA//guaD//miaA//entB//yegS//pgi//dnaG//codA//pitA//trpR//hdhA//ybbY//thiH//cptB//otsB//mglA//ispU//rpe//yeiG//aroA//yeaG//aldB//yqcC//yciG//yhbY//hemF//tcdA//mioC//btuC//sfmD//lacI//yrbG//hycB//trmJ//narI//dsdX//dld//lipB//rcsD//cbrA//nadE//ccmH//cdd//murF//trpR//phnM//agaV//ynjA//cysU//paaJ//dgcQ//yddL//yceK//ortT//cmtB//rlpA//emrB//recA//
GO_0006023_6	pitA//slyD//feoA//dnaC//gatB//glyA//thiQ//alsK//rnlB//argD//lpxT//fepA//hupB//ydiF//mepM//adiA//glmS//maeA//ribE//yhcF//accA//dtpD//yagG//dnaE//yfaL//dcuS//serC//pflB//pstC//nudC//yajR//ruvB//thiC//fdx//rpsO//purC//mtfA//yidA//pheS//
GO_0006024_7	mdtB//norV//tauC//ycgR//rph//ldrB//dgoR//phr//pck//rusA//rssB//artP//cirA//dnaB//rcnR//ygeR//mtlR//hofM//rclR//dnaX//rhtC//hyfC//purR//rhtC//cusB//rplW//adhP//proV//cspA//gabT//sodA//ybiH//yihO//ibsE//poxB//deoD//lpxL//ybjL//aspA//
GO_0006026_6	ptsN//hsdM//yahF//lldP//ynbC//gmk//potH//ecpR//murJ//recX//
GO_0006027_7	preA//ligB//pstA//ymgC//trg//znuA//ypjD//trpS//fumA//dinD//
GO_0006040_5	thiP//yihU//acpT//pheA//sad//csgF//nlpD//vsr//dsbA//dacA//pta//rbn//rfbC//flgD//mnaT//fliT//clcA//
GO_0006044_7	torA//dcuD//pspD//yfcV//hisP//
GO_0006046_8	yhcH//grcA//menE//eutK//
GO_0006047_5	ascB//rhaA//tdcR//potA//rpsS//artP//waaU//
GO_0006048_6	argO//flgK//ftsN//hiuH//pepA//gmhB//
GO_0006050_6	hemA//
GO_0006051_7	ldcC//
GO_0006053_8	yghB//
GO_0006054_6	recB//pheA//mepA//paaC//alsK//fsr//rffM//
GO_0006056_6	yegV//
GO_0006057_7	hybB//
GO_0006059_6	dppF//fliG//ppiC//phoQ//
GO_0006060_7	soxS//
GO_0006062_8	slt//
GO_0006063_5	rpsJ//cadB//mraZ//yjcE//ykgM//ygeV//tdcE//rclR//idnD//
GO_0006064_6	menH//dsbC//gatA//frlB//rbfA//rayT//
GO_0006066_4	cutA//iap//cspA//ycjU//pgaA//ibsE//cmtB//abpA//gmhB//lplA//lysR//aer//rpnC//rrrD//yidQ//lgoT//speG//yjbE//flhC//rsfS//nagB//gntU//speB//greB//rclB//barA//acrR//degS//gcl//pdxK//dgcQ//intS//
GO_0006067_6	yiaN//rpoH//ftsH//
GO_0006071_6	rluB//yggF//ftsL//purD//mtfA//cstA//hisQ//
GO_0006072_6	pstA//hicA//caiB//gntT//napD//
GO_0006073_6	pepQ//tdk//ispG//tdh//ypdC//fabH//pabA//dhaK//ypdC//tmk//cca//aslB//atpE//yebC//malF//lgoD//yadI//yidL//thiL//serC//
GO_0006081_4	yibA//udk//wecB//ulaD//smpB//sppA//ycjQ//cysN//hypF//rplQ//mhpB//ldrA//rutA//ybjI//kdpF//cstA//fucO//ppsR//yhhT//ygiB//ssb//epd//ampE//elyC//hybG//narQ//mdtD//mdfA//tpx//argT//sspA//nadK//yjbE//yghB//ftsE//thiM//rne//rmf//murR//hybF//yahO//ftsE//livK//azoR//soxR//kdpF//dapB//crcB//rplW//csrA//yqhD//yfcP//ftsE//ascB//mtlA//caiE//rimI//ybfA//tus//bamE//ydcM//yhhZ//rfe//hpf//lsrG//atpH//gshB//
GO_0006082_4	yfdS//lnt//phoU//acpH//yoaB//dcyD//map//fliD//glrK//yehC//mlaC//ygiW//yeeJ//rbsA//nac//waaZ//parC//waaL//aaeA//uvrC//hsrA//tyrR//proA//rsmG//gapC//bamD//wecE//yiaA//yodD//umpH//rcsC//priC//mmuP//bglH//abgR//ispG//mltG//ompL//argG//coaA//atpB//hchA//creC//plaP//sodC//ytfT//mgtA//yjjQ//yebZ//mdtO//cheB//nrfG//hybC//lptF//gpmA//yafQ//speE//aphA//aspC//pcnB//rbsA//narI//ldrA//ilvA//mltF//leuO//ptsN//opgH//livF//nanR//ybdG//galP//dinQ//dusC//mdoD//rihB//mppA//ybcF//dut//tabA//aldA//rlmE//bioD//flgM//mhpT//ymgF//fliM//arsB//setC//sdaB//mhpA//mdlB//mdtG//aroK//cmoA//flgI//yeiE//nusG//nrdE//rpsE//ybcL//rplJ//yjjX//yfbU//fmt//ybhS//ybcL//glk//hupB//thiE//arfB//nagE//nirD//bhsA//queE//argF//sodA//yfcG//secM//arcB//exuT//bioD1//lptB//aer//acrE//yaaU//rna//tynA//nrfE//pfkA//ebgA//tusC//oxc//amiC//gpsA//yjhI//phnI//torC//secB//yhaM//yadN//manZ//nuoG//rarA//ygiB//yceD//hyaC//yihU//csiD//plaP//phnO//mntR//dppD//aroB//mepA//casE//focA//yfcU//yceK//alaS//rssA//ibsA//chbA//cyoA//yihR//psuG//moaC//atpH//yggD//yjbB//ydcO//dnaG//slyD//ynbD//agaA//waaF//glxR//yeiL//gpr//ydfK//clcA//yjbE//dnaC//ompL//pheP//rph//yjaZ//rutB//clpB//intZ//yoeE//yraI//ihfA//ribA//cysE//chbR//proB//ribC//epd//ybeF//hisP//groL//waaL//nudG//ydhK//zipA//mliC//norR//rcnR//garK//cobU//hdeA//creB//kdpD//arnA//yjjW//cyoE//pgaB//ldtE//ymfA//sfsA//kduD//thiE//ssb//tonB//fabG//cpxP//ariR//ftsX//lgt//ibsE//srlE//ygbM//flhD//folE//nagK//dhaL//cydC//fadK//csgD//dnaC//murJ//hsrA//menA//gadA//miaA//recT//rplC//nagB//gsiA//cpoB//amiD//ugpC//iscS//gsiA//afuC//lhr//lpxL//araE//mrcB//dapB//btuE//rlmI//groS//ynhG//hybB//moaE//qseB//pstB//fepB//dauA//fdnH//ybjL//sufD//yjhP//gadC//hybO//dppB//rlmF//dppD//dinB//ygjH//narY//priC//ynhG//murA//dhaR//yfeW//srlR//cmtA//mltC//ydaC//yjbH//feoB//uvrB//sbmC//dgcQ//maoP//rplP//amiB//dnaG//elaD//ygeW//znuC//sbcD//pdeK//rplF//arnD//gudX//narX//eamB//phoQ//pfkB//paaG//glnQ//ugd//proA//insK//purL//ybdH//asnB//plsC//rplA//ydjM//yedF//ygcW//rseB//rraB//preT//rbsB//ydfH//rclB//nanE//paaF//rfaG//gltK//mdoD//sucD//zraS//ftsY//bioD2//torA//upp//ygbL//rnb//mhpA//hofQ//hxpB//rnpA//cysQ//moeB//oxc//aas//dicC//yghB//solA//intF//yfeW//tamA//agaA//ihfA//rutC//purR//cynX//rutD//ybiX//ybhF//ybjI//yebG//ynbD//ynfL//qseC//rpsJ//malS//slt//queF//idnD//ebgA//alaC//rbsC//kdsC//sugE//hslV//insI1//mrp//yjhP//uvrA//leuS//hprS//ynbD//envC//dhaL//artI//abgR//ulaB//glcD//ascG//nanK//ybjD//rsgA//miaB//napB//mltF//secB//pntA//yidR//def//rsmH//mutH//rcsB//ydiF//glcA//rhaR//gshA//rluB//ttcA//msrQ//eptC//flgF//trmD//nth//prpC//envR//hycH//cadB//ymfK//cspG//accC//hchA//grpE//oxyR//lon//carB//yidL//lepA//dcuB//gudP//gadB//gabP//ymgC//cobC//hflK//manY//dhaK//smrA//minD//hrpA//mlaC//hprR//ftsX//trpC//fucI//rnlA//dgcT//ydiZ//rhtC//rpoH//mgrB//aroE//allC//
GO_0006083_6	mobA//rspB//dnaG//cysS//rihA//ribB//
GO_0006084_6	dps//paaX//
GO_0006085_7	mhpB//cbl//
GO_0006086_8	mntH//
GO_0006089_5	yraN//ydeM//cirA//trmA//betT//nanT//gstA//macB//hybA//rodZ//rimP//parE//yqcG//rnhB//bioP//slmA//ffh//paaC//yqhC//ghrB//dmsA//slyD//garK//yfaL//ygaZ//mltF//mtr//yiaL//dcyD//
GO_0006090_8	dctA//clsB//yaiW//treF//yraJ//ulaR//purF//feoC//dsbA//mdtD//iclR//ybdZ//frwB//entH//aceK//degQ//yfiE//mhpA//ariR//mdtM//casA//guaB//yeaE//alsE//pmbA//argA//ydjL//hrsA//ahpC//ppsR//prlC//
GO_0006091_4	garR//nhaR//srlE//rplN//fruB//argR//artM//yhgH//adeP//folD//manX//glnP//kup//eutR//etp//arfA//ybiS//uidA//kdsB//mgtA//gntU//sbcB//hscB//mdfA//uxuA//galR//dkgA//yihS//ydjJ//symE//ttcA//mdtC//mlc//cas1//yhfS//yaiW//dsbC//ycbB//murI//fiu//yggP//tyrA//mdtI//pntB//sstT//leuS//potE//ccmA//pbpG//yeaE//ymjB//trpGD//sspA//aroC//tar//phnG//opgD//yjiM//gltD//murC//ymdB//recX//frdB//yfgI//torD//yjcS//ebgA//cmoA//malI//rluE//betA//fimG//amiD//yjbE//tig//mdtJ//casD//mlaD//cdd//lldR//aphA//tauD//metF//mhpA//ypdA//caiD//yhjD//moaA//yibF//groL//rluC//epmA//arfB//mazG//iraD//waaJ//arnF//ivy//napB//xseB//lacI//potC//aroE//mngA//hypC//malI//leuS//asnB//ydiR//mliC//garK//guaC//
GO_0006094_7	nac//paaZ//yhcH//xapR//clpP//waaG//ypdA//bepA//ttdR//arnE//
GO_0006096_6	rsmB//ung//menH//xseB//metL//paaJ//ybhD//rffG//ycbU//fcl//cirA//lpxP//mgtL//aspS//mepA//dacB//recE//xapR//
GO_0006097_5	ycaO//mukB//ssuA//ilvI//rfaB//
GO_0006098_6	mlaE//ubiC//rplP//ybiI//sbmA//
GO_0006099_4	nrdH//dinG//cysI//fixA//puuP//motA//mutT//nirC//murB//fadM//leuD//purF//yhjV//yiaT//yjjI//opgD//mrdA//
GO_0006101_6	yehW//eamB//ugpA//emrK//aroF//mcbR//cysM//fliK//ribE//dacD//atpC//ydeE//yghO//slt//ybiV//ddpX//yehX//
GO_0006103_5	dmsC//spoT//feoA//
GO_0006104_6	yjfP//rcsF//ppk//
GO_0006105_5	ffh//rpsG//cysD//malP//seqA//talB//insH-6//ybdM//
GO_0006106_8	cydD//
GO_0006107_8	yddA//
GO_0006108_8	cyoD//trpC//hemL//moaD//pstA//
GO_0006109_6	rpnC//nlpD//accB//mmuP//ybcQ//cbrA//mltB//ybiW//sgbE//
GO_0006112_5	rmuC//sgcA//crfC//potF//ybhR//elaA//minE//cspD//
GO_0006113_5	sutR//csgG//kilR//atoS//galF//ypdA//bisC//mltB//xseB//hycI//fixB//ibpA//hisC//
GO_0006115_6	rplE//
GO_0006117_5	sfmF//
GO_0006124_6	nudG//
