#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sad//sixA//tolQ//ydeT//
GO_0005975_4	chbA//glnL//yghG//rpnB//chbG//yqcC//flgD//rimP//tufB//nanR//garK//setB//proQ//yqiJ//flgJ//mliC//yhaV//prmB//dusB//srkA//nikC//etk//tauD//yjiY//lysR//fixA//gnd//rimJ//cheZ//mltA//hisI//accD//fadI//yceO//potD//cysE//nadK//mdtE//eutR//ykgM//umuC//epmA//rbsA//atpF//mngA//argF//hslO//tcyJ//lysR//yraI//tnaC//leuC//galP//nrfF//yihI//ydjE//fhuB//zapA//lyxK//opgH//ftsH//yodD//djlC//zinT//ycjQ//aldA//rlmH//ettA//agaI//yihS//rclC//ybiH//tdk//grcA//pdxB//tabA//ycdY//yihO//waaQ//ispH//tdcR//yfcV//crp//pgaA//ybhI//ykgA//birA//kdgR//yidD//dgcM//mdtG//mdtB//blr//ivy//yhjV//rlmB//ydhK//araG//lspA//motA//csgD//hisM//gdhA//rluE//hxpA//xylR//yggW//eutA//yrdA//dxs//rutR//mntS//alaA//mreD//yjjU//aldA//fepG//dcuD//eutN//rapA//rpsB//exuT//serC//agaV//ybhP//glcC//rhmR//yciE//glcD//mdtM//serC//msbA//narV//waaB//rihC//fliG//lgoD//rseB//nepI//yigB//frwD//ycgB//xapR//cyoC//yeaG//paaX//pheS//flgA//gpmM//dnaX//yfaE//lgoD//gatA//groL//cheW//puuD//symE//hisM//caiE//rhmR//mprA//pdhR//atpH//mltC//ymgF//uspF//rutA//basR//cspD//leuO//zinT//qorA//ogt//ftsA//mnaT//dhaR//yrfG//ung//gutQ//hslO//yajO//dcuA//nrdI//tatA//pdeD//ais//rseC//betT//trpS//argH//dcuS//ypjD//rsmA//mutM//rlmH//metH//rfbX//ldtB//kefB//htrE//mqsR//yieK//yciA//yeaE//ilvH//yihU//galP//secF//aer//intQ//queF//hisI//asr//hflC//hdeA//hyi//sufD//tcyP//gntK//yhjG//rplF//sbmC//yhcH//ycbB//mtlA//udk//rplO//glk//zapD//ubiD//cdh//putA//pdeK//ftsX//bcr//yehP//alsC//pstS//fabR//paaX//eno//bglX//fcl//gshA//pnp//casD//waaH//zapA//yagU//yhjC//yieK//ycfJ//alr//flhA//
GO_0005976_5	yoeE//ttcA//gyrA//valS//ibsA//hyfR//rplS//lptG//hypC//mhpR//cyoD//rfaG//ycbV//dpiA//fdrA//wecB//afuC//tolA//fhuB//nuoE//dsbD//hyaB//fdnG//rhaD//yccS//pth//katG//frlA//dcuB//dcuA//barA//fepG//waaP//yghU//yfaL//gltD//mhpR//waaO//hdeA//glxR//mlaE//rplM//fdnI//ydcR//kdpD//narQ//yafO//yobA//hyaC//mepM//opgD//pspC//rpsE//mdtD//citC//ribD//tatC//dctR//yidP//
GO_0005977_6	csgB//torR//dapF//recN//pabA//sfmF//nadD//rhaR//
GO_0005978_7	ybdN//rcsF//pgaD//lsrB//
GO_0005979_8	mltF//
GO_0005980_7	bacA//yadI//yfiC//
GO_0005981_7	evgS//
GO_0005984_5	ybaE//tmcA//iap//casE//argH//creB//idnD//sucC//arsC//yciA//dicC//
GO_0005985_6	yfhM//
GO_0005986_7	sgcX//
GO_0005988_6	yfiR//proX//
GO_0005990_7	pflA//pgaB//
GO_0005991_6	emrY//mraY//paaC//zntR//hyaA//
GO_0005992_7	hexR//lysS//
GO_0005993_7	xylE//trpC//cpsB//
GO_0005994_6	sbcD//
GO_0005995_7	cusC//
GO_0005996_4	recJ//sfsB//tufA//yfbU//yggP//speC//fruB//fliK//ndk//mioC//leuD//abgA//narK//hdfR//yjiQ//ssuE//metB//nuoF//yhjC//tcyN//narY//hyaA//tsaC//cho//ttdB//yfcG//ybjG//glnE//allD//pflB//ytfT//gph//narZ//trpC//yddL//accD//tatA//ortT//hyaB//ydiP//ruvC//ygeW//tufB//cvrA//crl//ynjD//fadB//dgcZ//rhaB//ycfH//ompF//dld//hdeD//pheA//paoC//argT//fabZ//cutA//nsrR//rpsA//mlaD//cpdA//tamA//frdC//dinJ//yihI//hcaC//rluC//glcB//folA//tgt//diaA//serS//garD//rplR//mmuM//yhdH//plsC//hinT//prkB//dtpA//yedA//
GO_0005997_6	frwB//
GO_0005998_7	rsmI//
GO_0006000_6	yciV//iscX//ydcP//
GO_0006001_7	sfmH//yadV//
GO_0006002_5	ycjW//aceF//mhpC//
GO_0006004_6	mltC//malF//yeiL//gloB//ortT//waaZ//
GO_0006006_6	manY//ygaV//rplB//msrB//cheY//yhdJ//hicA//rlmM//yadN//sixA//fliL//argD//artJ//treB//yiaA//ypjD//sdiA//zraR//yajL//glcF//lpxD//acpH//adhP//
GO_0006007_7	yfdC//ybcQ//csiR//
GO_0006011_5	cdd//
GO_0006012_6	der//ilvA//arnD//yihX//gatZ//recE//mreB//ftsZ//bssS//
GO_0006013_6	yphD//atpH//
GO_0006014_6	ftsI//efp//atoC//
GO_0006015_7	nagD//rtcB//
GO_0006020_5	arfA//
GO_0006022_5	dcuB//citC//yibA//nrfG//hemL//dmsC//yggF//chbB//hofN//ycaN//yceD//prpD//tdcG//sbp//yfcA//wecC//deoA//pspC//appB//dicB//tdcF//kdgR//narU//dauA//frlC//bamD//trkH//ttdA//ycjR//fecA//norR//yhaC//psuT//yraI//yqhD//ldcA//alpA//yoaA//mreB//insK//glyA//hisG//gspF//lepA//mpaA//puuB//tufB//ybdM//wecE//tcyL//wzc//nagZ//mtr//rpoE//yehD//yadI//accD//rpnB//lpxL//clpS//pdeK//pliG//pdeD//
GO_0006023_6	pnp//nuoL//mlaE//dhaL//yebQ//glvB//tusC//torR//rbsR//hyfR//dsbB//fadR//yagJ//gltP//nac//pepB//ldtC//dusB//wcaJ//bamE//amiA//uspE//yfgJ//qseB//yibA//intQ//yaaJ//nimR//panZ//bisC//ybdO//flhE//frlR//ytfP//lldD//uspB//dnaK//puuB//proC//
GO_0006024_7	rpsR//qseC//gadW//yfdC//hybO//cusB//dauA//ilvD//yegD//hofO//ydjE//rlmC//rzoD//zapC//ribA//mntP//ymgF//ychO//hycA//trmJ//hisA//phoB//chbB//pphA//sbp//bglA//sspB//rzpR//ldrB//atpH//adeQ//gntP//napD//flgI//flgH//yggW//galF//fucK//mglC//
GO_0006026_6	ompN//araE//lacZ//ydjJ//ampD//rplC//lldD//yagG//emrE//fimC//
GO_0006027_7	mdlB//glpT//btuR//glnH//ybgP//ileS//mukB//tar//yiaO//cmoB//
GO_0006040_5	mlaE//sppA//dnaE//pykA//yhcN//mrcB//gor//hdfR//gmhB//rpnB//cof//iscA//emrB//gatD//yigB//ghrB//yibT//
GO_0006044_7	treB//nadB//yneL//ftsP//argC//
GO_0006046_8	yraN//yjjV//menB//ibsE//
GO_0006047_5	gatB//amtB//murA//rpsA//fecA//yghU//dnaQ//
GO_0006048_6	dfp//afuB//rpsP//kdpC//fetA//paaG//
GO_0006050_6	lysC//
GO_0006051_7	pgaC//
GO_0006053_8	yobA//
GO_0006054_6	yhjD//ddpA//lsrB//puuC//nimT//erpA//dkgB//
GO_0006056_6	yagI//
GO_0006057_7	moeB//
GO_0006059_6	qseB//xanP//kefG//elbB//
GO_0006060_7	yafO//
GO_0006062_8	rhaT//
GO_0006063_5	yggP//mnaT//frwD//accB//nanS//dgcM//gppA//yhgH//dnaB//
GO_0006064_6	yeeL//narP//pspG//nrdI//ypdA//xylR//
GO_0006066_4	tnaA//tdcF//asnC//topB//aspC//oppC//hdeA//rnlB//ptsP//rph//tdh//tyrA//rfaH//yidQ//yebC//yiiM//treF//ygaV//yijO//mreC//tynA//rtcB//fliK//lolE//ybcM//gsiC//phnL//rof//yehZ//hemG//yhbX//acpT//
GO_0006067_6	fadA//acpH//yciT//
GO_0006071_6	mntR//cysZ//hybA//frmA//yedL//yfaU//atoS//
GO_0006072_6	galF//ispB//degS//acnA//ybaL//
GO_0006073_6	oppC//insI1//yqhD//mlaD//speG//dppA//bipA//yadC//tpiA//fabH//rpsI//agaS//mltG//arnE//plsC//tusD//cydB//fucK//cydD//dsbD//
GO_0006081_4	polB//rcnA//yjjV//ndk//tktB//hycH//aspA//rnt//corA//idnD//emrD//ccmG//ftsI//rimI//ybcL//yggN//gsiB//tar//cysM//scpC//rplK//wcaB//yeeY//yjjI//hsdR//yciG//hemB//rplT//ftsE//npr//csgB//hsrA//ubiG//cnu//nadB//yihR//ypdA//torR//pspG//dsdA//yidD//cydA//lysA//ubiB//pepN//tap//frr//hypF//rutG//curA//tsaB//moaE//cydB//yfdG//yjbE//hslO//tcyP//agaD//glpD//ade//metB//thiI//fadB//pgaC//araC//betB//hypB//
GO_0006082_4	rplE//ebgA//yifB//yahI//yeeO//hisF//srlA//sfmA//ygfX//rplK//yjeI//amiA//galP//oppC//hyaB//fliT//glxR//rihC//yjjX//yhfK//glvC//rpoS//mpaA//aldB//abgT//yfjV//yhaV//fepA//ddlA//artI//hofN//wzzB//bdcR//rlmC//fhuD//sstT//lysO//appY//yihP//hupB//mhpC//envC//yfgI//relA//bioB//rarA//yobF//pepQ//gltP//clcB//rlmD//lldD//oxc//sseA//ttdA//xisE//pheM//alsC//ccmD//rluE//caiF//ybdG//yggX//gltX//secY//hcp//ychH//ycfH//ccmD//gor//thrS//acpP//purA//gcd//cbl//qseB//fabH//purA//ybcL//ycjU//yfeD//prmA//rplJ//fkpB//cysH//modC//cmk//decR//dcuB//ygeR//gatC//sapF//yjiM//glyS//gcl//sgrT//alaA//yfcP//tnaA//csdE//yghB//rplB//rhtC//srlE//ligB//rplM//hns//basS//rnlA//mpaA//yiaA//hcaC//mog//rpnC//rplX//fryB//glvB//yahB//yggN//kefC//hisM//nikC//yghG//ahr//pdhR//fau//mltB//waaA//pntA//rhtA//artQ//selB//wcaC//umpH//gltS//yafO//dnaN//clcA//pphB//higA//ssuD//ybhA//rssB//rplQ//ibsC//dcuD//malY//aroP//nanT//trmI//ppk//zapA//iraD//mcrB//trkA//tisB//nsrR//eptA//glsB//ompW//thiH//sapA//hyfF//btuR//matP//mutL//rsmH//rseC//lgoR//rcsF//casA//cedA//ibpA//nimT//rnlB//cbrA//fkpA//ydbK//pspC//hofP//speB//moaC//rpe//dgoD//adeP//tabA//mepM//ygcR//nirB//appC//napA//hdeD//malQ//moaA//ldtE//oxc//ybdG//fdoG//betI//secM//yggD//ldcA//yfaU//crfC//dam//narK//yhaC//csgF//fdnG//ampG//maeA//tamB//hypC//yeaD//recA//rnc//mnmA//kefC//hda//pgaA//yadI//fliT//rimO//xisR//pdeK//slyD//yiaO//accD//queE//artQ//iscU//ybiS//yedX//ompF//hemH//hsdR//pepQ//dam//rhaM//prpB//glsA1//kdgT//glnP//dnaB//hha//sgrR//rpsQ//lapA//phoP//zraS//lptC//frmR//sufB//yehW//csdE//rpmA//sfsB//insF-1//cusS//rbsR//glpF//gnd//yqhD//mtlA//rclA//araF//slmA//ulaE//hypB//hprS//ymgF//rpsD//tsf//lolD//manX//nuoI//bluR//yjaZ//ypjD//yfdS//tsaC//pyrB//dnaX//hycB//tktB//eno//nanS//rluA//agaA//murC//pinQ//cspI//nlpD//galU//yaiW//nadK//glpF//rsmJ//fepD//nuoN//preA//trpD//dnaB//yqeF//lpxK//iraD//fetA//ycjW//mgsA//rplC//yqjH//fhlA//gsiB//uspF//pyrF//ddpX//greB//puuE//orn//paoC//lasT//hpt//ruvB//mocA//suhB//dnaC//pstA//fucK//cpdA//emrK//ydjH//fimE//dmlA//paaZ//fabI//speA//frvB//diaA//ackA//yggT//gsiD//puuP//yciG//abgR//nanE//ssuB//epmA//cspE//nrdF//etp//uspE//ykgO//yadI//cydA//slyD//fadA//yjjU//soxR//yfhM//orn//mhpC//dsbA//fiu//wzzB//glpB//rhaD//zapE//cynX//iap//copA//ydiF//rpsG//csgD//yhjD//folM//bamD//aspA//patD//purN//dmlA//yedL//yhhY//thiI//macB//yfgI//patD//hofO//znuA//rhsD//nikR//xdhB//higA//otsA//glsA2//flhC//intF//cusR//ung//rtcB//mltB//rpsM//kduD//bolA//cdgI//cadC//agaC//frr//acrD//umuC//ubiI//xseA//wcaB//aspA//yccX//yciA//shoB//dcuC//gntR//gapA//acnB//ypdA//ais//nikE//manZ//yeeA//crp//rlmB//fixC//mppA//ftsN//yabI//glpR//ydcP//dcuB//atpH//yijE//glyA//motA//der//malK//pgaC//nadD//recA//lolC//rapA//icd//yjhH//ettA//bluF//panF//zapE//exbD//narG//hypT//pabC//tqsA//flgM//erfK//rpsQ//spy//
GO_0006083_6	gph//truD//paaX//yeeY//ddpX//aaeB//
GO_0006084_6	hemG//mraY//
GO_0006085_7	rhaA//uspG//
GO_0006086_8	clsA//
GO_0006089_5	ariR//zntR//tap//nuoH//borD//yggW//kdpE//uspG//agaV//recB//ubiC//xanQ//yqgB//moaB//ynjD//rbn//lpd//psuT//nlpE//sapC//ompL//tilS//sulA//rplK//gltL//frmA//ybhA//yihX//yagI//
GO_0006090_8	mdtE//elbB//miaA//melR//malI//nepI//xisR//yiiM//umpH//moaB//yhjB//kdgR//fruB//ndk//yqjH//yfdK//nudB//nudF//moaB//nfi//yfiF//caiF//speE//ettA//yggX//greA//waaU//argD//ynfF//narK//yggP//
GO_0006091_4	ymgA//afuC//alaS//yghO//yfdC//yfcU//yojI//apt//mfd//acpT//ftsK//yihU//kch//fucP//kdgR//ilvL//yhhY//tdcA//lysP//rutB//envR//infC//rfaH//araE//xapR//dacD//cvrA//lsrC//aroP//wrbA//ydiV//rfbB//exuR//tas//mreC//tktA//ftsE//cysQ//ispH//yfiF//cirA//wza//yebQ//rfaQ//dgcQ//ndk//zitB//yjbB//glcC//yjjX//fmt//ftsY//ccmH//yhgH//mscM//rbn//wzb//uvrA//eno//yeeL//cueO//mcbR//clsC//rtcR//thiD//yahB//sxy//prmB//paaA//prfA//cas1//malX//yahB//gutM//paaJ//hypB//roxA//rnlB//folC//ispB//yqcG//dadA//mraY//rluF//artJ//gcd//tehA//mnmA//sppA//creB//mdoD//yhbO//thiG//hrpA//hsdM//murE//argD//prkB//hrsA//yifB//nanE//glmU//ymgF//accA//phnH//yfgO//yidA//mutY//cbtA//rpsA//mprA//srlR//
GO_0006094_7	cpxA//bfr//acpS//mrdB//ldhA//cdaR//ydaN//yjiX//ybhG//cvrA//
GO_0006096_6	cptB//ulaF//cmoB//yciH//rfbX//yigB//argI//elaD//yejA//flgK//exuR//appY//ytfR//rplL//mmuP//hslO//hokE//cbrC//
GO_0006097_5	sgbU//waaL//entF//csgE//ydeP//
GO_0006098_6	ulaF//lexA//yebC//focA//dppC//
GO_0006099_4	kbp//ubiA//phnI//kch//bamC//yieL//rpiA//yhhZ//menF//waaU//borD//yehU//entF//cptB//msrQ//aspC//kilR//
GO_0006101_6	ynfL//perR//appA//tcyJ//dapD//uspB//ytfE//ribB//yhiM//hypD//yfdO//atpE//rng//yfeD//ade//cra//ilvM//
GO_0006103_5	fetB//deoR//yaiP//
GO_0006104_6	yajR//yagE//nanT//
GO_0006105_5	mfd//xylR//galS//cfa//fliK//talB//purF//maa//
GO_0006106_8	rppH//
GO_0006107_8	dmsA//
GO_0006108_8	tauA//ygaZ//fepD//yfaU//glvB//
GO_0006109_6	metQ//fic//rpsR//rpsM//btuD//mrcA//eptC//dacB//mlaC//
GO_0006112_5	ubiC//nagA//fimG//ybaE//dgcE//trpGD//hemA//thyA//
GO_0006113_5	yeaE//gcd//rnpA//ydiO//ydhC//abgB//ppiD//rffM//ygbL//gatC//sdhD//ybjI//pdeH//
GO_0006115_6	btuC//
GO_0006117_5	yjhC//
GO_0006124_6	hypT//
