#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	deaD//waaL//hslO//fadJ//
GO_0000162_7	uvrA//purU//ispF//metH//frwB//ycaN//aroK//ygbN//cadA//
GO_0000255_5	prfA//mmuP//tamA//hexR//zraR//
GO_0000256_6	rplP//rlmC//gatD//ugpE//ycaN//
GO_0000270_7	yhjC//rfaD//argE//gatA//yojI//mdtI//narH//gcd//mntR//rluD//aroF//pphB//ycbB//thiP//ygjR//glgB//acrZ//dkgB//yaaJ//ydfD//pepN//dcuB//xylH//bluR//ackA//rnc//pepT//fucP//fimI//mhpB//rhtC//yidE//clsA//thrA//yceK//adeP//kdgK//rhaA//ftsK//wecB//selU//symE//ldrD//yggN//ybgI//truA//nagC//ybaM//yjiX//leuO//metH//rzoR//garP//fumB//tesB//astB//ibsD//xanQ//ddpX//mepS//coaD//yhjD//ubiB//
GO_0000271_6	aroD//elfC//gstA//yidC//sufB//queE//ydcS//yefM//yjeI//uhpA//mtlA//leuE//nikD//treC//waaL//yjjX//gatD//greB//pdeL//mrdB//dinQ//intE//tcyL//dinB//ydiF//malI//entC//yehU//nrfD//gadB//rpsM//gcl//aas//kefC//tpx//frc//dkgB//dam//ybiO//fiu//eutN//appB//nudB//fepA//ygcR//murE//ihfA//fliL//mdh//rplO//
GO_0000272_6	lysC//yegS//pspG//cysZ//rarD//potD//
GO_0000302_5	sugE//xerD//ycjP//ynbB//tdcC//ybgP//eco//tig//rimJ//nemR//nrfG//ggt//yejF//casB//yahI//tyrS//rpmC//pepA//rbfA//ribE//artI//prmB//rnt//djlC//cbrC//hcaE//gatA//rpsO//ycdX//napF//yceK//
GO_0000303_6	hcaB//grxD//
GO_0000305_5	yqjA//rfaB//yqeA//
GO_0000372_11	cyoC//
GO_0000375_9	panZ//
GO_0000376_10	bamB//
GO_0000413_9	ccmA//uxuA//gpsA//ffh//leuD//yhdJ//wza//prpC//
GO_0000451_7	nusG//ycfS//fetA//rclA//ymjB//
GO_0000453_8	modB//yiiD//gpt//nuoN//dusB//
GO_0000455_9	gudD//eutA//lolB//yjiX//rcsF//cptB//araD//
GO_0000462_11	paaK//purA//
GO_0000469_8	greA//
GO_0000470_10	yrdA//
GO_0000478_9	fucA//
GO_0000715_6	higA//
GO_0000716_7	nimR//
GO_0000724_8	yciE//
GO_0000725_7	lipB//crfC//ydcM//ypdB//lysR//cpsB//
GO_0000726_7	nlpA//
GO_0000731_7	uvrD//wecC//xylR//rfaG//cirA//yghU//mhpR//
GO_0000737_7	ybjI//
GO_0000738_7	qseB//malE//mtfA//
GO_0000746_4	hisF//
GO_0000820_7	ybgQ//
GO_0000902_5	sdaB//
GO_0000910_4	waaJ//bacA//ravA//rimP//mglA//ggt//tdcF//rpsI//yhaC//tus//opgB//fdhF//phoP//yfcA//hisG//sgcE//rzpR//ppx//
GO_0000917_6	fruK//entH//opgE//yciV//bamA//
GO_0000918_6	yjeI//yafC//higA//frvR//
GO_0000920_3	ispH//livK//dicB//tap//yjbG//
GO_0000921_6	fic//
GO_0000966_8	yehC//alsK//cysK//speD//
GO_0000967_10	cydA//folC//adeQ//
GO_0001101_4	ttdT//puuP//azoR//hofP//agaW//plsX//slyA//ppiC//yfdS//elaB//metB//cbtA//glsA1//atpH//yfeR//ada//ribE//thiG//ychF//fdnH//surE//ttdT//artI//arnA//yehA//nrfE//
GO_0001121_7	ydfH//yfdC//
GO_0001123_8	cpsG//
GO_0001124_8	flgK//
GO_0001407_7	dctA//kdsA//creB//dsbA//
GO_0001505_4	ssuC//sdhB//mcrB//pgk//yhaC//fucI//rof//rplM//ppc//speC//yihT//yhcF//tamA//acs//maa//exuT//
GO_0001510_5	agp//def//blr//ubiC//thiQ//glmU//eutA//aroD//hslU//ulaE//uvrA//aspC//yebK//rlmD//ruvA//ugpA//ubiG//bdm//rsmI//fiu//pldB//yheT//emrE//glgX//galM//rlmI//yciT//malK//ompG//thiP//yidR//mntH//mhpR//ycgR//dkgA//thrB//umuD//cydD//mglA//osmC//
GO_0001514_8	sdhE//
GO_0001522_7	mliC//valS//yejE//uxuB//alkB//hemE//artI//menE//ydaV//cusR//ybgP//yecS//ftsP//
GO_0001539_4	gloB//nrfF//gudP//menB//cynS//citT//mgtL//yfcF//hcaF//ydjK//tnaA//hchA//cpdA//betA//yiaF//kgtP//rutE//malS//menH//mepS//panZ//fimI//lpxT//ykgA//rbsK//srlA//ydiK//mdtD//msbA//bamE//flhC//
GO_0001558_5	poxB//mcbR//tehB//narJ//yadN//gatY//zur//nei//
GO_0001561_6	trpC//
GO_0001666_4	tdh//
GO_0001676_6	alaC//icd//phnM//
GO_0001680_11	cyoD//
GO_0001682_11	arsB//
GO_0001731_7	fimD//
GO_0001762_6	pphA//
GO_0001887_4	pfkA//rsuA//rlmN//
GO_0001896_5	yqiG//dsbA//fimE//ynbD//
GO_0001907_5	pinE//dgt//yfjV//uraA//
GO_0001932_8	alkB//pdxJ//
GO_0001934_9	dnaJ//
GO_0002047_6	ygdG//glpB//
GO_0002097_8	fliA//rhmD//ycfS//etp//tdcD//dacD//cmtA//cysG//rpoD//hemB//uhpC//rsmC//pyrB//cpxA//ribA//acs//aroH//rpmE//yjhP//
GO_0002098_9	hexR//arsR//yjiQ//ycgB//trg//bioA//eutN//phnH//rclC//galM//panC//bioC//tolB//
GO_0002099_9	ispH//wrbA//
GO_0002100_9	allR//
GO_0002101_9	hisH//ilvI//
GO_0002128_7	intA//phnO//bioF//murF//
GO_0002130_8	artJ//
GO_0002131_9	waaB//
GO_0002132_9	flgI//
GO_0002136_10	lgoD//
GO_0002143_9	ilvH//ruvA//ybiW//znuB//tmk//fiu//
GO_0002181_7	ftsH//dppF//
GO_0002183_5	hicA//
GO_0002184_8	hypT//
GO_0002188_6	arcC//
GO_0002190_6	tktA//
GO_0002192_8	lasT//
GO_0002252_3	focA//envY//deoD//sdhD//lacI//ilvM//kdsC//fhuC//gyrA//ftsN//
GO_0002790_6	ydeE//ispB//cho//eamA//nrdH//mutH//cynX//
GO_0002937_9	rcnA//
GO_0002938_8	nrdI//
GO_0002939_7	puuP//
GO_0002943_8	torI//
GO_0002949_8	pdhR//hemF//rplD//ybjC//
GO_0003333_7	recR//rnhA//bacA//cof//rusA//thiG//thrS//nrdR//rpoH//emrD//cusB//acrD//fepG//mngR//ycaN//rdgC//pheM//ddlA//sstT//insI3//barA//xylH//mrdB//yihV//ftsQ//eno//proQ//lysO//udp//pdxK//hcaE//ubiB//rsmA//glpX//yhaV//ptsI//mcbA//exoX//guaD//mioC//fryA//srmB//fpr//malP//yqeF//yhiM//vsr//frvR//fes//
GO_0005975_4	rlmD//lapA//proB//yciT//hdeD//deoA//pyrF//flgC//glcF//xapR//dtd//hyaC//galP//argB//rsmH//ompA//gatC//glnQ//ugpA//zapB//livK//tolR//yieL//add//rtcB//fre//rhoL//znuC//ulaF//phoR//tyrS//ftsY//leuE//msrC//yajQ//rcdA//bdcR//narY//dcd//fadI//rsmF//allC//secG//yjbB//eptB//rpe//yeaG//ybaE//prc//sdaA//proS//focA//pyrE//helD//dicA//nrfC//frvR//adeQ//speB//nhaB//cmoB//yedP//ascF//yijE//aaeB//gcvT//idnO//codA//ygiS//fadR//fadA//intQ//ilvN//lldP//dnaG//upp//potI//hisB//hisH//ddpA//infB//ligB//yqcG//ynhF//nhaA//ybiY//cfa//ycgR//alsK//lptC//shoB//rcsF//yehU//nanR//gshA//mppA//ghoT//cpsB//chaC//yggX//acrZ//elaD//ynaE//glpK//manX//ppc//yddM//nepI//ydfH//ygaV//tesB//adeD//tomB//yjaZ//hycA//trmH//ybcF//higA//ldcC//htrE//murD//fkpA//yfiE//flgA//trpL//lldR//lasT//paaX//gpsA//sutR//tesB//fecC//nimT//sspB//folX//yagG//satP//csgA//rzoR//pheA//ydcI//cusB//kbp//mlaC//chaC//ybgI//ruvB//hofN//pepB//kdsA//entB//ycdX//uhpB//napB//rpmC//atpF//garP//yfgJ//mcbR//ibpB//bioD//aceK//menD//rhmR//yabI//zapA//pnp//argD//sbcC//dld//yddM//srkA//rraA//pncB//argK//gph//pepT//truC//ygeV//ldtA//ybaT//torA//hypD//ydiB//dnaB//flgF//torD//potD//phoB//yejA//dnaJ//gntP//yeaV//puuA//abpA//cobS//potI//galM//ydiQ//arsR//lexA//ydiR//xapA//msrA//ffh//bioP//pntB//rpiR//ygbL//yajR//cas3//yjjG//arsR//greA//orn//focA//tsf//galR//pdhR//priC//torS//mzrA//tsr//dnaC//fimG//xseA//clcB//eco//gshA//puuP//pspC//yggX//tyrR//ubiF//exuR//kdsD//aaeR//cra//zntR//mobA//cysN//phr//thiL//zwf//tdcD//rluE//pepN//pth//hisC//fepD//panF//rpnD//lhr//yqjA//
GO_0005976_5	yjaA//nhaB//acrR//crfC//rpmC//uidC//coaE//thrB//kdsA//dapB//yadM//rpsH//xanP//ldtA//ansB//trpA//yhdW//hyfC//brnQ//gltX//mraZ//galU//ridA//trmL//glpF//yfbS//lolE//yebG//gatY//pgaA//npr//leuA//xisE//aspC//mgtL//yraH//marR//alaC//wzb//uxuR//dcuC//lhr//grcA//kefF//srlB//chbR//amiC//yciF//tsx//yhdJ//elaA//nfuA//amiC//casB//lsrK//nanS//yhjR//hslU//gltB//
GO_0005977_6	bioF//cysE//lpxK//ynfL//hypT//srlR//pgk//yciA//
GO_0005978_7	modC//yjfP//norW//ybdM//
GO_0005979_8	lrp//
GO_0005980_7	hisM//cusR//phoA//
GO_0005981_7	ymdB//
GO_0005984_5	efeO//hofN//lon//aer//lysC//mrcB//gcvR//gstB//ftp//agaA//bglJ//
GO_0005985_6	oppB//
GO_0005986_7	pgaA//
GO_0005988_6	rlmJ//purC//
GO_0005990_7	ariR//trxC//
GO_0005991_6	yahB//manY//zapC//bisC//tsx//
GO_0005992_7	galT//ispF//
GO_0005993_7	yafS//lpxC//ygiV//
GO_0005994_6	tdcG//
GO_0005995_7	fimD//
GO_0005996_4	alaA//murB//trmL//nrdR//rffM//ghrB//yqjA//barA//endA//hslO//ybjC//msrC//rpmG//lpxL//cheR//rarD//cynS//pgaB//yodD//slyA//yadM//pliG//purC//argC//alsE//chaA//ldcC//srlB//kdpA//ggt//mgrB//lsrG//speC//nrdB//katE//dmsB//yeeJ//mhpR//hybF//asr//argH//cobC//napC//rpoH//birA//ypdA//truA//hofQ//nrdH//tas//metL//hyi//hemB//rpmH//rluF//yefM//exuR//yfdC//folP//dsdA//ybhF//rtcB//yihI//yhbX//fdnI//hemF//dmsC//pgaA//rpsM//waaG//csgG//vsr//msrA//ybfE//argK//insI-2//trg//sdhA//yfeX//glnB//hypF//nrdG//
GO_0005997_6	fimG//
GO_0005998_7	csgD//
GO_0006000_6	waaH//narU//fliL//
GO_0006001_7	rapZ//dctR//
GO_0006002_5	mocA//acrZ//citT//
GO_0006004_6	rstB//rpmJ//creC//tdcC//nrfC//pliG//
GO_0006006_6	ybhJ//rluE//dacC//recQ//ychH//rcsD//xylE//frsA//yajO//rseB//srmB//macA//bcp//trxC//bsmA//hycI//pgaA//nfsB//yaiV//nsrR//appB//uxuA//sapB//
GO_0006007_7	menI//gpmA//gloC//
GO_0006011_5	ygiV//
GO_0006012_6	tmcA//yhfS//dcuA//ycbU//yiaF//fpr//nth//frmR//ampE//
GO_0006013_6	endA//eutA//
GO_0006014_6	yfbU//hycH//nlpI//
GO_0006015_7	rutB//pepA//
GO_0006020_5	manA//
GO_0006022_5	hda//zapD//epmA//ydiB//oppF//tyrS//mscM//ccmF//minC//tdcR//alkA//intS//cusR//tyrR//xseA//pstS//livK//ydfK//ychO//rng//dusB//cadA//fdrA//rcsA//cysH//ghoS//erfK//guaB//motA//cysK//cutA//dicA//cusR//sstT//polB//erpA//gspF//dppC//cfa//ybbW//arnA//nrdE//hsdR//rlmJ//clsB//ttdB//uxaA//hha//yagI//allD//rluC//rfbB//yaaU//iscA//insH-5//yehX//bglA//bcsQ//ynfL//lpxK//norW//proS//hypC//
GO_0006023_6	pgl//trg//yfaV//gcvP//ynaI//dinB//lsrG//rbn//fimF//allR//garP//pal//tsgA//nimT//mdtP//hcaB//fabD//yihX//mnmE//motA//ycjW//ydjL//tnaC//purC//yfdK//csgD//pabC//araA//waaU//gldA//nrdI//insK//eutD//serB//rnc//bioH//kbaY//mdtJ//ydiF//
GO_0006024_7	acrR//fucA//mreD//yheT//ygiB//purU//crr//pdhR//ygdG//poxB//mhpB//rseC//argI//dhaR//ytfP//phnM//ilvN//mdtQ//bamD//ygbM//amiA//rplE//nupC//ariR//srlE//pgaC//iscX//rpiA//pth//hsrA//glmM//speE//fdnG//pstB//mukB//mntS//fucA//recX//rpsD//
GO_0006026_6	lplA//dnaG//mlaE//aroG//yhjA//yfaX//frvR//tas//bepA//ompR//
GO_0006027_7	dinD//rhaS//chbG//acrE//fre//nimT//arnE//fliZ//araF//rplI//
GO_0006040_5	ycjD//narJ//yggP//tldD//pspD//idnO//rpsR//mreB//xylH//recG//cytR//ebgA//mltA//tolR//ycaO//dapF//ilvH//
GO_0006044_7	narK//gatY//treB//rapA//tcyL//
GO_0006046_8	hisQ//mngB//clpB//gapA//
GO_0006047_5	mnmC//ycjW//slmA//cobC//yiiD//tpx//dmlA//
GO_0006048_6	ftsH//trpL//fhuB//dcyD//cysD//sspB//
GO_0006050_6	uhpC//
GO_0006051_7	rhsD//
GO_0006053_8	emrE//
GO_0006054_6	gatA//hdeB//agaD//nuoG//rluE//agaS//ycjW//
GO_0006056_6	rsmE//
GO_0006057_7	bioD2//
GO_0006059_6	intZ//dgoD//ebgR//scpC//
GO_0006060_7	znuA//
GO_0006062_8	pnuC//
GO_0006063_5	yciH//metN//kdpE//yeaG//efeO//ynaI//creB//trkH//ybcQ//
GO_0006064_6	prlC//livM//yaaY//abgR//ydeP//tdk//
GO_0006066_4	focA//lapB//phnL//rclB//lsrD//tolB//lptD//wecB//uxuA//yigL//waaJ//citT//gntP//ydjE//hemD//lepA//nudC//astC//rcnR//ymdB//ydcM//yeaE//sxy//truC//rplN//yagE//rihA//acrE//hda//fixB//recN//cyoE//
GO_0006067_6	frc//dppB//flgC//
GO_0006071_6	gabD//trpR//panF//yoeB//gmd//fecB//glpD//
GO_0006072_6	rpsO//dgoA//alsE//mlaD//lplT//
GO_0006073_6	lrhA//ftnB//ompG//idi//hscA//csgB//rstB//torI//bfr//yjhP//yhcH//rsmG//yajR//kdpB//yohC//narP//nanE//rpsA//phr//pitB//
GO_0006081_4	puuE//nrdB//cysG//gntT//yfeX//rhaM//phr//cecR//xanP//amiD//moeA//ung//ssb//yphB//ycjR//barA//fliG//exoX//ytfT//kefF//yehP//feaR//pphA//thrA//rfaD//pepD//yfaU//lacY//pntB//ilvL//rimJ//ybiX//rffC//yqcG//bioP//gapA//kgtP//artM//bioD2//gspF//coaA//mtn//ascF//bglH//hdhA//rclB//coaE//yraI//tdcG//scpB//yjjG//xylR//dnaX//ybeQ//tauC//pyrF//lpxM//bdm//yjaA//yjcS//napA//feoA//cytR//csrA//lpd//fucO//glsA//
GO_0006082_4	lysU//uhpA//dxr//gspI//cobU//hemB//aceA//tmcA//lldR//aroK//arsB//atpA//sohB//bisC//oppC//frdD//rpnA//rbsK//murD//insI3//hlyE//cdaR//rimJ//frwC//ubiH//lplA//xylF//ldcC//emrY//yfjR//infB//rlmF//treA//flgA//nikC//csgF//yeeL//ispA//abgA//yfiR//hpt//ccmD//cstA//dhaK//emrK//efeO//yidL//yihU//dcuR//deoC//ade//pitA//dinQ//malQ//tusC//lgoD//sufE//alr//opgH//dicB//ybhF//hdeD//garR//fepB//rpsH//luxS//casB//yafS//ydeP//csgG//recQ//mdtI//ychF//entE//pykA//cobS//glxR//yehC//mdtK//yhfS//yfdR//glpG//modB//narG//hokE//rplP//ubiB//nuoN//yegS//cheW//basR//recR//kdpA//pyrG//ychF//yagE//ybiS//glpK//yrdA//rpsB//yehY//prfC//yjiY//bacA//adeQ//tusE//puuR//dsbD//argC//mtr//mhpC//phnI//mipA//ulaB//prlC//dgcJ//ecpR//yohC//flgF//waaH//umuD//yehC//yhhY//fimZ//idnK//dtpD//rpsB//fepB//srkA//cheR//hofM//decR//proS//cusC//hflD//gcvA//tqsA//pitB//rplD//mlaB//yojI//ogrK//ilvA//rpiA//cbrC//ridA//hokB//yoaA//yhfS//hypC//trg//thyA//rpsB//chbR//waaG//ccmG//rluE//manY//hyaC//uspB//mrdA//cusS//nuoB//serS//idnT//casE//atpD//ygbM//mltD//yheT//viaA//yibH//gstB//lsrC//tsr//arcB//entH//aaeA//mlaD//ygaZ//narX//alsE//yieF//glgA//mug//mraZ//torD//yafS//ssuC//rnt//ompW//rseP//lsrD//arcB//ybdN//ppc//sanA//thiM//speB//fimH//yfdS//cpxP//matP//rbsK//srmB//yhbQ//exoX//yhcD//fic//flhC//zapD//rsmI//pgaB//ptsH//tas//lsrG//fabR//hemD//thiH//pyrF//rhtB//gluQ//fpr//yfaE//ulaB//tamA//ycbV//caiB//hisG//aslB//lolA//metI//cspG//fadE//queF//yiaU//slyA//uhpB//alaC//ytfQ//yhfK//pldB//kbaY//yihO//umuD//mtlA//plsB//kduD//yceD//yadN//mutY//mrcA//yhdZ//folC//hscC//guaC//intA//mhpB//shoB//cueO//rodZ//yfbS//yabI//iclR//dtpA//agaC//cbpM//nfuA//yihV//entB//yedL//ygjH//hyaD//fucA//proA//prpD//lon//cmk//rnb//ddlA//yfiE//ghrB//betA//asnB//purN//potD//adk//ligA//nagD//rpsK//zitB//yejA//pgpC//yghO//trpE//gltL//ygfZ//cpsB//gabT//glmM//paaG//otsB//malK//rho//hisC//appC//phnL//napD//ibsA//alsK//nadE//glrR//tolB//idnO//yhaJ//rplW//fbaA//puuB//fryC//ygbN//kdpE//ispB//ynfE//hisB//shoB//ubiB//der//yobA//recR//acpT//gstB//slyD//mutL//ubiF//yjeI//nmpC//ycbU//yihP//yhbS//fhuF//pheM//lysA//yafO//tcyJ//gadE//gcvP//yciA//caiF//rplO//leuC//nudG//amiD//fucO//ccmH//ymgF//grcA//rzpR//bdm//ybiV//bglB//yojI//psuT//yebS//deaD//cnu//yjiQ//kbaY//ilvB//yphB//tktA//rclR//araE//narV//amyA//gdhA//hyi//murR//clpB//rutF//pppA//tdcG//fepD//actP//tcyN//qseC//tktA//tsx//rpsL//hofO//ravA//phoQ//yfiC//barA//sthA//pepD//tonB//relE//sdhB//rpoD//nadA//ccmE//afuC//tsaB//yfaE//dapD//cdaR//thiH//dgkA//nuoH//atoC//arcB//zapD//yfcR//sbmA//sseA//yadK//argC//yahD//manA//ybdG//yhjV//xylE//alpA//ssuC//yfhM//rlpA//tsx//lpxM//ftnA//cspB//msrC//scpC//rutE//asnB//yhbS//nrdE//yjjI//arnF//ydfG//speB//yefM//sbmA//slt//yiaO//ilvE//cbrA//ygfX//fieF//ftsZ//glcC//cdaR//ybgQ//trmJ//rcsD//proX//prfA//bcsQ//bsmA//hslJ//purU//
GO_0006083_6	ytfT//cheR//fdhF//hisI//otsA//nikE//
GO_0006084_6	dinB//livG//
GO_0006085_7	cmoA//xapA//
GO_0006086_8	ydcS//
GO_0006089_5	arnT//yejE//cca//umuD//rclC//trpR//arsC//ugpC//obgE//trxA//ogrK//yjiM//glpC//rplD//mmuM//mdfA//cfa//ibsC//mntR//glnK//yijE//aaeA//yibT//rplW//hscB//yghG//skp//fimZ//proV//
GO_0006090_8	mepM//elyC//narW//rpsD//ycbX//rplI//ybiX//serB//yqcC//yciT//yahN//ybbN//secY//yeiL//insE-1//purL//ligB//nrdE//crcB//yqiJ//flgC//manA//nuoI//malI//rlmN//bssS//galT//ynbB//ldtB//prfC//slt//
GO_0006091_4	shoB//panE//selU//thyA//tag//fkpB//helD//ybdZ//kefF//mqsR//ydcS//crfC//yhbO//groL//ldhA//nikD//greB//mtgA//livG//alkB//yedF//hybF//solA//flgH//purA//skp//tesB//thiG//idnT//secF//pphB//xseA//kduD//dtd//yebZ//serA//yaiW//rhaA//sufA//srlA//waaB//ycaO//setA//pykF//dkgB//tauB//murD//ycgB//cynX//ybbN//dgoT//yjbG//ubiC//ycfJ//yhjA//arnD//ypdI//ilvE//epmA//rpmG//fryA//fecA//uspF//uhpT//yqgB//rzoD//folE//allC//upp//ibsE//leuD//trxC//sapC//atpC//chbR//frmR//hemL//bioD2//yieE//ygaH//yobF//rhaA//eutB//ydfG//rimM//nrfG//efp//yjaZ//lysU//pdxH//yaiP//chpS//mdtP//gadE//frlC//ydiO//rrrQ//hisQ//rcnR//narX//rna//yjhB//bamA//yagE//kdgR//potC//yibA//deoD//yjjQ//aroP//insK//ykgM//
GO_0006094_7	ydfD//citT//yfbU//ypdC//rbsB//tauC//treA//dnaE//pdhR//glpT//
GO_0006096_6	flgB//pinR//galU//citT//narP//tsf//yaaY//hybB//agaD//comR//flgF//nirD//recT//surA//hsdM//entE//betB//yehD//
GO_0006097_5	iscA//ytfR//garR//rplI//yciV//
GO_0006098_6	udk//ilvH//manX//glk//lpxP//
GO_0006099_4	cbrA//glgS//argT//ascG//clsB//uspE//fimE//phoQ//artJ//rfaF//mscM//yqhC//rluD//ydaN//cas1//dinD//cspE//
GO_0006101_6	ilvI//dtpD//ybgI//mdfA//yajL//dgcZ//fmt//fdrA//eutR//mgtL//yciH//yfaU//ydeT//symE//cysH//fadA//yaiP//
GO_0006103_5	ilvN//relB//trxA//
GO_0006104_6	uup//rclC//yibT//
GO_0006105_5	nac//etk//hycB//nikC//kdpD//yadK//gspE//puuA//
GO_0006106_8	yjhP//
GO_0006107_8	ttdR//
GO_0006108_8	casD//yjhG//rseB//rplD//gpsA//
GO_0006109_6	potB//ccmE//gpsA//sgcC//mgrB//fimF//wecC//yijO//yfjR//
GO_0006112_5	pphB//agaI//wecE//lasT//potI//hisA//exbB//gloB//
GO_0006113_5	yicJ//acrF//thiI//ygeW//flgH//yfhH//smpB//cdd//sufE//rplB//gpsA//nadA//appY//
GO_0006115_6	yqgF//
GO_0006117_5	mglC//
GO_0006124_6	lacY//
