#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	dpiB//rcsF//yagF//fucI//
GO_0005977_6	mdtB//ycfS//glmS//ibsC//yfcU//cbl//fhuF//tdcF//
GO_0005978_7	rimM//ybjC//lysR//abpB//
GO_0005979_8	proQ//
GO_0005980_7	galE//acrF//araD//
GO_0005981_7	bamC//
GO_0005984_5	phnK//rffG//acrD//ybiH//narW//mhpT//dapB//xdhB//rutD//yjjW//nrdG//
GO_0005985_6	ariR//
GO_0005986_7	putP//
GO_0005988_6	yccS//chaA//
GO_0005990_7	pnuC//asr//
GO_0005991_6	ydiZ//leuB//cysW//yjfP//ydfH//
GO_0005992_7	clpS//nanK//
GO_0005993_7	ptsI//ydiR//prfA//
GO_0005994_6	selD//
GO_0005995_7	uidR//
GO_0005996_4	phnP//aqpZ//ydgA//nfsB//fadI//ppx//leuA//deoR//mfd//fryC//ldtA//nusG//znuC//acrB//etk//xanQ//malF//glnH//cmtA//dosP//fecD//ycjU//dppD//frdB//tyrB//malI//dhaK//prpR//aqpZ//yeaG//cas2//tusA//rluA//cadC//trpD//tpx//bioA//pdxH//fliG//paaA//intS//sbp//nupG//yeeJ//rffT//moeA//hyfC//ybaQ//yeeL//tdcG//oppB//ttdT//allS//aroL//smpB//ispH//yeeJ//xanP//yihI//fliL//mngB//yfdC//mraY//tdcF//bioF//gapC//potE//yfiC//thiE//sulA//gyrA//ftp//tnaB//ychF//rplA//murQ//narK//waaA//puuB//slt//btuR//lamB//
GO_0005997_6	nrdD//
GO_0005998_7	pheP//
GO_0006000_6	rcnR//fdoH//dgoA//
GO_0006001_7	mazF//lsrG//
GO_0006002_5	atpH//melR//sdaC//
GO_0006004_6	rpsL//lptE//metH//csgF//znuA//rluB//
GO_0006006_6	ascB//cheA//rlmD//ydjM//mntR//tus//mppA//nuoH//cspE//napB//nupX//ppiD//lspA//nikD//yjjW//rayT//phoA//pepN//mug//mltA//aidB//ybdO//galS//
GO_0006007_7	yagF//torY//gltS//
GO_0006011_5	folC//
GO_0006012_6	apaH//rpsR//ybiX//flgA//rfe//clsC//ftsL//hflD//thiH//
GO_0006013_6	iscU//torY//
GO_0006014_6	sodA//hupA//yneJ//
GO_0006015_7	chpS//nrdD//
GO_0006020_5	lsrK//
GO_0006022_5	phoE//rimM//ycfJ//yccS//panZ//sgcE//rsgA//ycbU//yhcF//degS//garK//ymdB//bioH//ssuC//hisM//yejF//eno//ygbL//fadJ//cpxA//yjfF//rbsR//rseC//ygfA//purR//rutG//yphC//fetA//mdtG//ycjY//yciH//cobC//arfA//tatE//modA//fdnH//djlC//purC//lldD//ygeW//yjjB//allD//znuC//uxuA//skp//elfC//yhbO//potH//yiaO//argS//zupT//umpH//gltD//ygaZ//rbsA//recF//yebZ//asnB//dkgA//kdgT//rtcB//elfD//nac//
GO_0006023_6	phoU//ampD//cpxA//appA//moaC//rnpA//evgS//metB//speC//hisC//yiaB//bioD//yfeD//fhlA//yijO//yibH//yohD//fepC//uhpC//mzrA//lptF//slmA//ugd//yfcG//yoaB//plsX//mreD//allC//uhpA//yeaE//yhjA//dhaK//yeeA//mutS//xthA//ybfA//polB//pstB//tar//
GO_0006024_7	rffC//tsaB//uidR//pepN//yfiC//rluA//yfdS//satP//napD//serB//yddA//uhpT//etp//rpmC//yiaM//yggD//eptA//qorA//cptB//minC//norW//atoC//recJ//mreD//mnmE//agaS//atpB//dmlR//nrdE//kefB//mdoD//eutR//gltX//glcC//ihfB//dcuB//hemN//ycbX//glpT//
GO_0006026_6	dxs//ygaZ//trkA//cpsG//pgk//pcnB//torA//frvA//aphA//pinR//
GO_0006027_7	ybdR//mdtJ//lhr//sgbH//ygiS//glcB//cirA//yidQ//yqaA//gspJ//
GO_0006040_5	pgrR//rsmI//yoeB//nrdD//yiaB//panE//npr//modC//ycaN//fdhF//gpp//dusB//rlmB//malE//flgB//gpt//modC//
GO_0006044_7	pyrB//tyrR//dcd//ubiB//envY//
GO_0006046_8	nagC//yhdX//trmO//gsiD//
GO_0006047_5	tcdA//prlF//ybgI//hupB//bcr//srlB//galU//
GO_0006048_6	tonB//waaY//hemB//ansB//tamA//yqcC//
GO_0006050_6	bdcR//
GO_0006051_7	alsK//
GO_0006053_8	phnL//
GO_0006054_6	gltX//ldrB//srlB//insK//folA//paaE//yqjH//
GO_0006056_6	purB//
GO_0006057_7	nrfA//
GO_0006059_6	ccmH//setC//infB//bepA//
GO_0006060_7	ftsZ//
GO_0006062_8	tamB//
GO_0006063_5	prmB//frdC//lptA//rfaG//yejF//dcuB//yebZ//marR//ydfD//
GO_0006064_6	kdpD//fucK//ptsH//yjhH//acnB//recJ//
GO_0006066_4	mltA//allD//bioD//lsrC//yhcN//fabD//torC//yjtD//potG//uxaC//topA//livH//melB//argB//flhC//yfbV//rhaA//yfiR//melR//recO//pbpC//yebK//lit//rnd//yhhT//trmD//decR//ygdG//galT//hofO//artQ//mntH//
GO_0006067_6	rhaT//citX//feoA//
GO_0006071_6	yeeA//yhdH//sxy//ulaE//cmoM//nagK//yecS//
GO_0006072_6	rffH//rapZ//hcaR//hldE//hcaR//
GO_0006073_6	frsA//gltI//uvrD//mdtO//trxC//yejA//ubiD//yhcH//macB//dadA//prc//acnA//purL//bhsA//thiP//rseB//ykfI//xisR//torC//nadD//
GO_0006081_4	hisP//yhaJ//rpsD//gmk//yicJ//ytfP//cdsA//yraH//mtfA//mtnN//mtr//yfcA//bluF//ydfK//menB//azoR//rhaD//ybjD//gsiD//nrdE//ybaK//phoU//efp//cspI//lptE//mlaD//yghU//ptsN//sapB//yciH//galM//tolA//ldtA//yqgB//htpX//yfdG//sixA//nagA//qorA//yhaV//lsrR//insB-4//recQ//yjcS//aspA//holA//oppB//msbA//hexR//bamD//phnG//gspI//yeaD//uraA//murI//caiF//ybaT//sgbE//gabP//ybiT//iraM//yijO//tilS//tktA//trmO//tabA//clpA//
GO_0006082_4	nrfG//ygaZ//adk//coaA//accC//dmlA//artM//folE//nuoI//sugE//pntA//selD//yjhH//ygfI//elyC//rhtA//ldtA//kefB//nfo//malX//csgF//nlpE//yfgI//ybjL//mlaB//mcrA//tcyL//chbB//umuD//ade//rplA//tcyN//ycdX//phoB//yhgH//hofC//ydiQ//dsbB//fimA//cysW//yhjV//ynaI//hipA//trmI//hipA//torC//ynbD//phnO//kdpA//garP//nimR//uxuB//galT//yfiC//bamB//mrcB//oppF//chbF//hflX//ribA//rplY//fumC//hiuH//mazG//wcaC//mutL//rfaC//uxaA//proW//nsrR//yddL//lpoA//asr//cobS//ydfK//pfkA//cdaR//glnA//asr//trpC//mtnN//hycH//mqsR//blr//qseC//kdpE//ydfK//yfdR//prpB//yfdK//sbmC//nagD//rzpD//rfaG//folC//cra//yfaL//acs//trpE//dinI//sufE//panB//phnC//eptB//zapC//greB//panZ//mgsA//uxuR//accB//recJ//cydD//prlC//paaK//rtcR//matP//eutB//tcdA//mhpA//murR//trmJ//hybB//clpA//hisG//hybG//rhaB//cspC//gadC//nuoL//ppiC//casD//kdgT//nadB//dppD//manA//ydfG//glpF//entE//umpH//gspE//betI//pal//dgoT//dhaM//rfaD//yraN//rhlB//melA//fadI//gadW//yagI//ppiA//fliL//tatC//pabB//fryA//queE//yihU//malY//opgD//intQ//sfmD//yggN//pta//mdtF//minC//setA//recX//fryA//mog//degQ//uvrB//mglB//hypB//rof//bdm//fklB//tatB//pgi//dcuC//folA//hipB//sgbE//oppF//mobA//pgi//purD//ynfL//uxuB//mlaD//trmB//ubiF//wzb//yedP//yjcO//citT//dinD//clpA//gatC//acrB//oxyR//yhfK//fecB//gntU//rutD//yceD//casD//nrfG//xerD//cysK//yoaB//tusB//thiI//plsC//uxaA//truB//tsx//bioP//pyrH//uup//csdA//nadK//dcd//rpoA//cvpA//ybaM//surE//livM//tolA//ggt//yjbF//rssA//gph//yohD//yjbF//yggF//clsC//rhtA//ycjD//nhaA//truC//cecR//betI//ldrB//fliL//lepB//speE//tabA//epmB//tdk//btuR//pepB//recJ//waaQ//pdxJ//ompG//tdcC//narQ//phnO//bioB//rraA//scpC//hcaR//queC//dhaL//hinT//yneE//secB//aaeB//barA//narL//ppsR//proP//ybbN//yhaV//thrB//atpE//ybdR//nrdA//yhjG//otsA//manX//ydaN//ycjW//hprS//envY//mtgA//metQ//qseC//mmuP//rimI//aidB//eutK//thiL//rpsN//hrsA//lysA//zwf//mhpC//napA//ynfH//tadA//cspB//arnD//afuC//fetA//ilvA//rutC//maa//basS//mhpA//elbB//arnA//arfB//dkgB//gpp//livJ//wzc//kgtP//glmS//mdlB//yieE//cobS//trpD//glyS//fur//ybhD//asnC//adeP//sbcD//cusF//arcB//yebK//rhlB//pspA//rsmG//pdeL//dctR//sdaA//yqjH//yojI//dusC//ihfA//upp//iscS//nikA//rpoD//fryC//gcd//murA//mtn//yhhY//waaG//aroE//alsB//ybiY//tdcC//yehB//nuoG//pgaA//lit//agaC//yghB//nanR//lsrR//ispF//abpB//yegD//dctR//setB//fixB//ydeI//ychF//ybdZ//rutB//zitB//mscM//cadB//alaA//hscA//nadC//aroD//wzc//polA//idnK//afuB//proP//speF//hipA//fadE//chaC//modB//lpoB//fepE//mprA//rsmE//frlR//nhaB//ascG//fixA//htpX//wecB//yqhD//ilvD//hyaB//rssA//ddpA//yoaB//mmuM//entB//ugpE//trxC//treR//rpmF//gltX//dacD//metI//yqaA//recJ//aspC//ispB//hmp//dnaN//ypdB//yhdJ//yhjR//alsC//nusA//yihT//ydeO//bioH//yghG//dicB//frsA//tpiA//secB//insK//nadK//sgcB//metR//ivy//manX//secD//cbtA//ybdR//ygeV//yphB//garP//adk//ibsC//agaR//entF//glpG//entS//ndh//yjiQ//ynjD//ivbL//ruvB//upp//
GO_0006083_6	treB//otsA//mrcB//gltX//tdcB//mpaA//
GO_0006084_6	pdeH//cyoE//
GO_0006085_7	ycbB//uvrB//
GO_0006086_8	srlD//
GO_0006089_5	mdtL//groL//ykgF//sufB//rpnD//gabP//nanK//tar//yiiD//dnaX//uidA//abgT//yhjV//ybjI//pntA//ybbY//hofP//rplN//clsB//glmU//ssuA//treR//hslO//araA//uup//glnQ//ibsC//nimR//yiiE//
GO_0006090_8	ykgO//ydjK//yjaZ//bcp//surA//csdA//atpG//entF//phoR//ydcR//gyrB//rplX//ygiS//gadC//hypC//casB//cas3//gmd//insH-5//narJ//ybiW//atpD//trpS//qseB//uacT//nuoE//yiiD//cyoA//wzyE//rzoD//lexA//
GO_0006091_4	dppD//uidC//rutD//nmpC//nuoB//araB//rcnR//acs//rsmC//uhpB//luxS//glvB//rplK//mrdA//emrY//citG//topB//cspB//pcm//sxy//sapA//recF//amiB//yciG//pdxK//putP//bglF//iap//yjjQ//artM//nlpA//hisA//glnA//djlC//elfD//yieE//lapB//msrP//malK//ydjM//rlmE//poxB//cysE//xseA//pyrH//infB//fimA//malP//abgT//ccmE//rhlE//galF//ygiV//lapA//clpS//pppA//fryC//acs//melA//pgk//folX//gcvT//yhbY//kdpC//mdtF//dkgB//leuC//yqeF//rpmF//evgA//ibaG//surA//pspG//ydfG//nadA//ihfB//sgbH//selB//uvrA//mliC//yrbG//yobF//ycfH//waaH//insA-1//rusA//cpsB//rlmE//fhlA//rusA//entH//ybaT//ynfK//lpxL//cysD//dsbD//ftsE//nagA//hsdR//ycaN//fhuB//elfG//ppx//iscA//rstB//mpaA//xisE//frvA//cusB//hisD//hyaB//thiG//
GO_0006094_7	rlmJ//gabP//bipA//sapC//paaH//zipA//yhaM//bcsQ//hypE//yagG//
GO_0006096_6	glnQ//dnaG//yfdS//purT//frmA//ilvN//rpmF//norW//hyfF//wcaB//flgA//yebC//glxK//bamE//yoaA//ybjC//rlmA//groS//
GO_0006097_5	entA//fcl//fiu//fadR//ybcJ//
GO_0006098_6	eamA//pyrC//pgl//puuE//lysC//
GO_0006099_4	paaC//rluF//mmuP//panC//sucB//ibsE//arnB//mltF//ydbD//pabB//dsdC//oppA//dppC//mnmC//hisG//yfeX//proC//
GO_0006101_6	yedX//citC//rclC//alsE//ycgV//cstA//hofP//lptG//kdsA//yfcA//rimM//tyrB//artM//rplN//rstB//ynfH//ddpA//
GO_0006103_5	prlC//abgB//plsC//
GO_0006104_6	dnaK//glnL//fimA//
GO_0006105_5	moeB//mraY//thiC//hycI//tpx//uof//sfmF//hcaR//
GO_0006106_8	hemL//
GO_0006107_8	yahK//
GO_0006108_8	insE-1//mntS//lapA//recF//cueO//
GO_0006109_6	pntB//ftnB//gudX//rsuA//cynX//folE//trpE//wecE//yqiJ//
GO_0006112_5	yjbF//trmI//rclA//yraH//caiD//uxuR//kdpF//mutH//
GO_0006113_5	fdnG//argP//surE//rfaH//rtcR//tusA//yciA//glxR//yqhD//hflK//speG//ybiJ//arnD//
GO_0006115_6	purC//
GO_0006117_5	sdaC//
GO_0006124_6	basS//
