#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yjiA//fre//ydjL//fabZ//
GO_0000270_7	paaD//kefC//trpA//rcnB//ypdB//speD//ftnB//znuC//gcvA//afuC//ygbM//radA//artM//tehA//ribC//yfcU//pyrB//gloB//marA//ghoS//ispA//narJ//ygfZ//glcB//hofO//rpnD//btuR//focA//malK//mipA//yihO//sseA//appC//yhbO//narV//secM//nanK//srlE//murC//yebK//hisQ//mnmG//pdeD//caiF//plaP//dnaC//cobT//kdsC//rpnC//ynfF//tag//pyrF//nfi//aroK//araB//fadA//pgaD//yaiP//cnu//cspA//waaQ//glrR//glcD//
GO_0000271_6	malF//cheR//narI//rlmB//yihL//fumB//kduD//ddlA//yjjI//gltK//yfcP//tdcF//ompF//fadD//deoR//yieF//mtgA//rhaT//mscS//ulaF//fdhF//hrpA//cmtA//menD//queE//uacT//murG//lysR//ytfT//rhaS//srlD//trkH//uspE//mntH//rph//focA//mliC//araB//argI//rutA//yihR//hipA//livF//carB//rutC//ydcM//dxs//frvA//hyfR//icd//
GO_0000272_6	fecC//rnr//groL//yjfP//rpsH//nlpI//
GO_0000302_5	nadE//ade//cas3//hofQ//nrdR//rsmE//mgsA//aroA//rplW//relA//mdtG//yjjU//yqaE//phoR//rlmD//ulaC//mlaE//dacD//hslU//napD//ccmG//fadE//fepA//minC//mak//betA//argH//thiD//paoC//thrC//yaiW//
GO_0000303_6	mnaT//queA//
GO_0000305_5	rmuC//trpB//dppD//
GO_0000372_11	nagK//
GO_0000375_9	hyaC//
GO_0000376_10	hemH//
GO_0000413_9	yhdX//moaE//ggt//yahD//appY//gpp//rffC//trmA//
GO_0000451_7	mscK//glnE//agaD//ytfP//gntP//
GO_0000453_8	pal//paaB//amiA//yfgI//zapC//
GO_0000455_9	lysP//yjbE//flgC//nuoM//waaY//ubiD//yjcS//
GO_0000462_11	rluF//garK//
GO_0000469_8	yigL//
GO_0000470_10	entB//
GO_0000478_9	argD//
GO_0000715_6	rfbB//
GO_0000716_7	dinD//
GO_0000724_8	elaD//
GO_0000725_7	paaD//yafE//bdm//ftsX//trg//ftnB//
GO_0000726_7	trpD//
GO_0000731_7	ppsA//hslJ//yjhI//ydaV//ompR//tcdA//ygaV//
GO_0000737_7	tsaB//
GO_0000738_7	cysI//rseC//rcnR//
GO_0000746_4	soxR//
GO_0000820_7	pdxH//
GO_0000902_5	dld//
GO_0000910_4	pheP//rdgC//ydaC//pflA//pdxH//fliT//queA//dicA//menE//mdtL//cheB//tusD//dapB//tusB//yjhP//pflB//ybhS//recD//
GO_0000917_6	gabD//glpA//leuS//dsdC//dnaC//
GO_0000918_6	mutS//folE//mscK//rcsD//
GO_0000920_3	acrE//yggP//ortT//eutR//ygcO//
GO_0000921_6	hokB//
GO_0000966_8	der//flgJ//bluF//eptB//
GO_0000967_10	phoP//yadG//intS//
GO_0001101_4	rnc//phnG//lptE//wzb//rhaB//rfaB//paaE//mdtM//dnaE//rusA//yjjI//murA//ybfE//thiG//fliG//hofC//nikA//csgD//gcvA//phnC//yhaC//sgcC//rutG//rclR//eco//proV//
GO_0001121_7	pmbA//aroK//
GO_0001123_8	tdcF//
GO_0001124_8	narI//
GO_0001407_7	folM//hupA//uidA//yhhY//
GO_0001505_4	iraD//bglJ//carA//thyA//flgJ//yqiI//fur//rffG//yhjB//hldE//gcvP//pgaA//chpB//ilvD//rlmE//chbB//
GO_0001510_5	ilvA//gltX//metG//pal//fliT//nei//menB//yjeI//ycgB//glxK//hycI//tktA//dtpC//elaB//fryB//glyS//ispG//pyrL//guaB//adeD//alr//trg//pncB//folC//phnI//alaE//arnF//acpP//yciE//cynX//agaR//potF//rpoD//secE//hslV//hda//pdxK//ompW//ydeO//citC//
GO_0001514_8	ydhC//
GO_0001522_7	qseC//rplW//yjhG//yohC//acrB//cspA//ogrK//yhaJ//ydjJ//hiuH//pepB//ydeM//yhfS//
GO_0001539_4	emrB//cbeA//yfeD//lpd//flhA//sbmC//rnd//hisD//yafE//parC//alaE//ilvA//sdhB//rbsB//selD//zntA//yagU//clpS//guaD//yhjB//rdgB//yfbR//waaZ//ompN//fumA//cysQ//ypjD//iclR//selB//wzzB//pspG//
GO_0001558_5	tcyN//zapE//yhaM//lhr//hcaB//fixA//yihO//ftsY//
GO_0001561_6	pheA//
GO_0001666_4	galS//
GO_0001676_6	paaE//adhE//fliS//
GO_0001680_11	sppA//
GO_0001682_11	rpsJ//
GO_0001731_7	gntK//
GO_0001762_6	trmB//
GO_0001887_4	tolC//prfA//znuC//
GO_0001896_5	rnpA//cstA//guaB//pdeF//
GO_0001907_5	lipB//ptsP//ymdB//sucD//
GO_0001932_8	ybiY//aroD//
GO_0001934_9	cspG//
GO_0002047_6	pstC//yjjX//
GO_0002097_8	glrR//clpA//yedF//proP//glgB//bglJ//ulaC//ptsP//yagJ//dapB//ynbD//yeaV//hemL//ygaH//ybjL//cstA//araC//thiG//cysU//
GO_0002098_9	cheA//eutA//arsC//mdtM//thiP//rpsO//holC//tynA//cas3//dcuC//treF//waaJ//ygiV//
GO_0002099_9	thiM//poxB//
GO_0002100_9	ligA//
GO_0002101_9	clpA//yhdZ//
GO_0002128_7	yadG//ispB//yiaU//aspC//
GO_0002130_8	mdtD//
GO_0002131_9	dsbC//
GO_0002132_9	sodC//
GO_0002136_10	mgsA//
GO_0002143_9	kefF//ydiK//pepD//livG//selD//arnE//
GO_0002181_7	bacA//yjjI//
GO_0002183_5	etp//
GO_0002184_8	arnA//
GO_0002188_6	pyrB//
GO_0002190_6	ttdT//
GO_0002192_8	ddpA//
GO_0002252_3	nrdF//tas//yafS//hxpB//nikC//afuB//tpiA//rzoR//ynbB//csdA//
GO_0002790_6	rbfA//ydbD//cspE//soxS//dgoA//dld//dhaM//
GO_0002937_9	degQ//
GO_0002938_8	rluC//
GO_0002939_7	pbpG//
GO_0002943_8	dps//
GO_0002949_8	insB-4//garL//umpH//ynbB//
GO_0003333_7	ftp//fecC//baeR//gcvA//ibsB//proW//aroK//topB//yebS//nrdE//citT//ypdC//wza//ycfJ//rplP//folD//zwf//glnK//rplM//envZ//ulaB//pliG//exuT//yggF//yjjX//ubiH//eamB//ompW//gspF//yodD//prc//abgR//emrD//glgS//yeeJ//yedL//bioD2//hupA//deoD//curA//pheS//rcnR//ugpB//agaI//tcdA//arsB//yjjQ//ybjL//dps//
GO_0005975_4	ydiQ//seqA//sbcB//cydC//yeaE//wecA//pheM//tynA//hldE//dtpD//insI1//yagF//sbcD//rsmF//yeaK//lyxK//yggT//moaE//sgcX//bepA//yfbS//ogrK//fliZ//rlmE//ybbN//cysA//speG//zapC//nsrR//gmhB//fhuF//adeQ//btuD//mgsA//wecE//pdeL//allS//nanS//cutC//potB//yggN//yidA//ygeA//waaQ//uhpB//lgoR//yihX//tcyJ//ompG//poxB//waaH//puuC//ldtB//glnL//hyfC//rseP//nikC//sgbE//mog//ldtB//acnB//nuoF//mrcA//rpnD//dppA//yraK//cydC//fliT//yhbO//lsrK//xapA//yraR//ybcC//menF//nadB//frvA//yceD//gsiA//mqsA//ghoS//clpP//pitB//ynbB//rnb//glgA//rzoR//mlaB//allD//frwC//gltX//hyaC//glpA//bglA//arnB//dgcM//yhaO//dnaA//potF//panE//rpmG//yccS//ddpX//pfkA//lolE//fsr//rpnB//murE//asnC//rluB//bamC//ybaL//nudF//kbaZ//maeA//bipA//yqeA//wcaB//relE//yhjG//yfeO//rhtC//glgX//wecC//msrC//yqjI//topA//lpcA//ispG//trmL//torS//fdnG//ridA//menE//hybE//zapB//norW//prpR//moaD//dacA//puuB//sgcA//ybcJ//dgkA//nfi//ydcS//mglC//yhbY//sfsB//uxaA//ydcO//radA//ybaM//rlmB//menE//putP//ybjX//ynhG//ydcM//hypB//sucA//srmB//bluF//mglC//fau//hcaT//ggt//cirA//ilvB//sfmD//waaY//trpR//speE//rfaB//potB//purD//hemF//rplY//yeeO//rplA//gnd//ygeA//hisD//rcnR//hda//tdcR//bisC//ssuC//lapA//yfiE//pdxA//setC//ycdX//fcl//mnmE//ssuC//sgrT//alaS//cyaY//tauC//glpT//ribA//argO//ybiA//yaaA//aes//lysO//cysS//yqcC//ribA//trg//fadB//ygbL//glgC//tisB//ydbK//trmH//glpG//nirC//fieF//ibsE//cho//suhB//ptsP//yqiJ//yggW//hisQ//hisP//hyi//yadI//ugpA//fruA//ariR//bsmA//yfeW//creC//modC//hypB//nuoI//codB//dmsA//amiB//yagJ//flgB//ftsY//dgcN//rpsL//rstB//srlR//tnaC//aroD//ydfK//lipB//glcC//comR//
GO_0005976_5	ydiP//lsrD//rluE//zupT//amyA//ycjQ//phoP//ytfE//rbsB//pcm//yddM//yahN//surE//ydeP//radA//rsmC//wecA//coaE//flgK//zupT//nikD//fnr//qseB//uvrY//acrF//glsA//mtnN//nagD//acrE//idi//yidQ//pdeR//kdsB//trpS//panZ//wzyE//nrdI//xanQ//mcbR//srlE//yceO//creB//uacT//lgoD//kdpD//gsiB//trxC//fkpA//flgD//cas1//citE//yidQ//rsmA//rpiR//phoQ//rpsA//glxK//dgoA//pabC//
GO_0005977_6	yfdR//araE//gadA//fdoI//ptsN//yhbO//codB//fabI//
GO_0005978_7	fdnI//tsr//crr//cheR//
GO_0005979_8	srlA//
GO_0005980_7	leuC//opgH//narY//
GO_0005981_7	yfeD//
GO_0005984_5	fhuF//metR//pspC//slmA//metG//pgsA//mscL//gloB//rna//pgaD//intS//
GO_0005985_6	galT//
GO_0005986_7	yegT//
GO_0005988_6	dfp//yfiE//
GO_0005990_7	glpA//torS//
GO_0005991_6	clsB//yicJ//gadA//tehA//yhbO//
GO_0005992_7	idnD//ibsD//
GO_0005993_7	ruvA//rbbA//thrC//
GO_0005994_6	ilvB//
GO_0005995_7	yhdX//
GO_0005996_4	mdh//trmB//flgG//yhhZ//rbsR//cspA//degQ//acnB//fixA//lysA//dnaK//kefF//yoeB//clcB//hycI//fpr//atpF//pyrC//aslB//sspA//aroF//tdcF//pphA//yejF//opgB//hycI//agp//tusD//hokE//ychH//mtlA//ruvB//paaE//lrhA//aroP//potB//hcaR//priC//rpsT//clcA//cysZ//norW//kduI//codA//cutC//proS//recR//rcsC//yihS//dcuB//ychO//pstS//mdtM//gltS//rbsK//modB//atpG//csiR//mntS//ompC//nadB//argT//glnA//ycbU//serC//wza//rnd//ycbB//gpt//ygbI//agaB//nac//yraN//pgpB//dut//secM//yhgF//lolE//dusB//alaS//frvB//cueO//
GO_0005997_6	dnaN//
GO_0005998_7	yjiM//
GO_0006000_6	nhaA//ydcM//ygfA//
GO_0006001_7	rplR//bssS//
GO_0006002_5	gloC//rpmF//yfhM//
GO_0006004_6	ispH//fklB//yiaJ//rpnB//galR//arnA//
GO_0006006_6	hmp//cutA//pppA//ypdA//metH//bcr//dcm//greB//xisR//rpe//yhdJ//fecB//nagZ//rlmB//yiiM//cyaA//dgoD//gltP//tdcC//rplJ//puuR//yiaT//ahpC//
GO_0006007_7	rpsL//frwC//nrdE//
GO_0006011_5	agaB//
GO_0006012_6	rplE//tnaC//malY//yfbU//fieF//cheY//rffT//tufA//roxA//
GO_0006013_6	yajQ//ampH//
GO_0006014_6	tsaC//yggX//mntP//
GO_0006015_7	alaE//ftsH//
GO_0006020_5	ydhC//
GO_0006022_5	nadC//tus//lysA//pgpC//dcuD//smrA//trmH//yqiI//wzzE//djlC//glcE//dhaR//puuP//bamE//ldtD//mfd//yjbB//paaE//paaZ//yjbG//fabZ//iraD//tyrR//hda//kbaY//ygaH//garP//putP//purR//kdpD//ymjB//epmC//yagJ//uidA//nagB//pdxH//proW//hypT//livJ//pckA//phnC//yehW//pinE//rfbX//polB//rcsD//fabI//cbtA//ydjH//malF//fabI//malI//ubiJ//paaK//alkB//rrrQ//wzb//secE//tcdA//argE//potG//adiA//yfhM//
GO_0006023_6	accD//hcaT//dadA//dpiB//bdm//mipA//mutL//ydhK//ybaK//livH//sufS//nfi//exuR//sufB//raiA//cobS//rpmC//tauC//yaaA//ydfH//ydfG//yacG//zntR//rlmJ//rutA//rhtA//gsiA//dgcF//yihQ//zur//yggN//amiB//carA//bipA//greA//rfaQ//lgoR//yfeD//ybiO//
GO_0006024_7	crfC//roxA//mazG//gstA//codA//tdcB//hycH//rlmL//rhsD//aceA//yadI//umpG//fadD//adeD//aroL//fruK//tmcA//frwD//mutL//flhD//macA//ogt//lapB//kbaZ//fadL//hcaB//ydiV//hcaC//motA//fepB//xylH//dgcF//menF//ampG//ycbB//astC//opgE//arcC//cirA//
GO_0006026_6	betI//mrcB//insF-1//bamB//yedX//garL//smrA//lapB//mdtD//yieF//
GO_0006027_7	trxC//rsmI//thiL//yigB//rsmE//nfi//asnC//yneJ//rplQ//nupC//
GO_0006040_5	frlR//fliT//thiL//nikE//ftsB//pgaD//rayT//cpsG//pstC//ccmG//hybF//fkpB//fepE//degS//pfkA//alaS//sdaA//
GO_0006044_7	nrfA//mhpD//def//murD//fadI//
GO_0006046_8	ytfR//idnT//glgS//kdpB//
GO_0006047_5	puuC//dacD//higB//ariR//yajR//ppc//potF//
GO_0006048_6	zraR//yfeX//pgpA//mdtE//ymgA//rcsD//
GO_0006050_6	solA//
GO_0006051_7	alsC//
GO_0006053_8	bioF//
GO_0006054_6	arsB//rpsK//chaA//lspA//ubiC//trpD//tdcG//
GO_0006056_6	ccmD//
GO_0006057_7	truB//
GO_0006059_6	rpsA//otsA//dgcM//rssB//
GO_0006060_7	metF//
GO_0006062_8	panC//
GO_0006063_5	flhE//psuG//hsrA//yihL//ydiK//fbaA//dinJ//fadR//hypT//
GO_0006064_6	mhpA//zupT//cysS//rhaA//yadK//flhD//
GO_0006066_4	pgpA//gcvA//murI//mhpR//thrS//rpmF//sdaC//gluQ//rplW//rseB//ycdY//hprR//potC//rapA//hybB//agaR//uacT//xylR//yoaA//ygfI//lyxK//entH//trmL//yghU//cyoC//pgaC//crcB//lasT//yjfF//mdtD//fruB//tynA//
GO_0006067_6	mltD//lpp//recA//
GO_0006071_6	envC//uxaC//lspA//gldA//kbp//narX//satP//
GO_0006072_6	fadH//entC//cdgI//dnaN//gudX//
GO_0006073_6	ygiB//cadA//bhsA//mdtJ//tusA//rnt//kduI//yodD//alsB//nrfG//bamE//ynfF//ybaM//priB//nmpC//rutR//hdeA//atoS//torZ//sugE//
GO_0006081_4	ppiA//ycfJ//glxR//yraI//agaW//rplK//cbtA//yegD//dfp//mcrA//ybdZ//yceO//srlB//ascF//yjgX//dgoT//cspB//clpX//rcnR//arsR//pgi//crl//solA//norV//wbbK//rnhB//ptsI//lapB//ycjY//asd//tusE//yfhM//fdnI//trpL//rpmG//rrrQ//dgcZ//rayT//xisR//selB//nrfD//yefM//mlaE//prpD//kdsA//rpsB//frvR//fucA//pdeH//fepE//yodD//yfeX//mppA//fetB//phoQ//aaeA//ccmF//yafO//pntA//caiE//bioD1//flgD//ilvB//yaaU//yaiW//rpsE//ascG//
GO_0006082_4	entA//torC//torR//yfiR//dtd//pdxJ//aspC//metN//yjjQ//phr//rplR//mltA//dkgB//cpsB//bsmA//ftsB//sbcC//cspB//csiR//bamB//rfbB//msrC//eptB//essD//yciF//rplW//ubiH//sucD//dgoD//rpmA//dcuR//yfcU//cpsB//ghxQ//cof//ccmG//yabI//paoC//ykgO//gloA//patA//gsiA//ccmH//kdpF//groS//ydiQ//yfdR//hslV//yfcA//rfaE//hybC//yohD//mntS//cysS//dacB//csgD//ubiI//ycgV//ppiD//rpsQ//ftsW//mngB//paaC//hofQ//rplC//menF//yciG//fabB//btuE//yjhH//ynfH//speG//yciG//adiA//rplI//ydjK//intZ//sulA//ychO//hicB//pbpG//ssuB//yhdH//ftsE//gadC//yjhI//rclC//dpiA//tsgA//pgaD//carB//flgH//fucA//mfd//hlyE//yhdH//yobF//pykF//ribB//prpC//hemH//erfK//hflC//garR//lysA//dnaA//insI1//cheY//thiG//radD//rutB//wzb//ygfZ//mqsA//tehA//rluA//cysD//fdoG//hyaD//carB//rcsC//aer//ptsH//mzrA//ybgP//umuD//dppB//recT//yfbR//hdeD//uhpB//bdcR//fecC//ggt//sfmD//clpA//glmM//glsA1//hflK//murQ//speA//yggF//hha//eptA//yahN//rhaB//matP//waaO//sufA//rarA//atpC//znuB//cobC//uxuA//uvrD//entS//lptC//rfbB//flgA//fpr//rlmD//ygaZ//alaA//gsiB//ygiV//hyfF//pheT//pnuC//aspA//degS//gatZ//clpB//ycfL//rpmA//treB//mdtN//wzb//dusC//gadA//yfcG//mltD//cobC//tyrB//cirA//yjbB//metI//cobU//nuoN//agaA//gatA//casB//oppA//ybcM//lptG//yafQ//ascB//allD//hexR//treB//mdtO//dinG//envZ//dpiB//ynfF//caiD//rhaD//otsB//trmI//hcaE//mprA//chbR//yghU//rlmB//cbrC//tyrB//pspG//fklB//glsB//fliL//glyS//fecB//arnE//cbrC//endA//glnE//alsC//kdpF//ariR//hyfA//mtlD//shiA//uvrD//trmA//ykgF//rluA//pspA//yfaU//eptC//rlmM//yedL//yjcE//setA//uspF//ubiA//yfaU//argS//yeeL//argK//hcaC//rpsB//sgbH//adiC//bcr//rffC//lhr//nikA//hyfR//ridA//argF//hslV//tomB//entD//proA//coaE//yhhY//ppk//sdhC//fre//opgB//rpe//nfo//dsbB//rep//rhmR//hisQ//fre//mfd//waaC//yceD//rusA//fumC//yfbV//tsaD//allR//yccS//nrfA//mdtK//yjcO//lptF//mdtE//mcbA//sanA//gudX//aroA//udk//fur//pphA//waaY//nfuA//hisG//yfiC//mdlB//rssB//fucA//hdeB//xerD//codA//csdA//btuB//djlC//yahN//argG//zraR//recN//rcsC//mcrB//holD//pdxB//ybcJ//xisR//araH//fepD//yjeI//yjaA//cadA//yiaJ//zupT//chbA//hicA//polA//insF-1//mreC//yfdK//nemA//citE//mdtQ//alsE//cpoB//potD//recC//hisI//ccmD//pgk//rhaB//dcuB//yahD//hscA//hofO//recC//xseA//rbsK//asmA//yrbG//yieE//yobA//nadB//ygiV//iraD//araH//ycjW//nac//phoQ//xseB//trmB//yciT//pdxY//yafO//flgI//pspD//rpmA//ibaG//rho//nagZ//frwB//ubiD//barA//csgE//cmoA//nuoH//yfiC//abgR//fucO//marA//adeQ//ackA//sbmC//pdxJ//galS//argS//hypB//csdE//puuA//mdtB//glxK//mazG//casD//ftnA//ybfA//frlC//ynhG//nagD//yafQ//yehX//ydjM//rnpA//yejA//yijE//pitA//acpH//epd//dcuA//lgoT//mdaB//garR//hybO//ygiB//tolC//yfeO//rbbA//symE//idi//entD//galM//rnpA//paaC//nadE//lepA//ais//ddpX//ibpA//mrr//rfaE//mrcB//rpsJ//trpE//citT//kdpD//nth//pncB//pncB//ycjR//ispU//ompW//ytfQ//potC//pyrE//insI-1//menB//ibsB//glvC//rpsJ//plsB//yeaV//lldR//ybfE//artM//malK//norR//hisM//vsr//
GO_0006083_6	rpmC//mdlB//rsuA//mdtA//sgcR//hyaC//
GO_0006084_6	rpsD//mutY//
GO_0006085_7	menD//sbmC//
GO_0006086_8	mtnN//
GO_0006089_5	dgt//nuoM//trpR//flgG//csgE//ascB//mdlB//dinQ//nhaB//cadB//hcaB//tsx//yadM//pyrL//hslO//ubiD//nrdE//hyaC//satP//ung//mdlB//pyrC//elfA//yfiC//insI4//ttdR//mdtK//dsbA//ilvI//
GO_0006090_8	bglB//wzzE//cyoB//glpT//appC//mntS//dgoT//paaJ//cmtB//ghoT//yaaJ//gltS//ugpC//moeA//lsrR//osmE//pabA//cysN//aspS//otsB//fabI//csrD//rnr//sdaA//mltC//cpdB//orn//ispF//rclC//pcm//hha//
GO_0006091_4	sspB//dhaL//intE//yfiE//yjbG//ugd//glmM//parC//ydcS//ycbX//cheR//hflX//yobF//bioD1//acpP//modA//rssB//pta//frmR//fklB//hisD//ribB//phoR//rutE//lpp//metN//ulaC//ygeX//nrdI//yejF//cdsA//cysM//mepH//parC//spy//nikE//cecR//rimO//yihQ//yhdJ//lsrG//cusB//cobC//deoD//ftsH//yaiV//asr//yhhY//alaC//mutS//trpS//yfdK//rimO//yebZ//nrfC//yhbO//arfB//tktA//uidA//tmcA//bdcA//ulaB//feaR//glnA//dkgA//dld//rsuA//ung//yddL//accA//rutR//cra//bluF//mepS//msbA//greB//pspA//thiL//acpP//matP//phoQ//rlpA//pflC//yneE//ycjW//yiaA//hycI//yraI//cobB//ftsN//allR//gpp//yaaU//rbn//gyrB//htpG//sgcA//dsbD//alaC//phoP//dld//emrK//yfgI//dps//citE//shiA//phnM//yeaD//potD//hybE//mltC//bglH//
GO_0006094_7	tdcC//pal//nikA//yjbF//umuC//yahD//phnO//treB//yjjQ//yahD//
GO_0006096_6	csdE//clpB//tesB//opgC//trmO//uxuA//ugpC//norW//yahB//glpK//ybdZ//gltS//amyA//rimP//yhaM//crl//malY//gutM//
GO_0006097_5	hflK//rimP//yidQ//murD//umuD//
GO_0006098_6	tdcB//lpxL//cpxR//msrP//ydhJ//
GO_0006099_4	ydiO//dinD//sucD//ykfM//yggN//sucC//rclR//ptsN//pyrG//mhpR//ybdG//fadB//surE//recB//rfaC//bamC//cueO//
GO_0006101_6	iraM//rfaQ//ftsX//ccmD//argT//deaD//tgt//sspA//nfuA//ybdG//sucC//lipA//tauD//ycfJ//hinT//yibF//nemA//
GO_0006103_5	rsmI//rbn//mioC//
GO_0006104_6	recF//yhaJ//yjjX//
GO_0006105_5	gcvR//insI-2//stpA//ligB//ydiO//fimA//ulaR//acpS//
GO_0006106_8	hldE//
GO_0006107_8	mnmE//
GO_0006108_8	yqjI//waaO//nanK//cysE//chbC//
GO_0006109_6	fruA//envY//sppA//ydjE//tilS//ascB//plsX//gppA//pmbA//
GO_0006112_5	pitA//umuC//yaiP//dgoD//rutB//yicJ//nrdR//glcC//
GO_0006113_5	modC//araA//narP//prpR//lptE//yefM//gcvH//arsC//dcuR//nikB//acnB//hxpB//slyA//
GO_0006115_6	atpD//
GO_0006117_5	opgC//
GO_0006124_6	fixC//
