#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ubiB//sfmH//etk//trmB//
GO_0005975_4	trpL//rodZ//allS//rplX//yejB//ilvI//acpS//ydiK//pspF//srlA//yedP//hofN//proC//kefG//ybhI//yjgX//yfcQ//ahr//fumB//mgtA//sfmH//hemH//iap//pbpC//leuB//agaB//pykA//insB-2//yedF//ccmD//ugd//ppsR//uvrC//narI//phnG//cyaA//sdhD//ubiI//allD//cyoE//amtB//dsbC//hprS//sutR//guaC//fepG//iap//mngB//fadD//ilvI//ghrB//rpnA//phnJ//yahK//parC//rna//actP//deoA//ynhF//hisP//yidC//lgoR//ybhJ//metH//alpA//iscA//hscB//cpxP//ydcM//tsaE//cof//ttdT//smpB//pflA//flgJ//fimF//ydjK//pdeD//chbF//treB//ynbC//plsX//sucD//yjjQ//rzpR//yidH//rpoA//rutR//ibsA//elbB//plaP//pinQ//narY//pgk//flgF//rng//rutA//yneJ//aspA//rplN//erpA//cof//gph//ldrD//tabA//speB//tbpA//thiP//basR//yqcC//ldcC//sodC//yihT//hybC//ygiS//hcaD//baeR//rpoS//dnaA//maoP//cydA//paaE//ddlA//ibsA//aceA//asnA//rhtA//gntR//moaB//dsbA//mhpA//xylH//actP//cusA//carA//frwC//pdeD//metC//trpC//tusD//yieK//glnQ//garP//argS//lgoD//intZ//mlaC//hofM//kdsB//frmR//ndk//puuP//yobF//oppD//mutL//rpsK//ygbI//hrsA//recO//ygfA//ubiB//pdxY//tnaA//rbsA//ycjQ//hemB//ycaO//nhaR//xdhB//aroL//mrp//lgoT//cusC//yjfP//rihB//ppiA//mdtN//ugd//yhcN//fliD//flgD//mobA//dusB//ldtE//fryB//iraD//lysO//ppx//osmE//ybcJ//proQ//mreB//hypT//gpmM//pgpB//rfaG//sfsB//hyi//hypF//mdfA//cysH//ugpC//idi//gppA//allR//yghW//epmB//cspA//gsiB//dapF//dinI//clsA//murD//yibH//galE//lit//serA//yciA//cysU//rihA//spy//qorA//speB//gsiA//rlmM//ygeX//rutG//cysB//znuC//fcl//recX//dapF//yjfP//speG//crl//degS//hycA//pgsA//creB//eutD//yhdX//nlpE//pyrE//priA//gadA//hexR//ybhF//bioD1//caiF//ybbN//pncB//rdgC//ybaK//rsmF//
GO_0005976_5	ldtA//nfsB//yadM//ybiV//cysC//ybaQ//asmA//csrD//mdh//mdtQ//asnS//guaB//iap//yfdC//rhmD//menC//sspB//iaaA//kefG//tamA//manA//aidB//sbcC//glpG//zitB//abgA//hipB//casD//allD//clpS//uvrD//rrrD//tdh//ykfI//epmA//frwB//cpsG//rhaA//yoaA//prmC//paaZ//rsmG//umuC//norV//rdgB//yehC//ymgC//sgcA//yqhC//dapD//paaK//menI//cyoC//lpxB//hcaF//zur//asnB//tcyP//bacA//
GO_0005977_6	argE//fnr//rof//yafQ//ubiI//intF//hsdR//ychF//
GO_0005978_7	dnaX//rrrD//tdcB//citC//
GO_0005979_8	yraN//
GO_0005980_7	yfdR//hpf//gudX//
GO_0005981_7	bfr//
GO_0005984_5	ndk//opgC//ompT//srlB//dicC//sapD//mdtC//ribB//hicA//cspC//fkpA//
GO_0005985_6	grpE//
GO_0005986_7	ydbK//
GO_0005988_6	metE//ade//
GO_0005990_7	lpxK//nlpE//
GO_0005991_6	greA//yjhB//ribF//yedL//kgtP//
GO_0005992_7	rpsS//ychH//
GO_0005993_7	ttdT//tdcR//agp//
GO_0005994_6	mdtL//
GO_0005995_7	yefM//
GO_0005996_4	ggt//fur//cadC//ycbB//ydiF//cutC//cpdB//mdtQ//hisH//ybiI//nth//fumA//clpP//ynjA//tig//ygeX//avtA//cysN//nimT//mepA//yccX//secY//yjjV//fucO//prmB//narL//tdcB//mcbR//yeiL//lysP//rluD//yehY//ypjD//spy//yjbB//ygeX//slmA//rihC//cmoM//talB//glyS//murC//ydcR//livH//artJ//ygfI//soxR//fpr//yihX//agaD//folC//citE//feaB//hyaA//ynjA//phoQ//recR//yijO//mnaT//hicB//ybiA//cof//murF//hypC//moaE//cpxR//glmU//rluF//trpA//priB//katE//mltD//yiaU//rsmB//ybiY//hisH//insB-2//rzoD//sucA//dgoT//idnK//phnH//
GO_0005997_6	kilR//
GO_0005998_7	uxaC//
GO_0006000_6	flgF//yfjV//cueR//
GO_0006001_7	spoT//rapZ//
GO_0006002_5	ygjH//aceK//yggW//
GO_0006004_6	alsB//aroH//rfaC//insI1//paaC//abpA//
GO_0006006_6	asnS//livG//ibaG//iraP//ttcA//hisD//atoB//cmoB//sapD//yjbE//pflB//kbaZ//arsB//zinT//glnS//treR//yqcG//nusG//tdcE//selA//chbB//ygfZ//yghG//
GO_0006007_7	dcyD//frwC//ptsP//
GO_0006011_5	ydcS//
GO_0006012_6	arfB//pspD//dcuR//truA//mngA//mscL//hemL//cyoB//hemH//
GO_0006013_6	ansA//spy//
GO_0006014_6	ygbI//nuoF//yfeR//
GO_0006015_7	hflD//murG//
GO_0006020_5	hpt//
GO_0006022_5	glpD//ibsA//pheA//relA//rcnB//lysA//dusC//metK//entS//narL//bioP//matP//sufS//edd//mtn//trpB//argA//gyrA//holB//msrA//ybdH//srkA//yhiM//nudF//miaA//cbeA//hicB//fhuD//lspA//lipA//coaA//aroB//dxr//mdtI//yrdA//ygcR//nudB//murB//ruvC//preT//argR//ybjC//trpGD//blr//yhgH//dgcF//citG//sgcX//yfcV//waaO//yagU//yeiG//holE//phoB//ibaG//ybcQ//eutA//waaQ//zapD//murR//wecB//dkgA//mtr//
GO_0006023_6	ybiA//rimL//yehD//sucA//grcA//ptsG//mtfA//cutC//fur//ykgM//chbC//nac//uxuA//setB//dgcT//clsB//flhC//tldD//glpX//ydhK//sdhD//mlaD//nrfC//lpxP//artM//purN//dapD//lpxT//crl//asmA//galE//yfeX//yadI//moeA//selU//casE//yceK//acpS//xanP//
GO_0006024_7	yhaJ//yadC//phnL//glpF//rbsC//mdoD//adk//nemR//ttdT//alkA//gspF//thiP//rpsP//ybhG//yjjV//wecE//nlpD//rimK//caiE//paaF//glnH//cnu//cysU//surA//bamC//elfG//yabI//rclC//rraA//tcyL//gcvA//cas2//gloA//malP//pgi//asd//cspB//yedP//yfcF//
GO_0006026_6	yeaG//glk//casE//sufD//ybhR//ispH//fabZ//elfG//dxs//roxA//
GO_0006027_7	tsaC//ftsA//xerD//hemB//rihC//purB//dkgB//frdD//epmB//rusA//
GO_0006040_5	pckA//rcnR//lptC//yidZ//yhcN//rsmF//sapF//hemA//rplM//hisF//leuC//fepG//sthA//cas3//elbB//bcp//sapA//
GO_0006044_7	mglC//dadA//dtpB//yhhZ//kdsD//
GO_0006046_8	yiaT//deoD//aer//rcnR//
GO_0006047_5	fumC//garD//sulA//yhbO//flgM//sufS//yhaO//
GO_0006048_6	glcD//ybbW//dctR//xapR//yieE//rpsH//
GO_0006050_6	yadV//
GO_0006051_7	pgrR//
GO_0006053_8	greA//
GO_0006054_6	thiM//kefC//yciF//frwD//pepQ//pgk//ymjB//
GO_0006056_6	prkB//
GO_0006057_7	recO//
GO_0006059_6	fliZ//sfsB//ispU//ygeX//
GO_0006060_7	fliL//
GO_0006062_8	tnaC//
GO_0006063_5	mtlD//sodC//rsmC//dcyD//metK//narL//ybeY//rfaH//fryC//
GO_0006064_6	rplN//gltI//potE//murC//hicA//rsmI//
GO_0006066_4	moaE//rplC//nac//acrF//cvpA//rlmF//appY//trmL//ybhJ//msrA//yehC//oppD//hcaF//ftsY//hemA//yegD//trkG//proC//xisE//rhlB//mdoD//allR//sapA//fdoI//idnO//uxaC//qorA//oppF//hsrA//lpxL//carB//tyrR//
GO_0006067_6	asd//ibsD//frvB//
GO_0006071_6	dgoR//csgE//argT//yphF//betB//rpsJ//lsrD//
GO_0006072_6	rseB//rlmL//pyrC//hslO//ghxP//
GO_0006073_6	ydeO//phoQ//rpiR//galF//rhlB//ybhI//flhE//wecA//cysN//yoaB//hslO//hpf//ghrB//trmA//minE//sgcX//rhlB//ydjK//moaB//ybhD//
GO_0006081_4	uhpB//sgrT//exuT//yddL//gmk//ytfT//yeaD//ydhJ//gadC//ccmE//feoC//insI4//fis//kgtP//aroB//trpC//minE//purA//ydbD//etk//ftsL//bamA//atpE//entS//dosP//menE//gpr//dppC//hlyE//scpB//kdsD//ffh//rfaG//hyaD//cyoD//cptB//cobT//yjeH//murI//exbD//cysA//exuR//ydcP//fadA//ydjM//efeO//agaI//leuB//secB//ddlA//allD//ccmA//yigL//abgA//tesB//hisP//moeB//rarD//pta//yahO//idi//xseA//ibsE//mnmE//ydfD//waaA//tqsA//
GO_0006082_4	rsmC//srlR//gppA//obgE//yfeD//higB//malP//ybjG//gntK//yfgI//rspB//arcC//speA//nadC//zupT//ftsE//csgD//yjiY//caiB//pepT//gntU//rutD//frvB//puuE//nlpE//sdhD//metR//ydjL//srlE//bepA//acpH//oppA//metB//yafE//deoB//pheA//paaE//icd//mltD//seqA//yraI//ybgI//cyoE//elfA//nrfC//rplB//glxK//hyfF//menH//fliG//gloB//yfeX//garL//yphF//rffH//yjhC//ynfH//lysO//nei//lpxL//yciE//malQ//ihfB//pdhR//aldB//glcB//ccmD//hyaD//ftsB//argD//mrcA//hycH//cmoM//hybD//ribE//efp//rpsK//hycB//msrQ//ibsB//gstB//uidA//trkG//mdoG//mdtK//rna//yidL//pyrL//nlpD//cysI//agaB//yijE//puuP//rmuC//spoT//ssuD//mqsR//ugpE//yjgX//dnaQ//pheS//rclC//uhpA//eutK//mreD//flgD//btuC//insF-1//argS//csgA//ybiH//creB//hdeB//rfaH//idi//zipA//kduD//metI//cas1//betB//lapA//ypjD//artP//sufB//gatD//phnM//creB//yqgB//manY//argS//sad//yefM//puuA//xisE//mtnN//hofN//citG//yeeO//prmA//lit//yjbH//cdd//uxaA//yieH//tolA//eutA//preA//arfB//ompT//ydjM//csiD//aceF//hfq//yehW//yjiX//tcyN//yhdH//tauC//mak//guaC//uidA//uspF//bacA//artM//potE//dnaK//mntS//yfiR//nrfF//melR//yafS//dacD//sufA//ybjX//glnS//yeeJ//fabD//dppB//bioH//sdaC//ccmG//lgoR//nirB//purT//hyaD//lgoT//lolA//galF//ycdX//yfcS//ybcC//rimP//cyoD//argS//psuT//ydiF//potA//ybjN//sfsA//yddA//oppC//rlmD//rbbA//cynT//ybcC//elaD//upp//nirD//hybF//allC//ybiS//yjaA//gsiA//ulaG//hflC//psd//rbbA//rraB//queD//glpF//lptG//iscS//yfcQ//greB//cyoB//xanQ//rstB//yaaA//cvpA//aceF//trpL//cusS//patZ//rimK//gmd//pyrD//rpmG//yihP//leuO//fabD//ymgF//arnE//tdk//cho//putA//ratA//accA//frvR//fliM//sohB//ydjH//gsiD//mutL//ilvB//preT//mlaD//moeA//xapB//puuP//topAI//cho//agaA//malQ//kdpC//mdtN//metE//symE//araF//eutD//ilvH//asnA//hslV//oxyR//yqjH//rplP//kdpC//yfjR//ompG//cra//frlC//uhpT//fadB//entD//kdgK//yjcE//dsbD//cysI//fetA//oppD//speB//efp//gatB//dnaT//fliZ//tar//yfcQ//fabG//melR//pspC//bisC//rplT//maoP//fhuD//barA//trpL//hisP//pagP//pitA//ybdR//atpA//folD//fdrA//waaG//hypE//yihQ//serB//ptsG//acnA//deoC//rdgB//ycbB//ydaC//nlpA//acpT//yeiE//phnI//deoD//hypE//aroF//ilvL//intF//ybdG//rpnD//ydcI//nemR//rffG//panB//ccmG//cycA//puuE//mocA//frmA//entB//narG//ydcO//ptrA//mazG//acpH//cobT//dtpA//bglB//elaA//cyoD//appA//yddG//yggN//torR//pagP//cysC//arnE//satP//ygcW//phnI//yihT//rluA//speG//djlC//pflA//rpmB//ynfH//fdoG//nrdA//glxK//nanT//agaD//cspE//ybeQ//mcrB//yeaK//yqaB//mliC//mtfA//hyfC//yhhZ//hisP//yjhI//envZ//fhlA//basR//pabA//pgaA//nupX//rseP//marA//yjcE//tcyP//zapB//tas//rrrD//ftsP//epd//nrfG//agaB//aspC//waaS//rpmA//ccmF//btuC//ttdT//narP//tsaC//pspC//ruvA//ndk//arsC//dgcE//yjiR//yhdH//rimK//glpB//pth//ligB//hyfR//ygaH//pdeD//betB//ybdZ//mltC//ydcS//hpf//dnaT//dgoK//ydeP//ybbN//yfaV//ybaO//uspE//iraM//alr//preT//ortT//cysI//bioB//agaA//kdpE//djlC//hycH//kbaZ//rplX//aspC//iaaA//yjcE//ynfE//cheW//ubiF//ubiX//nusG//ispG//moaB//rplM//
GO_0006083_6	xylA//rhaS//prlC//glsA2//dctA//ygaH//
GO_0006084_6	setB//yhiM//
GO_0006085_7	rimK//yfhH//
GO_0006086_8	yqjH//
GO_0006089_5	relE//phoP//rhtB//wbbK//ccmG//yhhT//glnS//hldE//ybeQ//prmB//hyfC//moaA//lexA//yggF//nrfA//ltaE//narQ//rlmN//clpA//surE//uxuB//cueO//aceB//yihP//trxA//lldP//yggT//ldtA//ydiZ//
GO_0006090_8	yqhC//yfaX//sodC//insA-1//lptD//ispA//kdpE//trmO//pgl//mipA//dfp//rusA//chaA//focA//fdhF//ycfJ//ebgA//pckA//idnK//cusA//yciH//ispA//mscL//ackA//rfaE//fadR//ycbX//tdh//recD//menF//secG//
GO_0006091_4	fpr//mtr//ybaL//ldrD//dpiA//murJ//paaZ//rpmJ//dsdC//cheA//yieL//elfD//ftnA//fumC//tufA//cspA//ydjE//gnd//lsrG//ydhQ//ybcC//napA//yieE//grpE//infC//kdpA//mlc//cpoB//fic//purC//araA//lepB//ydcO//yadN//rcnB//mtlD//yfjR//yigB//tadA//ybjN//tolQ//yidK//fkpA//coaA//tmk//gatC//atpB//yrbG//agaB//ybaK//ompL//yghB//gpmA//mngB//yidP//recQ//rpiR//rsmD//dmsA//yhaM//iscR//intE//moaE//arfA//uvrA//recO//agaA//rstB//eno//prpC//murF//shoB//bioC//purC//yggN//allC//nuoE//waaG//narV//xseB//tauA//pinQ//alaA//otsA//gadX//waaA//npr//ycfL//ldtC//rcnB//kup//ftsH//yehZ//rnc//mgsA//aphA//tolC//rraA//aroG//panE//envY//aspS//htrE//folA//preT//envY//gatC//mtnN//rpiR//ydjM//mltG//tsgA//
GO_0006094_7	ptsN//nrdE//hybB//ydiP//casC//alaC//yqaE//cadC//glpA//qorA//
GO_0006096_6	asr//icd//mlaF//apt//yqeF//spy//priC//plsX//yfcF//nanS//slyA//hybB//degP//nagA//atoC//rtcB//hyaA//moeB//
GO_0006097_5	fucP//hyfR//aroH//lsrR//ynaI//
GO_0006098_6	livF//ompF//fecB//thrL//metL//
GO_0006099_4	yihI//ydaC//yedX//pgpB//mnmC//ynjA//mocA//frlR//yajD//ybdG//yciT//ypdF//ptsN//hldE//sad//waaH//pheT//
GO_0006101_6	aes//artI//patZ//gadX//rdgB//ychH//ung//malK//folC//ompR//nudC//cheA//dnaE//hemL//gor//yjiR//yccS//
GO_0006103_5	kdsB//scpB//gspJ//
GO_0006104_6	acs//pgaB//fhuD//
GO_0006105_5	dgcZ//glnQ//gudX//efeO//gspJ//insI-2//slyA//zitB//
GO_0006106_8	yibF//
GO_0006107_8	glnP//
GO_0006108_8	narY//narJ//zraS//yraH//purN//
GO_0006109_6	yhgH//pykF//clpS//ybiI//ygfZ//nhaR//hemB//mntP//leuB//
GO_0006112_5	asd//ycfH//seqA//recD//rplL//yddL//adhE//ydeE//
GO_0006113_5	intA//rlmA//ydjL//mutL//trkH//yneL//rpsM//dmlA//hdhA//adeP//dnaJ//prpC//ycfL//
GO_0006115_6	msbA//
GO_0006117_5	speB//
GO_0006124_6	deoC//
