#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	helD//dcd//cheW//gltP//
GO_0002252_3	yihP//ubiJ//prc//paaC//sfmF//uxuB//yjeI//mnmC//rnr//dauA//
GO_0002790_6	lpxP//bdcA//fryA//recA//ypdI//rfaE//atpB//
GO_0002937_9	bisC//
GO_0002938_8	cheZ//
GO_0002939_7	tabA//
GO_0002943_8	yrfG//
GO_0002949_8	hdeD//ymgC//ssuA//ariR//
GO_0003333_7	opgB//mlaF//glgX//tufB//frlA//pepD//exoX//paaB//marR//yobF//paaZ//wzzE//asnS//mepS//mazF//cusC//pdxB//perR//chaA//speF//fixA//hypB//slmA//torA//secB//sdiA//ygiN//yeeO//artM//kdgT//mcrB//rpe//fiu//panZ//ybjX//ynjA//sucC//ndk//narP//yddG//dgcT//ptsG//yihO//yphC//pspA//speC//dtpC//arfB//mutM//
GO_0005975_4	ytfT//pdeH//puuE//yeiE//ftsI//glyS//yhjA//ybdG//hcaF//yhdZ//ddlB//secF//udp//ybhS//panE//araG//fadB//pyrH//yeeY//abgA//tdcF//yihI//fimA//nagC//artI//rlmF//ileS//hdeB//rlmL//crcB//tdcG//gltD//clcA//metG//metC//ppiA//idnD//ydeO//znuA//galF//galE//glk//bacA//yieE//waaL//feoB//guaD//bglX//paaD//yidD//yiaO//pheP//serS//hycB//ruvB//yhhY//marR//mdtK//ariR//degP//lplA//paaA//mcrA//cbrC//yedX//aspA//ybdR//accA//dppB//yfaU//yibT//tatD//hisI//waaJ//gatA//phoE//panZ//pabC//yiiD//yfcS//hemN//miaA//purA//fabI//pstB//nudF//thiE//hscB//amiB//dinD//pnp//mocA//zupT//yihI//lgoR//mmuP//nlpI//folA//fdx//ybjL//phnP//purC//orn//clpS//rluC//hemF//wbbK//nrdA//grcA//tatB//rspB//rlmG//envC//argI//serA//miaB//waaQ//yjjU//glnS//murF//ampE//yfaE//gmk//orn//yfcP//rplC//alaS//zraR//pth//atpG//yfaL//yhaV//tktB//dapF//ahr//yqjH//rraA//lplA//ahr//tdcB//hcaB//prpB//ilvN//phoA//adiA//tusD//rclA//yibH//opgG//fepG//sgrT//mppA//hybG//eptA//fic//erfK//yqcC//rplW//yidR//cpdA//pflC//uidR//ispH//glmU//yfjR//rne//agaI//glsA//trpB//rhaM//frvA//dnaK//fdhF//gabT//rbfA//yeeO//leuA//nikA//ttdR//tqsA//tar//ybhF//rbsD//fixB//sodB//ygfA//agaW//uxaC//mtnN//yqiI//rpsP//yjjQ//yidR//ytfE//envY//agaA//dapA//ltaE//ydjJ//umuC//gluQ//gyrB//ppiD//yajO//purL//ugpA//mtn//wcaB//ynfE//crr//ibsB//recD//sgcA//hldE//nepI//asnA//insA-1//araD//tsr//pepB//spy//pgpA//gdhA//metN//potG//mnmG//yhbO//casD//ybhP//ccmF//yibT//livK//tamA//ompT//caiF//rplS//kdpE//tolC//rho//pgaA//caiT//yqhD//ruvC//gltK//recJ//parE//yjiQ//tdcG//frdA//galF//mgtA//rffC//ybaT//ilvI//
GO_0005976_5	garR//rsmH//zraR//aas//xisR//hxpA//chaC//clsC//selU//rpmE//lptF//sbmA//glpB//yjhG//afuC//glmU//trmJ//dxr//insK//nrdB//hemC//ydeI//pyrL//livH//miaB//nhaA//dnaK//ybcF//lpoB//pdxJ//pstB//argE//uidC//xerD//prmA//ansB//yidZ//cadB//purD//fimE//flgF//lsrC//ybhJ//pinE//ynbB//radD//tdh//wcaJ//relA//cadB//mlaB//ghoT//mcrA//rplF//xylH//gabD//feaB//ybgP//intE//
GO_0005977_6	fepE//ldrD//mepA//yebQ//sufD//pdxK//cusR//dmlA//
GO_0005978_7	secA//hycI//gsiB//brnQ//
GO_0005979_8	pyrD//
GO_0005980_7	yiaJ//yceK//ileS//
GO_0005981_7	ydeI//
GO_0005984_5	pdxY//yeeY//ulaB//cdsA//dinQ//marA//kefC//yfeR//yjiX//ybiI//ampD//
GO_0005985_6	yraN//
GO_0005986_7	gph//
GO_0005988_6	metQ//flhD//
GO_0005990_7	alsC//phnP//
GO_0005991_6	hsdR//caiE//nudG//queE//livH//
GO_0005992_7	csgE//argK//
GO_0005993_7	pheM//glcD//tatB//
GO_0005994_6	rpsQ//
GO_0005995_7	fabG//
GO_0005996_4	exuR//aslB//yihX//nrfG//ratA//ybdO//abgR//lpp//ynbB//ilvL//frvB//artJ//adeD//surA//chaC//mrr//yidC//yihL//yfeW//lgoT//rppH//apt//yjhP//nlpA//yehB//mdlB//phoE//rpmH//moaC//ybcC//yhdH//insH-5//recE//cysU//mngB//araG//cnu//ugpC//bssS//mutL//mtlA//panB//nei//glpX//recG//kilR//yebC//pyrC//copA//bioD1//adiY//pheS//menI//argK//recE//mtr//mdtE//xanP//argR//torR//bdm//zapD//wrbA//nuoG//trmB//murP//agaR//pgl//fimG//mntR//modC//proX//fabA//aroH//oxc//ygaZ//pgpC//glmS//alaS//rplS//kdpF//prpB//
GO_0005997_6	ftsN//
GO_0005998_7	artI//
GO_0006000_6	sapB//yhdZ//mobA//
GO_0006001_7	ascG//ebgR//
GO_0006002_5	yneJ//secG//clpX//
GO_0006004_6	gltS//rcsF//tufB//guaC//crcB//rcsF//
GO_0006006_6	efeO//trmH//rhmR//folE//yqiG//rutC//fhuF//mltF//gntU//ascF//sgcC//ypdI//rcnR//narK//yfcQ//holB//lyxK//mhpB//yqiJ//yhjA//phnO//ghxP//uvrY//
GO_0006007_7	dgoD//metK//osmE//
GO_0006011_5	gudP//
GO_0006012_6	cra//lldP//ynbC//wcaJ//rbsR//roxA//cpoB//mreB//pspA//
GO_0006013_6	rbsD//yjtD//
GO_0006014_6	csiR//lptA//raiA//
GO_0006015_7	norV//pflB//
GO_0006020_5	yihO//
GO_0006022_5	bssR//cirA//napC//rstB//kch//sfsB//corA//patZ//yidK//pepA//elaD//hslR//yjhH//exoX//yhjA//ydfK//ydiR//cadA//uspG//iscA//aphA//codA//potD//rraA//rof//mltC//fdoH//prlF//gpp//ppsR//narZ//icd//yciG//ompC//asr//uxaB//pheS//cysD//kdsC//fau//luxS//greA//tauA//ptsP//glpB//epmB//malG//cysD//nupX//murR//cmk//xthA//ybaT//yiaM//yidZ//srlD//cysC//cueO//malE//ackA//ypdF//citX//narQ//
GO_0006023_6	rplL//cas1//aspA//yfbS//cysD//rluA//mmuP//yggT//tolR//dsdC//paaG//dgt//lsrC//hyaB//agaV//mdtF//folP//rlmL//mfd//katE//barA//cobB//ppx//ydeE//clpB//tdcF//ygeA//rfaH//feoC//appB//glnL//rplE//speF//secE//yhbY//cspC//glpK//ftsL//gntR//
GO_0006024_7	yebK//sdhA//sthA//yceD//ydiK//moeA//prlF//iraD//sucD//pspC//nhaB//yciF//menF//csgA//mhpC//katE//yehY//cbeA//rcnR//uxuR//chbG//tusB//ybjG//dicB//cadC//ydiP//ribB//pinE//insA-2//tag//ilvC//kdsC//fecA//cdsA//purB//uvrD//yjiQ//paaE//intF//
GO_0006026_6	dauA//yfdR//proW//sodC//ybhS//sapA//fepE//srlB//rsmG//glcF//
GO_0006027_7	lyxK//rclR//lolD//lhr//yggE//cadB//paaG//gabT//arnA//nrfB//
GO_0006040_5	smrA//ypdC//ydhC//yggD//murF//oxc//intZ//recN//rplO//potA//mdtB//yihR//zraS//dgoK//mgsA//tbpA//baeR//
GO_0006044_7	rplO//rutG//yahO//yhbY//moeA//
GO_0006046_8	mdoD//mrdA//csrD//lepA//
GO_0006047_5	yheT//glxR//rfaB//ogt//rpiB//ldhA//macB//
GO_0006048_6	yiaT//slyD//leuO//yeaK//znuB//cas1//
GO_0006050_6	glgA//
GO_0006051_7	rna//
GO_0006053_8	yjbB//
GO_0006054_6	artJ//guaD//panF//ykfM//valS//artQ//puuB//
GO_0006056_6	codB//
GO_0006057_7	alaA//
GO_0006059_6	waaY//rplT//fhuF//entD//
GO_0006060_7	tpx//
GO_0006062_8	frdC//
GO_0006063_5	appC//ttdT//agp//rpiA//trmI//bglB//chbB//glnB//appA//
GO_0006064_6	yqjH//yehX//mscL//rzpR//zntA//fabB//
GO_0006066_4	kbaZ//pfkA//cbpM//narP//rna//yghO//rsmI//pppA//gltD//ycjR//malX//queF//yidC//orn//ttcA//trmO//crfC//carA//dacB//queG//ybjI//dnaE//yeeJ//purU//ahr//ldtE//pstC//yahI//treA//lptF//entC//yabI//
GO_0006067_6	ygjH//uvrA//mhpA//
GO_0006071_6	ygfI//ygeV//yacG//elfA//glnK//codA//hdeD//
GO_0006072_6	ftsE//yiaU//ychF//rhlE//yjhI//
GO_0006073_6	mprA//trkG//hisS//csgD//yacG//ligB//yfeW//yihP//rssA//fkpA//rffM//sgcX//argG//iraD//sapC//rcsD//yacG//acrB//relE//csgA//
GO_0006081_4	holE//ung//gpmA//araG//menB//exuT//pth//tar//yahN//mraZ//ptsG//ydcM//pyrC//proB//ptsP//lsrK//elfA//nhaR//mprA//yjiX//casE//yeeO//gudP//cra//scpB//nuoI//yagJ//lysS//puuA//rutG//rzpR//citX//rpmG//allB//hisB//yjhG//flgA//uvrD//yeaE//lldP//eutA//intS//rcsF//gadE//sbmC//yhcF//baeR//lspA//codA//ulaF//glpG//yhgH//ccmE//rpnB//smpB//minE//ygeX//nhaR//galE//mdlB//yoaA//narZ//lptD//rzoD//frc//rihA//cusB//
GO_0006082_4	tnaA//ydaC//fepA//rplT//sapB//lspA//cra//yhaC//gcl//ybiY//feoC//intA//pnp//paaB//rarA//yfeR//ggt//yafE//setC//preT//yfbU//gcvP//araB//pabA//tag//yggD//zraR//yadV//hcaE//csgA//sppA//murB//accD//modC//yedL//trmL//citC//atpA//yqiI//ycjU//tyrB//lysC//yieH//argR//paaA//rho//yihU//ybbN//yjcO//phnG//rnc//sdhB//dxs//ndh//fecC//sugE//pspD//tehB//tdcB//rimM//acrD//yraR//ilvL//rluB//mazF//yeaK//ubiE//sfmA//cpsG//gph//mtfA//mepS//ygcR//yidD//uxuB//rplD//arnT//lsrB//umpH//yhaJ//yihO//speA//glpG//kilR//ynjA//ldtB//dld//purA//ynaE//zntA//ydiB//pdxJ//spy//avtA//ftsN//mepM//hprS//aslB//galF//murE//pckA//allC//chbR//dnaT//queF//osmE//yehC//yccS//sbcC//dtpD//mepA//srkA//fbaA//yceK//rluB//ygeW//ccmD//nuoM//suhB//alaE//acrE//mngB//umpG//hycA//rsgA//panB//opgB//glgA//fecB//cusR//murD//ybiI//aroB//pphA//hisC//rarA//yfdS//leuA//tolQ//rlmA//moeB//ygjR//ybiJ//yidD//sugE//uvrY//ycbX//satP//fadH//truB//pitA//ykgA//ybiJ//melA//aroA//dut//sgcX//sbcC//argR//ldtD//rspB//thiD//tdcC//rimO//fdnI//yqeG//lepB//baeS//nimT//frwC//abgA//yfgJ//cpdA//ugpA//rsmH//ynbC//lolA//zipA//fdhE//ivbL//dcd//ymjB//rplD//recC//hflK//sufS//phoU//yfbV//rhaD//guaA//cbtA//nagK//ppiA//lolD//yqiH//mlc//cspG//pmbA//wcaC//tpx//srmB//infB//elfC//atoB//fepD//tdcA//bioB//xanP//yfcS//ompL//ydiZ//mscK//glnQ//uspG//ispG//yccX//ispA//pgaB//yfdR//ygcO//envC//potB//rfaB//bcr//pepT//yeaE//yceO//ftsK//relB//ybhR//rng//accD//fadM//gyrB//ttdR//aaeA//ydaV//yjjU//dtpD//acpS//asr//kbp//cirA//garK//cvpA//yjhI//sdhA//glnB//alsK//bglB//citX//gatD//ompT//mrp//rpsS//potH//yqaB//dgoR//caiE//agaW//fimC//bisC//argB//fklB//ptrA//uraA//ispU//proQ//aaeB//opgE//hofN//nrdI//gltI//fliL//eamB//nfuA//phnM//chbB//syd//ydcR//ppk//yieF//citX//cynS//yciT//ydcI//stpA//ynbC//ygfX//insA-1//narQ//cstA//psuG//hpf//preT//kduI//deoA//narJ//dnaN//rpsG//waaA//pgk//speD//aceF//dacC//nuoM//mngA//argB//eco//hns//menB//mepS//yhjG//cpxR//frdD//marR//ycaO//queD//dgt//ydjH//yqhD//puuR//yqcG//rusA//aqpZ//xylH//csrD//agaV//hofO//elaB//yjbE//araH//napC//ycfL//dgcZ//yiaA//ampH//cadA//cycA//caiT//nadC//leuS//sspA//ubiF//rsgA//hda//cdsA//menA//agaD//ompF//yggP//xylF//abgA//fecA//cysP//rhsD//pdeH//trmA//pflB//zraR//rhtB//tauC//ydfH//alaE//yaaU//patD//tusC//ttcA//bcsQ//trmB//uspG//secY//trpS//coaE//bioH//ddlB//argR//yfhH//smrA//cycA//mdlB//der//galS//rpnA//asnS//metQ//ade//bioP//mdtD//lysP//infC//casB//cysN//gntK//hupA//murF//ybgI//uidA//glyA//yedP//sucA//frvA//pth//mpaA//menH//narQ//rihC//moeA//fic//hpf//yehW//dcuR//der//elfD//rhaR//ytfQ//speE//hisI//rpmF//lsrR//cbtA//folA//ldrB//alsK//yhjX//hyaB//smpB//cedA//mprA//rlmB//fryA//ycbU//aspS//hyaC//fadI//zinT//ynfH//rluD//udp//guaD//dnaJ//malQ//ggt//purF//yjhP//intF//ugpA//kdsB//tatB//cyaA//glgA//bdcR//bepA//yfaL//fbp//glnD//pliG//srkA//gyrA//osmY//
GO_0006083_6	pdeR//fre//ybgQ//yfgO//lpxC//rffC//
GO_0006084_6	eutD//ybhD//
GO_0006085_7	corA//bioB//
GO_0006086_8	malP//
GO_0006089_5	ybeY//queA//cheB//zapE//chbR//yfdG//mdtN//accD//atpG//malQ//uidA//sufD//rseP//thrL//yiiM//btuF//fliL//otsB//pflA//dcd//livJ//flhE//tehA//alsC//yhcD//ubiF//yedX//rpoD//frdC//
GO_0006090_8	hslU//ybhD//fabA//hslU//yciK//ydiZ//basR//speC//rlmA//yfcV//rfbX//rpsL//agaV//speE//selD//agaC//motA//lysS//umuD//mdoG//intF//sgcB//ychF//hyi//dppB//nadK//yggT//leuD//yehW//recN//waaU//
GO_0006091_4	yheT//mnmE//speD//mnmA//flgI//fepG//cas2//gstA//idnD//alaE//potG//ilvM//nrdA//trpR//pphB//gspE//tusE//yieL//yhaM//yfdR//tusC//alsA//lpxB//agp//ygfI//dnaB//purC//lptG//rpsD//udp//panZ//ygiW//topA//uxuA//yfgO//adeD//sdhD//mhpC//hfq//nth//sgcB//gabT//rmuC//mreB//lpp//ppiC//sdhA//hisF//dinJ//manX//xylE//obgE//livF//glgP//rlmE//sapC//cheA//ydiR//dmlR//recF//serB//yihV//sufS//yqhD//mtnN//insI3//rfbD//yqcC//hcaR//fdnH//pdxY//dppF//trmI//ybhA//ycbU//zapB//tar//ydeP//cas1//frwC//gloB//chaA//ybhR//ybaQ//ybiA//mdtF//fepC//artJ//rluA//chbB//fimD//ndk//trkH//sulA//umpG//gfcE//tpx//yciT//yjjB//tyrR//phoR//rplS//cpxP//cpxP//adhE//msrQ//nuoB//ytfR//polA//pyrD//rho//ampH//
GO_0006094_7	clsC//srlD//glnS//menE//ycjP//trmD//yeaD//phnC//livM//yehT//
GO_0006096_6	epmA//bglH//fimG//hfq//sdhC//ygjH//ybcF//yraK//ansB//aroA//cydC//waaY//tnaA//fpr//malF//tilS//srmB//paaB//
GO_0006097_5	kgtP//glnK//yfaE//dgcQ//dgcZ//
GO_0006098_6	yfdC//gmk//yejA//fhuD//napA//
GO_0006099_4	cstA//prs//rrrQ//srkA//frwD//dgoD//hyaC//proP//sapA//insK//rluC//thrS//ftsQ//flgJ//kduD//yibA//dcuC//
GO_0006101_6	lysP//ydeM//fhuB//mdtM//gatA//sppA//entC//mscM//cydB//ftsX//ttdB//dcd//nuoL//srlA//ccmD//minC//hexR//
GO_0006103_5	serS//kdsD//prlF//
GO_0006104_6	trxC//sufS//yfgO//
GO_0006105_5	opgC//frlA//hybG//glcE//rapZ//ybhI//dnaJ//argS//
GO_0006106_8	galF//
GO_0006107_8	srmB//
GO_0006108_8	hdfR//gsiC//thiI//trmL//katG//
GO_0006109_6	nagA//yieL//yqcG//hypE//manZ//waaB//paaK//waaJ//argA//
GO_0006112_5	holE//hisP//entE//thiD//torA//rbsR//yraI//mtlR//
GO_0006113_5	nuoI//nagA//lpoA//ralR//eutA//fliM//treB//ogrK//ycjW//glnE//cysC//rlmM//rutD//
GO_0006115_6	ychF//
GO_0006117_5	ybhF//
GO_0006124_6	sdaC//
