#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rraB//ybeY//ynfH//ybhS//
GO_0006023_6	perR//yajR//ycfS//insI-2//iscA//ampG//mfd//dinJ//trpC//yeaE//alsA//hypD//puuD//cecR//nrdE//tauC//baeS//aroK//rutD//seqA//hslU//potG//queF//araB//hemH//iscS//flgA//gshA//yagG//paaH//bdcR//tadA//sbmC//ypdI//holC//spy//yfbU//cvpA//fepA//
GO_0006024_7	kilR//yjbE//narQ//rplA//hemE//csgA//yacG//corA//skp//oppA//glvC//fryA//rcsC//htpX//aspC//cpdA//alkA//paaC//menF//bluR//asnB//tas//mnmA//yiaU//narW//fetB//lldR//ppiA//ypdF//nepI//ihfA//pgl//opgC//purL//aroF//ettA//cutC//dmsC//yghO//
GO_0006026_6	lacZ//ispH//ompA//purU//artQ//srlB//fdoH//gyrA//ribF//cdgI//
GO_0006027_7	glmM//yhjR//mtn//ygaZ//bioA//udp//ygbI//qseB//sfmH//citT//
GO_0006040_5	iraD//pheA//ybiI//csgF//rayT//argI//secY//lpcA//yfaU//yjhC//fdoI//ybiW//yjcS//yghG//rpsO//pspA//rhaB//
GO_0006044_7	umuD//yghG//yccA//glnP//metK//
GO_0006046_8	proC//dacD//trkG//yebC//
GO_0006047_5	eutA//adhP//yeeJ//fadK//hypC//qseB//rcsB//
GO_0006048_6	manA//skp//kdpE//cspD//nac//cysG//
GO_0006050_6	yijO//
GO_0006051_7	holC//
GO_0006053_8	lpxB//
GO_0006054_6	tusD//cydA//fdx//fimG//ibpB//yajO//rnlB//
GO_0006056_6	potH//
GO_0006057_7	rclR//
GO_0006059_6	preT//ycjW//dnaC//yhbS//
GO_0006060_7	murA//
GO_0006062_8	mdh//
GO_0006063_5	nikB//yccS//insI4//holA//nikE//ydeI//feoC//yohC//minD//
GO_0006064_6	clcA//greA//hofO//psuT//yphD//yccX//
GO_0006066_4	opgH//hha//ydeM//waaA//cmoA//rnhA//elfD//tauC//pdeH//nuoL//hicB//yciG//ycdY//thiQ//ybaL//pdeD//mcbA//dppF//agaR//epmC//cheW//rbsD//yacG//sppA//soxR//hybO//lysC//glnL//ygiV//ung//degQ//mdtG//
GO_0006067_6	fadR//yejF//mgsA//
GO_0006071_6	pgaD//pstC//hrsA//ettA//fumB//manX//yadG//
GO_0006072_6	atpG//yiaA//cdsA//ampE//dcuR//
GO_0006073_6	mrcA//rpmH//truD//arsC//thiP//ushA//yraR//qorA//paaC//cmtB//fimG//rssA//sdhC//ybjI//mdtL//raiA//aceB//proX//sstT//rtcR//
GO_0006081_4	mdtO//narU//uspF//livJ//yefM//npr//narK//arnF//znuA//ugpA//asr//tcyL//grcA//nikB//tig//rph//yejA//glvB//guaC//ulaR//clpA//ypdC//caiB//dhaM//fryC//fepD//hicA//htrE//rpmJ//thiL//thiE//zwf//idnT//dctR//bioA//xylH//asd//metR//wzc//tap//yhbY//dgoA//rfbD//mhpD//ppc//mdtD//nrfA//hexR//fadJ//phnP//ihfA//nadE//nrfC//dcuA//yajR//slmA//tcyL//mutS//elfC//lldD//yfcS//dapA//ygdG//argE//mhpB//dsbB//yagG//
GO_0006082_4	ubiB//thrA//cycA//pgaB//rffG//mhpT//rfaG//lysA//yggF//yggF//gsiC//rluE//yggW//hscC//srlB//wzb//ulaA//fdhE//bioP//mscS//ilvE//bcsA//exoX//eno//ilvB//dacC//ydeP//dmsB//panE//ompT//flgG//eptB//soxR//moaE//hcaF//baeS//glgS//mntS//mglB//proW//mazG//pyrD//gatA//prmC//solA//dsdX//cca//betB//hyi//clpB//mtn//mprA//rutE//puuC//clsB//proW//nusG//mdtE//ydhQ//tus//rpoS//rraA//hybE//galP//rhoL//kdgK//cdsA//hemA//yfdO//tcdA//dicB//rffG//chiP//ftsH//rlmI//glgP//agaI//srlD//pstB//rsmD//paaD//fimZ//yiaO//yhbO//tdk//amiD//rimK//agaW//fic//yciK//ytfE//ahr//mhpR//atpD//potB//rfaF//yoaA//nrfE//hemD//ibpA//hybA//rpmB//yeeO//nupG//lpxD//fliM//insE-1//betA//bioB//nudB//yjhC//cca//narP//mtgA//rhtA//ispB//pdxH//ycbB//nuoG//gadW//cfa//surE//intS//paaB//sdhA//murG//proA//hxpB//yajQ//rplQ//cmoM//lit//sohB//yphF//kdsC//wecC//glvB//acrR//rlmL//yraK//qseB//phnM//mdtN//flgA//glmS//sapB//exuT//yecS//katG//ftsX//fecC//ydjK//ydeE//pyrF//uspC//rlmF//sfmC//yegV//fhuD//ypjD//astC//yfcA//cycA//yihO//yjjX//mtn//mprA//ycbX//eptA//lptC//eptA//waaS//ghoS//ftsA//hemD//arnT//sxy//melR//queA//cutC//ascB//tcyL//narG//rbsB//rbsA//lacI//xylF//flgM//insI3//lldP//prpD//lspA//xseB//yegT//shoB//menE//rstB//trpR//torA//narL//ydcI//lexA//ligA//bacA//hipB//soxS//pflC//murP//asnS//murD//yehZ//ghrB//nrdR//torY//mtnN//ptsG//cusF//yigL//galS//rna//ygbM//bioB//casB//yeaD//trmD//entC//wzzB//cysQ//sufB//yobF//gadX//hisI//gltP//trpE//ubiH//mngR//leuB//epd//hemB//acrZ//paaJ//psd//aes//cysI//shoB//rbbA//glrR//ihfA//glpC//mltG//yidK//rlmF//yhaM//bglX//rplS//arnE//glsB//rcnB//yghG//dctR//dosP//yneE//fhuF//ynfK//tdk//yhjX//hdfR//rlmM//dusC//zapC//yehB//nlpD//ydjM//manA//clpS//elbB//dbpA//cysP//lsrG//nlpD//yhfK//narK//ynhF//narW//yfcG//modA//cusB//ydcI//sfsA//menH//ubiX//higB//yeeY//sgbH//iscX//srlR//nupG//ampD//ibsB//sugE//gnd//fliZ//frdC//sthA//truA//yjiQ//waaA//fepC//norR//yejB//ade//creB//phoE//tatC//dtpB//uvrC//higA//elbB//gadB//tktB//plsC//entD//mhpB//flgE//ytfT//ligA//glgX//npr//elaD//yajQ//yqiH//chpS//rsmG//tsaD//ftsN//narQ//uspC//ackA//yobA//smpB//agaI//rarA//yohC//hslU//lapB//thiP//ilvD//yggF//chiP//yjbE//rne//tusC//ynbB//mrdA//yegS//galU//rdgC//yijO//recO//cpxP//sbcD//cadA//dapA//cadB//epmB//gstA//rbsR//yhhT//xisR//livJ//panD//dmlR//mutT//deoB//ybiS//folX//bglJ//rsmI//mnmC//lysA//zapE//zntR//poxB//waaC//rsmH//galU//fruA//yjjW//dtpD//gstB//dsdC//prs//gyrB//lsrD//elfG//coaD//gstA//yihP//arcC//tsx//ssuC//hypC//pdeH//chbB//dnaT//rpmG//nadC//pinR//agp//yadG//glvC//yhcN//yajD//yhjC//yieL//helD//agaC//yajO//pgaB//atpB//vsr//epd//fre//gltI//rlmM//ptsP//pcnB//glyA//ygeW//lgoD//bdm//dctR//argO//torY//dcuA//rutC//gcl//rfaH//rbn//cyoC//ligB//dicB//exuT//btuE//ribA//nrdB//rusA//cycA//yeaK//cobB//hyfA//cysE//glcF//dacD//hypT//cspC//cobB//cobC//rnlB//cpdB//
GO_0006083_6	pgaA//recT//frwD//hipA//fecB//yedA//
GO_0006084_6	dctA//proB//
GO_0006085_7	fimA//yjhC//
GO_0006086_8	hybB//
GO_0006089_5	yafN//potC//uup//csiR//pbpC//araG//ydeI//envR//yciV//rseB//arnD//cysI//narK//hslR//arsC//cheY//elfA//cfa//fimZ//gdhA//abpB//murI//gloA//hybO//ybjX//rhaB//rpnD//ortT//fadB//
GO_0006090_8	ompL//yneJ//paaD//lpoA//phnM//nimT//rhaS//rnc//rplT//recQ//idnD//nadB//yidZ//ybcC//rffG//ybiA//rrrD//acrZ//npr//hemL//malP//thiC//glpC//der//shiA//priC//kefB//ung//oppC//kdgT//sdhE//
GO_0006091_4	ygjH//ddlB//paaJ//nrfG//ubiF//rclC//yrfG//ais//yceD//adiC//alsB//flgK//umuC//ynaE//puuE//adiA//wzyE//frvR//miaA//bepA//frsA//yjjU//rpoE//hicA//gltK//fixB//bioF//minD//galS//yojI//nagE//hinT//cysB//efeO//oxyR//ydfH//ampG//yfiC//pflC//ycjQ//btuF//puuA//yfeD//ubiF//xanP//sdhA//sulA//ldtB//rpoD//patD//oxc//rutF//proS//insF-1//rsmH//topAI//oppA//nfi//purR//umuD//glcD//dmlA//yggX//sapA//lysR//mntS//yaiV//lysS//hslJ//cedA//chbG//gsiA//frr//basS//xapR//yehP//secA//menC//ytfT//fliK//rzoR//hisQ//flhE//cspA//thiI//iap//vsr//potE//gpp//rihB//fnr//dmsA//ygcW//ddlB//dgoT//rnhA//cysU//gpr//rpsM//dgkA//ada//folP//caiT//dusB//afuB//rplM//ldcA//rhoL//trpR//opgH//ftsH//thyA//
GO_0006094_7	rffH//fliM//ynbB//cysI//mrcA//hicB//radA//fucO//actP//recT//
GO_0006096_6	elyC//patD//yadG//bioD2//glnH//parE//yobF//tnaC//moaD//ybdO//bcr//polA//eutK//ybjL//ydjJ//mcrB//fur//pgpA//
GO_0006097_5	rpmC//trpS//ybjG//frdC//menF//
GO_0006098_6	aas//arsB//comR//nrdR//hybG//
GO_0006099_4	ybdN//phnL//ykfI//fes//ynfK//cdsA//amyA//thrS//lipA//guaD//macB//thiH//envR//pflB//cvpA//yeeA//hisM//
GO_0006101_6	artQ//uhpA//nagB//rsfS//fepG//dsbA//thiH//cusA//sdiA//ybdN//nudF//sdhC//mdaB//ihfB//arsC//nuoG//fimB//
GO_0006103_5	hemN//wzzE//xisR//
GO_0006104_6	dctA//intZ//fabA//
GO_0006105_5	chpB//fadL//ispH//arnE//pitB//rffT//galF//nagB//
GO_0006106_8	bioD1//
GO_0006107_8	ftsL//
GO_0006108_8	apt//pinR//cbeA//cytR//yaaU//
GO_0006109_6	panB//pal//ygeW//cysQ//kilR//groL//entC//yidA//ilvL//
GO_0006112_5	minE//dsbA//phnM//hofC//tldD//rzoR//glgA//arcB//
GO_0006113_5	argA//osmF//comR//fdrA//speD//cydD//yfcS//gatC//hsdR//actP//ebgR//rsmD//lpp//
GO_0006115_6	lapB//
GO_0006117_5	glpD//
GO_0006124_6	tqsA//
