#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgcA//yjtD//frsA//pcm//
GO_0005996_4	glnQ//ribE//artQ//chbG//ybcL//ycdX//qseC//acnA//rimJ//cheY//hofO//pgaB//menE//casC//ybcF//yiaT//lysO//gppA//iscU//aphA//yagG//dacD//yeaK//yjjQ//hha//ettA//rluF//slt//ybiT//pckA//araB//cusC//ybjL//hyi//gnsB//cspC//iscR//nupG//cbl//gcvR//pfkA//cusR//mlaE//ynfE//hybA//fimF//queG//araE//bglX//ycdY//avtA//ycjR//amiC//ybaE//yhhT//dcuB//casC//scpB//sgrT//coaE//setB//yafE//mglB//nusG//ymfK//yciE//dppB//rplF//guaA//edd//intS//trmB//envR//aldB//agaV//ybaM//msrA//gutM//norR//recA//gltB//bioA//
GO_0005997_6	coaA//
GO_0005998_7	yjiM//
GO_0006000_6	lgoR//insE-1//ftsY//
GO_0006001_7	mrdA//epmC//
GO_0006002_5	rpmB//tusE//xseA//
GO_0006004_6	ttcA//zur//ydfK//ogt//ttdT//mntS//
GO_0006006_6	pgm//aes//hflX//clsB//rpoH//rof//aroA//livG//elfC//yebK//arfA//nusG//sdaC//yagE//kdsA//lepA//ynjA//rplR//marA//betA//yhaC//ftsB//yhbS//
GO_0006007_7	tcyL//ubiJ//mutH//
GO_0006011_5	pbpC//
GO_0006012_6	hisI//narH//lacZ//yraK//hyaB//mnmE//yedF//frvA//rpnD//
GO_0006013_6	groL//sucD//
GO_0006014_6	gutM//yraI//frwD//
GO_0006015_7	fadD//nirB//
GO_0006020_5	tisB//
GO_0006022_5	nfo//pyrG//intZ//fumC//lolE//ftsP//insI4//yjaA//ybcJ//rclB//valS//mcbA//puuB//queC//ynbD//bisC//ldtC//yeaK//ubiI//tcyL//yehA//rmuC//ygbM//lpxB//yqiJ//dcuC//tdcA//rnpA//yiaL//yihV//ibsC//pth//thyA//ydiK//mdtE//yhjB//yfgI//eptC//bamD//pgm//gltX//argB//nuoB//acs//grpE//dsbB//pheT//pntB//rzoR//fic//uhpT//xylR//ykfI//lsrG//rssA//btuD//kgtP//uspE//hemL//udk//yraJ//waaU//glcF//
GO_0006023_6	iraP//asnB//livK//yobA//cspD//tcyN//ugd//mntS//coaA//mdh//afuB//moaC//gltX//cynT//waaZ//gapC//pyrG//hypB//yqcG//soxR//zraS//yaiV//rbsR//dinQ//dnaT//hiuH//chpB//xthA//srlE//araA//glpF//ompF//norW//xanQ//tynA//rplP//ygiV//lysC//pnp//
GO_0006024_7	yjfF//yhcH//asd//holA//gudP//cysG//rluF//yphF//rlpA//hdhA//mog//argC//fimE//soxR//srlD//ykgA//betI//tufA//btuD//hscC//rapA//macB//mpaA//frvR//sdhC//sbcB//narP//rpoH//hypT//yiaM//pspA//yheT//ssuB//ibsC//frlA//ihfA//sthA//yhcD//yjgX//
GO_0006026_6	frdA//ygbI//tag//folE//narV//wecC//nepI//apt//yjiA//ompN//
GO_0006027_7	insA-2//ydcT//torY//nrdR//ecpR//ccmG//murI//frr//fadE//bglJ//
GO_0006040_5	rluE//def//malK//tatA//fimA//fepG//priC//rcsB//waaG//gadX//fabZ//mepM//gspE//secY//yjcO//ftsH//sgcA//
GO_0006044_7	napA//ralR//ribE//glgX//hcaR//
GO_0006046_8	mqsA//alsK//hypB//ycjP//
GO_0006047_5	citC//hslR//waaB//ybdG//ribA//aceF//hyfF//
GO_0006048_6	paaB//pgaC//rutR//xylR//baeS//glpC//
GO_0006050_6	ldtB//
GO_0006051_7	srlE//
GO_0006053_8	ymgC//
GO_0006054_6	tyrS//chbB//arfB//shiA//rbsB//tldD//eutK//
GO_0006056_6	groL//
GO_0006057_7	fryC//
GO_0006059_6	eno//ybaQ//mlaC//murA//
GO_0006060_7	ssuB//
GO_0006062_8	yfjV//
GO_0006063_5	leuO//fryC//hisS//cysN//ydeP//ybgQ//speA//yfiR//sufE//
GO_0006064_6	sxy//rpsL//mppA//fcl//accA//upp//
GO_0006066_4	yidE//ymfK//dmsC//phoA//cmoB//yihP//fabR//cbeA//puuA//ybhD//rtcB//dkgB//tolC//pykA//hisS//kdsC//grcA//gnsB//nrfG//serS//mtlD//wecE//ynhG//thrC//edd//thiM//yeeL//yhbO//glpX//citT//aaeA//ydjK//
GO_0006067_6	yegS//agaA//yhcH//
GO_0006071_6	kilR//ygbL//nirB//yhfK//emrB//cutC//kdgT//
GO_0006072_6	aldB//oxc//ubiA//rbbA//opgD//
GO_0006073_6	serC//ptsI//gluQ//emrK//ispA//rplT//caiE//cca//cysC//folX//hyaB//rpsT//adeP//narJ//pepN//yidQ//alsB//frdA//roxA//mrr//
GO_0006081_4	ihfB//dnaK//pfkB//ybhR//osmY//ampE//lldD//yedL//trmB//frlC//pstC//cydC//ydgA//narI//yegV//emrD//ytfT//eco//argD//fabH//ybhD//yahK//sdaA//acpT//livM//pgi//talB//cadB//frmR//hypT//proB//priA//waaJ//glsA1//fkpB//abpA//ygeV//pgi//ybdR//hemH//yghB//rssA//recJ//ydcO//pepQ//fhuB//ldrD//yphC//fiu//ygeA//ibpB//yjiQ//yaaY//murI//ypdB//prfA//yehU//yacG//ptsI//kdpD//xerC//rlpA//mscM//uidC//dnaE//iscS//manX//
GO_0006082_4	npr//rpsE//hcaR//menE//rpsR//hicA//surA//ompR//lpoB//tolC//rsmG//sgcR//emrY//hyaD//yobF//kefF//ybhP//hemA//caiT//asr//rhlB//rzpD//arnD//cynX//ubiJ//fimD//gluQ//yhaV//ygbM//afuC//fau//cspB//lrp//luxS//mrcA//mgrB//fliK//hisD//fau//frdC//ccmD//cdd//frwC//lptF//ulaG//sdhE//uhpB//pspG//deoB//yebG//napC//hcaT//tolQ//ybhA//zapA//ffh//dusC//sdaB//yedP//speD//dpiB//ompF//selD//nei//putP//mscS//ftsK//mazF//btuE//mdoG//pgpB//yegT//pstB//yeaV//frmB//yadM//rffG//cysU//lgoR//yagG//curA//cyaY//msrP//ycjW//cysI//prfA//casC//fadI//xapB//yiaM//alsB//rfbD//exuR//nadE//rutD//aroD//sfsB//nagA//tehB//kdpF//ribA//prc//ribB//cdd//rhaT//fliG//rfbC//yahD//rplS//ade//entD//bioD//tomB//tilS//lldD//avtA//pncB//recO//plsB//pheS//pta//murR//nupG//gutM//yihW//yebS//dpiA//yaiV//pphB//nupX//gcvT//frmB//nimT//metC//norW//ydfG//yciT//citT//tus//sstT//arcA//fimB//hda//yidC//fabG//fumB//maoP//glgS//yajL//gadE//patA//asr//lolC//murG//gutM//agaW//rsmI//bglX//panF//dnaE//rhtC//cas1//rplJ//argG//yphB//holD//ompW//ftsP//fliL//yejE//rsmA//intF//rcnA//yfgI//patZ//secF//cpdA//pyrC//yhhT//exuR//fepB//ppk//insA-2//nusA//narQ//fhuC//pdxH//aceK//murA//mazF//gsiD//exuT//ybhJ//dnaG//ibpB//rusA//speE//recF//sgrT//sgbU//feoC//mepS//cnu//bioC//ybhJ//cytR//oppA//ybhA//wcaB//rstB//surE//mepH//mipA//paaX//fabH//rimM//nagC//lpoB//cydA//ybiT//phnK//purA//ubiD//allS//baeS//fliT//abpA//tdcG//potG//speD//tolB//araC//trkG//insH-5//yafC//proP//tdcD//rcsB//scpB//ftsZ//gabP//ftsL//rlmG//fdhD//potB//tktA//glxR//ilvL//hipA//guaD//yddM//rimL//holC//yafC//yraJ//yeiL//waaY//yfaV//deoA//mltB//deoA//rpsM//yidL//thrL//yebC//ycgR//rluE//mazG//nusA//xylR//torI//dnaG//ybhJ//mtfA//rhlE//rnhB//apt//fimA//hemA//ygbL//thrB//ygjR//yadI//ettA//rlpA//tynA//rlmM//pncB//rho//napC//polB//cysU//ydeP//valS//gcvA//tpiA//rhtC//tig//kdpD//yhhT//sdhB//dapB//cobT//narG//fliA//decR//epmC//yjcS//epmA//livK//fimC//ftsP//menD//pnp//mazF//bcr//sbcC//xthA//phnN//purT//holA//dxs//lspA//evgA//rhaB//mcbA//yibA//degQ//eco//yjjB//ivy//rlmF//rhtC//ptrA//argS//moaD//yegD//yfjV//glpG//ybjX//ompT//pheT//nagC//opgC//cspI//ydjE//topAI//evgS//flgG//narH//lldR//comR//macA//rplB//nfuA//yjaA//sgcB//umpG//sfmC//bglX//opgE//murG//hflX//fimF//rzpR//atpH//rhaA//leuS//epmC//phnO//mdtP//fimD//ygeR//rfaE//cheW//slt//ycbV//rhaD//moaD//gudX//rpsN//purR//mrdB//rpnA//tsaD//rfaH//menB//dtpD//rluC//proQ//maeA//ybjL//elbB//mdtL//rsmA//sdaA//metG//hofC//clsA//gpmM//sapD//dcuC//pykA//rpe//iscU//yceK//opgG//tnaB//nirC//ppiA//lpxM//glcB//menB//cspC//kbaY//ompL//rihA//araB//ampE//adiC//ybhD//ttdT//yhjD//ynbB//patZ//gudP//bolA//hybA//ampG//sbmC//tisB//insA-1//clsC//deaD//frvR//nsrR//rplP//ptrA//elyC//glpA//srlE//gor//hemG//treR//paaH//rpsA//exoX//ybiJ//frwD//rstB//abpB//mnmA//norW//ybeY//yegS//dhaR//rlpA//rmuC//rpmJ//ppsA//
GO_0006083_6	mtlD//yciE//secG//ydhC//kduD//yaaU//
GO_0006084_6	xylG//ybgP//
GO_0006085_7	hisQ//glpC//
GO_0006086_8	yehW//
GO_0006089_5	caiD//cpxP//yjjX//rplC//mmuP//mdlA//wcaB//pspA//cyoD//ftsQ//fliZ//cheB//fimH//rhtB//mtlR//bdcA//bioF//ugpC//feoC//fdoG//kch//clcA//gadX//mzrA//fimI//fsr//ybdO//rne//rbsC//
GO_0006090_8	cpxP//metB//nth//phnK//tdcG//narG//dcuS//mnmC//fimA//yhjA//puuE//rsmE//lgoT//hofP//tsx//rzpD//cadA//dsbC//cas1//fruB//hemH//insI3//rpoA//ybiX//ldrA//rutG//frvB//ybjI//fadK//pgaB//cysB//
GO_0006091_4	ybdO//yiaO//dtpA//pyrH//lolE//dbpA//murP//adeP//pheM//fre//rseP//phnP//arcC//yidC//rpoA//purA//ydfD//fimA//dgcJ//ybgP//pyrF//rimI//ypdB//ptsG//fliD//ogrK//ftsY//pdhR//cmoB//csrD//yobA//yabI//infB//rfaB//treA//ybhS//ugpE//sodB//fecD//rffC//phoB//intQ//hyfC//arcA//chbR//ompC//ybjD//rho//sufC//agaW//lysS//cysH//flgA//argP//adhE//galT//fdnG//pflC//pheS//pspF//rluE//ygeA//garD//zupT//ynfF//yqcC//creC//yihI//ygfX//ycbB//rlmD//nrfB//proC//pstA//grxD//ydeE//kdpF//ynbD//dpiB//cysQ//sodA//rph//arfA//hicA//frc//deoC//lpoB//frlR//fnr//araE//tomB//yiaN//corA//yicJ//talB//ivbL//narQ//fimG//dgcM//cmk//uspB//yedP//oppA//trg//folM//tyrB//dsbB//oxc//yfbR//pdhR//frlB//nuoE//
GO_0006094_7	yhaM//rcdA//gltS//ulaG//ais//hcaB//mazF//insI-2//frdA//mazF//
GO_0006096_6	yjbG//lpxL//hofC//yeiG//sstT//hcaC//ycjY//dkgB//exbD//sgcA//fabI//rpmG//diaA//betB//rffC//recA//nupG//dapD//
GO_0006097_5	fdoI//phr//yieK//cysE//hypB//
GO_0006098_6	fdoI//eptA//corA//mscL//folC//
GO_0006099_4	metF//moaB//mrp//lgoD//infB//ibsD//fliA//cobT//ybcC//yegS//pstS//potG//ilvM//yigL//ydgA//emrD//csgG//
GO_0006101_6	iscS//trpS//tusE//fur//ybgP//yfdS//napB//ubiE//yjeI//mhpA//trmO//rfaE//csrA//yfgI//ptsN//envY//rfbX//
GO_0006103_5	holC//iraP//phoB//
GO_0006104_6	trxA//rho//waaS//
GO_0006105_5	eptC//yfdC//ugd//atpD//artI//endA//borD//ybbY//
GO_0006106_8	kefB//
GO_0006107_8	sfsB//
GO_0006108_8	prlC//hsdR//tonB//radD//eamA//
GO_0006109_6	uspF//yihP//ahr//pabB//infC//hyfF//rpnC//ycfS//fruA//
GO_0006112_5	fhuC//nuoE//bluF//glpF//ytfP//glcA//recG//yddM//
GO_0006113_5	tdh//focA//creB//metL//artJ//mak//rsmD//sgcE//yidQ//malX//elfD//dhaR//rbsC//
GO_0006115_6	frlC//
GO_0006117_5	fliL//
GO_0006124_6	mreD//
