#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rcnB//feoC//nrfG//yfdG//
GO_0000162_7	rplF//rhoL//agaB//mltG//asd//yidD//ribF//ccmH//osmF//
GO_0000255_5	hslU//yfdK//lacY//speE//ldhA//
GO_0000256_6	gmk//aroP//hybF//gspJ//puuP//
GO_0000270_7	aaeB//rhaA//garL//arcA//potA//asnB//mqsA//yjeI//yehC//lpxM//ybiI//lpxL//cpdA//aceF//rbsC//tolB//creB//yigB//hisQ//nudB//hisA//pyrH//rsmA//prmB//nagD//tufA//yiaN//adk//metF//rpsQ//sapA//ynfH//modB//insA-2//ptsI//ftsB//sufE//ybdN//aldB//aroB//fadM//ftsK//yedA//citT//argF//cheZ//ycjU//secD//gldA//fis//asnA//cho//gcvA//ptsH//yggF//galK//rfbX//yefM//mtgA//sfsB//aphA//argE//ulaR//
GO_0000271_6	acpT//gntK//ddpX//emrK//gadE//mglC//lon//ygeR//cydC//grcA//mak//dnaG//selD//ychO//napB//soxS//clcB//mpaA//wcaC//yfjR//trpB//hybG//ydfK//yfcF//rpsQ//astB//fecD//dfp//secB//ompL//cobB//yhiM//yqhC//dpiA//psd//ebgA//ruvA//intA//sgcB//cysG//nrdI//ompN//yihR//rfbC//hypT//rzoD//sspB//fruB//nagA//livM//
GO_0000272_6	nusG//argI//ydeE//yjeI//holB//hdhA//
GO_0000302_5	hfq//hypF//eamB//rfbC//araB//araF//marR//hslV//cca//yobF//torS//ydaC//yajL//yahI//cptB//sgcR//dapA//glcF//ybiS//iraM//glnB//argS//entC//yhjV//mcbR//dctA//narK//murJ//cobT//fpr//yihX//
GO_0000303_6	glnQ//yfjV//
GO_0000305_5	rplE//rluB//frr//
GO_0000372_11	malK//
GO_0000375_9	thiM//
GO_0000376_10	tufA//
GO_0000413_9	deaD//ytfT//tusA//aroG//avtA//gabD//aroF//ddlA//
GO_0000451_7	oxyR//modA//tag//amtB//gstA//
GO_0000453_8	yfbU//ygfI//torD//ubiA//cutA//
GO_0000455_9	xylA//hisI//yagF//ytfR//gabT//recQ//tdcR//
GO_0000462_11	abgA//yidQ//
GO_0000469_8	argO//
GO_0000470_10	hybE//
GO_0000478_9	lgt//
GO_0000715_6	mreC//
GO_0000716_7	gltX//
GO_0000724_8	gapA//
GO_0000725_7	ynfH//minC//insA-2//rnlA//elbB//sgcE//
GO_0000726_7	dsbA//
GO_0000731_7	phnH//cbl//yagJ//rhtA//hpt//ptsH//ybaT//
GO_0000737_7	uspG//
GO_0000738_7	frvR//ybgQ//yhgH//
GO_0000746_4	uup//
GO_0000820_7	rluC//
GO_0000902_5	dkgA//
GO_0000910_4	rcsF//moaB//acrD//pitB//rpsR//deoB//lpcA//yafS//dsbG//hmp//lhr//yedX//thrC//pyrG//tusD//acnB//modC//mprA//
GO_0000917_6	proP//argC//dcyD//ftsB//rpsJ//
GO_0000918_6	argA//dgcZ//yjbG//secG//
GO_0000920_3	groS//dicC//puuA//dnaJ//yfaL//
GO_0000921_6	ybaQ//
GO_0000966_8	insB-2//uxuB//glpC//ldrB//
GO_0000967_10	lpxK//sgrT//ybaL//
GO_0001101_4	elfD//mdlA//yobA//sodC//ugpE//yehC//ycaN//cysN//hisH//fucA//ydhQ//cspA//rpe//yiiM//ynfL//pitA//dicB//aroG//atpD//insA-1//glcC//dam//rsfS//pcm//ymgC//essD//
GO_0001121_7	galR//recA//
GO_0001123_8	ompC//
GO_0001124_8	yibF//
GO_0001407_7	dtd//bdcR//narW//ispB//
GO_0001505_4	mngA//yaaU//fucK//aroG//mmuM//srlA//chpB//citC//ftsP//bamB//hinT//ynbD//purB//dusB//gadX//fimB//
GO_0001510_5	rlmL//dgoR//gadA//fdoG//trmI//lyxK//ais//rffH//malG//nuoI//purA//galT//cmoB//cysD//yjbF//ompN//ypdI//oxc//rpsD//phnN//insK//rluB//hybG//queG//cysG//aidB//waaY//ugpE//insI-1//dgoT//wecB//yhaC//grcA//ibsE//kup//flgG//lgoR//ygcO//pykF//cysD//
GO_0001514_8	yhgF//
GO_0001522_7	soxR//entD//fryC//rhaB//yfcG//rph//plsC//gph//accD//csdA//nupX//ftsH//caiD//
GO_0001539_4	yaaA//yjjU//yidD//livM//mliC//nuoE//relA//ydiF//yajQ//hcaC//tesB//nrfB//gloB//yciG//bfr//osmC//glsA2//thiQ//lipA//yajQ//artQ//uxuB//glyS//dctA//bhsA//insK//gpt//dhaL//puuC//ydaV//rplF//
GO_0001558_5	lrp//bamC//nei//rimK//hcaC//malI//preA//ycdY//
GO_0001561_6	elaB//
GO_0001666_4	msrQ//
GO_0001676_6	ulaB//erfK//ybeQ//
GO_0001680_11	hisS//
GO_0001682_11	xerC//
GO_0001731_7	tsf//
GO_0001762_6	lasT//
GO_0001887_4	baeR//valS//glxR//
GO_0001896_5	ddpA//eamB//yieK//ispB//
GO_0001907_5	yidR//queE//rhtA//lpxP//
GO_0001932_8	atpF//pstB//
GO_0001934_9	frmA//
GO_0002047_6	malI//nei//
GO_0002097_8	tatE//msbA//ligB//nemA//gcvP//yciF//yqjI//uidC//pgl//prpD//essD//dosP//rseC//rpoD//trkG//dcuS//manY//yagJ//cusC//
GO_0002098_9	rep//arsB//cbpM//ung//mqsR//frdB//envC//yhdW//yjeH//rzpD//dsbB//ytfR//nuoM//
GO_0002099_9	fre//topAI//
GO_0002100_9	ushA//
GO_0002101_9	glgX//yfdC//
GO_0002128_7	fliZ//glcD//ebgR//fhuC//
GO_0002130_8	asnS//
GO_0002131_9	ygeV//
GO_0002132_9	holA//
GO_0002136_10	acpP//
GO_0002143_9	yfcR//suhB//mdtI//rpsO//cheR//parE//
GO_0002181_7	fumB//appB//
GO_0002183_5	elaD//
GO_0002184_8	xisE//
GO_0002188_6	mscK//
GO_0002190_6	fumB//
GO_0002192_8	sufA//
GO_0002252_3	paaK//manY//ispA//yqiI//znuC//rhaA//lolB//lysP//glpF//thiI//
GO_0002790_6	ydeT//gyrB//hprR//yohC//fau//appB//hyaD//
GO_0002937_9	btuR//
GO_0002938_8	argI//
GO_0002939_7	pfkA//
GO_0002943_8	gpsA//
GO_0002949_8	asd//mglC//ypdI//treB//
GO_0003333_7	nuoN//araD//acpS//rnhA//cyoE//yebQ//yddM//thrC//yqiJ//yehB//iscS//hscB//arnE//hemL//menB//uxaC//malY//ytfT//narL//ykgO//groS//rzoD//cutA//osmY//nlpE//yhjR//gppA//nanR//tusE//rplE//putP//ubiJ//mreD//ybdO//ftnA//ybcF//fur//menC//dxs//acpT//cysI//arfA//ydjE//nfi//priB//ycgR//actP//hyaB//dcuA//
GO_0005975_4	rarD//mhpB//rpmH//znuB//mrdB//tktB//adhP//yifB//intS//mutS//glpG//ibaG//psuG//ftsE//aroK//araF//mhpA//srlA//abgR//fruB//gspE//sixA//ispH//ydfH//acpS//fadB//mutT//uof//tus//uup//dps//uxaB//rcnA//rluE//zraR//queE//zntR//phr//ompL//hda//hflK//ttdB//lgoD//ygaV//msrQ//dgoR//metQ//pyrE//pgpA//adiC//luxS//garK//thiE//ftsN//borD//serA//atpB//dhaK//dcuR//opgH//caiB//ispG//dacB//mrcA//yebZ//yjfP//rpsB//ribE//pbpC//nadK//yihW//zraR//menD//erfK//mtfA//xapB//tdk//nrdF//hisG//ugpB//yihI//hicB//rhaR//narW//lrp//degS//katE//cptB//trpR//hemA//ahr//flgD//gatB//ynaE//ralR//rplS//sodA//ychH//xapR//hybB//yebC//rfaE//mgsA//pinQ//yhbQ//yehP//ycaO//skp//yahN//yneJ//rplE//pyrG//kefC//lptA//acs//slmA//priA//rbsR//shoB//yacG//dinJ//thiL//cyaY//nrfA//paoC//opgC//lpcA//arnF//ppc//hflK//ybiJ//trkA//rseP//fecB//ilvI//gshA//lsrK//garK//nuoB//moaE//yhjA//paoC//pgk//aldB//ydjJ//fkpA//ypjD//adhE//trpB//cyoB//truD//fimG//dicB//cbl//rnhA//atpD//dacD//metQ//clpP//emrY//aas//cdgI//phnI//gspJ//mntH//proC//truD//gloC//degP//hemF//ybiO//cpdB//zwf//mdtL//tpx//murR//pdxA//cdsA//rsmE//ybjC//rlmE//acpH//grcA//ppsA//ccmA//murE//priC//otsB//ubiJ//cas2//yieF//ubiX//macB//tolA//pgi//yagG//ftsL//mtgA//hemH//yehX//cynX//nudB//rpsK//ddlA//pheP//dinQ//aceA//ascB//ada//ybdO//hexR//citX//livF//ftp//tynA//csrA//tyrR//tmk//artM//hisQ//ymdB//purT//gatA//yoeB//rplK//yfiF//alsE//rraA//rbfA//glpD//waaQ//nlpE//pepD//gdhA//nrfD//tktA//argG//hemG//aspA//aroF//chpS//rfbX//bluR//rpsA//yfdC//cyaA//relA//yihU//gmhB//rbsD//hsrA//hemD//bfr//pdxY//
GO_0005976_5	hflK//ssuB//ilvE//kdpC//fdoG//pspF//xapR//yifB//yidC//ilvB//fucA//yadK//holD//dgoR//yibH//yqaA//ykgM//malG//gatA//yphC//purT//rpsE//iaaA//seqA//yqeG//frmB//tusC//iscX//minC//marA//ydiF//eutR//pepT//cspG//rpsM//ycbU//cas1//ycbB//ybdZ//arnD//ygjK//nagC//bglX//yddM//cmk//mutS//proA//yfiF//treC//dmlR//ubiG//accA//nimR//lldP//cysU//dnaA//arcA//yabI//accA//
GO_0005977_6	metE//ugpA//rpsM//ppiC//ampH//dgcM//srlR//yieL//
GO_0005978_7	rpsM//ydcR//yaaY//rclA//
GO_0005979_8	poxB//
GO_0005980_7	alr//uup//pphA//
GO_0005981_7	mhpR//
GO_0005984_5	gcvT//cecR//ptsP//mdtF//guaC//trxC//ycjY//entF//rplL//yiaF//holA//
GO_0005985_6	pdeF//
GO_0005986_7	yehW//
GO_0005988_6	nudC//psuG//
GO_0005990_7	metR//ompG//
GO_0005991_6	clcB//casB//rpsP//yfeD//dsdA//
GO_0005992_7	leuA//polB//
GO_0005993_7	ygeA//trmH//ypjD//
GO_0005994_6	envZ//
GO_0005995_7	hofP//
GO_0005996_4	ldtD//tusA//yobA//yhaO//narZ//ygeV//ymgA//dgcE//proX//yghO//tldD//rfbD//fadD//ebgR//wecA//yidL//ybhP//mdtO//yfeW//ulaB//csdA//ccmH//dcp//yraR//yfhM//rpsE//serB//agaB//adeP//tauA//cdh//murC//lspA//yafQ//ompW//ydjH//caiE//yahI//yqaA//ldrA//ndh//glnB//dauA//hemF//paaX//pykA//cbrC//pabB//fre//lpoA//thiD//eutB//artP//cynX//yghO//ppc//ariR//ulaR//eutA//matP//ygeW//barA//ypjD//talB//uxaA//mtgA//yaiW//sucB//yecS//arcA//hdfR//pdxJ//gadE//eptC//ptsI//ydiV//sad//narP//rfbX//recT//zapD//ybeY//
GO_0005997_6	ulaB//
GO_0005998_7	cdgI//
GO_0006000_6	adk//nhaB//mscK//
GO_0006001_7	sdhD//glvC//
GO_0006002_5	frdB//ygbN//yidL//
GO_0006004_6	kdsB//hemB//ycgB//ftsQ//lysP//rpsQ//
GO_0006006_6	dhaR//manZ//corA//kbaZ//sufA//tusC//pgaA//rfbX//lsrB//ygaV//fliM//ribA//sufB//intS//sdhB//acs//fdnI//adiY//yhgH//wzyE//sgcX//ralR//alsB//
GO_0006007_7	tatB//glgC//ydiK//
GO_0006011_5	araG//
GO_0006012_6	fadE//barA//epmA//hypF//tsgA//nuoM//yfiC//dppC//minE//
GO_0006013_6	cirA//tdcC//
GO_0006014_6	fnr//dcp//dnaJ//
GO_0006015_7	birA//yibT//
GO_0006020_5	rpmB//
GO_0006022_5	rnc//yhdJ//uhpC//cheW//glcD//bioD1//prpD//ispH//abpA//rutF//ygjK//ycfS//hcp//bamA//kbp//ybbY//miaB//fecC//nagC//cysA//rnpA//glxK//gpt//ahpC//yijE//fixC//hha//aroA//narP//ulaC//fadH//ymfK//yedF//melA//pldB//aaeB//hdeA//yraJ//fliZ//nrdI//waaQ//dhaM//ygbI//manX//yfeR//fliS//yqcG//glpD//lsrK//aer//arsB//hyfR//rplB//hokB//hyi//queE//purN//uacT//opgD//fre//intS//rep//atpC//
GO_0006023_6	mrp//gmd//tufB//cycA//kdpB//hldE//trkG//degQ//eutD//tdcF//mukB//ymjB//mtlR//artJ//etp//lipB//araB//entB//uxaC//galK//tktB//nuoH//nuoN//recX//flhA//yafN//gabD//nagB//panE//rhsD//pepA//yfcV//trmA//rplX//uvrD//bisC//yjjX//dgcM//dinJ//
GO_0006024_7	kbaY//leuS//lacY//yehW//mppA//recO//yggX//yqcG//sxy//mdtG//thiM//allC//mhpB//galU//glvC//hisF//rfaE//yidL//ygjH//ilvE//cvrA//frvA//cysA//topA//pdeD//malP//gatD//rpmE//yhbS//yieF//narW//nuoN//umpH//yihX//pflC//guaC//narH//yiaM//yhbQ//
GO_0006026_6	recG//ilvC//potA//ynfH//yiaM//pgl//fimA//moaA//ulaE//phnP//
GO_0006027_7	sspB//elaB//narU//fsr//flgF//yagI//epmA//rhaD//yjaZ//srlA//
GO_0006040_5	thiL//atpD//uup//ybcC//ais//sufB//ybjG//amiC//nrfD//pbpC//bglX//adeP//thiQ//ynhG//rclC//ygiV//ttdR//
GO_0006044_7	oppF//citE//nimT//allR//rpmB//
GO_0006046_8	leuD//ade//sad//plsC//
GO_0006047_5	cmoB//yiaU//creB//tadA//btuD//fdhE//rapZ//
GO_0006048_6	lgoT//sgbH//tolB//caiE//wecE//gltX//
GO_0006050_6	pliG//
GO_0006051_7	surE//
GO_0006053_8	zntR//
GO_0006054_6	eutK//tesB//glcD//tbpA//rutB//deoC//zinT//
GO_0006056_6	yfeX//
GO_0006057_7	exuR//
GO_0006059_6	truC//maeA//kdsB//mdtG//
GO_0006060_7	truA//
GO_0006062_8	cadB//
GO_0006063_5	ribE//yqgF//hsdM//ybgP//holE//yghW//mdtI//mtgA//cysM//
GO_0006064_6	ackA//lptA//yhjX//alr//bglX//yfeO//
GO_0006066_4	ftsI//xapB//xapA//lipA//hisP//sufE//yghW//yiaF//clpA//speD//miaA//hpt//tusE//gabP//ileS//frmB//prpR//caiT//dgcQ//gntR//abgB//kdpC//ypjD//yhaV//yaaY//fadD//cpxA//yaiV//rpmH//lipB//arsB//ydhQ//
GO_0006067_6	artM//diaA//moaD//
GO_0006071_6	dapF//mrp//yrbG//rfaQ//intF//fhuB//iscS//
GO_0006072_6	mtnN//nlpE//yqcC//acrR//cusC//
GO_0006073_6	alaE//mcbA//speA//rpsD//yibH//glmS//cysN//ybcM//pykF//yqeF//rseC//ydeM//bluR//thiQ//barA//aroB//cadC//glpC//xapA//ptsH//
GO_0006081_4	fimA//creC//ascF//roxA//rpnD//yedA//infB//aceK//ubiX//mhpT//lysA//pspA//leuB//speG//rutA//ygfI//csdA//polA//cbrC//xisE//mzrA//folP//sgcE//araB//fadD//crfC//frlR//flhC//arnB//accC//bamD//uspB//dcp//yihQ//yciH//wrbA//torR//sfsB//thiE//cueR//cmoM//fimB//yefM//intE//fau//flgJ//rluD//lolC//dgoD//crp//galF//yehC//mrp//glcC//uxaB//prfC//maa//dgcM//intZ//rlmE//yhjC//rseC//glnD//pstA//fliA//fliM//fimH//
GO_0006082_4	zraR//yebZ//setC//adiY//fliK//tatD//agp//yoaA//envZ//yedA//lspA//spoT//yjiQ//tolA//yhbY//tamA//elaA//ubiG//pyrE//mdtP//sufE//preT//yiaB//rsmG//tnaC//yccX//bcp//panE//rutA//purD//rdgC//rimI//mlaF//lpxL//garP//frmR//soxS//tktA//mreB//symE//zapD//fkpB//ygbN//glnH//mnmG//pth//minE//ydhQ//marR//mdtI//dinD//rrrD//ybdZ//msbA//kdpB//cirA//rimI//yphD//hemG//ydgA//fimE//mhpC//ygjK//ompF//aslB//ispG//slyD//glmS//proV//mdtP//bamB//yijE//yhgH//ynhG//djlC//wecB//moaD//yobF//cca//gltK//yjiQ//glvB//baeR//csiD//nuoL//ybjL//hcaC//ghxQ//gadX//sfmH//cca//frdB//dgkA//rstB//gcvT//yohD//rplK//priC//lpd//thiH//dgoA//rpmB//waaY//nanE//ytfP//ftsH//ybdO//mdtJ//nanE//astB//bglH//yqaB//abpA//hybC//phnH//hxpA//msrA//recD//rsmH//ddlA//yqiH//mioC//fabG//dadA//mrcB//argC//plsC//hflK//rplX//ygcO//ybjI//nemR//bepA//kduD//nagA//ycgR//malS//paaG//tatD//rpsN//sdaC//yfdC//dhaL//yjiQ//fsr//recJ//dcuA//mqsA//rlmF//fadR//casD//ldrB//rof//fepD//elfA//sbmC//rplL//rpsT//dapF//fimF//hybA//serC//cusS//lptE//hypA//yahO//ldrB//rbsB//lgoD//mcbR//thiD//trpS//hsrA//udk//clsC//yhjB//yfaL//yegV//trg//yehB//csdA//agaI//yeiG//gltP//casC//umuD//gadX//cmoM//dapB//mutL//cysE//paaD//chpB//zupT//nmpC//ulaG//hcaB//pgpB//agaW//diaA//kdgR//cpxA//galM//aceA//rlmB//ghrB//ydeO//osmC//efp//bioC//puuC//nhaB//rlmL//dadA//fdoG//truD//prfB//hfq//rsmE//acrD//thrS//yobA//rpoS//modA//yhaV//prmC//carB//ytfQ//lepB//eno//nuoI//yahB//hipA//gntT//emrK//alsK//gph//cdgI//cysI//waaO//ubiA//tdcE//ybjG//secG//fabZ//yqeF//rlmB//rpmE//gcvH//ydiZ//cyaA//amiB//hemE//malS//melR//ycbX//opgC//leuO//mfd//yaaY//proQ//ade//lapB//phnJ//hemC//rlmD//wecE//sppA//yhdX//eutR//cbtA//lptC//nadD//menE//fdrA//lyxK//narJ//ibsB//rcsD//alaC//hchA//mutY//lsrD//bdcA//folP//potH//trg//baeR//nemA//pdxB//baeS//fryA//potA//fic//potF//fucP//ubiB//ygeV//exbB//actP//rsmE//dbpA//dppB//hyfC//abgT//ygiW//fau//ndh//rhtB//ydcP//dinB//hiuH//yjhI//trpC//solA//mscS//aroD//aroK//eptB//trg//lysC//polB//trpE//aroB//tag//glsB//ibpB//lpxC//yfaE//hchA//yceD//bcsA//livF//msbA//sufS//uxuB//yfdS//mngA//flgJ//sapB//cspG//trxC//kbp//fadH//zapB//alpA//ypdA//narY//nrdD//skp//vsr//recO//map//metQ//fkpB//rffG//trpGD//rplK//lipB//mdh//nfo//gpr//rmuC//thiD//hyaC//rpsO//rfaH//pstC//lpxM//narL//kilR//yhbX//tauC//glnE//dcp//rpsG//wecB//glpK//livF//rlmD//ydjL//rbsD//cusS//waaY//hslU//mepS//ymgC//ariR//mdtM//elfD//ccmC//ydiB//livF//glsA2//iscU//fliL//pabB//chbR//ybiO//epd//araD//ilvE//yiaA//yraI//dapF//yiaJ//fliT//opgH//metC//ydfD//katE//yfhM//allC//prc//bioA//fdnG//serS//rhaS//menI//mtlA//ygbN//pdxJ//rlmM//gntT//tsr//xanQ//patZ//dnaE//nuoN//htpG//lepA//ugd//roxA//fadL//sanA//rimL//eutN//rluA//chaC//pnuC//ampE//dgkA//xdhB//yphB//nrfF//yihT//gatA//aceF//sdhB//gcvP//bssS//paaJ//tusB//ftnA//ytfQ//yehU//aer//xylG//nanK//insF-1//
GO_0006083_6	ydeE//paaG//leuB//tdcD//elyC//ycdX//
GO_0006084_6	rffT//kbaY//
GO_0006085_7	fdoI//yidD//
GO_0006086_8	mltD//
GO_0006089_5	cobS//mcrA//nupC//rseP//torI//uhpA//folM//gapA//purU//recT//rarA//glnB//upp//lolC//etp//cedA//mltD//rbbA//yqiG//suhB//lolE//yebC//metL//ybiW//sdhE//lptC//chbG//yhgH//fabA//
GO_0006090_8	decR//yqiH//gsiD//trpB//malS//rpmG//gloA//shiA//rplE//tnaC//cheY//yghB//baeR//metN//yciE//plaP//rsfS//fetB//mlaD//araH//fimD//glmU//gshA//tyrS//rpsQ//era//ydeE//ydiB//tqsA//malI//wecE//
GO_0006091_4	fieF//rstB//caiE//rpsA//ycjQ//frsA//dacD//nuoE//rne//cysS//sgcA//betA//mdtE//bcsA//dmlA//glcE//fimD//ilvN//intE//ypjD//hisB//narV//roxA//birA//rclR//iscU//mutL//gudD//ghrB//rstB//rplT//ptsH//insH-6//araB//rmf//pnuC//clsA//ihfB//fucA//yfaV//ugpB//pgk//hybB//hofQ//nfuA//lolD//nanK//ybjC//idnK//ydjK//dicC//eutB//yiiM//greB//menA//csgE//mngB//dauA//yidC//fhuB//ilvM//sanA//dnaA//lysP//mscS//ruvC//wecC//menF//yohC//alsC//purN//ligB//yfiF//asnS//mazF//ynhG//yceO//paaC//insH-6//phnO//cydA//gntU//gph//xylB//emrD//yfbS//hpf//ugpE//ygiW//queA//mglB//sspA//puuE//glsB//rfbB//topAI//atpD//rplX//sfsB//dfp//leuD//rapA//secA//aceK//hrsA//abgT//pflA//cbpM//mgtA//yieE//luxS//epmB//
GO_0006094_7	yhgH//hofP//yaiV//talB//eutR//yqjI//xylA//ilvE//cheR//ligA//
GO_0006096_6	frmR//rfaQ//ycfL//holA//uraA//osmC//leuO//ydiZ//hybG//secY//argR//paaX//purR//mrcB//ycjW//zwf//pspC//bssR//
GO_0006097_5	iaaA//narZ//hisS//yahN//guaA//
GO_0006098_6	trmD//yejA//sdiA//allC//rplO//
GO_0006099_4	yedL//rplB//mltD//nanA//yfgI//tqsA//yghG//xseA//chbB//thiQ//ghoT//lpxB//ydjK//yfgJ//tpx//ilvE//marR//
GO_0006101_6	ispH//pstS//yfcV//manX//purF//hda//ubiB//nuoL//nrfF//hns//yjjQ//ygbN//thrC//eutN//rph//ribD//tauA//
GO_0006103_5	waaA//alaS//greA//
GO_0006104_6	acrR//sfmA//pnp//
GO_0006105_5	tsaD//ygbL//rsmA//hicA//tdh//panD//pitB//yraI//
GO_0006106_8	xylG//
GO_0006107_8	dgcE//
GO_0006108_8	ynhF//potC//cnu//rhaR//yfcR//
GO_0006109_6	ulaE//ldrD//sdhD//hslV//narJ//yafS//abgR//rfe//yiaN//
GO_0006112_5	lpcA//ssuC//prmA//tcyP//mdtF//ispG//dam//lpxK//
GO_0006113_5	nrdE//ompG//dacA//lptE//rhaS//ftsW//idnT//prpB//mntS//sfsB//xerD//fetB//yjbF//
GO_0006115_6	cysA//
GO_0006117_5	waaG//
GO_0006124_6	gnsB//
