#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	zapA//yggT//narK//murR//
GO_0000302_5	rnc//nagC//rbsB//lptG//yaiP//rimL//lsrR//trpGD//zntR//bcr//mutT//secE//ydiF//entE//mgtL//elyC//guaB//serA//glxR//phr//rpmE//nrdG//yhjB//ppiD//yicJ//oppD//glpC//ydiF//glcC//pnp//ygfZ//
GO_0000303_6	potF//nth//
GO_0000305_5	fdoG//mtlA//secY//
GO_0000372_11	aas//
GO_0000375_9	pepB//
GO_0000376_10	fadE//
GO_0000413_9	ihfB//chbA//pgaB//xylG//flhE//sutR//yhcN//selD//
GO_0000451_7	insB-4//ibpA//mrr//pepT//gstA//
GO_0000453_8	uraA//asmA//nuoL//sbmC//ybeQ//
GO_0000455_9	glpR//uxaB//iraM//dmsC//thrB//allS//ubiE//
GO_0000462_11	grxD//rmuC//
GO_0000469_8	yaaA//
GO_0000470_10	rraA//
GO_0000478_9	ybcC//
GO_0000715_6	folM//
GO_0000716_7	yjcO//
GO_0000724_8	hemN//
GO_0000725_7	sapC//chpS//trxC//waaZ//ymfA//glnD//
GO_0000726_7	murQ//
GO_0000731_7	topB//artQ//yjcE//ydjM//dut//srlB//hemA//
GO_0000737_7	pnp//
GO_0000738_7	manZ//gapA//yehD//
GO_0000746_4	ulaC//
GO_0000820_7	opgH//
GO_0000902_5	mazG//
GO_0000910_4	ybcQ//frdC//btuB//btuF//satP//marR//phnJ//yggP//yjjI//rluF//yhaJ//pabC//sohB//ade//hldE//yhgF//mnmA//arsC//
GO_0000917_6	elbB//mdtP//murR//gatY//sodA//
GO_0000918_6	nlpD//uxaC//intA//fimE//
GO_0000920_3	deoC//lgoD//ynhF//intE//macA//
GO_0000921_6	lsrB//
GO_0000966_8	murE//sucC//carA//rpsR//
GO_0000967_10	hofP//mlc//yraR//
GO_0001101_4	yhgH//tdh//yfgI//etp//allD//pabB//srlR//gapA//asmA//dicB//ybfA//yqaA//yfcQ//yedP//yijE//dinD//dusC//glsA//cysH//mraY//tesB//yehB//mhpB//mrr//alsE//flgI//
GO_0001121_7	chiP//skp//
GO_0001123_8	rplP//
GO_0001124_8	fucP//
GO_0001407_7	hypB//yabI//murB//rihC//
GO_0001505_4	lpcA//dosP//abgT//yqeF//basS//ycjD//frwD//napA//yjiX//ybiO//nagK//fumA//ompT//malX//ulaB//hybO//
GO_0001510_5	dtd//rlmM//mcbR//secA//dps//fryB//yjhI//fhuD//fdoH//waaU//yafE//putA//fryB//dnaE//yggD//rsmB//mscK//glcA//adeQ//adhE//acrZ//fic//nanA//ybdR//fadE//fdoI//lgoT//pntA//ompF//psd//zitB//eutD//argR//prlC//glcB//nikE//mtlA//miaB//wzzB//paaE//
GO_0001514_8	yehD//
GO_0001522_7	artI//yfiC//recX//malG//yedP//trmO//rpsQ//artJ//pheT//cspB//uraA//gmhB//yebC//
GO_0001539_4	xisR//ampH//nrdH//lgoT//frwD//artM//glyS//ftsK//rseB//dgoA//amiC//ypjD//ubiJ//rlmF//sgrR//dtpD//hscA//yneE//setA//rstB//rfaB//hchA//ygeV//agaR//nsrR//yidR//rarA//waaQ//rplB//ccmG//yifB//
GO_0001558_5	hyfC//yhhZ//dcp//plsX//hofN//mscL//brnQ//waaP//
GO_0001561_6	tag//
GO_0001666_4	ymdB//
GO_0001676_6	tldD//ydjM//lpxT//
GO_0001680_11	insA-2//
GO_0001682_11	yeeL//
GO_0001731_7	kefC//
GO_0001762_6	feoC//
GO_0001887_4	glnQ//ycjP//amiC//
GO_0001896_5	betI//rcsB//skp//glnQ//
GO_0001907_5	fsr//nhaB//fkpA//lepB//
GO_0001932_8	napB//sgcX//
GO_0001934_9	yjbE//
GO_0002047_6	htpX//glyA//
GO_0002097_8	crr//dmsA//greB//yfgI//oxyR//kefG//yahO//preA//lamB//znuC//fadK//ldtD//ydeM//ydcM//rarA//waaU//ubiJ//ybaO//yigB//
GO_0002098_9	gstA//trpL//gadB//kbp//fucI//ugpB//kefB//waaA//yahD//aspS//polB//tnaB//zraS//
GO_0002099_9	hcaR//pgsA//
GO_0002100_9	paaE//
GO_0002101_9	rpnB//pyrC//
GO_0002128_7	yihL//ydhQ//hicB//yddG//
GO_0002130_8	ygiB//
GO_0002131_9	metK//
GO_0002132_9	pgpC//
GO_0002136_10	hcaT//
GO_0002143_9	uxuB//gcvH//yieL//ygbI//amtB//glpT//
GO_0002181_7	adeD//glxR//
GO_0002183_5	rhaR//
GO_0002184_8	ftsX//
GO_0002188_6	glgX//
GO_0002190_6	ydcT//
GO_0002192_8	dapA//
GO_0002252_3	yjhP//hda//pyrB//kefC//nanA//borD//tsf//yagJ//kefB//yegD//
GO_0002790_6	selA//aroF//ldtB//djlC//fecD//garL//bioC//
GO_0002937_9	cusS//
GO_0002938_8	talB//
GO_0002939_7	prpR//
GO_0002943_8	degS//
GO_0002949_8	rutE//pheS//agaC//mnaT//
GO_0003333_7	ubiX//viaA//ykfM//appB//ybeF//purU//gltP//yciT//opgC//xseB//murC//hypA//metR//glpR//yadV//arcB//treF//idnK//ynjA//rihC//nanE//atpG//tolC//bglA//yoeB//ydgA//ydcO//dinD//hokE//sgrR//garR//yadV//kdgR//sspB//rpsL//trkH//ftsE//gsiC//msrP//yahD//rfaB//msrB//ymfA//basS//pgaA//gltD//hda//elfA//cueR//
GO_0005975_4	rpnB//yijO//yafO//yeaK//menD//proA//evgA//obgE//bglF//trxA//pgrR//cbl//yhjB//rseC//napF//rsmH//pgk//caiF//yhjV//narP//relB//dnaE//nusG//yfaX//bcsQ//yciF//galP//glxR//rlmG//kefC//gspJ//abgT//ftsQ//yghO//chbG//adeD//sbmC//oxyR//ompT//oxc//mhpR//tsaC//srlD//yeiE//yabI//rihC//ompW//hemA//napF//fabI//fis//rcnA//ybiA//rsgA//degS//nimT//katE//sfmA//ydcO//skp//fecC//mreC//ftsZ//uidA//ybiS//dmsB//tcyP//gadE//ybbN//priC//idnO//relE//gpr//cca//frdC//rpsE//phnG//yfdO//agaW//rpiB//pinE//ilvL//yfaL//torC//ydeI//rplC//pdeR//copA//yqaB//fadR//ilvN//csgE//agaB//yihS//yjhB//epmC//glgA//ettA//glsB//hybB//pepT//rpsJ//cfa//rsmD//elyC//cmtA//tusE//sodC//bamA//argP//fimG//nudF//yciT//ydfD//ccmG//oppF//carA//rlmL//yehB//sstT//dnaQ//ygcO//bhsA//relA//casD//yehB//smrA//map//ybiI//mlaF//hybA//livM//dhaL//eptC//yiiE//recC//norW//mraZ//rraB//flgE//tbpA//yagF//paaF//insB-4//suhB//sstT//fucI//gnsB//adeP//tadA//frr//cmtB//opgG//tktB//iraM//selD//ftsP//rng//yddA//dcyD//ftsX//relE//iscR//tktB//wecA//wecE//malI//yajD//hybO//marR//bfr//entH//yebG//recJ//fabH//ldtD//uvrD//yjhC//mrdA//glsA1//narH//eptC//fsr//gor//nrdI//mreB//folE//yraJ//fadE//yagG//ompG//hisP//lpxD//atoS//iscS//bcr//rffH//csgD//yjjW//ybaQ//ydjH//qseC//yeiL//sdaC//csiR//mhpA//sapC//gltK//ftsK//tsr//cusF//uxaC//yidQ//amtB//nrdH//yiaL//csdA//panC//pyrD//mak//rplP//ybhP//eutD//rodZ//hicA//astB//bglF//yfgI//rarA//pheP//tsx//flhD//hemL//ycbX//mcbA//pgrR//glcC//bioD2//cmtB//uspF//dnaG//rlmL//fruA//fbp//puuD//yfjR//yfcP//cysN//rimI//yjjX//ldtC//lldD//tdcG//sfmA//
GO_0005976_5	grxD//moeA//torC//insI1//kilR//rpmE//yraN//carA//yieH//hypD//rpmE//tsgA//rfbC//yibF//cobC//crr//hcp//topB//rof//yqjA//yoeB//ltaE//tauD//fdhE//dsdC//rfaB//skp//kdsA//flgC//fkpB//thiG//paaG//hemC//asd//zraR//ulaB//ssuA//artI//pdeF//rfaC//fliT//cyoA//umpG//yeeO//waaL//tusD//cusC//alkA//zur//trpR//tas//tsgA//ldtA//rpsB//dpiA//rpnA//lolA//cysB//mdtI//
GO_0005977_6	ubiD//dmsC//umpG//flhC//tdcD//mazG//pdxB//kdsB//
GO_0005978_7	cbrC//ygaH//artJ//bioD2//
GO_0005979_8	phoB//
GO_0005980_7	ilvN//thrB//rluC//
GO_0005981_7	uspB//
GO_0005984_5	srkA//phr//flhE//flgH//paaD//argG//etp//mtn//argR//bssS//yhhZ//
GO_0005985_6	dsbD//
GO_0005986_7	insE-1//
GO_0005988_6	dnaN//aldA//
GO_0005990_7	arnA//sodC//
GO_0005991_6	tdk//arcC//sbcD//argK//pphA//
GO_0005992_7	sppA//pdxK//
GO_0005993_7	ydeT//tap//tesB//
GO_0005994_6	epmC//
GO_0005995_7	tdh//
GO_0005996_4	metG//yahI//srlD//setA//clpA//emrB//yhcN//insE-1//waaF//pgk//mepA//dld//rtcB//gapA//rplD//pyrC//ssuA//prfA//trmD//flgD//ybgQ//yagU//ilvA//hofQ//hcp//rutA//gabT//ybgI//insH-5//kdsC//mukB//corA//hdhA//amiA//cusC//ymdB//kdgK//purR//mdtI//ampE//hsdR//yabI//bdm//tisB//yfaV//rarA//torC//eptB//dsbC//cheY//ydcS//yihS//bcsQ//sdhE//fliA//ilvN//blr//insH-6//uidA//nlpA//cysC//hpt//marA//pyrD//cusC//mscM//cpdA//acrE//blr//wzb//nrdB//argO//ralR//yafE//comR//garL//rpoH//chbF//hybD//mutH//yraI//rffT//
GO_0005997_6	dnaE//
GO_0005998_7	flhE//
GO_0006000_6	rbn//cyoB//nei//
GO_0006001_7	mazG//hprS//
GO_0006002_5	ychO//cas3//napD//
GO_0006004_6	rbsC//rhaR//dinQ//cueO//sfsB//paaK//
GO_0006006_6	lepB//murD//prmB//ppk//yggN//ycgB//basR//ygeR//ycjD//htpX//pdxK//ftsN//yojI//gspJ//yeaK//infC//malQ//torD//ydgA//spoT//ybjG//nusG//yaaU//
GO_0006007_7	poxB//hisM//hypE//
GO_0006011_5	yaaA//
GO_0006012_6	dcyD//lpxP//flgB//panC//mdtM//lgoT//tonB//ftsE//mntS//
GO_0006013_6	speD//yfcA//
GO_0006014_6	ribD//pdeF//cpdA//
GO_0006015_7	moaB//glpX//
GO_0006020_5	gapA//
GO_0006022_5	pgaB//ubiE//fixA//lpxK//bfr//yaaJ//msrP//abpA//soxS//ilvA//ebgA//psd//tsgA//tqsA//yddA//proX//aroF//casC//oxyR//mepS//yehY//waaQ//hcaF//rpnD//oppF//cysP//ydcP//yidD//hcaE//fliT//tdk//pnp//fdnG//yfaX//ydjH//caiF//tilS//trpS//eptB//clpA//yciK//cysC//cmk//rpoD//ychF//lysA//mgtL//fliM//pdeL//rpoA//cynX//mtlD//trxC//endA//amiD//cmoM//tmcA//panB//rimJ//glmU//uhpC//galT//rtcR//
GO_0006023_6	ubiD//trmD//ftsH//uhpT//lsrK//ybiY//yeaD//pinR//ftsX//dsdA//nmpC//infC//pdeH//puuC//rffH//dxs//paaJ//xapA//ynfE//yfdG//yeeY//rpoD//dnaN//dacA//mngB//rnpA//mdoD//xylR//kdsD//ansB//napA//ilvL//zapD//tsaB//hyaD//caiF//hisP//argO//cheY//
GO_0006024_7	ligA//rna//casA//cspD//dcuR//chpS//pykA//tatE//sodA//gntR//ampD//rsmF//lolB//rlmJ//intZ//katE//gcvP//nrfA//clcA//pstS//dosP//ybiA//argO//dgoK//ppc//waaG//hisB//ybgI//dhaM//lsrR//wecE//adhP//rpmF//adiA//caiE//rng//rhaD//atoB//yhjX//
GO_0006026_6	dgoR//adk//cyoD//paaE//grpE//yiaT//pdeH//rpmG//nrdI//pck//
GO_0006027_7	folA//potE//ptsI//glcB//ebgR//cusS//sbcB//uvrY//yhfK//yfdS//
GO_0006040_5	mlaB//ybcM//acnB//arsB//rpe//hyi//clpX//bamA//yagE//speG//dnaG//yadV//fliL//lsrG//sodA//hofN//clcB//
GO_0006044_7	npr//hsdM//metL//rsmD//modC//
GO_0006046_8	hybO//ackA//rsmD//phnJ//
GO_0006047_5	proP//ccmA//yaaA//menD//dnaN//recD//ydcP//
GO_0006048_6	trmI//clpA//recD//oppF//fimC//kch//
GO_0006050_6	hsdM//
GO_0006051_7	rimP//
GO_0006053_8	iscS//
GO_0006054_6	glgP//yjjG//ydfK//yejB//intE//uvrB//dnaN//
GO_0006056_6	cho//
GO_0006057_7	ybiT//
GO_0006059_6	rplW//dmsA//mltD//proB//
GO_0006060_7	dam//
GO_0006062_8	appC//
GO_0006063_5	yfdK//yhgH//ldcA//fruK//uxuB//folE//dadA//opgE//aroF//
GO_0006064_6	ybjX//cdaR//hybB//ygjK//ytfR//mhpB//
GO_0006066_4	yjgX//ssuB//pheT//bglB//gyrB//agaW//yebZ//eco//rplY//gsiA//tsx//argI//alaE//dacD//cpoB//ycaO//xylR//fepG//pyrH//putP//ymfK//yhcN//potC//ftnA//ccmG//ymfK//yqhC//prpD//dppA//aphA//hns//phoB//
GO_0006067_6	lacI//tsaE//rhtB//
GO_0006071_6	rsmB//diaA//tsr//holB//phnL//dapD//nudG//
GO_0006072_6	phnH//arsC//uxaA//ycbU//putA//
GO_0006073_6	cysD//kbaY//yddG//fdnH//acnB//glcA//rsmB//yjjG//rnlA//ycgB//yrfG//citC//slmA//ycjW//thiD//rbsA//hda//mutM//pntB//tyrA//
GO_0006081_4	menA//yqhC//cydD//orn//cvpA//yhjC//trmH//aceF//bisC//frdD//rdgB//trpD//sapA//nagB//yahN//yejA//pflB//citE//guaA//waaO//rpsK//purR//cspD//yfgO//gspJ//purU//prlF//tolR//tnaA//dedD//rnlB//ybiW//yijO//gcvR//yraN//tdk//ecpR//tatC//flgD//rffC//ddlB//dkgA//ybaL//rbsA//eutK//blr//pck//ybiX//abgA//ade//gltS//ttcA//rhaA//deoD//secM//argE//nrfF//pinE//paaK//yhcH//ypdI//tatB//yfdG//ytfQ//yedA//secA//hisD//
GO_0006082_4	tdcC//abgB//ygbM//yneJ//rutD//ariR//adiC//dld//ompF//yqaB//arnD//rplY//waaP//trmL//yjjV//nagA//nfi//ydfD//prmA//ydiZ//ybcF//ygiS//rnd//cbrC//phnJ//ybcQ//ydjE//oxyR//garP//envC//miaB//dnaJ//coaE//yjtD//flgF//csgD//yggD//uhpB//nadA//eamB//potD//holD//mdfA//katE//yejE//hybA//alr//yfiF//ppk//arcC//pdxJ//yfdC//ada//carA//nfi//ilvA//pbpC//elbB//agaD//acpP//yohD//sapA//cdaR//hcaR//polB//mrr//ycjW//hexR//yraR//citT//pabA//gadC//cedA//yfcV//cyoE//ptsG//rplX//gntR//gabP//yadV//eptC//oxyR//tehB//astB//glcC//fepC//sohB//cusB//rihA//ampH//yejB//nanE//paaG//dmlR//feaB//ybaL//hpt//ompW//wzb//agaA//tqsA//dtpD//fucI//alkB//yggF//clsC//nrfA//fmt//chbR//clcA//yjiM//purL//carB//hupA//kup//dkgA//paaE//gcvH//gsiC//tabA//ypjD//gloA//rhoL//yihW//dnaX//rpnD//blc//glk//rplB//flgH//malI//selB//tynA//lon//rutG//ygbI//deoC//glpB//yebG//dnaK//yhdH//agaW//agaV//truD//ydcT//bamA//btuR//araC//pagP//ubiF//ygeA//hcaF//thiH//ycbV//cyoB//surE//ybeF//arsB//rbn//mdtP//intA//mrcA//paaG//ahpC//srlA//rbsD//rna//ydeO//glnA//eamA//dgcZ//hpf//mmuP//rayT//fumA//thiD//uxuB//hypC//helD//gltI//ugpA//fdnG//narY//dnaK//marR//oxc//ydbD//tauD//relE//entD//bepA//gfcE//rzpR//lpxB//dtpD//crcB//glxK//adk//pcm//cynS//lysC//tbpA//ompW//mreB//fklB//epmA//wcaB//bglA//acrA//lysS//rbsA//dtpD//mlaC//xseB//dgcF//dkgB//pdeH//lldD//mutM//opgD//dgcJ//grxD//guaB//yebG//bcsQ//mhpD//yahO//pabB//hemD//pdxJ//rutE//yjcE//waaU//prlF//puuB//rhoL//frlA//ispH//clpX//gntU//epmA//fabZ//metI//ycjD//sbmA//chbB//purN//iscX//rapA//dsdX//amiD//kdpA//mfd//lptB//yqgB//yagJ//yebK//yciG//nadD//yafC//tdcC//gcvP//cynT//ilvD//osmE//araD//lolC//yfgO//hyaB//queC//preT//glpG//uvrY//glcC//yciK//hslV//dmsC//uspG//aroG//secM//fbp//yheT//endA//hscC//bglH//citE//fryB//ilvA//ygbL//cobB//rutF//hemE//thyA//crfC//thiC//yibF//yjcE//ffh//secG//ycbV//rhaB//mreD//ibsB//gcd//cnu//arcA//yaaJ//lolA//cpdA//ybjL//epmA//minD//crr//ytfP//yfbU//acs//xanP//recA//exbD//rluC//yjtD//hemD//yegD//tyrA//sdaB//ybaL//yiaU//betA//leuA//ygcR//fiu//pabC//trmJ//lpp//citX//acrE//plsX//astB//infB//frc//chiP//ydcI//acpS//adhP//emrK//pgl//insB-4//aaeB//hmp//yiaJ//priC//cusA//ade//yneL//uup//arnF//nadA//pstA//ybjI//envY//ldhA//livG//hdeA//ybiW//menF//grpE//yejF//potH//der//ybcL//ascF//ubiJ//groL//dfp//hpf//sulA//elfA//waaA//chpB//yihS//ycaN//malZ//mcbA//sucC//lptC//abgA//rhaT//lolA//pliG//yihS//ispH//kdsD//fliT//speG//fixA//sgcA//rplK//dgcE//essD//sbmA//fabI//btuD//cobT//umuD//mhpD//acpP//mraY//uxuA//cueR//dkgB//ribC//idnK//aidB//ccmF//lpoB//cydB//ppsR//yjgX//ydcO//mliC//iscX//dacC//ascF//paaC//mdtC//hcaC//bipA//ydaC//prmC//gyrB//mliC//glsA2//glpT//yihI//sufB//yagG//pfkA//mprA//ygcW//rzoR//rimO//def//glvC//pheM//yfcV//nagE//exuR//lon//chbR//rnlA//rhaD//cyoD//barA//ygaZ//murR//guaC//ttdR//ygiS//ribB//tamA//
GO_0006083_6	murR//glgC//malE//ybhP//xisE//ddpX//
GO_0006084_6	ybdR//mmuM//
GO_0006085_7	gadA//bluR//
GO_0006086_8	acs//
GO_0006089_5	lapA//rplA//ygjR//groS//fruB//cmtA//frvR//rnhA//fixB//alaA//menE//yegD//flhD//murB//yoaB//phnN//fumC//sodA//lpxD//yfbV//dcp//glnL//yhdX//bioF//kup//sodB//casA//ubiE//yiaF//
GO_0006090_8	gltX//frmR//adiY//fadM//yfeD//yqgB//hyaD//fepD//tilS//intE//panZ//kbaY//dsbG//argF//yjcE//prmB//gntP//avtA//entF//tnaC//rbsK//glgA//cydD//mtlD//tsaC//yfhH//truA//mngB//rutD//nadE//hisD//
GO_0006091_4	cspA//pfkA//fkpA//osmF//flgD//ugpA//folE//ibpA//waaA//nadB//envY//thrB//ompW//yedA//lepA//yhcF//yfcG//etk//wzzB//yfcV//fic//ptsP//yghU//nlpE//hxpA//agaR//phnM//basS//tilS//gluQ//sstT//sspB//gatZ//yehC//folD//aer//cbpM//torS//sucC//mlaD//ybaE//mtgA//insI1//fbp//psuT//yehB//fdnI//arcC//yfgJ//sgcX//ssuB//bcr//thiC//phnP//degQ//mog//argF//tatD//mltA//yhjV//rpsM//atoC//selU//trpC//zraS//xapA//tauD//xylE//yfiF//azoR//norR//rclR//rpsD//fdrA//dpiB//cydD//rpsE//bamB//csrD//hyfC//pphB//rplF//rbsB//cysH//psuG//yobF//paaZ//fabG//pbpG//asnB//allC//yahF//yhjB//secF//rpsN//ibsA//cobT//cdgI//hemD//nrdB//rcsA//gshA//trpS//yeeJ//glyS//caiB//phoA//astC//rplF//yagI//cpsG//yebQ//
GO_0006094_7	sapD//aroC//nuoH//wzzB//ynbD//mmuM//fimE//yphF//murR//ghoS//
GO_0006096_6	fixC//ybeQ//hyfA//thrA//mepA//dapD//melB//yddG//dacC//ung//rlmB//dut//rsmA//ilvL//kefB//matP//pheT//xthA//
GO_0006097_5	sdhB//pstC//aceF//ycfS//recG//
GO_0006098_6	yiaN//fimH//msrQ//glgX//zraR//
GO_0006099_4	dgcM//ade//atpF//raiA//casC//cmoB//yjcE//yjgX//flgD//rplS//dicA//ubiI//yhdW//mltF//ybdH//cdh//matP//
GO_0006101_6	yfeD//ybbW//nudG//ybdM//yfdS//kdsA//speB//ybiS//panB//nagC//ydbD//mqsA//mntP//mtgA//afuC//ygfI//uup//
GO_0006103_5	yjeI//manY//murB//
GO_0006104_6	thyA//iraD//mepM//
GO_0006105_5	frlA//zraR//agaR//aceF//gloC//fhuB//appA//eutK//
GO_0006106_8	yhjG//
GO_0006107_8	higA//
GO_0006108_8	purN//tpiA//thiD//alsB//argA//
GO_0006109_6	eptA//cdaR//dcuD//slt//leuO//rpsL//rtcB//wcaB//argP//
GO_0006112_5	plsB//cyoC//rplX//mglA//acpS//yciF//lsrR//yjjI//
GO_0006113_5	dnaN//treF//gstB//hscB//ulaA//yidR//flhC//glpA//waaY//ytfP//bioD2//ymfK//cysD//
GO_0006115_6	araD//
GO_0006117_5	iraP//
GO_0006124_6	chbA//
