#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	scpC//rutF//narQ//ygiV//
GO_0001505_4	mhpD//rhtC//trpD//yhcH//rbn//sapF//lacI//rraB//ihfA//yeaD//ybgI//ygjR//rcsB//xerC//rcnB//tusB//
GO_0001510_5	pspA//relE//ydiK//ygcW//insA-1//menE//rcsF//fucA//mukB//lgt//cobB//rmuC//sfmF//ftsW//glcC//csrA//bglX//yggP//xapB//kdpA//glnL//yigB//glmM//rluA//mutL//xanQ//narI//acrB//yoeB//ygbL//rarA//cueR//paaC//rmuC//mtlD//emrK//lrp//ypdB//adiC//eamB//
GO_0001514_8	kdpC//
GO_0001522_7	cynS//rbsC//obgE//moaC//rpmF//fryC//feoC//ybdR//miaA//leuA//rhsD//glnE//pcm//
GO_0001539_4	aldA//acrB//yegV//dhaR//ycaO//rpe//tdcF//lolB//yqcC//cspC//dinB//narL//pyrE//adeQ//cheB//ybjX//iscA//mraZ//fryC//ada//puuP//miaB//dsbD//oppB//dtpB//ybbW//lsrB//mepH//yqeA//yeeO//ilvB//
GO_0001558_5	hlyE//fucI//yhbO//nudG//surE//dgcE//fabH//yggP//
GO_0001561_6	cyoB//
GO_0001666_4	yjeI//
GO_0001676_6	hycB//holD//nhaB//
GO_0001680_11	ycjR//
GO_0001682_11	ung//
GO_0001731_7	araD//
GO_0001762_6	emrY//
GO_0001887_4	degS//yeaV//lipA//
GO_0001896_5	purL//mutL//gatC//ydhK//
GO_0001907_5	agaR//rhmD//higA//phoP//
GO_0001932_8	yhaC//rsmC//
GO_0001934_9	rnb//
GO_0002047_6	nadC//fdrA//
GO_0002097_8	yhjD//dcd//trmD//yihV//glpX//astC//bepA//rimI//frsA//hprR//glk//yfeX//ghxQ//lsrD//napC//yagI//dnaK//clcB//argF//
GO_0002098_9	rsmH//zupT//mdtG//ilvM//tyrB//mntP//sufS//dgcT//alaC//ybbW//pdxB//nrfA//ymjB//
GO_0002099_9	casB//recT//
GO_0002100_9	lptD//
GO_0002101_9	waaG//ulaB//
GO_0002128_7	ybjI//rutG//rpsD//pyrG//
GO_0002130_8	ivy//
GO_0002131_9	yehP//
GO_0002132_9	yjaZ//
GO_0002136_10	opgD//
GO_0002143_9	oppD//rpoD//abpA//ybiW//modA//cydB//
GO_0002181_7	paaA//ydhQ//
GO_0002183_5	fadA//
GO_0002184_8	nuoM//
GO_0002188_6	chpB//
GO_0002190_6	kup//
GO_0002192_8	hemH//
GO_0002252_3	tsx//potB//hdeD//fruA//mdtG//ygfI//rpnD//fur//purN//nrdE//
GO_0002790_6	ghxQ//fabH//yccS//yfbR//hypT//sufS//rluE//
GO_0002937_9	ilvH//
GO_0002938_8	phnM//
GO_0002939_7	leuC//
GO_0002943_8	tus//
GO_0002949_8	kdpF//ccmC//kefF//yafQ//
GO_0003333_7	mobA//mdtP//rpsM//ampE//gpmA//rlmH//secF//lnt//yecS//yobA//tus//purF//fruB//nfi//ycjU//elfC//bssS//xerC//coaD//bisC//yibH//mppA//ung//epmB//metB//yqeG//intS//yedP//tdcE//intE//glnK//gcvP//sodC//amiB//yqcG//nrdF//yehT//ynfF//rhlB//mutT//pntB//zapE//plaP//thrA//ghrB//asr//yciT//argT//moaB//
GO_0005975_4	rfaD//ydcZ//aroL//glgS//uhpA//epmC//nanE//elfG//flhC//ccmH//ydiO//rpsT//yfbV//ilvB//ruvB//dfp//cobC//yajD//tus//pabB//tehA//recJ//iraP//glnK//fecD//rplD//napA//metB//hemE//mdtP//ftnB//xapB//pyrC//torC//torI//npr//pstA//yggX//kup//ygeX//yqgF//rstB//dsbC//emrD//idnK//csgF//adiC//cyaA//pgi//csgG//yehX//menF//araF//glpR//hipA//hsdR//queC//nagC//exoX//rof//torI//yjbG//paaJ//groL//yafS//ilvI//yfgI//dmsA//mlaB//pgm//ygeX//ispA//chbG//rclC//tcyN//pyrF//thiG//ycbB//nrdD//tnaA//ygfA//murJ//corA//yjjI//yoeB//yedL//cmoB//ybaT//yiaM//atpB//frvB//gpsA//xapA//rpsH//rseP//folM//cas2//eptB//wzb//rfbC//serA//cynX//hypD//wecE//metG//glgB//ompR//hrsA//yddM//barA//secF//menH//rpsR//galU//opgD//lpxB//ygaV//paaA//dhaK//znuB//trkA//elyC//ynfF//ssuD//gspJ//wecA//kbaY//xylR//casA//yjbB//mepH//yiaB//rpnB//gatZ//cysB//elfD//citG//tap//yabI//ffh//lplT//yjbH//csgA//yfcP//lspA//nuoL//astB//mdtM//tgt//syd//bglX//ilvH//ftnA//kilR//yedP//fecC//fadB//mfd//uvrC//minD//dxs//pyrC//mnmG//amiC//sfmH//mdaB//thyA//mukB//cpoB//pyrL//ydiK//yidD//ydiZ//rffM//gluQ//gatD//moeA//truA//thiI//gsiB//yfeO//thiH//mdfA//insI4//yehZ//yhjR//cynX//ascB//rpoA//yehD//cydB//ybhA//lacY//hisG//potF//mreC//kdgK//rclR//serA//panB//lolB//citE//mngR//potD//gloA//ygfZ//plsC//xylR//plsB//moeA//yhaM//ivy//dps//fimI//ybaO//prkB//mreC//tatD//yggT//elfC//emrY//rmuC//arsR//entE//pldB//adhE//eptC//wcaJ//nikA//dgoK//viaA//ulaC//sufS//dnaJ//ligB//cynX//lpoB//rarA//yjgX//mnaT//ygeV//chbA//pntA//ispH//csgA//yajR//ibpA//alsA//ileS//ydiR//malQ//recX//yhaV//galM//
GO_0005976_5	uspE//iclR//argA//waaY//ybbN//hyi//nfuA//yebC//rhaR//mdtC//yddG//ibpA//fecC//norR//dhaM//nupC//fimD//cusR//dicC//ydiQ//groS//insF-1//ybaK//yggW//trmO//fecB//yqjA//kilR//ascG//xerD//cca//yehY//idnT//aphA//infB//hsdM//bioD1//fabI//yghW//yeeO//ribC//macA//arfA//ypjD//yadN//yfeX//feaB//ulaR//rutC//fdoI//mltA//phnH//mocA//carB//yjbH//mdtL//tsaC//galK//yggE//
GO_0005977_6	uspC//ycbX//zraS//lgoD//mdtQ//dgcZ//gor//yqiJ//
GO_0005978_7	mqsR//qseB//zraR//yddA//
GO_0005979_8	cspG//
GO_0005980_7	ydbK//proB//gyrA//
GO_0005981_7	mscK//
GO_0005984_5	valS//corA//yoeE//mdoD//birA//paoC//slyA//ivy//lpxB//srlE//folE//
GO_0005985_6	recD//
GO_0005986_7	glcE//
GO_0005988_6	nrfD//hsrA//
GO_0005990_7	ybaE//ampE//
GO_0005991_6	sodA//glpA//dtd//mutM//hflC//
GO_0005992_7	torS//ccmE//
GO_0005993_7	cycA//yadV//dacC//
GO_0005994_6	dgcQ//
GO_0005995_7	yqjH//
GO_0005996_4	cbpM//mdtO//ydgA//ygbL//alsB//csdA//aceK//yiaB//prfA//paaE//pepN//pgm//yqeA//yaaU//glpB//mtlD//secY//yibH//yfiF//sixA//argS//hmp//malG//rmf//rpsS//rplB//yidA//panC//nimR//ilvH//menD//ompN//fbaA//pstS//zapE//pal//dmlA//ygeX//rcnA//ycbX//rhaD//mepH//ytfP//rnc//ompT//gcl//guaB//oxc//dgt//rne//tqsA//tpiA//thiI//ffh//dgoD//rdgC//ssuB//rplO//srlR//pgpB//yfiC//moaD//casB//cdd//ubiA//caiE//yjhI//arcB//cmk//kdgR//mntP//yiiE//setC//mreB//ybfA//umpH//dnaG//dsdC//pspD//gspE//sapF//tdh//
GO_0005997_6	envC//
GO_0005998_7	rlmI//
GO_0006000_6	ybiW//yciV//hypF//
GO_0006001_7	fliZ//livK//
GO_0006002_5	gshB//hofP//appC//
GO_0006004_6	rbfA//ptrA//grxD//sgcE//dmsA//katG//
GO_0006006_6	yiaT//surA//cyoB//hcaB//yfhH//gabT//cysW//rplE//fimC//araG//envY//dcuD//kdsC//rplO//fadL//rpsS//gstA//norR//gcvR//atpG//nuoE//narP//ychO//
GO_0006007_7	pck//yahD//yehA//
GO_0006011_5	dapA//
GO_0006012_6	csgG//glnK//yrbG//yhgF//clpB//pflA//aldA//ade//manX//
GO_0006013_6	ygaZ//tynA//
GO_0006014_6	kdsD//entA//ulaB//
GO_0006015_7	ilvE//yieH//
GO_0006020_5	cdaR//
GO_0006022_5	hyfC//malI//rutC//cas3//chaA//rpiA//bglB//puuB//mtr//cysM//hisC//yaaA//ushA//yieK//ompR//cadC//ribF//ydcI//oppB//abgR//ynfK//pfkB//rpmB//marA//poxB//gmk//srkA//ptsN//guaD//fepE//gutM//trg//yjgX//hypT//flgF//ygiB//fabA//iscS//msrP//yaaU//dgoK//yebC//rpe//yoaB//proB//gdhA//yeeA//bglF//yfcQ//glcD//kch//malF//pepQ//accB//frdA//chpB//sfsB//nadA//vsr//yiaF//ghxQ//yihP//ydcR//
GO_0006023_6	ydiP//dapA//ompA//uup//pdeR//fabH//dgt//caiD//nepI//rplM//entH//rpiR//pphA//yfcA//yihW//yqeG//hrpA//pgi//ybdZ//mglB//dusB//chbC//phoU//yiaT//lldR//yafC//ynfL//modC//tynA//lsrD//ftsB//marA//sdaA//phoA//rfaQ//wzb//pyrL//yfhM//tufA//
GO_0006024_7	mepS//pliG//caiT//tusD//yibF//yifB//yhdW//thiE//pgl//tdcG//mdtJ//ynaE//bglH//puuA//ybbW//uxaC//truC//yhjB//lptD//yihS//thiG//mlaE//rrrQ//dsdC//dinD//eamB//epmA//aaeR//glcE//dpiB//yhaO//yihW//yfcG//mdlB//rpsB//pyrG//dnaT//trg//ampE//
GO_0006026_6	sufC//cheY//cobS//araA//yqhC//pmbA//ivbL//eutB//hypD//ihfB//
GO_0006027_7	frdA//mutY//sbcB//gcd//idnK//murB//dsdX//narL//yhaC//rsmC//
GO_0006040_5	trpB//ydhJ//folM//alaS//envY//rppH//ftsQ//secG//narJ//ampD//glnE//uxaA//cysH//ytfE//casA//dtpB//rmuC//
GO_0006044_7	nmpC//acrF//mqsA//sfsA//fimE//
GO_0006046_8	aroF//emrK//bglX//nrdE//
GO_0006047_5	rph//mazF//aer//rfbX//ydeO//aroG//fimC//
GO_0006048_6	dsdX//yjiR//infB//cysS//ycjQ//yfgI//
GO_0006050_6	dnaX//
GO_0006051_7	phoP//
GO_0006053_8	epmB//
GO_0006054_6	pheP//dgcT//nrdG//csdA//yjtD//tsx//hisF//
GO_0006056_6	agaD//
GO_0006057_7	ravA//
GO_0006059_6	lldD//arcA//ivbL//tdk//
GO_0006060_7	livJ//
GO_0006062_8	ydfG//
GO_0006063_5	fimB//tig//yhbX//fimA//hupB//yiaB//fepB//fimB//rdgC//
GO_0006064_6	icd//purL//dgcN//rcsF//plaP//yejB//
GO_0006066_4	glnH//kbaY//malX//uhpC//rlmJ//yceK//yfiC//hda//hpf//tas//yehA//trxC//hprS//ygfA//pgpC//hofQ//glnD//hpt//glpG//nanR//yciT//basR//gpp//rng//hypT//yhcF//sixA//ypdF//yqjH//mdaB//oppA//pncB//
GO_0006067_6	ybjC//cysQ//appC//
GO_0006071_6	dcuR//mglC//ribE//opgB//hiuH//lpp//udk//
GO_0006072_6	rraB//ascF//btuC//frmA//ygiB//
GO_0006073_6	bioP//pcm//iaaA//puuC//lptG//pnp//rpiR//lexA//ygaV//gatY//rplD//putP//garL//ddpA//yieF//glpK//ygeA//sodB//cysH//yfeR//
GO_0006081_4	tsgA//ygfZ//betI//yddG//gor//yhhT//rfaF//phnO//pepT//luxS//yejB//nagZ//eamA//dcuR//msbA//ybbN//insE-1//leuA//nagD//cas3//chpB//ydcI//rbn//lipA//hemE//alsB//pykA//dcyD//hscA//manX//yfcV//umuD//bcp//hypF//rplY//lldD//yadG//clpB//yhjR//artJ//wzzB//gatB//sfmA//pth//minE//rpmH//yfgI//dtd//dinG//avtA//btuB//ung//dppC//abgR//alsK//yajO//puuP//rpoE//malG//sstT//cptB//uxaA//ybcJ//insH-5//yegD//yhjR//flgI//
GO_0006082_4	dnaB//ydaC//yahK//ahr//wbbK//htrE//argF//pabC//ugd//gyrB//rsmA//rplB//ybhA//trmL//argC//hpf//btuR//murG//malP//sdhB//yhaV//bamE//flhC//ddpX//rpsL//potD//rplT//yfcR//cbrC//tatE//glyA//uspC//yahO//plsX//slyD//prs//clsB//flgA//mrdA//tusD//metE//chpB//xapB//yihR//nrdB//ftsE//prpD//dacB//ettA//glpD//cbl//ftsN//baeR//bglX//yphB//ddpA//thiH//lexA//ymgC//aroF//galP//mrr//groL//cirA//potI//gatB//wrbA//secD//gcvR//pinE//rluA//carA//chbR//arnE//psd//ydcS//nfuA//chbC//yqcG//glrK//eptB//yccA//idnD//sdaC//yegS//tusE//amiC//mcrB//ydiB//manY//yafE//add//mnmG//purC//matP//ade//pliG//bioH//tatA//elfD//cysU//pdxJ//rhtC//menF//aldB//greB//rseP//ycbV//moeB//acpP//rihC//trkH//chbR//prpB//ykgA//cpdB//amiB//glsA2//pdxA//insI1//rclB//acrR//yjhG//lysP//tcdA//mnmA//fdhE//aroF//tauA//mipA//fdoI//dinB//phnN//yeaK//tusD//cho//yidK//rsmE//tsr//proV//dapA//trpS//ycjD//serA//yfcG//tcyN//rutE//yigB//ygeA//mdtD//yjtD//tolC//yhaJ//trmL//ybhF//rplK//tmcA//bioD2//lepA//yibA//ppsA//motA//degP//def//gatC//tatD//hybA//yhdJ//nanS//fdx//murJ//bcp//cobT//nhaA//rseB//insH-5//queE//agaW//napB//fucO//yjiR//rlmD//ybaO//tauD//uspF//lpxB//kduD//trmL//pta//rssA//sspB//apt//cmtA//kdpA//hcaT//mdtL//rlmB//exbD//uspC//idnT//ygaH//rpsG//fadK//dapD//uvrC//iraM//galE//patZ//tehB//ybdM//yraR//cbtA//yahI//yihX//aroP//asnB//yfaE//hisI//argR//puuC//mgtA//sapF//fepD//phoA//hflX//gloC//yrdA//arsR//dapD//yfdK//modC//rpnB//paoC//fliS//ibaG//speB//gadE//ydcM//cvpA//kdsA//ybdG//kdgR//aceK//yhhY//intF//sfsB//rssA//holA//pspC//acrR//kdsA//recO//waaF//narX//rplW//gltK//ycdX//ybhD//alsC//rpsT//arsB//yceK//potG//yjiY//yihL//lsrB//appC//ddpX//znuA//menE//glvC//dctR//ihfB//rpsB//emrY//pstC//kdsD//xdhB//rffC//pgl//yijE//fadH//mrcB//gltI//etp//tufA//mpaA//ybgP//truB//fepA//apt//ribD//yahI//yaaY//nikB//livM//xisR//alaC//rluD//cheW//rbn//fdhD//yhaJ//lolD//btuR//yhgF//minE//fadD//gshB//pfkB//zur//atpD//mtlD//dpiA//eutD//ycjY//mnmG//mlaE//hsdM//hisA//ttdB//dkgA//ccmE//sgcE//waaJ//emrK//treR//arnD//yaaJ//ydfH//rho//cvrA//nhaB//rpsL//tas//cspE//fimF//hypB//rplF//basR//obgE//queC//ppiC//actP//radD//yggE//citX//kdpB//nrfD//fepE//intZ//ynjA//dinD//ddpA//psd//clpA//sdhD//sufS//slt//sdhC//rlmI//yraI//uhpC//ydcR//dbpA//ybiY//arcA//yqcG//cysU//murA//hyfC//moaA//tolA//csgB//yddA//hcaB//rcnR//menD//fdhD//yjaZ//ftsP//hfq//ybhI//zraR//wzyE//yejB//yhbO//tsaB//fepB//frvR//prpD//amtB//xseA//hyaC//malG//bamC//yagF//soxS//iraD//cyoD//torD//lpxL//moaD//ygeW//wzc//edd//ybeF//yedL//modA//ggt//ygcW//hemH//ybaM//yebG//ybhG//gspF//tnaB//folM//ycfH//tatE//cbtA//pyrG//ybjX//fdnG//ilvC//rpsB//yahI//ptsH//dusB//shoB//mlaD//rpsN//glgX//cusF//yadN//aroK//rlpA//mtlR//kdgR//metF//yhhZ//topAI//xerC//rfaF//nepI//betB//glsA2//malS//gdhA//mdtK//ddpA//mdtA//yaiV//yahD//envC//dcd//aspA//folM//ampH//sppA//
GO_0006083_6	umpH//spy//malQ//yafO//hypD//btuR//
GO_0006084_6	ftnB//hcaB//
GO_0006085_7	cpdA//sdhA//
GO_0006086_8	nagK//
GO_0006089_5	yraI//moaC//tonB//priA//iclR//mreC//deoD//ahpC//aceK//gstB//priA//ybbN//paaX//icd//atoS//fumB//torA//glvC//livJ//yfcA//fucO//gspE//pyrD//mgrB//sgrR//mltD//nanA//uspC//potG//
GO_0006090_8	mrp//thiQ//atoB//slyD//rseP//fdnI//solA//tadA//amiC//tus//ycjD//mutL//hexR//nanE//serA//ibaG//ahpC//oppD//srlA//rplJ//glgP//secE//mutL//fklB//rpnD//hcaR//adk//ubiI//aas//leuB//malX//
GO_0006091_4	tehB//yjjV//yraH//dhaM//fadD//ykfM//yfcS//eutR//puuP//yhjR//pppA//tdcA//dacB//bamC//rimO//dcd//phnO//rhaD//tcdA//hisD//yhbS//osmF//mltG//yhhT//cyaY//mcrB//acnA//yjeI//minE//yccA//fepC//pstA//hemC//queG//dctR//proP//queD//kdpF//dmsC//rcsB//solA//lolC//narV//ynbD//ybiI//hupB//narG//alsA//narX//pdeK//ftsB//astB//lhr//baeS//appA//rutC//ftsI//artQ//narX//kdpA//betA//rep//ybaL//yfeR//acrD//yjfF//cysC//rtcB//bcsA//arsC//mdtJ//rcnA//yfcR//acrF//csgA//rcsB//nagK//hxpB//htrE//yddM//marR//selA//tnaB//wzyE//proX//yahI//malZ//clpS//nhaA//gudD//glgS//yagU//tatC//hcaF//ltaE//mrr//agaB//otsB//pncB//flgJ//yidH//aqpZ//lptD//mnmE//cecR//frdB//asd//bioD2//yeeA//mlaE//araE//yjcE//
GO_0006094_7	cpxA//potG//glpX//pepD//rnt//nrfF//ygjH//hlyE//grxD//birA//
GO_0006096_6	paaB//ynfF//secB//ydjH//lacY//ytfT//garR//gltI//rutF//xisR//rpsN//hinT//entF//asnS//zur//pstS//yggD//minD//
GO_0006097_5	yibH//paaA//rpsL//fdnG//hybE//
GO_0006098_6	dcuC//setC//ubiB//entD//ppx//
GO_0006099_4	bhsA//rfaH//waaF//mdtP//dxr//rutR//fadB//uhpB//lldD//frvB//rhlE//phoB//rnhA//yebZ//nimT//tatC//fecC//
GO_0006101_6	ybbY//yeiL//yahF//ligB//zapE//ygcW//gcl//eutD//nadK//fepD//arnD//rpsH//bioA//dtpC//tsgA//ade//hyfR//
GO_0006103_5	hybO//yhjR//psuG//
GO_0006104_6	caiB//yafC//yfeO//
GO_0006105_5	murC//rsmE//ynjD//gstA//casD//rfaF//yeaE//ypdB//
GO_0006106_8	rapA//
GO_0006107_8	yobA//
GO_0006108_8	malF//nanR//ypdA//gcvA//cvrA//
GO_0006109_6	ilvE//gshB//gntK//dcyD//fucI//yciG//rimL//thiE//phoQ//
GO_0006112_5	dinJ//gntK//intZ//galP//yehD//ispB//pgl//yhjB//
GO_0006113_5	potI//ahpC//queC//trmH//acnB//zntR//epmC//fetA//yehA//rbsK//arsB//caiT//mdtB//
GO_0006115_6	glcE//
GO_0006117_5	ycfS//
GO_0006124_6	sdhD//
