#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rcsC//ftsN//idi//rpoH//
GO_0000270_7	gatZ//glsA//rlmF//ydiQ//dppA//fadJ//yjjW//malS//fixC//dinB//pdeK//ymdB//tqsA//sgrT//queF//ydiZ//yegT//tpx//ppk//dkgA//xseA//rfbC//cvrA//opgD//uidA//fabR//ydaV//thiL//cas3//ispF//yieL//rodZ//yihT//artP//nanC//waaB//pyrL//gabD//yihR//yhdJ//fliZ//narU//mlaB//queC//yhbY//paaE//mdtD//ydfH//ytfE//pepA//ubiC//eptC//yehY//hypF//wzzB//wzzE//scpB//ydcP//pdeF//nadB//rsmI//tyrA//frvB//
GO_0000271_6	pntA//pabC//rdgC//exuT//rng//frr//rpsG//tpx//lptA//tsf//yiaU//tsr//psd//flgK//hyfF//yidD//ftsQ//glnP//rplY//yfbU//yajD//hscA//dnaB//dgcJ//ybeF//dgoD//galF//opgH//syd//sgcA//frdD//ybjL//ydhJ//narL//dacA//dgt//grpE//paaB//allB//bglF//holB//cadC//murG//cdh//argE//ldtB//puuA//pdeF//pyrD//arfB//
GO_0000272_6	pepN//tolR//atoC//yeeY//rluD//cydC//
GO_0000302_5	wecB//pnuC//zapC//yefM//kdsA//ygeW//narX//rhaS//yejA//fnr//pgrR//glmM//cysA//fabI//yhhZ//chbR//yadM//mlaE//yihO//pnp//mazG//rraA//kefB//edd//nlpE//betI//glsA//phnI//hflD//luxS//puuC//
GO_0000303_6	glpR//abpB//
GO_0000305_5	phnM//fabR//yiaM//
GO_0000372_11	yhiM//
GO_0000375_9	ltaE//
GO_0000376_10	gspF//
GO_0000413_9	rplL//mobA//sxy//nfi//glnK//torD//basR//dapA//
GO_0000451_7	malP//yjeH//leuO//fdnG//fdoI//
GO_0000453_8	glpB//elfC//frvR//narU//yidH//
GO_0000455_9	gabP//yrbG//nlpE//mglC//greB//mdoD//ygeV//
GO_0000462_11	oppF//speB//
GO_0000469_8	ttdR//
GO_0000470_10	purC//
GO_0000478_9	mepM//
GO_0000715_6	kup//
GO_0000716_7	fdnI//
GO_0000724_8	phoQ//
GO_0000725_7	cadA//paaH//narV//ssuA//dicC//lgoD//
GO_0000726_7	pitA//
GO_0000731_7	ppsR//hokE//ychH//cvrA//dxs//yggP//lgoR//
GO_0000737_7	rpmA//
GO_0000738_7	codA//rplO//yibA//
GO_0000746_4	dtpB//
GO_0000820_7	yieH//
GO_0000902_5	aroD//
GO_0000910_4	ushA//araG//yegS//pbpC//yjjB//nfi//uidR//hypF//yqeF//ubiD//menD//kilR//yjbF//bssS//nanC//ydfG//chiP//ivbL//
GO_0000917_6	rpmB//pepB//lldD//citC//galE//
GO_0000918_6	paaH//yigL//citX//pth//
GO_0000920_3	sgrR//tdcB//yejF//yehD//mngA//
GO_0000921_6	yphB//
GO_0000966_8	rpsJ//nagC//hupB//frdB//
GO_0000967_10	exuR//adk//poxB//
GO_0001101_4	ftp//frvA//yiaA//agp//arsB//rcnA//gatA//nrfA//ybdR//csgA//dinJ//basS//appB//ydiK//mrdB//yebG//ybhI//hemG//galM//yqaB//otsA//rimP//pabC//tdcR//argP//acpH//
GO_0001121_7	rcsC//dacC//
GO_0001123_8	metG//
GO_0001124_8	yciG//
GO_0001407_7	yehZ//glnQ//pstA//ygaH//
GO_0001505_4	rfaQ//serS//uidA//allC//ghxP//dut//lptC//caiD//gadC//rplA//pgaD//greB//nfsB//cra//rpsK//yqiJ//
GO_0001510_5	yhhT//priB//ytfE//mcbA//serC//lhr//cyoE//bglB//rplY//shiA//srmB//waaJ//wzzE//yihW//artI//treF//uspG//ymgA//mlc//aaeA//ygeA//iscU//spy//solA//yiaA//rimI//paaJ//nagC//roxA//insA-1//fabD//lasT//fabB//coaA//fdhD//waaH//abpA//afuB//rraA//yaaY//
GO_0001514_8	emrE//
GO_0001522_7	emrB//hyaD//pspD//elfC//frr//dtd//ybhS//ydbD//wbbK//fkpA//paaJ//arsB//ykgA//
GO_0001539_4	acrF//rapZ//hyfA//rpoD//rpsT//gcl//pdxY//lptE//carB//lpoA//acrE//yjcS//yfdC//ogt//pncB//srmB//sseA//relB//folP//trkG//yqeG//ygcR//prlC//manZ//araG//ydfH//gatA//citC//ydiK//aroA//yiiD//
GO_0001558_5	preT//paaG//rihC//yggD//bacA//fbaA//norR//sppA//
GO_0001561_6	ydhK//
GO_0001666_4	rutD//
GO_0001676_6	entB//ybgP//cmtB//
GO_0001680_11	dosP//
GO_0001682_11	mglC//
GO_0001731_7	fruK//
GO_0001762_6	tmcA//
GO_0001887_4	yhhT//codA//plaP//
GO_0001896_5	ubiH//rsmI//cbtA//dgoR//
GO_0001907_5	ydeE//rhaS//dinB//yeaV//
GO_0001932_8	otsA//lnt//
GO_0001934_9	cbrC//
GO_0002047_6	ygaH//ppiC//
GO_0002097_8	yhjR//mnmG//pepQ//mlaC//truB//ybhG//wecA//glgC//zapB//arfA//lacI//gatZ//oxyR//purN//nrdD//eutD//rne//yciH//chbA//
GO_0002098_9	baeS//bipA//nudC//mdlB//carB//fliK//glmM//icd//cbpM//trmH//clpB//glmM//purC//
GO_0002099_9	poxB//ftsA//
GO_0002100_9	nemA//
GO_0002101_9	gudD//trmB//
GO_0002128_7	rsmI//allB//marR//yiiE//
GO_0002130_8	ygeX//
GO_0002131_9	atoB//
GO_0002132_9	btuB//
GO_0002136_10	rcsC//
GO_0002143_9	sgbE//rfe//fepE//rbsK//mdtL//norR//
GO_0002181_7	moaE//lysA//
GO_0002183_5	ypdB//
GO_0002184_8	waaU//
GO_0002188_6	cusR//
GO_0002190_6	mreC//
GO_0002192_8	rusA//
GO_0002252_3	phoQ//tsaC//fruB//hemN//ftsW//ackA//recG//fumA//nuoG//gcl//
GO_0002790_6	rihA//rplL//rep//adhE//cspB//caiD//yafQ//
GO_0002937_9	yfjV//
GO_0002938_8	mdtF//
GO_0002939_7	rffG//
GO_0002943_8	hycH//
GO_0002949_8	trmL//crp//csgB//dtd//
GO_0003333_7	citG//intE//fepG//ybcQ//prkB//yaiV//paaB//basS//tusE//slyA//fryB//nrdE//dppD//rpsN//pal//dcuA//artJ//yfcA//ybhS//fepB//aas//htpX//mgsA//ymgF//ldrA//cvpA//wcaB//xerC//yehP//wzzE//secA//aslB//folM//fetB//ibsD//nlpA//sohB//rfaB//mrr//ispH//rsmF//grcA//elfC//gadX//pphB//citT//argD//sdaA//bioC//
GO_0005975_4	tldD//lpxT//dapD//ybeQ//frlR//yeiG//atoS//galM//rbsR//holD//xisR//fes//prlF//ybjN//nusA//yraJ//uspG//hdfR//lpoA//yfeO//fadE//yghG//fumA//wzzE//greA//maoP//aas//nuoE//proA//srkA//rapA//fcl//dsdA//ynfE//rfaB//phnP//yqaA//ybhA//ackA//rcsA//gatB//wrbA//yhhZ//bepA//leuA//glcD//tadA//yajQ//yfdG//flgK//preA//dcuS//ybjD//rpmH//ydgA//prpC//nadB//hypD//fkpA//uacT//hda//gshA//mdtG//speE//hflX//mdtD//ilvI//cynS//rlmB//waaH//ybhS//rmf//rplJ//ycfL//preT//psuT//fabR//cca//yadK//tdcE//treC//dicB//polB//atpG//ratA//yfgI//obgE//glgP//csdA//csrD//lsrC//garP//lgoR//zapD//cas1//agaV//lon//nuoF//pgaD//frvB//rfbD//glpD//pncB//aroB//yihU//ttdB//osmC//gabT//sseA//flgJ//ybgI//ygeW//katE//rhtC//yqaE//entE//pck//ybdZ//gsiD//yihR//phoE//iscX//cdh//mpaA//rhmR//purR//fliM//exbD//lpxT//rplR//mcrA//flhC//idnK//azoR//paaX//purT//aas//cyoD//fimB//norR//zwf//ogrK//ygbI//epmC//fes//ssb//speG//nupC//rluA//leuS//thiG//ssb//yjhG//rhsD//pdhR//trkG//ydaC//dgcZ//glnA//flgH//ackA//basR//torR//yjhP//kdsA//asd//tauA//citT//rpmE//deoB//cadB//rsmC//pheA//mgrB//seqA//osmE//thiG//envZ//gloC//alaS//murI//dicC//ypjD//tehB//hofN//sufD//rpnB//dppB//napA//yieK//hdeB//yajL//rbsC//nemA//rzoR//araB//dnaA//hisH//focB//metI//yjbF//lit//hpt//hisI//osmF//pdeL//cydD//mntR//fruK//yhdW//smpB//rpiA//codB//yneJ//fic//ftsI//phoR//ldtE//hcaT//lptD//sfmC//dgoA//ftsL//yfcS//kefB//garR//astC//rpsA//yhcH//pcm//wcaB//yfeO//sbcD//lolD//cutA//melB//pntB//nrfD//abgA//ssuE//era//yegS//cfa//ybjL//yhhZ//gudX//uspE//minC//chbF//hflX//rimM//cysE//rbsC//cusB//
GO_0005976_5	ssuB//iraD//bioH//appY//yfeO//nadK//proB//cspE//sbp//btuF//baeR//yqhC//lldR//intS//hyfF//fucP//yihQ//kefF//yhjB//yabI//rcsF//yfbU//gadE//narU//yhdZ//melB//kdpC//epmC//abpA//rbsD//ybiH//ghoS//ydiO//ydjK//rfaD//yeaE//fdnG//queE//bioC//trkH//yceO//pheP//cycA//hicA//yiaO//ubiF//mdtG//rpoS//rpiR//potI//rarD//mhpD//mglA//panB//ynaI//mraZ//acpH//pspF//kdsB//
GO_0005977_6	cspC//chpB//araH//chpB//caiF//ansA//bssS//greA//
GO_0005978_7	rzpD//allB//moeB//soxS//
GO_0005979_8	cmtA//
GO_0005980_7	radD//tig//uspE//
GO_0005981_7	rimO//
GO_0005984_5	def//bioB//hupB//spoT//ssuE//yiaL//rhaS//nagE//ybdH//bioA//lplA//
GO_0005985_6	dctR//
GO_0005986_7	nlpI//
GO_0005988_6	dsbD//yhfK//
GO_0005990_7	yoaA//ydiP//
GO_0005991_6	dnaB//rcdA//mrcA//tusE//ynaI//
GO_0005992_7	rnb//atpG//
GO_0005993_7	araF//malX//yfcR//
GO_0005994_6	xylF//
GO_0005995_7	ileS//
GO_0005996_4	fhlA//purC//ftsP//allB//yjeI//rna//uvrD//flhD//sucC//yqjI//hiuH//ydgA//hemE//pphB//ubiF//comR//btuB//cobS//yihP//yfcU//ymdB//sdhB//yjjB//ompF//ychF//ais//iscA//yegT//clsB//thrB//yagU//rplQ//ftsH//rlmF//cfa//ybcF//hemE//insI-1//hycB//gpsA//yafN//ybdG//accD//tadA//nirB//ynfF//modA//tktB//ybdN//proQ//ampD//lpxK//yghB//frlC//csgF//wecA//lsrK//creC//atpD//mak//panE//yiaN//thiG//nudF//malF//rapA//gsiB//atpE//macA//gshB//ilvD//frvB//lpxK//adiY//mtlA//rna//nrfB//lrhA//frvR//hemG//trpD//rpiR//
GO_0005997_6	trkH//
GO_0005998_7	csgB//
GO_0006000_6	hemB//panZ//yhaV//
GO_0006001_7	ibpB//dcuD//
GO_0006002_5	mobA//uhpA//tamA//
GO_0006004_6	yjfF//mglA//hdeD//mlaB//ibpB//lacZ//
GO_0006006_6	fklB//hybG//hypF//thyA//mpaA//gmhB//pyrB//pspA//mlaE//oppD//sgcR//waaY//rcdA//yebG//ymjB//mltC//fdnH//ykgO//mdoD//yehT//fhuC//yhdZ//rcsF//
GO_0006007_7	afuC//yfcG//fliA//
GO_0006011_5	yciF//
GO_0006012_6	agaC//glnH//rbsC//yafO//yehY//entE//cobU//yibF//cmtB//
GO_0006013_6	lsrD//prfA//
GO_0006014_6	cysE//ybeF//ydfD//
GO_0006015_7	gadC//eutB//
GO_0006020_5	hexR//
GO_0006022_5	mtlR//btuD//yhcN//opgC//tufA//tamA//cheB//rutD//lpxP//asnC//yhbS//btuE//treB//glnQ//zapA//gcd//malF//tdcE//gltL//smrA//livM//gatC//gluQ//mmuM//rsuA//nadD//sppA//fieF//pcm//oppA//nirB//astC//entC//tcyP//yfiF//elaA//thrB//rbn//nuoG//prmB//araF//gadE//rof//guaA//yfcU//nuoM//ytfQ//glmS//yaiV//degS//ruvC//waaA//hfq//ynfL//yfdK//pdxB//gsiD//pdeF//acpP//yghO//wcaB//yfdS//malS//
GO_0006023_6	nagE//ltaE//arfB//rhaT//gadA//leuS//fabG//glsA1//chaC//cysS//hisQ//yjhH//mdh//rplI//dinG//umuD//rutA//ulaG//yehU//yjjX//caiD//rsmC//tsaE//rnlB//lsrC//yceK//kdpA//yedA//gspE//folM//osmY//cedA//dacB//narQ//ibpA//ugpB//dgt//yoaA//flhA//
GO_0006024_7	cdsA//trpR//fabD//uup//araE//hyfC//hisF//frwD//hyfA//yahF//cadA//ugpA//coaE//hisM//csdE//cheY//tufB//kdsB//pgpA//aroB//yibT//dppB//mrr//ccmE//idnK//abpA//fabR//rpsA//ssuA//fepC//mcbA//cobT//fhlA//cpxR//adeD//napA//yfdC//hipA//osmC//
GO_0006026_6	sseA//tatD//etk//fepE//manA//ivy//tesB//tolB//yiaA//yobA//
GO_0006027_7	nagA//sspA//gstA//rhoL//dtpD//yeiE//sppA//truD//mdtC//yeeL//
GO_0006040_5	ftsZ//alsA//sulA//rarD//solA//acpP//spoT//efp//groL//ubiB//yjiY//argG//narW//csgF//hypD//tatD//araC//
GO_0006044_7	ftsI//yebQ//menE//insH-6//pdeD//
GO_0006046_8	chbB//hexR//yidZ//hisI//
GO_0006047_5	rffH//ybaO//yafC//fepE//malI//rsmH//miaA//
GO_0006048_6	flgJ//ydeO//yebQ//pyrF//codB//rcsA//
GO_0006050_6	mngA//
GO_0006051_7	uvrC//
GO_0006053_8	yfiC//
GO_0006054_6	tcdA//dxs//yhjB//yraR//ydfG//pgaB//insI1//
GO_0006056_6	icd//
GO_0006057_7	adhP//
GO_0006059_6	epmC//nrfA//wcaC//narU//
GO_0006060_7	tadA//
GO_0006062_8	ilvB//
GO_0006063_5	trpA//waaP//yqcG//ynbB//yqhC//paoC//yqeA//kilR//lapB//
GO_0006064_6	vsr//yojI//spoT//ybdG//yjhI//dnaB//
GO_0006066_4	hybE//yfiR//purT//wecC//fieF//lit//clpP//csiR//hprS//nadA//tdcF//dcd//gntP//yjhH//ogt//bamB//ytfT//waaS//wecE//dgcE//suhB//elaA//focA//spy//mrcB//pgaB//gspI//cysE//rppH//otsB//narV//higB//
GO_0006067_6	ulaA//panF//minC//
GO_0006071_6	dam//hdeD//hisH//yqeF//aldB//glnD//tsgA//
GO_0006072_6	lplA//iscR//mdaB//pgaA//fbaA//
GO_0006073_6	mltC//def//ydjE//asmA//yebQ//lgoT//yjhG//selD//ftsH//tynA//frlC//fbaA//raiA//rarD//mtlA//mtr//dbpA//tbpA//proQ//ygiB//
GO_0006081_4	btuF//proW//parE//serS//rseC//kdgT//hcaD//ybaQ//lolB//speG//lsrA//hypC//pstC//clcB//yoaA//ybjG//rbbA//uacT//ndk//purD//purB//malQ//lptD//dsdX//yecS//menF//nfuA//dusC//purT//pstS//bcsA//fepD//nuoM//ligB//insK//yjaZ//pcnB//yccA//maa//acrZ//ftnA//yidK//yebK//lsrG//insI-1//dicC//bdcA//yeaE//dgcZ//bdcA//yejF//sgcB//sufC//galM//fadH//yiaL//ydjE//yfhH//ycjY//entE//selU//proV//tisB//sfmD//gfcE//yijO//purT//
GO_0006082_4	eptC//ygiV//amiB//era//hisQ//torR//phoP//hda//yiaN//bioC//thiE//guaC//sbp//aroB//narI//mliC//kdsA//gpsA//ibsC//hupB//casA//lipA//mdtP//ugpC//lpxL//rplE//pheA//hokB//nanE//aroF//hslV//yqgB//caiB//accD//lptA//phnH//gatZ//ddpX//hiuH//ibaG//flgB//fbaA//wrbA//yfcQ//yeaK//tauA//ibpB//fadI//fes//yciA//clsA//alaC//insB-2//cedA//accA//trmD//lpd//rplD//fimF//hybO//ydeI//sbcD//orn//hisG//sgrT//rsfS//rpmB//plsC//rcnR//btuC//yijO//fepG//rng//arcB//mdtL//rusA//tsr//norR//zupT//bfr//glsA1//flgH//gapA//ycjW//potI//paaE//fimH//ymdB//npr//thrS//lptE//ygeR//argR//prmA//hfq//yfbS//lexA//kdsD//blc//glcE//crp//trmJ//ahr//alkA//rayT//lapA//ppc//kdpC//rhaS//ynbC//gatD//tas//accA//rplR//mraZ//truA//narZ//rseB//mdtJ//mlaE//yeiL//yghW//yieK//acrA//yfeX//yahD//ompT//rhoL//dacB//elyC//glnQ//treF//yaaA//dtd//sdhE//mscS//mgtL//yidD//xerD//cheR//ynjA//lacI//edd//dnaB//leuD//ribD//fimE//murG//queD//rplW//rimI//serS//bcsQ//rpmH//rfe//ygiS//mgtA//mlaD//cspD//ldtA//mhpB//yeeL//osmY//yfeX//lepB//sodC//rdgB//tcyL//ftsY//preT//fliG//csgG//gmd//fliM//ispG//napA//fadA//hypF//ycfH//yfeW//lolC//mukB//nuoM//yhhZ//astC//clpB//hupB//waaA//fliK//dnaG//tmk//uof//holA//yraH//proS//nanS//gloA//yeeJ//fepE//yhbX//tisB//sgcA//add//ygjH//roxA//slyA//speG//rluD//aldB//agaR//glsA//glpG//bhsA//mtlA//ydhK//thyA//gfcE//aes//cutC//citE//agp//yidL//rhaT//ftsI//ybbW//yadG//ibsC//hcaD//mltD//dmsC//opgD//araC//yiaT//nfo//gnsB//rhaT//clcB//folM//accD//cysE//betI//lpxL//mltD//mppA//agaS//leuS//sxy//edd//yadV//ompN//eamA//tdk//modA//gatZ//yggD//nudC//yjiQ//serA//cmtA//wcaC//aroL//yhhZ//yagU//mdtC//dmsB//recT//galT//trmD//dauA//mscS//ygeX//fdoH//yafQ//nikR//pyrG//murP//selA//gpmM//fiu//tas//sgbE//gapA//yijO//rpsB//caiF//mtlR//pdxB//yeaG//dnaG//pphB//ftsY//dmsA//atpA//mraY//ompA//cspD//tauD//tesB//fis//tas//ttdA//slt//ppx//flgB//pgpB//frdD//ahr//yibT//yfjR//coaE//rcsB//yhbY//fliG//adeD//tsr//cusB//ligB//degS//sad//cyaY//uspF//cysZ//cfa//waaP//dgoT//arcA//eutR//ytfQ//guaA//ppiC//gatA//yebK//thrB//gltK//tdcR//secG//tolR//btuB//wcaJ//fre//plsX//gabT//hfq//yqgB//yahO//osmE//fucI//aceB//ybiI//kefG//yejF//yfaL//dtpC//rlmE//rfaF//purF//ygeR//rplF//ydcS//entC//nadE//ulaR//paaC//blr//cobU//chbG//nth//yjiA//hexR//sfsB//sspB//frmA//asnB//ybiO//rhtA//nemA//agaS//rpsB//ruvB//der//rlmE//ybjC//livK//rpoA//narY//yadN//folE//gcvR//rihC//ybfA//narP//lpxB//dps//fur//cbl//yafN//fruA//dapB//ykfI//narY//mazF//borD//fumC//hflK//ung//cueR//garL//yahK//sfmF//ompN//yhgF//helD//dsbA//hemG//livK//entA//rstB//potB//pdeR//rpsP//bolA//sxy//rpoH//ilvH//yhbS//coaD//rihB//proA//lon//cheZ//ccmD//ftsK//hrpA//ybhJ//pstS//hyaA//ybgP//viaA//ykgF//tolQ//folX//tqsA//folE//pth//hcaB//hcaT//folE//pntB//mutM//ygeX//csgE//folP//frmB//kdgK//vsr//dgcE//insI1//pncB//fadR//yhaJ//
GO_0006083_6	proX//intS//uspF//sanA//tehA//glgB//
GO_0006084_6	infB//sbcD//
GO_0006085_7	gcvP//malY//
GO_0006086_8	ydfK//
GO_0006089_5	lsrK//speF//zapC//hlyE//rfaD//recF//tap//btuF//zapE//ynfH//cynT//secY//yhdZ//yraR//lsrC//dpiB//nrfD//alaS//phoB//crcB//fliT//fabZ//priC//hyfA//lpxT//elfA//paaH//mngR//yejF//
GO_0006090_8	yphD//bioC//nagZ//cyoE//chiP//rssB//ampG//modA//rutA//lacY//zapC//yajL//gatA//ygaV//lptF//nudB//chbC//ygiW//bioP//mdtD//ugpE//lepA//yobA//kdpE//iscA//fixC//rbsR//adiY//mcrB//ygjH//livK//
GO_0006091_4	qseC//metB//sfmD//yjeI//yqhD//srkA//phnP//ynfF//ybiH//feoC//cysZ//fau//ytfE//xylF//ybjN//ubiI//rarD//pspC//cspE//mdtM//yedF//yjbB//yehP//csgA//rbsB//rapZ//ddlA//gadC//gor//yjhG//rpmC//tmcA//hyaC//pflB//napF//yhjX//atoS//yciT//setB//psd//pdeK//modC//hypB//sstT//betB//yghU//torA//cbtA//syd//allR//rpnA//mhpA//ydeT//aroH//purN//ilvM//crl//rraB//rpiR//gatA//kefG//gadB//dcuC//lolA//zapE//pspC//iscX//phoU//entE//wcaJ//rapA//fruK//cysB//nth//skp//nikR//bipA//nrdI//lepA//rutF//ansB//pgi//grcA//sufS//chbG//hdhA//phoU//cspG//secY//csrD//ybjL//sgcB//mutH//csiR//slyD//abgT//patZ//yfbR//birA//mscK//aaeB//clsA//metH//hdfR//trpC//nudF//manX//mppA//eutA//gapA//slyA//malS//
GO_0006094_7	insB-2//nirB//agp//panB//wecE//phnC//elyC//edd//kdgT//hyfR//
GO_0006096_6	rnr//dinG//dgcN//hemG//miaA//yfdR//ftsB//ibsD//dgoT//secM//coaA//parC//phoP//yfbV//yaaY//hofP//sxy//yggD//
GO_0006097_5	trpE//rhoL//trpC//cheZ//rbfA//
GO_0006098_6	thiQ//fryA//waaJ//ada//speE//
GO_0006099_4	metQ//ettA//smpB//rlpA//paaF//yddA//yjfP//fruK//frlB//basS//yebG//yejF//leuA//yagI//hybB//lolB//ettA//
GO_0006101_6	livJ//ompT//maoP//brnQ//rpsG//uvrC//kdgR//prfA//ldtD//glnE//yoeB//ybdZ//waaJ//hexR//gntP//hinT//nagE//
GO_0006103_5	tig//atpF//intF//
GO_0006104_6	selD//dapB//hscC//
GO_0006105_5	sixA//eutK//zapE//frdA//tmcA//secD//dnaJ//hokB//
GO_0006106_8	dfp//
GO_0006107_8	yaaY//
GO_0006108_8	fimE//psd//pdxB//ydcZ//pphB//
GO_0006109_6	ynaE//yedA//ssb//phnM//menC//opgH//tig//yiaB//fhuF//
GO_0006112_5	bglB//ytfP//narZ//afuC//gltS//elfC//ilvL//gadC//
GO_0006113_5	betT//acrB//yihO//ogrK//glsA1//yraK//ulaC//syd//uof//alsK//hipB//narW//rhaT//
GO_0006115_6	pheP//
GO_0006117_5	ygcW//
GO_0006124_6	nuoI//
