#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hldE//gntU//arnF//menH//
GO_0000270_7	dmlA//yahO//frmA//sdhB//pdeK//rutA//yfiF//opgD//msrC//rnlA//rlmM//cspD//amtB//parE//folM//hisD//kduD//hofN//yjaA//uhpC//hslU//glmS//iraM//gdhA//waaQ//lysA//hofN//rlmG//flgC//sbcB//rplN//artQ//lldP//paaZ//cydD//pykA//ftsL//matP//ynhF//yfdK//fsr//lplT//alsA//acpH//sfsA//ygbM//gadW//ynfH//glpC//acnB//menB//bglH//ratA//modB//caiB//ybcQ//fhuF//ygiW//yieF//lpxH//gcl//wrbA//pyrG//
GO_0000271_6	fecD//pdxB//borD//sapC//marR//trg//pppA//yiaA//yibT//ilvL//yqjH//kefC//malE//bsmA//mtr//rpsP//tktB//dcp//rsmI//nhaB//sbmA//elfA//gsiA//rplF//ppsR//ybiH//agp//nuoB//gpr//sdhE//dcuA//menI//menB//ydjK//gppA//cysK//rnd//trmB//hlyE//fadD//hdeB//ruvB//hdhA//norV//uspF//yidQ//hyfC//ynfE//feoA//dgt//
GO_0000272_6	paaK//rsfS//moaC//rfaB//yfcG//paaF//
GO_0000302_5	mepH//aroE//ccmH//treR//mhpC//fliD//prpB//rfaQ//hxpB//mzrA//feoA//betB//mglC//mcrB//baeR//mnmC//aroG//yjjW//aaeA//pgi//napD//dicC//mdtK//ycdX//sgcA//fre//idi//yraK//yrbG//dhaL//rutG//
GO_0000303_6	sgbH//pgaD//
GO_0000305_5	azoR//fdnI//ftsQ//
GO_0000372_11	ybjC//
GO_0000375_9	allB//
GO_0000376_10	slt//
GO_0000413_9	gltX//rpe//endA//topB//yidZ//agaC//ybcM//hybD//
GO_0000451_7	secA//fdoG//yeeJ//minE//manX//
GO_0000453_8	hupB//adk//fucA//phnM//ybdZ//
GO_0000455_9	fdrA//abpA//ygbN//yqiG//rplA//yceD//mutM//
GO_0000462_11	ihfB//emrE//
GO_0000469_8	wbbK//
GO_0000470_10	wzyE//
GO_0000478_9	bdm//
GO_0000715_6	nrfG//
GO_0000716_7	sdiA//
GO_0000724_8	pnp//
GO_0000725_7	elyC//lpd//ypdA//nudF//ybaO//nikC//
GO_0000726_7	dsbB//
GO_0000731_7	ptsH//yeaG//sgbU//pyrH//katE//ybgQ//pldB//
GO_0000737_7	intF//
GO_0000738_7	groS//glvB//bdcA//
GO_0000746_4	motA//
GO_0000820_7	intE//
GO_0000902_5	cspA//
GO_0000910_4	fkpB//yihW//yghO//prlC//yidK//adiC//cheZ//waaB//ycbX//yoaA//mazF//purD//rcsF//clsC//flgC//gudP//paaD//mtlD//
GO_0000917_6	ugpB//cyoC//arcC//sgbU//frlA//
GO_0000918_6	paaJ//hchA//pyrH//uhpC//
GO_0000920_3	alsB//yciA//pgi//uxuR//zinT//
GO_0000921_6	thiP//
GO_0000966_8	metF//pepN//sbcD//hemN//
GO_0000967_10	glcB//ybaE//emrD//
GO_0001101_4	waaP//pfkA//lpxL//ssuB//xylH//dgcF//rsmA//yrdA//tdcR//bfr//fabD//codA//yegD//menC//menE//purT//mazG//tnaA//ydiF//nlpI//infC//fliT//rzpR//cmk//map//ttdT//
GO_0001121_7	mglA//fadJ//
GO_0001123_8	sapB//
GO_0001124_8	dicC//
GO_0001407_7	ymfK//arsB//rclC//mepH//
GO_0001505_4	hemB//yaaY//skp//yneL//uhpA//metN//ybdN//fadI//insB-2//moaC//ycfH//lptC//macB//ydjH//hyaD//prpR//
GO_0001510_5	lgoT//rcnR//yjcS//tehB//araE//nudF//flgB//dpiB//ppk//tauC//yijE//fucK//ycjW//eco//htrE//cydC//selA//ydbK//srlB//ralR//acnA//insB-2//gapC//sanA//rsmA//aslB//napB//insK//fhuB//thiD//rimL//endA//purN//shiA//potB//ybhR//yneL//apt//chbC//ybiO//
GO_0001514_8	yidC//
GO_0001522_7	xylE//yddM//cutC//yaiP//fabB//relE//nrdD//gsiD//hsdR//tolQ//hldE//pyrL//rph//
GO_0001539_4	greB//yjjQ//nlpD//pdxJ//ilvN//ftsX//argC//setA//uhpT//fdhD//ghxQ//carB//glrK//recD//pheT//ompC//ihfB//speC//hokB//csrA//puuP//poxB//trpE//trmA//galF//accC//nsrR//nsrR//hldE//rluF//yafN//
GO_0001558_5	ccmG//malQ//cvpA//yagU//yibA//aceA//folP//rpoA//
GO_0001561_6	lapA//
GO_0001666_4	gcvP//
GO_0001676_6	rpmA//tnaA//rfaC//
GO_0001680_11	dsdC//
GO_0001682_11	rplA//
GO_0001731_7	glsA1//
GO_0001762_6	afuC//
GO_0001887_4	aroB//hsdM//hypE//
GO_0001896_5	frdC//putA//yjiA//paaA//
GO_0001907_5	rnc//nanK//endA//sufC//
GO_0001932_8	purF//tamA//
GO_0001934_9	ydjE//
GO_0002047_6	melR//uidC//
GO_0002097_8	yadG//nfo//sohB//pgi//glyA//asnA//ettA//trmH//cutA//yhbQ//mscK//yihI//ldtA//tatD//ddlB//nrdA//norR//helD//parE//
GO_0002098_9	fabR//tdcC//waaO//cpxP//potE//mukB//fhuB//malI//rlmL//bioB//ycdY//torY//yhjG//
GO_0002099_9	ade//ygiW//
GO_0002100_9	pepA//
GO_0002101_9	mnmE//sufC//
GO_0002128_7	rhmR//manZ//adiC//dut//
GO_0002130_8	opgD//
GO_0002131_9	ynbD//
GO_0002132_9	alaA//
GO_0002136_10	waaJ//
GO_0002143_9	hypE//yabI//nikR//cusC//rnr//feoA//
GO_0002181_7	tdcB//yjtD//
GO_0002183_5	glnE//
GO_0002184_8	yjbB//
GO_0002188_6	yoaA//
GO_0002190_6	aroH//
GO_0002192_8	yciT//
GO_0002252_3	ybaL//coaD//metK//tufA//allD//rtcR//citG//atoB//mgsA//rpsA//
GO_0002790_6	rpoD//yfaV//galE//marR//intQ//cas3//aceF//
GO_0002937_9	xisR//
GO_0002938_8	gltL//
GO_0002939_7	pstA//
GO_0002943_8	hslJ//
GO_0002949_8	puuA//yjcO//glpA//trxC//
GO_0003333_7	ccmH//hprR//cpoB//glgB//sbmC//sapB//sfsA//ftsN//gpmA//casC//yhhZ//ybcF//mdtB//modC//lpxP//araD//yigL//hemE//mrp//agaR//ybdR//malZ//lldR//tatA//guaC//csrA//napD//rsmC//pck//hybA//rnr//trmL//topAI//thiG//asnA//katE//ymgA//relB//sgbU//insK//recO//fryA//gntU//yfaE//zntA//exbB//uxuB//yhbO//opgG//
GO_0005975_4	fbaA//yfaU//rsmJ//ldtB//phnH//nadB//tyrR//trpD//napF//ynjD//aslB//ggt//acnA//yfcG//queE//cysH//sppA//pgl//waaZ//dapA//ydaV//ugpE//mtfA//glmU//ybjL//groL//rpiA//menE//yfbU//fre//cmoA//rcsD//dppA//ydeI//ydjH//uidA//garR//argD//mliC//tag//leuC//metB//oppB//yfdS//ybhD//ortT//mazF//rplB//pyrL//radA//grcA//yqiH//clcB//yggE//yhaV//flhA//yagI//yegT//rcsB//putP//dadA//ybiJ//ybcJ//narH//nagD//yhjR//holA//ygbN//htpX//rppH//yobA//mntR//rpsT//cysK//btuE//manY//nrfG//zwf//syd//iscX//ppsR//ompR//tdcA//waaC//araD//mmuM//ftp//acrD//fadB//nhaA//wzzE//yeeO//ribE//purD//afuB//ybiS//xylE//yciT//kefG//tmcA//intZ//dcd//yfdG//hcaR//lysS//uof//yehX//yidZ//kduI//shiA//fdhD//dkgB//deoR//phnJ//icd//truC//prpC//frc//hyi//cspI//mdh//bcr//rhmR//orn//ygfI//rplI//ubiB//ydbK//rbsB//rpnA//malQ//mltB//glk//decR//ybcC//ykgA//cutC//yfcR//ynfL//maa//proW//iraM//trg//pspA//panZ//bioD1//paaJ//rlmA//ftsI//secM//pdxA//fdhE//mdoG//metR//cspC//ivbL//tufA//mreC//yceD//pcm//tauD//yafO//exoX//apt//mlaE//helD//yfeO//pckA//xerC//torZ//dinB//panF//rffH//yhbQ//gcvH//gmd//nrfG//rpoA//srlA//mtlR//pyrB//fecC//ydfK//uxaB//dhaM//cobU//mrdB//trkA//gsiC//hdhA//stpA//adiC//asnA//mhpA//arnA//adhP//uvrC//dadA//ada//glpB//radA//glnL//cptB//mepS//glcC//yahN//thiH//clcA//era//gcl//sdhA//gyrB//nfuA//gapC//zntA//purF//araC//oppA//opgB//ydjJ//elfA//putP//gudP//infC//dcuB//cyoD//mppA//yagU//caiE//murQ//hisI//lpd//yciK//lpxC//ndk//ptsH//ftnA//hemE//trmI//proC//maa//lipA//cspG//hsrA//btuC//groS//yahI//amiA//chiP//tdcB//dusC//minE//rlmD//metG//
GO_0005976_5	gstB//xylF//yfcR//ushA//tufA//nrdR//hyfF//ppiA//ihfB//csiD//pdeK//ydcI//pspG//insF-1//rpsI//mglA//potE//mrdA//dppC//dinB//chbB//garD//asnS//aroE//ydjJ//kdgK//tdk//ybjL//ftsN//dhaK//agaI//ynaI//rpmH//epmA//yraI//tktA//osmY//atoB//tusB//dctR//argP//rne//djlC//nudG//narP//ompR//purA//intQ//srlD//allC//serC//psuG//yidZ//rsmJ//rhtB//paaG//pppA//lptF//psd//
GO_0005977_6	yfcR//scpC//alkB//cra//pheM//yfjR//ivy//intF//
GO_0005978_7	wzb//sthA//msrP//yjiM//
GO_0005979_8	xylG//
GO_0005980_7	otsB//priC//kdsC//
GO_0005981_7	setB//
GO_0005984_5	ytfT//hxpA//ibsE//rbsC//nemA//rpnB//fadA//cysZ//yeeA//crcB//yidK//
GO_0005985_6	yhiM//
GO_0005986_7	pspG//
GO_0005988_6	bamB//rpoS//
GO_0005990_7	cyaY//insI-2//
GO_0005991_6	pyrD//poxB//uvrB//btuE//argC//
GO_0005992_7	feoB//upp//
GO_0005993_7	gltD//lpxP//eptC//
GO_0005994_6	zapA//
GO_0005995_7	tcdA//
GO_0005996_4	intE//cas3//katE//secG//yaaA//mnmA//hycA//lpxC//lpxT//yhhT//dmlR//nimT//iraM//eutD//dgcE//tomB//trpL//nagA//xisE//fimE//yihQ//ybiI//nrdR//nsrR//bssS//yojI//allS//yfdG//nrdF//gapC//ftsP//ligB//hisH//thiH//yneJ//menH//ileS//dtd//rcsC//pyrH//azoR//ibsC//murQ//ulaC//wzc//dinJ//ilvM//holA//rfbB//tatC//relB//folX//sdaA//mraZ//yebC//sucA//rpsG//nagA//moaB//cbl//aroH//fepE//cueR//mzrA//rhaB//trpGD//ybaM//mgsA//fucI//flgJ//greB//feaR//yihW//cyaY//tsaB//mgrB//nudG//pflB//elyC//prfB//ymgA//shiA//
GO_0005997_6	rpmJ//
GO_0005998_7	yahF//
GO_0006000_6	trpA//kefG//hyfC//
GO_0006001_7	yqcC//gyrB//
GO_0006002_5	yiiE//allB//hsrA//
GO_0006004_6	lacY//rnlB//ygfI//hscA//ydcT//glgX//
GO_0006006_6	npr//glpC//sufD//ftnA//ygbN//yfaU//speG//pgpA//yhcN//bioB//cspE//ybjL//insB-2//ybbY//speA//fryA//tsaD//yehZ//gatZ//ftsN//rffC//yibH//putA//
GO_0006007_7	appB//mcrB//ynaE//
GO_0006011_5	atoB//
GO_0006012_6	narX//mlaD//arnE//ybcC//agaW//hybE//deaD//appC//poxB//
GO_0006013_6	acpS//caiF//
GO_0006014_6	bssS//hpf//msrC//
GO_0006015_7	mgsA//dinB//
GO_0006020_5	mlaF//
GO_0006022_5	msrB//oppC//ygaZ//rpmE//ulaB//waaA//rnhB//kdpD//alpA//phoP//wzzE//phnP//topB//fetB//prmA//oxc//hisD//yahB//hisB//yfaU//dtpD//cas2//cbrA//yfhH//adiA//fbaA//evgS//dacC//nrfC//holB//gatC//exuT//rfaE//ldtD//cobS//flgE//uspG//yhbO//ccmC//moaD//cdaR//rpmF//gdhA//nrdH//ligA//aroA//lsrD//nimT//ilvE//rbsC//citT//tusB//trpE//xylF//yigL//ppiC//fixC//lpxB//iscA//gabD//alsC//ycbX//tauB//
GO_0006023_6	araH//ydeP//abpA//tusA//wzc//dinD//folM//asnA//psd//ydcO//hycI//sgbE//acrR//ogt//cysB//yfiC//kbp//skp//yccX//rnlA//ygaZ//fadD//yfaV//hsrA//treC//emrB//atoC//phnL//tdcF//ybgI//nagD//leuC//lacI//trg//thyA//ubiJ//leuB//ydcI//yieK//
GO_0006024_7	rsmG//amyA//insA-1//hybB//nirB//metF//rhmD//gcd//hchA//ycgR//caiF//waaJ//cspG//ycjR//intF//matP//yidR//metK//secB//ilvB//ybbN//sdhE//pstB//rayT//nanA//fbp//prpC//deoB//ssuA//proP//yoaA//fabZ//pnuC//rfaC//btuD//rlmA//rpsL//cydD//dapA//
GO_0006026_6	frdB//speB//metC//msrQ//yfeR//rpiA//dcd//rcsF//arfB//hemC//
GO_0006027_7	ydiF//rodZ//mqsR//yraH//bssS//adiC//mreC//yqiI//narW//mrr//
GO_0006040_5	rlmG//nagK//frdC//sdaA//tomB//panC//ilvN//yagF//djlC//cobT//glcD//yddL//nrdG//yebK//cas1//uhpB//ilvA//
GO_0006044_7	yhjG//hsdR//recF//flgA//pdeF//
GO_0006046_8	phnM//gatB//lsrR//ybdM//
GO_0006047_5	folM//secD//pdxY//eamA//yehY//yceD//ydeO//
GO_0006048_6	cobS//fabZ//fliA//btuR//adhE//arfA//
GO_0006050_6	acrD//
GO_0006051_7	yaiV//
GO_0006053_8	sucA//
GO_0006054_6	yjbE//arcB//atpH//feoB//yjaA//minE//mak//
GO_0006056_6	acs//
GO_0006057_7	yeaE//
GO_0006059_6	recT//yaaY//mlaC//feaB//
GO_0006060_7	uidA//
GO_0006062_8	prc//
GO_0006063_5	betA//oppF//gpmM//yijE//atpA//dcuC//metL//glrK//rpsB//
GO_0006064_6	araB//hofQ//rraA//yohC//rcnB//feoA//
GO_0006066_4	rssA//yegT//galT//pspD//recA//ybaT//spy//yhjD//cvrA//dapD//leuC//yqcC//fsr//yehU//mtlD//fdoI//fadI//yqiH//lacY//garL//garP//truA//dctA//maa//dtpD//thiL//yaaY//hofN//yddG//hexR//tusC//ybiS//
GO_0006067_6	folD//ybhA//ybgI//
GO_0006071_6	ybdH//ykgA//dacA//nrdR//adeD//sgcX//psuG//
GO_0006072_6	ldtB//purC//lpxM//sucB//yoeE//
GO_0006073_6	mtr//glgS//smrA//yahO//tolQ//lptC//pdeD//lolE//uvrC//glpT//thiH//emrK//wzb//citG//folA//xdhB//trpGD//rffC//recN//ygcR//
GO_0006081_4	ykgO//yggF//baeS//waaL//fabI//dnaT//waaA//hemC//mukB//ibsD//ompL//atoS//thiQ//glnL//tesB//nrdB//paaZ//era//ddlA//yeiG//zupT//prmB//znuC//fliA//fetA//yfjV//focA//cueR//nrdI//rdgB//mog//chaC//malF//ilvC//chbC//flgC//moeA//alsC//cof//ebgA//yfbR//clcB//ybiO//lacY//yhfS//mdtQ//ybiT//nuoB//hyfA//fhuD//yicJ//tus//zupT//intQ//truB//hyfR//cydC//rcnB//yagE//ybjL//mraY//hha//flhD//livF//purR//agaW//tldD//
GO_0006082_4	hdeA//yafS//rpsE//ynhG//pal//agp//kbaY//yebZ//insI1//arsR//agaS//hfq//prs//cynT//dnaX//rhsD//sdaC//wzzB//sbmC//trpA//hdeB//folM//recG//yejE//aroA//aphA//malF//ibpA//mnaT//garL//envZ//djlC//lrp//betA//malE//accC//msrQ//secY//dicB//cobT//menI//dicC//hpf//yhbQ//yjfF//manY//nmpC//blc//fetB//mobA//speD//aas//tsgA//accD//hldE//ykgM//dgcF//dapB//appA//rlmI//intA//pagP//fadI//ydeP//mnmC//bioC//nuoH//rpsO//sgcE//bluR//rhtA//narL//wzzE//chbF//hdfR//ytfT//dut//bamA//recA//panE//oxyR//kdgR//sdaA//epmC//flhE//alsC//ybjL//mppA//tcyJ//gor//fliL//sugE//yahF//lipA//narZ//rhlE//paaA//proS//dmsA//dacD//rplF//ribF//dnaK//fimF//tilS//yjiA//rffC//msrP//dld//hslR//araB//hyaC//puuD//clcB//gsiD//dmsA//ghxP//nrfG//dgoA//mnaT//pyrL//mdtA//sgrR//ydeE//sgrR//yhjX//nanR//cra//topAI//aroP//ydbD//ydeP//mltD//phoB//shiA//atoB//phnG//ygfZ//psuG//hxpB//yohD//rsmI//panE//hybF//accD//ibsB//minC//yjbH//nlpD//frlA//sgbE//xylA//metB//ynbC//phoA//purA//fnr//hybO//ybfA//hyfR//tsr//dapA//cspG//dsdA//rihB//gsiD//gmhB//mnmC//rplY//rlmC//ccmD//leuA//ompN//alkB//yieH//ilvM//pgpC//relE//umuD//yghB//napB//dinJ//yjiA//queD//metR//trmI//plsC//ispA//clsA//napB//gadB//yrbG//alkB//rplP//fabZ//serC//menC//intS//ybjL//rbsR//gldA//metK//elfA//rplQ//narK//uidC//marA//recD//fhuB//dsdX//yeiG//cof//bioC//yaaU//gloA//cheZ//oppB//melB//ynfL//rhaS//cysP//rffM//nepI//pstS//secF//fadH//satP//rpnD//ribE//fimB//caiF//ydcT//yidC//tsf//dhaR//wzb//dtpA//ccmA//dut//dcuR//exuR//ung//acpT//ribF//speD//tatB//insI-2//hypA//ynjD//fklB//yqcG//ada//truC//hscC//yjjB//dam//proQ//gspF//rhtA//glcB//chpB//ycaN//uof//waaF//dtd//idnT//chaA//speA//galF//yeeY//surE//hldE//ralR//gcvT//hsdM//hemD//uxaA//potD//ppc//tusA//hda//prpR//frvR//cobT//psd//trpB//sgcE//dinJ//tatA//yjhH//dhaR//sucA//idnD//udk//yejA//narQ//malP//scpC//tdcE//dfp//ibsE//purC//yeaK//uhpT//ybhA//ftsX//gmk//arnB//purB//ybgI//prfB//emrB//pgpC//pppA//phnG//yedF//rplB//metQ//panZ//adiY//upp//maeA//prkB//galT//yhjR//mdtB//lysC//mreC//yhfK//purL//galT//rplM//cheW//ydiB//mepM//narV//yadN//yjeI//allC//narP//gcvH//aphA//citT//carB//frvA//maoP//dtpC//clsC//ygaZ//argC//epmA//secB//fliZ//dhaM//napD//sapF//mutH//lysC//yhjV//serA//arcB//uacT//rbsK//entH//caiE//yejE//mcrA//hyaD//nikC//pspC//lpxM//gdhA//ygeW//fadK//bioD2//glnH//pspF//ychO//fetB//pgk//fumB//mgtL//satP//yhiM//hybC//yghU//phoB//dmlA//yfjV//yfcP//modC//fepG//focA//ycbX//flgF//mtlR//ykgF//idnD//sbmA//rsmA//pdeH//mraZ//gcvT//nagC//phnC//ptsP//mug//tauB//osmC//kefB//arnE//ssuD//gabP//rlmL//ybjI//narV//alsE//opgC//lpxP//yihW//sthA//holD//surE//ydiF//hcaF//recN//zraR//ybjD//yiiE//abgA//thiC//yeaK//cynT//hpf//nrdE//rpnD//lpxB//rhaM//aroD//murA//dnaG//htpX//yehT//gadE//essD//msrQ//zupT//glgP//ygeX//uidC//ydiZ//ybiV//rluF//wecE//fnr//xdhB//ssuE//sdaC//radD//nemA//
GO_0006083_6	flhD//ftsB//argF//yhjC//tatD//yfbU//
GO_0006084_6	mazG//napC//
GO_0006085_7	rpiB//amiC//
GO_0006086_8	lrp//
GO_0006089_5	ytfP//ybhI//umuC//trxA//proA//glcC//fadI//uvrB//xisR//dgcE//alpA//mltG//glnE//lapB//pgaD//sad//ymgF//ftsA//sgbU//ycjD//waaG//yeiG//cheY//pbpG//purU//paaH//rluA//ykgO//tauC//
GO_0006090_8	yphC//nrdB//iclR//hha//moaC//fepB//rutD//nupG//pbpC//paaD//yneE//yahD//mlaE//dcuS//hdhA//tusA//sodA//ibsC//rbsR//adeD//mdtK//pdeD//ubiI//tas//yciE//eno//arsC//hybC//uspB//rutE//rcsC//
GO_0006091_4	yehX//nimT//tdcA//secG//topAI//ssb//frmA//lgt//galR//rrrQ//tsx//eptC//tomB//ydfK//ftsN//argF//rnhB//hinT//metN//aaeB//ynfK//mngB//yqjA//fliD//tpiA//epmB//frlC//yraK//lolC//hemD//acpP//cspE//sufB//glpB//cspC//nlpI//sanA//acnB//mlaB//ydjJ//hda//gstB//zntR//ybbN//tap//astB//insI3//argE//fpr//sodC//bioC//gudD//tpiA//sucD//rhmD//maoP//nusG//bhsA//dacD//rpsA//feoB//yqhD//cusR//acrR//cusS//ybgQ//yjiY//dnaG//tsaC//glxR//tynA//pheA//purB//yfdC//yjeH//ssuE//acnB//tar//exoX//tehA//yhbQ//potA//ftnA//minE//rcsF//rbsR//rpsQ//hybC//glpF//entH//secM//umuC//lsrA//mdoD//tomB//yfeD//dapB//nrfF//lpxK//entB//yedA//ptsG//bluF//pbpG//fimA//ygfZ//lpxL//pdeK//dsbC//raiA//hemE//yadG//
GO_0006094_7	glvB//ribE//glxK//tmk//yadI//serB//adeD//mltG//hemH//treC//
GO_0006096_6	yehP//insA-1//phnC//mepM//creB//emrD//purR//pgrR//sgcC//ddpA//sucB//guaD//yfcA//ybaK//fecC//trg//yiaN//hybE//
GO_0006097_5	queF//aaeA//alkB//rpnC//tolC//
GO_0006098_6	argO//mazF//adhE//rstB//coaE//
GO_0006099_4	yejA//cusB//aroC//entC//fepE//add//murF//rpsG//uxuB//pliG//ghoS//trpR//clcA//gldA//nagD//abpB//mocA//
GO_0006101_6	yobA//deoC//menC//yeeJ//fadJ//menH//cbrC//ycjU//potE//nudC//gltI//ybcC//rpsT//yfdR//nadA//trg//galF//
GO_0006103_5	thrL//yfcV//ppx//
GO_0006104_6	uraA//livM//sgbE//
GO_0006105_5	tap//ttdT//menB//yafN//nanR//narU//ftsX//rplR//
GO_0006106_8	fecA//
GO_0006107_8	uidR//
GO_0006108_8	cobB//phoE//dnaK//sxy//rhsD//
GO_0006109_6	ybiO//tmcA//secD//nadK//hypA//ileS//rplO//alsC//yceO//
GO_0006112_5	deoC//scpB//argC//parE//acrD//gudP//ydfH//artJ//
GO_0006113_5	rdgB//mdh//fucP//tcyP//tonB//ybiI//frdD//sucB//rapZ//nth//skp//tdcD//rplI//
GO_0006115_6	lysU//
GO_0006117_5	yigL//
GO_0006124_6	mdoD//
