#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	crl//yaiW//mtr//dnaG//
GO_0000966_8	mltC//tus//wbbK//bglX//
GO_0000967_10	proB//degQ//msrC//
GO_0001101_4	iscU//sdaB//gabT//dnaK//narU//trmJ//rluC//ybjI//fecB//marA//citX//ygjH//hokB//purR//ibsB//hycA//lysS//dtpB//glsA2//rrrQ//phoE//ycbU//proV//ydeP//rpsR//pdxA//
GO_0001121_7	nac//glmU//
GO_0001123_8	pstB//
GO_0001124_8	clpB//
GO_0001407_7	nrdG//prpD//rutR//btuE//
GO_0001505_4	hyaC//yedL//rcsB//ompG//lit//mdoG//gadW//phr//ydeI//metI//ybbW//cysU//bioA//ybdM//gpp//ubiG//
GO_0001510_5	sdaA//nanS//ymdB//otsB//ccmE//glcA//thrS//narZ//ribA//ydiR//yadK//iaaA//bglA//tolC//yghB//fdrA//manZ//rplB//dtpD//idnD//dsbC//dnaT//yfeX//nemA//trpC//rpoD//entS//flgB//yjiR//zraS//exbD//tsaD//tnaA//frvR//rzpR//dsbB//cadB//mdlA//dkgB//fabD//
GO_0001514_8	yidR//
GO_0001522_7	leuC//dnaQ//rcnR//tdcB//pepD//yfeR//nikE//hemF//mdtM//murA//focB//entD//cbpM//
GO_0001539_4	feaB//fadL//ydjE//phnN//btuR//asmA//thiC//umuC//fcl//zupT//eutR//cdh//ykgF//menH//yphB//ycgB//pspD//wcaJ//entD//mdlB//ppiD//nsrR//ybaT//astB//yihW//shoB//spoT//plsB//cheA//rsgA//tauA//
GO_0001558_5	maoP//acrB//dcuS//znuC//lon//pfkB//glnL//glk//
GO_0001561_6	cyaY//
GO_0001666_4	murG//
GO_0001676_6	fbp//serC//erfK//
GO_0001680_11	hxpB//
GO_0001682_11	yhfS//
GO_0001731_7	sufE//
GO_0001762_6	slyA//
GO_0001887_4	ffh//hycB//kdgT//
GO_0001896_5	tolQ//yfbS//lpxD//yqaA//
GO_0001907_5	mntP//sdhC//uvrY//birA//
GO_0001932_8	cca//hcaR//
GO_0001934_9	ynjA//
GO_0002047_6	ruvB//dpiB//
GO_0002097_8	rph//yajR//yhhY//potF//ybeQ//ymgF//sgcA//yiaB//yhfS//aspS//nepI//crp//cadC//ibsB//macB//yfcS//menD//ybjN//osmE//
GO_0002098_9	djlC//lldD//mlaF//fryC//intE//torI//gadE//mdtM//manZ//intS//xdhB//insH-5//panE//
GO_0002099_9	cusR//yjhB//
GO_0002100_9	truA//
GO_0002101_9	osmF//galM//
GO_0002128_7	cra//dcuB//yejE//ychF//
GO_0002130_8	wecC//
GO_0002131_9	yfcV//
GO_0002132_9	rluA//
GO_0002136_10	caiF//
GO_0002143_9	yqcC//creC//hcaE//gatA//ihfA//cdh//
GO_0002181_7	ynbB//thiM//
GO_0002183_5	yieK//
GO_0002184_8	trpE//
GO_0002188_6	gyrA//
GO_0002190_6	thrS//
GO_0002192_8	nudC//
GO_0002252_3	potA//birA//recQ//panD//garK//mqsA//yneL//mhpA//wzyE//rpsE//
GO_0002790_6	dgoA//oxyR//dgcN//sgcC//ftsN//helD//sxy//
GO_0002937_9	hiuH//
GO_0002938_8	fadJ//
GO_0002939_7	csiR//
GO_0002943_8	glnK//
GO_0002949_8	tolR//dcuD//speE//yiaJ//
GO_0003333_7	yegD//gcd//hxpA//hldE//yegS//wcaC//wcaB//tktA//ybhF//intS//fimC//agaV//clsA//umpG//ygiS//tqsA//rhoL//cydB//fadL//nagA//waaH//yajO//yciT//tnaB//minD//xapR//dsdC//lgt//rfaC//emrD//mntP//rplL//hofP//metK//yadI//rutB//agaS//cbrC//ycjQ//wecC//yeeL//fdhF//sdhB//yibH//yjhG//dmsB//agaA//csiD//katE//
GO_0005975_4	yjjX//ygeA//mltD//torI//leuA//preT//yjaA//bluR//cra//thrB//efeO//glxR//tufA//acs//acrF//queE//fnr//dcuS//lpxB//glxK//wcaC//tktB//adiC//uxuR//arcC//yeeY//asnS//tnaC//rtcB//mtlA//mrp//argR//fucK//ackA//yfaL//fucP//glmM//rsmA//intQ//ybbN//garR//degQ//ileS//prc//sxy//ligA//ulaC//bioD//rrrQ//pdeH//fadK//rhaB//umpH//epmC//recA//aceB//greA//fryB//yhaC//mreD//pcm//hypD//glgS//yrfG//soxS//panF//fimF//cyaA//pflB//thrB//znuA//narH//bglJ//cspC//yieK//cusS//yehU//rsgA//narY//dicA//yqeG//fecB//metE//rhtA//kefG//mdh//wrbA//ompR//argF//umpG//garK//gcvA//adeP//recQ//hybD//ykfM//moaD//yoaB//yciK//tabA//deoC//argK//rpmC//bamB//ilvB//thyA//selB//cca//holB//era//fabH//flgB//ugpB//pgl//lpxC//ycgV//allR//insI1//rpsM//mtnN//ynfE//uxaB//waaB//recO//efeO//trpA//puuR//bisC//mdtB//tonB//pheP//etp//norV//rnlA//alaA//insB-4//ligB//sufA//phnH//mdtL//csiR//narQ//cysK//gpsA//lhr//narV//oppC//ubiC//glsA1//flhC//maoP//yhjA//ygcR//secD//yceK//cobS//ibsB//rplC//fre//yhjR//glcB//yieK//fetB//bamE//ubiB//gspJ//mazG//mltG//hyaB//sapF//yegV//deoC//mlc//entC//sstT//frwB//nmpC//tas//pdeD//nirB//proX//araH//yrfG//fhuF//dpiA//psuT//ybhF//ompT//mscS//prpD//mdtC//opgD//glvC//sbcD//fumB//cyoE//fdrA//ynfF//rrrD//tufA//zapD//rfaE//add//abgA//dcuD//hemD//thrC//yjjQ//ypdA//rpsB//rutA//ybbW//srmB//pspG//envR//purN//arcA//leuO//flgI//rhoL//yagF//manX//cvrA//yraN//astC//pagP//ypdI//yfhH//ydbK//ycdX//tbpA//rcsC//ompF//dicC//ymgA//cmk//ymdB//cpxR//hfq//mdtK//yiaJ//rzoR//kdsB//yahO//waaF//sbcB//ybiT//glvB//yfcV//secF//paaH//acrZ//kdpA//agaS//
GO_0005976_5	speD//rpsM//elfG//tdcA//sbcC//pabC//holE//amiC//ygeA//galP//rpmB//purU//perR//norW//ymgA//prpD//rfbX//leuB//treF//pgm//carA//ycjW//hypC//mutH//aroP//tatC//xerD//pdhR//rpiR//ampD//purD//deoD//nimT//prs//yfgJ//brnQ//mcbA//phnJ//hflK//yiaL//paaC//gabP//elfA//rpoH//narL//hdeA//rarA//ydiQ//ecpR//agaI//ubiG//lolA//greA//ftsL//dapB//tabA//cysM//elbB//yraK//
GO_0005977_6	bolA//cdh//yidQ//feoA//yobA//pabB//yqhD//rbsC//
GO_0005978_7	uxuA//yhbX//norV//cysQ//
GO_0005979_8	yfiE//
GO_0005980_7	gatD//pdxH//rpsE//
GO_0005981_7	paaE//
GO_0005984_5	dps//crfC//ygeV//phnC//bioD1//fabI//envR//waaL//uvrY//yoaA//rhoL//
GO_0005985_6	codA//
GO_0005986_7	amiC//
GO_0005988_6	rpiB//argR//
GO_0005990_7	rpnB//lsrD//
GO_0005991_6	ybaE//rho//ykfM//dapD//yobF//
GO_0005992_7	ldtA//bioP//
GO_0005993_7	yhjX//guaC//flgD//
GO_0005994_6	bluR//
GO_0005995_7	ftsH//
GO_0005996_4	exuT//yjjI//yfiF//rnd//xdhB//hokE//xisE//sucC//modB//lacY//yaaU//chbB//gor//waaZ//ybdG//surA//cfa//ssb//glvC//chaA//tynA//nfsB//yedX//yeeA//rtcB//ibaG//sxy//acrZ//nadK//accB//ymgA//ydaN//rcsD//rpnB//glsA//mfd//helD//selB//ribD//ydeO//yeaE//greA//prc//fimE//amtB//uspC//acrD//degS//menE//queF//pal//sixA//eutA//dgt//glrK//dxr//ybjC//ldhA//dsbC//ynfE//ydiB//ydaV//pepB//hdeD//nrdE//glyS//lptF//yihV//yiaT//yehZ//flgK//rfbB//oppC//oppB//fdnI//yabI//pflC//panB//yqcG//fiu//mdtC//ybiY//
GO_0005997_6	malG//
GO_0005998_7	ilvH//
GO_0006000_6	pyrF//yjfF//paoC//
GO_0006001_7	ydgA//sdhA//
GO_0006002_5	flhA//hyfR//csiD//
GO_0006004_6	ispF//nagK//sseA//hyaB//hisP//araF//
GO_0006006_6	emrB//hofQ//rpsT//ybfE//rpsO//yhbQ//fdnI//uspC//phoA//rplB//pyrL//caiT//insA-2//yidR//pdeH//ymgA//pyrD//oxc//yjeH//folA//gntR//relA//betA//
GO_0006007_7	yhgH//recF//ulaC//
GO_0006011_5	tyrB//
GO_0006012_6	umuC//nadK//glpF//rsmD//rffM//kdgT//mlaF//folC//ynjD//
GO_0006013_6	csdA//lit//
GO_0006014_6	rcsB//cheB//rhtC//
GO_0006015_7	yjfP//sxy//
GO_0006020_5	argC//
GO_0006022_5	uxuA//rlmD//yceK//tus//ydcR//dmsB//menA//ivy//feoC//rlmE//lpp//ompW//ibsC//fdoH//hsdR//aceA//nrdA//rplY//lptD//mdtG//uvrA//crr//pdeR//gsiB//tsaB//pdeF//aroL//groL//yjhP//glmS//yfdC//ivbL//yehP//yccX//menB//yejE//yoaA//rutF//rpmB//polA//fimB//sdhB//rsmI//ubiA//araC//yifB//gcvP//torS//yegD//ibaG//add//bglH//fcl//xapA//ftsN//hisF//pstB//yhhY//tisB//tcyL//acrA//efp//ddpA//
GO_0006023_6	yidH//fumA//nagB//chbC//selD//pgaC//osmF//leuE//glgS//bamE//mhpA//tmcA//argF//yhaV//truA//intZ//yjiQ//asnC//mdtI//fic//sbcD//rpsG//murQ//efp//xapA//nupX//aceF//sgcX//mhpC//dppF//fdnG//ydhJ//recQ//ompL//tsaC//prpB//yehA//glcA//yebS//
GO_0006024_7	rffH//bioC//ndh//hofP//hypF//yidC//nemR//ydbD//mdtC//pgaC//frmA//sufE//glnL//cpdB//intZ//manA//yidD//queC//yphF//kdgR//serS//edd//ydeE//prmB//lolB//feoC//pabA//ghrB//rutD//sbcD//nhaR//xapR//exbB//edd//cobB//ytfE//intA//yfeX//umuD//
GO_0006026_6	yqgF//ade//ydcI//yfdG//rclC//prfC//pgsA//cspC//fecC//phnN//
GO_0006027_7	yafE//rsmG//ogt//rarA//dedD//ydhC//rpmA//rpoA//rsfS//ydiF//
GO_0006040_5	motA//mutT//aldB//bolA//hslV//ycjY//insI-1//rstB//emrD//trg//cobS//garR//pgi//tdcD//pspF//alsA//pntB//
GO_0006044_7	dcuS//uxuB//yjjQ//metG//znuA//
GO_0006046_8	lsrR//gadC//eutA//acrR//
GO_0006047_5	gsiA//yeaK//rpmH//yfaX//flgE//livJ//yjiX//
GO_0006048_6	ypdC//msrP//ghoS//ybhF//hemA//aslB//
GO_0006050_6	ykgO//
GO_0006051_7	lysS//
GO_0006053_8	glpX//
GO_0006054_6	frwC//obgE//selU//tatA//narG//fadJ//guaC//
GO_0006056_6	waaC//
GO_0006057_7	tsr//
GO_0006059_6	cdh//ssuB//ruvB//gmd//
GO_0006060_7	waaH//
GO_0006062_8	yoeB//
GO_0006063_5	rcsC//mglA//proQ//ychO//mutL//topAI//appY//tatD//yidD//
GO_0006064_6	ydfK//yhjD//paaH//higA//csgD//prmC//
GO_0006066_4	rnlB//fucI//ydcS//trmB//gpr//norV//yagJ//ybjC//tufB//pdeH//zupT//btuE//argG//ftsL//bepA//zwf//ptsG//mdtK//malG//gpr//waaF//pbpG//thiI//pdhR//serS//srlE//mntP//yhdJ//fhuB//yobA//nagC//ridA//
GO_0006067_6	yfcS//dnaA//lpoA//
GO_0006071_6	kdsC//idnD//asd//eutB//fepE//mtgA//dnaB//
GO_0006072_6	nuoH//yjiX//betA//phnG//rapZ//
GO_0006073_6	murA//yjhG//mscM//serA//ghoS//murP//yggD//fryC//sucB//yfcS//yeiE//ccmF//cbpM//pphB//acpP//ykgM//zitB//narI//insF-1//napD//
GO_0006081_4	recT//yddM//rpsI//yqjA//dcuR//aroE//trmO//fadI//mgtL//xylE//ymfA//hpt//oxyR//rclB//poxB//yedL//fdoI//rsuA//hrsA//cstA//bolA//leuS//narZ//acrA//rssB//helD//hdfR//fliA//hisA//mdtQ//rcsB//fetB//rbsA//secF//rpe//hemG//chbB//nagA//gltP//erfK//cydA//exuR//exbD//fepC//uhpC//yahN//nrdE//bcsA//ybaK//rplX//norV//cof//abgR//tolC//mmuP//prpB//bcsA//kdsB//hflD//selB//yghB//mdtO//yebS//comR//tnaB//entH//pdxK//
GO_0006082_4	moaC//yghO//srlD//ldtC//kdpD//rpmA//fryC//ycfJ//yhbS//moaC//lepA//nagD//btuF//betT//ybjI//nusA//hpt//treB//mocA//tsaB//fhuF//nadC//acpT//ratA//eutB//nrdR//thiQ//glgX//rlpA//aroB//pstA//feoC//adhE//dps//hisG//lpxT//rpnA//potA//ypdI//ybiO//ldtC//mtn//yhdZ//agaA//lsrG//surE//talB//acrA//sixA//zipA//rpiA//pncB//viaA//dsbD//narQ//ampG//bdcR//insI4//glxR//hypA//spy//yraR//bdcR//cysE//aas//hcaE//copA//insH-6//leuO//cynX//bacA//nudB//kbaY//cspD//ybiO//hemA//yiiE//sfmA//cyoE//umpH//yahD//narK//hipB//ygfZ//nagK//napA//ygcO//yeaE//eutB//psuG//lolE//tyrS//tabA//ansB//nlpE//leuO//dgcZ//mdlA//agaV//hscC//cas3//hyaA//dppD//rarD//ydcS//gspF//ribC//proX//puuE//rpmA//glxK//dcuR//leuS//btuC//hda//ycaO//fetA//rlmL//yidK//aceF//gloA//acrZ//aidB//hofC//nuoE//msrQ//ompL//insI-2//mmuP//adiC//aroG//ychH//btuD//yjgX//uxaC//entF//tynA//ugpA//adeQ//folD//atoS//adhE//fpr//dmsA//msrP//holD//gapC//dmsB//yejB//fliL//parC//chaC//deoC//rbbA//pgaA//mdlA//tatC//ilvM//nfuA//iraD//srlB//lpxK//yahK//rodZ//tcdA//xseA//folE//rfaF//yahK//malE//tas//nepI//ushA//baeS//yihT//ygbI//ghxP//msrP//guaC//htpX//yeeL//hokE//ygcO//potD//yeaV//tcyP//ugpB//thrS//comR//fau//cyoD//yehW//fadB//hofC//copA//clpX//cysW//gph//yibH//murP//frlC//cysC//rplW//rzoD//sgcX//ppsR//mutS//emrE//rlmF//frvR//thrS//pepD//degS//hflX//tnaC//sdhC//gatZ//acnA//bioD1//aroD//uvrY//yehD//htrE//sbcD//rutB//xanQ//yhcD//cspA//yfeD//uvrC//basR//yjhP//elaB//yghO//prpR//hxpA//norW//rlmH//deoB//iclR//fsr//cysZ//hisD//allS//ptsI//iaaA//ptsI//pdxK//ytfP//yfeD//mppA//sugE//acpP//lhr//guaA//argO//prfA//melA//rstB//paaX//ydeM//ftsX//cbeA//hupA//mdtJ//focA//yjjU//prlC//leuS//fieF//panB//rsmG//ubiD//glpD//fhuD//ubiX//wzyE//rffM//gstA//rutG//gyrB//waaB//cusA//casD//fepA//gntT//atpH//cho//sufA//alaE//uvrC//rpsK//pyrG//nupC//betB//cmtB//sapA//pbpG//yjbE//dtd//rbsB//agaV//agaB//xapA//pspD//rpoS//sapF//csgD//yahK//sufD//iaaA//lldD//yhjC//asr//livF//etp//mtfA//nrdB//yceD//glnB//yjiA//treB//yqiG//psuG//asmA//gltB//epmC//pitB//yqhC//higB//rimP//syd//galM//blc//glgA//accA//nfo//mazG//fixB//ascB//hpt//ycjY//norR//asnS//cho//yddG//melA//groS//trmO//intA//ydfH//accA//arnE//rbsB//yqcC//rplY//wbbK//hybG//cyoD//nhaR//mhpR//gapC//thiL//fhuB//fucA//yiaT//fcl//fdnI//rluA//sucB//atoS//rhaA//dusB//ynjD//gpmA//nrdA//selD//tatE//malX//fiu//astC//yhbS//bssS//qseB//nhaR//ppiD//kgtP//pal//ldtA//ftsN//cyoE//yfbS//fixA//ygcO//groS//kbp//tsr//wrbA//agaD//cas3//ybaO//mhpT//yqiH//ptsN//csrA//tolA//mog//narU//dnaN//dcyD//uof//recR//ybhI//yegT//ybiV//malP//ygjR//tas//lapB//sixA//cspB//waaP//ccmD//era//hemN//rpsS//recB//slyA//puuA//hisG//tatA//dctR//kup//cas2//rluE//ugpA//ubiG//modA//fsr//opgD//gapA//trxC//serC//nuoN//recQ//prmB//yafN//cynT//pldB//adeP//fryB//bioH//kbaY//thrA//psuT//ytfT//ybjL//dctR//rpsL//potD//
GO_0006083_6	ompT//idi//hdeA//sfmH//alaE//mrdB//
GO_0006084_6	murC//lptB//
GO_0006085_7	oppB//holE//
GO_0006086_8	yiaT//
GO_0006089_5	relE//ppsA//ygaZ//gatB//lpxL//mlaE//pykA//yeiG//umuD//pflB//thrS//dsbB//sthA//yehD//artP//hycI//mglA//putP//rhaR//yhdX//dgoK//sgbU//yihS//yecS//aldA//ugpC//ykgO//adhP//ybiT//
GO_0006090_8	rhsD//ybhJ//lpxC//yccA//pta//dicC//ldtA//ybiA//yggD//glnL//glnP//moaC//queF//aroB//trpD//rpmH//dosP//sgbH//rcsD//gatY//pepT//waaO//iraM//smpB//potF//sgbE//sufC//lpxL//rluF//trmI//znuB//
GO_0006091_4	ybcQ//pstC//ybhR//hcaC//ispB//kdsA//bglA//citT//sdhD//dgcF//zapC//hypC//ycjP//rpsI//ycjY//ybiX//trpA//fadK//glpT//hdfR//yqaE//tmcA//ecpR//tolC//clpB//hisP//glpR//lolE//ypdI//ychO//stpA//mhpB//yhaV//rtcB//holC//yibH//afuB//eco//csgF//pgsA//lsrA//dinG//purN//yjjW//mgtA//rsmJ//ybiY//cheY//ybiY//uxuB//oppC//cyoB//speG//bglA//codA//intQ//hyfF//fecB//fepC//glpA//yhbO//ybiX//fucK//sapB//oppD//shiA//allD//rutF//dld//yiiD//tktA//ratA//xylA//mrdA//mrcA//yebG//nikE//nrdF//tdcG//ybiO//arcA//yjeH//iscU//hxpA//mdtN//narH//ycjP//rplA//pphB//fabD//yjbF//caiE//nfsB//pheS//uvrB//secM//comR//hybA//ldtB//rbsC//hdhA//dhaM//yieK//cadC//sfsB//fabG//yphC//pck//galP//rfaF//frlC//metQ//
GO_0006094_7	mukB//arfA//nadD//rcnR//hcaE//uxuR//ybiJ//melR//ydiV//tauD//
GO_0006096_6	glgX//yggE//sodB//glnK//tsaC//insH-6//ydcO//plaP//rpsQ//ygbL//rutF//deaD//ybdZ//ridA//argR//proQ//gcd//puuR//
GO_0006097_5	mnmA//stpA//mltA//bsmA//betI//
GO_0006098_6	mltD//btuD//csrD//menH//yidD//
GO_0006099_4	hfq//rsfS//ais//kdpB//nadC//dnaG//mrdA//gadB//feoA//mgsA//rho//fecD//thiC//queC//pdhR//opgB//tauD//
GO_0006101_6	htpX//hyi//sdhC//torS//nuoM//mutL//yggE//kbp//araC//gldA//modA//hcp//nirD//mtlD//kdpD//cysP//preA//
GO_0006103_5	amtB//glnH//patD//
GO_0006104_6	yeaD//hrpA//gpt//
GO_0006105_5	hsdM//dsdA//cheA//acrD//narY//nudC//ulaE//recB//
GO_0006106_8	ydcZ//
GO_0006107_8	tolC//
GO_0006108_8	treR//cysH//yjcE//guaA//insB-4//
GO_0006109_6	rseP//pgaC//rcsF//aceF//rhaB//tomB//hdeA//artP//bacA//
GO_0006112_5	yadM//fliL//yraK//chbC//sgcR//galT//cutC//gspI//
GO_0006113_5	fumA//yhjC//ydcP//trpA//mreB//yhbS//yabI//glnA//aroH//sbmC//kch//umuD//uspE//
GO_0006115_6	glyS//
GO_0006117_5	folX//
GO_0006124_6	ortT//
