# From /Users/Daniela/Documents/CCG/GU_art_2/v22/original_datasets/scripts/create_datasets_v2.pl on Thu Nov 22 14:59:17 2018
# Input = /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_gene.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_active.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_inactive.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/tu_links.txt
#GU name	Genes
FliZ	csgA//csgB//csgC//csgD//csgE//csgF//csgG//flhC//flhD//gadB//gadC//gadE//gadF//hdeA//hdeB//mdtE//mdtF//mlrA//osmY//pdeR//yhiD//
FucR-L-fuculose-1-P	fucA//fucI//fucK//fucO//fucP//fucR//fucU//
Fur-Fe2	amtB//aspC//cirA//crl_1//cyoA//cyoB//cyoC//cyoD//cyoE//entA//entB//entC//entD//entE//entF//entH//entS//exbB//exbD//fecA//fecB//fecC//fecD//fecE//fecI//fecR//feoA//feoB//feoC//fepA//fepB//fepC//fepD//fepE//fepG//fes//fhuA//fhuB//fhuC//fhuD//fhuE//fhuF//fiu//flhC//flhD//fnr//ftnA//fumB//fumC//fur//garK//garL//garP//garR//gdhA//glnD//glnK//gltB//gltD//gltF//gnd//gpmA//grcA//gspC//gspD//gspE//gspF//gspG//gspH//gspI//gspJ//gspK//gspL//gspM//gspO//hmp//katE//katG//lpd//metH//metJ//mntH//mntP//nac//ndh//nohA//nrdE//nrdF//nrdH//nrdI//ompF//oppA//oppB//oppC//oppD//oppF//purR//pyrC//rcnA//rcnB//rnpB//rpoS//ryhB//sdhA//sdhB//sdhC//sdhD//sodA//soxR//soxS//sucA//sucB//sucC//sucD//sufA//sufB//sufC//sufD//sufE//sufS//tfaQ//tonB//ybdZ//ydfN//ygaC//yhhY//yjjZ//yqjH//zinT//zwf//
GadE	cyoA//cyoB//cyoC//cyoD//cyoE//fabZ//fliC//gadB//gadC//gadE//gadF//gadW//gadX//gltB//gltD//gltF//gnd//hdeA//hdeB//hdeD//lpxA//lpxD//lrp//mdtE//mdtF//purA//rcsA//skp//yhiD//
GadE-RcsB	adiC//aslB//cadA//cadB//dctR//gadA//gadX//slp//yhiM//
GadW	dctR//gadA//gadB//gadC//gadE//gadF//gadW//gadX//gadY//hdeA//hdeB//mdtE//mdtF//slp//yhiD//
GadX	amtB//asnB//btuB//cadA//cadB//dctR//gadA//gadB//gadC//gadE//gadF//gadW//gadX//gadY//glnK//glsA//hdeA//hdeB//hdeD//hns//lon//mdtE//mdtF//murI//rpoS//slp//speG//uspE//ybaT//ydeM//ydeN//yhiD//ynfB//
GalR	galE//galK//galM//galP//galS//galT//mglA//mglB//mglC//
GalR-beta-D-galactose	galE//galK//galM//galP//galR//galT//
GalS	galE//galK//galM//galP//galS//galT//mglA//mglB//mglC//
GalS-beta-D-galactose	galE//galK//galM//galP//galR//galT//
GatR	gatA//gatB//gatC//gatD//gatY//gatZ//
GcvA	gcvA//gcvB//gcvH//gcvP//gcvT//
GlcC-glycolate	glcA//glcB//glcC//glcD//glcE//glcF//glcG//
GlpR	glpA//glpB//glpC//glpD//glpF//glpK//glpQ//glpT//glpX//
GlrR-Pasp56	glmY//rpoE//rseA//rseB//rseC//rseD//
GntR	eda//edd//gntK//gntT//gntU//idnD//idnK//idnO//idnR//idnT//nfuA//yhgH//
GutM	gutM//gutQ//srlA//srlB//srlD//srlE//srlR//
HU	galE//galK//galM//galT//micF//mtr//pgm//seqA//tyrP//
HcaR	hcaR//
HcaR-HCA	hcaB//hcaC//hcaD//hcaE//hcaF//
HdfR	flhC//flhD//gltB//gltD//gltF//
HigA	higA//higB//
HigB-HigA	higA//higB//
HipAB	hipA//hipB//mazE//mazF//relA//
HipB	fadH//hipA//hipB//mazE//mazF//relA//
HprR-Phosphorylated	cusA//cusB//cusC//cusF//cusR//cusS//cyoA//cyoB//cyoC//cyoD//cyoE//yedX//
HyfR	focB//hyfA//hyfB//hyfC//hyfD//hyfE//hyfF//hyfG//hyfH//hyfI//hyfJ//hyfR//
HypT-Met-oxidized	cydA//cydB//cysH//fecA//fecB//fecC//fecD//fecE//metB//metI//metL//metN//metQ//
IclR-pyruvate	aceA//aceB//aceK//iclR//
IdnR-5-ketogluconate	gntK//gntU//idnD//idnO//idnR//idnT//
IlvY	ilvY//
IlvY-S-2-acetolactate	ilvC//
IscR	erpA//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//napA//napB//napC//napD//napF//napG//napH//nfuA//nrdE//nrdF//nrdH//nrdI//rnlA//rnlB//sufA//sufB//sufC//sufD//sufE//sufS//ydiU//
IscR-2Fe-2S	iscA//iscR//iscS//iscU//
KdgR	eda//edd//
KdpE-Phosphorylated	kdpA//kdpB//kdpC//kdpF//
LacI	lacA//lacY//lacZ//
LeuO	bglB//bglF//bglG//bglJ//cadC//cas1//cas2//casA//casB//casC//casD//casE//dsrA//leuA//leuB//leuC//leuD//leuL//leuO//yjjQ//
LexA	cho//ddlB//dinB//dinD//dinF//dinG//dinI//dinJ//dinQ//dnaG//ftsA//ftsI//ftsK//ftsL//ftsQ//ftsW//ftsZ//hokE//insK//lexA//lpxC//molR_1//mraY//murC//murD//murE//murF//murG//phr//polB//ptrA//recA//recB//recD//recN//recQ//recX//rpoD//rpsU//ruvA//ruvB//sbmC//ssb//sulA//symE//tisB//umuC//umuD//uvrA//uvrB//uvrC//uvrD//uvrY//yafN//yafO//yafP//yafQ//ybfE//ybiB//ydjM//yebG//
LldR	lldD//lldP//lldR//
LldR-S-lactate	lldD//lldP//lldR//
LrhA	fimE//flhC//flhD//leuO//lrhA//
Lrp	adhE//aidB//aroA//cadA//cadB//dadA//dadX//fau//fimA//fimC//fimD//fimE//fimF//fimG//fimH//fimI//gcvH//gcvP//gcvT//gltB//gltD//gltF//ilvA//ilvD//ilvE//ilvG_1//ilvG_2//ilvH//ilvI//ilvL//ilvM//ilvX//kbl//livF//livG//livH//livK//livM//lrp//lysP//lysU//malT//micF//ompC//oppA//oppB//oppC//oppD//oppF//osmC//osmY//sdaA//serA//serC//ssrS//stpA//tdh//
Lrp-leucine	alaA//alaE//alaT//alaU//alaV//argO//avtA//csiD//gabD//gabP//gabT//gltB//gltD//gltF//gltT//gltU//gltV//gltW//hdeA//hdeB//ileT//ileU//ileV//ilvA//ilvD//ilvE//ilvG_1//ilvG_2//ilvL//ilvM//ilvX//leuE//lhgO//livJ//lrp//micF//ompC//rrfA//rrfB//rrfC//rrfD//rrfE//rrfF//rrfG//rrfH//rrlA//rrlB//rrlC//rrlD//rrlE//rrlG//rrlH//rrsA//rrsB//rrsC//rrsD//rrsE//rrsG//rrsH//serA//thrV//yeiL//yhiD//yojI//
LsrR	lsrA//lsrB//lsrC//lsrD//lsrF//lsrG//lsrK//lsrR//tam//
LysR	lysA//lysR//
MalI	malI//malX//malY//
MalT-maltotriose-ATP	lamB//malE//malF//malG//malK//malM//malP//malQ//malS//malZ//
MarA	acnA//acrA//acrB//acrZ//aldA//dctR//decR//fpr//fumC//hdeA//hdeB//inaA//marA//marB//marR//micF//mlaB//mlaC//mlaD//mlaE//mlaF//nfo//nfsA//nfsB//poxB//pqiA//pqiB//pqiC//purA//putA//rimK//rob//slp//sodA//tolC//waaY//waaZ//xseA//ybjC//ybjN//ygiA//ygiB//ygiC//yhiD//yncE//zwf//
MarR	marA//marB//marR//
MatA	ecpA//ecpR//flhC//flhD//fliA//fliC//fliZ//tcyJ//
MazE	mazE//mazF//mazG//
MazE-MazF	mazE//mazF//mazG//
McbR	mcbA//yciE//yciF//yciG//
MelR	melA//melB//melR//
MelR-melibiose	melA//melB//melR//
MetJ-adenosylmethionine	ahpC//ahpF//folE//metA//metB//metC//metE//metF//metI//metK//metL//metN//metQ//metR//yeiB//
MetR	hmp//metH//
MetR-L-homocysteine	glyA//metE//metR//
MhpR-3HPP	mhpA//mhpB//mhpC//mhpD//mhpE//mhpF//
Mlc	crr//malT//manX//manY//manZ//mlc//ptsG//ptsH//ptsI//ynfK//
MlrA	cadC//csgD//csgE//csgF//csgG//ibaG//obgE//rplU//rpmA//yhbE//
MngR	mngA//mngB//mngR//
MntR-Mn2+	dps//mntH//mntP//mntS//rybA//
ModE-MoO42-	ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//deoA//deoB//deoC//deoD//dmsA//dmsB//dmsC//hycA//hycB//hycC//hycD//hycE//hycF//hycG//hycH//hycI//moaA//moaB//moaC//moaD//moaE//modA//modB//modC//napA//napB//napC//napD//napF//napG//napH//narL//narX//oppA//oppB//oppC//oppD//oppF//
MprA	acrA//acrB//emrA//emrB//mprA//nmpC//
MqsA	csgD//csgE//csgF//csgG//cspD//mqsA//mqsR//rpoS//
MraZ	ddlB//ftsA//ftsI//ftsL//ftsQ//ftsW//ftsZ//lpxC//mioC//mraY//mraZ//murC//murD//murE//murF//murG//rsmH//
MurR	murP//murQ//murR//
Nac	asnC//codA//codB//feaR//gabD//gabP//gabT//gdhA//gltB//gltD//gltF//mioC//mnmG//nac//nupC//patD//serA//ydcS//ydcT//ydcU//ydcV//
NadR	nadA//nadB//pncB//pnuC//
NagC	chbA//chbB//chbC//chbF//chbG//chbR//chiP//chiQ//creA//creB//creC//creD//crr//dinI//feoA//feoB//feoC//fimB//galP//glmS//glmU//manX//manY//manZ//nagA//nagB//nagC//nagE//nanC//nanM//nanS//ptsH//ptsI//umpH//ydeM//ydeN//ydeP//
NanR	fimB//nanA//nanC//nanE//nanK//nanM//nanS//nanT//yhcH//yjhB//yjhC//
NarL-Phosphorylated	adhE//aspA//caiF//ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//citC//citD//citE//citF//citG//citX//cydC//cydD//cysG//dcuA//dcuB//dcuR//dcuS//dmsA//dmsB//dmsC//dmsD//dpiA//dpiB//fdhF//fdnG//fdnH//fdnI//focA//frdA//frdB//frdC//frdD//fumB//hcp//hcr//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//hybA//hybB//hybC//hybD//hybE//hybF//hybG//hybO//moeA//moeB//napA//napB//napC//napD//napF//napG//napH//narG//narH//narI//narJ//narK//nikA//nikB//nikC//nikD//nikE//nikR//nirB//nirC//nirD//norV//norW//nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//nuoA//nuoB//nuoC//nuoE//nuoF//nuoG//nuoH//nuoI//nuoJ//nuoK//nuoL//nuoM//nuoN//ogt//ompW//pflB//poxB//torA//torC//torD//ubiA//ubiC//ydeP//ydhT//ydhU//ydhV//ydhW//ydhX//ydhY//yeaR//ynfE//ynfF//ynfG//ynfH//yoaG//ytfE//
NarP-Phosphorylated	ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//cysG//fdhF//fdnG//fdnH//fdnI//hcp//hcr//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//napA//napB//napC//napD//napF//napG//napH//nirB//nirC//nirD//norV//norW//nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//poxB//ydeP//ydhT//ydhU//ydhV//ydhW//ydhX//ydhY//yeaR//yoaG//ytfE//
NemR	gloA//nemA//nemR//
NhaR-Na+	nhaA//nhaR//osmC//pgaA//pgaB//pgaC//pgaD//
NikR-Ni2+	nikA//nikB//nikC//nikD//nikE//nikR//
NimR	nimR//nimT//
NorR	norR//norV//norW//
NrdR-Zn2+	nrdA//nrdB//nrdD//nrdE//nrdF//nrdG//nrdH//nrdI//yfaE//
NsrR	aceE//aceF//bamE//bdcA//cdd//dkgB//dsdC//feaB//feaR//fhlA//fliA//fliZ//grxD//hcp//hcr//hmp//hycA//hycB//hycC//hycD//hycE//hycF//hycG//hycH//hycI//hypA//hypB//hypC//hypD//hypE//ihfA//infC//lrp//mepH//mhpT//ndh//norR//nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//pgpC//pheM//pheS//pheT//poxB//rfe//rffC//rffG//rffH//rffM//rffT//rplT//rpmI//rybB//sodB//sufA//sufB//sufC//sufD//sufE//sufS//tadA//tcyJ//tehA//tehB//thrS//tsgA//waaH//wecB//wecC//wecE//wzxE//wzyE//wzzE//ydbD//yeaE//yeaR//ygbA//yoaG//ytfE//
NtrC-Phosphorylated	amtB//argT//astA//astB//astC//astD//astE//cbl//ddpA//ddpB//ddpC//ddpD//ddpF//ddpX//glnA//glnG//glnH//glnK//glnL//glnP//glnQ//hisJ//hisM//hisP//hisQ//nac//patA//potF//potG//potH//potI//relA//rpoE//rseA//rseB//rseC//rseD//rutA//rutB//rutC//rutD//rutE//rutF//rutG//yeaG//yeaH//yhdW//yhdX//yhdY//yhdZ//
OmpR-Phosphorylated	bolA//csgD//csgE//csgF//csgG//dtpA//ecnB//fadL//flhC//flhD//micF//nmpC//ompC//ompF//omrA//omrB//pgaA//pgaB//pgaC//pgaD//sra//
OxyR	ahpC//ahpF//ccp//dps//dsbG//fhuF//flu//fur//gntP//gor//grxA//hcp//hcr//hemH//isrC//katG//mntH//nfsA//oxyR//oxyS//poxB//rimK//sufA//sufB//sufC//sufD//sufE//sufS//trxC//uof//uxuA//uxuB//ybjC//ybjN//ychF//
PaaX	paaA//paaB//paaC//paaD//paaE//paaF//paaG//paaH//paaI//paaJ//paaK//paaX//paaY//paaZ//
PdeL	pdeL//
PdhR	aceE//aceF//cyoA//cyoB//cyoC//cyoD//cyoE//ddlB//fecA//fecB//fecC//fecD//fecE//ftsA//ftsI//ftsL//ftsQ//ftsW//ftsZ//glcA//glcB//glcD//glcE//glcF//glcG//grcA//hemL//hha//lpd//lpxC//mraY//mraZ//murC//murD//murE//murF//murG//ndh//pdhR//rsmH//tomB//
PepA	carA//carB//pepA//
PgrR	mpaA//tyrR//ycjF//ycjG//ycjX//ycjY//ymjC//ymjD//
PhoB-Phosphorylated	adiC//amn//argP//asr//cra//cusA//cusB//cusC//cusF//cusR//cusS//eda//feaR//gadW//gadX//mipA//ompF//phnC//phnD//phnE_1//phnE_2//phnF//phnG//phnH//phnI//phnJ//phnK//phnL//phnM//phnN//phnO//phnP//phoA//phoB//phoE//phoH//phoQ//phoR//phoU//pitB//prpR//psiE//psiF//pstA//pstB//pstC//pstS//sbcC//sbcD//tktB//ugpA//ugpB//ugpC//ugpE//ugpQ//waaH//ydfH//yedX//yegH//yhjC//ytfK//
PhoP-Phosphorylated	acrA//acrB//argD//borD//cysB//dcuD//fadL//gadE//gadF//gadW//glgA//glgB//glgC//glgP//glgX//hdeA//hdeB//hdeD//hemL//iraM//malS//metB//metL//mgrB//mgrR//mgtA//mgtL//mgtS//nagA//ompT//pagP//phoP//phoQ//purD//purH//rstA//rstB//rutA//rutB//rutC//rutD//rutE//rutF//rutG//safA//slyB//tolC//treR//ybjG//ydeO//ydeP//ygiA//ygiB//ygiC//yhiD//yrbL//
PrpR-2S3S-2-methylcitrate	prpB//prpC//prpD//prpE//prpR//
PspF	pspA//pspB//pspC//pspD//pspE//pspF//pspG//
PurR-hypoxanthine	carA//carB//codA//codB//cvpA//gcvH//gcvP//gcvT//glnB//glyA//guaA//guaB//hflD//prs//purA//purB//purC//purD//purE//purF//purH//purK//purL//purM//purN//purR//pyrC//pyrD//speA//speB//ubiX//
PutA	putA//putP//
PuuR	puuA//puuB//puuC//puuD//puuE//puuP//puuR//
QseB-Phosphorylated	feaR//flhC//flhD//qseB//qseC//
RbsR	purD//purH//rbsA//rbsB//rbsC//rbsD//rbsK//rbsR//
RcdA	asr//bluF//csgD//csgE//csgF//csgG//sulA//yagK//ydeI//
RclR	rclA//rclB//rclC//
RcnR	rcnA//rcnB//rcnR//
RcsAB	csgD//csgE//csgF//csgG//flhC//flhD//rcsA//wcaA//wcaB//wza//wzb//wzc//yjbE//yjbF//yjbG//yjbH//
RcsB-BglJ	bglB//bglF//bglG//leuO//molR_1//sfsB//yecT//ygiZ//yidL//ykiA//ynbA//ynbB//ynbC//ynbD//ynjI//yqhG//
RcsB-Pasp56	bdm//ftsA//ftsZ//gadA//gadB//gadC//gadX//gadY//hdeA//hdeB//hdeD//lolA//osmB//osmC//rarA//rpoE//rprA//rseA//rseB//rseC//rseD//safA//sra//ydeO//ydeP//yhiD//
RelB	hokD//relB//relE//
RelB-RelE	hokD//relB//relE//
RhaR-alpha-L-rhamnopyranose	rhaR//rhaS//
RhaS	rhaR//rhaS//rhaT//
RhaS-alpha-L-rhamnopyranose	rhaA//rhaB//rhaD//rhaR//rhaS//rhaT//
Rob	acnA//acrA//acrB//acrZ//aldA//aslB//fumC//inaA//ldtB//marA//marB//marR//micF//mltF//nfo//nfsA//nfsB//rimK//rob//sodA//tolC//ybjC//ybjN//ygiA//ygiB//ygiC//zwf//
RstA-Phosphorylated	asr//csgD//csgE//csgF//csgG//narG//narH//narI//narJ//ompF//
RtcR	rtcA//rtcB//
RutR	carA//carB//fepB//gadW//gadX//gloA//nemA//nemR//pdeR//rutA//rutB//rutC//rutD//rutE//rutF//rutG//rutR//
SdiA	ftsA//ftsQ//ftsZ//gadW//ydiV//
SgrR	alaC//setA//sgrR//sgrS//sgrT//sroA//tbpA//thiP//thiQ//
SlyA	cas1//cas2//casA//casB//casC//casD//casE//fecI//fecR//gspC//gspD//gspE//gspF//gspG//gspH//gspI//gspJ//gspK//gspL//gspM//gspO//hlyE//leuO//paaA//paaB//paaC//paaD//paaE//paaF//paaG//paaH//paaI//paaJ//paaK//
SoxR	aroF//fumC//lpxC//mgtA//mgtL//sodA//soxR//soxS//tyrA//yjcB//yrbL//
SoxS	acnA//acrA//acrB//acrZ//aldA//decR//fldA//fldB//fpr//fumC//fur//inaA//lpxC//marA//marB//marR//micF//nepI//nfo//nfsA//nfsB//ompN//pgi//poxB//pqiA//pqiB//pqiC//ptsG//ribA//rimK//rob//sodA//soxS//tolC//uof//waaY//waaZ//ybjC//ybjN//ydbK//ygiA//ygiB//ygiC//yrbL//zinT//zwf//
SrlR	gutM//gutQ//srlA//srlB//srlD//srlE//srlR//
StpA	bglB//bglF//bglG//fau//leuO//ssrS//stpA//
SutR	cysE//fliA//fliZ//sutR//tcyJ//
TdcA	tdcA//tdcB//tdcC//tdcD//tdcE//tdcF//tdcG//
TdcR	tdcA//tdcB//tdcC//tdcD//tdcE//tdcF//tdcG//
TorR-Phosphorylated	tnaA//tnaB//tnaC//torA//torC//torD//torR//
TorR-TorI	gadA//gadX//hdeA//hdeB//yhiD//
TreR	treB//treC//
TrpR-tryptophan	aroH//aroL//aroM//mtr//trpA//trpB//trpC//trpD//trpE//trpL//trpR//yaiA//
TyrR	tyrP//tyrR//
TyrR-phenylalanine	aroG//tyrP//
TyrR-tyrosine	aroF//aroL//aroM//aroP//folA//mtr//tyrA//tyrB//tyrP//yaiA//
UhpA-Phosphorylated	uhpT//
UidR	uidA//uidB//uidC//uidR//
UlaR	ulaA//ulaB//ulaC//ulaD//ulaE//ulaF//ulaG//
UvrY-Phosphorylated	csrB//csrC//luxS//uhpT//ydeP//
UxuR	exuR//gntP//lgoR//uidA//uidB//uidC//uxuA//uxuB//uxuR//
XapR-xanthosine	xapA//xapB//
XylR-xylose	araC//xylA//xylB//xylF//xylG//xylH//xylR//
YdeO	appA//appB//appC//appX//dctR//gadE//gadF//gadW//hyaA//hyaB//hyaC//hyaD//hyaE//hyaF//mdtE//mdtF//safA//slp//uspD//ydeO//yiiS//
YefM	yefM//yoeB//
YefM-YoeB	yefM//yoeB//
YeiL	yeiL//
YhaJ	bssS//
YiaJ	lyxK//sgbE//sgbH//sgbU//yiaJ//yiaK//yiaL//yiaM//yiaN//yiaO//
YjjQ	dgcN//flhC//flhD//gfcA//ompC//ybhL//yciX//yfiB//yfiR//ymiA//
YpdB-Phosphorylated	yhjX//
YqhC	dkgA//yqhD//
YqjI	yqjH//yqjI//
ZntR-Zn2	zntA//
ZraR-Phosphorylated	zraP//zraR//zraS//
Zur-Zn2	ykgM//ykgO//zinT//znuA//znuB//znuC//
