# From /Users/Daniela/Documents/CCG/GU_art_2/v22/original_datasets/scripts/create_datasets_v2.pl on Fri Nov 23 23:40:09 2018
# Input = /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_gene.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_active.txt
# /Users/Daniela/Documents/CCG/datasets/gu_library_v10/TF_inactive.txt
#GU name	Genes
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	marA//marB//marR//
ArcA_CRP_FNR_NarL	ompW//
ArcA_CRP_FadR	fadD//sroD//
ArcA_CRP_FadR_HipB	fadH//
ArcA_CRP_FadR_OmpR_PhoP	fadL//
ArcA_CRP_Fis_Mlc_SoxS	ptsG//
ArcA_CRP_Fis_XylR	xylR//
ArcA_CRP_Fur_GadX_MqsA	rpoS//
ArcA_CRP_GatR	gatA//gatB//gatC//gatD//gatY//gatZ//
ArcA_CRP_GlpR	glpD//
ArcA_CRP_IHF	gltA//
ArcA_CRP_PuuR	puuB//puuC//puuD//puuE//puuR//
ArcA_CRP_RhaS	rhaT//
ArcA_CRP_TreR	treB//treC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	cadA//cadB//
ArcA_Cra	icd//
ArcA_Cra_FNR_H-NS_HypT	cydA//cydB//
ArcA_CysB_FNR	ybdN//
ArcA_DpiA_H-NS	appY//
ArcA_FNR	ackA//dcuC//rplB//rplC//rplD//rplP//rplV//rplW//rpmC//rpsC//rpsJ//rpsQ//rpsS//tpx//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ndh//
ArcA_FNR_Fis_IHF_NarL	nuoA//nuoB//nuoC//nuoE//nuoF//nuoG//nuoH//nuoI//nuoJ//nuoK//nuoL//nuoM//nuoN//
ArcA_FNR_Fur_IHF	fnr//
ArcA_FNR_IHF	hemA//prfA//prmC//
ArcA_FNR_IHF_NarL	ubiA//ubiC//
ArcA_FNR_NarL	cydC//cydD//moeA//moeB//
ArcA_FNR_PhoP	iraM//
ArcA_FNR_PuuR	puuA//puuP//
ArcA_FadR	fadE//fadI//fadJ//
ArcA_FadR_Fis	fadA//fadB//
ArcA_Fur_Lrp_ModE	oppA//oppB//oppC//oppD//oppF//
ArcA_GlcC_IHF_PdhR	glcA//glcB//glcD//glcE//glcF//glcG//
ArcA_LexA	ssb//uvrA//
ArcA_LldR	lldD//lldP//lldR//
ArcA_NarL	hybA//hybB//hybC//hybD//hybE//hybF//hybG//hybO//
ArcA_NtrC_PhoP_RutR	rutA//rutB//rutC//rutD//rutE//rutF//rutG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	nrdA//nrdB//yfaE//
ArgP_CRP_FNR_Fur_Nac	gdhA//
ArgP_DnaA	dnaA//dnaN//recF//
ArgP_Lrp	argO//lysP//
ArgP_LysR	lysA//
ArgP_PhoB	argP//
ArgR_CRP	argG//
ArgR_CRP_Fis	infB//metY//nusA//pnp//rbfA//rimP//rpsO//truB//
ArgR_Fis_IHF_PepA_PurR_RutR	carA//carB//
ArgR_H-NS_NtrC	hisJ//hisM//hisP//hisQ//
ArgR_NtrC	astA//astB//astC//astD//astE//
ArgR_PhoP	argD//
AscG_CRP	ascB//ascF//ybiT//
AscG_CRP_PhoB_PrpR	prpR//
AsnC_MraZ_Nac	mioC//
AsnC_Nac	asnC//mnmG//
AtoC_IHF	atoA//atoB//atoD//atoE//
BCCP_FadR	accB//accC//
BaeR_CpxR	baeR//baeS//mdtA//mdtB//mdtC//mdtD//spy//
BaeR_CpxR_EvgA	acrD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_H-NS_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	csgD//csgE//csgF//csgG//
BasR_CpxR_PdhR	hha//tomB//
BasR_Fis	cspI//
BasR_H-NS_IHF_NagC_NanR	fimB//
BasR_MarA_PutA	putA//
BasR_PhoP	yrbL//
BasR_QseB	qseB//qseC//
BtsR_CRP	btsT//
CRP_CaiF_FNR	fixA//fixB//fixC//fixX//
CRP_ChbR_NagC	chbA//chbB//chbC//chbF//chbG//chbR//
CRP_ComR	bhsA//
CRP_CpxR	cyaR//
CRP_CpxR_CytR	ppiA//
CRP_CpxR_CytR_DnaA_IHF	rpoH//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ompF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	rpoE//rseA//rseB//rseC//rseD//
CRP_Cra	epd//fbaA//gapA//mpl//pck//pgk//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cysG//nirB//nirC//nirD//
CRP_Cra_FNR_PdhR	pdhR//
CRP_Cra_Fis	crp//mtlA//mtlD//mtlR//
CRP_Cra_Fis_GlcC	glcC//
CRP_Cra_Mlc_NagC	crr//manX//manY//manZ//ptsH//ptsI//
CRP_Cra_PrpR	prpB//prpC//prpD//prpE//
CRP_CreB_Fis_MalT	malE//malF//malG//
CRP_CsiR_H-NS_Lrp	csiD//lhgO//
CRP_CsiR_H-NS_Lrp_Nac	gabD//gabP//gabT//
CRP_CspA_Fis	gyrA//
CRP_CytR	cytR//udp//ycdZ//
CRP_CytR_DeoR	nupG//tsx//
CRP_CytR_DeoR_Fis_ModE	deoA//deoB//deoC//deoD//
CRP_CytR_Nac	nupC//
CRP_CytR_NsrR	cdd//
CRP_DcuR_FNR_NarL	dcuB//
CRP_DinJ-YafQ	cspE//
CRP_DnaA_Fis_PurR	guaA//guaB//
CRP_DpiA_ExuR	exuT//
CRP_DsdC	dsdA//dsdX//
CRP_EbgR	ebgA//ebgC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	mdtE//mdtF//
CRP_ExuR	uxaB//
CRP_ExuR_FNR	uxaA//uxaC//
CRP_ExuR_OxyR_UxuR	uxuA//uxuB//
CRP_ExuR_UxuR	exuR//lgoR//uxuR//
CRP_FNR	aer//
CRP_FNR_FhlA_HyfR	focB//hyfA//hyfB//hyfC//hyfD//hyfE//hyfF//hyfG//hyfH//hyfI//hyfJ//hyfR//
CRP_FNR_Fis	ansB//rplM//rpsI//
CRP_FNR_Fis_GlpR_IHF	glpQ//glpT//
CRP_FNR_Fis_H-NS_SlyA	hlyE//
CRP_FNR_GcvA_Lrp_PurR	gcvH//gcvP//gcvT//
CRP_FNR_H-NS_NarL	caiF//
CRP_FNR_IHF_TdcA_TdcR	tdcA//tdcB//tdcC//tdcD//tdcE//tdcF//tdcG//
CRP_FNR_NarL	aspA//dcuA//dcuR//
CRP_FeaR_NsrR	feaB//
CRP_Fis	aldB//hupA//hupB//proP//trg//
CRP_Fis_FlhDC_GalR_GalS	mglA//mglC//
CRP_Fis_FliZ_IHF_Lrp	osmY//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	mazE//mazF//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	bglB//bglF//bglG//
CRP_Fis_IHF	acs//actP//dusB//fis//yjcH//
CRP_Fis_NanR	nanA//nanE//nanK//nanT//yhcH//
CRP_Fis_NtrC	glnA//glnG//glnL//
CRP_Fis_XylR	xylF//xylG//xylH//
CRP_FlhDC_GalR_GalS	mglB//
CRP_FucR	fucA//fucI//fucK//fucO//fucP//fucR//fucU//
CRP_Fur	cirA//entA//entB//entC//entD//entE//entH//fepA//fiu//
CRP_Fur_HypT_PdhR	fecA//fecB//fecC//fecD//fecE//
CRP_Fur_OxyR_SoxS	fur//
CRP_GalR_GalS	galS//
CRP_GalR_GalS_H-NS_HU	galE//galK//galM//galT//
CRP_GalR_GalS_NagC	galP//
CRP_GlpR	glpF//glpK//glpX//
CRP_GntR	gntT//yhgH//
CRP_GntR_IdnR	gntK//gntU//idnD//idnK//idnO//idnR//idnT//
CRP_GntR_IscR	nfuA//
CRP_GutM_H-NS_SrlR	gutM//gutQ//srlA//srlB//srlD//srlE//srlR//
CRP_H-NS	csiE//
CRP_H-NS_HipAB_HipB_NtrC	relA//
CRP_H-NS_LacI	lacA//lacY//lacZ//
CRP_H-NS_LeuO_SlyA	cas1//cas2//casA//casB//casC//casD//casE//
CRP_H-NS_MqsA	cspD//
CRP_IHF	envZ//gcd//hpt//ompR//
CRP_IHF_MprA_OmpR	nmpC//
CRP_IHF_NsrR	sodB//
CRP_IHF_PaaX	paaZ//
CRP_IHF_PaaX_SlyA	paaA//paaB//paaC//paaD//paaE//paaF//paaG//paaH//paaI//paaJ//paaK//
CRP_IHF_UlaR	ulaA//ulaB//ulaC//ulaD//ulaE//ulaF//
CRP_IHF_YiaJ	lyxK//sgbE//sgbH//sgbU//yiaJ//yiaK//yiaL//yiaM//yiaN//yiaO//
CRP_LexA	sbmC//
CRP_Lrp	aroA//dadA//dadX//serC//
CRP_Lrp_Mlc	malT//
CRP_Lrp_Nac	serA//
CRP_LsrR	lsrA//lsrB//lsrC//lsrD//lsrF//lsrG//lsrK//lsrR//tam//
CRP_MalI	malI//malX//malY//
CRP_MalT	lamB//malK//malM//
CRP_MalT_PhoP	malS//
CRP_MarA	xseA//
CRP_MelR	melA//melB//melR//
CRP_MetJ	metK//
CRP_MhpR	mhpA//mhpB//mhpC//mhpD//mhpE//mhpF//
CRP_Mlc	mlc//ynfK//
CRP_ModE	modA//modB//modC//
CRP_MurR	murP//murQ//
CRP_Nac_NsrR_PhoB_QseB	feaR//
CRP_NadR	pncB//
CRP_NagC	chiP//chiQ//nagB//nagC//nagE//umpH//
CRP_NagC_NanR	nanC//nanM//nanS//
CRP_NagC_PhoP	nagA//
CRP_OxyR	oxyR//
CRP_OxyR_UxuR	gntP//
CRP_PhoB	psiE//ugpA//ugpB//ugpC//ugpE//ugpQ//
CRP_PhoP	glgA//glgC//glgP//
CRP_PutA	putP//
CRP_RbsR	rbsA//rbsB//rbsC//rbsD//rbsK//rbsR//
CRP_RhaR_RhaS	rhaR//rhaS//
CRP_RhaS	rhaA//rhaB//rhaD//
CRP_Rob	ldtB//
CRP_TorR	tnaA//tnaB//tnaC//
CRP_UhpA_UvrY	uhpT//
CRP_UidR_UxuR	uidA//uidB//uidC//
CRP_UvrY	csrC//
CRP_ZraR	zraR//zraS//
CadC_FNR_H-NS_LeuO_MlrA	cadC//
Cbl_CysB	tauA//tauB//tauC//tauD//
Cbl_CysB_FNR_IHF	ssuA//ssuB//ssuC//ssuD//ssuE//
CdaR_FNR_Fis_Fur_H-NS	rnpB//
CdaR_FNR_Fur_H-NS	garK//garL//garP//garR//
CpxR_CsgD_FliZ	csgA//csgB//csgC//
CpxR_CysB	dgcZ//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ompC//
CpxR_GadE	fabZ//lpxA//lpxD//skp//
CpxR_H-NS	degP//
CpxR_NsrR	bamE//
CpxR_RcsB	rprA//
CpxR_TyrR	aroG//
Cra_FNR_Fis_Lrp_NarL	adhE//
Cra_FNR_Fur_MarA_Rob_SoxS	zwf//
Cra_FNR_MarA_NarL_NarP_NsrR_OxyR_SoxS	poxB//
Cra_FhlA_FlhDC	hypF//
Cra_GntR_KdgR	edd//
Cra_GntR_KdgR_PhoB	eda//
Cra_PdeL	pdeL//
Cra_SgrR	setA//sgrS//sgrT//
Cra_TyrR	aroP//
CreB_NagC	creD//
CsgD_CysB_FlhDC_H-NS_IHF_MatA_NsrR_SutR	tcyJ//
CsgD_FlhDC	flgM//flgN//fliE//fliF//fliG//fliH//fliI//fliJ//fliK//
CsgD_FlhDC_H-NS_IHF_MatA_NsrR_SutR	fliA//fliZ//
CspA_Fis_GadX_H-NS	hns//
CueR_FNR_ModE	moaA//moaB//moaC//moaD//moaE//
CusR_HprR_PhoB	cusA//cusB//cusC//cusF//cusR//cusS//yedX//
CysB_H-NS	cysA//cysM//cysP//cysU//cysW//
CysB_HypT_IHF	cysH//
CysB_IHF	cysI//cysJ//
CysB_NtrC	cbl//
CysB_PhoP	cysB//
DcuR_FNR_NarL	frdA//frdB//frdC//frdD//
DinJ-YafQ_LexA	dinJ//yafQ//
DsdC_NsrR	dsdC//
EvgA_FNR	emrK//emrY//
EvgA_H-NS	evgA//evgS//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ydeP//
EvgA_H-NS_PhoP_RcsB_YdeO	ydeO//
EvgA_PhoP_RcsB_YdeO	safA//
FNR_FhlA_IHF_NsrR	fhlA//hypB//hypC//hypD//hypE//
FNR_FhlA_NarL_NarP	fdhF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nrfA//nrfB//nrfC//nrfD//nrfE//nrfF//nrfG//
FNR_Fis_IHF_ModE_NarL	dmsA//dmsB//dmsC//
FNR_Fis_IHF_NarL	narK//
FNR_Fis_IHF_NarL_RstA	narG//narH//narI//narJ//
FNR_FlhDC	yecR//
FNR_FlhDC_IscR_ModE_NarL_NarP	napA//napB//napC//napD//napF//napG//napH//
FNR_FlhDC_ModE_NarL_NarP	ccmA//ccmB//ccmC//ccmD//ccmE//ccmF//ccmG//ccmH//
FNR_Fur	aspC//glnD//
FNR_Fur_GadE	gnd//
FNR_Fur_GadX_NtrC	amtB//glnK//
FNR_Fur_H-NS	entF//fepE//fes//ybdZ//
FNR_Fur_MetR_NsrR	hmp//
FNR_Fur_Nac_NtrC	nac//
FNR_Fur_NagC	feoA//feoB//feoC//
FNR_Fur_OxyR	katG//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	gadW//
FNR_H-NS	acrE//acrF//
FNR_H-NS_NrdR	nrdD//nrdG//
FNR_IHF	dppA//dppB//dppC//dppD//dppF//
FNR_IHF_Lrp_YeiL	yeiL//
FNR_IHF_NarL_NarP_NorR	norV//norW//
FNR_IHF_PhoB	phoU//pstA//pstB//pstC//pstS//
FNR_MalT	malP//malQ//
FNR_ModE	narL//narX//
FNR_NarL	dcuS//dmsD//ynfE//ynfF//ynfG//ynfH//
FNR_NarL_NarP	fdnG//fdnH//fdnI//ydhT//ydhU//ydhV//ydhW//ydhX//ydhY//
FNR_NarL_NarP_NsrR	ytfE//
FNR_NarL_NarP_NsrR_OxyR	hcp//hcr//
FNR_NarL_NikR	nikA//nikB//nikC//nikD//nikE//nikR//
FNR_NsrR	pheM//rplT//ygbA//
FNR_OxyR	ccp//
FNR_PurR	purM//purN//
FNR_YqjI	yqjI//
FabR_FadR	fabA//fabB//
FadR_IHF	uspA//
FadR_IclR	iclR//
FhlA_FlhDC	hydN//
FhlA_IHF_ModE_NsrR	hycA//hycB//hycC//hycD//hycE//hycF//hycG//hycH//hycI//
FhlA_IHF_NsrR	hypA//
Fis_Fur	katE//
Fis_H-NS	cspA//
Fis_H-NS_IHF_MntR_OxyR	dps//
Fis_H-NS_Lrp	alaU//alaV//gltT//gltU//gltW//ileU//ileV//rrfB//rrfC//rrfD//rrfF//rrfG//rrfH//rrlB//rrlC//rrlD//rrlG//rrlH//rrsB//rrsC//rrsD//rrsG//rrsH//thrV//
Fis_H-NS_Lrp_StpA	fau//ssrS//
Fis_IHF	osmE//
Fis_IHF_NtrC	glnQ//patA//
Fis_IHF_OmpR_RcsB	sra//
Fis_Lrp	alaT//gltV//ileT//rrfA//rrfE//rrlA//rrlE//rrsA//rrsE//
Fis_MazE_MazE-MazF	mazG//
Fis_NarL	ogt//
Fis_NarL_NarP_NsrR	yeaR//yoaG//
Fis_PurR	pyrD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	hdeA//hdeB//yhiD//
FliZ_RutR	pdeR//
Fur_H-NS	ftnA//
Fur_H-NS_SlyA	gspC//gspD//gspE//gspF//gspG//gspH//gspI//gspJ//gspK//gspL//gspM//gspO//
Fur_IHF_IscR_NsrR_OxyR	sufA//sufB//sufC//sufD//sufE//sufS//
Fur_IscR_NrdR	nrdE//nrdF//nrdH//nrdI//
Fur_MetR	metH//
Fur_MntR	mntP//
Fur_MntR_OxyR	mntH//
Fur_OxyR	fhuF//
Fur_PurR	purR//pyrC//
Fur_RcnR	rcnA//rcnB//
Fur_RutR	fepB//
Fur_SlyA	fecI//fecR//
Fur_SoxS_Zur	zinT//
Fur_YqjI	yqjH//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	dctR//slp//
GadE-RcsB_H-NS	yhiM//
GadE-RcsB_PhoB	adiC//
GadE-RcsB_Rob	aslB//
GadE_GadX_H-NS_PhoP_RcsB	hdeD//
GadE_H-NS_Lrp_NsrR	lrp//
GadE_H-NS_MatA	fliC//
GadE_H-NS_RcsAB	rcsA//
GadE_MarA_PurR	purA//
GadW_GadX_RcsB	gadY//
GalR_GalS	galR//
GlrR_IHF	glmY//
H-NS_IHF	proV//proW//proX//
H-NS_IHF_Lrp	fimA//fimC//fimD//fimF//fimG//fimH//fimI//
H-NS_LeuO	bglJ//yjjQ//
H-NS_LeuO_LrhA_RcsB-BglJ_SlyA_StpA	leuO//
H-NS_LrhA_Lrp	fimE//
H-NS_Lrp	ilvH//ilvI//
H-NS_Lrp_NhaR_RcsB	osmC//
H-NS_Lrp_StpA	stpA//
H-NS_McbR	yciE//yciF//yciG//
H-NS_NhaR	nhaA//nhaR//
H-NS_OmpR	bolA//
H-NS_PhoB_RcdA_RstA	asr//
HU_IHF_TrpR_TyrR	mtr//
HU_IHF_TyrR	tyrP//
HigA_HigB-HigA	higA//higB//
HipAB_HipB_IHF	hipA//hipB//
HypT_MetJ	metI//metN//metQ//
HypT_MetJ_PhoP	metB//metL//
IHF_Lrp	ilvA//ilvD//ilvE//ilvG_1//ilvG_2//ilvL//ilvM//ilvX//
IHF_NsrR	ihfA//
IHF_NtrC	glnH//glnP//
IHF_PhoP	dcuD//
IHF_PspF	pspA//pspB//pspC//pspD//pspE//pspG//
IHF_RcsAB	yjbE//yjbF//yjbG//yjbH//
IHF_RtcR	rtcA//rtcB//
IHF_TyrR	folA//
IHF_UlaR	ulaG//
IHF_UvrY	csrB//
LexA_MraZ_PdhR	ddlB//ftsI//ftsL//ftsW//lpxC//mraY//murC//murD//murE//murF//murG//
LexA_MraZ_PdhR_RcsB_SdiA	ftsA//ftsZ//
LexA_MraZ_PdhR_SdiA	ftsQ//
LexA_NagC	dinI//
LexA_RcdA	sulA//
LexA_RcsB-BglJ	molR_1//
MarA_OxyR_Rob_SoxS	nfsA//rimK//ybjC//ybjN//
MarA_PhoP_Rob_SoxS	tolC//ygiA//ygiB//ygiC//
MarA_Rob_SoxS	acrZ//inaA//nfo//nfsB//rob//
MarA_SoxS	fpr//pqiA//pqiB//pqiC//waaY//waaZ//
MetJ_MetR	metE//metR//
MetJ_OxyR	ahpC//ahpF//
MetR_PurR	glyA//
MraZ_PdhR	mraZ//rsmH//
Nac_PurR	codA//codB//
NarL_TorR	torA//torC//torD//
NemR_RutR	gloA//nemA//nemR//
NhaR_OmpR	pgaA//pgaB//pgaC//pgaD//
NorR_NsrR	norR//
NsrR_PhoB	waaH//
OxyR_SoxS	uof//
PdhR_PhoP	hemL//
PgrR_TyrR	tyrR//
PhoB_PhoP	phoQ//
PhoP_PurR_RbsR	purD//purH//
RelB_RelB-RelE	hokD//relB//relE//
TrpR_TyrR	aroL//aroM//yaiA//
YefM_YefM-YoeB	yefM//yoeB//
