#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	manY//nikR//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ybdN//
ArcA_CRP_FNR_IHF_NarL	nrfG//
ArcA_CRP_FNR_NarL	cusR//
ArcA_CRP_FadR	fabA//rutG//
ArcA_CRP_FadR_HipB	fliE//
ArcA_CRP_FadR_OmpR_PhoP	uxuA//
ArcA_CRP_Fis_Mlc_SoxS	csgC//
ArcA_CRP_Fis_XylR	cirA//
ArcA_CRP_Fur_GadX_MqsA	crr//
ArcA_CRP_GatR	purH//ddlB//csgG//glyA//nikR//relA//
ArcA_CRP_GlpR	fdnG//
ArcA_CRP_IHF	glpX//
ArcA_CRP_PuuR	yecR//rob//malI//poxB//pstB//
ArcA_CRP_RhaS	dpiB//
ArcA_CRP_TreR	acrA//torC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	uof//xylF//
ArcA_Cra	yiaJ//
ArcA_Cra_FNR_H-NS_HypT	nuoC//pspE//
ArcA_CysB_FNR	lysA//
ArcA_FNR	yjbE//sucD//hdeB//rutG//osmY//csiE//aslB//hycA//tcyJ//frdC//uhpT//ccmD//nuoI//caiA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hybE//
ArcA_FNR_Fis_IHF_NarL	fepA//fepB//entE//agaA//lldR//micF//rhaS//yeaR//pstC//pqiB//nirC//pdeL//ssuB//
ArcA_FNR_Fur_IHF	glgC//
ArcA_FNR_IHF	cysG//fadJ//ssuE//
ArcA_FNR_IHF_NarL	actP//hns//
ArcA_FNR_NarL	gadF//ulaF//paaD//cydC//
ArcA_FNR_PhoP	rhaT//
ArcA_FNR_PuuR	yjjQ//murQ//
ArcA_FadR	paaK//hycH//katG//
ArcA_FadR_Fis	guaB//rhaD//
ArcA_Fur_Lrp_ModE	gloA//lpxC//lacZ//prfA//lsrK//
ArcA_GlcC_IHF_PdhR	gutQ//yiaO//ydhU//ebgA//pgaB//fimB//
ArcA_LexA	mhpC//yiaO//
ArcA_LldR	mdtE//rrsH//eda//
ArcA_NarL	uvrA//feaB//hmp//cyoD//gspK//purD//argP//puuR//
ArcA_NtrC_PhoP_RutR	ascB//adhE//tnaA//xylR//ygiC//rrlE//fdhF//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	hypC//nuoM//fabZ//
ArgP_CRP_FNR_Fur_Nac	fecD//
ArgP_DnaA	gspH//rrsH//nrdF//
ArgP_Lrp	pnp//hycG//
ArgP_LysR	cydA//
ArgP_PhoB	rutD//
ArgR_CRP	cyoE//
ArgR_CRP_Fis	norR//ybjC//rpsO//nuoG//ahpF//serC//puuP//garK//
ArgR_Fis_IHF_PepA_PurR_RutR	sucD//feoB//
ArgR_H-NS_NtrC	fucI//dppC//glcF//aldA//
ArgR_NtrC	fliG//rhaD//pgaB//dppB//alaT//
ArgR_PhoP	oppB//
AscG_CRP	cadA//ytfE//ugpA//
AscG_CRP_PhoB_PrpR	dppA//
AsnC_MraZ_Nac	sufD//
AsnC_Nac	dppA//cysI//
AtoC_IHF	poxB//yciF//glgP//appA//
BaeR_CpxR	napA//sucB//acrA//truB//fis//csgD//focB//
BaeR_CpxR_EvgA	gadA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	dinJ//caiB//ulaC//alaV//
BasR_CpxR_PdhR	ssrS//purD//
BasR_Fis	gspF//
BasR_H-NS_IHF_NagC_NanR	csrC//
BasR_MarA_PutA	yiaL//
BasR_PhoP	ydeP//
BasR_QseB	galE//dmsC//
CRP_CaiF_FNR	edd//citX//nirB//hypC//
CRP_ChbR_NagC	nirD//rrlH//metY//deoC//ybiT//micF//
CRP_ComR	pspG//
CRP_CpxR	napA//
CRP_CpxR_CytR	araB//
CRP_CpxR_CytR_DnaA_IHF	aroA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	uof//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	glnA//ascF//paaF//baeS//
CRP_Cra	moaD//ftsZ//ftsI//osmE//pspG//rrfB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nrdI//metR//yciF//ydhT//
CRP_Cra_FNR_PdhR	ileT//
CRP_Cra_Fis	malM//
CRP_Cra_Fis_GlcC	yjbH//
CRP_Cra_Fis_MtlR	glcC//pgk//purD//
CRP_Cra_Mlc_NagC	xylA//cysP//hyaF//fdnH//sucA//narL//
CRP_Cra_PrpR	focA//tolC//aroA//thrV//
CRP_CreB_Fis_MalT	rbsA//napD//mraZ//
CRP_CsiR_H-NS_Lrp	hycB//fixA//
CRP_CsiR_H-NS_Lrp_Nac	narJ//purM//pspC//
CRP_CspA_Fis	aroL//
CRP_CytR	cadA//nrfD//ahpC//
CRP_CytR_DeoR	ssrS//rrsE//
CRP_CytR_DeoR_Fis_ModE	ybiT//bglJ//pck//bhsA//
CRP_CytR_Nac	frdD//
CRP_CytR_NsrR	ackA//
CRP_DcuR_FNR_NarL	fimF//
CRP_DinJ-YafQ	dps//
CRP_DnaA_Fis_PurR	melR//safA//
CRP_DpiA_ExuR	chiP//
CRP_DsdC	mtlR//gadF//
CRP_EbgR	cysH//fimF//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	fhuF//ftsL//
CRP_ExuR	fixB//
CRP_ExuR_FNR	ahpF//dppA//
CRP_ExuR_OxyR_UxuR	rpsI//gspC//
CRP_ExuR_UxuR	fliK//
CRP_FNR	dmsC//
CRP_FNR_FhlA_HyfR	fliI//gspJ//csgA//chbR//paaI//araG//gabD//fliA//focA//gntP//dadA//gltD//
CRP_FNR_Fis	malY//rtcB//aceB//
CRP_FNR_Fis_GlpR_IHF	purD//aceA//
CRP_FNR_Fis_H-NS_SlyA	metQ//
CRP_FNR_GcvA_Lrp_PurR	rcnA//aceF//sgbE//
CRP_FNR_H-NS_NarL	ygiA//
CRP_FNR_IHF_TdcA_TdcR	argO//ompW//ybdZ//ccmA//lsrR//fadD//ccmF//
CRP_FNR_NarL	gltT//hyaA//pyrD//
CRP_FeaR_NsrR	glnQ//
CRP_Fis	rsmH//nikA//prpR//entC//hyfI//
CRP_Fis_FlhDC_GalR_GalS	paaI//csgG//
CRP_Fis_FliZ_IHF_Lrp	fucP//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	rrlD//nrdH//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	rpoH//rpsJ//zwf//
CRP_Fis_IHF	galS//prpC//napA//nrfG//mazG//
CRP_Fis_NanR	nrfG//pncB//gspL//rhaA//gspK//
CRP_Fis_NtrC	hha//fliE//rrfD//
CRP_Fis_XylR	rrfD//ptsI//codA//
CRP_FlhDC_GalR_GalS	baeS//
CRP_FucR	ebgA//malX//hipA//glcF//ilvI//zwf//glcB//
CRP_Fur	rrlG//dmsA//malI//purA//zraS//glgA//fabB//fimD//prpR//
CRP_Fur_HypT_PdhR	malQ//ydeN//fliF//mdtD//folA//
CRP_Fur_OxyR_SoxS	proX//
CRP_GalR_GalS	ygiA//
CRP_GalR_GalS_H-NS_HU	malP//ulaG//rrfE//nrdA//
CRP_GalR_GalS_NagC	ndh//
CRP_GlpR	ansB//tdcB//glmY//
CRP_GntR	rrfF//oxyR//
CRP_GntR_IdnR	malK//modB//yecR//ygiA//nuoI//fecB//ydhT//
CRP_GntR_IscR	fliE//
CRP_GutM_GutR_H-NS	fadD//nhaA//cysI//modA//betT//recF//murP//
CRP_H-NS	sucA//
CRP_H-NS_HipAB_HipB_NtrC	gntP//
CRP_H-NS_LacI	fimF//lacZ//galK//
CRP_H-NS_LeuO	araA//fis//ynfG//purR//feaB//pgaB//rcsA//
CRP_H-NS_MqsA	srlE//
CRP_IHF	dcuA//gadX//malQ//murG//
CRP_IHF_MprA_OmpR	zinT//
CRP_IHF_NsrR	lsrK//
CRP_IHF_PaaX	molR_1//galR//evgS//ccmB//acrD//gcvH//nrfA//rutF//moaB//uxuB//mraY//pgaA//
CRP_IHF_UlaR	cysU//gltT//manZ//icd//gcd//cyoC//
CRP_IHF_YiaJ	pstB//nusA//malM//prpE//fepA//murF//soxR//glnG//fimE//ilvL//
CRP_LexA	acnB//
CRP_Lrp	cyoE//malI//higA//flhC//
CRP_Lrp_Mlc	malP//
CRP_Lrp_Nac	sra//
CRP_LsrR	ptsI//malM//cspE//hdeA//napH//gadY//hyfE//caiE//ynfH//
CRP_MalI	sdhB//fecE//aspA//
CRP_MalT	nemR//soxR//mazF//
CRP_MalT_PhoP	rsmH//
CRP_MelR	nuoE//caiA//rbsA//
CRP_MetJ	fliG//
CRP_MhpR	hemL//araJ//cysG//ftsW//hdeB//asr//
CRP_Mlc	manY//hybG//
CRP_ModE	dinJ//ybfN//nrdI//
CRP_MurR	torA//csiE//
CRP_Nac_NsrR_PhoB	acrE//
CRP_NadR	glpQ//
CRP_NagC	rrsG//fadH//metB//nikE//fucK//nuoI//
CRP_NagC_NanR	rplB//rpsI//yaiA//
CRP_NagC_PhoP	mdtD//
CRP_OxyR	xylB//
CRP_OxyR_UxuR	fliJ//
CRP_PhoB	nuoM//bglJ//mhpB//safA//dppA//rseC//
CRP_PhoP	epd//uidA//astB//
CRP_PutA	sbmC//
CRP_RbsR	pncB//paaC//napB//pncB//rutG//yjbF//
CRP_RhaR_RhaS	ygeA//nagE//
CRP_RhaS	soxR//purD//lsrR//
CRP_Rob	pspE//
CRP_TorR	glgP//betT//lsrA//
CRP_UhpA_UvrY	fadA//
CRP_UidR_UxuR	gcvT//aroG//oppC//
CRP_UvrY	uidB//
CRP_YehT	nuoA//
CRP_ZraR	rhaR//fhlA//
CadC_FNR_H-NS_LeuO_MlrA	nrfB//
Cbl_CysB	puuD//rseC//malK//deoC//
Cbl_CysB_FNR_IHF	fecE//araH//citE//spy//entE//
CdaR_FNR_Fis_Fur_H-NS	lacZ//
CdaR_FNR_Fur_H-NS	puuC//rutE//pspG//pstB//
CpxR_CsgD_FliZ	nac//hisP//ydhT//
CpxR_CysB	amtB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	frdA//
CpxR_GadE	cysG//rplW//sufD//paaA//
CpxR_H-NS	ybiT//
CpxR_NsrR	narJ//
CpxR_RcsB	gcvH//
CpxR_TyrR	waaZ//
Cra_FNR_Fis_Lrp_NarL	ilvD//
Cra_FNR_Fur_MarA_Rob_SoxS	glmY//
Cra_FhlA_FlhDC	hemA//
Cra_GntR_KdgR	gadC//
Cra_GntR_KdgR_PhoB	crr//
Cra_MarA_SoxS	mhpF//
Cra_PdeL	cyoD//
Cra_SgrR	mhpD//yiaL//hisP//
Cra_TyrR	araE//
CreB_NagC	nanE//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	carA//
CsgD_FlhDC	dctA//rhaA//dpiB//puuP//ccmH//pspA//pdeL//cyaR//feoA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gntK//nrdE//
CspA_Fis_GadX_H-NS	recF//
CueR_FNR_ModE	nemA//glnH//glpT//dcuB//cspI//
CusR_PhoB_YedW	hemL//spy//sdhC//citE//fadD//cusA//phoQ//
CysB_H-NS	ilvD//ulaB//marA//gspF//sucC//
CysB_HypT_IHF	fecA//
CysB_IHF	astE//ndh//
CysB_NtrC	phoU//
CysB_PhoP	fliE//
DcuR_FNR_NarL	ydhU//nuoA//purH//ygiA//
DinJ-YafQ_LexA	yrbL//araB//
DpiA_H-NS	ydhU//
DsdC_NsrR	dctA//
EvgA_FNR	ssb//yaiA//
EvgA_H-NS	yecR//ugpE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	dmsD//
EvgA_H-NS_PhoP_RcsB_YdeO	nuoB//
EvgA_PhoP_RcsB_YdeO	purH//
ExuR_UxuR	fixC//metK//
FNR_FhlA_IHF_NsrR	idnK//gltA//galR//mtlD//rhaA//
FNR_FhlA_NarL_NarP	chbR//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	sufC//pheM//edd//alaV//mdtE//hisJ//chbB//
FNR_Fis_IHF_ModE_NarL	ddlB//acs//yeaR//
FNR_Fis_IHF_NarL	manZ//
FNR_Fis_IHF_NarL_RstA	pqiA//napB//gcvH//nuoF//
FNR_FlhDC	hisQ//
FNR_FlhDC_IscR_ModE_NarL_NarP	rplT//rutC//fabA//hybD//ubiC//rrsC//fhlA//
FNR_FlhDC_ModE_NarL_NarP	idnR//zinT//accC//hybB//sodA//ydhX//pspG//tdcC//
FNR_Fur	astE//ilvL//
FNR_Fur_GadE	ccmH//
FNR_Fur_GadX_NtrC	nikR//ulaD//
FNR_Fur_H-NS	rbsR//nuoE//mntH//iraM//
FNR_Fur_MetR_NsrR	uxuR//
FNR_Fur_Nac_NtrC	gloA//
FNR_Fur_NagC	nuoB//ybdN//uxaA//
FNR_Fur_OxyR	leuO//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fnr//
FNR_H-NS	ssuB//pspD//
FNR_H-NS_NrdR	rrsD//ynfK//
FNR_IHF	lldR//caiB//ptsH//fadH//cysP//
FNR_IHF_Lrp_YeiL	qseB//
FNR_IHF_NarL_NarP_NorR	nfuA//cyoE//
FNR_IHF_PhoB	nrfC//dppB//pflB//ubiC//mdh//
FNR_MalT	glnA//hycB//
FNR_ModE	rplC//ndh//
FNR_NarL	yqjI//ybfN//hybE//nagC//fhuF//paaD//
FNR_NarL_NarP	glnA//asr//glyA//hybG//lamB//gutM//nuoA//fimH//fdnI//
FNR_NarL_NarP_NsrR	dadX//
FNR_NarL_NarP_NsrR_OxyR	ssuA//gatC//
FNR_NarL_NikR	rbsB//gutM//puuR//rbsC//zraS//gatD//
FNR_NsrR	glyA//soxS//dnaN//
FNR_OxyR	pgaB//
FNR_PurR	hypE//nikR//
FNR_YqjI	aceF//
FabR_FadR	hns//appA//
FadR_IHF	serC//
FadR_IclR	yrbL//
FhlA_FlhDC	chbG//
FhlA_IHF_ModE_NsrR	hmp//cspA//gadB//nuoI//glpF//nuoF//oppD//mazG//hyfH//
FhlA_IHF_NsrR	mazE//
Fis_Fur	ebgC//
Fis_H-NS	ugpB//
Fis_H-NS_IHF_MntR_OxyR	lsrK//
Fis_H-NS_Lrp	acrF//cyoB//hipB//ybdZ//agaA//casE//pspD//srlD//oppF//fliH//kbaZ//cydD//glnH//hycG//rrfF//pstA//yiaM//citC//tomB//galT//rpoH//agaA//pqiB//ccmH//
Fis_H-NS_Lrp_StpA	hcp//gspF//
Fis_IHF	bglB//
Fis_IHF_NtrC	moeB//inaA//
Fis_IHF_OmpR_RcsB	gltT//
Fis_Lrp	sroD//garK//acnA//pstC//flgM//hmp//rnpB//tnaB//glgP//
Fis_MazE_MazE-MazF	ebgA//
Fis_NarL	ynfG//
Fis_NarL_NarP_NsrR	ygiA//puuA//
Fis_PurR	fepE//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	appB//yefM//zwf//
FliZ_RutR	lldD//
Fur_H-NS	dpiA//nuoH//purM//glcD//appY//casE//phoQ//glpD//garL//sgrS//gltU//chbR//infB//
Fur_IHF_IscR_NsrR_OxyR	rpsO//ilvG_2//dppF//glpT//casE//dsdX//
Fur_IscR_NrdR	ulaG//sufA//fepB//hipB//
Fur_MetR	yfaE//
Fur_MntR	sroD//
Fur_MntR_OxyR	ccmD//
Fur_OxyR	rutF//
Fur_PurR	acrA//pspC//
Fur_RcnR	hupA//yjcH//
Fur_RutR	katG//
Fur_SoxS_Zur	gadF//
Fur_YqjI	glmY//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	citG//ilvA//
GadE-RcsB_H-NS	waaH//
GadE-RcsB_PhoB	dcuB//
GadE-RcsB_Rob	adhE//
GadE_GadX_H-NS_PhoP_RcsB	aldB//
GadE_H-NS_Lrp_NsrR	osmY//
GadE_H-NS_MatA	ftsQ//
GadE_H-NS_RcsAB	poxB//
GadE_MarA_PurR	rhaD//
GadW_GadX_RcsB	hlyE//
GalR_GalS	puuA//
GlrR_IHF	gadA//
H-NS_IHF	mntH//gltA//skp//
H-NS_IHF_Lrp	csgD//fimG//rbsK//chbF//hycA//lpxD//hipA//
H-NS_LeuO	ilvX//xylA//
H-NS_LeuO_RcsB-BglJ_StpA	mioC//
H-NS_LrhA_Lrp	dusB//
H-NS_Lrp	fecC//gntU//
H-NS_Lrp_NhaR_RcsB	yiaL//
H-NS_Lrp_StpA	zinT//
H-NS_McbR	hokD//cas2//metH//
H-NS_NhaR	araD//paaE//
H-NS_OmpR	aceF//
H-NS_PhoB_RcdA_RstA	oppB//
HU_IHF_TrpR_TyrR	aroA//
HU_IHF_TyrR	fadB//
HigA_HigB-HigA	ilvE//uspA//
HipAB_HipB_IHF	ydeO//fimH//
HypT_MetJ	fabB//cusF//uspA//
HypT_MetJ_PhoP	fdnI//nac//
IHF_Lrp	ackA//fucP//marR//codA//phoU//rcnB//argO//gltA//
IHF_NsrR	glcB//
IHF_NtrC	cusC//cusC//
IHF_PhoP	rpsJ//
IHF_PspF	hisP//waaH//dpiA//alaT//argP//argO//
IHF_RcsAB	betI//rtcA//hybC//nagB//
IHF_RtcR	mdtE//purR//
IHF_TyrR	hmp//
IHF_UlaR	oppD//
LexA_MraZ_PdhR	ssrS//pheM//hybA//ompR//inaA//nuoM//hybG//proP//qseC//ccmC//cadB//
LexA_MraZ_PdhR_RcsB_SdiA	pspA//fumB//
LexA_MraZ_PdhR_SdiA	rplP//
LexA_NagC	lsrK//
LexA_RcdA	bamE//
LexA_RcsB-BglJ	csgD//
MarA_OxyR_Rob_SoxS	manX//glnL//fimI//rrfA//
MarA_PhoP_Rob_SoxS	gltV//focA//tyrP//fhuF//
MarA_Rob_SoxS	epd//rcnA//tolC//adiC//lpxC//
MarA_SoxS	mazG//uidA//bglF//caiC//appX//
MetJ_MetR	gcd//dctA//
MetJ_OxyR	nagC//purN//
MetR_PurR	ssuD//
MraZ_PdhR	xylR//glgA//
Nac_PurR	cysH//degP//
NarL_TorR	edd//glpC//torC//
NemR_RutR	hcp//gatA//melA//
NhaR_OmpR	aroL//idnT//hypA//gadE//
NorR_NsrR	dsdX//
NsrR_PhoB	hycG//
OxyR_SoxS	casE//
PdhR_PhoP	icd//
PgrR_TyrR	argP//
PhoB_PhoP	frdB//
PhoP_PurR_RbsR	gadC//nanC//
RelB_RelB-RelE	exuT//ugpE//pgaB//
TrpR_TyrR	grcA//hycD//murG//
YefM_YefM-YoeB	puuP//dps//
