#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mazG//aer//
CRP_CsiR_H-NS_Lrp	malI//malY//
CRP_CsiR_H-NS_Lrp_Nac	rpoS//dmsC//murD//
CRP_CspA_Fis	mazF//
CRP_CytR	galT//rpsQ//fixX//
CRP_CytR_DeoR	cadA//treB//
CRP_CytR_DeoR_Fis_ModE	tauC//prpC//nusA//prfA//
CRP_CytR_Nac	hisQ//
CRP_CytR_NsrR	adiA//
CRP_DcuR_FNR_NarL	lrp//
CRP_DinJ-YafQ	hpt//
CRP_DnaA_Fis_PurR	ahpF//malS//
CRP_DpiA_ExuR	csgF//
CRP_DsdC	pyrC//csgD//
CRP_EbgR	hisP//nuoJ//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	ygiB//aceB//
CRP_ExuR	aroA//
CRP_ExuR_FNR	rrlA//gltB//
CRP_ExuR_OxyR_UxuR	accB//araG//
CRP_ExuR_UxuR	udp//
CRP_FNR	gcvH//
CRP_FNR_FhlA_HyfR	rutF//fabZ//paaI//rpsI//dpiB//cusB//udp//ybjN//paaC//rbsA//cspD//gadF//
CRP_FNR_Fis	rpmC//lysA//modB//
CRP_FNR_Fis_GlpR_IHF	micF//agaV//
CRP_FNR_Fis_H-NS_SlyA	uxaB//
CRP_FNR_GcvA_Lrp_PurR	nuoK//ftsL//fliF//
CRP_FNR_H-NS_NarL	gntK//
CRP_FNR_IHF_TdcA_TdcR	aspA//nrdD//metL//evgA//moaE//ftsW//tnaB//
CRP_FNR_NarL	rplV//alaT//hyfJ//
CRP_FeaR_NsrR	lgoR//
CRP_Fis	uxaB//srlA//dppF//pdeL//pspC//
CRP_Fis_FlhDC_GalR_GalS	fdnG//hyfE//
CRP_Fis_FliZ_IHF_Lrp	nrdA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	uhpT//ppiA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	argO//yciG//ulaE//
CRP_Fis_IHF	paaD//deoB//relB//rrsD//putP//
CRP_Fis_NanR	fimE//pncB//atoD//marR//dppF//
CRP_Fis_NtrC	ptsI//appX//argD//
CRP_Fis_XylR	fdnH//glpC//glcB//
CRP_FlhDC_GalR_GalS	nfsB//
CRP_FucR	slp//sbmC//hyaB//fucI//fes//glcD//katE//
CRP_Fur	pheM//inaA//setA//safA//prpE//dppB//puuA//aspA//lldP//
CRP_Fur_HypT_PdhR	idnD//dcuC//flgM//gspF//hcr//
CRP_Fur_OxyR_SoxS	bglB//
CRP_GalR_GalS	malG//
CRP_GalR_GalS_H-NS_HU	dpiB//sufS//rutB//rhaB//
CRP_GalR_GalS_NagC	rrsG//
CRP_GlpR	ilvG_2//yiaJ//fliK//
CRP_GntR	purA//dsdX//
CRP_GntR_IdnR	fimD//zinT//rrfD//yiaJ//cydB//rimP//nuoB//
CRP_GntR_IscR	fliE//
CRP_GutM_GutR_H-NS	idnR//focB//fliE//tsx//ygiC//rpsC//hyfF//
CRP_H-NS	ugpB//
CRP_H-NS_HipAB_HipB_NtrC	mazF//
CRP_H-NS_LacI	manZ//xylA//envZ//
CRP_H-NS_LeuO	uvrA//fliG//rpsO//acrE//metL//asnC//glcE//
CRP_H-NS_MqsA	crp//
CRP_IHF	pspD//rrsE//nikE//sbmC//
CRP_IHF_MprA_OmpR	lpd//
CRP_IHF_NsrR	dcuC//
CRP_IHF_PaaX	yafQ//pqiB//cadB//ahpF//pdeR//pgaB//glcG//glpK//rutE//mhpF//metH//paaJ//
CRP_IHF_UlaR	tauB//hyfC//metB//lldR//ybiT//idnO//
CRP_IHF_YiaJ	proV//mhpC//galS//nupG//pdeR//nuoI//tyrP//gltT//folA//fdnG//
CRP_LexA	cyoE//
CRP_Lrp	nrdI//hybG//yjiY//ccmC//
CRP_Lrp_Mlc	rplP//
CRP_Lrp_Nac	zraR//
CRP_LsrR	fucU//rpsI//murC//glcB//fimD//gspJ//hypB//hyfE//flhD//
CRP_MalI	ptsG//serA//gspI//
CRP_MalT	dpiB//xylR//ugpB//
CRP_MalT_PhoP	ahpC//
CRP_MelR	srlB//rrsG//hyfJ//
CRP_MetJ	fes//
CRP_MhpR	ybdN//malP//baeS//csiD//ahpC//rseA//
CRP_Mlc	fecA//fixX//
CRP_ModE	malG//malP//fucI//
CRP_MurR	pyrC//nuoK//
CRP_Nac_NsrR_PhoB	rhaS//
CRP_NadR	dpiB//
CRP_NagC	hyfF//dadX//glnH//psiE//hisJ//nmpC//
CRP_NagC_NanR	entB//pgaB//nagA//
CRP_NagC_PhoP	pspE//
CRP_OxyR	cytR//
CRP_OxyR_UxuR	ilvI//
CRP_PhoB	trg//marA//mntP//hipA//skp//narI//
CRP_PhoP	rbsD//hcp//fumB//
CRP_PutA	glgC//
CRP_RbsR	yjbF//dnaA//gspJ//ydhT//ccmG//fadJ//
CRP_RhaR_RhaS	tdcE//rrlD//
CRP_RhaS	rhaA//hemL//ydhW//
CRP_Rob	dps//
CRP_TorR	araH//csgD//glgC//
CRP_UhpA_UvrY	yeiL//
CRP_UidR_UxuR	aroA//agaW//mdtE//
CRP_UvrY	cadC//
CRP_YehT	ybdZ//
CRP_ZraR	nrfG//hybA//
CadC_FNR_H-NS_LeuO_MlrA	napB//
Cbl_CysB	nuoM//agaW//astC//ydeM//
Cbl_CysB_FNR_IHF	qseB//hybA//nrfD//uxuB//gntT//
CdaR_FNR_Fis_Fur_H-NS	ydhV//
CdaR_FNR_Fur_H-NS	modB//nuoN//dppF//mdh//
CpxR_CsgD_FliZ	aspA//mtr//uspA//
CpxR_CysB	rhaS//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	caiA//
CpxR_GadE	ileV//puuR//uspA//oppD//
CpxR_H-NS	hlyE//
CpxR_NsrR	pgaD//
CpxR_RcsB	norV//
CpxR_TyrR	caiT//
Cra_FNR_Fis_Lrp_NarL	sra//
Cra_FNR_Fur_MarA_Rob_SoxS	yhiD//
Cra_FhlA_FlhDC	nrdA//
Cra_GntR_KdgR	rbsB//
Cra_GntR_KdgR_PhoB	ilvM//
Cra_MarA_SoxS	trg//
Cra_PdeL	rplT//
Cra_SgrR	appY//nirC//cysU//
Cra_TyrR	hupB//
CreB_NagC	ygiA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rbsB//
CsgD_FlhDC	hybA//cadB//rrfA//fdhF//nac//fimD//napC//metL//dcuS//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	nanM//ftsL//
CspA_Fis_GadX_H-NS	rrlH//
CueR_FNR_ModE	mglB//rhaA//mtr//dcuA//crr//
CusR_PhoB_YedW	yciF//fimD//galR//gadY//betA//tsx//trg//
CysB_H-NS	ulaG//fnr//nrdB//fabZ//sra//
CysB_HypT_IHF	hyaE//
CysB_IHF	ydeM//sgbU//
CysB_NtrC	nikA//
CysB_PhoP	moeB//
DcuR_FNR_NarL	serA//fadL//rplC//bolA//
DinJ-YafQ_LexA	rutD//nuoN//
DpiA_H-NS	nagA//
DsdC_NsrR	fimB//
EvgA_FNR	csiE//uidB//
EvgA_H-NS	ydhV//rnpB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ssrS//
EvgA_H-NS_PhoP_RcsB_YdeO	aslB//
EvgA_PhoP_RcsB_YdeO	skp//
ExuR_UxuR	hybC//sbmC//
FNR_FhlA_IHF_NsrR	sulA//lsrG//cas2//galS//cusR//
FNR_FhlA_NarL_NarP	nirB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	metN//lyxK//garK//ynfH//safA//flgN//gdhA//
FNR_Fis_IHF_ModE_NarL	torA//mdh//nrfC//
FNR_Fis_IHF_NarL	codA//
FNR_Fis_IHF_NarL_RstA	acrD//dcuR//frdC//argD//
FNR_FlhDC	rrlG//
FNR_FlhDC_IscR_ModE_NarL_NarP	gltT//rhaD//proP//mglB//mtlD//mhpD//entC//
FNR_FlhDC_ModE_NarL_NarP	pdeR//lacA//mntP//deoD//ahpC//rbsK//csgE//chiP//
FNR_Fur	ulaB//rbsB//
FNR_Fur_GadE	yiaL//
FNR_Fur_GadX_NtrC	recF//fadD//
FNR_Fur_H-NS	fpr//lysP//nrfB//fecB//
FNR_Fur_MetR_NsrR	gabP//
FNR_Fur_Nac_NtrC	ydeO//
FNR_Fur_NagC	bglB//mlc//astE//
FNR_Fur_OxyR	malP//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	cadC//
FNR_H-NS	rrfC//cysA//
FNR_H-NS_NrdR	yhiM//mhpE//
FNR_IHF	rutD//metL//rplW//norR//uxaC//
FNR_IHF_Lrp_YeiL	nanE//
FNR_IHF_NarL_NarP_NorR	molR_1//cysJ//
FNR_IHF_PhoB	galK//stpA//yfaE//mhpF//oppC//
FNR_MalT	dps//hypF//
FNR_ModE	cusS//focA//
FNR_NarL	cydD//rplP//fadL//focA//galP//caiF//
FNR_NarL_NarP	prpE//fdnG//sdhC//relB//katE//gltA//hyaC//dcuD//tdcD//
FNR_NarL_NarP_NsrR	galP//
FNR_NarL_NarP_NsrR_OxyR	pnp//uhpT//
FNR_NarL_NikR	acnB//ccmD//argO//flhD//hycA//leuO//
FNR_NsrR	aceK//dinJ//gloA//
FNR_OxyR	moaB//
FNR_PurR	cbl//rhaS//
FNR_YqjI	purA//
FabR_FadR	ydeP//hyaB//
FadR_IHF	edd//
FadR_IclR	galE//
FhlA_FlhDC	hisQ//
FhlA_IHF_ModE_NsrR	nrfB//accC//sgbE//ompR//cysU//oppB//cysJ//lsrF//tpx//
FhlA_IHF_NsrR	chiP//
Fis_Fur	gntK//
Fis_H-NS	fur//
Fis_H-NS_IHF_MntR_OxyR	torD//
Fis_H-NS_Lrp	gadB//ilvL//rrsE//rhaB//epd//tdcB//deoA//ftsL//amtB//ssuB//glcB//fucI//ygbA//csgD//dcuC//tauA//norV//glpC//fimH//fixB//gatZ//osmC//dppD//glpC//
Fis_H-NS_Lrp_StpA	mhpF//puuR//
Fis_IHF	astE//
Fis_IHF_NtrC	waaH//treC//
Fis_IHF_OmpR_RcsB	ftsA//
Fis_Lrp	purM//rpsQ//gatY//csgB//hycG//nrfG//tauA//napA//cusA//
Fis_MazE_MazE-MazF	dmsB//
Fis_NarL	bglB//
Fis_NarL_NarP_NsrR	aroG//nuoI//
Fis_PurR	oppF//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	mtlA//ilvX//mazF//
FliZ_RutR	uidC//
Fur_H-NS	gadB//ssuA//tdcB//rhaA//rutC//ftsL//gltW//folA//deoB//galE//waaH//hyfD//moaC//
Fur_IHF_IscR_NsrR_OxyR	osmE//puuR//ebgC//ssuD//fucA//malP//
Fur_IscR_NrdR	csgB//gadF//ileU//ascB//
Fur_MetR	ynfF//
Fur_MntR	lsrR//
Fur_MntR_OxyR	gltB//
Fur_OxyR	uxuA//
Fur_PurR	hdeA//rrfB//
Fur_RcnR	ilvX//fimD//
Fur_RutR	acnB//
Fur_SoxS_Zur	fliI//
Fur_YqjI	napA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	iraM//tyrP//
GadE-RcsB_H-NS	nfo//
GadE-RcsB_PhoB	soxS//
GadE-RcsB_Rob	cyoD//
GadE_GadX_H-NS_PhoP_RcsB	hyfJ//
GadE_H-NS_Lrp_NsrR	ugpE//
GadE_H-NS_MatA	zraS//
GadE_H-NS_RcsAB	nmpC//
GadE_MarA_PurR	hypC//
GadW_GadX_RcsB	oppC//
GalR_GalS	feoB//
GlrR_IHF	nikC//
H-NS_IHF	lacZ//agaA//cysG//
H-NS_IHF_Lrp	feoC//mdtB//uof//yqjI//hycH//murE//nrfF//
H-NS_LeuO	csiE//fhuF//
H-NS_LeuO_RcsB-BglJ_StpA	gadW//
H-NS_LrhA_Lrp	ilvD//
H-NS_Lrp	gltF//lrp//
H-NS_Lrp_NhaR_RcsB	cyoA//
H-NS_Lrp_StpA	hycB//
H-NS_McbR	nrdB//fliH//yiaK//
H-NS_NhaR	araJ//lpxA//
H-NS_OmpR	cydC//
H-NS_PhoB_RcdA_RstA	icd//
HU_IHF_TrpR_TyrR	glgA//
HU_IHF_TyrR	rbsC//
HigA_HigB-HigA	nuoH//nmpC//
HipAB_HipB_IHF	gadE//rpsI//
HypT_MetJ	hypD//chbR//hycI//
HypT_MetJ_PhoP	hypC//rhaA//
IHF_Lrp	rpmC//fumC//nanC//udp//murQ//uxaA//paaF//cspD//
IHF_NsrR	ilvX//
IHF_NtrC	entD//gspI//
IHF_PhoP	hdeD//
IHF_PspF	uxaB//malX//glcF//pstB//mtlA//rbsB//
IHF_RcsAB	ydhX//mraZ//aldB//hdeA//
IHF_RtcR	xylA//ynfH//
IHF_TyrR	puuP//
IHF_UlaR	ccmD//
LexA_MraZ_PdhR	micF//micF//gltF//ynfK//pstA//gspI//cyoD//moaD//ssuA//purH//nanT//
LexA_MraZ_PdhR_RcsB_SdiA	fliI//rbsD//
LexA_MraZ_PdhR_SdiA	nanT//
LexA_NagC	cysP//
LexA_RcdA	ftsZ//
LexA_RcsB-BglJ	cysM//
MarA_OxyR_Rob_SoxS	cysH//ulaG//ugpA//tnaC//
MarA_PhoP_Rob_SoxS	lldD//glcB//nemA//gadX//
MarA_Rob_SoxS	rpsI//paaI//garR//hha//dsdA//
MarA_SoxS	lpxC//ynfE//napB//dcuA//pgk//
MetJ_MetR	pstB//yhjA//
MetJ_OxyR	yqjI//tauC//
MetR_PurR	ybjN//
MraZ_PdhR	rrfD//ygiA//
Nac_PurR	tdcG//glcD//
NarL_TorR	rprA//appY//dppD//
NemR_RutR	sroD//gltF//paaF//
NhaR_OmpR	rutG//thrV//gadC//modC//
NorR_NsrR	murD//
NsrR_PhoB	glpF//
OxyR_SoxS	casD//
PdhR_PhoP	ptsH//
PgrR_TyrR	feoC//
PhoB_PhoP	tauC//
PhoP_PurR_RbsR	fhlA//lldD//
RelB_RelB-RelE	paaD//alaT//argP//
TrpR_TyrR	leuO//hybF//tnaA//
YefM_YefM-YoeB	malG//cas2//
