#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	pstB//cysH//
BasR_H-NS_IHF_NagC_NanR	cadA//
BasR_MarA_PutA	gnd//
BasR_PhoP	ubiC//
BasR_QseB	lsrK//hycF//
CRP_CaiF_FNR	fepE//cbl//ccmB//prfA//
CRP_ChbR_NagC	ugpE//rrsG//qseB//hyfE//murD//argG//
CRP_ComR	gntK//
CRP_CpxR	bhsA//
CRP_CpxR_CytR	marB//
CRP_CpxR_CytR_DnaA_IHF	lpxA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ynfG//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	atoE//lsrA//ftsZ//gatZ//
CRP_Cra	nusA//proV//treB//cyaR//nrfE//marB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	xylH//lacZ//malF//csgA//
CRP_Cra_FNR_PdhR	fliI//
CRP_Cra_Fis	lsrR//
CRP_Cra_Fis_GlcC	putA//
CRP_Cra_Fis_MtlR	mdtD//ilvE//hisQ//
CRP_Cra_Mlc_NagC	ydeP//xylH//prmC//gadW//pstB//aidB//
CRP_Cra_PrpR	rrlB//paaD//lsrC//araE//
CRP_CreB_Fis_MalT	caiB//gatB//nrdG//
CRP_CsiR_H-NS_Lrp	acrD//prpB//
CRP_CsiR_H-NS_Lrp_Nac	entF//tdcC//fixC//
CRP_CspA_Fis	gadX//
CRP_CytR	ilvD//bglG//dppC//
CRP_CytR_DeoR	creD//codA//
CRP_CytR_DeoR_Fis_ModE	mdtF//hyfC//marB//paaI//
CRP_CytR_Nac	aer//
CRP_CytR_NsrR	gadA//
CRP_DcuR_FNR_NarL	inaA//
CRP_DinJ-YafQ	hemL//
CRP_DnaA_Fis_PurR	proV//cyoE//
CRP_DpiA_ExuR	sdhD//
CRP_DsdC	ppiA//dgcZ//
CRP_EbgR	rutB//rplP//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	gadF//fumB//
CRP_ExuR	hipA//
CRP_ExuR_FNR	yjjQ//ccmE//
CRP_ExuR_OxyR_UxuR	garK//yhcH//
CRP_ExuR_UxuR	nrdB//
CRP_FNR	acnA//
CRP_FNR_FhlA_HyfR	ascF//dppC//ygiB//xylA//gspJ//paaC//nrdD//sucC//malK//rrlC//nrfA//malP//
CRP_FNR_Fis	fecE//nikE//hipB//
CRP_FNR_Fis_GlpR_IHF	atoD//hyfR//
CRP_FNR_Fis_H-NS_SlyA	ccmB//
CRP_FNR_GcvA_Lrp_PurR	hycF//ygiB//iraM//
CRP_FNR_H-NS_NarL	xylR//
CRP_FNR_IHF_TdcA_TdcR	ilvG_1//serC//ssuC//rrsC//fadB//uxaB//nuoM//
CRP_FNR_NarL	purN//ugpB//dctA//
CRP_FeaR_NsrR	uxaA//
CRP_Fis	ygiB//deoB//rrfB//bhsA//hyfG//
CRP_Fis_FlhDC_GalR_GalS	idnK//cusF//
CRP_Fis_FliZ_IHF_Lrp	citX//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	cysU//fimB//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	nuoF//hycA//soxS//
CRP_Fis_IHF	tsx//lysP//caiT//rrsB//fimA//
CRP_Fis_NanR	carB//sodA//moaC//entA//xylB//
CRP_Fis_NtrC	cyoB//tnaB//gabP//
CRP_Fis_XylR	patA//cas1//araC//
CRP_FlhDC_GalR_GalS	hyaA//
CRP_FucR	glcA//fumC//cysH//rpoH//tdcG//marR//gatA//
CRP_Fur	ilvD//pstB//exuT//ynfK//uxaA//dmsC//bglG//focA//prpD//
CRP_Fur_HypT_PdhR	fnr//serA//caiF//proX//tnaC//
CRP_Fur_OxyR_SoxS	lsrA//
CRP_GalR_GalS	fucU//
CRP_GalR_GalS_H-NS_HU	araG//yciG//melR//fucK//
CRP_GalR_GalS_NagC	pheM//
CRP_GlpR	fadI//murP//nuoN//
CRP_GntR	lysP//xylH//
CRP_GntR_IdnR	nrfE//nrdG//sulA//ydhU//napF//tomB//gutQ//
CRP_GntR_IscR	rutD//
CRP_GutM_GutR_H-NS	bglF//pstA//oppC//hyaA//nfsA//dmsB//cydA//
CRP_H-NS	yaiA//
CRP_H-NS_HipAB_HipB_NtrC	rcnB//
CRP_H-NS_LacI	rimP//paaA//pdeL//
CRP_H-NS_LeuO	cydD//napF//pstB//nusA//emrY//tauB//glcA//
CRP_H-NS_MqsA	uof//
CRP_IHF	tdcB//nanK//fliC//gntX//
CRP_IHF_MprA_OmpR	ssuB//
CRP_IHF_NsrR	sufE//
CRP_IHF_PaaX	pqiA//rrsE//yjbG//araC//dsdA//nrdH//hybG//hupB//ccmE//rutB//paaA//cusF//
CRP_IHF_UlaR	nirD//emrY//fhlA//mtlA//glnD//nfuA//
CRP_IHF_YiaJ	cydB//hipA//ompC//micF//rbsK//malK//entE//tdcD//glpX//hisP//
CRP_LexA	chbA//
CRP_Lrp	hdeB//inaA//modA//fecD//
CRP_Lrp_Mlc	rcsA//
CRP_Lrp_Nac	sucD//
CRP_LsrR	hdeB//rrlC//pstB//hdeB//cyoA//rseA//carB//rpsQ//hydN//
CRP_MalI	cbl//moaC//asnC//
CRP_MalT	purA//gadC//gcd//
CRP_MalT_PhoP	xylR//
CRP_MelR	focB//aceE//nrdI//
CRP_MetJ	acnB//
CRP_MhpR	phoQ//envZ//glpB//hybA//gatZ//metY//
CRP_Mlc	focA//ssuA//
CRP_ModE	hipB//hpt//waaH//
CRP_MurR	fadD//malK//
CRP_Nac_NsrR_PhoB	fadH//
CRP_NadR	napA//
CRP_NagC	fbaA//lacA//hycG//yoaG//chbC//manZ//
CRP_NagC_NanR	narI//ccmA//narG//
CRP_NagC_PhoP	argG//
CRP_OxyR	paaD//
CRP_OxyR_UxuR	rplC//
CRP_PhoB	pgaD//yiaK//yjiY//gcvP//fliH//galR//
CRP_PhoP	dpiB//sodA//galT//
CRP_PutA	lldP//
CRP_RbsR	rutA//aceA//ubiC//moeB//nuoH//rrfD//
CRP_RhaR_RhaS	metR//tam//
CRP_RhaS	rprA//gspL//chbR//
CRP_Rob	pdeR//
CRP_TorR	marA//pncB//metI//
CRP_UhpA_UvrY	pgaB//
CRP_UidR_UxuR	hyfF//sgrT//sulA//
CRP_UvrY	nuoK//
CRP_YehT	hybB//
CRP_ZraR	yecR//deoC//
CadC_FNR_H-NS_LeuO_MlrA	rimK//
Cbl_CysB	paaD//manZ//rrlD//gyrA//
Cbl_CysB_FNR_IHF	hyfJ//gltU//entC//rplV//metI//
CdaR_FNR_Fis_Fur_H-NS	uxaC//
CdaR_FNR_Fur_H-NS	garL//feoB//lpxC//zraS//
CpxR_CsgD_FliZ	metN//glcE//yhjA//
CpxR_CysB	safA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fecC//
CpxR_GadE	dsdC//deoB//lsrR//fliG//
CpxR_H-NS	mglA//
CpxR_NsrR	idnD//
CpxR_RcsB	glpD//
CpxR_TyrR	rpoS//
Cra_FNR_Fis_Lrp_NarL	murG//
Cra_FNR_Fur_MarA_Rob_SoxS	ptsG//
Cra_FhlA_FlhDC	soxR//
Cra_GntR_KdgR	malX//
Cra_GntR_KdgR_PhoB	lldR//
Cra_MarA_SoxS	ynfG//
Cra_PdeL	rplM//
Cra_SgrR	nikR//torD//rbsR//
Cra_TyrR	sgrS//
CreB_NagC	hupA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nanM//
CsgD_FlhDC	lsrC//rseA//metN//yjbH//chbC//cydB//murF//zraS//moaB//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	zwf//malY//
CspA_Fis_GadX_H-NS	tomB//
CueR_FNR_ModE	rhaR//malX//gltW//rtcB//csgE//
CusR_PhoB_YedW	modB//nanA//hyaF//puuB//paaC//rcnB//nrdD//
CysB_H-NS	rrsD//iraM//hyfD//yjcH//yjcH//
CysB_HypT_IHF	yjbF//
CysB_IHF	ulaD//hycB//
CysB_NtrC	ansB//
CysB_PhoP	ugpQ//
DcuR_FNR_NarL	rpsS//murP//putA//glcG//
DinJ-YafQ_LexA	bglF//chbF//
DpiA_H-NS	cspA//
DsdC_NsrR	cspA//
EvgA_FNR	garR//citE//
EvgA_H-NS	fliH//narX//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	fliK//
EvgA_H-NS_PhoP_RcsB_YdeO	ppiA//
EvgA_PhoP_RcsB_YdeO	carB//
ExuR_UxuR	pspB//nrfE//
FNR_FhlA_IHF_NsrR	malK//lacY//puuD//nuoC//csgD//
FNR_FhlA_NarL_NarP	uxaA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fis//rbfA//gadF//adhE//galM//gadC//glcB//
FNR_Fis_IHF_ModE_NarL	dppA//fimE//gltB//
FNR_Fis_IHF_NarL	yjjQ//
FNR_Fis_IHF_NarL_RstA	cusF//citG//yqjH//nemR//
FNR_FlhDC	dmsB//
FNR_FlhDC_IscR_ModE_NarL_NarP	prpE//pnp//pstB//norW//alaT//proX//uof//
FNR_FlhDC_ModE_NarL_NarP	rrlC//fepB//fepE//bamE//aidB//murG//poxB//paaH//
FNR_Fur	leuO//fur//
FNR_Fur_GadE	yoeB//
FNR_Fur_GadX_NtrC	degP//hipA//
FNR_Fur_H-NS	fucP//napF//fadH//torA//
FNR_Fur_MetR_NsrR	ydeM//
FNR_Fur_Nac_NtrC	poxB//
FNR_Fur_NagC	gspG//ugpA//soxR//
FNR_Fur_OxyR	bglF//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	hycC//
FNR_H-NS	hypC//glnH//
FNR_H-NS_NrdR	umpH//metR//
FNR_IHF	cspE//nanA//lsrK//flhC//paaE//
FNR_IHF_Lrp_YeiL	ugpB//
FNR_IHF_NarL_NarP_NorR	gdhA//fliZ//
FNR_IHF_PhoB	gapA//cbl//ftsZ//paaC//asnC//
FNR_MalT	adiA//dctA//
FNR_ModE	idnO//napC//
FNR_NarL	dsdX//rutA//mdtA//ppiA//prpC//degP//
FNR_NarL_NarP	yeiL//csgE//pnp//rbsB//murQ//marB//nrdE//nuoF//moeA//
FNR_NarL_NarP_NsrR	cysU//
FNR_NarL_NarP_NsrR_OxyR	fadJ//yfaE//
FNR_NarL_NikR	dsdX//hycF//tsx//csgD//ahpF//emrK//
FNR_NsrR	waaH//ansB//rutA//
FNR_OxyR	ftsW//
FNR_PurR	agaA//emrY//
FNR_YqjI	ilvE//
FabR_FadR	hycI//lldD//
FadR_IHF	ftnA//
FadR_IclR	casE//
FhlA_FlhDC	rrlH//
FhlA_IHF_ModE_NsrR	oppF//araG//mhpA//mhpE//glpX//nupC//gadA//hokD//hisP//
FhlA_IHF_NsrR	prpE//
Fis_Fur	pqiB//
Fis_H-NS	spy//
Fis_H-NS_IHF_MntR_OxyR	alaU//
Fis_H-NS_Lrp	fimI//envZ//ahpF//fucU//hybO//mglA//deoA//malX//gltU//nuoE//pspB//ssuA//ftsQ//gspG//ybdN//aldA//modC//hypA//fimG//metK//manY//prmC//gapA//rrsC//
Fis_H-NS_Lrp_StpA	purD//hyfE//
Fis_IHF	dcuD//
Fis_IHF_NtrC	nirC//dppA//
Fis_IHF_OmpR_RcsB	rimP//
Fis_Lrp	pgaD//nuoE//fpr//hyaC//hokD//gltT//rhaR//entD//gntU//
Fis_MazE_MazE-MazF	oppD//
Fis_NarL	srlA//
Fis_NarL_NarP_NsrR	garL//entB//
Fis_PurR	rrsG//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	mhpB//ahpC//amtB//
FliZ_RutR	csgG//
Fur_H-NS	aroM//dps//nupG//glpB//fepA//fucI//prfA//rrlD//ygiA//tsx//gutQ//gltA//rbsD//
Fur_IHF_IscR_NsrR_OxyR	frdD//araF//yiaM//tauC//gadC//idnD//
Fur_IscR_NrdR	nfsA//ycdZ//cusA//exuT//
Fur_MetR	mdh//
Fur_MntR	fliH//
Fur_MntR_OxyR	fbaA//
Fur_OxyR	higB//
Fur_PurR	ybfN//lhgO//
Fur_RcnR	gltF//pgaB//
Fur_RutR	lldD//
Fur_SoxS_Zur	gadB//
Fur_YqjI	nrdI//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	ygeA//hyaF//
GadE-RcsB_H-NS	ddlB//
GadE-RcsB_PhoB	alaV//
GadE-RcsB_Rob	chbC//
GadE_GadX_H-NS_PhoP_RcsB	katE//
GadE_H-NS_Lrp_NsrR	rbsC//
GadE_H-NS_MatA	phoU//
GadE_H-NS_RcsAB	fadJ//
GadE_MarA_PurR	lpxC//
GadW_GadX_RcsB	chbG//
GalR_GalS	yoaG//
GlrR_IHF	uxaA//
H-NS_IHF	dmsB//sodA//rrfE//
H-NS_IHF_Lrp	hipA//mtlR//hyfC//metQ//creD//yoaG//skp//
H-NS_LeuO	fecA//fimE//
H-NS_LeuO_RcsB-BglJ_StpA	fdnH//
H-NS_LrhA_Lrp	cusR//
H-NS_Lrp	rhaA//osmE//
H-NS_Lrp_NhaR_RcsB	rhaD//
H-NS_Lrp_StpA	psiE//
H-NS_McbR	nirD//rrlD//ydhT//
H-NS_NhaR	citE//citG//
H-NS_OmpR	gnd//
H-NS_PhoB_RcdA_RstA	soxS//
HU_IHF_TrpR_TyrR	nagB//
HU_IHF_TyrR	csgD//
HigA_HigB-HigA	puuP//paaB//
HipAB_HipB_IHF	chbR//tauB//
HypT_MetJ	cas2//gspG//ptsG//
HypT_MetJ_PhoP	bglG//uxuR//
IHF_Lrp	hyfR//rrlH//ccmB//deoC//nuoL//cysB//sufS//ftnA//
IHF_NsrR	srlR//
IHF_NtrC	higA//modB//
IHF_PhoP	purR//
IHF_PspF	dcuR//hycD//cyoE//patA//rrsC//nrfC//
IHF_RcsAB	adhE//cysB//fecD//pspB//
IHF_RtcR	feoC//ydeP//
IHF_TyrR	lacZ//
IHF_UlaR	entA//
LexA_MraZ_PdhR	rimP//nrdD//prpB//ilvG_1//narI//grcA//fepB//infB//rbsA//ccmG//rrlH//
LexA_MraZ_PdhR_RcsB_SdiA	hlyE//epd//
LexA_MraZ_PdhR_SdiA	ybjN//
LexA_NagC	nagE//
LexA_RcdA	yjiY//
LexA_RcsB-BglJ	entH//
MarA_OxyR_Rob_SoxS	pspC//rrfE//rrlG//nanA//
MarA_PhoP_Rob_SoxS	yqjH//nmpC//murC//glcF//
MarA_Rob_SoxS	rob//ileV//ssuB//exuT//nuoH//
MarA_SoxS	casD//mhpB//rutF//ptsH//zraR//
MetJ_MetR	focB//yiaJ//
MetJ_OxyR	manZ//cysM//
MetR_PurR	gspK//
MraZ_PdhR	nanK//ldtB//
Nac_PurR	dcuS//hycH//
NarL_TorR	actP//modB//hyfH//
NemR_RutR	yiaL//purD//sufA//
NhaR_OmpR	yhjA//mtr//astE//metI//
NorR_NsrR	fimE//
NsrR_PhoB	rrlD//
OxyR_SoxS	araJ//
PdhR_PhoP	glnP//
PgrR_TyrR	fimE//
PhoB_PhoP	cspA//
PhoP_PurR_RbsR	fucO//citG//
RelB_RelB-RelE	gspI//rrlD//araF//
TrpR_TyrR	katG//gadX//pspE//
YefM_YefM-YoeB	nhaR//bglB//
