#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	guaA//lamB//
CRP_H-NS_HipAB_HipB_NtrC	guaA//
CRP_H-NS_LacI	puuE//rrlE//ptsG//
CRP_H-NS_LeuO	hycG//rplM//ascF//tam//ansB//nanT//dadX//
CRP_H-NS_MqsA	yoeB//
CRP_IHF	modC//hyaF//rpsC//ulaC//
CRP_IHF_MprA_OmpR	yhiD//
CRP_IHF_NsrR	hypC//
CRP_IHF_PaaX	malK//glnQ//fdnG//cysM//hcp//infB//lacY//hybD//pdeR//tdcC//nuoA//tauB//
CRP_IHF_UlaR	lpxC//recF//rprA//casE//flgN//narI//
CRP_IHF_YiaJ	galM//dppA//sdhD//pqiA//pspE//cysG//acrE//ftsI//fes//hcr//
CRP_LexA	nuoM//
CRP_Lrp	glcA//agaA//fiu//zwf//
CRP_Lrp_Mlc	adiA//
CRP_Lrp_Nac	tnaA//
CRP_LsrR	mglA//gadB//dppB//citG//frdD//yjcH//galS//yiaL//mdtD//
CRP_MalI	ssb//yoeB//rrlA//
CRP_MalT	hypD//melR//nuoG//
CRP_MalT_PhoP	bolA//
CRP_MelR	melB//hisP//lacA//
CRP_MetJ	fixX//
CRP_MhpR	fumA//tauD//serA//nhaR//malX//metR//
CRP_Mlc	napG//recF//
CRP_ModE	araE//xylA//serC//
CRP_MurR	ddlB//glnL//
CRP_Nac_NsrR_PhoB	moeB//
CRP_NadR	araD//
CRP_NagC	entB//ptsH//hyfI//fecD//gspM//chbR//
CRP_NagC_NanR	nanS//gabP//ackA//
CRP_NagC_PhoP	carB//
CRP_OxyR	rrlH//
CRP_OxyR_UxuR	chbR//
CRP_PhoB	nusA//gspD//prfA//gntP//rutG//mdtE//
CRP_PhoP	puuB//paaE//hokD//
CRP_PutA	hmp//
CRP_RbsR	dcuB//rrfD//yiaK//metE//oppC//mglC//
CRP_RhaR_RhaS	napF//garR//
CRP_RhaS	hybG//malG//dinI//
CRP_Rob	asnC//
CRP_TorR	cadC//fau//nupC//
CRP_UhpA_UvrY	fliG//
CRP_UidR_UxuR	cspI//pheM//ddlB//
CRP_UvrY	ygiB//
CRP_YehT	osmY//
CRP_ZraR	caiT//osmY//
CadC_FNR_H-NS_LeuO_MlrA	nupG//
Cbl_CysB	hycG//nrfE//pck//nupG//
Cbl_CysB_FNR_IHF	nuoF//pspB//ebgA//flgM//sufA//
CdaR_FNR_Fis_Fur_H-NS	rhaT//
CdaR_FNR_Fur_H-NS	rbsK//glcC//lsrR//hypC//
CpxR_CsgD_FliZ	rtcA//glpK//nrfC//
CpxR_CysB	glpX//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	mazG//
CpxR_GadE	nhaA//napB//dcuB//malT//
CpxR_H-NS	osmC//
CpxR_NsrR	tdcE//
CpxR_RcsB	yhiD//
CpxR_TyrR	fpr//
Cra_FNR_Fis_Lrp_NarL	rhaD//
Cra_FNR_Fur_MarA_Rob_SoxS	fixC//
Cra_FhlA_FlhDC	nrfG//
Cra_GntR_KdgR	rutG//
Cra_GntR_KdgR_PhoB	rrfC//
Cra_MarA_SoxS	puuD//
Cra_PdeL	appA//
Cra_SgrR	nuoK//gatB//nagA//
Cra_TyrR	gdhA//
CreB_NagC	nirD//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ulaD//
CsgD_FlhDC	mhpB//pgaB//napF//exuR//degP//dadA//dcuA//malX//rrfG//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	rrfG//araE//
CspA_Fis_GadX_H-NS	glcB//
CueR_FNR_ModE	marR//gloA//cydB//moaB//galE//
CusR_PhoB_YedW	cyoB//exuT//bglJ//cyaR//rbsB//fliI//rrfD//
CysB_H-NS	ftnA//malK//hycG//glgC//pspB//
CysB_HypT_IHF	aspA//
CysB_IHF	nrfG//prpC//
CysB_NtrC	mhpE//
CysB_PhoP	malP//
DcuR_FNR_NarL	dadA//ftsZ//mnmG//rutC//
DinJ-YafQ_LexA	pstA//fliJ//
DpiA_H-NS	hisJ//
DsdC_NsrR	tdcC//
EvgA_FNR	appB//rrsH//
EvgA_H-NS	mnmG//carB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	yciG//
EvgA_H-NS_PhoP_RcsB_YdeO	cysA//
EvgA_PhoP_RcsB_YdeO	casE//
ExuR_UxuR	accB//sufS//
FNR_FhlA_IHF_NsrR	lysA//rhaR//glnA//fabA//proW//
FNR_FhlA_NarL_NarP	gspE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nrfG//guaA//oxyR//dmsD//dps//fadL//rseB//
FNR_Fis_IHF_ModE_NarL	uxaC//hypA//cas2//
FNR_Fis_IHF_NarL	ydhT//
FNR_Fis_IHF_NarL_RstA	gntT//cas1//gutM//nfuA//
FNR_FlhDC	paaA//
FNR_FlhDC_IscR_ModE_NarL_NarP	mtlR//cspE//poxB//alaT//cysA//hybD//acnB//
FNR_FlhDC_ModE_NarL_NarP	tcyJ//moaC//ulaA//marB//mhpF//bhsA//pspA//yefM//
FNR_Fur	proV//tyrP//
FNR_Fur_GadE	rcnB//
FNR_Fur_GadX_NtrC	malE//idnT//
FNR_Fur_H-NS	tnaB//sucC//deoB//crp//
FNR_Fur_MetR_NsrR	gltD//
FNR_Fur_Nac_NtrC	astA//
FNR_Fur_NagC	fepB//hycI//cyaR//
FNR_Fur_OxyR	araB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	pstS//
FNR_H-NS	cydC//nuoL//
FNR_H-NS_NrdR	malP//rrsC//
FNR_IHF	galS//cbl//narG//rpsI//yhiD//
FNR_IHF_Lrp_YeiL	galR//
FNR_IHF_NarL_NarP_NorR	metQ//acrZ//
FNR_IHF_PhoB	ilvM//dcuS//ydeN//kbaZ//yciG//
FNR_MalT	hyaD//yciG//
FNR_ModE	aldA//adiC//
FNR_NarL	caiF//fis//dmsC//feoC//appX//lsrC//
FNR_NarL_NarP	fimI//ynfE//ebgC//rhaS//chbB//ssuD//yhcH//ahpC//rrlG//
FNR_NarL_NarP_NsrR	hycF//
FNR_NarL_NarP_NsrR_OxyR	stpA//rbsA//
FNR_NarL_NikR	narI//cspE//gadB//rrsB//gadB//caiB//
FNR_NsrR	hybF//dppD//ptsG//
FNR_OxyR	ompC//
FNR_PurR	hpt//cytR//
FNR_YqjI	gltW//
FabR_FadR	hemL//hycH//
FadR_IHF	tpx//
FadR_IclR	lpd//
FhlA_FlhDC	hdeA//
FhlA_IHF_ModE_NsrR	glpD//citX//araD//hybE//gspK//yiaJ//ydhX//ileU//paaJ//
FhlA_IHF_NsrR	malF//
Fis_Fur	fliG//
Fis_H-NS	fliF//
Fis_H-NS_IHF_MntR_OxyR	idnK//
Fis_H-NS_Lrp	oppA//ygeA//ydhU//glyA//aceB//tnaA//pstB//ssrS//metH//codA//lacA//murP//nfuA//entA//cysI//frdB//hydN//uxuR//sufC//prfA//lgoR//rrsD//ytfE//mazE//
Fis_H-NS_Lrp_StpA	hyaE//csgE//
Fis_IHF	narI//
Fis_IHF_NtrC	accC//lpxA//
Fis_IHF_OmpR_RcsB	rrlG//
Fis_Lrp	cyoB//rpsI//gcd//entF//astB//tauD//yjbH//flhC//agaA//
Fis_MazE_MazE-MazF	qseC//
Fis_NarL	envZ//
Fis_NarL_NarP_NsrR	ccmD//gspI//
Fis_PurR	ulaG//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nupG//gabD//nirD//
FliZ_RutR	ompC//
Fur_H-NS	amtB//ccmE//tdcG//glcC//sgbU//lgoR//feoB//nirC//ydhT//galM//pspA//ascF//osmY//
Fur_IHF_IscR_NsrR_OxyR	entE//tsx//puuP//nrfB//guaA//flgN//
Fur_IscR_NrdR	fadD//ssuA//mpl//ompW//
Fur_MetR	fimA//
Fur_MntR	srlA//
Fur_MntR_OxyR	rpsQ//
Fur_OxyR	fau//
Fur_PurR	idnK//pck//
Fur_RcnR	nrfA//hyfC//
Fur_RutR	hycD//
Fur_SoxS_Zur	nagA//
Fur_YqjI	mpl//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	dinJ//rtcA//
GadE-RcsB_H-NS	melB//
GadE-RcsB_PhoB	caiD//
GadE-RcsB_Rob	gltV//
GadE_GadX_H-NS_PhoP_RcsB	fixA//
GadE_H-NS_Lrp_NsrR	fimG//
GadE_H-NS_MatA	fimA//
GadE_H-NS_RcsAB	mpl//
GadE_MarA_PurR	gyrA//
GadW_GadX_RcsB	iclR//
GalR_GalS	aroL//
GlrR_IHF	aroM//
H-NS_IHF	nanK//fur//flhC//
H-NS_IHF_Lrp	xylA//garR//mhpD//pncB//ileU//crr//glpQ//
H-NS_LeuO	mdtC//murE//
H-NS_LeuO_RcsB-BglJ_StpA	sulA//
H-NS_LrhA_Lrp	sgbU//
H-NS_Lrp	poxB//fixA//
H-NS_Lrp_NhaR_RcsB	gspK//
H-NS_Lrp_StpA	baeS//
H-NS_McbR	astA//nrfE//aslB//
H-NS_NhaR	metR//pflB//
H-NS_OmpR	ebgA//
H-NS_PhoB_RcdA_RstA	dcuR//
HU_IHF_TrpR_TyrR	csgA//
HU_IHF_TyrR	hydN//
HigA_HigB-HigA	nuoI//accC//
HipAB_HipB_IHF	ydhW//mhpA//
HypT_MetJ	rutB//mazF//ulaD//
HypT_MetJ_PhoP	yafQ//thrV//
IHF_Lrp	dps//hybO//hycB//melB//yqjH//csgG//ileV//ebgA//
IHF_NsrR	glnH//
IHF_NtrC	exuR//hpt//
IHF_PhoP	gatY//
IHF_PspF	fabA//galR//fumB//rrlA//ubiC//lacY//
IHF_RcsAB	poxB//yqjI//rpsC//sucC//
IHF_RtcR	phoU//fecB//
IHF_TyrR	purM//
IHF_UlaR	yjbG//
LexA_MraZ_PdhR	hns//zinT//fdnI//hypF//xylF//metN//ilvL//murF//oppC//sgrS//ssrS//
LexA_MraZ_PdhR_RcsB_SdiA	nuoL//gatZ//
LexA_MraZ_PdhR_SdiA	galK//
LexA_NagC	ygbA//
LexA_RcdA	gntK//
LexA_RcsB-BglJ	phoU//
MarA_OxyR_Rob_SoxS	gadX//rplW//srlD//fliF//
MarA_PhoP_Rob_SoxS	tomB//dcuA//yqjI//trg//
MarA_Rob_SoxS	gspL//recF//rrlB//ssrS//mpl//
MarA_SoxS	moeB//katG//qseC//nuoF//yciE//
MetJ_MetR	rutF//dinJ//
MetJ_OxyR	dcuA//ydeN//
MetR_PurR	deoA//
MraZ_PdhR	cspD//amtB//
Nac_PurR	tauB//rrsA//
NarL_TorR	hisP//agaA//soxS//
NemR_RutR	gltW//hisM//mtr//
NhaR_OmpR	ilvI//acrE//iclR//metK//
NorR_NsrR	gdhA//
NsrR_PhoB	csgF//
OxyR_SoxS	metI//
PdhR_PhoP	yciG//
PgrR_TyrR	srlR//
PhoB_PhoP	nfuA//
PhoP_PurR_RbsR	nuoH//puuD//
RelB_RelB-RelE	spy//crp//aroP//
TrpR_TyrR	cydA//inaA//bglG//
YefM_YefM-YoeB	infB//gltF//
