#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	chbB//citF//
ArcA_CRP_DpiA_FlhDC	fhlA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	ugpA//rrfH//
ArcA_CRP_FNR	gadX//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nikA//yiaO//pdeR//
ArcA_CRP_FNR_Fis_Fur_PdhR	qseB//
ArcA_CRP_FNR_Fis_IHF_NarL	fliZ//
ArcA_CRP_FNR_Fur	cyoA//norV//gltV//aer//
ArcA_CRP_FNR_Fur_IHF	cusA//nrdI//hypC//rpoS//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	agaA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	caiE//
ArcA_CRP_FNR_IHF_NarL	hyfE//
ArcA_CRP_FNR_NarL	norR//
ArcA_CRP_FadR	nfsB//sdhC//
ArcA_CRP_FadR_HipB	nuoM//
ArcA_CRP_FadR_OmpR_PhoP	sodA//
ArcA_CRP_Fis_Mlc_SoxS	nrfG//
ArcA_CRP_Fis_XylR	nikA//
ArcA_CRP_Fur_GadX_MqsA	srlR//
ArcA_CRP_GatR	gabT//mdtC//glnG//hokD//cysI//nirD//
ArcA_CRP_GlpR	higA//
ArcA_CRP_IHF	garR//
ArcA_CRP_PuuR	yfaE//lsrD//sucB//nrfA//fadA//
ArcA_CRP_RhaS	hisQ//
ArcA_CRP_TreR	murP//hypC//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	tnaA//frdD//
ArcA_Cra	casD//
ArcA_Cra_FNR_H-NS_HypT	tdcF//bglF//
ArcA_CysB_FNR	ilvX//
ArcA_FNR	purR//ilvG_1//fimB//yjbH//waaH//fucI//rpsS//caiA//yjbE//rcnA//ascF//gatC//hmp//moaC//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	moaE//
ArcA_FNR_Fis_IHF_NarL	modA//fecC//gltF//fimE//pstB//acrZ//rrsE//xylB//yciE//fhuF//ssuE//soxR//sufB//
ArcA_FNR_Fur_IHF	soxR//
ArcA_FNR_IHF	sufC//gntU//ilvI//
ArcA_FNR_IHF_NarL	malX//baeR//
ArcA_FNR_NarL	proP//ogt//xylH//xylB//
ArcA_FNR_PhoP	sucD//
ArcA_FNR_PuuR	metI//cusA//
ArcA_FadR	yiaM//hyfD//bglG//
ArcA_FadR_Fis	glpA//gltW//
ArcA_Fur_Lrp_ModE	hcr//betA//gatA//paaC//melB//
ArcA_GlcC_IHF_PdhR	ddlB//caiE//cusF//ilvX//citX//fliI//
ArcA_LexA	osmC//nrfG//
ArcA_LldR	fabZ//ilvD//gatC//
ArcA_NarL	leuO//guaB//chbF//pgaB//accB//gyrA//gatD//feoB//
ArcA_NtrC_PhoP_RutR	qseB//cyoA//modA//gltB//rcsA//caiE//gdhA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	pdhR//ddlB//mdtA//
ArgP_CRP_FNR_Fur_Nac	glnD//
ArgP_DnaA	ebgA//yoeB//treB//
ArgP_Lrp	gabP//hybD//
ArgP_LysR	paaH//
ArgP_PhoB	aslB//
ArgR_CRP	gntU//
ArgR_CRP_Fis	cyoA//rpsC//lyxK//dsdC//fdnG//hypD//gatY//fucR//
ArgR_Fis_IHF_PepA_PurR_RutR	idnD//evgA//
ArgR_H-NS_NtrC	spy//rsmH//fadA//srlE//
ArgR_NtrC	oppB//cas1//hha//rhaA//recF//
ArgR_PhoP	exuT//
AscG_CRP	emrY//qseC//dppF//
AscG_CRP_PhoB_PrpR	narH//
AsnC_MraZ_Nac	gntK//
AsnC_Nac	asnC//csgE//
AtoC_IHF	galM//pspC//ftnA//puuC//
BaeR_CpxR	ccmH//sucC//ynfF//hybO//ascF//purN//aceF//
BaeR_CpxR_EvgA	gadB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	frdC//dusB//gspJ//astC//
BasR_CpxR_PdhR	mdtD//ilvD//
BasR_Fis	caiF//
BasR_H-NS_IHF_NagC_NanR	murG//
BasR_MarA_PutA	yjbF//
BasR_PhoP	fdnI//
BasR_QseB	dmsC//csgB//
CRP_CaiF_FNR	hmp//tdcE//micF//rhaB//
CRP_ChbR_NagC	pspG//pck//spy//pspC//sgbU//hypB//
CRP_ComR	dcuB//
CRP_CpxR	tsx//
CRP_CpxR_CytR	cspI//
CRP_CpxR_CytR_DnaA_IHF	pheM//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	molR_1//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	yiaO//nuoN//ccmG//frdB//
CRP_Cra	nrfG//chbR//rutA//yqjH//lsrF//entA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nrdE//stpA//galE//caiE//
CRP_Cra_FNR_PdhR	dps//
CRP_Cra_Fis	xylG//
CRP_Cra_Fis_GlcC	dppB//
CRP_Cra_Fis_MtlR	gspL//glcC//hyfI//
CRP_Cra_Mlc_NagC	ynfH//yciF//ebgA//napA//appX//tdcF//
CRP_Cra_PrpR	glpQ//paaA//ydhV//nuoM//
CRP_CreB_Fis_MalT	mdtE//sdhB//moaA//
CRP_CsiR_H-NS_Lrp	poxB//nuoJ//
CRP_CsiR_H-NS_Lrp_Nac	melA//poxB//rrfE//
CRP_CspA_Fis	nanC//
CRP_CytR	emrY//puuA//sroD//
CRP_CytR_DeoR	ilvL//tam//
CRP_CytR_DeoR_Fis_ModE	cdd//cysI//glgC//glgA//
CRP_CytR_Nac	chbR//
CRP_CytR_NsrR	icd//
CRP_DcuR_FNR_NarL	pqiB//
CRP_DinJ-YafQ	ydeM//
CRP_DnaA_Fis_PurR	higA//melB//
CRP_DpiA_ExuR	srlR//
CRP_DsdC	citF//gspK//
CRP_EbgR	accC//appB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	malS//lamB//
CRP_ExuR	gspF//
CRP_ExuR_FNR	yecR//hybD//
CRP_ExuR_OxyR_UxuR	fabZ//micF//
CRP_ExuR_UxuR	rrfA//
CRP_FNR	ulaD//
CRP_FNR_FhlA_HyfR	gspH//csgB//prpD//prmC//rpsQ//lrp//hyfA//gntX//agaA//appC//mntH//argP//
CRP_FNR_Fis	yciE//hycI//dpiA//
CRP_FNR_Fis_GlpR_IHF	hcr//lacA//
CRP_FNR_Fis_H-NS_SlyA	dusB//
CRP_FNR_GcvA_Lrp_PurR	fumA//fimF//betA//
CRP_FNR_H-NS_NarL	cspD//
CRP_FNR_IHF_TdcA_TdcR	aidB//rtcB//lsrG//narG//narI//nemA//rutD//
CRP_FNR_NarL	ilvG_1//metI//glcE//
CRP_FeaR_NsrR	glnH//
CRP_Fis	dppC//cydD//metN//higB//puuR//
CRP_Fis_FlhDC_GalR_GalS	nikA//citG//
CRP_Fis_FliZ_IHF_Lrp	ddlB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	codB//hypC//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	nanK//moaB//araH//
CRP_Fis_IHF	acrD//sucB//cydC//rplP//dusB//
CRP_Fis_NanR	fdnH//tauD//torC//ulaG//proW//
CRP_Fis_NtrC	edd//soxS//rplW//
CRP_Fis_XylR	nanM//yeiL//glmY//
CRP_FlhDC_GalR_GalS	tomB//
CRP_FucR	ppiA//garP//gabD//caiF//relB//rrsC//hyfG//
CRP_Fur	aldA//narL//nemA//murG//rseA//nikD//prpE//fliI//lhgO//
CRP_Fur_HypT_PdhR	narI//argP//uidB//glpX//fabB//
CRP_Fur_OxyR_SoxS	dppA//
CRP_GalR_GalS	lacZ//
CRP_GalR_GalS_H-NS_HU	yiaL//nuoB//cusR//malF//
CRP_GalR_GalS_NagC	entA//
CRP_GlpR	nikC//rpoE//cysW//
CRP_GntR	gadB//alaT//
CRP_GntR_IdnR	waaH//modA//ftnA//ulaD//chbR//hycB//fadB//
CRP_GntR_IscR	caiC//
CRP_GutM_GutR_H-NS	gadB//gatC//rbsR//uof//glcE//murQ//rpoH//
CRP_H-NS	fabB//
CRP_H-NS_HipAB_HipB_NtrC	fiu//
CRP_H-NS_LacI	yqjI//hisJ//cyaR//
CRP_H-NS_LeuO	idnO//garR//pgaC//rhaA//paaF//rprA//ackA//
CRP_H-NS_MqsA	hipA//
CRP_IHF	puuB//tsx//lpxC//ubiC//
CRP_IHF_MprA_OmpR	purD//
CRP_IHF_NsrR	nirD//
CRP_IHF_PaaX	dcuB//waaZ//relA//umpH//galR//chbF//rpsQ//acnB//gadE//aceK//araJ//ddlB//
CRP_IHF_UlaR	oxyR//focA//lysP//fdhF//carB//fecC//
CRP_IHF_YiaJ	ydhT//hemL//glpK//nusA//hycA//moaE//ftsA//appX//micF//zinT//
CRP_LexA	hybF//
CRP_Lrp	rutE//guaA//ilvH//bglG//
CRP_Lrp_Mlc	ndh//
CRP_Lrp_Nac	modB//
CRP_LsrR	citF//ileT//deoA//paaI//marA//glgA//cusF//gntX//hyfH//
CRP_MalI	tauC//rpsC//yciF//
CRP_MalT	metN//nuoJ//amtB//
CRP_MalT_PhoP	oxyR//
CRP_MelR	alaT//yjcH//feoB//
CRP_MetJ	lsrC//
CRP_MhpR	dgcZ//betA//mdh//rpsS//ccmB//napG//
CRP_Mlc	pstB//fumB//
CRP_ModE	nikE//higA//yciG//
CRP_MurR	gatZ//fucP//
CRP_Nac_NsrR_PhoB	tauC//
CRP_NadR	puuA//
CRP_NagC	ilvX//csiE//focB//ilvI//argP//aer//
CRP_NagC_NanR	yqjH//proP//nagA//
CRP_NagC_PhoP	hdeD//
CRP_OxyR	katG//
CRP_OxyR_UxuR	cusS//
CRP_PhoB	prfA//fadJ//rprA//dppC//cirA//aspC//
CRP_PhoP	ileU//cusR//nirB//
CRP_PutA	hycC//
CRP_RbsR	rutG//purD//evgA//ahpF//treC//citX//
CRP_RhaR_RhaS	sgrT//melB//
CRP_RhaS	mnmG//glcD//gabD//
CRP_Rob	mazE//
CRP_TorR	csgD//gadB//tomB//
CRP_UhpA_UvrY	nirC//
CRP_UidR_UxuR	ydhX//nemR//ssuB//
CRP_UvrY	nanA//
CRP_YehT	rplT//
CRP_ZraR	fucU//qseB//
CadC_FNR_H-NS_LeuO_MlrA	hycF//
Cbl_CysB	pspD//rplM//pspG//astA//
Cbl_CysB_FNR_IHF	lpxD//sodA//yoeB//lpd//rrsA//
CdaR_FNR_Fis_Fur_H-NS	entE//
CdaR_FNR_Fur_H-NS	nanA//acrF//agaV//nrdE//
CpxR_CsgD_FliZ	crr//udp//gadC//
CpxR_CysB	ygiC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	dnaA//
CpxR_GadE	aidB//malQ//asr//caiC//
CpxR_H-NS	cysP//
CpxR_NsrR	mtlR//
CpxR_RcsB	appC//
CpxR_TyrR	nrdI//
Cra_FNR_Fis_Lrp_NarL	rrsH//
Cra_FNR_Fur_MarA_Rob_SoxS	rpsI//
Cra_FhlA_FlhDC	pnp//
Cra_GntR_KdgR	uxuB//
Cra_GntR_KdgR_PhoB	fadI//
Cra_MarA_SoxS	srlD//
Cra_PdeL	oppA//
Cra_SgrR	hyaF//pstS//puuB//
Cra_TyrR	fabZ//
CreB_NagC	glcC//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hybC//
CsgD_FlhDC	fimA//ssb//rrsA//xylH//crp//alaU//yjiY//nrfG//tsx//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	paaK//baeR//
CspA_Fis_GadX_H-NS	aspC//
CueR_FNR_ModE	lamB//fliH//emrK//rplP//nrdA//
CusR_PhoB_YedW	gntX//hyfF//rplW//nrdF//moaC//gspO//dppF//
CysB_H-NS	malI//sufE//astA//treC//hyaE//
CysB_HypT_IHF	pdeR//
CysB_IHF	atoB//hybF//
CysB_NtrC	oppA//
CysB_PhoP	fecB//
DcuR_FNR_NarL	yjbE//murP//ompW//xylH//
DinJ-YafQ_LexA	ydhY//galS//
DpiA_H-NS	hycF//
DsdC_NsrR	mglA//
EvgA_FNR	nfsB//gltV//
EvgA_H-NS	gabP//aceB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	phoQ//
EvgA_H-NS_PhoP_RcsB_YdeO	hcp//
EvgA_PhoP_RcsB_YdeO	malX//
ExuR_UxuR	torD//ynfF//
FNR_FhlA_IHF_NsrR	katG//yhiD//cdd//ccmC//asnC//
FNR_FhlA_NarL_NarP	ilvE//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	ulaC//fliH//hyfD//deoD//yjbG//dmsD//gcvT//
FNR_Fis_IHF_ModE_NarL	caiT//cyoD//narH//
FNR_Fis_IHF_NarL	glnQ//
FNR_Fis_IHF_NarL_RstA	hycE//guaA//crr//katG//
FNR_FlhDC	gatA//
FNR_FlhDC_IscR_ModE_NarL_NarP	hybD//mdtB//mnmG//norR//rimP//proP//malI//
FNR_FlhDC_ModE_NarL_NarP	fucO//mdtC//folA//yiaL//cadC//pspG//glpF//lldP//
FNR_Fur	lsrK//paaK//
FNR_Fur_GadE	hypD//
FNR_Fur_GadX_NtrC	gspE//degP//
FNR_Fur_H-NS	puuC//ybjN//glnP//ydhX//
FNR_Fur_MetR_NsrR	yhjA//
FNR_Fur_Nac_NtrC	dmsB//
FNR_Fur_NagC	fimH//gdhA//rsmH//
FNR_Fur_OxyR	dusB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	dinJ//
FNR_H-NS	ccmD//caiF//
FNR_H-NS_NrdR	sroD//glpK//
FNR_IHF	sodB//cyaR//metI//flgN//cusC//
FNR_IHF_Lrp_YeiL	glgC//
FNR_IHF_NarL_NarP_NorR	rpoE//aidB//
FNR_IHF_PhoB	nikC//ssrS//eda//cspA//hycA//
FNR_MalT	yjbG//garR//
FNR_ModE	gspM//napD//
FNR_NarL	sufB//ygeA//pyrC//aer//rcsA//pck//
FNR_NarL_NarP	rcsA//yqjI//ynfK//gltW//gltT//ldtB//rrlC//bhsA//patA//
FNR_NarL_NarP_NsrR	metI//
FNR_NarL_NarP_NsrR_OxyR	agaW//nemR//
FNR_NarL_NikR	fumA//ppiA//mazG//phoQ//gcvT//gspM//
FNR_NsrR	osmY//aceB//ilvM//
FNR_OxyR	cysW//
FNR_PurR	torC//pncB//
FNR_YqjI	idnD//
FabR_FadR	ccmH//focB//
FadR_IHF	mlc//
FadR_IclR	yiaL//
FhlA_FlhDC	mglC//
FhlA_IHF_ModE_NsrR	envZ//murP//epd//mhpB//garR//paaK//yedX//cydC//ulaF//
FhlA_IHF_NsrR	betB//
Fis_Fur	rrlD//
Fis_H-NS	cysJ//
Fis_H-NS_IHF_MntR_OxyR	epd//
Fis_H-NS_Lrp	astA//rrfF//sufB//betI//pgk//gatZ//mhpE//rhaT//dppF//zwf//lsrB//mhpC//emrK//cyoC//rutC//gadF//fadE//oppF//cyoA//yrbL//norR//yhiM//cysM//gutM//
Fis_H-NS_Lrp_StpA	dcuC//ilvA//
Fis_IHF	gatZ//
Fis_IHF_NtrC	proW//napB//
Fis_IHF_OmpR_RcsB	ybiT//
Fis_Lrp	oppB//manZ//fliA//rcnA//hipB//ccmA//dinI//ompW//nikD//
Fis_MazE_MazE-MazF	norW//
Fis_NarL	poxB//
Fis_NarL_NarP_NsrR	hisJ//codB//
Fis_PurR	rrfB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	zwf//paaC//hns//
FliZ_RutR	puuD//
Fur_H-NS	sroD//moeB//alaU//cysU//paaD//yrbL//rimK//idnT//nrfE//ybdZ//pspG//nrfD//napC//
Fur_IHF_IscR_NsrR_OxyR	fucI//malE//sufE//alaV//gadE//aceA//
Fur_IscR_NrdR	rpsJ//fliH//rutB//fixA//
Fur_MetR	pspB//
Fur_MntR	uidA//
Fur_MntR_OxyR	sdhD//
Fur_OxyR	nirB//
Fur_PurR	aceA//araD//
Fur_RcnR	asnC//carA//
Fur_RutR	modA//
Fur_SoxS_Zur	rrfF//
Fur_YqjI	flgN//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	setA//fliE//
GadE-RcsB_H-NS	lysP//
GadE-RcsB_PhoB	cas2//
GadE-RcsB_Rob	gltU//
GadE_GadX_H-NS_PhoP_RcsB	hyaE//
GadE_H-NS_Lrp_NsrR	aspC//
GadE_H-NS_MatA	cusC//
GadE_H-NS_RcsAB	nrfC//
GadE_MarA_PurR	feoB//
GadW_GadX_RcsB	lpxD//
GalR_GalS	soxS//
GlrR_IHF	gadE//
H-NS_IHF	astD//sgbH//creD//
H-NS_IHF_Lrp	hmp//safA//prpC//ydeN//idnR//rrsD//nmpC//
H-NS_LeuO	gadB//galS//
H-NS_LeuO_RcsB-BglJ_StpA	xylB//
H-NS_LrhA_Lrp	edd//
H-NS_Lrp	nfsA//araC//
H-NS_Lrp_NhaR_RcsB	rbsK//
H-NS_Lrp_StpA	fadI//
H-NS_McbR	dinI//nagC//rcnA//
H-NS_NhaR	metH//rrsG//
H-NS_OmpR	yafQ//
H-NS_PhoB_RcdA_RstA	fixA//
HU_IHF_TrpR_TyrR	rimK//
HU_IHF_TyrR	nuoH//
HigA_HigB-HigA	mtlR//bglB//
HipAB_HipB_IHF	bglJ//dusB//
HypT_MetJ	ptsG//spy//rplP//
HypT_MetJ_PhoP	fucO//puuP//
IHF_Lrp	hybO//tdcD//entF//metR//rbsC//malF//rutF//lsrG//
IHF_NsrR	caiC//
IHF_NtrC	acrB//cyoB//
IHF_PhoP	betI//
IHF_PspF	pspD//rbfA//rutF//dctR//moaC//nrfE//
IHF_RcsAB	kbaZ//rhaT//ulaC//nrdH//
IHF_RtcR	oxyR//prmC//
IHF_TyrR	glcG//
IHF_UlaR	hycH//
LexA_MraZ_PdhR	hdeB//glnH//setA//tdcA//malM//caiE//treC//dctR//srlD//rhaB//tauA//
LexA_MraZ_PdhR_RcsB_SdiA	rpsS//csgF//
LexA_MraZ_PdhR_SdiA	gadF//
LexA_NagC	rrlH//
LexA_RcdA	gltD//
LexA_RcsB-BglJ	gspC//
MarA_OxyR_Rob_SoxS	chbA//nikE//nuoE//atoA//
MarA_PhoP_Rob_SoxS	csgA//grcA//ilvE//ccmD//
MarA_Rob_SoxS	manY//lsrC//amtB//cydA//sra//
MarA_SoxS	rrsG//gcvT//fepE//asr//gcvT//
MetJ_MetR	glnA//dppA//
MetJ_OxyR	rpoS//gadC//
MetR_PurR	mhpE//
MraZ_PdhR	rrsC//manX//
Nac_PurR	fimG//rplW//
NarL_TorR	appY//relE//tnaA//
NemR_RutR	frdD//glpA//ptsG//
NhaR_OmpR	uidB//fucU//dcuR//nanE//
NorR_NsrR	fliE//
NsrR_PhoB	ydeN//
OxyR_SoxS	rbsC//
PdhR_PhoP	ynfH//
PgrR_TyrR	lldP//
PhoB_PhoP	melR//
PhoP_PurR_RbsR	ydeM//mlc//
RelB_RelB-RelE	fimF//hpt//aslB//
TrpR_TyrR	rpsS//ddlB//citG//
YefM_YefM-YoeB	hypC//fadJ//
