#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ydhV//ccmC//
ArcA_CRP_TreR	oppD//marA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	glcF//trg//
ArcA_Cra	moaD//
ArcA_Cra_FNR_H-NS_HypT	xylB//ilvL//
ArcA_CysB_FNR	nemR//
ArcA_FNR	lsrR//kbaZ//crp//gspM//zraR//araF//tomB//dppD//ihfA//hycI//mtr//paaJ//lacZ//hns//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	rrfG//
ArcA_FNR_Fis_IHF_NarL	deoB//nagA//nuoE//osmY//emrY//nikA//glpT//rpsI//hdeB//hycH//garP//fumA//hybG//
ArcA_FNR_Fur_IHF	nagC//
ArcA_FNR_IHF	aldB//purM//glyA//
ArcA_FNR_IHF_NarL	gltB//xylG//
ArcA_FNR_NarL	ebgA//dcuD//uxaA//sdhC//
ArcA_FNR_PhoP	fliF//
ArcA_FNR_PuuR	fadJ//mpl//
ArcA_FadR	fimA//xylA//hyfJ//
ArcA_FadR_Fis	fhuF//zwf//
ArcA_Fur_Lrp_ModE	manZ//hypD//glcG//norV//caiB//
ArcA_GlcC_IHF_PdhR	crp//degP//rrsC//fecA//dcuA//lpxA//
ArcA_LexA	katG//entF//
ArcA_LldR	alaU//rpoE//chbR//
ArcA_NarL	fdnH//yiaO//rrlG//idnK//tdcE//paaE//cydA//pspG//
ArcA_NtrC_PhoP_RutR	casA//moeB//lacY//nuoJ//glnL//entB//tdcG//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	rbsB//dsdA//galM//
ArgP_CRP_FNR_Fur_Nac	pqiB//
ArgP_DnaA	fadD//gadB//epd//
ArgP_Lrp	nirC//feoC//
ArgP_LysR	dinJ//
ArgP_PhoB	waaZ//
ArgR_CRP	yiaJ//
ArgR_CRP_Fis	cspE//yjbG//acrB//dnaA//cytR//oppA//gntK//tdcD//
ArgR_Fis_IHF_PepA_PurR_RutR	nfsB//fur//
ArgR_H-NS_NtrC	exuR//slp//idnD//gntP//
ArgR_NtrC	modB//rimK//fadB//hyaA//yaiA//
ArgR_PhoP	lpxC//
AscG_CRP	ynfH//purM//malM//
AscG_CRP_PhoB_PrpR	lsrD//
AsnC_MraZ_Nac	hyfD//
AsnC_Nac	pdhR//gntK//
AtoC_IHF	ydhV//paaH//citF//malF//
BaeR_CpxR	citE//tyrR//relA//ccmF//alaU//moaE//acrA//
BaeR_CpxR_EvgA	mglC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	safA//tauB//fliF//rrlE//
BasR_CpxR_PdhR	dctA//galS//
BasR_Fis	nmpC//
BasR_H-NS_IHF_NagC_NanR	hyfR//
BasR_MarA_PutA	nfuA//
BasR_PhoP	rrlD//
BasR_QseB	treC//phoQ//
CRP_CaiF_FNR	nagA//caiD//frdD//dpiB//
CRP_ChbR_NagC	ydhU//tdcD//ptsH//dppF//mhpF//hycE//
CRP_ComR	prmC//
CRP_CpxR	nusA//
CRP_CpxR_CytR	ascB//
CRP_CpxR_CytR_DnaA_IHF	rplW//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	rutC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	ydhX//fucU//rrsH//fumA//
CRP_Cra	fucU//nfsB//aroP//sdhC//rhaB//tauA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	nagB//puuP//glnL//glpC//
CRP_Cra_FNR_PdhR	tdcC//
CRP_Cra_Fis	hha//
CRP_Cra_Fis_GlcC	nuoA//
CRP_Cra_Fis_MtlR	cusB//nrdG//ubiC//
CRP_Cra_Mlc_NagC	citG//fixC//proX//codA//hypD//treC//
CRP_Cra_PrpR	agaA//nagB//gspK//purR//
CRP_CreB_Fis_MalT	pqiB//gatD//glpD//
CRP_CsiR_H-NS_Lrp	araD//nikR//
CRP_CsiR_H-NS_Lrp_Nac	ubiC//rplV//nrdI//
CRP_CspA_Fis	dpiA//
CRP_CytR	moaC//sgbE//sufE//
CRP_CytR_DeoR	nuoM//yhiD//
CRP_CytR_DeoR_Fis_ModE	fepB//ccmA//guaA//gyrA//
CRP_CytR_Nac	pdeL//
CRP_CytR_NsrR	rrfH//
CRP_DcuR_FNR_NarL	araJ//
CRP_DinJ-YafQ	umpH//
CRP_DnaA_Fis_PurR	cirA//rcnB//
CRP_DpiA_ExuR	aidB//
CRP_DsdC	cas2//yoeB//
CRP_EbgR	yefM//cspI//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	yiaK//rcnA//
CRP_ExuR	qseB//
CRP_ExuR_FNR	spy//iclR//
CRP_ExuR_OxyR_UxuR	fdnH//rpmC//
CRP_ExuR_UxuR	agaW//
CRP_FNR	metR//
CRP_FNR_FhlA_HyfR	fimD//gadF//yiaJ//purA//nuoG//yjcH//hypA//yhjA//hyfI//fepB//malT//cyoD//
CRP_FNR_Fis	glnQ//hisM//lamB//
CRP_FNR_Fis_GlpR_IHF	prfA//fdnG//
CRP_FNR_Fis_H-NS_SlyA	dcuD//
CRP_FNR_GcvA_Lrp_PurR	cyoE//pgaB//nikA//
CRP_FNR_H-NS_NarL	cadB//
CRP_FNR_IHF_TdcA_TdcR	cusF//hycH//fliI//rplC//dcuR//rrlC//uxaA//
CRP_FNR_NarL	dcuA//cydD//hmp//
CRP_FeaR_NsrR	malT//
CRP_Fis	malF//csgC//glpC//rhaS//aceF//
CRP_Fis_FlhDC_GalR_GalS	rrfD//proP//
CRP_Fis_FliZ_IHF_Lrp	zraS//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	tdcD//yiaO//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	yeiL//deoB//gabD//
CRP_Fis_IHF	napA//csgC//ugpB//pdhR//gabP//
CRP_Fis_NanR	fumC//rutG//hpt//paaA//cirA//
CRP_Fis_NtrC	uvrA//nupG//glpD//
CRP_Fis_XylR	mraZ//yjbG//hns//
CRP_FlhDC_GalR_GalS	aceE//
CRP_FucR	ybdZ//tdcG//csgA//metB//nemR//rseB//chiP//
CRP_Fur	cusF//rplB//nikB//mdtB//icd//dsdC//gcvH//gyrA//rpsI//
CRP_Fur_HypT_PdhR	gspG//sufE//xylF//hcr//aroP//
CRP_Fur_OxyR_SoxS	casE//
CRP_GalR_GalS	hybD//
CRP_GalR_GalS_H-NS_HU	gadY//rseB//ydhW//modA//
CRP_GalR_GalS_NagC	dcuR//
CRP_GlpR	galT//uhpT//yafQ//
CRP_GntR	metH//glcE//
CRP_GntR_IdnR	fliJ//ptsI//nikE//metH//ccmG//lsrR//citD//
CRP_GntR_IscR	mglA//
CRP_GutM_GutR_H-NS	casC//nrfA//aslB//sucB//lldD//ubiC//puuP//
CRP_H-NS	fucO//
CRP_H-NS_HipAB_HipB_NtrC	acnA//
CRP_H-NS_LacI	fimB//ydeO//rseC//
CRP_H-NS_LeuO	araD//astB//fhuF//yciG//rpmC//hycI//prpE//
CRP_H-NS_MqsA	glnK//
CRP_IHF	slp//ydhY//fliK//csiD//
CRP_IHF_MprA_OmpR	ynfK//
CRP_IHF_NsrR	malI//
CRP_IHF_PaaX	paaK//ytfE//flgM//modB//ompW//puuR//ssuA//moaC//ybiT//dusB//gabT//yciG//
CRP_IHF_UlaR	rhaB//ydeP//gntU//narX//torD//ybjN//
CRP_IHF_YiaJ	caiT//csgE//tauA//hybD//hycH//dppD//rutA//rutA//hupA//yjiY//
CRP_LexA	norV//
CRP_Lrp	cyaR//caiB//sufA//mntH//
CRP_Lrp_Mlc	gutQ//
CRP_Lrp_Nac	fadE//
CRP_LsrR	aroL//gdhA//flgN//yjjQ//osmE//dpiB//rutG//mhpE//puuR//
CRP_MalI	rrlD//guaB//deoD//
CRP_MalT	dcuS//fdhF//gcvP//
CRP_MalT_PhoP	yeaR//
CRP_MelR	nuoB//cyoD//ftsQ//
CRP_MetJ	poxB//
CRP_MhpR	lsrC//narG//malQ//agaV//ompF//tpx//
CRP_Mlc	mhpD//gatC//
CRP_ModE	fimH//nuoI//adhE//
CRP_MurR	proP//fecE//
CRP_Nac_NsrR_PhoB	hybB//
CRP_NadR	rbsK//
CRP_NagC	ddlB//aceA//purR//puuR//ydeP//aroM//
CRP_NagC_NanR	pgaA//narL//dgcZ//
CRP_NagC_PhoP	fecC//
CRP_OxyR	citD//
CRP_OxyR_UxuR	mtlD//
CRP_PhoB	aceF//sdhB//puuA//poxB//hemL//dnaN//
CRP_PhoP	ssuB//fimG//fliI//
CRP_PutA	gntP//
CRP_RbsR	ulaA//ilvM//tdcF//csgC//rseC//putA//
CRP_RhaR_RhaS	ptsI//ynfH//
CRP_RhaS	cydA//fecA//lpxA//
CRP_Rob	ccmE//
CRP_TorR	molR_1//sgrS//csgF//
CRP_UhpA_UvrY	gutM//
CRP_UidR_UxuR	gltV//cdd//hyaC//
CRP_UvrY	fliK//
CRP_YehT	rpoH//
CRP_ZraR	metN//zraR//
CadC_FNR_H-NS_LeuO_MlrA	rrlA//
Cbl_CysB	proP//lyxK//yiaM//ybjC//
Cbl_CysB_FNR_IHF	putA//napH//nuoI//oppF//fucU//
CdaR_FNR_Fis_Fur_H-NS	pck//
CdaR_FNR_Fur_H-NS	rbfA//pheM//fiu//gltU//
CpxR_CsgD_FliZ	ahpC//rrfC//codA//
CpxR_CysB	gdhA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	yafQ//
CpxR_GadE	serC//rbsR//narK//pgaC//
CpxR_H-NS	dcuS//
CpxR_NsrR	lldD//
CpxR_RcsB	glpB//
CpxR_TyrR	yhcH//
Cra_FNR_Fis_Lrp_NarL	murF//
Cra_FNR_Fur_MarA_Rob_SoxS	sdhA//
Cra_FhlA_FlhDC	ccmD//
Cra_GntR_KdgR	ldtB//
Cra_GntR_KdgR_PhoB	ascF//
Cra_MarA_SoxS	xylB//
Cra_PdeL	ihfA//
Cra_SgrR	fepE//cysM//baeR//
Cra_TyrR	nrdD//
CreB_NagC	rbsB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nrfD//
CsgD_FlhDC	frdC//xylG//malK//xylH//glgA//srlA//nanT//fadE//glnL//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gadW//nrdA//
CspA_Fis_GadX_H-NS	hypF//
CueR_FNR_ModE	paaZ//argG//exuR//fucP//pck//
CusR_PhoB_YedW	glcE//ompW//mdtA//yqjI//inaA//proP//tauA//
CysB_H-NS	dnaA//fabA//ilvG_1//rpsC//hisJ//
CysB_HypT_IHF	idnR//
CysB_IHF	cyoC//tdcG//
CysB_NtrC	ompF//
CysB_PhoP	gltA//
DcuR_FNR_NarL	fhlA//narJ//frdA//ssrS//
DinJ-YafQ_LexA	fadB//aslB//
DpiA_H-NS	cbl//
DsdC_NsrR	fepB//
EvgA_FNR	ompF//ulaG//
EvgA_H-NS	prpC//fecE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	fhlA//
EvgA_H-NS_PhoP_RcsB_YdeO	rpsC//
EvgA_PhoP_RcsB_YdeO	sulA//
ExuR_UxuR	astE//tomB//
FNR_FhlA_IHF_NsrR	yiaN//metR//nanT//bglJ//rcnB//
FNR_FhlA_NarL_NarP	ygeA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	mhpB//dinJ//tnaC//rseB//exuT//rrfD//mglA//
FNR_Fis_IHF_ModE_NarL	yhiD//hybD//waaZ//
FNR_Fis_IHF_NarL	rplV//
FNR_Fis_IHF_NarL_RstA	ppiA//fucR//hypC//fliC//
FNR_FlhDC	nrdF//
FNR_FlhDC_IscR_ModE_NarL_NarP	deoB//argG//csgB//idnT//nemA//gutQ//pstS//
FNR_FlhDC_ModE_NarL_NarP	glnP//prpR//dcuA//alaT//glcF//murG//puuE//katG//
FNR_Fur	hycF//nuoI//
FNR_Fur_GadE	pspG//
FNR_Fur_GadX_NtrC	purR//glnD//
FNR_Fur_H-NS	nuoF//ygbA//fimE//narG//
FNR_Fur_MetR_NsrR	mdtD//
FNR_Fur_Nac_NtrC	mnmG//
FNR_Fur_NagC	rhaB//cusS//hyfB//
FNR_Fur_OxyR	rutC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	chiP//
FNR_H-NS	nrdF//pspB//
FNR_H-NS_NrdR	dppA//rprA//
FNR_IHF	nupC//mlc//nanE//mdtA//alaU//
FNR_IHF_Lrp_YeiL	yjbH//
FNR_IHF_NarL_NarP_NorR	hyfR//citG//
FNR_IHF_PhoB	cusB//nfo//yiaK//deoC//nfuA//
FNR_MalT	fimB//osmC//
FNR_ModE	garL//mdtB//
FNR_NarL	hlyE//murG//glnG//lacY//dcuD//tdcG//
FNR_NarL_NarP	aldA//puuA//malE//araB//mhpA//murE//ilvM//entE//gspL//
FNR_NarL_NarP_NsrR	hyfH//
FNR_NarL_NarP_NsrR_OxyR	ydeN//uidA//
FNR_NarL_NikR	fimE//yciG//ydeP//rplV//lysA//lacY//
FNR_NsrR	malG//sucD//aer//
FNR_OxyR	glpA//
FNR_PurR	inaA//gspL//
FNR_YqjI	hmp//
FabR_FadR	gltB//araB//
FadR_IHF	gcvH//
FadR_IclR	purN//
FhlA_FlhDC	narJ//
FhlA_IHF_ModE_NsrR	mglB//garP//rimP//flhD//hlyE//ihfA//gadC//ccmF//higA//
FhlA_IHF_NsrR	fepA//
Fis_Fur	glnP//
Fis_H-NS	fumC//
Fis_H-NS_IHF_MntR_OxyR	araD//
Fis_H-NS_Lrp	mdtA//gabD//puuB//csiE//fabZ//yqjI//gspK//nrdD//rplM//fecD//hyfE//astC//crp//mazE//metI//nuoL//tnaC//gspF//mlc//ulaE//torC//nrfB//malM//lhgO//
Fis_H-NS_Lrp_StpA	gltF//skp//
Fis_IHF	hyaB//
Fis_IHF_NtrC	bamE//nemR//
Fis_IHF_OmpR_RcsB	pstC//
Fis_Lrp	gcd//xylF//pqiB//gadW//fadL//asnC//rbsK//nikE//fimI//
Fis_MazE_MazE-MazF	hyfJ//
Fis_NarL	aldB//
Fis_NarL_NarP_NsrR	lacY//hyaB//
Fis_PurR	pdeR//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	tdcB//crp//aidB//
FliZ_RutR	cydD//
Fur_H-NS	cysA//yiaJ//hisJ//putA//paaE//astE//glpX//fliJ//narH//codA//aceA//glnL//uof//
Fur_IHF_IscR_NsrR_OxyR	murC//yrbL//prpB//atoD//hpt//sdhA//
Fur_IscR_NrdR	gcvP//carB//pgk//uxuB//
Fur_MetR	treB//
Fur_MntR	cysA//
Fur_MntR_OxyR	gspF//
Fur_OxyR	spy//
Fur_PurR	ftsQ//nuoN//
Fur_RcnR	fadJ//tauB//
Fur_RutR	moaE//
Fur_SoxS_Zur	ubiC//
Fur_YqjI	ygiB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	rrlB//hipB//
GadE-RcsB_H-NS	rhaB//
GadE-RcsB_PhoB	ccmC//
GadE-RcsB_Rob	fimG//
GadE_GadX_H-NS_PhoP_RcsB	sra//
GadE_H-NS_Lrp_NsrR	fecD//
GadE_H-NS_MatA	gspF//
GadE_H-NS_RcsAB	nrfA//
GadE_MarA_PurR	dppF//
GadW_GadX_RcsB	malP//
GalR_GalS	argO//
GlrR_IHF	glcE//
H-NS_IHF	metR//waaY//rbsB//
H-NS_IHF_Lrp	gntU//srlB//rutF//katG//yqjI//rsmH//exuT//
H-NS_LeuO	fis//mioC//
H-NS_LeuO_RcsB-BglJ_StpA	nanT//
H-NS_LrhA_Lrp	napD//
H-NS_Lrp	gltT//lpxD//
H-NS_Lrp_NhaR_RcsB	rbsK//
H-NS_Lrp_StpA	ompF//
H-NS_McbR	nhaA//tcyJ//lsrD//
H-NS_NhaR	nanA//rutD//
H-NS_OmpR	fiu//
H-NS_PhoB_RcdA_RstA	rcnA//
HU_IHF_TrpR_TyrR	cadC//
HU_IHF_TyrR	marB//
HigA_HigB-HigA	citF//garR//
HipAB_HipB_IHF	fliA//ilvE//
HypT_MetJ	malI//bamE//hypF//
HypT_MetJ_PhoP	waaH//cydA//
IHF_Lrp	deoC//napB//rhaT//tauD//bglJ//betA//sucD//nac//
IHF_NsrR	citD//
IHF_NtrC	cysM//hycA//
IHF_PhoP	hyaD//
IHF_PspF	rhaT//puuA//malK//oppC//malM//mglC//
IHF_RcsAB	hyaD//serC//hybG//ptsG//
IHF_RtcR	gspO//casC//
IHF_TyrR	moaB//
IHF_UlaR	rutF//
LexA_MraZ_PdhR	hycE//cusS//dppA//gabP//proX//rpsO//rpoS//mhpE//ccmA//nrdA//sdhD//
LexA_MraZ_PdhR_RcsB_SdiA	ilvG_2//pgaB//
LexA_MraZ_PdhR_SdiA	codA//
LexA_NagC	proV//
LexA_RcdA	xylB//
LexA_RcsB-BglJ	ptsH//
MarA_OxyR_Rob_SoxS	paaC//gcvH//umpH//yiaN//
MarA_PhoP_Rob_SoxS	atoD//mtlD//rrlB//araJ//
MarA_Rob_SoxS	pspE//hns//agaV//argD//aceK//
MarA_SoxS	nrfE//zraR//ugpC//rbsB//crr//
MetJ_MetR	rbsD//osmC//
MetJ_OxyR	purR//uidA//
MetR_PurR	agaV//
MraZ_PdhR	hyfG//ybiT//
Nac_PurR	lldP//garP//
NarL_TorR	argO//cysP//osmC//
NemR_RutR	aer//argO//xylB//
NhaR_OmpR	asnC//glcC//ygiB//rplC//
NorR_NsrR	yjjQ//
NsrR_PhoB	gdhA//
OxyR_SoxS	fecB//
PdhR_PhoP	hycH//
PgrR_TyrR	rrsB//
PhoB_PhoP	epd//
PhoP_PurR_RbsR	ccmD//rrfC//
RelB_RelB-RelE	lsrK//cadA//glcF//
TrpR_TyrR	dgcZ//pgaD//ihfA//
YefM_YefM-YoeB	marB//aspC//
