#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	metK//nac//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	hipA//hybC//paaF//
ArgP_CRP_FNR_Fur_Nac	casC//
ArgP_DnaA	mtr//rrlC//narJ//
ArgP_Lrp	glmY//lsrC//
ArgP_LysR	ssuA//
ArgP_PhoB	gabP//
ArgR_CRP	dmsD//
ArgR_CRP_Fis	gspO//hpt//deoC//yjbE//lamB//yefM//narH//paaF//
ArgR_Fis_IHF_PepA_PurR_RutR	sroD//citF//
ArgR_H-NS_NtrC	alaU//fixA//mdtD//mglC//
ArgR_NtrC	murG//gntP//mpl//sdhD//nrfF//
ArgR_PhoP	mhpD//
AscG_CRP	hyfJ//mdh//nuoF//
AscG_CRP_PhoB_PrpR	srlR//
AsnC_MraZ_Nac	paaF//
AsnC_Nac	araH//sdhB//
AtoC_IHF	relB//entH//gyrA//napH//
BaeR_CpxR	rnpB//tam//ugpQ//purN//ydhV//nrfE//tnaA//
BaeR_CpxR_EvgA	casA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	moaE//glcF//uidB//ppiA//
BasR_CpxR_PdhR	pdeL//ftsL//
BasR_Fis	pgk//
BasR_H-NS_IHF_NagC_NanR	aldA//
BasR_MarA_PutA	lsrA//
BasR_PhoP	gatY//
BasR_QseB	gcvT//fiu//
CRP_CaiF_FNR	ilvG_2//fepE//exuR//acnA//
CRP_ChbR_NagC	cspI//yeaR//ftsQ//sucB//ulaG//citE//
CRP_ComR	gatB//
CRP_CpxR	carB//
CRP_CpxR_CytR	eda//
CRP_CpxR_CytR_DnaA_IHF	grcA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	tdcF//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	tdcF//pspC//fhlA//rrlE//
CRP_Cra	murE//srlA//nupG//focB//nuoF//feoB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	pstS//csiD//pflB//metK//
CRP_Cra_FNR_PdhR	araF//
CRP_Cra_Fis	xylH//
CRP_Cra_Fis_GlcC	sdhC//
CRP_Cra_Fis_MtlR	flgN//yciE//rbsB//
CRP_Cra_Mlc_NagC	ansB//nanS//aspA//csgC//fliE//glpT//
CRP_Cra_PrpR	rcnB//ugpA//idnT//mazF//
CRP_CreB_Fis_MalT	ydeP//guaB//gabD//
CRP_CsiR_H-NS_Lrp	gntP//hyfA//
CRP_CsiR_H-NS_Lrp_Nac	yqjI//cusB//ybdN//
CRP_CspA_Fis	ebgA//
CRP_CytR	purH//modA//hyfD//
CRP_CytR_DeoR	glnP//mdh//
CRP_CytR_DeoR_Fis_ModE	gutQ//cadC//dctA//glnD//
CRP_CytR_Nac	modB//
CRP_CytR_NsrR	entH//
CRP_DcuR_FNR_NarL	hyaA//
CRP_DinJ-YafQ	rpmC//
CRP_DnaA_Fis_PurR	hisJ//sucD//
CRP_DpiA_ExuR	agaA//
CRP_DsdC	murQ//fdnG//
CRP_EbgR	ilvM//rrfD//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	sdhC//astE//
CRP_ExuR	modB//
CRP_ExuR_FNR	uxaC//feaB//
CRP_ExuR_OxyR_UxuR	fadI//chbR//
CRP_ExuR_UxuR	ansB//
CRP_FNR	puuD//
CRP_FNR_FhlA_HyfR	guaA//soxS//dctA//fimG//lrp//sdhC//rrfB//ilvX//hycF//hyaD//pstC//sgrS//
CRP_FNR_Fis	tnaB//casD//patA//
CRP_FNR_Fis_GlpR_IHF	ccmE//purM//
CRP_FNR_Fis_H-NS_SlyA	rrsH//
CRP_FNR_GcvA_Lrp_PurR	narX//ygiC//rrfG//
CRP_FNR_H-NS_NarL	ulaB//
CRP_FNR_IHF_TdcA_TdcR	hypA//nuoB//hyaF//nikR//ccmA//pstB//glcA//
CRP_FNR_NarL	asr//fixB//rpsS//
CRP_FeaR_NsrR	mntH//
CRP_Fis	rprA//pspE//aroA//gabT//ascB//
CRP_Fis_FlhDC_GalR_GalS	csgB//rcsA//
CRP_Fis_FliZ_IHF_Lrp	rrfH//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	dadX//yrbL//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	prpR//mglA//lldP//
CRP_Fis_IHF	yedX//sgbU//dppC//ftsL//csgC//
CRP_Fis_NanR	acnB//csgE//fdnG//hyfB//gabD//
CRP_Fis_NtrC	ssuE//fimH//rrfB//
CRP_Fis_XylR	galP//exuT//ackA//
CRP_FlhDC_GalR_GalS	sgbE//
CRP_FucR	ompR//ybjC//nmpC//glnA//cspA//lsrR//hypF//
CRP_Fur	ssuB//rrfF//fumB//ascF//murQ//tsx//oppF//relE//crr//
CRP_Fur_HypT_PdhR	torC//ynfE//dctR//acrE//gabP//
CRP_Fur_OxyR_SoxS	pgaA//
CRP_GalR_GalS	katG//
CRP_GalR_GalS_H-NS_HU	yjbG//mazG//hyfJ//nikE//
CRP_GalR_GalS_NagC	rrlB//
CRP_GlpR	acrD//idnD//aldB//
CRP_GntR	pyrD//nuoB//
CRP_GntR_IdnR	betT//hyfG//relA//betT//ydeP//glnK//rpoS//
CRP_GntR_IscR	rplT//
CRP_GutM_GutR_H-NS	serA//cydC//nanS//argD//melR//nrfD//purH//
CRP_H-NS	alaT//
CRP_H-NS_HipAB_HipB_NtrC	waaZ//
CRP_H-NS_LacI	paaB//accB//mtlR//
CRP_H-NS_LeuO	ydeO//rplD//fliZ//ydhV//ulaG//cadB//narK//
CRP_H-NS_MqsA	feoB//
CRP_IHF	bglJ//rutD//infB//murF//
CRP_IHF_MprA_OmpR	glcG//
CRP_IHF_NsrR	rbsB//
CRP_IHF_PaaX	rutA//stpA//proV//paaZ//galS//gntU//modB//rutA//paaZ//sucD//pgaC//katE//
CRP_IHF_UlaR	narI//ulaD//ybjN//tnaA//uxaC//murF//
CRP_IHF_YiaJ	malS//glpB//accB//sucD//gadB//yqjI//oppB//uxaB//glcD//asr//
CRP_LexA	hmp//
CRP_Lrp	rutD//prfA//udp//cytR//
CRP_Lrp_Mlc	nrdD//
CRP_Lrp_Nac	ilvA//
CRP_LsrR	hydN//dgcZ//uxaB//guaA//treC//fabA//napG//ebgA//cusC//
CRP_MalI	nrfG//fdhF//tauC//
CRP_MalT	yciG//prpD//narI//
CRP_MalT_PhoP	tnaC//
CRP_MelR	appB//metQ//argD//
CRP_MetJ	ydeN//
CRP_MhpR	nuoB//yciF//katE//gltF//dmsB//proP//
CRP_Mlc	tauB//metQ//
CRP_ModE	yiaO//ybiT//fepA//
CRP_MurR	fliA//mdtD//
CRP_Nac_NsrR_PhoB	idnT//
CRP_NadR	araH//
CRP_NagC	inaA//uvrA//ybdZ//pstA//fepB//mazF//
CRP_NagC_NanR	gadW//hlyE//dmsA//
CRP_NagC_PhoP	nuoI//
CRP_OxyR	fucR//
CRP_OxyR_UxuR	pspG//
CRP_PhoB	ydeN//nagB//moaE//atoB//ydeN//yedX//
CRP_PhoP	acnB//aldB//tdcF//
CRP_PutA	mntH//
CRP_RbsR	nac//hycF//napG//gapA//yjbF//hypE//
CRP_RhaR_RhaS	glgA//prpB//
CRP_RhaS	tdcG//yfaE//rob//
CRP_Rob	narG//
CRP_TorR	hycD//appY//fadD//
CRP_UhpA_UvrY	aldB//
CRP_UidR_UxuR	acrA//pspC//nrdI//
CRP_UvrY	gspM//
CRP_YehT	nupC//
CRP_ZraR	chbR//sufC//
CadC_FNR_H-NS_LeuO_MlrA	ssuB//
Cbl_CysB	creD//uvrA//fadA//yhiM//
Cbl_CysB_FNR_IHF	ugpB//pspB//fixC//nrfB//cusR//
CdaR_FNR_Fis_Fur_H-NS	dsdX//
CdaR_FNR_Fur_H-NS	paaD//fadH//nrfE//gltB//
CpxR_CsgD_FliZ	ptsI//moaB//ahpC//
CpxR_CysB	micF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	glyA//
CpxR_GadE	ybjN//araJ//bglG//dcuR//
CpxR_H-NS	moaD//
CpxR_NsrR	nirD//
CpxR_RcsB	fliJ//
CpxR_TyrR	asnC//
Cra_FNR_Fis_Lrp_NarL	acs//
Cra_FNR_Fur_MarA_Rob_SoxS	higA//
Cra_FhlA_FlhDC	cysG//
Cra_GntR_KdgR	dnaN//
Cra_GntR_KdgR_PhoB	gapA//
Cra_MarA_SoxS	rimK//
Cra_PdeL	ugpQ//
Cra_SgrR	mhpC//flgN//ccmG//
Cra_TyrR	csgD//
CreB_NagC	purN//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	narI//
CsgD_FlhDC	aceF//betB//dgcZ//csiD//rbsK//ihfA//gnd//nrdB//mhpA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	cusA//araJ//
CspA_Fis_GadX_H-NS	yeiL//
CueR_FNR_ModE	ccmC//murE//rrfG//hcp//rrfG//
CusR_PhoB_YedW	leuO//tpx//waaY//yhjA//rplW//nanM//dmsD//
CysB_H-NS	glpD//putP//dcuS//putP//ytfE//
CysB_HypT_IHF	hycD//
CysB_IHF	fucI//stpA//
CysB_NtrC	mdh//
CysB_PhoP	metY//
DcuR_FNR_NarL	moeB//nikC//tyrP//xylG//
DinJ-YafQ_LexA	rhaT//dadA//
DpiA_H-NS	chbB//
DsdC_NsrR	dgcZ//
EvgA_FNR	rseB//exuR//
EvgA_H-NS	glcA//deoA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	nuoJ//
EvgA_H-NS_PhoP_RcsB_YdeO	ygeA//
EvgA_PhoP_RcsB_YdeO	glcF//
ExuR_UxuR	glcF//hybD//
FNR_FhlA_IHF_NsrR	yjbF//gcd//nemA//crp//casE//
FNR_FhlA_NarL_NarP	rrsC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	lldD//truB//rprA//acrB//uxuR//deoD//flhD//
FNR_Fis_IHF_ModE_NarL	cysB//glgA//dctR//
FNR_Fis_IHF_NarL	glpQ//
FNR_Fis_IHF_NarL_RstA	yaiA//ompC//sufC//metL//
FNR_FlhDC	thrV//
FNR_FlhDC_IscR_ModE_NarL_NarP	narG//tauA//ompC//yhiM//nrdG//puuP//nuoG//
FNR_FlhDC_ModE_NarL_NarP	osmC//fucR//paaJ//metY//rsmH//lysP//nrdG//hypF//
FNR_Fur	srlB//hypD//
FNR_Fur_GadE	betT//
FNR_Fur_GadX_NtrC	crp//gutQ//
FNR_Fur_H-NS	rpoE//dppC//sufA//rpsI//
FNR_Fur_MetR_NsrR	gdhA//
FNR_Fur_Nac_NtrC	rbsD//
FNR_Fur_NagC	nrdG//fliK//fhlA//
FNR_Fur_OxyR	rplC//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	araB//
FNR_H-NS	gatD//mntH//
FNR_H-NS_NrdR	rpoS//marB//
FNR_IHF	gltW//proP//torA//fumA//betI//
FNR_IHF_Lrp_YeiL	napB//
FNR_IHF_NarL_NarP_NorR	acrA//flhD//
FNR_IHF_PhoB	cydC//napF//araG//puuC//kbaZ//
FNR_MalT	patA//ahpF//
FNR_ModE	lsrF//ccmB//
FNR_NarL	csgA//araE//ygiA//lpd//ilvL//metE//
FNR_NarL_NarP	dppD//dmsA//ygeA//rbsC//sucB//lhgO//ftnA//caiT//cadC//
FNR_NarL_NarP_NsrR	leuO//
FNR_NarL_NarP_NsrR_OxyR	ilvG_1//yjbG//
FNR_NarL_NikR	gabP//fecC//fadJ//marR//rrlH//proW//
FNR_NsrR	hyfE//mglC//ebgA//
FNR_OxyR	fdnH//
FNR_PurR	ogt//cysM//
FNR_YqjI	sufS//
FabR_FadR	fadE//ascB//
FadR_IHF	yiaL//
FadR_IclR	glnG//
FhlA_FlhDC	idnR//
FhlA_IHF_ModE_NsrR	bglJ//tnaA//serC//gloA//ulaC//mioC//dadA//hcp//flhD//
FhlA_IHF_NsrR	mdtE//
Fis_Fur	galR//
Fis_H-NS	creD//
Fis_H-NS_IHF_MntR_OxyR	evgS//
Fis_H-NS_Lrp	nuoL//emrY//pspD//metN//hybE//cydA//gutQ//nagC//hlyE//cysI//uxaA//ynfG//nhaR//pqiB//fau//astC//yjiY//fpr//dppB//cysJ//relB//umpH//marB//nuoL//
Fis_H-NS_Lrp_StpA	yjbF//gntT//
Fis_IHF	phoU//
Fis_IHF_NtrC	rrsD//nikA//
Fis_IHF_OmpR_RcsB	agaA//
Fis_Lrp	fbaA//hybG//moaA//ahpC//ssuA//metR//fecD//nrdG//fixB//
Fis_MazE_MazE-MazF	cspI//
Fis_NarL	rpsJ//
Fis_NarL_NarP_NsrR	nemR//yhjA//
Fis_PurR	fadI//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	tpx//fadE//degP//
FliZ_RutR	pck//
Fur_H-NS	ccmE//fadL//ccmD//gatC//metI//rpsJ//idnD//rpoH//nagB//hydN//idnR//rutA//cydB//
Fur_IHF_IscR_NsrR_OxyR	atoE//murF//bglB//hdeD//nrdG//phoQ//
Fur_IscR_NrdR	pspE//nuoB//rrsG//modA//
Fur_MetR	adiA//
Fur_MntR	uspA//
Fur_MntR_OxyR	aslB//
Fur_OxyR	aer//
Fur_PurR	xylR//infB//
Fur_RcnR	pspE//gatA//
Fur_RutR	fucR//
Fur_SoxS_Zur	hycD//
Fur_YqjI	prpC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	pspC//napH//
GadE-RcsB_H-NS	ydeN//
GadE-RcsB_PhoB	cydD//
GadE-RcsB_Rob	proX//
GadE_GadX_H-NS_PhoP_RcsB	sufB//
GadE_H-NS_Lrp_NsrR	aidB//
GadE_H-NS_MatA	ygbA//
GadE_H-NS_RcsAB	mhpF//
GadE_MarA_PurR	ydhT//
GadW_GadX_RcsB	ndh//
GalR_GalS	fixX//
GlrR_IHF	paaJ//
H-NS_IHF	hyfG//fdnI//fnr//
H-NS_IHF_Lrp	patA//entA//molR_1//hns//metL//prfA//fepE//
H-NS_LeuO	pstA//yeaR//
H-NS_LeuO_RcsB-BglJ_StpA	gatZ//
H-NS_LrhA_Lrp	cysU//
H-NS_Lrp	mhpD//treC//
H-NS_Lrp_NhaR_RcsB	evgS//
H-NS_Lrp_StpA	tnaA//
H-NS_McbR	chiP//rrlA//yciE//
H-NS_NhaR	nhaA//mntP//
H-NS_OmpR	fucI//
H-NS_PhoB_RcdA_RstA	yciG//
HU_IHF_TrpR_TyrR	degP//
HU_IHF_TyrR	nuoJ//
HigA_HigB-HigA	pflB//garR//
HipAB_HipB_IHF	serA//chbA//
HypT_MetJ	rutC//higB//cspD//
HypT_MetJ_PhoP	nfuA//fiu//
IHF_Lrp	hypC//sra//idnT//ugpE//hyfI//garP//nuoM//puuD//
IHF_NsrR	prfA//
IHF_NtrC	cysP//appB//
IHF_PhoP	tcyJ//
IHF_PspF	tnaC//idnK//fabZ//paaF//pnp//rrlA//
IHF_RcsAB	metL//yiaN//gutM//cadC//
IHF_RtcR	malE//aer//
IHF_TyrR	rpsQ//
IHF_UlaR	rhaR//
LexA_MraZ_PdhR	lldR//ydeN//dcuA//fliJ//mdtF//rutF//galP//ugpA//cydC//yafQ//tyrP//
LexA_MraZ_PdhR_RcsB_SdiA	fumC//aceF//
LexA_MraZ_PdhR_SdiA	sodA//
LexA_NagC	nikE//
LexA_RcdA	osmY//
LexA_RcsB-BglJ	caiA//
MarA_OxyR_Rob_SoxS	metB//ydhY//hyaD//ygeA//
MarA_PhoP_Rob_SoxS	aceA//yciG//infB//ydeP//
MarA_Rob_SoxS	folA//hypF//rutF//marB//ugpB//
MarA_SoxS	chbB//glpK//glmY//osmE//treC//
MetJ_MetR	xylG//rrfF//
MetJ_OxyR	rrfE//sgbU//
MetR_PurR	nrfB//
MraZ_PdhR	pstS//sgbU//
Nac_PurR	lhgO//relB//
NarL_TorR	nuoA//ulaA//degP//
NemR_RutR	yefM//fliK//hybF//
NhaR_OmpR	feaR//fixA//glgC//rbsA//
NorR_NsrR	tdcA//
NsrR_PhoB	rhaD//
OxyR_SoxS	lsrA//
PdhR_PhoP	marB//
PgrR_TyrR	mntH//
PhoB_PhoP	betT//
PhoP_PurR_RbsR	cspE//cyaR//
RelB_RelB-RelE	hyfA//atoD//moeA//
TrpR_TyrR	betA//nupG//gspO//
YefM_YefM-YoeB	appX//rpsC//
