#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	paaG//nfo//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ilvI//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fnr//
ArcA_CRP_Cra_FNR_NsrR_PdhR	mtr//hipB//
ArcA_CRP_Cra_Fis	mdtA//
ArcA_CRP_Cra_IHF_IclR	pgaA//hyfD//iclR//
ArcA_CRP_DcuR	fumC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	tnaA//ydeP//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	moaB//
ArcA_CRP_DnaA_FNR	gatB//
ArcA_CRP_DpiA_FNR_NarL	oppD//tauB//glmY//dcuC//caiE//cadC//
ArcA_CRP_DpiA_FlhDC	gspJ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	rrsH//hybF//
ArcA_CRP_FNR	hybA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ptsI//cspI//soxR//
ArcA_CRP_FNR_Fis_Fur_PdhR	tdcC//
ArcA_CRP_FNR_Fis_IHF_NarL	accB//
ArcA_CRP_FNR_Fur	uxuA//dppC//feoB//lpxA//
ArcA_CRP_FNR_Fur_IHF	lsrD//glcB//yiaL//oppB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	paaF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fimG//
ArcA_CRP_FNR_IHF_NarL	edd//
ArcA_CRP_FNR_NarL	ftsA//
ArcA_CRP_FadR	fdhF//feoA//
ArcA_CRP_FadR_HipB	paaG//
ArcA_CRP_FadR_OmpR_PhoP	sucB//
ArcA_CRP_Fis_Mlc_SoxS	csgD//
ArcA_CRP_Fis_XylR	modC//
ArcA_CRP_Fur_GadX_MqsA	napC//
ArcA_CRP_GatR	dsdA//tauA//lsrA//ackA//gatY//uvrA//
ArcA_CRP_GlpR	csgF//
ArcA_CRP_IHF	chbG//
ArcA_CRP_PuuR	galP//sgrT//nfsA//fiu//sodB//
ArcA_CRP_RhaS	yaiA//
ArcA_CRP_TreR	lsrB//sodB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	lpd//murC//
ArcA_Cra	oppB//
ArcA_Cra_FNR_H-NS_HypT	lysP//rimP//
ArcA_CysB_FNR	dcuR//
ArcA_FNR	lpxC//metI//nagE//ptsG//gspE//metL//lysA//hisQ//mtr//lsrB//caiE//srlD//oppB//nrfF//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	hypD//
ArcA_FNR_Fis_IHF_NarL	nuoE//melB//cirA//araH//puuP//tdcD//rhaT//rutC//yiaJ//caiA//glnG//relE//nikB//
ArcA_FNR_Fur_IHF	bamE//
ArcA_FNR_IHF	rutG//cirA//paaA//
ArcA_FNR_IHF_NarL	idnD//aceK//
ArcA_FNR_NarL	codB//tam//chbF//appX//
ArcA_FNR_PhoP	ptsI//
ArcA_FNR_PuuR	fumA//ugpB//
ArcA_FadR	hisQ//cusF//fimI//
ArcA_FadR_Fis	slp//kbaZ//
ArcA_Fur_Lrp_ModE	katG//hdeA//trg//fixA//lsrF//
ArcA_GlcC_IHF_PdhR	fecB//fimB//sbmC//mioC//yoeB//aldA//
ArcA_LexA	prpB//yjjQ//
ArcA_LldR	hipA//fur//metL//
ArcA_NarL	csiE//pqiB//ulaG//rbsA//tnaA//fadA//cyaR//rutC//
ArcA_NtrC_PhoP_RutR	purH//hyfJ//fimF//nupG//rbsR//sucA//nanS//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fecC//fimC//astC//
ArgP_CRP_FNR_Fur_Nac	uidC//
ArgP_DnaA	hyfJ//paaH//hycC//
ArgP_Lrp	napB//hypB//
ArgP_LysR	hipB//
ArgP_PhoB	tauC//
ArgR_CRP	qseB//
ArgR_CRP_Fis	evgA//rob//caiA//ssb//ycdZ//malQ//ybjN//hyfD//
ArgR_Fis_IHF_PepA_PurR_RutR	nanC//ilvX//
ArgR_H-NS_NtrC	rcsA//glcG//uidC//carB//
ArgR_NtrC	malI//ileV//yjbG//nmpC//ilvD//
ArgR_PhoP	galK//
AscG_CRP	rutA//hyfE//ebgA//
AscG_CRP_PhoB_PrpR	accB//
AsnC_MraZ_Nac	rhaB//
AsnC_Nac	rpsO//recF//
AtoC_IHF	tauA//ilvG_1//kbaZ//acrD//
BaeR_CpxR	fdnG//hypB//araG//zinT//mraZ//araC//astB//
BaeR_CpxR_EvgA	pck//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	pspG//sufC//casC//flhD//
BasR_CpxR_PdhR	dsdX//chbB//
BasR_Fis	rrlD//
BasR_H-NS_IHF_NagC_NanR	fimE//
BasR_MarA_PutA	moeA//
BasR_PhoP	sufS//
BasR_QseB	casE//tdcD//
CRP_CaiF_FNR	tnaA//fliC//rplC//glyA//
CRP_ChbR_NagC	marR//pflB//xylH//puuP//tnaB//nuoI//
CRP_ComR	hycH//
CRP_CpxR	sufS//
CRP_CpxR_CytR	casC//
CRP_CpxR_CytR_DnaA_IHF	dsdA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	ydhT//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	osmE//psiE//fixX//caiF//
CRP_Cra	ilvA//nuoC//rrlB//dcuD//mpl//ccmD//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	prpD//waaH//mazE//aroA//
CRP_Cra_FNR_PdhR	gcd//
CRP_Cra_Fis	paaE//
CRP_Cra_Fis_GlcC	hyfD//
CRP_Cra_Fis_MtlR	hydN//paaC//nanE//
CRP_Cra_Mlc_NagC	galP//glpF//uxaA//gabD//puuR//fliE//
CRP_Cra_PrpR	gadY//napD//ilvA//ebgC//
CRP_CreB_Fis_MalT	gntP//rrsD//lrp//
CRP_CsiR_H-NS_Lrp	astE//relB//
CRP_CsiR_H-NS_Lrp_Nac	hypA//dgcZ//fdnI//
CRP_CspA_Fis	dcuD//
CRP_CytR	ileU//mdh//malK//
CRP_CytR_DeoR	ssrS//hypC//
CRP_CytR_DeoR_Fis_ModE	gyrA//higA//ftsL//metL//
CRP_CytR_Nac	gcd//
CRP_CytR_NsrR	hyfA//
CRP_DcuR_FNR_NarL	rpsJ//
CRP_DinJ-YafQ	zinT//
CRP_DnaA_Fis_PurR	yjbF//hycI//
CRP_DpiA_ExuR	safA//
CRP_DsdC	yfaE//deoD//
CRP_EbgR	entH//cspA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	hycD//chbG//
CRP_ExuR	cyaR//
CRP_ExuR_FNR	ssrS//fimB//
CRP_ExuR_OxyR_UxuR	cdd//tdcG//
CRP_ExuR_UxuR	ydhX//
CRP_FNR	nanT//
CRP_FNR_FhlA_HyfR	fliJ//fucO//rhaS//fucR//modC//yiaN//gspK//rhaD//gspC//rob//betT//norR//
CRP_FNR_Fis	rrlD//uof//kbaZ//
CRP_FNR_Fis_GlpR_IHF	ccmG//fdhF//
CRP_FNR_Fis_H-NS_SlyA	ulaC//
CRP_FNR_GcvA_Lrp_PurR	cirA//rrsB//crr//
CRP_FNR_H-NS_NarL	metN//
CRP_FNR_IHF_TdcA_TdcR	tdcA//hybO//aroP//gyrA//pnp//inaA//napA//
CRP_FNR_NarL	hisQ//mntH//gspD//
CRP_FeaR_NsrR	fucK//
CRP_Fis	nrdD//moaE//dcuR//frdB//pspB//
CRP_Fis_FlhDC_GalR_GalS	fucR//proW//
CRP_Fis_FliZ_IHF_Lrp	srlB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	hycI//pgk//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	astC//cspI//gspH//
CRP_Fis_IHF	purM//fiu//argD//nrdH//norV//
CRP_Fis_NanR	glpD//metQ//araF//entH//fepB//
CRP_Fis_NtrC	pheM//umpH//gatD//
CRP_Fis_XylR	gatY//lsrB//rcsA//
CRP_FlhDC_GalR_GalS	rsmH//
CRP_FucR	fucR//feaB//mazG//gcvP//nikE//eda//cspD//
CRP_Fur	appA//fadL//argP//ccmG//spy//mpl//prfA//nuoK//mpl//
CRP_Fur_HypT_PdhR	puuA//glnQ//pstB//gltV//hcr//
CRP_Fur_OxyR_SoxS	murE//
CRP_GalR_GalS	fepB//
CRP_GalR_GalS_H-NS_HU	acnB//appA//norR//ptsG//
CRP_GalR_GalS_NagC	gspH//
CRP_GlpR	cydD//fdnI//mtr//
CRP_GntR	glnD//sufB//
CRP_GntR_IdnR	carA//udp//tpx//lldR//uxaC//dcuC//manZ//
CRP_GntR_IscR	appB//
CRP_GutM_GutR_H-NS	tdcE//nirD//aceB//nrfE//gspF//tsx//ugpA//
CRP_H-NS	csgB//
CRP_H-NS_HipAB_HipB_NtrC	oppB//
CRP_H-NS_LacI	yjbE//paaE//garP//
CRP_H-NS_LeuO	chbA//pstC//dps//metQ//galS//hisJ//fes//
CRP_H-NS_MqsA	narG//
CRP_IHF	murD//gntT//hyfF//moaB//
CRP_IHF_MprA_OmpR	hyaB//
CRP_IHF_NsrR	lsrC//
CRP_IHF_PaaX	rnpB//baeS//rutF//aceE//ygbA//rpsQ//ccmH//glcD//mhpC//cspD//fucR//gltA//
CRP_IHF_UlaR	rplM//pgaC//hyfI//nfuA//manY//marA//
CRP_IHF_YiaJ	sbmC//glnD//rbsD//nrfG//tdcF//glnD//katG//fadJ//malE//umpH//
CRP_LexA	gspE//
CRP_Lrp	cusA//yhiM//aroG//glpT//
CRP_Lrp_Mlc	dsdA//
CRP_Lrp_Nac	ygiB//
CRP_LsrR	nuoB//astA//sufD//mtr//fabA//cyoA//fadH//ssuB//cyoE//
CRP_MalI	aroG//nrdA//gatD//
CRP_MalT	ybdZ//mdtD//mdtB//
CRP_MalT_PhoP	zraS//
CRP_MelR	cspD//sgbH//rrsG//
CRP_MetJ	rcsA//
CRP_MhpR	lgoR//ydhT//codB//ydeM//murQ//gnd//
CRP_Mlc	garP//actP//
CRP_ModE	tdcB//deoB//uidA//
CRP_MurR	puuA//argP//
CRP_Nac_NsrR_PhoB	ybiT//
CRP_NadR	ugpB//
CRP_NagC	rpoS//entC//ybjN//galE//cyoE//dnaN//
CRP_NagC_NanR	glpT//gadW//aceK//
CRP_NagC_PhoP	glmY//
CRP_OxyR	poxB//
CRP_OxyR_UxuR	tomB//
CRP_PhoB	fes//paaA//ebgA//atoA//melR//yjcH//
CRP_PhoP	narH//nuoG//hdeD//
CRP_PutA	ydeN//
CRP_RbsR	ilvE//rrfF//uxaA//gspC//acrD//nrdE//
CRP_RhaR_RhaS	tauA//ybdZ//
CRP_RhaS	fliC//torA//mtlD//
CRP_Rob	hisP//
CRP_TorR	caiC//ydeO//poxB//
CRP_UhpA_UvrY	ygiA//
CRP_UidR_UxuR	ftsI//glcC//fadA//
CRP_UvrY	murP//
CRP_YehT	rrsH//
CRP_ZraR	zinT//cadC//
CadC_FNR_H-NS_LeuO_MlrA	xylG//
Cbl_CysB	tauD//rimK//rimK//malE//
Cbl_CysB_FNR_IHF	mhpC//idnR//tnaB//cydA//csgE//
CdaR_FNR_Fis_Fur_H-NS	ydhT//
CdaR_FNR_Fur_H-NS	rutE//hha//ompR//argG//
CpxR_CsgD_FliZ	rhaS//ybfN//mdtB//
CpxR_CysB	ogt//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	garK//
CpxR_GadE	fadH//poxB//baeR//molR_1//
CpxR_H-NS	gcvP//
CpxR_NsrR	yoeB//
CpxR_RcsB	yoeB//
CpxR_TyrR	napH//
Cra_FNR_Fis_Lrp_NarL	ebgA//
Cra_FNR_Fur_MarA_Rob_SoxS	srlD//
Cra_FhlA_FlhDC	cysU//
Cra_GntR_KdgR	nrdF//
Cra_GntR_KdgR_PhoB	dsdA//
Cra_MarA_SoxS	cspD//
Cra_PdeL	fucP//
Cra_SgrR	hycF//dcuD//ndh//
Cra_TyrR	gspH//
CreB_NagC	soxR//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	rutG//
CsgD_FlhDC	lsrR//citD//mazF//pspC//glpB//lhgO//sdhC//paaA//rrsC//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hyaD//fimG//
CspA_Fis_GadX_H-NS	aroA//
CueR_FNR_ModE	tdcG//glnL//glnK//citD//acrA//
CusR_PhoB_YedW	rrsC//melB//mglB//caiD//fixX//edd//rutG//
CysB_H-NS	fliC//cspD//rplP//fixX//mraY//
CysB_HypT_IHF	mraY//
CysB_IHF	bamE//dusB//
CysB_NtrC	hipA//
CysB_PhoP	focB//
DcuR_FNR_NarL	ftsL//nrfA//inaA//nmpC//
DinJ-YafQ_LexA	hisQ//yoeB//
DpiA_H-NS	ogt//
DsdC_NsrR	rpsI//
EvgA_FNR	glgP//ulaE//
EvgA_H-NS	idnD//fucR//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	nrdD//
EvgA_H-NS_PhoP_RcsB_YdeO	uxaB//
EvgA_PhoP_RcsB_YdeO	yoeB//
ExuR_UxuR	ynfE//soxS//
FNR_FhlA_IHF_NsrR	ptsI//metH//yiaN//argD//argD//
FNR_FhlA_NarL_NarP	tnaA//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hybF//tdcA//pflB//rbsR//rnpB//paaH//soxR//
FNR_Fis_IHF_ModE_NarL	flgM//adiC//gspC//
FNR_Fis_IHF_NarL	fucA//
FNR_Fis_IHF_NarL_RstA	norW//yhiM//moaB//paaG//
FNR_FlhDC	pspB//
FNR_FlhDC_IscR_ModE_NarL_NarP	entC//glcD//ilvG_1//glcE//gspC//fimI//galE//
FNR_FlhDC_ModE_NarL_NarP	ilvD//yqjH//lpxC//lsrD//sgrT//murC//evgA//fadL//
FNR_Fur	cusA//tnaB//
FNR_Fur_GadE	dcuA//
FNR_Fur_GadX_NtrC	uxaC//higA//
FNR_Fur_H-NS	yiaO//nrfF//ftsW//lrp//
FNR_Fur_MetR_NsrR	tauB//
FNR_Fur_Nac_NtrC	cysA//
FNR_Fur_NagC	mdtC//hcr//ydhT//
FNR_Fur_OxyR	oppA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	sgrS//
FNR_H-NS	udp//tsx//
FNR_H-NS_NrdR	kbaZ//sulA//
FNR_IHF	manY//uxaB//uof//rrsA//rutC//
FNR_IHF_Lrp_YeiL	nikB//
FNR_IHF_NarL_NarP_NorR	hyfH//ubiC//
FNR_IHF_PhoB	nupG//hycB//nanE//citD//gatA//
FNR_MalT	nrfA//dppB//
FNR_ModE	araA//hns//
FNR_NarL	chbF//nanC//nhaR//tdcC//ydeO//rplM//
FNR_NarL_NarP	entC//degP//flhD//fumA//ptsG//proX//acrB//mhpB//idnT//
FNR_NarL_NarP_NsrR	lldP//
FNR_NarL_NarP_NsrR_OxyR	stpA//tdcG//
FNR_NarL_NikR	cdd//gspH//nanS//fimA//ssuB//dsdC//
FNR_NsrR	nemR//rrsB//pgaB//
FNR_OxyR	hisP//
FNR_PurR	fliA//appC//
FNR_YqjI	ogt//
FabR_FadR	slp//mhpB//
FadR_IHF	pheM//
FadR_IclR	nanA//
FhlA_FlhDC	nikA//
FhlA_IHF_ModE_NsrR	paaA//gatB//nac//murP//dppC//rrlA//hyfI//rbsC//hisJ//
FhlA_IHF_NsrR	oxyR//
Fis_Fur	oppF//
Fis_H-NS	gcd//
Fis_H-NS_IHF_MntR_OxyR	ygbA//
Fis_H-NS_Lrp	fliA//bglJ//nfo//exuR//pck//yedX//dppF//guaB//modC//nuoG//ebgA//cadA//oppF//dppA//gnd//eda//tnaA//pncB//actP//gabP//ftsI//nanA//norW//fimI//
Fis_H-NS_Lrp_StpA	yiaK//feaR//
Fis_IHF	katG//
Fis_IHF_NtrC	metR//rbsK//
Fis_IHF_OmpR_RcsB	hisP//
Fis_Lrp	glpD//ileU//paaI//sra//hisM//asr//bglF//nrdF//lpd//
Fis_MazE_MazE-MazF	malK//
Fis_NarL	cadB//
Fis_NarL_NarP_NsrR	cysA//gntP//
Fis_PurR	sucB//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ilvG_1//dadA//gcd//
FliZ_RutR	entC//
Fur_H-NS	betT//yjbH//ydhX//fliZ//gspC//katG//ptsI//paaJ//feaR//ccmA//cdd//ftsI//nrdH//
Fur_IHF_IscR_NsrR_OxyR	fimG//chbA//mdtF//entC//nagE//puuB//
Fur_IscR_NrdR	hyfF//araF//nikR//nrdG//
Fur_MetR	lldD//
Fur_MntR	fdnG//
Fur_MntR_OxyR	sdhA//
Fur_OxyR	frdB//
Fur_PurR	aceB//nuoB//
Fur_RcnR	yiaO//hybG//
Fur_RutR	dppC//
Fur_SoxS_Zur	uxaB//
Fur_YqjI	hypA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	chbC//fecE//
GadE-RcsB_H-NS	gcvP//
GadE-RcsB_PhoB	chbF//
GadE-RcsB_Rob	araB//
GadE_GadX_H-NS_PhoP_RcsB	lsrK//
GadE_H-NS_Lrp_NsrR	xylH//
GadE_H-NS_MatA	nagB//
GadE_H-NS_RcsAB	idnD//
GadE_MarA_PurR	rbsD//
GadW_GadX_RcsB	caiE//
GalR_GalS	paaB//
GlrR_IHF	serA//
H-NS_IHF	nfuA//gspG//hybO//
H-NS_IHF_Lrp	mglC//mdh//ftnA//ileV//malS//sufC//codB//
H-NS_LeuO	yeiL//ackA//
H-NS_LeuO_RcsB-BglJ_StpA	srlE//
H-NS_LrhA_Lrp	fecD//
H-NS_Lrp	gltD//osmY//
H-NS_Lrp_NhaR_RcsB	astE//
H-NS_Lrp_StpA	puuP//
H-NS_McbR	tauB//hycB//gyrA//
H-NS_NhaR	aroG//paaA//
H-NS_OmpR	fhlA//
H-NS_PhoB_RcdA_RstA	rutA//
HU_IHF_TrpR_TyrR	rseA//
HU_IHF_TyrR	dppA//
HigA_HigB-HigA	fucI//glpD//
HipAB_HipB_IHF	malX//narJ//
HypT_MetJ	glnP//fecE//astC//
HypT_MetJ_PhoP	deoA//puuA//
IHF_Lrp	casB//araJ//ydeP//alaU//garP//astA//nrdB//acrZ//
IHF_NsrR	lldR//
IHF_NtrC	metR//ynfH//
IHF_PhoP	srlA//
IHF_PspF	ygiC//puuD//napA//hycE//xylR//uvrA//
IHF_RcsAB	lacA//pyrC//deoB//argP//
IHF_RtcR	rbsA//entB//
IHF_TyrR	purD//
IHF_UlaR	metY//
LexA_MraZ_PdhR	rsmH//ndh//hycI//nanK//yedX//gspL//galM//torD//manY//lysP//mtlD//
LexA_MraZ_PdhR_RcsB_SdiA	relA//cas2//
LexA_MraZ_PdhR_SdiA	nanT//
LexA_NagC	ydhY//
LexA_RcdA	chbC//
LexA_RcsB-BglJ	gloA//
MarA_OxyR_Rob_SoxS	dnaN//ssrS//atoD//serA//
MarA_PhoP_Rob_SoxS	ugpE//rrlB//idnR//ilvH//
MarA_Rob_SoxS	ansB//fucO//appC//atoD//appC//
MarA_SoxS	pqiA//fhlA//yjbF//betA//araA//
MetJ_MetR	gabP//carB//
MetJ_OxyR	dadX//moaA//
MetR_PurR	yiaK//
MraZ_PdhR	chbC//hypF//
Nac_PurR	cusF//deoB//
NarL_TorR	rrlB//nrfB//dcuC//
NemR_RutR	fis//cysB//gltB//
NhaR_OmpR	rutC//chbA//prpC//cusA//
NorR_NsrR	fhlA//
NsrR_PhoB	uidA//
OxyR_SoxS	sodB//
PdhR_PhoP	malS//
PgrR_TyrR	ftsQ//
PhoB_PhoP	araF//
PhoP_PurR_RbsR	manZ//zinT//
RelB_RelB-RelE	mazF//hyfD//rutG//
TrpR_TyrR	aslB//lsrR//tnaC//
YefM_YefM-YoeB	entA//flhD//
