#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	oppA//fdnH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	sufC//
ArcA_CRP_FNR_IHF_NarL	mhpC//
ArcA_CRP_FNR_NarL	emrK//
ArcA_CRP_FadR	dppA//acrD//
ArcA_CRP_FadR_HipB	cydD//
ArcA_CRP_FadR_OmpR_PhoP	ydeP//
ArcA_CRP_Fis_Mlc_SoxS	yiaM//
ArcA_CRP_Fis_XylR	hha//
ArcA_CRP_Fur_GadX_MqsA	mazF//
ArcA_CRP_GatR	pstB//uidC//rplB//cas1//garR//treB//
ArcA_CRP_GlpR	csrC//
ArcA_CRP_IHF	ydeP//
ArcA_CRP_PuuR	phoU//rhaB//fdnI//caiC//hycA//
ArcA_CRP_RhaS	glcC//
ArcA_CRP_TreR	lsrA//metL//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	serA//ulaA//
ArcA_Cra	glmY//
ArcA_Cra_FNR_H-NS_HypT	gltB//mhpD//
ArcA_CysB_FNR	nuoI//
ArcA_FNR	adiA//nrfD//glnG//tdcD//rrlD//truB//nikD//torD//rpsO//uxuA//gspC//pspE//relE//glnA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	soxS//
ArcA_FNR_Fis_IHF_NarL	nuoC//fhuF//lgoR//pspE//nagC//fimA//waaY//tyrR//cadB//cspE//guaA//ydhY//entF//
ArcA_FNR_Fur_IHF	tnaB//
ArcA_FNR_IHF	dnaN//lysA//puuB//
ArcA_FNR_IHF_NarL	chbB//pspB//
ArcA_FNR_NarL	paaF//glcD//hycA//atoE//
ArcA_FNR_PhoP	cadA//
ArcA_FNR_PuuR	pqiA//moaA//
ArcA_FadR	crp//mazG//ulaD//
ArcA_FadR_Fis	fbaA//glpB//
ArcA_Fur_Lrp_ModE	mhpB//trg//nrdI//ygiA//ydhX//
ArcA_GlcC_IHF_PdhR	cbl//gcvP//fimD//nanS//cadC//napC//
ArcA_LexA	dmsD//hokD//
ArcA_LldR	sroD//nhaR//srlD//
ArcA_NarL	gntT//nfsA//yiaM//gspI//moaC//fepB//galR//nrfA//
ArcA_NtrC_PhoP_RutR	napA//cas2//fepE//gntT//hisM//ccmB//murQ//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	sodA//nuoJ//qseC//
ArgP_CRP_FNR_Fur_Nac	uxaB//
ArgP_DnaA	glcD//acrD//soxS//
ArgP_Lrp	ilvM//ydhU//
ArgP_LysR	mglA//
ArgP_PhoB	yiaL//
ArgR_CRP	garR//
ArgR_CRP_Fis	ileU//glnA//yiaK//serA//sra//degP//rbsA//ddlB//
ArgR_Fis_IHF_PepA_PurR_RutR	fabB//proV//
ArgR_H-NS_NtrC	glpQ//rbfA//gntT//ydhT//
ArgR_NtrC	gspK//ilvX//rrsA//glpX//puuE//
ArgR_PhoP	napD//
AscG_CRP	gltB//nagC//hypD//
AscG_CRP_PhoB_PrpR	waaZ//
AsnC_MraZ_Nac	rhaD//
AsnC_Nac	gntU//hyfD//
AtoC_IHF	sgbE//paaE//metI//fabB//
BaeR_CpxR	fadA//hypE//hisJ//rplM//malS//lsrB//uvrA//
BaeR_CpxR_EvgA	gatZ//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ssrS//sbmC//pspE//caiA//
BasR_CpxR_PdhR	dpiB//gutM//
BasR_Fis	fliH//
BasR_H-NS_IHF_NagC_NanR	cusF//
BasR_MarA_PutA	cusC//
BasR_PhoP	hybE//
BasR_QseB	rrsG//fepA//
CRP_CaiF_FNR	cysB//ddlB//envZ//rseA//
CRP_ChbR_NagC	hyaF//dctA//flhC//uidC//fliF//yjjQ//
CRP_ComR	csrC//
CRP_CpxR	nagE//
CRP_CpxR_CytR	gatZ//
CRP_CpxR_CytR_DnaA_IHF	gcvT//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	betI//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	ybjC//rhaT//nuoH//galK//
CRP_Cra	hns//pspG//gltD//nrdG//aldB//hisP//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	argP//gabD//nac//glpD//
CRP_Cra_FNR_PdhR	bglJ//
CRP_Cra_Fis	rplP//
CRP_Cra_Fis_GlcC	hha//
CRP_Cra_Fis_MtlR	aceF//tdcC//hisJ//
CRP_Cra_Mlc_NagC	nupC//ycdZ//ubiA//gapA//araD//yiaK//
CRP_Cra_PrpR	fau//gadA//mtr//waaZ//
CRP_CreB_Fis_MalT	atoE//hyaB//citG//
CRP_CsiR_H-NS_Lrp	slp//nrdH//
CRP_CsiR_H-NS_Lrp_Nac	dmsD//glcF//zraR//
CRP_CspA_Fis	hupA//
CRP_CytR	yecR//nuoN//csgC//
CRP_CytR_DeoR	uidC//cusC//
CRP_CytR_DeoR_Fis_ModE	argG//dpiB//crr//yjbE//
CRP_CytR_Nac	rplP//
CRP_CytR_NsrR	entH//
CRP_DcuR_FNR_NarL	malI//
CRP_DinJ-YafQ	exuR//
CRP_DnaA_Fis_PurR	ynfF//hybC//
CRP_DpiA_ExuR	skp//
CRP_DsdC	tam//appC//
CRP_EbgR	uof//nrdH//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	yecR//soxS//
CRP_ExuR	nrdH//
CRP_ExuR_FNR	aidB//ulaD//
CRP_ExuR_OxyR_UxuR	caiF//uxaB//
CRP_ExuR_UxuR	glpA//
CRP_FNR	pyrD//
CRP_FNR_FhlA_HyfR	atoA//yiaJ//ccmF//pnp//fecB//nikR//bglF//ccmH//aceA//cyoC//cysM//alaV//
CRP_FNR_Fis	mtlR//moaB//pgaB//
CRP_FNR_Fis_GlpR_IHF	malM//purR//
CRP_FNR_Fis_H-NS_SlyA	rrfH//
CRP_FNR_GcvA_Lrp_PurR	adiC//fadJ//pspD//
CRP_FNR_H-NS_NarL	caiE//
CRP_FNR_IHF_TdcA_TdcR	sgbU//hydN//uxaB//dppC//accB//slp//rrsG//
CRP_FNR_NarL	feoC//murE//pdhR//
CRP_FeaR_NsrR	fliI//
CRP_Fis	gadA//accC//ubiC//dctR//cas1//
CRP_Fis_FlhDC_GalR_GalS	nrfC//mnmG//
CRP_Fis_FliZ_IHF_Lrp	rhaR//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	dppF//mraZ//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	puuE//sodA//bglF//
CRP_Fis_IHF	aslB//gltA//serA//hyaE//sdhA//
CRP_Fis_NanR	lldR//ynfK//cspE//rutE//rrlE//
CRP_Fis_NtrC	nrfD//fhuF//yefM//
CRP_Fis_XylR	mdtB//casB//fabZ//
CRP_FlhDC_GalR_GalS	paaH//
CRP_FucR	safA//pstC//galE//truB//hokD//rbsD//murP//
CRP_Fur	mazG//iclR//glpC//evgA//nrfF//agaW//puuR//glgP//gspH//
CRP_Fur_HypT_PdhR	glnG//tolC//gspF//yeaR//tauD//
CRP_Fur_OxyR_SoxS	fliC//
CRP_GalR_GalS	idnD//
CRP_GalR_GalS_H-NS_HU	hcr//pncB//gadE//mglA//
CRP_GalR_GalS_NagC	ftsZ//
CRP_GlpR	yiaL//pspB//bglB//
CRP_GntR	gntU//rplT//
CRP_GntR_IdnR	puuC//lacY//pdeR//cyaR//fliG//gabT//ugpA//
CRP_GntR_IscR	gltT//
CRP_GutM_GutR_H-NS	paaI//citD//bamE//paaJ//dsdX//puuP//yrbL//
CRP_H-NS	fadL//
CRP_H-NS_HipAB_HipB_NtrC	hcr//
CRP_H-NS_LacI	fliK//fhuF//ynfE//
CRP_H-NS_LeuO	malX//nagE//caiE//pdhR//cyoB//hyaD//cysJ//
CRP_H-NS_MqsA	hcr//
CRP_IHF	aroA//ytfE//chbF//ptsI//
CRP_IHF_MprA_OmpR	casA//
CRP_IHF_NsrR	glnA//
CRP_IHF_PaaX	cyoE//rpsQ//hypB//pspA//nikC//dcuB//araF//entA//fadE//dpiA//nuoL//aer//
CRP_IHF_UlaR	ilvG_2//ugpA//fis//rbsK//aceE//hdeB//
CRP_IHF_YiaJ	oppA//nanM//rcnB//aidB//dmsA//pspC//betB//moaE//hemL//dcuA//
CRP_LexA	rplC//
CRP_Lrp	proV//fpr//ccmE//rbsA//
CRP_Lrp_Mlc	fimD//
CRP_Lrp_Nac	yjcH//
CRP_LsrR	nirC//ydhT//csgA//lyxK//pspD//ssuB//fliK//puuD//yaiA//
CRP_MalI	gatC//fliA//cytR//
CRP_MalT	gltB//norR//rcnA//
CRP_MalT_PhoP	rrsE//
CRP_MelR	proW//yjiY//guaA//
CRP_MetJ	ileU//
CRP_MhpR	tauB//metL//yeaR//setA//oxyR//ccmD//
CRP_Mlc	rrsB//chiP//
CRP_ModE	napD//norW//tdcC//
CRP_MurR	lsrR//ybfN//
CRP_Nac_NsrR_PhoB	qseB//
CRP_NadR	cusS//
CRP_NagC	sufB//feaR//bglB//sbmC//nuoJ//prpC//
CRP_NagC_NanR	rhaS//rplW//dctR//
CRP_NagC_PhoP	fucR//
CRP_OxyR	hyfF//
CRP_OxyR_UxuR	malF//
CRP_PhoB	ddlB//cusR//sufB//gcvH//feaB//ygiA//
CRP_PhoP	uxuB//puuR//rplW//
CRP_PutA	yciF//
CRP_RbsR	gloA//hyfB//rrfE//gadA//frdB//ftsW//
CRP_RhaR_RhaS	ftsW//dps//
CRP_RhaS	rrfE//feaR//cadA//
CRP_Rob	rbsR//
CRP_TorR	rutE//glcF//puuP//
CRP_UhpA_UvrY	nupG//
CRP_UidR_UxuR	nuoA//paaG//puuA//
CRP_UvrY	glcA//
CRP_YehT	galK//
CRP_ZraR	purH//cyoE//
CadC_FNR_H-NS_LeuO_MlrA	gadY//
Cbl_CysB	rrsA//gabP//glpQ//ilvM//
Cbl_CysB_FNR_IHF	guaB//lsrA//rplD//nuoA//yoaG//
CdaR_FNR_Fis_Fur_H-NS	puuE//
CdaR_FNR_Fur_H-NS	lsrG//yiaM//fucK//caiB//
CpxR_CsgD_FliZ	yciF//tcyJ//carA//
CpxR_CysB	fucK//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	bglG//
CpxR_GadE	fadI//ydeP//infB//accB//
CpxR_H-NS	mlc//
CpxR_NsrR	hokD//
CpxR_RcsB	hybF//
CpxR_TyrR	rpsO//
Cra_FNR_Fis_Lrp_NarL	cysB//
Cra_FNR_Fur_MarA_Rob_SoxS	ydhV//
Cra_FhlA_FlhDC	hyfE//
Cra_GntR_KdgR	aldB//
Cra_GntR_KdgR_PhoB	glnG//
Cra_MarA_SoxS	ydeN//
Cra_PdeL	exuT//
Cra_SgrR	metK//cusB//glcD//
Cra_TyrR	dcuR//
CreB_NagC	ilvG_1//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	cusA//
CsgD_FlhDC	ahpC//glnG//marR//gyrA//ulaE//garP//moaC//yqjH//dcuC//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	gdhA//ygiB//
CspA_Fis_GadX_H-NS	manX//
CueR_FNR_ModE	ybjC//nfuA//setA//murC//narJ//
CusR_PhoB_YedW	rrsC//acs//rbsA//oppB//hipB//flgM//nirC//
CysB_H-NS	norW//cusB//fepB//csgC//metN//
CysB_HypT_IHF	baeS//
CysB_IHF	epd//ynfF//
CysB_NtrC	spy//
CysB_PhoP	rplT//
DcuR_FNR_NarL	fixC//hycF//ndh//ackA//
DinJ-YafQ_LexA	fes//pqiA//
DpiA_H-NS	manY//
DsdC_NsrR	mdtA//
EvgA_FNR	phoQ//ycdZ//
EvgA_H-NS	oppC//bolA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	dpiB//
EvgA_H-NS_PhoP_RcsB_YdeO	yeaR//
EvgA_PhoP_RcsB_YdeO	entC//
ExuR_UxuR	frdC//gdhA//
FNR_FhlA_IHF_NsrR	ubiA//nanT//rrlB//ebgA//entA//
FNR_FhlA_NarL_NarP	malM//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	mdtB//nanC//gltW//ssrS//hybO//murG//tpx//
FNR_Fis_IHF_ModE_NarL	cysP//fdnG//evgA//
FNR_Fis_IHF_NarL	metB//
FNR_Fis_IHF_NarL_RstA	garR//puuR//uvrA//paaE//
FNR_FlhDC	yjcH//
FNR_FlhDC_IscR_ModE_NarL_NarP	gcd//yjbH//aceA//torA//nfuA//feaB//gadY//
FNR_FlhDC_ModE_NarL_NarP	cydD//uxaA//nanC//malI//mdtC//srlE//fhuF//hisM//
FNR_Fur	bamE//zraS//
FNR_Fur_GadE	rhaT//
FNR_Fur_GadX_NtrC	prpB//fecB//
FNR_Fur_H-NS	nupC//gcvH//malI//ssuE//
FNR_Fur_MetR_NsrR	fadH//
FNR_Fur_Nac_NtrC	mntP//
FNR_Fur_NagC	nfsB//gcd//lacA//
FNR_Fur_OxyR	marB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	codB//
FNR_H-NS	fur//hemL//
FNR_H-NS_NrdR	phoU//nhaA//
FNR_IHF	gnd//norV//hemL//gspJ//ydhT//
FNR_IHF_Lrp_YeiL	prpB//
FNR_IHF_NarL_NarP_NorR	rsmH//yjjQ//
FNR_IHF_PhoB	ydhT//tauD//purN//oppF//astC//
FNR_MalT	cusR//ptsI//
FNR_ModE	melA//ssuC//
FNR_NarL	glgA//sdhC//nfuA//ilvA//hyaC//srlB//
FNR_NarL_NarP	proW//dsdC//rrfC//gadB//cysI//proP//putP//rhaR//hokD//
FNR_NarL_NarP_NsrR	mraZ//
FNR_NarL_NarP_NsrR_OxyR	aceA//treC//
FNR_NarL_NikR	pspC//metQ//fadD//feoB//ccmF//pstB//
FNR_NsrR	feaB//mdtC//cspE//
FNR_OxyR	tolC//
FNR_PurR	purD//purM//
FNR_YqjI	pstA//
FabR_FadR	rpoE//asnC//
FadR_IHF	murE//
FadR_IclR	sufB//
FhlA_FlhDC	melR//
FhlA_IHF_ModE_NsrR	cyoA//cydB//iclR//nuoG//chbC//aer//fumA//ahpC//lsrG//
FhlA_IHF_NsrR	gcvP//
Fis_Fur	sufB//
Fis_H-NS	yjiY//
Fis_H-NS_IHF_MntR_OxyR	alaU//
Fis_H-NS_Lrp	acnB//glnD//hemA//cadB//dsdC//nanM//nuoN//gspF//aslB//hupB//glnP//recF//rutD//glnL//narJ//cdd//ompW//caiE//paaZ//rbsA//hycE//gdhA//caiB//fepE//
Fis_H-NS_Lrp_StpA	atoD//fimG//
Fis_IHF	glpQ//
Fis_IHF_NtrC	melA//pflB//
Fis_IHF_OmpR_RcsB	purN//
Fis_Lrp	rpsO//araH//hisP//rrfE//hycH//dmsB//mdtC//pck//aidB//
Fis_MazE_MazE-MazF	moaB//
Fis_NarL	cusC//
Fis_NarL_NarP_NsrR	xylG//ebgC//
Fis_PurR	pgaA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	gutM//gspL//nrdF//
FliZ_RutR	deoA//
Fur_H-NS	putP//cyoD//araH//araD//rob//alaV//prmC//galE//ftsA//fecC//fiu//lysP//sgrS//
Fur_IHF_IscR_NsrR_OxyR	yjbE//ilvG_1//gcvH//fadJ//dpiA//yjbH//
Fur_IscR_NrdR	entE//fimI//nac//agaA//
Fur_MetR	yiaM//
Fur_MntR	pstS//
Fur_MntR_OxyR	paaZ//
Fur_OxyR	tyrP//
Fur_PurR	phoQ//rrfH//
Fur_RcnR	hisJ//xylG//
Fur_RutR	sgrT//
Fur_SoxS_Zur	yciE//
Fur_YqjI	fimD//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	glnA//rhaD//
GadE-RcsB_H-NS	paaC//
GadE-RcsB_PhoB	yjbF//
GadE-RcsB_Rob	bglJ//
GadE_GadX_H-NS_PhoP_RcsB	puuB//
GadE_H-NS_Lrp_NsrR	cadA//
GadE_H-NS_MatA	rpsQ//
GadE_H-NS_RcsAB	rrsH//
GadE_MarA_PurR	nagC//
GadW_GadX_RcsB	fumC//
GalR_GalS	hypC//
GlrR_IHF	fdhF//
H-NS_IHF	glnQ//ybdN//pstC//
H-NS_IHF_Lrp	zraS//yjbF//lldP//yiaO//prpR//sufC//ssb//
H-NS_LeuO	frdB//ahpC//
H-NS_LeuO_RcsB-BglJ_StpA	gcvH//
H-NS_LrhA_Lrp	cas1//
H-NS_Lrp	nuoA//ssuE//
H-NS_Lrp_NhaR_RcsB	proV//
H-NS_Lrp_StpA	acs//
H-NS_McbR	ilvM//waaZ//rplP//
H-NS_NhaR	tpx//casC//
H-NS_OmpR	fimE//
H-NS_PhoB_RcdA_RstA	poxB//
HU_IHF_TrpR_TyrR	betB//
HU_IHF_TyrR	mraY//
HigA_HigB-HigA	adhE//yqjI//
HipAB_HipB_IHF	gdhA//glpX//
HypT_MetJ	srlA//ilvD//dcuB//
HypT_MetJ_PhoP	soxR//dusB//
IHF_Lrp	cusF//waaY//rrlG//sgbU//gapA//zinT//dcuD//csiD//
IHF_NsrR	appA//
IHF_NtrC	acrB//nanS//
IHF_PhoP	xylB//
IHF_PspF	ydeP//rrsE//actP//nanA//garK//yoeB//
IHF_RcsAB	gntX//rpsO//ybiT//nuoG//
IHF_RtcR	nikB//focB//
IHF_TyrR	setA//
IHF_UlaR	kbaZ//
LexA_MraZ_PdhR	aroP//ftsA//fecA//rrlB//caiB//serC//agaA//entD//ileV//betT//nrfG//
LexA_MraZ_PdhR_RcsB_SdiA	ascF//hyaE//
LexA_MraZ_PdhR_SdiA	ihfA//
LexA_NagC	tauA//
LexA_RcdA	moaE//
LexA_RcsB-BglJ	metL//
MarA_OxyR_Rob_SoxS	tdcA//yhiM//paaH//mglA//
MarA_PhoP_Rob_SoxS	hemA//cydB//dppB//acrB//
MarA_Rob_SoxS	ugpB//nirD//ilvD//ygiC//fixA//
MarA_SoxS	fucR//csiD//rplM//sgbE//proW//
MetJ_MetR	glpD//ydhX//
MetJ_OxyR	srlD//ugpB//
MetR_PurR	rbsC//
MraZ_PdhR	dgcZ//rpsJ//
Nac_PurR	astE//fecD//
NarL_TorR	gcvH//aroP//glnA//
NemR_RutR	csgF//fadH//tdcF//
NhaR_OmpR	astC//hns//hycD//yciE//
NorR_NsrR	glcC//
NsrR_PhoB	casB//
OxyR_SoxS	rbsK//
PdhR_PhoP	gatD//
PgrR_TyrR	degP//
PhoB_PhoP	cysA//
PhoP_PurR_RbsR	thrV//ssuD//
RelB_RelB-RelE	alaT//betT//ygiC//
TrpR_TyrR	xylA//acrE//nuoA//
YefM_YefM-YoeB	glnK//cysG//
