#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	aroL//cysB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	mdtC//mazG//sdhC//
ArcA_CRP_FNR_Fis_Fur_PdhR	paaA//
ArcA_CRP_FNR_Fis_IHF_NarL	lldD//
ArcA_CRP_FNR_Fur	fucR//araA//uidC//appX//
ArcA_CRP_FNR_Fur_IHF	hdeA//pgaA//casA//ycdZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rrsA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cusR//
ArcA_CRP_FNR_IHF_NarL	fecD//
ArcA_CRP_FNR_NarL	ugpB//
ArcA_CRP_FadR	spy//acrF//
ArcA_CRP_FadR_HipB	nuoF//
ArcA_CRP_FadR_OmpR_PhoP	serA//
ArcA_CRP_Fis_Mlc_SoxS	manX//
ArcA_CRP_Fis_XylR	gntU//
ArcA_CRP_Fur_GadX_MqsA	glgP//
ArcA_CRP_GatR	relA//mdh//yhiM//hpt//glgA//fdnI//
ArcA_CRP_GlpR	fliF//
ArcA_CRP_IHF	asnC//
ArcA_CRP_PuuR	sdhC//tnaC//ulaF//galE//malE//
ArcA_CRP_RhaS	appA//
ArcA_CRP_TreR	fliZ//inaA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gatZ//rpoH//
ArcA_Cra	ybiT//
ArcA_Cra_FNR_H-NS_HypT	citD//lysA//
ArcA_CysB_FNR	hyfB//
ArcA_FNR	uxaA//fimD//paaH//bglJ//ybjC//galK//argG//hisM//hybA//nrdB//malK//glgA//phoU//ssuB//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	uhpT//
ArcA_FNR_Fis_IHF_NarL	araC//fliF//emrY//hisP//yafQ//sdhD//glyA//lpxD//glpK//uxuB//rimK//lysP//hybF//
ArcA_FNR_Fur_IHF	flhC//
ArcA_FNR_IHF	cysH//hycB//citE//
ArcA_FNR_IHF_NarL	nuoC//tnaC//
ArcA_FNR_NarL	hyaB//nupG//rimP//ahpF//
ArcA_FNR_PhoP	glpC//
ArcA_FNR_PuuR	infB//rplT//
ArcA_FadR	tauC//ssuB//rutE//
ArcA_FadR_Fis	gadX//fixC//
ArcA_Fur_Lrp_ModE	osmE//melB//purM//ynfK//malT//
ArcA_GlcC_IHF_PdhR	citF//relE//sdhD//glnH//torA//citD//
ArcA_LexA	nrfB//kbaZ//
ArcA_LldR	lldP//hycH//fepB//
ArcA_NarL	glpX//ogt//fliI//ssuB//gdhA//ccmB//lldD//nrdG//
ArcA_NtrC_PhoP_RutR	hyfR//fdnG//murQ//melB//glnH//rrfA//pspA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	mraZ//cadC//gntK//
ArgP_CRP_FNR_Fur_Nac	cusB//
ArgP_DnaA	hyfA//pheM//paaZ//
ArgP_Lrp	trg//inaA//
ArgP_LysR	qseB//
ArgP_PhoB	betB//
ArgR_CRP	fucA//
ArgR_CRP_Fis	lrp//alaV//uvrA//fes//ftsA//ilvL//rtcA//gntP//
ArgR_Fis_IHF_PepA_PurR_RutR	nhaA//aer//
ArgR_H-NS_NtrC	nanT//feoB//fabA//actP//
ArgR_NtrC	astE//ybiT//ydhT//spy//gspM//
ArgR_PhoP	ileT//
AscG_CRP	ydhT//sgbU//pgaB//
AscG_CRP_PhoB_PrpR	ydeO//
AsnC_MraZ_Nac	rbsK//
AsnC_Nac	ygiA//zraS//
AtoC_IHF	adhE//ssrS//fpr//evgA//
BaeR_CpxR	pspC//degP//rrfA//hipB//araF//serC//yiaL//
BaeR_CpxR_EvgA	dppD//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	mhpF//atoB//fucK//thrV//
BasR_CpxR_PdhR	nikR//cusS//
BasR_Fis	cusR//
BasR_H-NS_IHF_NagC_NanR	rimK//
BasR_MarA_PutA	flgN//
BasR_PhoP	higB//
BasR_QseB	nrdI//yeiL//
CRP_CaiF_FNR	gspF//hyfJ//appA//puuA//
CRP_ChbR_NagC	ascB//hyfG//rrlA//serC//purM//gltA//
CRP_ComR	garP//
CRP_CpxR	ilvM//
CRP_CpxR_CytR	pdeR//
CRP_CpxR_CytR_DnaA_IHF	hydN//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	sufC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	aroP//manZ//nikB//uxaC//
CRP_Cra	gutQ//araC//entD//appA//moaE//cyoB//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	gspO//casB//ugpQ//folA//
CRP_Cra_FNR_PdhR	cysA//
CRP_Cra_Fis	pheM//
CRP_Cra_Fis_GlcC	chbA//
CRP_Cra_Fis_MtlR	citE//fucO//hybF//
CRP_Cra_Mlc_NagC	pqiB//casB//atoD//hycC//sgbU//uidC//
CRP_Cra_PrpR	yhiM//gntP//katG//yjcH//
CRP_CreB_Fis_MalT	ccmG//rpmC//uvrA//
CRP_CsiR_H-NS_Lrp	ygbA//ssuB//
CRP_CsiR_H-NS_Lrp_Nac	aslB//crp//udp//
CRP_CspA_Fis	stpA//
CRP_CytR	gspM//rnpB//feoB//
CRP_CytR_DeoR	nuoI//fimA//
CRP_CytR_DeoR_Fis_ModE	fes//dcuB//yiaJ//rrfB//
CRP_CytR_Nac	fimA//
CRP_CytR_NsrR	cdd//
CRP_DcuR_FNR_NarL	purA//
CRP_DinJ-YafQ	hycE//
CRP_DnaA_Fis_PurR	argP//pnp//
CRP_DpiA_ExuR	nrdG//
CRP_DsdC	edd//lldR//
CRP_EbgR	ccmB//fliE//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	modA//yiaJ//
CRP_ExuR	hyfB//
CRP_ExuR_FNR	prpB//nrdB//
CRP_ExuR_OxyR_UxuR	hdeD//pgaC//
CRP_ExuR_UxuR	rpsQ//
CRP_FNR	yfaE//
CRP_FNR_FhlA_HyfR	sbmC//nikB//dppB//zwf//pncB//dcuD//edd//pspD//ptsI//casC//hokD//cbl//
CRP_FNR_Fis	yiaL//glmY//aceE//
CRP_FNR_Fis_GlpR_IHF	gspM//fdnG//
CRP_FNR_Fis_H-NS_SlyA	rutB//
CRP_FNR_GcvA_Lrp_PurR	lhgO//yiaN//nuoF//
CRP_FNR_H-NS_NarL	ilvG_2//
CRP_FNR_IHF_TdcA_TdcR	fliK//ubiC//fhuF//lacA//ssb//nrdH//rob//
CRP_FNR_NarL	lsrF//sdhA//sra//
CRP_FeaR_NsrR	cspE//
CRP_Fis	uidB//rbsR//ynfK//marR//rpsQ//
CRP_Fis_FlhDC_GalR_GalS	purA//purD//
CRP_Fis_FliZ_IHF_Lrp	ydeM//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	rrlG//lldD//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	hdeA//fau//metK//
CRP_Fis_IHF	hycI//mazF//glpC//ansB//lldP//
CRP_Fis_NanR	yefM//pspA//nikD//nrfD//mtlD//
CRP_Fis_NtrC	idnD//appY//acrD//
CRP_Fis_XylR	putP//galR//rplP//
CRP_FlhDC_GalR_GalS	citF//
CRP_FucR	nrfE//fliC//nuoA//fadB//nemA//oppA//betI//
CRP_Fur	lyxK//sdhD//ompF//araA//galP//sdhD//fixB//ynfG//yiaN//
CRP_Fur_HypT_PdhR	dsdA//rpmC//rseA//nusA//gltD//
CRP_Fur_OxyR_SoxS	phoU//
CRP_GalR_GalS	patA//
CRP_GalR_GalS_H-NS_HU	frdD//nfsB//feoC//frdC//
CRP_GalR_GalS_NagC	nikR//
CRP_GlpR	nemA//ptsH//hyfC//
CRP_GntR	betI//cysW//
CRP_GntR_IdnR	oppC//entC//gapA//galE//ssuA//sufS//csgC//
CRP_GntR_IscR	yjjQ//
CRP_GutM_GutR_H-NS	mraZ//nagB//glyA//argP//yjbG//dppC//proV//
CRP_H-NS	marA//
CRP_H-NS_HipAB_HipB_NtrC	nikC//
CRP_H-NS_LacI	nuoN//gspK//rbsC//
CRP_H-NS_LeuO	hha//hybD//fepE//degP//fepA//cydA//rrsA//
CRP_H-NS_MqsA	cusS//
CRP_IHF	entE//fdnI//cusB//gcvP//
CRP_IHF_MprA_OmpR	nrdE//
CRP_IHF_NsrR	mhpD//
CRP_IHF_PaaX	lsrR//fimE//csiD//sgbH//fimF//putA//yqjI//yrbL//ulaF//iraM//rcnA//rrfD//
CRP_IHF_UlaR	norR//csrC//fucU//fecA//alaT//pspA//
CRP_IHF_YiaJ	ycdZ//aldB//ynfK//relA//umpH//osmC//nrfA//argO//lacZ//cyoA//
CRP_LexA	aidB//
CRP_Lrp	nuoC//pyrC//rbsR//gnd//
CRP_Lrp_Mlc	ssuD//
CRP_Lrp_Nac	hybA//
CRP_LsrR	ulaD//aceF//murQ//tcyJ//alaV//puuD//citC//sucC//mhpC//
CRP_MalI	pdeR//chbR//recF//
CRP_MalT	nrdI//moeB//proW//
CRP_MalT_PhoP	hycC//
CRP_MelR	xylH//feoA//rplB//
CRP_MetJ	bglB//
CRP_MhpR	srlR//hyfB//puuD//lysP//rpoS//ygeA//
CRP_Mlc	purA//aceB//
CRP_ModE	rutF//cyoA//casA//
CRP_MurR	hycI//gyrA//
CRP_Nac_NsrR_PhoB	ptsH//
CRP_NadR	uidA//
CRP_NagC	fliI//poxB//citG//prpD//rplT//frdB//
CRP_NagC_NanR	fimI//araD//hpt//
CRP_NagC_PhoP	entC//
CRP_OxyR	modC//
CRP_OxyR_UxuR	agaW//
CRP_PhoB	pyrD//ydeP//mazF//glpF//ugpC//gadY//
CRP_PhoP	yefM//tam//lgoR//
CRP_PutA	chiP//
CRP_RbsR	fdnH//crp//lacZ//sgbU//rrsE//uspA//
CRP_RhaR_RhaS	grcA//dmsA//
CRP_RhaS	osmC//ccmG//ugpQ//
CRP_Rob	rpsS//
CRP_TorR	ssuA//cadA//napB//
CRP_UhpA_UvrY	yjbH//
CRP_UidR_UxuR	ulaE//uvrA//dcuA//
CRP_UvrY	rrfG//
CRP_YehT	hypC//
CRP_ZraR	cirA//hycC//
CadC_FNR_H-NS_LeuO_MlrA	creD//
Cbl_CysB	yqjH//nrdI//araA//uxuR//
Cbl_CysB_FNR_IHF	hyaB//dctR//rrsE//rhaB//gatA//
CdaR_FNR_Fis_Fur_H-NS	ubiA//
CdaR_FNR_Fur_H-NS	paaZ//emrK//gspK//tdcE//
CpxR_CsgD_FliZ	rbsK//nrfB//rrsA//
CpxR_CysB	ascB//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	dmsC//
CpxR_GadE	gadX//lpxA//yafQ//yciF//
CpxR_H-NS	ascB//
CpxR_NsrR	hemA//
CpxR_RcsB	pyrD//
CpxR_TyrR	nrdG//
Cra_FNR_Fis_Lrp_NarL	adiC//
Cra_FNR_Fur_MarA_Rob_SoxS	ydhX//
Cra_FhlA_FlhDC	dppD//
Cra_GntR_KdgR	rrfD//
Cra_GntR_KdgR_PhoB	metB//
Cra_MarA_SoxS	soxS//
Cra_PdeL	ulaB//
Cra_SgrR	sufA//qseB//gadE//
Cra_TyrR	gltA//
CreB_NagC	narI//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	treC//
CsgD_FlhDC	pspE//lpd//napG//gadA//citC//fucI//rrlG//nrdI//nrdF//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ygiB//bolA//
CspA_Fis_GadX_H-NS	ftsL//
CueR_FNR_ModE	glpC//entC//ccmC//gadE//napA//
CusR_PhoB_YedW	nanA//puuD//rbsC//molR_1//fimC//hyfE//cyoD//
CysB_H-NS	oxyR//garL//dcuA//metH//gatZ//
CysB_HypT_IHF	baeR//
CysB_IHF	araF//agaV//
CysB_NtrC	rplW//
CysB_PhoP	idnR//
DcuR_FNR_NarL	rpsC//ccmG//nrfG//rplB//
DinJ-YafQ_LexA	acnB//hyfD//
DpiA_H-NS	sdhD//
DsdC_NsrR	gspO//
EvgA_FNR	entD//dnaA//
EvgA_H-NS	purR//astB//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	prpD//
EvgA_H-NS_PhoP_RcsB_YdeO	manX//
EvgA_PhoP_RcsB_YdeO	dctA//
ExuR_UxuR	phoU//hyaD//
FNR_FhlA_IHF_NsrR	agaA//entB//infB//mdtA//gatC//
FNR_FhlA_NarL_NarP	chbF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	hyfJ//ytfE//glpQ//narK//fucU//cadC//ompF//
FNR_Fis_IHF_ModE_NarL	hycD//mdtC//ilvG_2//
FNR_Fis_IHF_NarL	paaI//
FNR_Fis_IHF_NarL_RstA	hycC//ssuC//gspK//caiT//
FNR_FlhDC	recF//
FNR_FlhDC_IscR_ModE_NarL_NarP	araD//ogt//nrdI//carA//fliC//dcuC//yqjI//
FNR_FlhDC_ModE_NarL_NarP	lgoR//ssuC//acrE//murP//nuoI//sucB//aceF//csrC//
FNR_Fur	lgoR//serA//
FNR_Fur_GadE	nfsA//
FNR_Fur_GadX_NtrC	oppC//rhaD//
FNR_Fur_H-NS	gatY//narX//purM//paaD//
FNR_Fur_MetR_NsrR	phoQ//
FNR_Fur_Nac_NtrC	citE//
FNR_Fur_NagC	purN//gatD//acrF//
FNR_Fur_OxyR	hha//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	ebgC//
FNR_H-NS	ulaB//tdcB//
FNR_H-NS_NrdR	accB//rcsA//
FNR_IHF	osmY//metE//cdd//fnr//mtr//
FNR_IHF_Lrp_YeiL	glnL//
FNR_IHF_NarL_NarP_NorR	rplP//rplT//
FNR_IHF_PhoB	focB//ulaE//yiaO//lrp//glpF//
FNR_MalT	accC//pheM//
FNR_ModE	relB//deoC//
FNR_NarL	dctA//cysU//lrp//cas2//ccmF//fadD//
FNR_NarL_NarP	nuoL//citX//gadC//argG//glnG//mdtA//gntK//cspA//lsrB//
FNR_NarL_NarP_NsrR	csgF//
FNR_NarL_NarP_NsrR_OxyR	ftsA//deoB//
FNR_NarL_NikR	hydN//cusR//atoE//chbA//napD//fimE//
FNR_NsrR	ebgC//rhaA//casA//
FNR_OxyR	fucI//
FNR_PurR	fdnH//tdcA//
FNR_YqjI	rrfA//
FabR_FadR	proP//rutA//
FadR_IHF	uxaB//
FadR_IclR	cspA//
FhlA_FlhDC	oppD//
FhlA_IHF_ModE_NsrR	norV//paaZ//purR//lsrG//uxuA//sucC//moaB//hyfI//chiP//
FhlA_IHF_NsrR	hyfJ//
Fis_Fur	cbl//
Fis_H-NS	carB//
Fis_H-NS_IHF_MntR_OxyR	fucI//
Fis_H-NS_Lrp	uidA//tam//exuR//ugpA//cysW//malE//nfuA//nanA//dusB//ubiA//treC//ynfG//udp//nrdA//cydA//citE//hyfR//gatD//pgaC//dcuC//lyxK//fliZ//yedX//narJ//
Fis_H-NS_Lrp_StpA	sufE//rseB//
Fis_IHF	rplP//
Fis_IHF_NtrC	purM//malQ//
Fis_IHF_OmpR_RcsB	slp//
Fis_Lrp	adiA//metE//fau//ynfF//yiaJ//yedX//nuoA//mglB//adhE//
Fis_MazE_MazE-MazF	glcA//
Fis_NarL	malG//
Fis_NarL_NarP_NsrR	eda//tdcB//
Fis_PurR	nuoA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	ahpC//prpE//citX//
FliZ_RutR	dctA//
Fur_H-NS	napH//fliC//lpxC//paaC//fadJ//uspA//cas2//appX//epd//lacA//glnQ//paaB//psiE//
Fur_IHF_IscR_NsrR_OxyR	entC//dmsA//yqjH//tdcC//creD//yiaM//
Fur_IscR_NrdR	glnD//betB//rrsE//ccmG//
Fur_MetR	fis//
Fur_MntR	gadX//
Fur_MntR_OxyR	nrdH//
Fur_OxyR	fumC//
Fur_PurR	aspA//mdtA//
Fur_RcnR	dmsD//flgN//
Fur_RutR	ynfH//
Fur_SoxS_Zur	fadJ//
Fur_YqjI	acrF//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	gspJ//paaH//
GadE-RcsB_H-NS	aslB//
GadE-RcsB_PhoB	metB//
GadE-RcsB_Rob	murE//
GadE_GadX_H-NS_PhoP_RcsB	fixA//
GadE_H-NS_Lrp_NsrR	narG//
GadE_H-NS_MatA	gspC//
GadE_H-NS_RcsAB	torD//
GadE_MarA_PurR	oppC//
GadW_GadX_RcsB	cysM//
GalR_GalS	nirD//
GlrR_IHF	manZ//
H-NS_IHF	cydD//chbR//entF//
H-NS_IHF_Lrp	modB//dgcZ//oppC//hybE//ygbA//pyrC//relA//
H-NS_LeuO	hyfC//nagE//
H-NS_LeuO_RcsB-BglJ_StpA	rseA//
H-NS_LrhA_Lrp	murQ//
H-NS_Lrp	pyrC//ssuA//
H-NS_Lrp_NhaR_RcsB	uspA//
H-NS_Lrp_StpA	cysB//
H-NS_McbR	higB//cyoC//adiA//
H-NS_NhaR	gyrA//qseB//
H-NS_OmpR	yciE//
H-NS_PhoB_RcdA_RstA	yhiM//
HU_IHF_TrpR_TyrR	sgbH//
HU_IHF_TyrR	fimG//
HigA_HigB-HigA	tcyJ//focA//
HipAB_HipB_IHF	paaK//sufB//
HypT_MetJ	rrlG//yiaJ//dcuS//
HypT_MetJ_PhoP	treB//ulaD//
IHF_Lrp	relA//entB//rrfH//gltW//mraY//xylA//galT//lsrC//
IHF_NsrR	nuoL//
IHF_NtrC	hyfB//nrdF//
IHF_PhoP	argP//
IHF_PspF	ydeO//rrfH//chbR//paaH//tdcD//prpE//
IHF_RcsAB	hyfE//fucP//xylA//putP//
IHF_RtcR	yecR//hyfD//
IHF_TyrR	glgA//
IHF_UlaR	fucP//
LexA_MraZ_PdhR	fadL//pspD//yjbF//relE//sgbU//ugpB//rrfH//garL//nikA//nupC//mpl//
LexA_MraZ_PdhR_RcsB_SdiA	flgN//murG//
LexA_MraZ_PdhR_SdiA	torA//
LexA_NagC	crp//
LexA_RcdA	rrsB//
LexA_RcsB-BglJ	gspH//
MarA_OxyR_Rob_SoxS	nikB//norV//pdeR//yefM//
MarA_PhoP_Rob_SoxS	yiaK//paaF//manZ//nfsA//
MarA_Rob_SoxS	hybB//nrdD//gloA//kbaZ//fepA//
MarA_SoxS	feoC//ugpB//gadF//ydhU//fes//
MetJ_MetR	chbG//tyrR//
MetJ_OxyR	lldP//malP//
MetR_PurR	fliK//
MraZ_PdhR	glcF//fimF//
Nac_PurR	paaA//icd//
NarL_TorR	csgF//metL//agaA//
NemR_RutR	flgN//csgE//hokD//
NhaR_OmpR	rbfA//ydhV//ybfN//setA//
NorR_NsrR	chbG//
NsrR_PhoB	fucP//
OxyR_SoxS	fixX//
PdhR_PhoP	melR//
PgrR_TyrR	nuoF//
PhoB_PhoP	paaZ//
PhoP_PurR_RbsR	zinT//fimI//
RelB_RelB-RelE	rutG//betI//ilvG_1//
TrpR_TyrR	nuoH//nmpC//ydhU//
YefM_YefM-YoeB	uxaC//higA//
