#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	sgrS//yjiY//
ArcA_CRP_FNR_IHF_NarL	gcvH//
ArcA_CRP_FNR_NarL	ftnA//
ArcA_CRP_FadR	asnC//rrlH//
ArcA_CRP_FadR_HipB	glnD//
ArcA_CRP_FadR_OmpR_PhoP	relE//
ArcA_CRP_Fis_Mlc_SoxS	rrsD//
ArcA_CRP_Fis_XylR	gspJ//
ArcA_CRP_Fur_GadX_MqsA	ccmF//
ArcA_CRP_GatR	cyaR//mtlA//argD//hisM//ptsH//gapA//
ArcA_CRP_GlpR	ilvG_2//
ArcA_CRP_IHF	gltV//
ArcA_CRP_PuuR	ydhW//hcr//citC//exuR//ugpQ//
ArcA_CRP_RhaS	yjbF//
ArcA_CRP_TreR	fadL//mtlA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	malQ//gntP//
ArcA_Cra	gltD//
ArcA_Cra_FNR_H-NS_HypT	tyrR//nrfG//
ArcA_CysB_FNR	pncB//
ArcA_FNR	ydeO//yjcH//tdcA//fhlA//puuP//dcuS//mtlA//murQ//uxaA//fpr//cusA//puuP//tdcF//grcA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	ccmE//
ArcA_FNR_Fis_IHF_NarL	hybG//rplV//prpE//fimB//nrfF//aceF//nusA//yeiL//hycB//ddlB//ssuC//rpoE//sgbH//
ArcA_FNR_Fur_IHF	udp//
ArcA_FNR_IHF	serA//mtlR//hns//
ArcA_FNR_IHF_NarL	paaH//pgaA//
ArcA_FNR_NarL	malQ//pgk//dsdC//mdtC//
ArcA_FNR_PhoP	caiD//
ArcA_FNR_PuuR	gabD//gadW//
ArcA_FadR	citX//pyrC//nrdG//
ArcA_FadR_Fis	sroD//sdhA//
ArcA_Fur_Lrp_ModE	pstC//fliK//ccmH//moaE//phoQ//
ArcA_GlcC_IHF_PdhR	gltD//pflB//feoB//nirD//araG//hyfR//
ArcA_LexA	hdeB//gspI//
ArcA_LldR	rrsC//mdtF//mioC//
ArcA_NarL	ccmE//ybdZ//nhaR//ccmD//rhaT//gutQ//araH//fadI//
ArcA_NtrC_PhoP_RutR	ccmE//mglC//sra//lhgO//nuoF//yiaK//hycD//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	pdeL//mdtB//murC//
ArgP_CRP_FNR_Fur_Nac	pgaD//
ArgP_DnaA	rpsO//fliZ//hybG//
ArgP_Lrp	glnD//fiu//
ArgP_LysR	narK//
ArgP_PhoB	paaC//
ArgR_CRP	rrfA//
ArgR_CRP_Fis	setA//glpD//glnQ//nagE//gadF//hdeD//gltF//rutF//
ArgR_Fis_IHF_PepA_PurR_RutR	dppF//rbsK//
ArgR_H-NS_NtrC	torC//caiA//aspA//ybfN//
ArgR_NtrC	dppD//bamE//cysB//glnA//prpD//
ArgR_PhoP	lyxK//
AscG_CRP	dadX//ahpF//caiF//
AscG_CRP_PhoB_PrpR	sucA//
AsnC_MraZ_Nac	ulaD//
AsnC_Nac	hydN//ulaG//
AtoC_IHF	murQ//citC//hipB//nanS//
BaeR_CpxR	deoD//gatA//nuoC//srlA//cysW//hypE//waaH//
BaeR_CpxR_EvgA	gutM//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	ybiT//ynfH//yjbF//hypB//
BasR_CpxR_PdhR	fucR//hycF//
BasR_Fis	fpr//
BasR_H-NS_IHF_NagC_NanR	araE//
BasR_MarA_PutA	fadB//
BasR_PhoP	nirD//
BasR_QseB	glmY//torD//
CRP_CaiF_FNR	eda//ilvG_1//araD//rob//
CRP_ChbR_NagC	glnA//rrlB//cyoA//manX//moaB//cyaR//
CRP_ComR	uxuB//
CRP_CpxR	cyoA//
CRP_CpxR_CytR	icd//
CRP_CpxR_CytR_DnaA_IHF	rsmH//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	araC//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	amtB//sucD//proP//rutE//
CRP_Cra	treB//fadE//mglB//osmC//fabA//cspA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	codB//yoaG//pspG//hemL//
CRP_Cra_FNR_PdhR	hisQ//
CRP_Cra_Fis	qseB//
CRP_Cra_Fis_GlcC	ftsL//
CRP_Cra_Fis_MtlR	nirC//gntU//ilvH//
CRP_Cra_Mlc_NagC	ulaF//hemA//gyrA//hha//trg//srlD//
CRP_Cra_PrpR	nagE//norW//acrF//rrfE//
CRP_CreB_Fis_MalT	frdC//narI//cusA//
CRP_CsiR_H-NS_Lrp	rhaR//galM//
CRP_CsiR_H-NS_Lrp_Nac	purR//glcE//lsrR//
CRP_CspA_Fis	rimK//
CRP_CytR	fliJ//puuE//hns//
CRP_CytR_DeoR	mhpE//dmsA//
CRP_CytR_DeoR_Fis_ModE	tdcG//ompC//ccmA//gntK//
CRP_CytR_Nac	prmC//
CRP_CytR_NsrR	malY//
CRP_DcuR_FNR_NarL	oppA//
CRP_DinJ-YafQ	pflB//
CRP_DnaA_Fis_PurR	puuE//fhuF//
CRP_DpiA_ExuR	mazF//
CRP_DsdC	glnG//entA//
CRP_EbgR	uxuB//rplD//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	glcG//norR//
CRP_ExuR	pstA//
CRP_ExuR_FNR	gnd//ydhY//
CRP_ExuR_OxyR_UxuR	aldA//acrE//
CRP_ExuR_UxuR	fes//
CRP_FNR	edd//
CRP_FNR_FhlA_HyfR	uhpT//xylR//rrfG//melB//fimB//fumB//malQ//rrfB//dppF//narK//prpE//narX//
CRP_FNR_Fis	nanT//marB//rplC//
CRP_FNR_Fis_GlpR_IHF	cas2//rpsC//
CRP_FNR_Fis_H-NS_SlyA	asnC//
CRP_FNR_GcvA_Lrp_PurR	chbR//araH//treC//
CRP_FNR_H-NS_NarL	citD//
CRP_FNR_IHF_TdcA_TdcR	higB//ubiC//rtcB//ybjN//caiA//yjjQ//cbl//
CRP_FNR_NarL	yiaO//fadH//uidA//
CRP_FeaR_NsrR	gspI//
CRP_Fis	yefM//narH//fadH//ldtB//modC//
CRP_Fis_FlhDC_GalR_GalS	paaK//gabD//
CRP_Fis_FliZ_IHF_Lrp	yjbF//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	metY//melB//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	yjbH//atoD//tyrP//
CRP_Fis_IHF	ccmA//gltA//fepE//norV//hyfD//
CRP_Fis_NanR	ansB//ilvE//hybD//dps//gntP//
CRP_Fis_NtrC	yciF//glcB//sufB//
CRP_Fis_XylR	rplB//gltD//mdtC//
CRP_FlhDC_GalR_GalS	umpH//
CRP_FucR	feoC//osmC//hypA//tdcF//hybF//appA//ftsI//
CRP_Fur	ssuA//fimG//crr//puuB//fadI//casD//ilvA//hypC//deoA//
CRP_Fur_HypT_PdhR	phoQ//uxaA//dppD//hmp//rplB//
CRP_Fur_OxyR_SoxS	yafQ//
CRP_GalR_GalS	pncB//
CRP_GalR_GalS_H-NS_HU	cyoC//acrE//zwf//malP//
CRP_GalR_GalS_NagC	hmp//
CRP_GlpR	dpiB//mdtB//argO//
CRP_GntR	relB//epd//
CRP_GntR_IdnR	nuoF//yecR//mtlD//ssb//cspE//nupC//treC//
CRP_GntR_IscR	glnQ//
CRP_GutM_GutR_H-NS	nac//ftsW//oppB//srlD//hokD//yiaO//fecA//
CRP_H-NS	araE//
CRP_H-NS_HipAB_HipB_NtrC	nupG//
CRP_H-NS_LacI	hyaF//uxaB//nhaR//
CRP_H-NS_LeuO	fecC//nanE//alaT//fes//flgM//hyfA//mhpA//
CRP_H-NS_MqsA	yiaM//
CRP_IHF	fabB//tdcG//sucD//acrF//
CRP_IHF_MprA_OmpR	fepE//
CRP_IHF_NsrR	cydB//
CRP_IHF_PaaX	citG//fimB//tsx//agaA//caiA//nrdI//nanM//asnC//oppC//cyaR//gspE//nrdG//
CRP_IHF_UlaR	oppF//cytR//nhaA//lysP//nmpC//ssuC//
CRP_IHF_YiaJ	malI//glpC//nhaR//murF//epd//ugpA//napC//hypC//mioC//rrsG//
CRP_LexA	rutF//
CRP_Lrp	ybdN//ptsH//hipA//moaA//
CRP_Lrp_Mlc	rrlA//
CRP_Lrp_Nac	gatY//
CRP_LsrR	sodA//lsrG//serC//sucD//soxR//fimG//lacA//ulaG//rplP//
CRP_MalI	fecA//fucI//ynfH//
CRP_MalT	gspE//moaE//ascF//
CRP_MalT_PhoP	torA//
CRP_MelR	fepE//acrF//aroA//
CRP_MetJ	rrsA//
CRP_MhpR	pnp//rhaR//glpC//fau//aroA//ascF//
CRP_Mlc	ilvH//cyoC//
CRP_ModE	fimB//moaC//rrsH//
CRP_MurR	dppC//fhlA//
CRP_Nac_NsrR_PhoB	ugpE//
CRP_NadR	paaI//
CRP_NagC	rutG//tdcF//csgD//ccmF//rrfC//hyaE//
CRP_NagC_NanR	uidC//hipA//glnQ//
CRP_NagC_PhoP	oppC//
CRP_OxyR	nmpC//
CRP_OxyR_UxuR	bglB//
CRP_PhoB	astC//lacY//dadX//glnA//paaC//lsrF//
CRP_PhoP	nrfA//yefM//uxaA//
CRP_PutA	uxaB//
CRP_RbsR	ybdZ//puuD//ybjC//yiaJ//pyrC//hypA//
CRP_RhaR_RhaS	bglG//ssuD//
CRP_RhaS	garR//nrfF//fliI//
CRP_Rob	adiA//
CRP_TorR	rcsA//lsrK//soxS//
CRP_UhpA_UvrY	cysG//
CRP_UidR_UxuR	cyaR//torD//norR//
CRP_UvrY	yqjI//
CRP_YehT	sgrS//
CRP_ZraR	cadA//sufC//
CadC_FNR_H-NS_LeuO_MlrA	dppB//
Cbl_CysB	paaH//rrsC//cysG//melB//
Cbl_CysB_FNR_IHF	atoA//hycG//degP//cusR//fes//
CdaR_FNR_Fis_Fur_H-NS	poxB//
CdaR_FNR_Fur_H-NS	sufC//codA//ccmD//nirD//
CpxR_CsgD_FliZ	fucO//entE//ldtB//
CpxR_CysB	murF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	fepE//
CpxR_GadE	yjbG//rpmC//sufE//ygiB//
CpxR_H-NS	uidC//
CpxR_NsrR	hyaE//
CpxR_RcsB	sodA//
CpxR_TyrR	nuoL//
Cra_FNR_Fis_Lrp_NarL	mdtF//
Cra_FNR_Fur_MarA_Rob_SoxS	gspH//
Cra_FhlA_FlhDC	mlc//
Cra_GntR_KdgR	gntK//
Cra_GntR_KdgR_PhoB	csgC//
Cra_MarA_SoxS	hybC//
Cra_PdeL	cirA//
Cra_SgrR	astD//dps//yciG//
Cra_TyrR	lysA//
CreB_NagC	tyrP//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	fiu//
CsgD_FlhDC	ompR//fbaA//hyfD//uxaB//fumA//fecA//tcyJ//evgA//malG//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	glnH//yrbL//
CspA_Fis_GadX_H-NS	fucU//
CueR_FNR_ModE	fumC//rrfG//araB//hybC//mlc//
CusR_PhoB_YedW	dinJ//nrfG//acnA//uxaA//gspL//nanE//agaW//
CysB_H-NS	treB//osmY//pdeR//gadA//caiF//
CysB_HypT_IHF	tdcD//
CysB_IHF	fimG//nanA//
CysB_NtrC	caiF//
CysB_PhoP	ileU//
DcuR_FNR_NarL	pspC//csgD//atoA//hcp//
DinJ-YafQ_LexA	actP//galT//
DpiA_H-NS	osmE//
DsdC_NsrR	rrsH//
EvgA_FNR	gspH//rrsA//
EvgA_H-NS	pqiB//glnP//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	ileV//
EvgA_H-NS_PhoP_RcsB_YdeO	paaF//
EvgA_PhoP_RcsB_YdeO	fiu//
ExuR_UxuR	waaY//slp//
FNR_FhlA_IHF_NsrR	nuoN//ccmF//yiaO//pnp//prpD//
FNR_FhlA_NarL_NarP	agaV//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	tdcA//yjjQ//oppF//hycG//paaE//pyrD//ydeN//
FNR_Fis_IHF_ModE_NarL	gltT//nrfE//rrlH//
FNR_Fis_IHF_NarL	srlA//
FNR_Fis_IHF_NarL_RstA	glcG//hycG//rplM//nagC//
FNR_FlhDC	cyoD//
FNR_FlhDC_IscR_ModE_NarL_NarP	modB//marA//hcp//nfuA//galE//dnaN//fecE//
FNR_FlhDC_ModE_NarL_NarP	dpiA//narJ//glcE//xylH//dinJ//yfaE//aspC//gabT//
FNR_Fur	xylG//rseB//
FNR_Fur_GadE	galT//
FNR_Fur_GadX_NtrC	nuoJ//zwf//
FNR_Fur_H-NS	aceK//glpF//tdcB//sufA//
FNR_Fur_MetR_NsrR	fucO//
FNR_Fur_Nac_NtrC	fumC//
FNR_Fur_NagC	hns//prpR//fhlA//
FNR_Fur_OxyR	fixA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	yjiY//
FNR_H-NS	ydhT//rnpB//
FNR_H-NS_NrdR	appY//yhcH//
FNR_IHF	chiP//mtr//astC//modB//hycB//
FNR_IHF_Lrp_YeiL	lpxD//
FNR_IHF_NarL_NarP_NorR	ndh//atoB//
FNR_IHF_PhoB	tdcF//gyrA//metL//rutD//flgN//
FNR_MalT	fur//relB//
FNR_ModE	agaV//fliE//
FNR_NarL	lamB//ptsG//mglA//dcuA//ycdZ//emrY//
FNR_NarL_NarP	uidC//fiu//hyfH//acrD//metK//carB//murG//dctR//envZ//
FNR_NarL_NarP_NsrR	gltB//
FNR_NarL_NarP_NsrR_OxyR	ynfH//ssb//
FNR_NarL_NikR	casB//puuP//nrdD//nrdF//prpC//puuC//
FNR_NsrR	moaC//galS//cyoE//
FNR_OxyR	tdcC//
FNR_PurR	glnH//dctR//
FNR_YqjI	cyoB//
FabR_FadR	uxaB//bamE//
FadR_IHF	hemA//
FadR_IclR	mntH//
FhlA_FlhDC	emrY//
FhlA_IHF_ModE_NsrR	oppF//fadB//fixA//acs//fucO//narK//pdhR//gadF//chbB//
FhlA_IHF_NsrR	ftnA//
Fis_Fur	gapA//
Fis_H-NS	metB//
Fis_H-NS_IHF_MntR_OxyR	bhsA//
Fis_H-NS_Lrp	aer//deoB//treB//ydhW//pncB//moeA//leuO//oppF//tsx//ftsA//gltD//ulaB//xylG//cyoC//rpsO//gadW//gltV//hpt//cdd//mtlA//ftnA//ilvA//treB//pstA//
Fis_H-NS_Lrp_StpA	actP//tpx//
Fis_IHF	hypE//
Fis_IHF_NtrC	puuA//fecB//
Fis_IHF_OmpR_RcsB	rbsR//
Fis_Lrp	rplC//sufA//lgoR//ihfA//rcnA//nikC//mraY//hupA//cydB//
Fis_MazE_MazE-MazF	tnaA//
Fis_NarL	glcG//
Fis_NarL_NarP_NsrR	aceE//appX//
Fis_PurR	yiaM//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	metL//metH//araG//
FliZ_RutR	exuT//
Fur_H-NS	ydeP//rhaA//nupC//nikA//yiaK//melB//puuB//fixA//idnT//xylG//sgbH//ydeO//glpK//
Fur_IHF_IscR_NsrR_OxyR	gntK//gltU//degP//ccmA//mglA//nuoN//
Fur_IscR_NrdR	uxuB//garL//uspA//glgP//
Fur_MetR	puuD//
Fur_MntR	hyfF//
Fur_MntR_OxyR	fecC//
Fur_OxyR	acrE//
Fur_PurR	ydhT//ydeM//
Fur_RcnR	mglB//hycD//
Fur_RutR	fabB//
Fur_SoxS_Zur	hokD//
Fur_YqjI	ygeA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	acs//ftsA//
GadE-RcsB_H-NS	pyrC//
GadE-RcsB_PhoB	ulaA//
GadE-RcsB_Rob	fimG//
GadE_GadX_H-NS_PhoP_RcsB	cusR//
GadE_H-NS_Lrp_NsrR	idnT//
GadE_H-NS_MatA	hypC//
GadE_H-NS_RcsAB	hyfI//
GadE_MarA_PurR	hybD//
GadW_GadX_RcsB	nrfD//
GalR_GalS	fadA//
GlrR_IHF	lysA//
H-NS_IHF	ddlB//tnaB//aldA//
H-NS_IHF_Lrp	gntP//feaR//hdeB//glpX//mglA//dppA//rpoH//
H-NS_LeuO	proV//casD//
H-NS_LeuO_RcsB-BglJ_StpA	sroD//
H-NS_LrhA_Lrp	hdeB//
H-NS_Lrp	yhjA//fucU//
H-NS_Lrp_NhaR_RcsB	aidB//
H-NS_Lrp_StpA	gyrA//
H-NS_McbR	hyaF//ygbA//rhaT//
H-NS_NhaR	lsrA//ynfK//
H-NS_OmpR	fadJ//
H-NS_PhoB_RcdA_RstA	gatC//
HU_IHF_TrpR_TyrR	appC//
HU_IHF_TyrR	ccmC//
HigA_HigB-HigA	higB//agaW//
HipAB_HipB_IHF	fecD//uxaC//
HypT_MetJ	aceF//dctA//narJ//
HypT_MetJ_PhoP	dmsA//metN//
IHF_Lrp	murE//nuoI//nusA//relB//nuoJ//mglC//hycI//evgA//
IHF_NsrR	hybC//
IHF_NtrC	glnP//proP//
IHF_PhoP	malK//
IHF_PspF	rimP//nfsA//bglG//fucP//yiaN//manY//
IHF_RcsAB	nagC//gatY//glnK//hycA//
IHF_RtcR	pdeR//casB//
IHF_TyrR	ydhX//
IHF_UlaR	entB//
LexA_MraZ_PdhR	proX//nrfE//sdhB//lamB//rrfF//lsrG//rplC//cyaR//treB//ulaD//aceK//
LexA_MraZ_PdhR_RcsB_SdiA	cbl//marA//
LexA_MraZ_PdhR_SdiA	nmpC//
LexA_NagC	rutD//
LexA_RcdA	nemA//
LexA_RcsB-BglJ	glpK//
MarA_OxyR_Rob_SoxS	acrF//sucA//rpoS//fepB//
MarA_PhoP_Rob_SoxS	ebgC//puuP//nuoE//yiaJ//
MarA_Rob_SoxS	flhC//araD//aslB//garL//rpsS//
MarA_SoxS	cas1//fliE//fis//citC//rpsC//
MetJ_MetR	ynfF//pdeR//
MetJ_OxyR	csiD//hypB//
MetR_PurR	hns//
MraZ_PdhR	trg//safA//
Nac_PurR	casB//osmC//
NarL_TorR	bglF//paaG//hypA//
NemR_RutR	deoD//yeaR//napG//
NhaR_OmpR	purA//pqiB//citE//dppF//
NorR_NsrR	flgN//
NsrR_PhoB	csiD//
OxyR_SoxS	napF//
PdhR_PhoP	fliZ//
PgrR_TyrR	pyrD//
PhoB_PhoP	cspD//
PhoP_PurR_RbsR	paaK//garP//
RelB_RelB-RelE	pncB//lsrA//acs//
TrpR_TyrR	lysP//rutE//frdD//
YefM_YefM-YoeB	aldA//rutG//
