#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	mhpD//osmY//
ArcA_CRP_DcuR_DpiA_FNR_NarL	metQ//nrdE//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	sgrS//
ArcA_CRP_DnaA_FNR	narX//
ArcA_CRP_DpiA_FNR_NarL	paaJ//ccmF//cadC//sdhA//nuoH//puuP//
ArcA_CRP_DpiA_FlhDC	fdnI//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	paaA//gadE//
ArcA_CRP_FNR	pdhR//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yecR//nupC//mtlA//
ArcA_CRP_FNR_Fis_Fur_PdhR	tsx//
ArcA_CRP_FNR_Fis_IHF_NarL	rrlG//
ArcA_CRP_FNR_Fur	pyrD//bglJ//rpsJ//yoaG//
ArcA_CRP_FNR_Fur_IHF	ubiA//molR_1//dmsA//kbaZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fucU//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	pnp//
ArcA_CRP_FNR_IHF_NarL	dppB//
ArcA_CRP_FNR_NarL	yiaO//
ArcA_CRP_FadR	yiaM//gadB//
ArcA_CRP_FadR_HipB	glpX//
ArcA_CRP_FadR_OmpR_PhoP	chbF//
ArcA_CRP_Fis_Mlc_SoxS	modC//
ArcA_CRP_Fis_XylR	casB//
ArcA_CRP_Fur_GadX_MqsA	sgbU//
ArcA_CRP_GatR	ygiB//sufD//tauA//exuT//cysP//hyaB//
ArcA_CRP_GlpR	ybfN//
ArcA_CRP_IHF	putP//
ArcA_CRP_PuuR	agaA//nagC//dcuA//exuR//idnT//
ArcA_CRP_RhaS	gntX//
ArcA_CRP_TreR	modB//sodA//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gltA//malQ//
ArcA_Cra	rhaS//
ArcA_Cra_FNR_H-NS_HypT	dnaA//mnmG//
ArcA_CysB_FNR	dadX//
ArcA_FNR	rcnA//csgC//nhaA//hdeD//sufA//flgM//glgA//lldD//adiC//uspA//aspA//dcuR//hypF//oxyR//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	dnaN//
ArcA_FNR_Fis_IHF_NarL	chbC//acrE//dppF//mnmG//sdhA//nagA//entC//xylG//pstA//micF//dppD//rutF//rimP//
ArcA_FNR_Fur_IHF	rbsR//
ArcA_FNR_IHF	entE//fecA//aroA//
ArcA_FNR_IHF_NarL	grcA//dsdC//
ArcA_FNR_NarL	gatB//ompC//garK//lsrB//
ArcA_FNR_PhoP	folA//
ArcA_FNR_PuuR	ccmA//hdeD//
ArcA_FadR	fhlA//fdnH//lpxD//
ArcA_FadR_Fis	xylR//cyoB//
ArcA_Fur_Lrp_ModE	agaA//chiP//csiE//dcuA//mhpF//
ArcA_GlcC_IHF_PdhR	hdeD//ybdZ//tdcA//hokD//iclR//metY//
ArcA_LexA	sufB//gloA//
ArcA_LldR	dcuS//nanA//napC//
ArcA_NarL	gadY//fhuF//rbsD//exuT//pspE//rrsH//hisJ//dsdX//
ArcA_NtrC_PhoP_RutR	narH//moeB//glnH//murP//moaA//mraZ//ilvA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gabT//murF//baeS//
ArgP_CRP_FNR_Fur_Nac	tyrP//
ArgP_DnaA	hyfJ//rrfF//sufB//
ArgP_Lrp	rpoS//waaH//
ArgP_LysR	malS//
ArgP_PhoB	galM//
ArgR_CRP	sgbH//
ArgR_CRP_Fis	treB//rrsH//molR_1//waaZ//nrdH//glcF//araD//dusB//
ArgR_Fis_IHF_PepA_PurR_RutR	mdtC//ldtB//
ArgR_H-NS_NtrC	rbsB//dpiB//rrlC//higB//
ArgR_NtrC	nikA//asnC//hyfB//glcF//paaE//
ArgR_PhoP	degP//
AscG_CRP	ygiA//glpF//hpt//
AscG_CRP_PhoB_PrpR	dcuS//
AsnC_MraZ_Nac	infB//
AsnC_Nac	hyfJ//glpX//
AtoC_IHF	ccmH//aldA//pck//atoD//
BaeR_CpxR	argG//yeiL//rpoE//ssuE//metE//astB//ftsL//
BaeR_CpxR_EvgA	hcp//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	codA//serC//fdnH//pspA//
BasR_CpxR_PdhR	sodA//cbl//
BasR_Fis	nrdD//
BasR_H-NS_IHF_NagC_NanR	gloA//
BasR_MarA_PutA	yeiL//
BasR_PhoP	purA//
BasR_QseB	acnA//narJ//
CRP_CaiF_FNR	dctR//ahpF//nanM//srlB//
CRP_ChbR_NagC	ugpB//betT//ulaF//ndh//aldB//waaY//
CRP_ComR	rhaR//
CRP_CpxR	hypB//
CRP_CpxR_CytR	lldD//
CRP_CpxR_CytR_DnaA_IHF	leuO//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	gltV//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	waaZ//rrfD//rrfF//paaC//
CRP_Cra	gatC//pck//acrB//narL//mpl//nuoE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hha//lyxK//rutA//yjcH//
CRP_Cra_FNR_PdhR	mdtE//
CRP_Cra_Fis	moaB//
CRP_Cra_Fis_GlcC	pgaB//
CRP_Cra_Fis_MtlR	osmC//uxuA//hycI//
CRP_Cra_Mlc_NagC	paaF//cadA//sra//epd//fixA//sufC//
CRP_Cra_PrpR	lpxD//carA//rrsB//tsx//
CRP_CreB_Fis_MalT	molR_1//gspF//dmsC//
CRP_CsiR_H-NS_Lrp	astD//argO//
CRP_CsiR_H-NS_Lrp_Nac	higB//cyoE//exuT//
CRP_CspA_Fis	ydhU//
CRP_CytR	citE//tauC//gspI//
CRP_CytR_DeoR	garL//uxuA//
CRP_CytR_DeoR_Fis_ModE	cydA//uidA//gspO//fadE//
CRP_CytR_Nac	fis//
CRP_CytR_NsrR	tam//
CRP_DcuR_FNR_NarL	tauC//
CRP_DinJ-YafQ	prfA//
CRP_DnaA_Fis_PurR	pck//proV//
CRP_DpiA_ExuR	lsrA//
CRP_DsdC	ompW//malG//
CRP_EbgR	higB//betA//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	pqiB//sgrT//
CRP_ExuR	fliA//
CRP_ExuR_FNR	nikR//lyxK//
CRP_ExuR_OxyR_UxuR	cdd//sufC//
CRP_ExuR_UxuR	cas1//
CRP_FNR	ccmC//
CRP_FNR_FhlA_HyfR	glnQ//melA//gatD//fabZ//hycD//uxuA//yiaM//araF//casA//aceK//hyfJ//fumA//
CRP_FNR_Fis	hdeA//ilvI//gspM//
CRP_FNR_Fis_GlpR_IHF	napG//mazG//
CRP_FNR_Fis_H-NS_SlyA	rhaS//
CRP_FNR_GcvA_Lrp_PurR	galT//mpl//cydB//
CRP_FNR_H-NS_NarL	malP//
CRP_FNR_IHF_TdcA_TdcR	caiT//manZ//phoQ//ulaB//waaH//gadA//rplD//
CRP_FNR_NarL	prpD//dppF//osmE//
CRP_FeaR_NsrR	chbC//
CRP_Fis	tpx//rpoE//fimD//ulaF//uvrA//
CRP_Fis_FlhDC_GalR_GalS	pgk//dppC//
CRP_Fis_FliZ_IHF_Lrp	rimP//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	rrfC//accC//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	uidC//ygeA//glnA//
CRP_Fis_IHF	cydA//lsrK//guaA//epd//gadF//
CRP_Fis_NanR	nuoI//rbsD//murE//csrC//accB//
CRP_Fis_NtrC	hyfG//yefM//xylA//
CRP_Fis_XylR	fucU//marA//aceA//
CRP_FlhDC_GalR_GalS	fepA//
CRP_FucR	ygiC//mtlA//rrlD//ygeA//glcB//qseC//lpxC//
CRP_Fur	rhaS//hemA//glpK//fau//rbsK//puuC//pgaC//ansB//tsx//
CRP_Fur_HypT_PdhR	nuoM//cadA//hisJ//fucO//ftsZ//
CRP_Fur_OxyR_SoxS	malT//
CRP_GalR_GalS	ydhX//
CRP_GalR_GalS_H-NS_HU	ccmA//hyfB//gatC//paaG//
CRP_GalR_GalS_NagC	treC//
CRP_GlpR	bglG//exuR//proX//
CRP_GntR	rpsC//pstB//
CRP_GntR_IdnR	dsdX//gabT//nikC//fumC//yjbH//ynfG//mhpB//
CRP_GntR_IscR	lldR//
CRP_GutM_GutR_H-NS	rrfF//gatZ//xylR//argO//aceB//appX//astA//
CRP_H-NS	asr//
CRP_H-NS_HipAB_HipB_NtrC	rsmH//
CRP_H-NS_LacI	nrdF//fucU//nrdB//
CRP_H-NS_LeuO	gspK//xylF//aroP//ulaE//mntP//nuoL//pdeR//
CRP_H-NS_MqsA	fucR//
CRP_IHF	metE//nanM//caiA//pheM//
CRP_IHF_MprA_OmpR	rcnA//
CRP_IHF_NsrR	hyfG//
CRP_IHF_PaaX	rrlE//rpsQ//pflB//sdhA//rutF//gspJ//rnpB//cysG//prpR//bglF//norW//dppA//
CRP_IHF_UlaR	ybdZ//ompR//ilvI//ygiB//ftsI//csiD//
CRP_IHF_YiaJ	lldR//uxaB//cyoA//ydeN//nac//modA//moaA//csrC//narK//uxaC//
CRP_LexA	cbl//
CRP_Lrp	grcA//hybD//hisJ//rutD//
CRP_Lrp_Mlc	mtlD//
CRP_Lrp_Nac	asr//
CRP_LsrR	fixX//ftsQ//gadA//dppA//nrdI//ulaG//paaI//nrdI//hha//
CRP_MalI	cspD//glmY//adiC//
CRP_MalT	relE//codB//chbF//
CRP_MalT_PhoP	malG//
CRP_MelR	citC//tnaB//fadA//
CRP_MetJ	gntP//
CRP_MhpR	appB//lgoR//mhpD//sdhB//hybG//osmC//
CRP_Mlc	puuC//tomB//
CRP_ModE	phoQ//nusA//murP//
CRP_MurR	puuD//mtlA//
CRP_Nac_NsrR_PhoB	hyfE//
CRP_NadR	fliE//
CRP_NagC	uhpT//gltA//fadB//paaC//nuoG//galE//
CRP_NagC_NanR	ssuC//appA//fecC//
CRP_NagC_PhoP	entF//
CRP_OxyR	modB//
CRP_OxyR_UxuR	casD//
CRP_PhoB	pspA//appY//argO//purN//aroA//lacZ//
CRP_PhoP	hisQ//mazE//yjjQ//
CRP_PutA	gadA//
CRP_RbsR	mdtE//dnaN//rutE//rpoE//nuoC//dmsC//
CRP_RhaR_RhaS	chbF//srlB//
CRP_RhaS	fhuF//ssuB//atoB//
CRP_Rob	ldtB//
CRP_TorR	rpsO//chbB//ygiA//
CRP_UhpA_UvrY	casE//
CRP_UidR_UxuR	glyA//mdtE//gatA//
CRP_UvrY	fadE//
CRP_YehT	gdhA//
CRP_ZraR	nikB//rimP//
CadC_FNR_H-NS_LeuO_MlrA	argD//
Cbl_CysB	ddlB//csgG//zraS//nac//
Cbl_CysB_FNR_IHF	exuR//nac//caiE//hipA//napD//
CdaR_FNR_Fis_Fur_H-NS	folA//
CdaR_FNR_Fur_H-NS	nanC//rutF//garR//xylF//
CpxR_CsgD_FliZ	rcnB//fhuF//acrD//
CpxR_CysB	casC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	alaV//
CpxR_GadE	relB//nrdD//cusR//acrE//
CpxR_H-NS	fabB//
CpxR_NsrR	cyoB//
CpxR_RcsB	rrlH//
CpxR_TyrR	ygiC//
Cra_FNR_Fis_Lrp_NarL	metB//
Cra_FNR_Fur_MarA_Rob_SoxS	nrdB//
Cra_FhlA_FlhDC	glcF//
Cra_GntR_KdgR	hemL//
Cra_GntR_KdgR_PhoB	metQ//
Cra_MarA_SoxS	chbG//
Cra_PdeL	torD//
Cra_SgrR	thrV//fliZ//marA//
Cra_TyrR	yjbE//
CreB_NagC	gyrA//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hupB//
CsgD_FlhDC	mhpB//carA//araB//dcuD//deoD//katE//sufC//mhpD//mtlR//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ydhX//uxaB//
CspA_Fis_GadX_H-NS	lldP//
CueR_FNR_ModE	grcA//fimG//araG//fliK//rplB//
CusR_PhoB_YedW	gspC//caiC//entB//hpt//narH//hypF//cysJ//
CysB_H-NS	tauB//gloA//rimK//mdtD//idnR//
CysB_HypT_IHF	nfsA//
CysB_IHF	nemA//sgbE//
CysB_NtrC	soxR//
CysB_PhoP	rseA//
DcuR_FNR_NarL	aidB//rimK//hypF//yciE//
DinJ-YafQ_LexA	rhaR//mdtC//
DpiA_H-NS	hybA//
DsdC_NsrR	yjjQ//
EvgA_FNR	glcD//ynfH//
EvgA_H-NS	cysA//ilvA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	rutA//
EvgA_H-NS_PhoP_RcsB_YdeO	cysU//
EvgA_PhoP_RcsB_YdeO	hokD//
ExuR_UxuR	murD//pheM//
FNR_FhlA_IHF_NsrR	torC//purN//ygiB//galP//xylG//
FNR_FhlA_NarL_NarP	mhpF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fimF//gdhA//gadA//fimD//ilvM//sgbE//xylH//
FNR_Fis_IHF_ModE_NarL	cspD//mioC//fliJ//
FNR_Fis_IHF_NarL	hupB//
FNR_Fis_IHF_NarL_RstA	argP//ihfA//gnd//prfA//
FNR_FlhDC	rhaA//
FNR_FlhDC_IscR_ModE_NarL_NarP	paaE//cspI//gutQ//lldD//acrZ//mhpD//dppD//
FNR_FlhDC_ModE_NarL_NarP	gadY//hlyE//purA//chbF//fadE//treC//dcuS//ilvH//
FNR_Fur	rutB//oxyR//
FNR_Fur_GadE	rimK//
FNR_Fur_GadX_NtrC	feoC//guaB//
FNR_Fur_H-NS	yqjI//phoU//paaI//chbC//
FNR_Fur_MetR_NsrR	hyfR//
FNR_Fur_Nac_NtrC	ugpC//
FNR_Fur_NagC	galP//putA//hdeB//
FNR_Fur_OxyR	frdD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	phoU//
FNR_H-NS	hyfJ//oppD//
FNR_H-NS_NrdR	cas2//pflB//
FNR_IHF	fabZ//fiu//cyoE//ydeP//rrsG//
FNR_IHF_Lrp_YeiL	glgA//
FNR_IHF_NarL_NarP_NorR	metN//ssrS//
FNR_IHF_PhoB	cysI//cysH//murQ//idnK//iraM//
FNR_MalT	gatD//gspD//
FNR_ModE	caiD//pqiA//
FNR_NarL	ulaC//flgN//fadB//rpoS//dcuA//malK//
FNR_NarL_NarP	aidB//fucR//oxyR//hybC//nikD//bamE//aroL//casA//rnpB//
FNR_NarL_NarP_NsrR	metY//
FNR_NarL_NarP_NsrR_OxyR	tyrR//ulaA//
FNR_NarL_NikR	nikA//glcD//hcp//exuT//tnaA//hyaA//
FNR_NsrR	hupB//bolA//srlB//
FNR_OxyR	narI//
FNR_PurR	ulaB//hypE//
FNR_YqjI	ftsW//
FabR_FadR	casA//ynfG//
FadR_IHF	tcyJ//
FadR_IclR	puuD//
FhlA_FlhDC	nfo//
FhlA_IHF_ModE_NsrR	appY//yecR//prfA//ybdN//acs//gcvH//rimK//gcvH//rplC//
FhlA_IHF_NsrR	glpD//
Fis_Fur	glpC//
Fis_H-NS	fixC//
Fis_H-NS_IHF_MntR_OxyR	csgB//
Fis_H-NS_Lrp	hdeA//norV//cspI//malE//fbaA//yiaN//rhaD//ddlB//sucA//uhpT//lacZ//cysH//rutC//entD//chbC//zinT//oppD//fliJ//hyfG//fadI//fliI//rbsK//dadA//nemA//
Fis_H-NS_Lrp_StpA	codA//glnK//
Fis_IHF	cysW//
Fis_IHF_NtrC	manY//hcr//
Fis_IHF_OmpR_RcsB	dinJ//
Fis_Lrp	astB//nupG//csgD//cbl//gadC//napF//marR//hypC//mpl//
Fis_MazE_MazE-MazF	puuB//
Fis_NarL	tnaC//
Fis_NarL_NarP_NsrR	rplV//hycB//
Fis_PurR	cadA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	gatA//sbmC//fliA//
FliZ_RutR	tdcA//
Fur_H-NS	dppD//manY//fliK//fliJ//bglB//mhpC//tnaC//putP//tnaA//ulaF//appX//guaB//oppA//
Fur_IHF_IscR_NsrR_OxyR	feoA//uvrA//sufE//sucD//lhgO//mpl//
Fur_IscR_NrdR	rpsS//rrlA//glnQ//entD//
Fur_MetR	iclR//
Fur_MntR	fimA//
Fur_MntR_OxyR	hypF//
Fur_OxyR	nemR//
Fur_PurR	dnaA//slp//
Fur_RcnR	araB//appA//
Fur_RutR	pqiA//
Fur_SoxS_Zur	nhaR//
Fur_YqjI	sdhC//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	frdA//purA//
GadE-RcsB_H-NS	rpsQ//
GadE-RcsB_PhoB	moaC//
GadE-RcsB_Rob	udp//
GadE_GadX_H-NS_PhoP_RcsB	glpA//
GadE_H-NS_Lrp_NsrR	gspD//
GadE_H-NS_MatA	entB//
GadE_H-NS_RcsAB	flgM//
GadE_MarA_PurR	srlB//
GadW_GadX_RcsB	fiu//
GalR_GalS	sucC//
GlrR_IHF	ccmH//
H-NS_IHF	rrfH//ulaF//glcA//
H-NS_IHF_Lrp	acrE//norR//rrfC//baeS//dadA//nikD//tomB//
H-NS_LeuO	gatB//narK//
H-NS_LeuO_RcsB-BglJ_StpA	sucB//
H-NS_LrhA_Lrp	gspE//
H-NS_Lrp	nuoE//mazE//
H-NS_Lrp_NhaR_RcsB	lldP//
H-NS_Lrp_StpA	narJ//
H-NS_McbR	csgE//iraM//molR_1//
H-NS_NhaR	rrsA//ugpQ//
H-NS_OmpR	setA//
H-NS_PhoB_RcdA_RstA	nfo//
HU_IHF_TrpR_TyrR	tdcC//
HU_IHF_TyrR	glpB//
HigA_HigB-HigA	fucU//oppD//
HipAB_HipB_IHF	pyrC//acrD//
HypT_MetJ	napC//glnA//rutB//
HypT_MetJ_PhoP	dgcZ//katG//
IHF_Lrp	mhpB//fadD//gabT//ilvD//tyrR//flhD//xylB//nirB//
IHF_NsrR	garK//
IHF_NtrC	manX//metK//
IHF_PhoP	fau//
IHF_PspF	nusA//caiB//murG//fdnG//gltF//malP//
IHF_RcsAB	dpiB//rpoH//nuoC//galP//
IHF_RtcR	fecB//sulA//
IHF_TyrR	appC//
IHF_UlaR	yedX//
LexA_MraZ_PdhR	ptsH//rutD//ilvG_2//dppD//napB//betT//nuoF//rutD//nusA//tsx//ytfE//
LexA_MraZ_PdhR_RcsB_SdiA	argG//csgA//
LexA_MraZ_PdhR_SdiA	rbsA//
LexA_NagC	hycA//
LexA_RcdA	gnd//
LexA_RcsB-BglJ	glcC//
MarA_OxyR_Rob_SoxS	fau//casD//treB//aldB//
MarA_PhoP_Rob_SoxS	hycH//csgB//argG//lsrK//
MarA_Rob_SoxS	rhaR//aceF//mazG//fliE//hyaB//
MarA_SoxS	lldD//soxR//rsmH//narG//cysB//
MetJ_MetR	katG//glnG//
MetJ_OxyR	napH//nusA//
MetR_PurR	fimA//
MraZ_PdhR	srlB//proP//
Nac_PurR	rrsC//ftnA//
NarL_TorR	nrfB//fliK//ybfN//
NemR_RutR	soxR//mtlD//metK//
NhaR_OmpR	gspL//fucI//galK//pspE//
NorR_NsrR	mhpB//
NsrR_PhoB	fadD//
OxyR_SoxS	hycI//
PdhR_PhoP	yhiM//
PgrR_TyrR	agaV//
PhoB_PhoP	ddlB//
PhoP_PurR_RbsR	mhpE//araC//
RelB_RelB-RelE	norR//hisQ//moaE//
TrpR_TyrR	feoB//tdcB//rpsQ//
YefM_YefM-YoeB	hybF//garR//
