#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	srlD//hha//
CRP_Fis_NtrC	nanC//rutG//malT//
CRP_Fis_XylR	mntP//yaiA//cydC//
CRP_FlhDC_GalR_GalS	fliK//
CRP_FucR	garP//mntH//puuD//baeR//chbF//zraR//deoB//
CRP_Fur	gatA//qseC//cspD//crr//dctR//modB//relE//appX//ydhT//
CRP_Fur_HypT_PdhR	malM//gadX//hyaF//pyrC//soxR//
CRP_Fur_OxyR_SoxS	hydN//
CRP_GalR_GalS	glcG//
CRP_GalR_GalS_H-NS_HU	ccmD//ackA//glnL//aceF//
CRP_GalR_GalS_NagC	fliK//
CRP_GlpR	rbsA//pgaD//metK//
CRP_GntR	sulA//stpA//
CRP_GntR_IdnR	hemA//hybC//narJ//tolC//rutA//rhaT//csrC//
CRP_GntR_IscR	ccmH//
CRP_GutM_GutR_H-NS	gltT//csiE//hyfG//emrY//yafQ//aceB//nrfC//
CRP_H-NS	chbC//
CRP_H-NS_HipAB_HipB_NtrC	cspE//
CRP_H-NS_LacI	entC//paaH//nuoI//
CRP_H-NS_LeuO	cusR//hycH//glcC//yjbE//rplT//glgP//purN//
CRP_H-NS_MqsA	guaB//
CRP_IHF	hyfI//ydeM//yciG//rpsQ//
CRP_IHF_MprA_OmpR	feoB//
CRP_IHF_NsrR	rhaS//
CRP_IHF_PaaX	yiaO//ftsZ//murE//metL//gspE//yhiD//aceA//rrfG//gspE//nemR//rseB//pspC//
CRP_IHF_UlaR	xylB//psiE//rpsC//xylR//hycI//casE//
CRP_IHF_YiaJ	proV//purH//pspC//pgaA//asnC//malQ//yfaE//sgrT//cysU//soxR//
CRP_LexA	hyaC//
CRP_Lrp	malS//dcuA//appY//hipB//
CRP_Lrp_Mlc	ccmA//
CRP_Lrp_Nac	pyrD//
CRP_LsrR	nuoI//puuP//metI//dgcZ//grcA//hyaE//acrB//nikR//ygiC//
CRP_MalI	ascB//csgB//appA//
CRP_MalT	ssuD//rsmH//glcD//
CRP_MalT_PhoP	gspK//
CRP_MelR	hisQ//atoD//prpR//
CRP_MetJ	ftnA//
CRP_MhpR	hybO//rrsD//ulaC//gloA//nrdG//gltV//
CRP_Mlc	mdtA//paaE//
CRP_ModE	paaH//ulaD//ybjN//
CRP_MurR	nanT//fliJ//
CRP_Nac_NsrR_PhoB	gyrA//
CRP_NadR	rrfD//
CRP_NagC	chbR//gspM//hyfR//trg//purN//codA//
CRP_NagC_NanR	uxaC//atoE//ptsI//
CRP_NagC_PhoP	gspJ//
CRP_OxyR	fabA//
CRP_OxyR_UxuR	frdC//
CRP_PhoB	fliZ//hokD//qseC//rrlA//nirB//napF//
CRP_PhoP	yjbG//yefM//ccmA//
CRP_PutA	metB//
CRP_RbsR	hyaE//aspA//adiA//hycI//fliG//gspI//
CRP_RhaR_RhaS	rtcA//narK//
CRP_RhaS	tpx//oppA//sodA//
CRP_Rob	napD//
CRP_TorR	caiE//nikC//nuoC//
CRP_UhpA_UvrY	fnr//
CRP_UidR_UxuR	gspL//rrlB//rrsA//
CRP_UvrY	dpiA//
CRP_YehT	cas1//
CRP_ZraR	rhaB//aroL//
CadC_FNR_H-NS_LeuO_MlrA	nuoF//
Cbl_CysB	rrfD//xylR//rtcB//tdcC//
Cbl_CysB_FNR_IHF	sufD//katE//ugpB//malT//nikR//
CdaR_FNR_Fis_Fur_H-NS	prpD//
CdaR_FNR_Fur_H-NS	puuE//casC//guaA//dppB//
CpxR_CsgD_FliZ	hyfC//gntK//skp//
CpxR_CysB	adiA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	acrA//
CpxR_GadE	frdC//osmY//rutD//pqiA//
CpxR_H-NS	ccmA//
CpxR_NsrR	metQ//
CpxR_RcsB	ompF//
CpxR_TyrR	deoB//
Cra_FNR_Fis_Lrp_NarL	hyfC//
Cra_FNR_Fur_MarA_Rob_SoxS	fepA//
Cra_FhlA_FlhDC	srlA//
Cra_GntR_KdgR	fimI//
Cra_GntR_KdgR_PhoB	agaV//
Cra_MarA_SoxS	nrfC//
Cra_PdeL	lacY//
Cra_SgrR	pyrC//proV//rrfE//
Cra_TyrR	yhcH//
CreB_NagC	glpX//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	mglB//
CsgD_FlhDC	mhpE//malM//dcuC//ulaB//glcC//yjbE//tdcA//napA//gltF//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hyaB//focB//
CspA_Fis_GadX_H-NS	rrlG//
CueR_FNR_ModE	psiE//rpsS//hycH//hycF//moaE//
CusR_PhoB_YedW	nrfC//zraS//mhpF//ydeP//araE//gapA//rplT//
CysB_H-NS	fucK//gspM//acs//mglB//sgbU//
CysB_HypT_IHF	paaK//
CysB_IHF	rsmH//rhaB//
CysB_NtrC	hycI//
CysB_PhoP	argO//
DcuR_FNR_NarL	oppF//xylH//dcuC//cysU//
DinJ-YafQ_LexA	crp//ssuA//
DpiA_H-NS	katE//
DsdC_NsrR	yrbL//
EvgA_FNR	katE//nuoC//
EvgA_H-NS	tsx//lsrG//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	moeA//
EvgA_H-NS_PhoP_RcsB_YdeO	puuB//
EvgA_PhoP_RcsB_YdeO	araE//
ExuR_UxuR	cydB//hyfF//
FNR_FhlA_IHF_NsrR	nfsA//gspC//yciE//dppC//phoU//
FNR_FhlA_NarL_NarP	fes//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nuoK//zraS//ytfE//argP//hypA//dppD//garP//
FNR_Fis_IHF_ModE_NarL	fadA//nrfG//uhpT//
FNR_Fis_IHF_NarL	aceF//
FNR_Fis_IHF_NarL_RstA	cydB//paaD//mhpF//glcG//
FNR_FlhDC	rrlD//
FNR_FlhDC_IscR_ModE_NarL_NarP	puuA//ydhY//lsrC//yciG//nrfF//pncB//ansB//
FNR_FlhDC_ModE_NarL_NarP	sdhA//glnK//nikR//purA//cusF//glnG//rob//ynfE//
FNR_Fur	metL//purR//
FNR_Fur_GadE	cusA//
FNR_Fur_GadX_NtrC	sulA//alaU//
FNR_Fur_H-NS	paaB//pgaD//araA//yaiA//
FNR_Fur_MetR_NsrR	creD//
FNR_Fur_Nac_NtrC	fecD//
FNR_Fur_NagC	dadX//rplT//galT//
FNR_Fur_OxyR	gabD//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	fabB//
FNR_H-NS	rpmC//hyfD//
FNR_H-NS_NrdR	glnK//ygiC//
FNR_IHF	yiaO//nrfA//ulaF//casE//rrlA//
FNR_IHF_Lrp_YeiL	mraZ//
FNR_IHF_NarL_NarP_NorR	nagC//mraY//
FNR_IHF_PhoB	gspE//pdeR//yjbG//mtr//ydhY//
FNR_MalT	infB//ulaA//
FNR_ModE	leuO//ygiC//
FNR_NarL	aldB//gadX//csgC//argD//murC//pstC//
FNR_NarL_NarP	rbsK//glpK//gspF//amtB//manX//caiF//rrsB//bolA//ilvA//
FNR_NarL_NarP_NsrR	rhaB//
FNR_NarL_NarP_NsrR_OxyR	narG//nanK//
FNR_NarL_NikR	rcsA//hycG//fpr//gatD//norV//oppB//
FNR_NsrR	malT//galE//truB//
FNR_OxyR	yhiM//
FNR_PurR	hns//dppC//
FNR_YqjI	rrlA//
FabR_FadR	paaZ//osmY//
FadR_IHF	gloA//
FadR_IclR	hycC//
FhlA_FlhDC	yciG//
FhlA_IHF_ModE_NsrR	hcr//nhaR//fes//feaB//araC//melB//betB//evgS//pstB//
FhlA_IHF_NsrR	chbF//
Fis_Fur	malT//
Fis_H-NS	glyA//
Fis_H-NS_IHF_MntR_OxyR	murD//
Fis_H-NS_Lrp	ydhT//gspI//sufB//fnr//hyfR//malP//caiB//glcC//flgM//bamE//marR//aldB//ulaB//srlB//rcsA//fecD//glcA//deoB//ftsL//cadC//rpoH//glnQ//accB//flhD//
Fis_H-NS_Lrp_StpA	lldP//prpR//
Fis_IHF	tdcD//
Fis_IHF_NtrC	tnaB//rseC//
Fis_IHF_OmpR_RcsB	gspC//
Fis_Lrp	yjcH//tauA//fadL//caiT//rpsS//rrfF//proP//gadB//glgC//
Fis_MazE_MazE-MazF	srlR//
Fis_NarL	narG//
Fis_NarL_NarP_NsrR	micF//mglA//
Fis_PurR	fadE//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	flgN//sucA//sulA//
FliZ_RutR	pstA//
Fur_H-NS	csiD//malP//glgP//yjbE//waaZ//putP//zwf//fadI//feaB//ytfE//hyaF//appY//nusA//
Fur_IHF_IscR_NsrR_OxyR	glpQ//rrlB//hyfE//gadC//nrdH//rutD//
Fur_IscR_NrdR	ydhY//nmpC//gadB//nrfB//
Fur_MetR	glpX//
Fur_MntR	dadX//
Fur_MntR_OxyR	nuoB//
Fur_OxyR	lsrK//
Fur_PurR	ybdZ//cas2//
Fur_RcnR	napC//gspF//
Fur_RutR	fepB//
Fur_SoxS_Zur	dnaA//
Fur_YqjI	fumB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	zraS//ilvG_2//
GadE-RcsB_H-NS	ybjN//
GadE-RcsB_PhoB	casB//
GadE-RcsB_Rob	gcvH//
GadE_GadX_H-NS_PhoP_RcsB	hyfG//
GadE_H-NS_Lrp_NsrR	idnO//
GadE_H-NS_MatA	fimD//
GadE_H-NS_RcsAB	fdhF//
GadE_MarA_PurR	frdC//
GadW_GadX_RcsB	molR_1//
GalR_GalS	yiaO//
GlrR_IHF	zraS//
H-NS_IHF	guaB//envZ//aceF//
H-NS_IHF_Lrp	rpoS//chbF//modB//frdA//pck//ubiC//citD//
H-NS_LeuO	fhuF//cydB//
H-NS_LeuO_RcsB-BglJ_StpA	yiaO//
H-NS_LrhA_Lrp	chbR//
H-NS_Lrp	cusA//paaG//
H-NS_Lrp_NhaR_RcsB	epd//
H-NS_Lrp_StpA	paaK//
H-NS_McbR	oxyR//citE//cspD//
H-NS_NhaR	melB//udp//
H-NS_OmpR	gntT//
H-NS_PhoB_RcdA_RstA	paaC//
HU_IHF_TrpR_TyrR	fliI//
HU_IHF_TyrR	dsdA//
HigA_HigB-HigA	astE//dcuS//
HipAB_HipB_IHF	argD//zwf//
HypT_MetJ	sgrS//mhpF//lpd//
HypT_MetJ_PhoP	rhaD//dadA//
IHF_Lrp	yjcH//fnr//araA//ccmG//sufE//gcvP//sucD//tnaA//
IHF_NsrR	lysP//
IHF_NtrC	tauD//degP//
IHF_PhoP	rtcB//
IHF_PspF	sdhC//baeR//purR//hyfD//ldtB//cusF//
IHF_RcsAB	lrp//glnD//mdtF//araD//
IHF_RtcR	yiaK//hemL//
IHF_TyrR	fur//
IHF_UlaR	napB//
LexA_MraZ_PdhR	hisQ//hokD//argD//chbF//rcnB//yciG//cusA//focB//argO//ubiA//cadC//
LexA_MraZ_PdhR_RcsB_SdiA	deoD//tdcA//
LexA_MraZ_PdhR_SdiA	ygiC//
LexA_NagC	asr//
LexA_RcdA	hyaC//
LexA_RcsB-BglJ	aroP//
MarA_OxyR_Rob_SoxS	rutG//nuoE//hybO//rsmH//
MarA_PhoP_Rob_SoxS	xylH//hybG//pncB//glpD//
MarA_Rob_SoxS	hyfH//fimE//ssuA//citE//lamB//
MarA_SoxS	yecR//dcuC//eda//fadA//fucK//
MetJ_MetR	ydeM//gntP//
MetJ_OxyR	ccmC//caiB//
MetR_PurR	bglF//
MraZ_PdhR	paaJ//sucA//
Nac_PurR	uxaC//hypE//
NarL_TorR	rutA//dctA//uxuB//
NemR_RutR	lacY//bglB//srlB//
NhaR_OmpR	ssuB//ccmC//hyaA//rrfF//
NorR_NsrR	hybB//
NsrR_PhoB	aroP//
OxyR_SoxS	gltB//
PdhR_PhoP	deoD//
PgrR_TyrR	codA//
PhoB_PhoP	yedX//
PhoP_PurR_RbsR	nrfG//betI//
RelB_RelB-RelE	yeiL//fur//katE//
TrpR_TyrR	rseC//astE//nagE//
YefM_YefM-YoeB	gutQ//icd//
