#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	ilvX//malE//
ArgR_CRP_Fis	metY//norW//osmC//lpd//betI//xylR//gabD//araA//
ArgR_Fis_IHF_PepA_PurR_RutR	mtlD//fdnI//
ArgR_H-NS_NtrC	carB//ileT//sbmC//gspC//
ArgR_NtrC	yiaM//focA//carA//appY//acrF//
ArgR_PhoP	hypC//
AscG_CRP	mglA//fhuF//glgP//
AscG_CRP_PhoB_PrpR	ynfG//
AsnC_MraZ_Nac	csgD//
AsnC_Nac	ahpF//nusA//
AtoC_IHF	focB//sgbU//idnK//csgA//
BaeR_CpxR	murC//rcnA//ndh//mraY//chiP//lsrG//pgaD//
BaeR_CpxR_EvgA	araH//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	yjbE//dcuR//fucA//gspH//
BasR_CpxR_PdhR	hybE//tyrR//
BasR_Fis	fepE//
BasR_H-NS_IHF_NagC_NanR	dnaA//
BasR_MarA_PutA	rrsG//
BasR_PhoP	tdcD//
BasR_QseB	hycD//actP//
CRP_CaiF_FNR	dadX//manX//mazG//rplD//
CRP_ChbR_NagC	fimE//cdd//ygeA//mdtF//hyfB//mhpA//
CRP_ComR	paaB//
CRP_CpxR	aceK//
CRP_CpxR_CytR	nrdF//
CRP_CpxR_CytR_DnaA_IHF	mtlD//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aceK//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	guaA//prpB//gabT//hmp//
CRP_Cra	hybB//hycD//degP//ybjN//fimC//rrfE//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	yjbF//gatZ//ahpF//fdnH//
CRP_Cra_FNR_PdhR	rrsC//
CRP_Cra_Fis	oppA//
CRP_Cra_Fis_GlcC	dctR//
CRP_Cra_Fis_MtlR	rrfB//ahpC//lysA//
CRP_Cra_Mlc_NagC	ynfE//mdtC//cbl//gatC//frdA//fau//
CRP_Cra_PrpR	napH//hycE//nagE//fabZ//
CRP_CreB_Fis_MalT	gltW//chbG//fecE//
CRP_CsiR_H-NS_Lrp	dsdC//lsrB//
CRP_CsiR_H-NS_Lrp_Nac	guaB//proW//nanC//
CRP_CspA_Fis	gcvH//
CRP_CytR	galS//entF//dnaN//
CRP_CytR_DeoR	lamB//csgB//
CRP_CytR_DeoR_Fis_ModE	fixA//hupB//ydhV//ftsA//
CRP_CytR_Nac	glcF//
CRP_CytR_NsrR	cspD//
CRP_DcuR_FNR_NarL	cusS//
CRP_DinJ-YafQ	ubiC//
CRP_DnaA_Fis_PurR	bhsA//cysB//
CRP_DpiA_ExuR	cirA//
CRP_DsdC	yecR//idnK//
CRP_EbgR	hyaD//sdhB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	puuC//mazF//
CRP_ExuR	yrbL//
CRP_ExuR_FNR	hupB//hyaF//
CRP_ExuR_OxyR_UxuR	rutG//metE//
CRP_ExuR_UxuR	tnaA//
CRP_FNR	ptsG//
CRP_FNR_FhlA_HyfR	hycD//sucB//paaF//ulaD//appB//csgB//aroG//udp//dpiA//rnpB//casA//fixX//
CRP_FNR_Fis	tdcA//ybdZ//ytfE//
CRP_FNR_Fis_GlpR_IHF	glnP//proP//
CRP_FNR_Fis_H-NS_SlyA	gspK//
CRP_FNR_GcvA_Lrp_PurR	uxaA//fhuF//fepB//
CRP_FNR_H-NS_NarL	hybD//
CRP_FNR_IHF_TdcA_TdcR	paaB//gspI//hydN//fliC//mtlD//norW//ygbA//
CRP_FNR_NarL	ubiA//idnO//rutA//
CRP_FeaR_NsrR	ompW//
CRP_Fis	yhiM//nuoI//rseB//malS//inaA//
CRP_Fis_FlhDC_GalR_GalS	ccmE//lsrD//
CRP_Fis_FliZ_IHF_Lrp	hycB//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	tyrP//gatB//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	pyrD//nanC//yoeB//
CRP_Fis_IHF	higB//hybO//tnaC//rpsO//gntT//
CRP_Fis_NanR	sgbH//lhgO//pgaB//uxaA//gadE//
CRP_Fis_NtrC	oxyR//dusB//guaB//
CRP_Fis_XylR	sodA//zinT//fliZ//
CRP_FlhDC_GalR_GalS	ompW//
CRP_FucR	gcvP//fucR//pqiB//ddlB//mhpA//gatD//nuoC//
CRP_Fur	gntT//gatD//nfsB//cysH//yiaO//nuoM//icd//rseA//amtB//
CRP_Fur_HypT_PdhR	rpsO//nrdA//hypB//moeA//rrlG//
CRP_Fur_OxyR_SoxS	fucA//
CRP_GalR_GalS	pstA//
CRP_GalR_GalS_H-NS_HU	gutQ//malE//hupA//paaI//
CRP_GalR_GalS_NagC	cytR//
CRP_GlpR	pspA//ulaD//pyrD//
CRP_GntR	nanS//entH//
CRP_GntR_IdnR	caiD//aldA//narJ//ftsA//melR//dcuA//gabD//
CRP_GntR_IscR	casC//
CRP_GutM_GutR_H-NS	idnO//nuoL//ugpC//ynfK//yjbH//argO//glgP//
CRP_H-NS	nemR//
CRP_H-NS_HipAB_HipB_NtrC	cyoD//
CRP_H-NS_LacI	cusC//gatD//manY//
CRP_H-NS_LeuO	mhpD//asr//rutF//uxuR//cydB//rrfE//rrlB//
CRP_H-NS_MqsA	adiC//
CRP_IHF	sgrS//rhaD//gspM//relE//
CRP_IHF_MprA_OmpR	gcvT//
CRP_IHF_NsrR	nagA//
CRP_IHF_PaaX	rrsC//hypF//fimF//treC//puuA//ascF//spy//mdtD//sufS//umpH//zraR//aroL//
CRP_IHF_UlaR	nfsB//deoC//ilvX//idnD//narI//narI//
CRP_IHF_YiaJ	paaF//putA//nrfD//cysP//dppB//dmsB//acrB//rtcB//glpX//yiaL//
CRP_LexA	cusF//
CRP_Lrp	hha//cusF//alaV//rpsI//
CRP_Lrp_Mlc	fliI//
CRP_Lrp_Nac	ccmB//
CRP_LsrR	paaB//relE//mdtF//fecD//chiP//entA//fucU//fecA//paaJ//
CRP_MalI	ccmF//rhaD//pheM//
CRP_MalT	rrsE//araD//waaZ//
CRP_MalT_PhoP	mazG//
CRP_MelR	cadB//hybF//citX//
CRP_MetJ	hybO//
CRP_MhpR	lsrC//nuoI//gspI//bglJ//yciG//evgA//
CRP_Mlc	nmpC//nrdB//
CRP_ModE	gabP//dcuC//hyaF//
CRP_MurR	fdnI//fucO//
CRP_Nac_NsrR_PhoB	recF//
CRP_NadR	yeaR//
CRP_NagC	ubiA//pgaA//fixB//rbsD//ppiA//murG//
CRP_NagC_NanR	nanC//fucA//torA//
CRP_NagC_PhoP	napG//
CRP_OxyR	betT//
CRP_OxyR_UxuR	gatB//
CRP_PhoB	fdnI//relA//ynfG//aroL//hdeB//napG//
CRP_PhoP	hyfD//paaH//mazG//
CRP_PutA	rrlH//
CRP_RbsR	rhaD//soxS//modB//dadX//adhE//paaH//
CRP_RhaR_RhaS	entE//rutA//
CRP_RhaS	flhC//melA//mntH//
CRP_Rob	xylF//
CRP_TorR	hycD//gloA//dmsD//
CRP_UhpA_UvrY	yhiM//
CRP_UidR_UxuR	deoB//gutM//nuoN//
CRP_UvrY	ccmF//
CRP_YehT	manZ//
CRP_ZraR	nfuA//pspA//
CadC_FNR_H-NS_LeuO_MlrA	sucD//
Cbl_CysB	frdD//lpd//sufD//fixB//
Cbl_CysB_FNR_IHF	metN//citG//csgA//aspC//rhaD//
CdaR_FNR_Fis_Fur_H-NS	glpK//
CdaR_FNR_Fur_H-NS	fucP//fumC//gutM//fixA//
CpxR_CsgD_FliZ	hisM//lhgO//fimB//
CpxR_CysB	bglF//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	xylH//
CpxR_GadE	betI//asnC//safA//malE//
CpxR_H-NS	torA//
CpxR_NsrR	ccmG//
CpxR_RcsB	lyxK//
CpxR_TyrR	aspC//
Cra_FNR_Fis_Lrp_NarL	ugpB//
Cra_FNR_Fur_MarA_Rob_SoxS	gcvT//
Cra_FhlA_FlhDC	waaH//
Cra_GntR_KdgR	rutE//
Cra_GntR_KdgR_PhoB	hypB//
Cra_MarA_SoxS	galT//
Cra_PdeL	dmsA//
Cra_SgrR	gutM//lgoR//hypC//
Cra_TyrR	umpH//
CreB_NagC	gadE//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	nikB//
CsgD_FlhDC	treB//cbl//paaK//hybE//mhpA//gcvP//osmC//dadX//rpoH//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	rtcA//dppF//
CspA_Fis_GadX_H-NS	mdtD//
CueR_FNR_ModE	citF//zinT//aceF//napD//ydeN//
CusR_PhoB_YedW	prpR//metI//nirB//nuoL//cydC//ogt//ahpC//
CysB_H-NS	glnK//codA//qseC//malX//yaiA//
CysB_HypT_IHF	yjbH//
CysB_IHF	narH//sdhC//
CysB_NtrC	fliA//
CysB_PhoP	fecB//
DcuR_FNR_NarL	gadF//flhC//cysJ//oppB//
DinJ-YafQ_LexA	rrfD//rseA//
DpiA_H-NS	focB//
DsdC_NsrR	serC//
EvgA_FNR	rpsJ//flgN//
EvgA_H-NS	nfo//malE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	gutQ//
EvgA_H-NS_PhoP_RcsB_YdeO	melA//
EvgA_PhoP_RcsB_YdeO	metK//
ExuR_UxuR	higA//torC//
FNR_FhlA_IHF_NsrR	ldtB//iraM//crp//entE//ndh//
FNR_FhlA_NarL_NarP	ulaB//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	spy//melA//ebgA//nrdG//ccmG//cydA//crr//
FNR_Fis_IHF_ModE_NarL	chbG//envZ//deoB//
FNR_Fis_IHF_NarL	hipB//
FNR_Fis_IHF_NarL_RstA	malT//cysW//gntU//lrp//
FNR_FlhDC	hypC//
FNR_FlhDC_IscR_ModE_NarL_NarP	rplT//nikC//napB//yrbL//glnA//yiaO//codA//
FNR_FlhDC_ModE_NarL_NarP	rpsI//narI//nrdI//entH//bglG//ybjN//waaZ//prpR//
FNR_Fur	nuoL//mioC//
FNR_Fur_GadE	proX//
FNR_Fur_GadX_NtrC	hyfA//gspM//
FNR_Fur_H-NS	aer//rbsK//yiaJ//malK//
FNR_Fur_MetR_NsrR	osmE//
FNR_Fur_Nac_NtrC	atoB//
FNR_Fur_NagC	soxR//yjjQ//prpD//
FNR_Fur_OxyR	frdA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	dppB//
FNR_H-NS	ydhY//fimG//
FNR_H-NS_NrdR	ulaA//feoB//
FNR_IHF	lrp//nrfA//fimA//ygbA//xylB//
FNR_IHF_Lrp_YeiL	pspB//
FNR_IHF_NarL_NarP_NorR	deoD//cusC//
FNR_IHF_PhoB	sgbU//rplP//cysH//appY//puuR//
FNR_MalT	manZ//acs//
FNR_ModE	safA//hisP//
FNR_NarL	soxR//gcvT//nrfA//nrdG//bglB//phoU//
FNR_NarL_NarP	puuE//fliK//mraY//lpxC//exuT//yjbE//paaK//modC//rseA//
FNR_NarL_NarP_NsrR	nuoF//
FNR_NarL_NarP_NsrR_OxyR	ilvX//lsrB//
FNR_NarL_NikR	bhsA//nuoJ//nikE//glnL//glpD//rrsD//
FNR_NsrR	zraR//fis//gcvT//
FNR_OxyR	fucO//
FNR_PurR	nemA//fepE//
FNR_YqjI	hyaE//
FabR_FadR	fliF//murF//
FadR_IHF	caiD//
FadR_IclR	pyrD//
FhlA_FlhDC	dinI//
FhlA_IHF_ModE_NsrR	nfuA//fliG//yjbG//nupG//fecA//nuoM//cusS//norV//acnA//
FhlA_IHF_NsrR	aroP//
Fis_Fur	pdeL//
Fis_H-NS	lpd//
Fis_H-NS_IHF_MntR_OxyR	gspC//
Fis_H-NS_Lrp	ybdZ//gnd//appY//dsdA//nuoJ//csgB//sgbE//crp//malS//yrbL//serA//yjcH//ppiA//mhpD//gabP//cspA//emrY//patA//uxuA//paaF//sroD//argO//rtcA//chbA//
Fis_H-NS_Lrp_StpA	inaA//mdh//
Fis_IHF	paaC//
Fis_IHF_NtrC	nhaR//gcd//
Fis_IHF_OmpR_RcsB	lsrG//
Fis_Lrp	fucR//micF//rutF//nanT//pgaB//fdnI//glpF//tyrP//glpD//
Fis_MazE_MazE-MazF	pgaB//
Fis_NarL	grcA//
Fis_NarL_NarP_NsrR	chbC//soxS//
Fis_PurR	idnD//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	nanM//bglJ//ftsQ//
FliZ_RutR	ugpA//
Fur_H-NS	nupG//pyrC//idnO//metI//sdhA//ptsG//rob//tdcA//rhaA//slp//murG//gabD//gyrA//
Fur_IHF_IscR_NsrR_OxyR	umpH//hyfD//pspD//gltT//gcd//modB//
Fur_IscR_NrdR	yhiM//yedX//nikD//torA//
Fur_MetR	chbB//
Fur_MntR	nikR//
Fur_MntR_OxyR	yqjH//
Fur_OxyR	ubiA//
Fur_PurR	gltF//fimC//
Fur_RcnR	yjbF//spy//
Fur_RutR	ilvH//
Fur_SoxS_Zur	mdtE//
Fur_YqjI	fepE//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	nuoA//nagB//
GadE-RcsB_H-NS	mdtB//
GadE-RcsB_PhoB	araE//
GadE-RcsB_Rob	rimP//
GadE_GadX_H-NS_PhoP_RcsB	rplP//
GadE_H-NS_Lrp_NsrR	phoQ//
GadE_H-NS_MatA	ilvL//
GadE_H-NS_RcsAB	glpC//
GadE_MarA_PurR	gntX//
GadW_GadX_RcsB	csgD//
GalR_GalS	casA//
GlrR_IHF	gabD//
H-NS_IHF	ccmC//pspD//ssuC//
H-NS_IHF_Lrp	cyaR//ftnA//yrbL//zraS//glnH//acs//atoE//
H-NS_LeuO	gadW//fimF//
H-NS_LeuO_RcsB-BglJ_StpA	rrsG//
H-NS_LrhA_Lrp	nrdF//
H-NS_Lrp	xylB//araE//
H-NS_Lrp_NhaR_RcsB	yhiD//
H-NS_Lrp_StpA	folA//
H-NS_McbR	ascF//chiP//pdeL//
H-NS_NhaR	idnD//dadX//
H-NS_OmpR	dsdX//
H-NS_PhoB_RcdA_RstA	csiD//
HU_IHF_TrpR_TyrR	glnD//
HU_IHF_TyrR	mpl//
HigA_HigB-HigA	murC//ygbA//
HipAB_HipB_IHF	ftsZ//glcG//
HypT_MetJ	pspE//paaE//gspF//
HypT_MetJ_PhoP	rimP//glpB//
IHF_Lrp	argD//uhpT//recF//sucC//nrdE//dsdC//hyfE//sucA//
IHF_NsrR	truB//
IHF_NtrC	nuoL//yjjQ//
IHF_PhoP	putP//
IHF_PspF	caiC//waaY//cysJ//idnD//puuR//rseB//
IHF_RcsAB	gcvH//narL//uxaA//tauA//
IHF_RtcR	ftsL//nirC//
IHF_TyrR	hybF//
IHF_UlaR	katG//
LexA_MraZ_PdhR	udp//rpoS//hydN//nirC//araH//fumB//rbsD//fes//nrfG//malT//rrfF//
LexA_MraZ_PdhR_RcsB_SdiA	ansB//murE//
LexA_MraZ_PdhR_SdiA	purA//
LexA_NagC	cas1//
LexA_RcdA	fliA//
LexA_RcsB-BglJ	yiaL//
MarA_OxyR_Rob_SoxS	inaA//setA//rbsC//acrB//
MarA_PhoP_Rob_SoxS	soxR//lsrC//paaA//micF//
MarA_Rob_SoxS	glpA//atoB//yjbF//hyaE//ygbA//
MarA_SoxS	napB//nupC//nmpC//ftsA//atoE//
MetJ_MetR	acnB//flhD//
MetJ_OxyR	acrF//codA//
MetR_PurR	deoC//
MraZ_PdhR	glnP//phoU//
Nac_PurR	sucA//cysB//
NarL_TorR	rseC//rutE//putP//
NemR_RutR	gabP//prpD//cytR//
NhaR_OmpR	metQ//relE//deoA//rbsA//
NorR_NsrR	yjbF//
NsrR_PhoB	ptsG//
OxyR_SoxS	truB//
PdhR_PhoP	fixC//
PgrR_TyrR	moaC//
PhoB_PhoP	cydD//
PhoP_PurR_RbsR	yedX//yiaK//
RelB_RelB-RelE	ybjN//gatB//iraM//
TrpR_TyrR	pstA//dcuD//guaA//
YefM_YefM-YoeB	ccmD//argD//
