#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	glnA//xylA//
ArcA_FNR	hmp//glcD//fiu//cytR//hyfC//ftsZ//casD//mhpF//proV//betT//tauA//codA//dmsD//yjbH//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	gadB//
ArcA_FNR_Fis_IHF_NarL	gspC//nuoF//malY//galM//ugpE//uidA//aceK//ubiA//ogt//paaC//rrfH//dmsC//prpC//
ArcA_FNR_Fur_IHF	dnaA//
ArcA_FNR_IHF	dpiB//rcnB//casE//
ArcA_FNR_IHF_NarL	paaD//rpmC//
ArcA_FNR_NarL	gcvP//ebgA//glcG//dppF//
ArcA_FNR_PhoP	yrbL//
ArcA_FNR_PuuR	lldP//modB//
ArcA_FadR	fimE//mglA//napG//
ArcA_FadR_Fis	fliE//waaZ//
ArcA_Fur_Lrp_ModE	ccmF//lldR//galM//lpxC//hycG//
ArcA_GlcC_IHF_PdhR	torD//rpsQ//nfsA//carB//spy//cysI//
ArcA_LexA	exuT//sufB//
ArcA_LldR	norW//entC//gspF//
ArcA_NarL	fabZ//norV//ascF//idnK//prmC//cusS//uxaB//rutD//
ArcA_NtrC_PhoP_RutR	ybfN//gcd//ydhW//ugpB//hyaF//appA//lpd//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	atoB//asr//fbaA//
ArgP_CRP_FNR_Fur_Nac	gatD//
ArgP_DnaA	higA//hyfE//rutG//
ArgP_Lrp	nrdE//aldB//
ArgP_LysR	ybiT//
ArgP_PhoB	casC//
ArgR_CRP	tnaA//
ArgR_CRP_Fis	aceA//rcsA//fliG//mglB//gntU//dps//fumA//hpt//
ArgR_Fis_IHF_PepA_PurR_RutR	metY//rplM//
ArgR_H-NS_NtrC	ubiC//acrZ//yjcH//umpH//
ArgR_NtrC	moaB//cysI//carB//ynfG//pspE//
ArgR_PhoP	cysB//
AscG_CRP	prpB//caiF//nfo//
AscG_CRP_PhoB_PrpR	ulaF//
AsnC_MraZ_Nac	torA//
AsnC_Nac	napC//ilvG_1//
AtoC_IHF	hycF//mhpF//rhaB//yjiY//
BaeR_CpxR	emrY//ynfE//gadF//gltV//metL//cysM//chbA//
BaeR_CpxR_EvgA	ydeM//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	bglB//rbsR//ugpC//gadX//
BasR_CpxR_PdhR	gatB//sra//
BasR_Fis	hyaF//
BasR_H-NS_IHF_NagC_NanR	oxyR//
BasR_MarA_PutA	ulaG//
BasR_PhoP	rhaB//
BasR_QseB	idnT//rutD//
CRP_CaiF_FNR	aroA//tauD//garR//ycdZ//
CRP_ChbR_NagC	pstA//ileV//cadC//pstC//yfaE//pck//
CRP_ComR	fadA//
CRP_CpxR	cysM//
CRP_CpxR_CytR	modB//
CRP_CpxR_CytR_DnaA_IHF	atoA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	nfuA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	glcF//cysB//glcB//metY//
CRP_Cra	nuoM//dppD//ydhU//ccmA//ybiT//eda//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	galK//uvrA//csgD//narX//
CRP_Cra_FNR_PdhR	asr//
CRP_Cra_Fis	katG//
CRP_Cra_Fis_GlcC	rseC//
CRP_Cra_Fis_MtlR	gspJ//acrD//fadH//
CRP_Cra_Mlc_NagC	moaC//gltT//ssuB//sufE//ompC//caiB//
CRP_Cra_PrpR	yafQ//stpA//ftsL//tdcB//
CRP_CreB_Fis_MalT	astB//rrfD//fau//
CRP_CsiR_H-NS_Lrp	mdtE//codB//
CRP_CsiR_H-NS_Lrp_Nac	aldB//ilvE//torA//
CRP_CspA_Fis	ptsH//
CRP_CytR	hisM//fucR//soxR//
CRP_CytR_DeoR	nikR//nrdD//
CRP_CytR_DeoR_Fis_ModE	proP//yciE//bhsA//xylG//
CRP_CytR_Nac	fimG//
CRP_CytR_NsrR	torA//
CRP_DcuR_FNR_NarL	nfo//
CRP_DinJ-YafQ	glcC//
CRP_DnaA_Fis_PurR	relA//rrsC//
CRP_DpiA_ExuR	ssb//
CRP_DsdC	nuoC//nuoB//
CRP_EbgR	gadE//exuR//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	oppA//fliH//
CRP_ExuR	lsrR//
CRP_ExuR_FNR	ftsL//cusC//
CRP_ExuR_OxyR_UxuR	rplB//actP//
CRP_ExuR_UxuR	hybD//
CRP_FNR	tauC//
CRP_FNR_FhlA_HyfR	hyaE//accC//sdhD//frdB//ansB//garL//ulaD//pheM//gabP//narJ//murP//crr//
CRP_FNR_Fis	sufS//pnp//csgC//
CRP_FNR_Fis_GlpR_IHF	rplD//rrsH//
CRP_FNR_Fis_H-NS_SlyA	ynfG//
CRP_FNR_GcvA_Lrp_PurR	sbmC//ybfN//cspA//
CRP_FNR_H-NS_NarL	hybD//
CRP_FNR_IHF_TdcA_TdcR	serA//rhaT//modA//hns//metH//gntT//citF//
CRP_FNR_NarL	torC//hypE//rbsK//
CRP_FeaR_NsrR	csgB//
CRP_Fis	gabD//ilvE//ynfE//pspG//nrdI//
CRP_Fis_FlhDC_GalR_GalS	acnB//tdcD//
CRP_Fis_FliZ_IHF_Lrp	hycD//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	tdcB//envZ//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	purN//murP//nfsB//
CRP_Fis_IHF	araD//paaE//fliH//cyoA//dnaN//
CRP_Fis_NanR	idnK//cusA//rrfH//ompF//gatZ//
CRP_Fis_NtrC	csgB//zraS//tnaC//
CRP_Fis_XylR	pqiB//hyaC//betB//
CRP_FlhDC_GalR_GalS	glpC//
CRP_FucR	oppA//emrY//gabT//betA//purD//glgP//pncB//
CRP_Fur	fadL//gltW//melA//gntP//dppB//murE//qseC//gspF//puuB//
CRP_Fur_HypT_PdhR	hupB//sgrT//fliJ//rplT//galK//
CRP_Fur_OxyR_SoxS	galS//
CRP_GalR_GalS	gspG//
CRP_GalR_GalS_H-NS_HU	gabT//malE//atoA//lpxD//
CRP_GalR_GalS_NagC	rpsC//
CRP_GlpR	aldB//nrdH//codA//
CRP_GntR	fadB//rrsA//
CRP_GntR_IdnR	dppB//prmC//entF//fucR//soxS//uidB//moaB//
CRP_GntR_IscR	citX//
CRP_GutM_GutR_H-NS	ccmF//skp//agaW//rbsR//fimH//cbl//fis//
CRP_H-NS	malM//
CRP_H-NS_HipAB_HipB_NtrC	stpA//
CRP_H-NS_LacI	caiT//acrA//aslB//
CRP_H-NS_LeuO	glpF//rrlD//hybF//pdeL//focA//alaV//csiE//
CRP_H-NS_MqsA	feaR//
CRP_IHF	casB//uidC//pspG//fimG//
CRP_IHF_MprA_OmpR	hemL//
CRP_IHF_NsrR	modA//
CRP_IHF_PaaX	evgA//mglB//fecD//glpX//fadI//rbsR//pgk//psiE//nrfE//melR//hypE//prpR//
CRP_IHF_UlaR	fucR//hyfG//gatD//fhlA//fixB//rrfC//
CRP_IHF_YiaJ	napF//ptsI//paaJ//fadA//cspD//nagA//paaB//katG//fiu//manX//
CRP_LexA	puuC//
CRP_Lrp	fnr//yedX//ugpE//betB//
CRP_Lrp_Mlc	ihfA//
CRP_Lrp_Nac	ftsL//
CRP_LsrR	rpoH//pncB//codB//lsrC//nrdF//gatA//fabZ//rrsD//atoA//
CRP_MalI	rplC//hypB//actP//
CRP_MalT	lsrA//melR//ascF//
CRP_MalT_PhoP	qseB//
CRP_MelR	prfA//adhE//nanS//
CRP_MetJ	mntH//
CRP_MhpR	nusA//hokD//gltB//uxaC//glpB//ydhW//
CRP_Mlc	nuoC//proW//
CRP_ModE	glyA//lamB//yciE//
CRP_MurR	hypF//carB//
CRP_Nac_NsrR_PhoB	nrdH//
CRP_NadR	gabP//
CRP_NagC	glnQ//yhiD//ilvA//aceB//tdcG//relA//
CRP_NagC_NanR	nrdA//uxuA//metE//
CRP_NagC_PhoP	paaH//
CRP_OxyR	pspC//
CRP_OxyR_UxuR	acs//
CRP_PhoB	manX//hisQ//yhiD//pncB//fdhF//cysM//
CRP_PhoP	araF//pck//entB//
CRP_PutA	proP//
CRP_RbsR	yjjQ//aslB//cysA//deoD//mdtB//nuoF//
CRP_RhaR_RhaS	yqjI//ytfE//
CRP_RhaS	treB//acrZ//xylA//
CRP_Rob	lsrG//
CRP_TorR	malI//exuT//hyfJ//
CRP_UhpA_UvrY	frdC//
CRP_UidR_UxuR	grcA//yoaG//garP//
CRP_UvrY	tdcA//
CRP_YehT	mntH//
CRP_ZraR	murQ//hycA//
CadC_FNR_H-NS_LeuO_MlrA	manX//
Cbl_CysB	ssuD//ccmF//mtlR//ftsQ//
Cbl_CysB_FNR_IHF	gadW//napB//uxuB//pstB//caiA//
CdaR_FNR_Fis_Fur_H-NS	hycI//
CdaR_FNR_Fur_H-NS	ynfH//hypB//garR//nhaA//
CpxR_CsgD_FliZ	mazG//fucU//malK//
CpxR_CysB	mtlA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ilvD//
CpxR_GadE	nirB//thrV//fdnG//agaV//
CpxR_H-NS	tdcG//
CpxR_NsrR	yhiD//
CpxR_RcsB	glcA//
CpxR_TyrR	malX//
Cra_FNR_Fis_Lrp_NarL	stpA//
Cra_FNR_Fur_MarA_Rob_SoxS	fis//
Cra_FhlA_FlhDC	glnG//
Cra_GntR_KdgR	rrsG//
Cra_GntR_KdgR_PhoB	aroG//
Cra_MarA_SoxS	ydhY//
Cra_PdeL	ybjN//
Cra_SgrR	adhE//fadA//hcr//
Cra_TyrR	agaV//
CreB_NagC	yeiL//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	hyaF//
CsgD_FlhDC	rpoH//rseC//gspL//uxaB//baeS//hypB//gspH//hycB//ilvH//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	ascB//tdcD//
CspA_Fis_GadX_H-NS	entA//
CueR_FNR_ModE	dcuD//ilvG_2//sufD//metL//hycA//
CusR_PhoB_YedW	astC//fimD//serA//dppD//metI//galM//fdnH//
CysB_H-NS	uxaC//marA//nrfG//hyfR//malT//
CysB_HypT_IHF	aslB//
CysB_IHF	yjcH//hemA//
CysB_NtrC	oppD//
CysB_PhoP	infB//
DcuR_FNR_NarL	ydhT//ndh//fliF//moeB//
DinJ-YafQ_LexA	creD//lrp//
DpiA_H-NS	ydhX//
DsdC_NsrR	purN//
EvgA_FNR	ftsQ//fabB//
EvgA_H-NS	dnaN//csiE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	rpsJ//
EvgA_H-NS_PhoP_RcsB_YdeO	spy//
EvgA_PhoP_RcsB_YdeO	nrdE//
ExuR_UxuR	ccmA//fecA//
FNR_FhlA_IHF_NsrR	caiE//higA//flgM//narJ//csiD//
FNR_FhlA_NarL_NarP	nrdF//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	nhaR//betI//murF//paaG//hybD//gltB//srlR//
FNR_Fis_IHF_ModE_NarL	ilvI//cysH//cyaR//
FNR_Fis_IHF_NarL	hyfC//
FNR_Fis_IHF_NarL_RstA	cysB//higB//yfaE//hyfC//
FNR_FlhDC	lyxK//
FNR_FlhDC_IscR_ModE_NarL_NarP	uidA//nmpC//hyfD//marR//gntT//tdcD//ccmG//
FNR_FlhDC_ModE_NarL_NarP	sucC//purN//pgaC//cyoC//pdeL//hdeD//mazF//ptsI//
FNR_Fur	lpd//alaT//
FNR_Fur_GadE	dctA//
FNR_Fur_GadX_NtrC	yhjA//casA//
FNR_Fur_H-NS	ftsA//dctA//tcyJ//srlR//
FNR_Fur_MetR_NsrR	eda//
FNR_Fur_Nac_NtrC	fixB//
FNR_Fur_NagC	qseC//galM//fes//
FNR_Fur_OxyR	pspA//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	pstA//
FNR_H-NS	sucA//metK//
FNR_H-NS_NrdR	tauD//narX//
FNR_IHF	cysB//nikA//betB//fliI//rbsK//
FNR_IHF_Lrp_YeiL	fadB//
FNR_IHF_NarL_NarP_NorR	mdtA//feoA//
FNR_IHF_PhoB	fbaA//rrlB//mdtF//icd//fucU//
FNR_MalT	yiaO//pncB//
FNR_ModE	idnR//ubiC//
FNR_NarL	fiu//mhpD//nanC//ccmE//ascB//glpQ//
FNR_NarL_NarP	slp//hypA//relB//epd//rcnA//yedX//mpl//metK//pncB//
FNR_NarL_NarP_NsrR	rnpB//
FNR_NarL_NarP_NsrR_OxyR	gntU//cusA//
FNR_NarL_NikR	fadE//rrfF//nuoE//sulA//betT//rutB//
FNR_NsrR	mdh//metK//araC//
FNR_OxyR	rplD//
FNR_PurR	hydN//rutB//
FNR_YqjI	caiT//
FabR_FadR	relE//rbsK//
FadR_IHF	lhgO//
FadR_IclR	gltU//
FhlA_FlhDC	fixA//
FhlA_IHF_ModE_NsrR	marR//cspA//sufB//hypF//tauB//mntH//pstS//hybB//yoaG//
FhlA_IHF_NsrR	gabT//
Fis_Fur	glcB//
Fis_H-NS	gatY//
Fis_H-NS_IHF_MntR_OxyR	micF//
Fis_H-NS_Lrp	cusR//sgrS//yciE//ogt//yoeB//dppD//lsrD//nemR//dinJ//lsrC//cspE//soxS//puuB//ugpQ//frdD//ybjC//mlc//rplM//pck//sgrS//ubiA//appB//alaT//astE//
Fis_H-NS_Lrp_StpA	nuoH//dctA//
Fis_IHF	uidB//
Fis_IHF_NtrC	paaJ//ompF//
Fis_IHF_OmpR_RcsB	rseB//
Fis_Lrp	cusR//murQ//fimH//udp//metN//gcvP//galP//hyaE//bglB//
Fis_MazE_MazE-MazF	gspD//
Fis_NarL	rrfG//
Fis_NarL_NarP_NsrR	hycE//hyfF//
Fis_PurR	ugpE//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	rrsA//ilvG_1//glnG//
FliZ_RutR	yiaM//
Fur_H-NS	nuoA//srlB//ilvD//nuoK//appY//yciF//nusA//fixB//yaiA//yiaO//ftnA//fucI//glcF//
Fur_IHF_IscR_NsrR_OxyR	phoQ//ydhX//sra//caiF//fadH//yqjH//
Fur_IscR_NrdR	hycD//narI//sdhD//purR//
Fur_MetR	nikE//
Fur_MntR	pheM//
Fur_MntR_OxyR	acs//
Fur_OxyR	rrfB//
Fur_PurR	actP//lacA//
Fur_RcnR	puuC//fadI//
Fur_RutR	gltB//
Fur_SoxS_Zur	cyoC//
Fur_YqjI	tsx//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	sufD//ptsG//
GadE-RcsB_H-NS	murD//
GadE-RcsB_PhoB	araH//
GadE-RcsB_Rob	mglC//
GadE_GadX_H-NS_PhoP_RcsB	araB//
GadE_H-NS_Lrp_NsrR	yafQ//
GadE_H-NS_MatA	murE//
GadE_H-NS_RcsAB	rrsB//
GadE_MarA_PurR	garL//
GadW_GadX_RcsB	pgaC//
GalR_GalS	malY//
GlrR_IHF	gspO//
H-NS_IHF	sucC//fimH//narK//
H-NS_IHF_Lrp	melR//pgaB//prpE//cusR//hcp//fliG//sdhD//
H-NS_LeuO	pspG//xylR//
H-NS_LeuO_RcsB-BglJ_StpA	flhC//
H-NS_LrhA_Lrp	dinI//
H-NS_Lrp	citC//nhaA//
H-NS_Lrp_NhaR_RcsB	chbG//
H-NS_Lrp_StpA	yfaE//
H-NS_McbR	dppA//nuoI//nhaR//
H-NS_NhaR	ygiB//agaV//
H-NS_OmpR	cusS//
H-NS_PhoB_RcdA_RstA	hypE//
HU_IHF_TrpR_TyrR	nupC//
HU_IHF_TyrR	mdtB//
HigA_HigB-HigA	hisQ//hmp//
HipAB_HipB_IHF	emrY//fimF//
HypT_MetJ	ilvG_2//feoB//tauB//
HypT_MetJ_PhoP	baeR//fucU//
IHF_Lrp	napD//fur//ansB//torC//dnaA//oppB//nikB//rutD//
IHF_NsrR	mtlD//
IHF_NtrC	yjbG//xylB//
IHF_PhoP	nrfE//
IHF_PspF	aspA//nfsA//ilvG_1//rrfA//astB//fur//
IHF_RcsAB	marR//gyrA//baeR//mnmG//
IHF_RtcR	betI//ccmA//
IHF_TyrR	nuoB//
IHF_UlaR	relA//
LexA_MraZ_PdhR	sufB//emrY//rsmH//torA//dadA//csgD//relA//ydeO//napB//ilvX//yiaM//
LexA_MraZ_PdhR_RcsB_SdiA	lldD//spy//
LexA_MraZ_PdhR_SdiA	skp//
LexA_NagC	bglG//
LexA_RcdA	uxaC//
LexA_RcsB-BglJ	relE//
MarA_OxyR_Rob_SoxS	fucU//gutM//cyaR//rbfA//
MarA_PhoP_Rob_SoxS	puuE//yiaJ//adhE//csrC//
MarA_Rob_SoxS	ydhY//yefM//betI//dppA//lyxK//
MarA_SoxS	rrfD//tpx//cspI//xylA//ccmB//
MetJ_MetR	marR//rrfB//
MetJ_OxyR	hcr//araH//
MetR_PurR	feoC//
MraZ_PdhR	araE//tam//
Nac_PurR	cirA//ssb//
NarL_TorR	pyrD//hybA//ssuD//
NemR_RutR	mdtF//oppB//purR//
NhaR_OmpR	ccmC//nuoG//ccmD//lgoR//
NorR_NsrR	malQ//
NsrR_PhoB	oppA//
OxyR_SoxS	ompC//
PdhR_PhoP	fliE//
PgrR_TyrR	cusB//
PhoB_PhoP	nuoH//
PhoP_PurR_RbsR	fixB//yjcH//
RelB_RelB-RelE	paaB//srlD//astD//
TrpR_TyrR	serA//nanC//malE//
YefM_YefM-YoeB	ydhW//fis//
