#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	nagC//manZ//
ArcA_CRP_FNR_IHF_NarL	ulaB//
ArcA_CRP_FNR_NarL	katE//
ArcA_CRP_FadR	rplW//hpt//
ArcA_CRP_FadR_HipB	appX//
ArcA_CRP_FadR_OmpR_PhoP	uhpT//
ArcA_CRP_Fis_Mlc_SoxS	mdtB//
ArcA_CRP_Fis_XylR	rutC//
ArcA_CRP_Fur_GadX_MqsA	gutQ//
ArcA_CRP_GatR	sdhA//nfsA//yoeB//ytfE//feaB//ydhX//
ArcA_CRP_GlpR	fiu//
ArcA_CRP_IHF	tam//
ArcA_CRP_PuuR	flgN//glpK//betI//hupA//dps//
ArcA_CRP_RhaS	dcuA//
ArcA_CRP_TreR	gcvP//mhpB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	gatD//gntX//
ArcA_Cra	fbaA//
ArcA_Cra_FNR_H-NS_HypT	acrE//gntP//
ArcA_CysB_FNR	mglC//
ArcA_FNR	inaA//nfsA//rplW//cydA//metL//nhaR//aroA//yciE//idnO//nirC//ppiA//mhpA//skp//acrA//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	pstB//
ArcA_FNR_Fis_IHF_NarL	hypA//nagA//fucK//epd//citG//gadA//fucK//astB//rrfC//dppA//baeR//nuoN//glnD//
ArcA_FNR_Fur_IHF	ygiB//
ArcA_FNR_IHF	mhpC//malM//hyfI//
ArcA_FNR_IHF_NarL	hybD//zraR//
ArcA_FNR_NarL	nirD//tyrR//gspG//katG//
ArcA_FNR_PhoP	baeR//
ArcA_FNR_PuuR	rtcA//lamB//
ArcA_FadR	glnP//gnd//hypD//
ArcA_FadR_Fis	ytfE//aslB//
ArcA_Fur_Lrp_ModE	sucB//patA//yiaL//codA//yjjQ//
ArcA_GlcC_IHF_PdhR	napC//pgaA//entB//paaA//tnaB//hyfB//
ArcA_LexA	rpoH//hyfB//
ArcA_LldR	csgF//malK//ydeM//
ArcA_NarL	waaH//fis//ynfH//cysB//pyrC//gatA//gspI//hcp//
ArcA_NtrC_PhoP_RutR	fliA//cysA//yjjQ//prpR//nikA//ahpF//rhaA//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	gltB//rsmH//fucO//
ArgP_CRP_FNR_Fur_Nac	yiaO//
ArgP_DnaA	tnaC//acrB//gadX//
ArgP_Lrp	fau//malT//
ArgP_LysR	torA//
ArgP_PhoB	nanA//
ArgR_CRP	napD//
ArgR_CRP_Fis	norV//emrK//caiT//ihfA//ebgC//flgN//gltV//flgM//
ArgR_Fis_IHF_PepA_PurR_RutR	asr//yjcH//
ArgR_H-NS_NtrC	deoD//cbl//hisP//mpl//
ArgR_NtrC	uspA//rbsB//napF//ulaE//rpsI//
ArgR_PhoP	rhaD//
AscG_CRP	sufS//glpQ//relA//
AscG_CRP_PhoB_PrpR	nanT//
AsnC_MraZ_Nac	galS//
AsnC_Nac	hyfG//fliH//
AtoC_IHF	cytR//katG//gltW//citX//
BaeR_CpxR	evgA//ccmB//citD//mhpC//fes//rrlE//glnL//
BaeR_CpxR_EvgA	rtcB//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	hyaD//aspC//frdD//glpC//
BasR_CpxR_PdhR	putA//bglJ//
BasR_Fis	relE//
BasR_H-NS_IHF_NagC_NanR	hcr//
BasR_MarA_PutA	hycG//
BasR_PhoP	tnaA//
BasR_QseB	rrsA//pqiA//
CRP_CaiF_FNR	proP//rcnA//fadI//murP//
CRP_ChbR_NagC	yiaO//codB//fucI//ssuD//nuoH//glpC//
CRP_ComR	glgA//
CRP_CpxR	mtlR//
CRP_CpxR_CytR	lsrG//
CRP_CpxR_CytR_DnaA_IHF	pspB//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	relB//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	fepB//malI//cydC//csgC//
CRP_Cra	feaB//fpr//nuoF//cadB//hybB//galS//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	cyaR//cusB//lsrG//csgD//
CRP_Cra_FNR_PdhR	gadC//
CRP_Cra_Fis	araF//
CRP_Cra_Fis_GlcC	mraZ//
CRP_Cra_Fis_MtlR	gspD//gspL//rpsS//
CRP_Cra_Mlc_NagC	adhE//ssuC//betT//tpx//ahpC//lrp//
CRP_Cra_PrpR	nupG//fumA//fhuF//paaK//
CRP_CreB_Fis_MalT	lldD//sgbE//mioC//
CRP_CsiR_H-NS_Lrp	stpA//flhD//
CRP_CsiR_H-NS_Lrp_Nac	hypB//puuP//fimF//
CRP_CspA_Fis	ccmE//
CRP_CytR	murC//hypD//ynfK//
CRP_CytR_DeoR	nanK//fucI//
CRP_CytR_DeoR_Fis_ModE	fimD//nuoH//fpr//ugpE//
CRP_CytR_Nac	ssuB//
CRP_CytR_NsrR	metQ//
CRP_DcuR_FNR_NarL	nikB//
CRP_DinJ-YafQ	acrE//
CRP_DnaA_Fis_PurR	fliI//hypA//
CRP_DpiA_ExuR	xylF//
CRP_DsdC	asr//garP//
CRP_EbgR	agaA//sucC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	proP//ccmD//
CRP_ExuR	rsmH//
CRP_ExuR_FNR	yhiD//fliC//
CRP_ExuR_OxyR_UxuR	nrdF//paaI//
CRP_ExuR_UxuR	osmY//
CRP_FNR	sroD//
CRP_FNR_FhlA_HyfR	appY//ydeO//ccmB//yjiY//gltD//flhC//ompW//oppB//zraS//csrC//murC//napF//
CRP_FNR_Fis	nikR//paaF//gspO//
CRP_FNR_Fis_GlpR_IHF	acrB//ftsQ//
CRP_FNR_Fis_H-NS_SlyA	fadH//
CRP_FNR_GcvA_Lrp_PurR	malG//citE//lgoR//
CRP_FNR_H-NS_NarL	rplM//
CRP_FNR_IHF_TdcA_TdcR	creD//nirC//osmE//higB//fpr//napG//aldA//
CRP_FNR_NarL	nuoE//dsdA//rnpB//
CRP_FeaR_NsrR	cspD//
CRP_Fis	dsdX//mglC//gcvH//deoD//rimP//
CRP_Fis_FlhDC_GalR_GalS	nagC//hyaC//
CRP_Fis_FliZ_IHF_Lrp	moaA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	rseC//uspA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	fepA//nrdH//malK//
CRP_Fis_IHF	amtB//xylB//osmC//ybjN//yhiD//
CRP_Fis_NanR	iclR//dpiA//feaR//hisQ//nrdB//
CRP_Fis_NtrC	rrsB//gspE//aceF//
CRP_Fis_XylR	dnaA//nuoB//galE//
CRP_FlhDC_GalR_GalS	mlc//
CRP_FucR	kbaZ//csgA//flgM//gatY//citC//sufE//rrfG//
CRP_Fur	yrbL//fliF//hypF//ygbA//nupC//hyfI//tauD//pncB//nirD//
CRP_Fur_HypT_PdhR	caiE//recF//lsrD//ftsQ//fimA//
CRP_Fur_OxyR_SoxS	cirA//
CRP_GalR_GalS	gspE//
CRP_GalR_GalS_H-NS_HU	adiA//evgA//pheM//marR//
CRP_GalR_GalS_NagC	ugpA//
CRP_GlpR	rimP//fadJ//galM//
CRP_GntR	murG//hns//
CRP_GntR_IdnR	gltW//acrD//lsrF//leuO//flhD//sgbE//hipB//
CRP_GntR_IscR	rhaB//
CRP_GutM_GutR_H-NS	chbC//moaB//hybC//hyfB//focB//appY//lhgO//
CRP_H-NS	cysG//
CRP_H-NS_HipAB_HipB_NtrC	cysJ//
CRP_H-NS_LacI	murF//higA//prpR//
CRP_H-NS_LeuO	oxyR//malI//ynfG//gadC//putA//fabB//narH//
CRP_H-NS_MqsA	hisQ//
CRP_IHF	tdcB//bolA//rcnB//fumA//
CRP_IHF_MprA_OmpR	oxyR//
CRP_IHF_NsrR	dmsC//
CRP_IHF_PaaX	sbmC//malG//cysB//puuC//rpsO//frdC//rutB//caiF//ompC//hybF//micF//ybjN//
CRP_IHF_UlaR	rplP//lsrR//evgS//evgS//pstS//rrlD//
CRP_IHF_YiaJ	sufS//xylH//glnK//dcuA//rutA//ybdN//cyoB//yafQ//rutG//fucP//
CRP_LexA	hokD//
CRP_Lrp	pdhR//mtr//tdcB//proV//
CRP_Lrp_Mlc	sufS//
CRP_Lrp_Nac	malX//
CRP_LsrR	mtr//entE//ilvH//rhaT//gadE//aldA//ndh//araF//putP//
CRP_MalI	yciF//puuC//betB//
CRP_MalT	chbF//accB//betA//
CRP_MalT_PhoP	pstC//
CRP_MelR	serC//fadA//yqjH//
CRP_MetJ	metI//
CRP_MhpR	acnA//araC//oppA//nuoL//cysI//rhaS//
CRP_Mlc	gapA//pnp//
CRP_ModE	nuoA//sdhB//micF//
CRP_MurR	setA//moaA//
CRP_Nac_NsrR_PhoB	evgA//
CRP_NadR	glnH//
CRP_NagC	srlE//pdeL//narI//purM//yjcH//hycF//
CRP_NagC_NanR	pflB//nhaR//agaA//
CRP_NagC_PhoP	yciE//
CRP_OxyR	sufS//
CRP_OxyR_UxuR	paaZ//
CRP_PhoB	uidC//folA//nanS//glnK//mraZ//mhpB//
CRP_PhoP	gadC//murE//aspC//
CRP_PutA	pdeL//
CRP_RbsR	rbsB//yciF//nuoH//betB//agaW//ompF//
CRP_RhaR_RhaS	araA//ydhY//
CRP_RhaS	gcvH//gabT//rrlE//
CRP_Rob	frdC//
CRP_TorR	cspD//ulaB//sucC//
CRP_UhpA_UvrY	ftsL//
CRP_UidR_UxuR	glnP//cyaR//ssuE//
CRP_UvrY	tdcD//
CRP_YehT	ynfH//
CRP_ZraR	gltW//cysW//
CadC_FNR_H-NS_LeuO_MlrA	relE//
Cbl_CysB	yefM//hdeD//tauA//rrfG//
Cbl_CysB_FNR_IHF	casC//cydD//rcsA//nikB//gcvP//
CdaR_FNR_Fis_Fur_H-NS	metN//
CdaR_FNR_Fur_H-NS	ybdN//nuoA//sgrS//caiF//
CpxR_CsgD_FliZ	argO//casB//nuoE//
CpxR_CysB	nikA//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	ilvX//
CpxR_GadE	ydeP//nuoF//qseB//pgaB//
CpxR_H-NS	idnO//
CpxR_NsrR	lacZ//
CpxR_RcsB	purM//
CpxR_TyrR	gadY//
Cra_FNR_Fis_Lrp_NarL	yjbE//
Cra_FNR_Fur_MarA_Rob_SoxS	mdtC//
Cra_FhlA_FlhDC	sodB//
Cra_GntR_KdgR	rrlH//
Cra_GntR_KdgR_PhoB	hycI//
Cra_MarA_SoxS	fes//
Cra_PdeL	ssuD//
Cra_SgrR	rbsK//casB//fdhF//
Cra_TyrR	glcF//
CreB_NagC	mntH//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	tyrR//
CsgD_FlhDC	gcvP//trg//yhiM//envZ//hyfJ//nfuA//gadY//lsrK//gcd//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	fecD//moeA//
CspA_Fis_GadX_H-NS	hisP//
CueR_FNR_ModE	micF//caiA//araH//dcuA//deoA//
CusR_PhoB_YedW	uidC//fliH//oppD//waaH//cadB//rutA//cusR//
CysB_H-NS	ulaF//gltA//ftnA//napG//mpl//
CysB_HypT_IHF	fpr//
CysB_IHF	gadF//crr//
CysB_NtrC	gltB//
CysB_PhoP	hycF//
DcuR_FNR_NarL	frdB//evgA//fadJ//yhiM//
DinJ-YafQ_LexA	nrfD//glnD//
DpiA_H-NS	micF//
DsdC_NsrR	focB//
EvgA_FNR	uof//ugpQ//
EvgA_H-NS	sufE//gatA//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	metL//
EvgA_H-NS_PhoP_RcsB_YdeO	araJ//
EvgA_PhoP_RcsB_YdeO	puuB//
ExuR_UxuR	glpQ//glnL//
FNR_FhlA_IHF_NsrR	fau//torC//zraS//rtcA//atoB//
FNR_FhlA_NarL_NarP	pgaC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fliZ//idnD//cydB//galR//acrZ//psiE//entE//
FNR_Fis_IHF_ModE_NarL	entD//yeaR//rpoE//
FNR_Fis_IHF_NarL	rseB//
FNR_Fis_IHF_NarL_RstA	appA//pstC//fliF//fur//
FNR_FlhDC	rbsK//
FNR_FlhDC_IscR_ModE_NarL_NarP	ssuD//ftsQ//atoD//napF//gadC//alaT//prpB//
FNR_FlhDC_ModE_NarL_NarP	aceE//epd//paaD//serC//glcA//gatC//hns//fixB//
FNR_Fur	sufS//ilvM//
FNR_Fur_GadE	oppB//
FNR_Fur_GadX_NtrC	nemA//uidA//
FNR_Fur_H-NS	nirD//yoaG//dppA//mhpE//
FNR_Fur_MetR_NsrR	bglJ//
FNR_Fur_Nac_NtrC	fabA//
FNR_Fur_NagC	mlc//lpxC//ccmH//
FNR_Fur_OxyR	mraZ//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	nrdD//
FNR_H-NS	mioC//mglB//
FNR_H-NS_NrdR	prpD//dadX//
FNR_IHF	glmY//hypA//aldB//lpxD//fliK//
FNR_IHF_Lrp_YeiL	rutD//
FNR_IHF_NarL_NarP_NorR	garL//citX//
FNR_IHF_PhoB	emrY//dmsB//dcuA//sdhB//ygbA//
FNR_MalT	moeB//glpA//
FNR_ModE	dmsA//lsrK//
FNR_NarL	hyfG//hycI//fliI//aspA//chiP//cyoB//
FNR_NarL_NarP	rpsO//ccmC//fepA//idnT//fiu//rbsA//tam//hpt//fnr//
FNR_NarL_NarP_NsrR	rpoH//
FNR_NarL_NarP_NsrR_OxyR	murC//rrsH//
FNR_NarL_NikR	mraZ//dppD//fucA//citD//osmC//yjcH//
FNR_NsrR	malQ//aceA//lsrC//
FNR_OxyR	yafQ//
FNR_PurR	galE//frdD//
FNR_YqjI	ompF//
FabR_FadR	appX//caiC//
FadR_IHF	rrlC//
FadR_IclR	fimH//
FhlA_FlhDC	nupC//
FhlA_IHF_ModE_NsrR	asr//uidC//rrfA//ssuD//atoD//nuoG//xylG//galT//rsmH//
FhlA_IHF_NsrR	prpB//
Fis_Fur	hha//
Fis_H-NS	gspM//
Fis_H-NS_IHF_MntR_OxyR	rutF//
Fis_H-NS_Lrp	ulaA//poxB//dmsD//fdhF//ycdZ//entC//nfsA//grcA//uidC//rrfA//csgC//amtB//casC//yoeB//mhpA//rrlC//cadB//oppD//phoQ//mdtD//pyrC//hyfR//rutD//oppF//
Fis_H-NS_Lrp_StpA	nuoE//tdcE//
Fis_IHF	rpsS//
Fis_IHF_NtrC	appA//hcp//
Fis_IHF_OmpR_RcsB	gutM//
Fis_Lrp	flgN//gltW//appY//melR//nirC//fur//acrB//csgF//zwf//
Fis_MazE_MazE-MazF	setA//
Fis_NarL	rbsD//
Fis_NarL_NarP_NsrR	yqjH//fixC//
Fis_PurR	csgC//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	adhE//araA//lpxD//
FliZ_RutR	lsrA//
Fur_H-NS	rhaS//agaW//cyoB//zraS//srlD//ssuB//atoA//dsdX//tyrP//ftsL//garR//entB//nupC//
Fur_IHF_IscR_NsrR_OxyR	bglB//dinJ//setA//fadL//hokD//yiaN//
Fur_IscR_NrdR	metI//nrfG//tauD//uspA//
Fur_MetR	ytfE//
Fur_MntR	narL//
Fur_MntR_OxyR	pstA//
Fur_OxyR	ynfK//
Fur_PurR	ccmE//yhiD//
Fur_RcnR	serA//gadY//
Fur_RutR	moeB//
Fur_SoxS_Zur	rutD//
Fur_YqjI	cysB//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	flgN//hemL//
GadE-RcsB_H-NS	glpD//
GadE-RcsB_PhoB	ydhV//
GadE-RcsB_Rob	chbB//
GadE_GadX_H-NS_PhoP_RcsB	sulA//
GadE_H-NS_Lrp_NsrR	pheM//
GadE_H-NS_MatA	spy//
GadE_H-NS_RcsAB	slp//
GadE_MarA_PurR	araJ//
GadW_GadX_RcsB	hyfF//
GalR_GalS	bglG//
GlrR_IHF	appB//
H-NS_IHF	nuoL//ptsG//cydA//
H-NS_IHF_Lrp	focB//codB//argO//citC//nanC//rplC//casD//
H-NS_LeuO	hha//dcuD//
H-NS_LeuO_RcsB-BglJ_StpA	rpsQ//
H-NS_LrhA_Lrp	acnB//
H-NS_Lrp	hyfA//narL//
H-NS_Lrp_NhaR_RcsB	nemA//
H-NS_Lrp_StpA	crp//
H-NS_McbR	fucR//gltB//zwf//
H-NS_NhaR	cspI//baeR//
H-NS_OmpR	cysH//
H-NS_PhoB_RcdA_RstA	metE//
HU_IHF_TrpR_TyrR	gntT//
HU_IHF_TyrR	gltB//
HigA_HigB-HigA	gntT//thrV//
HipAB_HipB_IHF	uvrA//cusR//
HypT_MetJ	pstB//appC//lsrF//
HypT_MetJ_PhoP	frdC//gatY//
IHF_Lrp	ilvD//bglB//sufS//hycH//ebgA//dctA//ebgC//gntX//
IHF_NsrR	ydhY//
IHF_NtrC	pdeL//idnO//
IHF_PhoP	mdtD//
IHF_PspF	gntP//araA//crr//aroL//torC//truB//
IHF_RcsAB	yiaL//proV//csiE//soxS//
IHF_RtcR	rhaR//narI//
IHF_TyrR	rrfA//
IHF_UlaR	hybD//
LexA_MraZ_PdhR	rplC//tnaA//murF//fliI//ptsI//glpX//deoD//ulaC//cspD//dppD//rseC//
LexA_MraZ_PdhR_RcsB_SdiA	argD//glpD//
LexA_MraZ_PdhR_SdiA	napA//
LexA_NagC	fixB//
LexA_RcdA	yjbF//
LexA_RcsB-BglJ	adhE//
MarA_OxyR_Rob_SoxS	nuoI//dinJ//aceE//pheM//
MarA_PhoP_Rob_SoxS	lyxK//purN//napH//hyfR//
MarA_Rob_SoxS	rrlD//srlR//mdtD//metQ//gspF//
MarA_SoxS	ilvA//mdtE//puuD//casB//fes//
MetJ_MetR	soxR//yeiL//
MetJ_OxyR	csgC//fepB//
MetR_PurR	fimG//
MraZ_PdhR	psiE//ccmD//
Nac_PurR	hha//tdcG//
NarL_TorR	rplW//acrE//feoA//
NemR_RutR	murD//metL//narH//
NhaR_OmpR	yoeB//dppB//ynfK//asnC//
NorR_NsrR	ydeO//
NsrR_PhoB	yefM//
OxyR_SoxS	chbG//
PdhR_PhoP	ugpA//
PgrR_TyrR	ubiA//
PhoB_PhoP	gltB//
PhoP_PurR_RbsR	rimK//glnP//
RelB_RelB-RelE	araD//gatC//cspA//
TrpR_TyrR	ccmC//osmC//frdC//
YefM_YefM-YoeB	purN//glcG//
