#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	hemA//fliK//
ArcA_FNR	entA//caiF//phoU//mraY//rrsD//fucK//acrZ//sucC//cysP//dctR//chbC//cas1//exuR//fucU//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	dcuB//
ArcA_FNR_Fis_IHF_NarL	treB//fliA//rprA//fau//fixX//acrA//nikE//ybjC//spy//appA//rrlA//ssuE//fliC//
ArcA_FNR_Fur_IHF	rcnA//
ArcA_FNR_IHF	tdcE//dnaA//napG//
ArcA_FNR_IHF_NarL	rtcA//fecB//
ArcA_FNR_NarL	caiA//glgC//uvrA//alaV//
ArcA_FNR_PhoP	rutA//
ArcA_FNR_PuuR	rpsC//aroL//
ArcA_FadR	yqjI//aceB//ulaB//
ArcA_FadR_Fis	safA//ygiA//
ArcA_Fur_Lrp_ModE	degP//serA//betA//treC//hycC//
ArcA_GlcC_IHF_PdhR	araH//yciG//glcA//acs//rhaB//nfuA//
ArcA_LexA	murF//hybO//
ArcA_LldR	ssuA//ubiA//glnP//
ArcA_NarL	rpsO//proV//hypD//ybdN//cysM//argG//hybA//rpsO//
ArcA_NtrC_PhoP_RutR	malK//ilvH//puuR//araG//ssuE//rsmH//garR//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	srlE//entD//ccmF//
ArgP_CRP_FNR_Fur_Nac	inaA//
ArgP_DnaA	treC//fnr//pgaA//
ArgP_Lrp	modA//pheM//
ArgP_LysR	pgaA//
ArgP_PhoB	cyoA//
ArgR_CRP	hpt//
ArgR_CRP_Fis	dctR//gspO//fucR//yjbE//gltA//astA//ugpQ//cusS//
ArgR_Fis_IHF_PepA_PurR_RutR	yciG//aldA//
ArgR_H-NS_NtrC	carB//fadJ//uidA//malQ//
ArgR_NtrC	ileU//acrF//fecD//ompR//bglG//
ArgR_PhoP	ygeA//
AscG_CRP	gltT//ubiA//purR//
AscG_CRP_PhoB_PrpR	rutB//
AsnC_MraZ_Nac	purD//
AsnC_Nac	iclR//aroP//
AtoC_IHF	ilvM//nfsA//galR//aslB//
BaeR_CpxR	xylG//gspE//hycH//yiaJ//ompC//norW//ybiT//
BaeR_CpxR_EvgA	casA//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	cysW//yaiA//ydeP//cysB//
BasR_CpxR_PdhR	infB//aidB//
BasR_Fis	sufA//
BasR_H-NS_IHF_NagC_NanR	pyrC//
BasR_MarA_PutA	zraS//
BasR_PhoP	hipB//
BasR_QseB	nanS//hybD//
CRP_CaiF_FNR	ygbA//grcA//dsdA//rsmH//
CRP_ChbR_NagC	hypD//acrE//adiC//nrfE//citE//purR//
CRP_ComR	uxuA//
CRP_CpxR	rcnB//
CRP_CpxR_CytR	fpr//
CRP_CpxR_CytR_DnaA_IHF	waaH//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	yeiL//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	cydB//nfsB//cyoD//ygeA//
CRP_Cra	ileT//nikA//nuoI//fimH//gntX//glnA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	rplT//frdA//epd//paaB//
CRP_Cra_FNR_PdhR	casB//
CRP_Cra_Fis	yedX//
CRP_Cra_Fis_GlcC	ldtB//
CRP_Cra_Fis_MtlR	dinJ//ftsZ//hyaB//
CRP_Cra_Mlc_NagC	dadA//fucR//glgA//nrdB//idnK//ynfE//
CRP_Cra_PrpR	rbsR//evgS//nuoJ//mtlR//
CRP_CreB_Fis_MalT	galE//napB//rimK//
CRP_CsiR_H-NS_Lrp	citE//ssuA//
CRP_CsiR_H-NS_Lrp_Nac	manX//glcA//fis//
CRP_CspA_Fis	rhaS//
CRP_CytR	glpC//pyrC//cadB//
CRP_CytR_DeoR	gadX//feaR//
CRP_CytR_DeoR_Fis_ModE	narH//deoB//csgE//skp//
CRP_CytR_Nac	feoA//
CRP_CytR_NsrR	napC//
CRP_DcuR_FNR_NarL	pqiA//
CRP_DinJ-YafQ	murD//
CRP_DnaA_Fis_PurR	malI//citF//
CRP_DpiA_ExuR	paaJ//
CRP_DsdC	ydeM//nuoE//
CRP_EbgR	appX//rnpB//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	appC//prpB//
CRP_ExuR	hcr//
CRP_ExuR_FNR	nrfG//hycA//
CRP_ExuR_OxyR_UxuR	tauB//putP//
CRP_ExuR_UxuR	yjjQ//
CRP_FNR	lgoR//
CRP_FNR_FhlA_HyfR	idnR//ptsH//gatZ//ugpC//nuoK//puuE//ldtB//gspK//mraY//lldR//nrdA//feaR//
CRP_FNR_Fis	ugpB//cbl//nmpC//
CRP_FNR_Fis_GlpR_IHF	rrsA//phoQ//
CRP_FNR_Fis_H-NS_SlyA	nrdE//
CRP_FNR_GcvA_Lrp_PurR	tdcC//truB//gspO//
CRP_FNR_H-NS_NarL	agaA//
CRP_FNR_IHF_TdcA_TdcR	feoC//glnK//araF//lgoR//tolC//hisQ//thrV//
CRP_FNR_NarL	pstS//ynfK//mazF//
CRP_FeaR_NsrR	aer//
CRP_Fis	caiB//mglA//uxaA//atoB//fecD//
CRP_Fis_FlhDC_GalR_GalS	zraS//rrlG//
CRP_Fis_FliZ_IHF_Lrp	nuoL//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	prmC//chbA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	paaC//nhaA//dsdC//
CRP_Fis_IHF	fepE//fau//metK//cspD//hcp//
CRP_Fis_NanR	fucR//rrsE//moeB//nrfA//moeA//
CRP_Fis_NtrC	relB//fhlA//rhaD//
CRP_Fis_XylR	csgB//ftsI//nupC//
CRP_FlhDC_GalR_GalS	dcuA//
CRP_FucR	fes//malG//purN//fepA//hipA//rrfD//murC//
CRP_Fur	ubiA//sufA//mtlA//cyoE//glgA//nfsA//hyfG//focA//nirC//
CRP_Fur_HypT_PdhR	udp//fur//atoA//lldR//manZ//
CRP_Fur_OxyR_SoxS	yjbE//
CRP_GalR_GalS	idnT//
CRP_GalR_GalS_H-NS_HU	alaV//tcyJ//sufD//eda//
CRP_GalR_GalS_NagC	fumA//
CRP_GlpR	lldR//puuE//hycA//
CRP_GntR	puuA//xylG//
CRP_GntR_IdnR	ackA//nirD//murE//gcd//pstS//aroL//mdtD//
CRP_GntR_IscR	xylH//
CRP_GutM_GutR_H-NS	fadD//cusB//uidC//hybE//gdhA//fucR//mglA//
CRP_H-NS	nrfE//
CRP_H-NS_HipAB_HipB_NtrC	accB//
CRP_H-NS_LacI	hybB//rplB//paaJ//
CRP_H-NS_LeuO	glpB//manX//nusA//yaiA//katG//sodA//cysI//
CRP_H-NS_MqsA	sgrT//
CRP_IHF	tdcA//malQ//tnaB//nrfF//
CRP_IHF_MprA_OmpR	ilvG_1//
CRP_IHF_NsrR	ybdZ//
CRP_IHF_PaaX	gutM//dusB//gcvT//fau//casC//sucC//dinI//metE//glcE//gatC//nanA//sodA//
CRP_IHF_UlaR	exuR//mraY//pqiB//oppC//tdcA//fis//
CRP_IHF_YiaJ	nuoJ//puuC//rhaS//dcuC//lgoR//uidB//dppD//nrdB//murC//rbsK//
CRP_LexA	appB//
CRP_Lrp	waaY//fliK//ileV//oppB//
CRP_Lrp_Mlc	ugpA//
CRP_Lrp_Nac	appY//
CRP_LsrR	hpt//ftsZ//mhpB//asr//fliZ//nikE//osmY//acrZ//lsrB//
CRP_MalI	focA//uxuA//yqjH//
CRP_MalT	rhaR//tauA//csrC//
CRP_MalT_PhoP	higB//
CRP_MelR	gltD//guaA//ccmB//
CRP_MetJ	dmsA//
CRP_MhpR	entA//deoC//purD//dinI//aroM//gadW//
CRP_Mlc	nrfC//ileT//
CRP_ModE	uxaA//dmsB//yhcH//
CRP_MurR	fimE//agaW//
CRP_Nac_NsrR_PhoB	emrY//
CRP_NadR	tdcA//
CRP_NagC	mraZ//lldD//srlD//purR//gadC//fecD//
CRP_NagC_NanR	uhpT//aceA//lgoR//
CRP_NagC_PhoP	metI//
CRP_OxyR	metI//
CRP_OxyR_UxuR	rrsA//
CRP_PhoB	murP//acnA//metB//fepB//ybiT//hyaF//
CRP_PhoP	srlE//dcuR//inaA//
CRP_PutA	tnaA//
CRP_RbsR	mpl//mlc//pgaA//fliC//tdcB//uidA//
CRP_RhaR_RhaS	fimH//hybB//
CRP_RhaS	fbaA//cytR//prpR//
CRP_Rob	fhuF//
CRP_TorR	ilvM//poxB//yhiM//
CRP_UhpA_UvrY	epd//
CRP_UidR_UxuR	ppiA//dctA//ptsG//
CRP_UvrY	glnQ//
CRP_YehT	adiA//
CRP_ZraR	nuoB//ulaD//
CadC_FNR_H-NS_LeuO_MlrA	nuoA//
Cbl_CysB	mraY//gltA//astD//uhpT//
Cbl_CysB_FNR_IHF	gatZ//csgG//yjbH//marR//evgS//
CdaR_FNR_Fis_Fur_H-NS	hokD//
CdaR_FNR_Fur_H-NS	rtcB//chbR//iclR//hyaE//
CpxR_CsgD_FliZ	rplP//lyxK//gapA//
CpxR_CysB	ubiC//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	gutM//
CpxR_GadE	ydhW//argP//leuO//lldR//
CpxR_H-NS	mtlA//
CpxR_NsrR	fecA//
CpxR_RcsB	norR//
CpxR_TyrR	nrdG//
Cra_FNR_Fis_Lrp_NarL	fliI//
Cra_FNR_Fur_MarA_Rob_SoxS	dcuS//
Cra_FhlA_FlhDC	sra//
Cra_GntR_KdgR	ssuA//
Cra_GntR_KdgR_PhoB	ybiT//
Cra_MarA_SoxS	napH//
Cra_PdeL	dctA//
Cra_SgrR	hybB//sgbU//cadA//
Cra_TyrR	ompR//
CreB_NagC	dusB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	ascB//
CsgD_FlhDC	hyfJ//caiD//ccmC//rplT//ynfF//nirB//sucC//deoC//lacZ//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	proP//gabD//
CspA_Fis_GadX_H-NS	puuC//
CueR_FNR_ModE	ptsI//araJ//fadL//sufB//pflB//
CusR_PhoB_YedW	ftsQ//feaR//rhaB//inaA//hisQ//malM//murG//
CysB_H-NS	metI//gatA//gadW//nikC//hemL//
CysB_HypT_IHF	fau//
CysB_IHF	cadC//paaH//
CysB_NtrC	rrfG//
CysB_PhoP	hydN//
DcuR_FNR_NarL	ebgC//nupG//narG//focB//
DinJ-YafQ_LexA	tam//ulaB//
DpiA_H-NS	cysB//
DsdC_NsrR	hycD//
EvgA_FNR	glnL//casD//
EvgA_H-NS	casC//idnT//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	mdtA//
EvgA_H-NS_PhoP_RcsB_YdeO	garP//
EvgA_PhoP_RcsB_YdeO	acrZ//
ExuR_UxuR	csgA//gatA//
FNR_FhlA_IHF_NsrR	moaA//hypE//dppC//prpR//treC//
FNR_FhlA_NarL_NarP	yjbH//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	manX//rutF//rhaA//araJ//lacA//setA//mazE//
FNR_Fis_IHF_ModE_NarL	osmE//dps//gspC//
FNR_Fis_IHF_NarL	napF//
FNR_Fis_IHF_NarL_RstA	fucR//tdcB//citF//glpK//
FNR_FlhDC	yoaG//
FNR_FlhDC_IscR_ModE_NarL_NarP	aceE//paaF//astC//pspB//betI//glcG//mlc//
FNR_FlhDC_ModE_NarL_NarP	glnL//nusA//entB//rrfF//fadH//yeiL//waaY//fliJ//
FNR_Fur	mdtF//pstA//
FNR_Fur_GadE	evgA//
FNR_Fur_GadX_NtrC	nuoE//rhaB//
FNR_Fur_H-NS	lacZ//ycdZ//gltB//galP//
FNR_Fur_MetR_NsrR	ddlB//
FNR_Fur_Nac_NtrC	fecD//
FNR_Fur_NagC	nuoH//paaI//glgA//
FNR_Fur_OxyR	srlB//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	rplV//
FNR_H-NS	paaH//gntU//
FNR_H-NS_NrdR	epd//dctR//
FNR_IHF	rrlD//cysG//ynfG//hyfA//murG//
FNR_IHF_Lrp_YeiL	nagE//
FNR_IHF_NarL_NarP_NorR	metE//hycB//
FNR_IHF_PhoB	araD//hyaA//glcC//moaD//hyaB//
FNR_MalT	sdhA//dsdX//
FNR_ModE	gltU//chbR//
FNR_NarL	proV//nanM//grcA//aroG//baeS//yedX//
FNR_NarL_NarP	fadD//flgN//ytfE//agaW//ilvG_2//ptsH//hisJ//bamE//sufD//
FNR_NarL_NarP_NsrR	fecA//
FNR_NarL_NarP_NsrR_OxyR	serA//hisM//
FNR_NarL_NikR	ybjC//cydD//fabB//betT//yjbH//gadB//
FNR_NsrR	lldD//gloA//uxaC//
FNR_OxyR	ilvD//
FNR_PurR	gltU//nikE//
FNR_YqjI	betI//
FabR_FadR	dppA//nfuA//
FadR_IHF	lrp//
FadR_IclR	ssuB//
FhlA_FlhDC	edd//
FhlA_IHF_ModE_NsrR	fbaA//tnaA//fdnH//chbA//caiT//iraM//atoE//ccmD//relA//
FhlA_IHF_NsrR	ydhX//
Fis_Fur	oxyR//
Fis_H-NS	yiaN//
Fis_H-NS_IHF_MntR_OxyR	rplB//
Fis_H-NS_Lrp	entC//hisJ//serA//cyoB//pdeR//metL//aspC//bolA//ssuB//gltA//ascF//narK//malQ//accB//dmsC//rrsE//ulaC//ynfG//relB//fepA//dmsB//ydeO//agaV//lsrR//
Fis_H-NS_Lrp_StpA	mraY//acrB//
Fis_IHF	nuoI//
Fis_IHF_NtrC	gloA//nirD//
Fis_IHF_OmpR_RcsB	chbB//
Fis_Lrp	cysA//rpoE//pstB//rhaA//glnA//ccmH//tdcF//carB//nuoH//
Fis_MazE_MazE-MazF	lsrC//
Fis_NarL	rplM//
Fis_NarL_NarP_NsrR	hisJ//tpx//
Fis_PurR	cusA//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	csiE//pdeR//ihfA//
FliZ_RutR	puuA//
Fur_H-NS	betI//fadI//ccmH//pspC//mdtA//nagB//modB//mdtD//rrsA//treC//mazG//pstB//puuE//
Fur_IHF_IscR_NsrR_OxyR	tdcE//hyfC//murD//fau//hupB//hemA//
Fur_IscR_NrdR	cas2//mdtE//hisM//malF//
Fur_MetR	edd//
Fur_MntR	fucA//
Fur_MntR_OxyR	paaZ//
Fur_OxyR	nanM//
Fur_PurR	fliC//garP//
Fur_RcnR	flgM//fimD//
Fur_RutR	flhD//
Fur_SoxS_Zur	fdnI//
Fur_YqjI	aceA//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	napH//csgC//
GadE-RcsB_H-NS	hmp//
GadE-RcsB_PhoB	metQ//
GadE-RcsB_Rob	idnD//
GadE_GadX_H-NS_PhoP_RcsB	iraM//
GadE_H-NS_Lrp_NsrR	ulaG//
GadE_H-NS_MatA	cusS//
GadE_H-NS_RcsAB	dmsA//
GadE_MarA_PurR	fimE//
GadW_GadX_RcsB	icd//
GalR_GalS	sbmC//
GlrR_IHF	mtlR//
H-NS_IHF	frdC//soxS//fadB//
H-NS_IHF_Lrp	fimA//atoD//narH//ccmG//paaB//lsrG//dsdX//
H-NS_LeuO	ydeN//dcuR//
H-NS_LeuO_RcsB-BglJ_StpA	moaD//
H-NS_LrhA_Lrp	tnaC//
H-NS_Lrp	yjbG//atoB//
H-NS_Lrp_NhaR_RcsB	nrdI//
H-NS_Lrp_StpA	murQ//
H-NS_McbR	fimH//sroD//idnO//
H-NS_NhaR	deoD//gadW//
H-NS_OmpR	hokD//
H-NS_PhoB_RcdA_RstA	ihfA//
HU_IHF_TrpR_TyrR	nagB//
HU_IHF_TyrR	rpsS//
HigA_HigB-HigA	lpd//paaH//
HipAB_HipB_IHF	mhpD//mglB//
HypT_MetJ	nanE//malF//ydeM//
HypT_MetJ_PhoP	dadA//mlc//
IHF_Lrp	lldD//mazF//nuoF//ugpE//nuoI//nikR//hycF//nuoN//
IHF_NsrR	sgbU//
IHF_NtrC	cadB//zraS//
IHF_PhoP	hyfG//
IHF_PspF	deoD//hdeA//fimD//entC//nuoI//csgF//
IHF_RcsAB	rprA//cspA//rpmC//rtcA//
IHF_RtcR	nfuA//yciE//
IHF_TyrR	hybB//
IHF_UlaR	dsdA//
LexA_MraZ_PdhR	hypB//aldB//pgaA//srlB//nuoC//hybC//chbC//norR//rcsA//nrfD//codA//
LexA_MraZ_PdhR_RcsB_SdiA	gadA//cyoD//
LexA_MraZ_PdhR_SdiA	bglG//
LexA_NagC	ftsW//
LexA_RcdA	acrA//
LexA_RcsB-BglJ	malI//
MarA_OxyR_Rob_SoxS	ssuE//ynfG//oppC//fliH//
MarA_PhoP_Rob_SoxS	torD//evgS//gadE//ubiA//
MarA_Rob_SoxS	rutG//astA//rimP//marB//exuT//
MarA_SoxS	putA//gadA//rrfH//uxuA//lsrR//
MetJ_MetR	mraZ//csgD//
MetJ_OxyR	glcF//acrA//
MetR_PurR	torC//
MraZ_PdhR	ilvG_2//ybjN//
Nac_PurR	moeA//fecC//
NarL_TorR	sdhB//nrfE//lsrR//
NemR_RutR	fimF//cusC//rimP//
NhaR_OmpR	rplC//metE//rbsR//metK//
NorR_NsrR	hcp//
NsrR_PhoB	fixC//
OxyR_SoxS	aceF//
PdhR_PhoP	carB//
PgrR_TyrR	fucU//
PhoB_PhoP	fdnG//
PhoP_PurR_RbsR	ssuB//rrfA//
RelB_RelB-RelE	nirB//dsdX//narJ//
TrpR_TyrR	serC//ydeP//hypB//
YefM_YefM-YoeB	citG//qseB//
