#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:08 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/rcomplex_regulons.txt
AccB_FadR	kbaZ//rrlC//
ArcA_CRP_Cra_IHF_IclR	lgoR//nikE//sgbH//
ArcA_CRP_DcuR	inaA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	fecC//hyaF//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rutB//
ArcA_CRP_DnaA_FNR	rhaB//
ArcA_CRP_DpiA_FNR_NarL	dcuA//gyrA//cysA//hyaF//fixC//fimG//
ArcA_CRP_DpiA_FlhDC	chbA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	narJ//glnA//
ArcA_CRP_FNR	lldP//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	purD//yiaN//chbA//
ArcA_CRP_FNR_Fis_Fur_PdhR	nuoA//
ArcA_CRP_FNR_Fis_IHF_NarL	ldtB//
ArcA_CRP_FNR_Fur	aspC//yafQ//nhaA//soxR//
ArcA_CRP_FNR_Fur_IHF	puuE//paaB//ilvX//frdD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hybB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gapA//
ArcA_CRP_FNR_IHF_NarL	gadF//
ArcA_CRP_FNR_NarL	grcA//
ArcA_CRP_FadR	glnP//rrfD//
ArcA_CRP_FadR_HipB	cadB//
ArcA_CRP_FadR_OmpR_PhoP	hyaA//
ArcA_CRP_Fis_Mlc_SoxS	hybB//
ArcA_CRP_Fis_XylR	paaZ//
ArcA_CRP_Fur_GadX_MqsA	ybdN//
ArcA_CRP_GatR	fadE//ugpQ//glcD//hyfE//gspG//sucC//
ArcA_CRP_GlpR	ulaF//
ArcA_CRP_IHF	fliH//
ArcA_CRP_PuuR	phoU//rutD//rbsR//nikR//rrlE//
ArcA_CRP_RhaS	rbsA//
ArcA_CRP_TreR	ugpB//cusB//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	fliG//malI//
ArcA_Cra	hha//
ArcA_Cra_FNR_H-NS_HypT	gspG//glyA//
ArcA_CysB_FNR	fur//
ArcA_FNR	nrfB//purN//waaZ//sbmC//nuoA//hyaE//ccmB//fliI//astB//glcE//sroD//tauC//ygbA//astD//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	malT//
ArcA_FNR_Fis_IHF_NarL	purD//grcA//proP//ccmF//murG//ytfE//rhaR//araE//yhcH//gltF//mpl//lldP//gadB//
ArcA_FNR_Fur_IHF	gltW//
ArcA_FNR_IHF	ahpF//yqjH//rpsI//
ArcA_FNR_IHF_NarL	nuoI//icd//
ArcA_FNR_NarL	purR//setA//chbR//metY//
ArcA_FNR_PhoP	rbsD//
ArcA_FNR_PuuR	pqiA//rprA//
ArcA_FadR	cysW//rrfB//asnC//
ArcA_FadR_Fis	napA//hybE//
ArcA_Fur_Lrp_ModE	crr//glgA//katE//hypE//murG//
ArcA_GlcC_IHF_PdhR	hmp//nuoC//rpsO//rplP//ascF//ybiT//
ArcA_LexA	tsx//hmp//
ArcA_LldR	ileV//yecR//mdtE//
ArcA_NarL	betB//pspE//pheM//ackA//hisM//actP//hisJ//ydhU//
ArcA_NtrC_PhoP_RutR	ybdZ//rseB//mhpC//treB//epd//ydeP//gadC//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	fabA//spy//acrD//
ArgP_CRP_FNR_Fur_Nac	gutM//
ArgP_DnaA	ebgA//moaB//gabT//
ArgP_Lrp	tdcG//rcsA//
ArgP_LysR	srlD//
ArgP_PhoB	fdnI//
ArgR_CRP	astD//
ArgR_CRP_Fis	sroD//gspG//rpsI//slp//sufE//pflB//ccmF//ftsL//
ArgR_Fis_IHF_PepA_PurR_RutR	galE//fabZ//
ArgR_H-NS_NtrC	gatB//csgE//tdcE//mdtB//
ArgR_NtrC	dsdA//pstB//cspD//inaA//hybG//
ArgR_PhoP	mdtB//
AscG_CRP	paaH//cspA//yaiA//
AscG_CRP_PhoB_PrpR	asr//
AsnC_MraZ_Nac	caiF//
AsnC_Nac	sulA//ydeO//
AtoC_IHF	caiT//cysU//fliI//safA//
BaeR_CpxR	dppA//treC//paaF//ybfN//envZ//pstB//ompW//
BaeR_CpxR_EvgA	cadC//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	rbfA//dmsC//puuC//hypC//
BasR_CpxR_PdhR	osmE//rob//
BasR_Fis	cysA//
BasR_H-NS_IHF_NagC_NanR	metI//
BasR_MarA_PutA	moaA//
BasR_PhoP	feoB//
BasR_QseB	dsdX//exuR//
CRP_CaiF_FNR	appB//hyfH//atoA//nhaR//
CRP_ChbR_NagC	galK//rrlG//hycC//rutC//mtlA//ccmC//
CRP_ComR	fabZ//
CRP_CpxR	caiA//
CRP_CpxR_CytR	caiB//
CRP_CpxR_CytR_DnaA_IHF	marA//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	aceA//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	tdcG//mazF//proV//araB//
CRP_Cra	hha//glnL//metB//ygeA//malI//nusA//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	hyfH//pdhR//nanS//nrfE//
CRP_Cra_FNR_PdhR	fpr//
CRP_Cra_Fis	pspB//
CRP_Cra_Fis_GlcC	sufB//
CRP_Cra_Fis_MtlR	csgC//rrlD//rpoH//
CRP_Cra_Mlc_NagC	puuE//pnp//ssuD//pgaD//fadD//ybfN//
CRP_Cra_PrpR	norR//iclR//hypC//hipB//
CRP_CreB_Fis_MalT	cyoD//rrsA//prfA//
CRP_CsiR_H-NS_Lrp	metB//paaG//
CRP_CsiR_H-NS_Lrp_Nac	pspG//araA//atoA//
CRP_CspA_Fis	hisJ//
CRP_CytR	rbsC//sgrT//glpK//
CRP_CytR_DeoR	ygiC//ulaA//
CRP_CytR_DeoR_Fis_ModE	rcsA//fepB//glcF//casE//
CRP_CytR_Nac	mdtE//
CRP_CytR_NsrR	nikB//
CRP_DcuR_FNR_NarL	garK//
CRP_DinJ-YafQ	cusF//
CRP_DnaA_Fis_PurR	mdh//alaV//
CRP_DpiA_ExuR	mdtF//
CRP_DsdC	puuB//glpD//
CRP_EbgR	pqiB//gspC//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	aroG//baeS//
CRP_ExuR	ulaF//
CRP_ExuR_FNR	fabA//fhlA//
CRP_ExuR_OxyR_UxuR	yjbE//gspE//
CRP_ExuR_UxuR	ulaD//
CRP_FNR	metH//
CRP_FNR_FhlA_HyfR	rrsG//astA//gabP//malM//ndh//sdhC//mioC//pgaB//nfuA//astB//glcC//dmsC//
CRP_FNR_Fis	waaY//entH//csgF//
CRP_FNR_Fis_GlpR_IHF	glgP//mraY//
CRP_FNR_Fis_H-NS_SlyA	yjjQ//
CRP_FNR_GcvA_Lrp_PurR	ascB//envZ//fixC//
CRP_FNR_H-NS_NarL	hyfR//
CRP_FNR_IHF_TdcA_TdcR	nikE//icd//gntX//nikE//napF//serA//cysM//
CRP_FNR_NarL	gspI//ulaD//prpE//
CRP_FeaR_NsrR	tauD//
CRP_Fis	aslB//citD//mdh//mlc//aroM//
CRP_Fis_FlhDC_GalR_GalS	ftnA//gspH//
CRP_Fis_FliZ_IHF_Lrp	hdeA//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	hisQ//ygbA//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	sufD//hdeA//ftsL//
CRP_Fis_IHF	mazF//fecA//tnaB//fadD//rseA//
CRP_Fis_NanR	garR//uxaC//metR//cspE//soxS//
CRP_Fis_NtrC	yiaK//rpoS//proX//
CRP_Fis_XylR	idnD//paaF//folA//
CRP_FlhDC_GalR_GalS	dadA//
CRP_FucR	yjbF//rseA//pspE//ftsW//bolA//skp//metE//
CRP_Fur	sdhA//oppF//sucC//ynfK//glcA//fliE//mhpD//purH//fadL//
CRP_Fur_HypT_PdhR	hcp//lysP//lpxA//ccmB//rpoH//
CRP_Fur_OxyR_SoxS	bglJ//
CRP_GalR_GalS	rpoH//
CRP_GalR_GalS_H-NS_HU	caiA//fliA//napF//cysG//
CRP_GalR_GalS_NagC	carA//
CRP_GlpR	nuoN//slp//fadH//
CRP_GntR	nikA//puuC//
CRP_GntR_IdnR	rimK//fadD//metQ//rrfD//pdeL//rutE//pspD//
CRP_GntR_IscR	yefM//
CRP_GutM_GutR_H-NS	ompW//gspK//rrsE//hycG//rplM//gadY//waaH//
CRP_H-NS	aroM//
CRP_H-NS_HipAB_HipB_NtrC	ilvG_1//
CRP_H-NS_LacI	cas2//infB//hycE//
CRP_H-NS_LeuO	gltV//glgA//yjbF//bglJ//dmsA//casC//rutB//
CRP_H-NS_MqsA	lldP//
CRP_IHF	hyfE//cspA//ccmH//uvrA//
CRP_IHF_MprA_OmpR	yeiL//
CRP_IHF_NsrR	fixX//
CRP_IHF_PaaX	mglB//xylH//cytR//rrfF//garL//uxuR//cadB//ccmG//araE//nhaR//galM//gspG//
CRP_IHF_UlaR	hyaD//tam//grcA//cysJ//cydD//cyoC//
CRP_IHF_YiaJ	dmsA//hybA//entD//proV//hypC//ssrS//dppC//ilvH//fhlA//osmC//
CRP_LexA	ynfG//
CRP_Lrp	nac//nrdD//ebgA//rpsJ//
CRP_Lrp_Mlc	gntP//
CRP_Lrp_Nac	folA//
CRP_LsrR	uxaB//purM//guaA//sucB//puuE//pqiA//fadA//icd//xylH//
CRP_MalI	yiaK//ftsA//csgD//
CRP_MalT	cysH//fdnH//dnaA//
CRP_MalT_PhoP	garK//
CRP_MelR	rplV//nuoF//araD//
CRP_MetJ	sucB//
CRP_MhpR	gltV//malG//rbsD//metI//acrB//malX//
CRP_Mlc	rrsD//fadB//
CRP_ModE	csgG//ydhY//rseA//
CRP_MurR	astC//rplT//
CRP_Nac_NsrR_PhoB	ftsA//
CRP_NadR	araE//
CRP_NagC	ppiA//sra//nrdA//argP//ugpA//rrfA//
CRP_NagC_NanR	ybjN//waaH//modC//
CRP_NagC_PhoP	feoA//
CRP_OxyR	fumA//
CRP_OxyR_UxuR	xylF//
CRP_PhoB	rrfB//csiE//accC//yiaL//acrF//cysI//
CRP_PhoP	fliZ//puuA//fimH//
CRP_PutA	rimP//
CRP_RbsR	csgE//entH//uidA//sroD//araC//ndh//
CRP_RhaR_RhaS	nagB//fecC//
CRP_RhaS	entH//purR//ccmD//
CRP_Rob	cysA//
CRP_TorR	relB//pspC//nrfC//
CRP_UhpA_UvrY	mhpE//
CRP_UidR_UxuR	xylH//hupA//malM//
CRP_UvrY	frdD//
CRP_YehT	purM//
CRP_ZraR	ileU//ftsI//
CadC_FNR_H-NS_LeuO_MlrA	serA//
Cbl_CysB	dgcZ//caiT//glmY//qseB//
Cbl_CysB_FNR_IHF	truB//ugpA//murG//uxaC//gcd//
CdaR_FNR_Fis_Fur_H-NS	sgbH//
CdaR_FNR_Fur_H-NS	gspL//dcuD//gyrA//lsrD//
CpxR_CsgD_FliZ	slp//infB//araB//
CpxR_CysB	zraR//
CpxR_EnvY_IHF_Lrp_OmpR_YjjQ	mhpB//
CpxR_GadE	pspA//narK//cspI//serC//
CpxR_H-NS	lacY//
CpxR_NsrR	nemA//
CpxR_RcsB	qseB//
CpxR_TyrR	murG//
Cra_FNR_Fis_Lrp_NarL	oppC//
Cra_FNR_Fur_MarA_Rob_SoxS	bglG//
Cra_FhlA_FlhDC	tdcE//
Cra_GntR_KdgR	nuoB//
Cra_GntR_KdgR_PhoB	tsx//
Cra_MarA_SoxS	zinT//
Cra_PdeL	rimK//
Cra_SgrR	putA//yqjI//nuoK//
Cra_TyrR	fimE//
CreB_NagC	csgB//
CsgD_CysB_FlhDC_H-NS_MatA_NsrR_SutR	acnB//
CsgD_FlhDC	pstC//rpoH//gcvT//galK//hyfG//ulaF//fimH//ptsG//ihfA//
CsgD_FlhDC_H-NS_MatA_NsrR_SutR	hypA//dmsC//
CspA_Fis_GadX_H-NS	rpsQ//
CueR_FNR_ModE	torD//gspE//cusC//purR//malF//
CusR_PhoB_YedW	rsmH//lsrD//nuoI//ptsG//dcuA//gspF//acnB//
CysB_H-NS	mdtD//focB//relB//hycC//csgG//
CysB_HypT_IHF	napC//
CysB_IHF	idnR//nemA//
CysB_NtrC	hycF//
CysB_PhoP	crr//
DcuR_FNR_NarL	casB//oxyR//setA//kbaZ//
DinJ-YafQ_LexA	hypF//acnB//
DpiA_H-NS	glpK//
DsdC_NsrR	cusF//
EvgA_FNR	chiP//srlA//
EvgA_H-NS	ygiB//hybE//
EvgA_H-NS_NagC_NarL_NarP_PhoP_RcsB_UvrY	dps//
EvgA_H-NS_PhoP_RcsB_YdeO	purA//
EvgA_PhoP_RcsB_YdeO	hisM//
ExuR_UxuR	mraY//ptsH//
FNR_FhlA_IHF_NsrR	sdhC//fadL//lsrK//nikD//iraM//
FNR_FhlA_NarL_NarP	csrC//
FNR_Fis_FlhDC_IHF_NarL_NarP_NsrR	fdnI//mdtB//ompC//nemR//mlc//puuA//ycdZ//
FNR_Fis_IHF_ModE_NarL	manZ//ompC//sdhB//
FNR_Fis_IHF_NarL	mlc//
FNR_Fis_IHF_NarL_RstA	recF//citG//dcuA//rrfC//
FNR_FlhDC	casE//
FNR_FlhDC_IscR_ModE_NarL_NarP	nrfE//acrE//dctR//zwf//oxyR//lsrC//degP//
FNR_FlhDC_ModE_NarL_NarP	ssuC//murP//tdcB//bamE//moaA//appB//skp//fadB//
FNR_Fur	sdhD//gnd//
FNR_Fur_GadE	metB//
FNR_Fur_GadX_NtrC	dnaA//nuoJ//
FNR_Fur_H-NS	paaH//fdnH//rpsC//lldD//
FNR_Fur_MetR_NsrR	nikD//
FNR_Fur_Nac_NtrC	lldD//
FNR_Fur_NagC	nmpC//narI//nrdD//
FNR_Fur_OxyR	gadE//
FNR_GadE_GadW_GadX_H-NS_PhoB_PhoP_RutR_SdiA_YdeO	rtcA//
FNR_H-NS	pgaB//prpC//
FNR_H-NS_NrdR	ulaG//prpC//
FNR_IHF	ulaC//ftsI//glpK//iclR//fadB//
FNR_IHF_Lrp_YeiL	metY//
FNR_IHF_NarL_NarP_NorR	gabD//csgB//
FNR_IHF_PhoB	gadY//dinI//ulaC//gntX//galE//
FNR_MalT	ldtB//evgS//
FNR_ModE	ynfK//dgcZ//
FNR_NarL	ynfK//pyrD//paaG//aslB//nemA//higA//
FNR_NarL_NarP	srlB//rbsR//deoB//infB//treC//proP//fnr//evgA//aer//
FNR_NarL_NarP_NsrR	idnR//
FNR_NarL_NarP_NsrR_OxyR	dcuS//sdhA//
FNR_NarL_NikR	emrY//relB//cysJ//fabA//nusA//glgC//
FNR_NsrR	rtcB//oppB//rob//
FNR_OxyR	napD//
FNR_PurR	ccmC//ccmC//
FNR_YqjI	ynfF//
FabR_FadR	hyfE//glpT//
FadR_IHF	hpt//
FadR_IclR	hybF//
FhlA_FlhDC	napG//
FhlA_IHF_ModE_NsrR	rbsD//mhpE//glnG//hisM//cspI//glnP//lysP//narJ//entA//
FhlA_IHF_NsrR	entB//
Fis_Fur	melB//
Fis_H-NS	napH//
Fis_H-NS_IHF_MntR_OxyR	fnr//
Fis_H-NS_Lrp	mdtF//guaA//glpB//purN//rrlB//actP//nac//fecD//spy//napG//murE//paaC//hycG//nrfA//lpxA//tdcD//gadC//hypC//yedX//gadE//yoeB//sgbH//fliF//dppC//
Fis_H-NS_Lrp_StpA	ygiC//moaE//
Fis_IHF	feaR//
Fis_IHF_NtrC	sufB//hyaA//
Fis_IHF_OmpR_RcsB	rbfA//
Fis_Lrp	manX//narH//ahpC//rplV//napA//pncB//malP//nmpC//ygiC//
Fis_MazE_MazE-MazF	ulaG//
Fis_NarL	cydC//
Fis_NarL_NarP_NsrR	purH//gcd//
Fis_PurR	waaH//
FliZ_GadE_GadW_GadX_H-NS_Lrp_MarA_PhoP_RcsB_TorR	fumA//hmp//nrfA//
FliZ_RutR	ybdN//
Fur_H-NS	caiF//hns//nusA//fes//yiaL//paaI//ahpF//sufB//hycE//pspD//nhaA//rhaS//setA//
Fur_IHF_IscR_NsrR_OxyR	araJ//agaA//skp//puuP//nrdF//dps//
Fur_IscR_NrdR	dgcZ//hybC//relE//nrfA//
Fur_MetR	yafQ//
Fur_MntR	aldB//
Fur_MntR_OxyR	fecC//
Fur_OxyR	proX//
Fur_PurR	serA//ompF//
Fur_RcnR	rrsB//fepB//
Fur_RutR	metK//
Fur_SoxS_Zur	rpmC//
Fur_YqjI	hcr//
GadE-RcsB_GadW_GadX_H-NS_MarA_YdeO	dppB//nanT//
GadE-RcsB_H-NS	glpC//
GadE-RcsB_PhoB	frdA//
GadE-RcsB_Rob	fes//
GadE_GadX_H-NS_PhoP_RcsB	ssuC//
GadE_H-NS_Lrp_NsrR	fadH//
GadE_H-NS_MatA	glnL//
GadE_H-NS_RcsAB	uidB//
GadE_MarA_PurR	creD//
GadW_GadX_RcsB	trg//
GalR_GalS	recF//
GlrR_IHF	aroL//
H-NS_IHF	fliZ//astD//ilvE//
H-NS_IHF_Lrp	ahpC//ccmG//cysG//aldA//prpC//acrD//yfaE//
H-NS_LeuO	gntP//dinJ//
H-NS_LeuO_RcsB-BglJ_StpA	ddlB//
H-NS_LrhA_Lrp	xylA//
H-NS_Lrp	slp//fau//
H-NS_Lrp_NhaR_RcsB	metY//
H-NS_Lrp_StpA	emrY//
H-NS_McbR	fnr//nagC//pgaB//
H-NS_NhaR	mglB//prpB//
H-NS_OmpR	evgA//
H-NS_PhoB_RcdA_RstA	cydA//
HU_IHF_TrpR_TyrR	rrsC//
HU_IHF_TyrR	baeS//
HigA_HigB-HigA	glpK//hha//
HipAB_HipB_IHF	oppB//deoB//
HypT_MetJ	ccmF//nrfD//lldP//
HypT_MetJ_PhoP	tnaC//rhaR//
IHF_Lrp	mazE//gadX//ascB//dppD//ulaD//fixC//argG//uhpT//
IHF_NsrR	caiE//
IHF_NtrC	rplT//rprA//
IHF_PhoP	aceB//
IHF_PspF	folA//norV//rrfC//appB//dsdA//nrdI//
IHF_RcsAB	gabD//sodB//cyoA//asnC//
IHF_RtcR	araC//ascF//
IHF_TyrR	hyaC//
IHF_UlaR	oppC//
LexA_MraZ_PdhR	citC//yjcH//yrbL//hyfC//lldP//epd//baeS//nirB//acrD//paaA//sucB//
LexA_MraZ_PdhR_RcsB_SdiA	yciE//lsrA//
LexA_MraZ_PdhR_SdiA	mdtF//
LexA_NagC	micF//
LexA_RcdA	nuoM//
LexA_RcsB-BglJ	nusA//
MarA_OxyR_Rob_SoxS	caiT//norV//dppA//ulaD//
MarA_PhoP_Rob_SoxS	glmY//atoD//ulaE//lysP//
MarA_Rob_SoxS	phoU//citC//glpQ//tdcF//ssuE//
MarA_SoxS	glpQ//hisM//nrdB//sufA//betI//
MetJ_MetR	lsrD//murE//
MetJ_OxyR	metH//ebgA//
MetR_PurR	prpC//
MraZ_PdhR	metE//fucA//
Nac_PurR	frdB//moaA//
NarL_TorR	hha//fliH//appY//
NemR_RutR	mhpB//tsx//mdtB//
NhaR_OmpR	ulaF//fimE//ycdZ//ccmC//
NorR_NsrR	ccmD//
NsrR_PhoB	hmp//
OxyR_SoxS	nfsA//
PdhR_PhoP	caiC//
PgrR_TyrR	hycD//
PhoB_PhoP	nanK//
PhoP_PurR_RbsR	argP//gcvH//
RelB_RelB-RelE	fadJ//gspD//treB//
TrpR_TyrR	ydhV//mglA//hypB//
YefM_YefM-YoeB	fucA//galM//
